sequence,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFzgBUiBaoB5oBWs?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFChBTiBeoB5oB0m?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFzgBqmBmiB5oB0n?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KeXAJvhFdmBUiBaoB5oBWs?BTqB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFRhBcnBTjBSrBGt?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KeXAJvhFdmBqmBmiB5oB0n?BTqB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFqmBmiB5oBzlB0n?B3qB
LSIJTZO,O,O,O,O,X,X,X
LSIJTOZ,O,O,O,O,X,X,X
LSIJZTO,O,O,O,O,X,X,X
LSIJZOT,O,O,O,O,X,X,X
LSIJOTZ,O,O,X,O,X,X,X
LSIJOZT,O,X,X,O,X,X,X
LSIZTJO,O,O,O,O,X,O,O
LSIZTOJ,O,O,O,X,X,O,O
LSIZJTO,O,O,O,X,X,O,O
LSIZJOT,O,O,O,X,X,O,X
LSIZOTJ,X,X,O,X,X,O,X
LSIZOJT,X,X,O,X,X,O,X
LSIOTJZ,O,X,O,O,X,O,X
LSIOTZJ,O,X,O,O,X,O,X
LSIOJTZ,O,X,X,O,X,X,X
LSIOJZT,O,X,X,O,X,X,X
LSIOZTJ,X,X,O,O,X,O,X
LSIOZJT,X,X,O,X,X,O,X
LSJTIZO,O,O,O,O,X,X,X
LSJTIOZ,O,O,O,O,X,X,X
LSJTZIO,O,O,O,O,O,X,X
LSJTZOI,O,O,O,O,O,X,X
LSJTOIZ,O,O,O,O,X,X,X
LSJTOZI,O,O,O,O,O,X,X
LSJITZO,O,O,O,O,X,X,X
LSJITOZ,O,O,O,O,X,X,X
LSJIZTO,O,O,O,O,X,X,X
LSJIZOT,O,O,O,O,X,X,X
LSJIOTZ,O,O,X,O,X,X,X
LSJIOZT,O,X,X,O,X,X,X
LSJZTIO,O,O,O,O,O,X,X
LSJZTOI,O,O,O,O,O,X,X
LSJZITO,O,O,O,O,X,X,X
LSJZIOT,O,O,O,O,X,X,X
LSJZOTI,O,O,O,O,O,X,X
LSJZOIT,O,O,O,O,X,X,X
LSJOTIZ,O,O,X,O,X,X,X
LSJOTZI,O,O,X,O,O,X,X
LSJOITZ,O,O,X,O,X,X,X
LSJOIZT,O,X,X,O,X,X,X
LSJOZTI,O,X,X,O,O,X,X
LSJOZIT,O,X,X,O,X,X,X
LSZTIJO,O,O,O,O,O,O,O
LSZTIOJ,O,O,O,X,X,O,O
LSZTJIO,O,O,O,O,O,O,O
LSZTJOI,O,O,O,O,O,O,O
LSZTOIJ,O,O,O,X,X,O,O
LSZTOJI,O,O,O,X,X,O,O
LSZITJO,O,O,O,O,X,O,O
LSZITOJ,O,O,O,X,X,O,O
LSZIJTO,O,O,O,X,X,O,O
LSZIJOT,O,O,O,X,X,O,X
LSZIOTJ,X,X,O,X,X,O,X
LSZIOJT,X,X,O,X,X,O,X
LSZJTIO,O,O,O,X,O,O,O
LSZJTOI,O,O,O,X,O,O,O
LSZJITO,O,O,O,X,X,O,O
LSZJIOT,O,O,O,X,X,O,X
LSZJOTI,O,O,O,X,O,O,X
LSZJOIT,O,O,O,X,X,O,X
LSZOTIJ,X,O,O,X,X,O,X
LSZOTJI,X,O,O,X,X,O,X
LSZOITJ,X,X,O,X,X,O,X
LSZOIJT,X,X,O,X,X,O,X
LSZOJTI,X,O,O,X,X,O,X
LSZOJIT,X,O,O,X,X,O,X
LSOTIJZ,O,X,O,O,X,O,X
LSOTIZJ,O,X,O,O,X,O,X
LSOTJIZ,O,X,O,O,X,O,X
LSOTJZI,O,X,O,O,X,O,X
LSOTZIJ,O,X,O,O,X,O,X
LSOTZJI,O,X,O,O,X,O,X
LSOITJZ,O,X,O,O,X,O,X
LSOITZJ,O,X,O,O,X,O,X
LSOIJTZ,O,X,X,O,X,X,X
LSOIJZT,O,X,X,O,X,X,X
LSOIZTJ,X,X,O,O,X,O,X
LSOIZJT,X,X,O,X,X,O,X
LSOJTIZ,O,X,X,O,X,X,X
LSOJTZI,O,X,X,O,X,X,X
LSOJITZ,O,X,X,O,X,X,X
LSOJIZT,O,X,X,O,X,X,X
LSOJZTI,O,X,X,O,X,X,X
LSOJZIT,O,X,X,O,X,X,X
LSOZTIJ,X,X,O,O,X,O,X
LSOZTJI,X,X,O,O,X,O,X
LSOZITJ,X,X,O,O,X,O,X
LSOZIJT,X,X,O,X,X,O,X
LSOZJTI,X,X,O,X,X,O,X
LSOZJIT,X,X,O,X,X,O,X
LZTIJSO,O,O,O,O,O,O,O
LZTIJOS,O,O,O,O,O,O,O
LZTISJO,X,O,O,O,O,O,O
LZTISOJ,X,X,O,X,X,O,O
LZTIOJS,X,O,O,X,O,O,O
LZTIOSJ,X,X,O,X,X,O,O
LZTJISO,O,O,O,O,O,O,O
LZTJIOS,O,O,O,O,O,O,O
LZTJSIO,O,O,O,O,O,O,O
LZTJSOI,O,O,O,O,O,O,O
LZTJOIS,O,O,O,O,O,O,O
LZTJOSI,O,O,O,O,O,O,O
LZTSIJO,X,O,O,O,O,O,O
LZTSIOJ,X,X,O,X,X,O,O
LZTSJIO,X,O,O,O,O,O,O
LZTSJOI,X,O,O,O,O,O,O
LZTSOIJ,X,X,O,X,X,O,O
LZTSOJI,X,O,O,X,X,O,O
LZTOIJS,X,O,O,X,O,O,O
LZTOISJ,X,X,O,X,X,O,O
LZTOJIS,X,O,O,X,O,O,O
LZTOJSI,X,O,O,X,O,O,O
LZTOSIJ,X,X,O,X,X,O,O
LZTOSJI,X,O,O,X,X,O,O
LZITJSO,O,O,O,O,O,O,O
LZITJOS,O,O,O,O,O,O,O
LZITSJO,X,O,O,O,O,O,O
LZITSOJ,X,X,O,X,X,O,O
LZITOJS,X,O,O,X,O,O,O
LZITOSJ,X,X,O,X,X,O,O
LZIJTSO,O,O,O,O,O,O,O
LZIJTOS,O,O,O,O,O,O,O
LZIJSTO,O,O,O,O,X,O,O
LZIJSOT,O,O,O,O,X,O,X
LZIJOTS,O,O,O,O,O,O,O
LZIJOST,O,O,O,O,X,O,X
LZISTJO,O,O,O,O,X,O,O
LZISTOJ,O,O,O,X,X,O,O
LZISJTO,O,O,O,X,X,O,O
LZISJOT,O,O,O,X,X,O,X
LZISOTJ,X,X,O,X,X,O,X
LZISOJT,X,X,O,X,X,O,X
LZIOTJS,X,X,O,O,X,O,O
LZIOTSJ,X,X,O,O,X,O,O
LZIOJTS,X,X,O,O,X,O,O
LZIOJST,X,X,O,O,X,O,X
LZIOSTJ,X,X,O,O,X,O,X
LZIOSJT,X,X,O,X,X,O,X
LZJTISO,O,O,O,O,O,O,O
LZJTIOS,O,O,O,O,O,O,O
LZJTSIO,O,O,O,O,O,O,O
LZJTSOI,O,O,O,O,O,O,O
LZJTOIS,O,O,O,O,O,O,O
LZJTOSI,O,O,O,O,O,O,O
LZJITSO,O,O,O,O,O,O,O
LZJITOS,O,O,O,O,O,O,O
LZJISTO,O,O,O,O,X,O,O
LZJISOT,O,O,O,O,X,O,X
LZJIOTS,O,O,O,O,O,O,O
LZJIOST,O,O,O,O,X,O,X
LZJSTIO,O,O,O,O,O,O,O
LZJSTOI,O,O,O,O,O,O,O
LZJSITO,O,O,O,O,X,O,O
LZJSIOT,O,O,O,O,X,O,X
LZJSOTI,O,O,O,O,O,O,X
LZJSOIT,O,O,O,O,X,O,X
LZJOTIS,O,O,O,O,O,O,O
LZJOTSI,O,O,O,O,O,O,O
LZJOITS,O,O,O,O,O,O,O
LZJOIST,O,O,O,O,X,O,X
LZJOSTI,O,O,O,O,O,O,X
LZJOSIT,O,O,O,O,X,O,X
LZSTIJO,O,O,O,O,O,O,O
LZSTIOJ,O,O,O,X,X,O,O
LZSTJIO,O,O,O,O,O,O,O
LZSTJOI,O,O,O,O,O,O,O
LZSTOIJ,O,O,O,X,X,O,O
LZSTOJI,O,O,O,X,X,O,O
LZSITJO,O,O,O,O,X,O,O
LZSITOJ,O,O,O,X,X,O,O
LZSIJTO,O,O,O,X,X,O,O
LZSIJOT,O,O,O,X,X,O,X
LZSIOTJ,X,X,O,X,X,O,X
LZSIOJT,X,X,O,X,X,O,X
LZSJTIO,O,O,O,X,O,O,O
LZSJTOI,O,O,O,X,O,O,O
LZSJITO,O,O,O,X,X,O,O
LZSJIOT,O,O,O,X,X,O,X
LZSJOTI,O,O,O,X,O,O,X
LZSJOIT,O,O,O,X,X,O,X
LZSOTIJ,X,O,O,X,X,O,X
LZSOTJI,X,O,O,X,X,O,X
LZSOITJ,X,X,O,X,X,O,X
LZSOIJT,X,X,O,X,X,O,X
LZSOJTI,X,O,O,X,X,O,X
LZSOJIT,X,O,O,X,X,O,X
LZOTIJS,X,O,O,O,O,O,O
LZOTISJ,X,X,O,O,X,O,O
LZOTJIS,X,O,O,O,O,O,O
LZOTJSI,X,O,O,O,O,O,O
LZOTSIJ,X,X,O,O,X,O,O
LZOTSJI,X,O,O,O,X,O,O
LZOITJS,X,X,O,O,X,O,O
LZOITSJ,X,X,O,O,X,O,O
LZOIJTS,X,X,O,O,X,O,O
LZOIJST,X,X,O,O,X,O,X
LZOISTJ,X,X,O,O,X,O,X
LZOISJT,X,X,O,X,X,O,X
LZOJTIS,X,O,O,O,O,O,O
LZOJTSI,X,O,O,O,O,O,O
LZOJITS,X,O,O,O,O,O,O
LZOJIST,X,O,O,O,X,O,X
LZOJSTI,X,O,O,O,O,O,X
LZOJSIT,X,O,O,O,X,O,X
LZOSTIJ,X,O,O,O,X,O,X
LZOSTJI,X,O,O,O,X,O,X
LZOSITJ,X,X,O,O,X,O,X
LZOSIJT,X,X,O,X,X,O,X
LZOSJTI,X,O,O,X,X,O,X
LZOSJIT,X,O,O,X,X,O,X
LOTIJSZ,O,X,X,O,X,O,X
LOTIJZS,O,X,X,O,X,O,O
LOTISJZ,X,X,O,O,X,O,X
LOTISZJ,X,X,O,O,X,O,O
LOTIZJS,X,X,O,O,O,O,O
LOTIZSJ,X,X,O,O,X,O,O
LOTJISZ,O,X,X,O,X,O,X
LOTJIZS,O,X,X,O,O,O,O
LOTJSIZ,O,X,X,O,X,O,X
LOTJSZI,O,X,X,O,O,O,X
LOTJZIS,O,X,X,O,O,O,O
LOTJZSI,O,X,X,O,O,O,O
LOTSIJZ,X,X,O,O,X,O,X
LOTSIZJ,X,X,O,O,X,O,O
LOTSJIZ,X,X,O,O,X,O,X
LOTSJZI,X,X,O,O,X,O,X
LOTSZIJ,X,X,O,O,X,O,O
LOTSZJI,X,X,O,O,X,O,O
LOTZIJS,X,X,O,O,O,O,O
LOTZISJ,X,X,O,O,X,O,O
LOTZJIS,X,X,O,O,O,O,O
LOTZJSI,X,X,O,O,O,O,O
LOTZSIJ,X,X,O,O,X,O,O
LOTZSJI,X,X,O,O,X,O,O
LOITJSZ,O,X,X,O,X,O,X
LOITJZS,O,X,X,O,X,O,O
LOITSJZ,X,X,O,O,X,O,X
LOITSZJ,X,X,O,O,X,O,O
LOITZJS,X,X,O,O,X,O,O
LOITZSJ,X,X,O,O,X,O,O
LOIJTSZ,O,X,X,O,X,O,X
LOIJTZS,O,X,X,O,X,O,X
LOIJSTZ,O,X,X,O,X,X,X
LOIJSZT,O,X,X,O,X,X,X
LOIJZTS,O,X,X,O,X,O,X
LOIJZST,O,X,X,O,X,O,X
LOISTJZ,O,X,O,O,X,O,X
LOISTZJ,O,X,O,O,X,O,X
LOISJTZ,O,X,X,O,X,X,X
LOISJZT,O,X,X,O,X,X,X
LOISZTJ,X,X,O,O,X,O,X
LOISZJT,X,X,O,X,X,O,X
LOIZTJS,X,X,O,O,X,O,O
LOIZTSJ,X,X,O,O,X,O,O
LOIZJTS,X,X,O,O,X,O,O
LOIZJST,X,X,O,O,X,O,X
LOIZSTJ,X,X,O,O,X,O,X
LOIZSJT,X,X,O,X,X,O,X
LOJTISZ,O,X,X,O,X,O,X
LOJTIZS,O,X,X,O,O,O,X
LOJTSIZ,O,X,X,O,X,O,X
LOJTSZI,O,X,X,O,O,O,X
LOJTZIS,O,X,X,O,O,O,X
LOJTZSI,O,X,X,O,O,O,X
LOJITSZ,O,X,X,O,X,O,X
LOJITZS,O,X,X,O,O,O,X
LOJISTZ,O,X,X,O,X,X,X
LOJISZT,O,X,X,O,X,X,X
LOJIZTS,O,X,X,O,O,O,X
LOJIZST,O,X,X,O,X,O,X
LOJSTIZ,O,X,X,O,X,X,X
LOJSTZI,O,X,X,O,O,X,X
LOJSITZ,O,X,X,O,X,X,X
LOJSIZT,O,X,X,O,X,X,X
LOJSZTI,O,X,X,O,O,X,X
LOJSZIT,O,X,X,O,X,X,X
LOJZTIS,O,X,X,O,O,O,X
LOJZTSI,O,X,X,O,O,O,X
LOJZITS,O,X,X,O,O,O,X
LOJZIST,O,X,X,O,X,O,X
LOJZSTI,O,X,X,O,O,O,X
LOJZSIT,O,X,X,O,X,O,X
LOSTIJZ,O,X,O,O,X,O,X
LOSTIZJ,O,X,O,O,X,O,X
LOSTJIZ,O,X,O,O,X,O,X
LOSTJZI,O,X,O,O,X,O,X
LOSTZIJ,O,X,O,O,X,O,X
LOSTZJI,O,X,O,O,X,O,X
LOSITJZ,O,X,O,O,X,O,X
LOSITZJ,O,X,O,O,X,O,X
LOSIJTZ,O,X,X,O,X,X,X
LOSIJZT,O,X,X,O,X,X,X
LOSIZTJ,X,X,O,O,X,O,X
LOSIZJT,X,X,O,X,X,O,X
LOSJTIZ,O,X,X,O,X,X,X
LOSJTZI,O,X,X,O,X,X,X
LOSJITZ,O,X,X,O,X,X,X
LOSJIZT,O,X,X,O,X,X,X
LOSJZTI,O,X,X,O,X,X,X
LOSJZIT,O,X,X,O,X,X,X
LOSZTIJ,X,X,O,O,X,O,X
LOSZTJI,X,X,O,O,X,O,X
LOSZITJ,X,X,O,O,X,O,X
LOSZIJT,X,X,O,X,X,O,X
LOSZJTI,X,X,O,X,X,O,X
LOSZJIT,X,X,O,X,X,O,X
LOZTIJS,X,X,O,O,O,O,O
LOZTISJ,X,X,O,O,X,O,O
LOZTJIS,X,X,O,O,O,O,O
LOZTJSI,X,X,O,O,O,O,O
LOZTSIJ,X,X,O,O,X,O,O
LOZTSJI,X,X,O,O,X,O,O
LOZITJS,X,X,O,O,X,O,O
LOZITSJ,X,X,O,O,X,O,O
LOZIJTS,X,X,O,O,X,O,O
LOZIJST,X,X,O,O,X,O,X
LOZISTJ,X,X,O,O,X,O,X
LOZISJT,X,X,O,X,X,O,X
LOZJTIS,X,X,O,O,O,O,O
LOZJTSI,X,X,O,O,O,O,O
LOZJITS,X,X,O,O,O,O,O
LOZJIST,X,X,O,O,X,O,X
LOZJSTI,X,X,O,O,O,O,X
LOZJSIT,X,X,O,O,X,O,X
LOZSTIJ,X,X,O,O,X,O,X
LOZSTJI,X,X,O,O,X,O,X
LOZSITJ,X,X,O,O,X,O,X
LOZSIJT,X,X,O,X,X,O,X
LOZSJTI,X,X,O,X,X,O,X
LOZSJIT,X,X,O,X,X,O,X
JTILSZO,O,X,O,O,X,O,X
JTILSOZ,O,X,O,O,X,X,X
JTILZSO,O,O,O,O,O,O,O
JTILZOS,O,O,O,O,O,O,O
JTILOSZ,O,X,X,O,X,X,X
JTILOZS,O,O,X,O,O,X,O
JTISLZO,O,O,X,O,X,O,X
JTISLOZ,O,O,X,O,X,X,X
JTISZLO,O,O,X,O,X,X,X
JTISZOL,O,O,X,O,X,X,X
JTISOLZ,O,O,X,O,X,X,X
JTISOZL,O,O,X,O,X,X,X
JTIZLSO,O,O,O,O,O,X,O
JTIZLOS,O,O,O,O,O,X,O
JTIZSLO,O,O,O,O,X,X,O
JTIZSOL,O,O,X,O,O,X,O
JTIZOLS,O,O,O,O,O,X,O
JTIZOSL,O,O,X,O,O,X,O
JTIOLSZ,O,X,X,O,X,X,X
JTIOLZS,O,O,X,O,O,X,O
JTIOSLZ,O,O,X,O,X,X,X
JTIOSZL,O,O,X,O,X,X,X
JTIOZLS,O,O,X,O,O,X,O
JTIOZSL,O,O,X,O,O,X,O
JTLISZO,O,X,O,O,X,O,X
JTLISOZ,O,X,O,O,X,X,X
JTLIZSO,O,O,O,O,O,O,O
JTLIZOS,O,O,O,O,O,O,O
JTLIOSZ,O,X,X,O,X,X,X
JTLIOZS,O,O,X,O,O,X,O
JTLSIZO,O,X,O,O,X,O,X
JTLSIOZ,O,X,O,O,X,X,X
JTLSZIO,O,X,O,O,O,O,X
JTLSZOI,O,X,O,O,O,O,X
JTLSOIZ,O,X,O,O,X,X,X
JTLSOZI,O,X,O,O,O,X,X
JTLZISO,O,O,O,O,O,O,O
JTLZIOS,O,O,O,O,O,O,O
JTLZSIO,O,O,O,O,O,O,O
JTLZSOI,O,O,O,O,O,O,O
JTLZOIS,O,O,O,O,O,O,O
JTLZOSI,O,O,O,O,O,O,O
JTLOISZ,O,X,X,O,X,X,X
JTLOIZS,O,O,X,O,O,X,O
JTLOSIZ,O,X,X,O,X,X,X
JTLOSZI,O,X,X,O,O,X,X
JTLOZIS,O,O,X,O,O,X,O
JTLOZSI,O,O,X,O,O,X,O
JTSILZO,O,O,X,O,X,O,X
JTSILOZ,O,O,X,O,X,X,X
JTSIZLO,O,O,X,O,X,X,X
JTSIZOL,O,O,X,O,X,X,X
JTSIOLZ,O,O,X,O,X,X,X
JTSIOZL,O,O,X,O,X,X,X
JTSLIZO,O,O,X,O,X,O,X
JTSLIOZ,O,O,X,O,X,X,X
JTSLZIO,O,O,X,O,O,O,X
JTSLZOI,O,O,X,O,O,O,X
JTSLOIZ,O,O,X,O,X,X,X
JTSLOZI,O,O,X,O,O,X,X
JTSZILO,O,O,X,O,X,X,X
JTSZIOL,O,O,X,O,O,X,X
JTSZLIO,O,O,X,O,O,X,X
JTSZLOI,O,O,X,O,O,X,X
JTSZOIL,O,O,X,O,O,X,X
JTSZOLI,O,O,X,O,O,X,X
JTSOILZ,O,O,X,O,X,X,X
JTSOIZL,O,O,X,O,X,X,X
JTSOLIZ,O,O,X,O,X,X,X
JTSOLZI,O,O,X,O,O,X,X
JTSOZIL,O,O,X,O,O,X,X
JTSOZLI,O,O,X,O,O,X,X
JTZILSO,O,O,O,O,O,X,O
JTZILOS,O,O,O,O,O,X,O
JTZISLO,O,O,O,O,X,X,O
JTZISOL,O,O,X,O,O,X,O
JTZIOLS,O,O,O,O,O,X,O
JTZIOSL,O,O,X,O,O,X,O
JTZLISO,O,O,O,O,O,X,O
JTZLIOS,O,O,O,O,O,X,O
JTZLSIO,O,O,O,O,O,X,O
JTZLSOI,O,O,O,O,O,X,O
JTZLOIS,O,O,O,O,O,X,O
JTZLOSI,O,O,O,O,O,X,O
JTZSILO,O,O,O,O,X,X,O
JTZSIOL,O,O,X,O,O,X,O
JTZSLIO,O,O,O,O,O,X,O
JTZSLOI,O,O,O,O,O,X,O
JTZSOIL,O,O,X,O,O,X,O
JTZSOLI,O,O,X,O,O,X,O
JTZOILS,O,O,O,O,O,X,O
JTZOISL,O,O,X,O,O,X,O
JTZOLIS,O,O,O,O,O,X,O
JTZOLSI,O,O,O,O,O,X,O
JTZOSIL,O,O,X,O,O,X,O
JTZOSLI,O,O,X,O,O,X,O
JTOILSZ,O,X,X,O,X,X,X
JTOILZS,O,O,X,O,O,X,O
JTOISLZ,O,O,X,O,X,X,X
JTOISZL,O,O,X,O,X,X,X
JTOIZLS,O,O,X,O,O,X,O
JTOIZSL,O,O,X,O,O,X,O
JTOLISZ,O,X,X,O,X,X,X
JTOLIZS,O,O,X,O,O,X,O
JTOLSIZ,O,X,X,O,X,X,X
JTOLSZI,O,X,X,O,O,X,X
JTOLZIS,O,O,X,O,O,X,O
JTOLZSI,O,O,X,O,O,X,O
JTOSILZ,O,O,X,O,X,X,X
JTOSIZL,O,O,X,O,X,X,X
JTOSLIZ,O,O,X,O,X,X,X
JTOSLZI,O,O,X,O,O,X,X
JTOSZIL,O,O,X,O,O,X,X
JTOSZLI,O,O,X,O,O,X,X
JTOZILS,O,O,X,O,O,X,O
JTOZISL,O,O,X,O,O,X,O
JTOZLIS,O,O,X,O,O,X,O
JTOZLSI,O,O,X,O,O,X,O
JTOZSIL,O,O,X,O,O,X,O
JTOZSLI,O,O,X,O,O,X,O
JITLSZO,O,X,O,O,X,O,X
JITLSOZ,O,X,O,O,X,X,X
JITLZSO,O,O,O,O,O,O,O
JITLZOS,O,O,O,O,O,O,O
JITLOSZ,O,X,X,O,X,X,X
JITLOZS,O,O,X,O,O,X,O
JITSLZO,O,O,X,O,X,O,X
JITSLOZ,O,O,X,O,X,X,X
JITSZLO,O,O,X,O,X,X,X
JITSZOL,O,O,X,O,X,X,X
JITSOLZ,O,O,X,O,X,X,X
JITSOZL,O,O,X,O,X,X,X
JITZLSO,O,O,O,O,O,X,O
JITZLOS,O,O,O,O,O,X,O
JITZSLO,O,O,O,O,X,X,O
JITZSOL,O,O,X,O,O,X,O
JITZOLS,O,O,O,O,O,X,O
JITZOSL,O,O,X,O,O,X,O
JITOLSZ,O,X,X,O,X,X,X
JITOLZS,O,O,X,O,O,X,O
JITOSLZ,O,O,X,O,X,X,X
JITOSZL,O,O,X,O,X,X,X
JITOZLS,O,O,X,O,O,X,O
JITOZSL,O,O,X,O,O,X,O
JILTSZO,O,X,O,O,X,O,X
JILTSOZ,O,X,O,O,X,X,X
JILTZSO,O,O,O,O,O,O,O
JILTZOS,O,O,O,O,O,O,O
JILTOSZ,O,X,X,O,X,X,X
JILTOZS,O,O,X,O,O,X,O
JILSTZO,O,O,O,O,X,X,X
JILSTOZ,O,O,O,O,X,X,X
JILSZTO,O,O,O,O,X,X,X
JILSZOT,O,O,O,O,X,X,X
JILSOTZ,O,O,X,O,X,X,X
JILSOZT,O,X,X,O,X,X,X
JILZTSO,O,O,O,O,O,O,O
JILZTOS,O,O,O,O,O,O,O
JILZSTO,O,O,O,O,X,O,O
JILZSOT,O,O,O,O,X,O,X
JILZOTS,O,O,O,O,O,O,O
JILZOST,O,O,O,O,X,O,X
JILOTSZ,O,X,X,O,X,O,X
JILOTZS,O,O,X,O,O,O,X
JILOSTZ,O,O,X,O,X,X,X
JILOSZT,O,X,X,O,X,X,X
JILOZTS,O,O,X,O,O,O,X
JILOZST,O,O,X,O,X,O,X
JISTLZO,O,O,O,O,X,O,X
JISTLOZ,O,O,O,O,X,X,X
JISTZLO,O,O,O,O,X,X,X
JISTZOL,O,O,O,O,X,X,X
JISTOLZ,O,O,O,O,X,X,X
JISTOZL,O,O,X,O,X,X,X
JISLTZO,O,O,O,O,X,X,X
JISLTOZ,O,O,O,O,X,X,X
JISLZTO,O,O,O,O,X,X,X
JISLZOT,O,O,O,O,X,X,X
JISLOTZ,O,O,X,O,X,X,X
JISLOZT,O,X,X,O,X,X,X
JISZTLO,O,O,O,O,X,X,X
JISZTOL,O,O,O,O,X,X,X
JISZLTO,O,O,O,O,X,X,X
JISZLOT,O,O,O,O,X,X,X
JISZOTL,O,O,O,O,X,X,X
JISZOLT,O,O,O,O,X,X,X
JISOTLZ,O,O,X,O,X,X,X
JISOTZL,O,O,X,O,X,X,X
JISOLTZ,O,O,X,O,X,X,X
JISOLZT,O,X,X,O,X,X,X
JISOZTL,O,O,X,O,X,X,X
JISOZLT,O,O,X,O,X,X,X
JIZTLSO,O,O,O,O,O,O,O
JIZTLOS,O,O,O,O,O,O,O
JIZTSLO,O,O,O,O,X,X,O
JIZTSOL,O,O,O,O,O,X,O
JIZTOLS,O,O,O,O,O,O,O
JIZTOSL,O,O,X,O,O,X,O
JIZLTSO,O,O,O,O,O,O,O
JIZLTOS,O,O,O,O,O,O,O
JIZLSTO,O,O,O,O,X,O,O
JIZLSOT,O,O,O,O,X,O,X
JIZLOTS,O,O,O,O,O,O,O
JIZLOST,O,O,O,O,X,O,X
JIZSTLO,O,O,O,O,X,X,O
JIZSTOL,O,O,O,O,X,X,O
JIZSLTO,O,O,O,O,X,O,O
JIZSLOT,O,O,O,O,X,O,X
JIZSOTL,O,O,O,O,X,X,X
JIZSOLT,O,O,O,O,X,O,X
JIZOTLS,O,O,O,O,O,O,O
JIZOTSL,O,O,X,O,O,X,O
JIZOLTS,O,O,O,O,O,O,O
JIZOLST,O,O,O,O,X,O,X
JIZOSTL,O,O,O,O,X,X,X
JIZOSLT,O,O,O,O,X,O,X
JIOTLSZ,O,X,X,O,X,O,X
JIOTLZS,O,O,X,O,O,O,X
JIOTSLZ,O,O,X,O,X,O,X
JIOTSZL,O,O,X,O,X,X,X
JIOTZLS,O,O,X,O,O,X,X
JIOTZSL,O,O,X,O,O,X,X
JIOLTSZ,O,X,X,O,X,O,X
JIOLTZS,O,O,X,O,O,O,X
JIOLSTZ,O,O,X,O,X,X,X
JIOLSZT,O,X,X,O,X,X,X
JIOLZTS,O,O,X,O,O,O,X
JIOLZST,O,O,X,O,X,O,X
JIOSTLZ,O,O,X,O,X,O,X
JIOSTZL,O,O,X,O,X,X,X
JIOSLTZ,O,O,X,O,X,X,X
JIOSLZT,O,X,X,O,X,X,X
JIOSZTL,O,O,X,O,X,X,X
JIOSZLT,O,O,X,O,X,X,X
JIOZTLS,O,O,X,O,O,O,X
JIOZTSL,O,O,X,O,O,X,X
JIOZLTS,O,O,X,O,O,O,X
JIOZLST,O,O,X,O,X,O,X
JIOZSTL,O,O,X,O,X,X,X
JIOZSLT,O,O,X,O,X,O,X
JLTISZO,O,X,O,O,X,O,X
JLTISOZ,O,X,O,O,X,X,X
JLTIZSO,O,O,O,O,O,O,O
JLTIZOS,O,O,O,O,O,O,O
JLTIOSZ,O,X,X,O,X,X,X
JLTIOZS,O,O,X,O,O,X,O
JLTSIZO,O,X,O,O,X,O,X
JLTSIOZ,O,X,O,O,X,X,X
JLTSZIO,O,X,O,O,O,O,X
JLTSZOI,O,X,O,O,O,O,X
JLTSOIZ,O,X,O,O,X,X,X
JLTSOZI,O,X,O,O,O,X,X
JLTZISO,O,O,O,O,O,O,O
JLTZIOS,O,O,O,O,O,O,O
JLTZSIO,O,O,O,O,O,O,O
JLTZSOI,O,O,O,O,O,O,O
JLTZOIS,O,O,O,O,O,O,O
JLTZOSI,O,O,O,O,O,O,O
JLTOISZ,O,X,X,O,X,X,X
JLTOIZS,O,O,X,O,O,X,O
JLTOSIZ,O,X,X,O,X,X,X
JLTOSZI,O,X,X,O,O,X,X
JLTOZIS,O,O,X,O,O,X,O
JLTOZSI,O,O,X,O,O,X,O
JLITSZO,O,X,O,O,X,O,X
JLITSOZ,O,X,O,O,X,X,X
JLITZSO,O,O,O,O,O,O,O
JLITZOS,O,O,O,O,O,O,O
JLITOSZ,O,X,X,O,X,X,X
JLITOZS,O,O,X,O,O,X,O
JLISTZO,O,O,O,O,X,X,X
JLISTOZ,O,O,O,O,X,X,X
JLISZTO,O,O,O,O,X,X,X
JLISZOT,O,O,O,O,X,X,X
JLISOTZ,O,O,X,O,X,X,X
JLISOZT,O,X,X,O,X,X,X
JLIZTSO,O,O,O,O,O,O,O
JLIZTOS,O,O,O,O,O,O,O
JLIZSTO,O,O,O,O,X,O,O
JLIZSOT,O,O,O,O,X,O,X
JLIZOTS,O,O,O,O,O,O,O
JLIZOST,O,O,O,O,X,O,X
JLIOTSZ,O,X,X,O,X,O,X
JLIOTZS,O,O,X,O,O,O,X
JLIOSTZ,O,O,X,O,X,X,X
JLIOSZT,O,X,X,O,X,X,X
JLIOZTS,O,O,X,O,O,O,X
JLIOZST,O,O,X,O,X,O,X
JLSTIZO,O,O,O,O,X,X,X
JLSTIOZ,O,O,O,O,X,X,X
JLSTZIO,O,O,O,O,O,X,X
JLSTZOI,O,O,O,O,O,X,X
