sequence,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzaBXdBUhBClBGm?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jei6IvhFfhBxcBUgBumBTk?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jei6IvhFFcBXdBckBelB5l?BTrB,v115@7gB8GeC8FeD8FeG8AeF8JeT6IvhFxcBlgBumBikB8q?BXqB,v115@7gB8GeC8FeD8FeG8AeF8JeO/IvhF8fBFcBXdB5lByu?BTrB,v115@7gB8GeC8FeD8FeG8AeF8JeT6IvhF0bBxcBVlB3hB2p?BCrB,v115@7gB8GeC8FeD8FeG8AeF8Jex6IvhFXdBOkB8kBzgB6m?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzbBukB3hBUgBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jex6IvhF8gBmfB3hBTkBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzbBUgB3hBukBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhF3bBWlBlhB8qBzp?BCsB,v115@7gB8GeC8FeD8FeG8AeF8Je//IvhFRbBTgBlhB2pB8q?BCsB,v115@7gB8GeC8FeD8FeG8AeF8Jez7IvhF3hBxkBOkB8kBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Je37IvhFlhBxkB8qBTpBmp?BCsB
ZIJSOTL,X,X,O,X,X,O,X,O,X,X,O,O,X,X
ZIJSOLT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ZIJOTLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZIJOTSL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
ZIJOLTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZIJOLST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZIJOSTL,X,X,O,X,X,O,X,X,X,X,O,O,X,X
ZIJOSLT,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZISTLJO,O,X,O,X,O,X,X,X,X,X,O,X,X,X
ZISTLOJ,O,X,O,X,O,X,X,X,X,O,X,X,X,O
ZISTJLO,O,X,O,X,X,X,X,X,X,X,O,X,X,X
ZISTJOL,X,X,O,X,X,X,O,O,X,O,O,X,X,O
ZISTOLJ,O,X,X,X,X,X,X,X,X,O,X,X,X,O
ZISTOJL,X,X,X,X,X,X,O,O,X,O,O,X,X,O
ZISLTJO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISLTOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,O
ZISLJTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISLJOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZISLOTJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISLOJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZISJTLO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
ZISJTOL,X,X,O,X,X,O,O,X,X,X,O,X,X,O
ZISJLTO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
ZISJLOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZISJOTL,X,X,O,X,X,O,X,O,X,X,O,X,X,X
ZISJOLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZISOTLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,O
ZISOTJL,X,X,X,X,X,X,X,O,X,O,X,X,X,O
ZISOLTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZISOLJT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZISOJTL,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZISOJLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZIOTLJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIOTLSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ZIOTJLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTJSL,X,X,O,X,X,X,X,X,X,X,O,O,X,O
ZIOTSLJ,X,O,O,X,O,X,X,X,X,X,X,X,X,O
ZIOTSJL,X,X,O,X,X,X,X,X,X,X,O,X,X,O
ZIOLTJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIOLTSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOLJTS,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOLJST,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOLSTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOLSJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOJTLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJTSL,X,O,O,X,X,X,X,X,X,X,O,O,X,X
ZIOJLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJLST,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJSTL,X,X,O,X,X,X,X,X,X,X,O,O,X,X
ZIOJSLT,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZIOSTLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ZIOSTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZIOSLTJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOSLJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOSJTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOSJLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLTIJSO,O,X,X,O,O,O,X,X,X,X,O,X,X,X
ZLTIJOS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
ZLTISJO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
ZLTISOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O
ZLTIOJS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
ZLTIOSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O
ZLTJISO,O,X,O,O,O,O,X,X,X,X,O,X,X,X
ZLTJIOS,O,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLTJSIO,O,X,O,O,O,O,X,X,X,X,O,X,X,X
ZLTJSOI,O,X,O,O,O,O,O,X,X,X,X,O,X,X
ZLTJOIS,O,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLTJOSI,O,X,O,O,O,O,O,X,X,X,X,O,X,X
ZLTSIJO,O,X,O,X,O,O,X,X,X,X,O,X,X,X
ZLTSIOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,O
ZLTSJIO,O,X,O,O,O,O,X,X,X,X,O,X,X,X
ZLTSJOI,O,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLTSOIJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLTSOJI,O,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLTOIJS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
ZLTOISJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLTOJIS,O,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLTOJSI,O,X,O,O,O,O,O,X,X,X,X,O,X,X
ZLTOSIJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLTOSJI,O,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLITJSO,O,X,X,O,O,O,X,X,X,X,O,X,X,X
ZLITJOS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
ZLITSJO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
ZLITSOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O
ZLITOJS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
ZLITOSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O
ZLIJTSO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
ZLIJTOS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLIJSTO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
ZLIJSOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLIJOTS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLIJOST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLISTJO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLISTOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,O
ZLISJTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLISJOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLISOTJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLISOJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLIOTJS,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLIOTSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLIOJTS,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLIOJST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLIOSTJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLIOSJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLJTISO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
ZLJTIOS,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLJTSIO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
ZLJTSOI,X,X,O,O,O,O,O,X,X,X,X,O,X,X
ZLJTOIS,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLJTOSI,X,X,O,O,O,O,O,X,X,X,X,O,X,X
ZLJITSO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
ZLJITOS,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLJISTO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
ZLJISOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLJIOTS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLJIOST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLJSTIO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
ZLJSTOI,X,X,O,O,O,O,O,X,X,X,X,O,X,X
ZLJSITO,X,X,O,O,O,O,X,X,X,X,O,X,X,X
ZLJSIOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLJSOTI,X,X,O,O,O,X,X,X,X,X,X,O,X,X
ZLJSOIT,O,X,O,O,O,X,X,X,X,X,X,O,X,X
ZLJOTIS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLJOTSI,X,X,O,O,O,O,X,X,X,X,X,O,X,X
ZLJOITS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLJOIST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLJOSTI,X,X,O,O,O,X,X,X,X,X,X,O,X,X
ZLJOSIT,O,X,O,O,O,X,X,X,X,X,X,O,X,X
ZLSTIJO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLSTIOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLSTJIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLSTJOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLSTOIJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLSTOJI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLSITJO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLSITOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLSIJTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLSIJOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLSIOTJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLSIOJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLSJTIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLSJTOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZLSJITO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLSJIOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLSJOTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLSJOIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLSOTIJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLSOTJI,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLSOITJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLSOIJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLSOJTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLSOJIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLOTIJS,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLOTISJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLOTJIS,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLOTJSI,O,X,O,O,O,X,X,X,X,X,X,O,X,X
ZLOTSIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLOTSJI,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLOITJS,O,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLOITSJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLOIJTS,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLOIJST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLOISTJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLOISJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLOJTIS,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLOJTSI,X,X,O,O,O,X,X,X,X,X,X,O,X,X
ZLOJITS,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLOJIST,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLOJSTI,X,X,O,O,O,X,X,X,X,X,X,O,X,X
ZLOJSIT,O,X,O,O,O,X,X,X,X,X,X,O,X,X
ZLOSTIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLOSTJI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLOSITJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLOSIJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLOSJTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLOSJIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJTILSO,X,O,O,O,X,X,X,X,X,X,O,X,X,X
ZJTILOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJTISLO,X,O,O,O,X,O,X,X,X,X,O,X,X,X
ZJTISOL,X,O,O,X,X,O,O,O,X,X,O,O,X,O
ZJTIOLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJTIOSL,X,O,O,X,X,O,O,X,X,X,O,O,X,O
ZJTLISO,X,O,O,O,X,O,X,X,X,X,O,X,X,X
ZJTLIOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJTLSIO,X,O,O,O,X,O,X,X,X,X,O,X,X,X
ZJTLSOI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
ZJTLOIS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJTLOSI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
ZJTSILO,X,O,O,O,X,O,X,X,X,X,O,X,X,X
ZJTSIOL,X,O,O,X,X,O,O,O,X,X,O,O,X,O
ZJTSLIO,X,O,O,O,X,O,X,X,X,X,O,X,X,X
ZJTSLOI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
ZJTSOIL,X,O,O,X,X,O,O,O,X,X,O,O,X,X
ZJTSOLI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
ZJTOILS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
ZJTOISL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
ZJTOLIS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
ZJTOLSI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
ZJTOSIL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
ZJTOSLI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
ZJITLSO,X,X,O,O,X,X,X,X,X,X,O,X,X,X
ZJITLOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJITSLO,X,O,O,O,X,X,X,X,X,X,O,X,X,X
ZJITSOL,X,O,O,X,X,O,O,O,X,X,O,O,X,O
ZJITOLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJITOSL,X,O,O,X,X,O,O,X,X,X,O,O,X,O
ZJILTSO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJILTOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJILSTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJILSOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJILOTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJILOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJISTLO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJISTOL,X,X,O,X,X,O,O,X,X,X,O,O,X,O
ZJISLTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJISLOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJISOTL,X,X,O,X,X,O,X,O,X,X,O,O,X,X
ZJISOLT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ZJIOTLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJIOTSL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
ZJIOLTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJIOLST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJIOSTL,X,X,O,X,X,O,X,X,X,X,O,O,X,X
ZJIOSLT,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJLTISO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJLTIOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJLTSIO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJLTSOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
ZJLTOIS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJLTOSI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
ZJLITSO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJLITOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJLISTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJLISOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJLIOTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJLIOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJLSTIO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJLSTOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
ZJLSITO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJLSIOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJLSOTI,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZJLSOIT,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZJLOTIS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJLOTSI,X,X,O,O,X,O,X,X,X,X,X,O,X,X
ZJLOITS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJLOIST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJLOSTI,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZJLOSIT,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZJSTILO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJSTIOL,X,X,O,X,X,O,O,X,X,X,O,O,X,X
ZJSTLIO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJSTLOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
ZJSTOIL,X,X,O,X,X,O,O,X,X,X,O,O,X,X
ZJSTOLI,X,X,O,X,X,O,O,X,X,X,X,O,X,X
ZJSITLO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJSITOL,X,X,O,X,X,O,O,X,X,X,O,O,X,X
ZJSILTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJSILOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJSIOTL,X,X,O,X,X,O,X,O,X,X,O,O,X,X
ZJSIOLT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ZJSLTIO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJSLTOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
ZJSLITO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZJSLIOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJSLOTI,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZJSLOIT,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZJSOTIL,X,X,O,X,X,O,O,X,X,X,O,O,X,X
ZJSOTLI,X,X,O,X,X,O,O,X,X,X,X,O,X,X
ZJSOITL,X,X,O,X,X,O,X,O,X,X,O,O,X,X
ZJSOILT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ZJSOLTI,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJSOLIT,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJOTILS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
ZJOTISL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
ZJOTLIS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
ZJOTLSI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
ZJOTSIL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
ZJOTSLI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
ZJOITLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJOITSL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
ZJOILTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJOILST,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJOISTL,X,O,O,X,X,O,X,X,X,X,O,O,X,X
ZJOISLT,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJOLTIS,X,O,O,O,X,O,X,X,X,X,X,X,X,X
ZJOLTSI,X,O,O,O,X,O,X,X,X,X,X,O,X,X
ZJOLITS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJOLIST,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJOLSTI,X,O,O,O,X,X,X,X,X,X,X,O,X,X
ZJOLSIT,X,O,O,O,X,X,X,X,X,X,X,O,X,X
ZJOSTIL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
ZJOSTLI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
ZJOSITL,X,O,O,X,X,O,X,X,X,X,O,O,X,X
ZJOSILT,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJOSLTI,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJOSLIT,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZSTILJO,O,X,O,X,O,X,X,X,X,X,O,X,O,X
ZSTILOJ,O,X,O,X,O,X,X,X,X,O,X,X,O,O
ZSTIJLO,O,X,O,X,X,X,X,X,X,X,O,X,O,X
ZSTIJOL,X,X,O,X,X,X,O,O,O,O,O,X,O,O
ZSTIOLJ,O,X,X,X,X,X,X,X,X,O,X,X,O,O
ZSTIOJL,X,X,X,X,X,X,O,O,O,O,O,X,O,O
ZSTLIJO,O,X,O,X,O,X,X,X,X,X,O,X,X,X
ZSTLIOJ,O,X,O,X,O,X,X,X,X,O,X,X,X,O
ZSTLJIO,O,X,O,O,O,X,X,X,X,X,O,X,X,X
ZSTLJOI,O,X,O,O,O,X,O,X,O,X,X,X,X,X
ZSTLOIJ,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSTLOJI,O,X,O,O,O,X,O,X,O,X,X,X,X,X
ZSTJILO,O,X,O,O,X,X,X,X,X,X,O,X,X,X
ZSTJIOL,X,X,O,X,X,X,O,O,O,O,O,O,X,O
ZSTJLIO,O,X,O,O,X,X,X,X,X,X,O,X,X,X
ZSTJLOI,O,X,O,O,X,X,O,X,O,X,X,O,X,X
ZSTJOIL,X,X,O,X,X,X,O,O,O,O,O,O,X,X
ZSTJOLI,X,X,O,X,X,X,O,X,O,X,X,O,X,X
ZSTOILJ,O,X,O,X,O,X,X,X,X,O,X,X,O,O
ZSTOIJL,X,X,O,X,X,X,O,O,O,O,O,X,O,O
ZSTOLIJ,O,X,O,X,O,X,X,X,X,O,X,X,X,X
ZSTOLJI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
ZSTOJIL,X,X,O,X,X,X,O,O,O,O,O,O,X,X
ZSTOJLI,X,X,O,X,X,X,O,X,O,X,X,O,X,X
ZSITLJO,O,X,O,X,O,X,X,X,X,X,O,X,X,X
ZSITLOJ,O,X,O,X,O,X,X,X,X,O,X,X,X,O
ZSITJLO,O,X,O,X,X,X,X,X,X,X,O,X,X,X
ZSITJOL,X,X,O,X,X,X,O,O,X,O,O,X,X,O
ZSITOLJ,O,X,X,X,X,X,X,X,X,O,X,X,X,O
ZSITOJL,X,X,X,X,X,X,O,O,X,O,O,X,X,O
ZSILTJO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSILTOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,O
ZSILJTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSILJOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSILOTJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSILOJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSIJTLO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
ZSIJTOL,X,X,O,X,X,O,O,X,X,X,O,X,X,O
ZSIJLTO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
ZSIJLOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIJOTL,X,X,O,X,X,O,X,O,X,X,O,X,X,X
ZSIJOLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZSIOTLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,O
ZSIOTJL,X,X,X,X,X,X,X,O,X,O,X,X,X,O
ZSIOLTJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIOLJT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIOJTL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZSIOJLT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZSLTIJO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSLTIOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSLTJIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZSLTJOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZSLTOIJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSLTOJI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZSLITJO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSLITOJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSLIJTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSLIJOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSLIOTJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSLIOJT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSLJTIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZSLJTOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZSLJITO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZSLJIOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZSLJOTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
