sequence,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiB6?oBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhF5jBykBFiB8?nBmnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jem9IvhF5jBifBFiB0?fBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFxdBykBFiB8?nB+oB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiBC?oBToB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFldB5jBykBU?iBeoB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFifBFiBTjB0?fBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB6oB8?pBznBOpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je5DJvhF/kBalBFiB8?nBmnBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhF5jBzfBUiBa?oBlnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeVCJvhFTeBifB0fBx?nBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFViBajB5jBz?kB0nB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFxdBUiBFjBz?kBStB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeX9IvhFVjBmfB0kBx?nBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFykBFiBGoB0?kBXoBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF/kBalBFiB8?nB+oBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFmfBFiBXjB0?kBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB8pBC?oBToBOpB
ZISJLTO,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZISJLOT,X,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZISJOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZISJOLT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZISOTLJ,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZISOTJL,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZISOLTJ,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZISOLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISOJTL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISOJLT,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZIOTLJS,X,O,O,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
ZIOTLSJ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
ZIOTJLS,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZIOTJSL,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ZIOTSLJ,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZIOTSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOLTJS,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZIOLTSJ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
ZIOLJTS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZIOLJST,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZIOLSTJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
ZIOLSJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZIOJTLS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZIOJTSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZIOJLTS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZIOJLST,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZIOJSTL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZIOJSLT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZIOSTLJ,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIOSTJL,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZIOSLTJ,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIOSLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZIOSJTL,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZIOSJLT,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZLTIJSO,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
ZLTIJOS,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
ZLTISJO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
ZLTISOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZLTIOJS,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
ZLTIOSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLTJISO,O,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,O,X
ZLTJIOS,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X
ZLTJSIO,O,X,X,X,O,O,X,X,O,X,X,O,O,X,O,X,O,X
ZLTJSOI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,O
ZLTJOIS,O,O,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X
ZLTJOSI,O,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X
ZLTSIJO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
ZLTSIOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZLTSJIO,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,O,X
ZLTSJOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
ZLTSOIJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
ZLTSOJI,X,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,O
ZLTOIJS,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
ZLTOISJ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLTOJIS,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
ZLTOJSI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X
ZLTOSIJ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O
ZLTOSJI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O
ZLITJSO,X,O,O,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X
ZLITJOS,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
ZLITSJO,X,O,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,X
ZLITSOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZLITOJS,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
ZLITOSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLIJTSO,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,O,X
ZLIJTOS,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZLIJSTO,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
ZLIJSOT,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZLIJOTS,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLIJOST,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLISTJO,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
ZLISTOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZLISJTO,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
ZLISJOT,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZLISOTJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLISOJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLIOTJS,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLIOTSJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLIOJTS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLIOJST,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLIOSTJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLIOSJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLJTISO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
ZLJTIOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
ZLJTSIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
ZLJTSOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
ZLJTOIS,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
ZLJTOSI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
ZLJITSO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X
ZLJITOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
ZLJISTO,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
ZLJISOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZLJIOTS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLJIOST,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLJSTIO,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X
ZLJSTOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O
ZLJSITO,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
ZLJSIOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZLJSOTI,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X
ZLJSOIT,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLJOTIS,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X
ZLJOTSI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X
ZLJOITS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLJOIST,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLJOSTI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X
ZLJOSIT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTIJO,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X
ZLSTIOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZLSTJIO,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O,X
ZLSTJOI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLSTOIJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
ZLSTOJI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O
ZLSITJO,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
ZLSITOJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
ZLSIJTO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
ZLSIJOT,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZLSIOTJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLSIOJT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSJTIO,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X
ZLSJTOI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,O,O
ZLSJITO,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,O,X
ZLSJIOT,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZLSJOTI,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X
ZLSJOIT,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSOTIJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
ZLSOTJI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O
ZLSOITJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
ZLSOIJT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSOJTI,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
ZLSOJIT,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLOTIJS,X,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
ZLOTISJ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLOTJIS,X,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
ZLOTJSI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X
ZLOTSIJ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O
ZLOTSJI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,O
ZLOITJS,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOITSJ,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZLOIJTS,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLOIJST,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLOISTJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
ZLOISJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLOJTIS,X,O,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X
ZLOJTSI,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,O,X
ZLOJITS,X,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZLOJIST,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLOJSTI,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X
ZLOJSIT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLOSTIJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
ZLOSTJI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O
ZLOSITJ,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
ZLOSIJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLOSJTI,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X
ZLOSJIT,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJTILSO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X
ZJTILOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
ZJTISLO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
ZJTISOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTIOLS,O,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
ZJTIOSL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLISO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
ZJTLIOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
ZJTLSIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
ZJTLSOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
ZJTLOIS,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
ZJTLOSI,O,X,X,O,O,O,O,X,X,X,X,O,X,X,O,O,O,X
ZJTSILO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
ZJTSIOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSLIO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X
ZJTSLOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O
ZJTSOIL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSOLI,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJTOILS,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
ZJTOISL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZJTOLIS,O,X,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
ZJTOLSI,O,X,X,O,O,O,O,O,X,X,X,O,X,X,X,O,O,X
ZJTOSIL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZJTOSLI,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
ZJITLSO,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,O,O,X
ZJITLOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
ZJITSLO,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X
ZJITSOL,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJITOLS,O,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
ZJITOSL,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJILTSO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X
ZJILTOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
ZJILSTO,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
ZJILSOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJILOTS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJILOST,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJISTLO,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X
ZJISTOL,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJISLTO,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJISLOT,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJISOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJISOLT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJIOTLS,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZJIOTSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOLTS,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJIOLST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJIOSTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOSLT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJLTISO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
ZJLTIOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
ZJLTSIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
ZJLTSOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
ZJLTOIS,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
ZJLTOSI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
ZJLITSO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X
ZJLITOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
ZJLISTO,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
ZJLISOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJLIOTS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJLIOST,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJLSTIO,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X
ZJLSTOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O
ZJLSITO,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
ZJLSIOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJLSOTI,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X
ZJLSOIT,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJLOTIS,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X
ZJLOTSI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X
ZJLOITS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJLOIST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJLOSTI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X
ZJLOSIT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTILO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
ZJSTIOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTLIO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X
ZJSTLOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O
ZJSTOIL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSTOLI,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJSITLO,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X
ZJSITOL,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJSILTO,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJSILOT,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJSIOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJSIOLT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJSLTIO,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
ZJSLTOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O
ZJSLITO,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X
ZJSLIOT,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZJSLOTI,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,O,X
ZJSLOIT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJSOTIL,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ZJSOTLI,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
ZJSOITL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJSOILT,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJSOLTI,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
ZJSOLIT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJOTILS,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
ZJOTISL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZJOTLIS,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
ZJOTLSI,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,O,X
ZJOTSIL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZJOTSLI,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
ZJOITLS,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZJOITSL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJOILTS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZJOILST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJOISTL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJOISLT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJOLTIS,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
ZJOLTSI,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,O,X
ZJOLITS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZJOLIST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJOLSTI,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,O,X
ZJOLSIT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJOSTIL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZJOSTLI,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
ZJOSITL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJOSILT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJOSLTI,O,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
ZJOSLIT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZSTILJO,X,O,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X
ZSTILOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O
ZSTIJLO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZSTIJOL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZSTIOLJ,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZSTIOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZSTLIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X
ZSTLIOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O
ZSTLJIO,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X
ZSTLJOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
ZSTLOIJ,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O
ZSTLOJI,X,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,O
ZSTJILO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSTJIOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJLIO,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X
ZSTJLOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
ZSTJOIL,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
