sequence,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3bBzcB5jB8lBSnBlrB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3cB5jB6lBTiBUhBlrB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3bBUdB5jBzlBFnB6rB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF/iB5jB6lBThB8rBFrB
JSTZIOL,O,X,O,X
JSTZLIO,O,X,X,O
JSTZLOI,O,X,X,O
JSTZOIL,O,X,O,X
JSTZOLI,O,X,O,X
JSTOILZ,X,X,O,X
JSTOIZL,X,X,O,X
JSTOLIZ,X,X,O,X
JSTOLZI,X,X,O,X
JSTOZIL,X,X,O,X
JSTOZLI,X,X,O,X
JSITLZO,O,X,X,O
JSITLOZ,O,X,X,X
JSITZLO,O,X,X,O
JSITZOL,O,X,O,X
JSITOLZ,X,X,O,X
JSITOZL,X,X,O,X
JSILTZO,O,X,X,O
JSILTOZ,O,O,X,X
JSILZTO,O,X,X,O
JSILZOT,O,X,X,O
JSILOTZ,O,O,O,X
JSILOZT,O,O,X,O
JSIZTLO,O,X,X,O
JSIZTOL,O,X,X,X
JSIZLTO,O,X,X,O
JSIZLOT,O,X,X,O
JSIZOTL,O,X,O,X
JSIZOLT,O,X,X,O
JSIOTLZ,X,X,O,X
JSIOTZL,X,X,O,X
JSIOLTZ,X,O,O,X
JSIOLZT,X,O,X,O
JSIOZTL,O,X,O,X
JSIOZLT,O,X,X,O
JSLTIZO,O,X,X,O
JSLTIOZ,O,O,X,X
JSLTZIO,O,X,X,O
JSLTZOI,O,X,X,O
JSLTOIZ,O,O,X,X
JSLTOZI,O,O,X,X
JSLITZO,O,X,X,O
JSLITOZ,O,O,X,X
JSLIZTO,O,X,X,O
JSLIZOT,O,X,X,O
JSLIOTZ,O,O,O,X
JSLIOZT,O,O,X,O
JSLZTIO,O,X,X,O
JSLZTOI,O,X,X,O
JSLZITO,O,X,X,O
JSLZIOT,O,X,X,O
JSLZOTI,O,X,X,O
JSLZOIT,O,X,X,O
JSLOTIZ,O,O,O,X
JSLOTZI,O,O,O,X
JSLOITZ,O,O,O,X
JSLOIZT,O,O,X,O
JSLOZTI,O,X,X,O
JSLOZIT,O,O,X,O
JSZTILO,O,X,X,O
JSZTIOL,O,X,X,X
JSZTLIO,O,X,X,O
JSZTLOI,O,X,X,O
JSZTOIL,O,X,X,X
JSZTOLI,O,X,X,X
JSZITLO,O,X,X,O
JSZITOL,O,X,X,X
JSZILTO,O,X,X,O
JSZILOT,O,X,X,O
JSZIOTL,O,X,O,X
JSZIOLT,O,X,X,O
JSZLTIO,O,X,X,O
JSZLTOI,O,X,X,O
JSZLITO,O,X,X,O
JSZLIOT,O,X,X,O
JSZLOTI,O,X,X,O
JSZLOIT,O,X,X,O
JSZOTIL,O,X,O,X
JSZOTLI,O,X,O,X
JSZOITL,O,X,O,X
JSZOILT,O,X,X,O
JSZOLTI,O,X,X,O
JSZOLIT,O,X,X,O
JSOTILZ,X,X,O,X
JSOTIZL,X,X,O,X
JSOTLIZ,X,X,O,X
JSOTLZI,X,X,O,X
JSOTZIL,X,X,O,X
JSOTZLI,X,X,O,X
JSOITLZ,X,X,O,X
JSOITZL,X,X,O,X
JSOILTZ,X,O,O,X
JSOILZT,X,O,X,O
JSOIZTL,O,X,O,X
JSOIZLT,O,X,X,O
JSOLTIZ,X,O,O,X
JSOLTZI,X,O,O,X
JSOLITZ,X,O,O,X
JSOLIZT,X,O,X,O
JSOLZTI,X,X,X,O
JSOLZIT,X,O,X,O
JSOZTIL,O,X,O,X
JSOZTLI,O,X,O,X
JSOZITL,O,X,O,X
JSOZILT,O,X,X,O
JSOZLTI,O,X,X,O
JSOZLIT,O,X,X,O
JZTILSO,O,X,X,X
JZTILOS,O,X,O,X
JZTISLO,O,X,X,X
JZTISOL,O,X,O,X
JZTIOLS,O,X,O,X
JZTIOSL,O,X,O,X
JZTLISO,O,X,X,X
JZTLIOS,O,X,O,X
JZTLSIO,O,X,X,X
JZTLSOI,O,X,X,X
JZTLOIS,O,X,O,X
JZTLOSI,O,X,O,X
JZTSILO,O,X,X,X
JZTSIOL,O,X,O,X
JZTSLIO,O,X,X,X
JZTSLOI,O,X,X,X
JZTSOIL,O,X,O,X
JZTSOLI,O,X,O,X
JZTOILS,O,X,O,X
JZTOISL,O,X,O,X
JZTOLIS,O,X,O,X
JZTOLSI,O,X,O,X
JZTOSIL,O,X,O,X
JZTOSLI,O,X,O,X
JZITLSO,O,X,X,X
JZITLOS,O,X,O,X
JZITSLO,O,X,X,X
JZITSOL,O,X,O,X
JZITOLS,O,X,O,X
JZITOSL,O,X,O,X
JZILTSO,O,X,X,X
JZILTOS,O,O,X,X
JZILSTO,O,X,X,O
JZILSOT,O,X,X,O
JZILOTS,O,O,X,X
JZILOST,O,O,X,X
JZISTLO,O,X,X,O
JZISTOL,O,X,X,X
JZISLTO,O,X,X,O
JZISLOT,O,X,X,O
JZISOTL,O,X,O,X
JZISOLT,O,X,X,O
JZIOTLS,O,X,O,X
JZIOTSL,O,X,O,X
JZIOLTS,O,O,X,X
JZIOLST,O,O,X,X
JZIOSTL,O,X,O,X
JZIOSLT,O,X,X,X
JZLTISO,O,X,X,X
JZLTIOS,O,O,X,X
JZLTSIO,O,X,X,X
JZLTSOI,O,X,X,X
JZLTOIS,O,O,X,X
JZLTOSI,O,O,X,X
JZLITSO,O,X,X,X
JZLITOS,O,O,X,X
JZLISTO,O,X,X,O
JZLISOT,O,X,X,O
JZLIOTS,O,O,X,X
JZLIOST,O,O,X,X
JZLSTIO,O,X,X,O
JZLSTOI,O,X,X,O
JZLSITO,O,X,X,O
JZLSIOT,O,X,X,O
JZLSOTI,O,X,X,O
JZLSOIT,O,X,X,O
JZLOTIS,O,O,X,X
JZLOTSI,O,O,X,X
JZLOITS,O,O,X,X
JZLOIST,O,O,X,X
JZLOSTI,O,X,X,X
JZLOSIT,O,O,X,X
JZSTILO,O,X,X,O
JZSTIOL,O,X,X,X
JZSTLIO,O,X,X,O
JZSTLOI,O,X,X,O
JZSTOIL,O,X,X,X
JZSTOLI,O,X,X,X
JZSITLO,O,X,X,O
JZSITOL,O,X,X,X
JZSILTO,O,X,X,O
JZSILOT,O,X,X,O
JZSIOTL,O,X,O,X
JZSIOLT,O,X,X,O
JZSLTIO,O,X,X,O
JZSLTOI,O,X,X,O
JZSLITO,O,X,X,O
JZSLIOT,O,X,X,O
JZSLOTI,O,X,X,O
JZSLOIT,O,X,X,O
JZSOTIL,O,X,O,X
JZSOTLI,O,X,O,X
JZSOITL,O,X,O,X
JZSOILT,O,X,X,O
JZSOLTI,O,X,X,O
JZSOLIT,O,X,X,O
JZOTILS,O,X,O,X
JZOTISL,O,X,O,X
JZOTLIS,O,X,O,X
JZOTLSI,O,X,O,X
JZOTSIL,O,X,O,X
JZOTSLI,O,X,O,X
JZOITLS,O,X,O,X
JZOITSL,O,X,O,X
JZOILTS,O,O,X,X
JZOILST,O,O,X,X
JZOISTL,O,X,O,X
JZOISLT,O,X,X,X
JZOLTIS,O,O,X,X
JZOLTSI,O,O,X,X
JZOLITS,O,O,X,X
JZOLIST,O,O,X,X
JZOLSTI,O,X,X,X
JZOLSIT,O,O,X,X
JZOSTIL,O,X,O,X
JZOSTLI,O,X,O,X
JZOSITL,O,X,O,X
JZOSILT,O,X,X,X
JZOSLTI,O,X,X,X
JZOSLIT,O,X,X,X
JOTILSZ,O,O,O,X
JOTILZS,O,O,O,X
JOTISLZ,X,O,O,X
JOTISZL,X,X,O,X
JOTIZLS,O,X,O,X
JOTIZSL,O,X,O,X
JOTLISZ,O,O,O,X
JOTLIZS,O,O,O,X
JOTLSIZ,O,O,O,X
JOTLSZI,O,O,O,X
JOTLZIS,O,O,O,X
JOTLZSI,O,O,O,X
JOTSILZ,X,O,O,X
JOTSIZL,X,X,O,X
JOTSLIZ,X,O,O,X
JOTSLZI,X,O,O,X
JOTSZIL,X,X,O,X
JOTSZLI,X,X,O,X
JOTZILS,O,X,O,X
JOTZISL,O,X,O,X
JOTZLIS,O,X,O,X
JOTZLSI,O,X,O,X
JOTZSIL,O,X,O,X
JOTZSLI,O,X,O,X
JOITLSZ,O,O,O,X
JOITLZS,O,O,O,X
JOITSLZ,X,O,O,X
JOITSZL,X,X,O,X
JOITZLS,O,X,O,X
JOITZSL,O,X,O,X
JOILTSZ,O,O,O,X
JOILTZS,O,O,O,X
JOILSTZ,O,O,O,X
JOILSZT,O,O,X,O
JOILZTS,O,O,X,X
JOILZST,O,O,X,X
JOISTLZ,X,X,O,X
JOISTZL,X,X,O,X
JOISLTZ,X,O,O,X
JOISLZT,X,O,X,O
JOISZTL,O,X,O,X
JOISZLT,O,X,X,O
JOIZTLS,O,X,O,X
JOIZTSL,O,X,O,X
JOIZLTS,O,O,X,X
JOIZLST,O,O,X,X
JOIZSTL,O,X,O,X
JOIZSLT,O,X,X,X
JOLTISZ,O,O,O,X
JOLTIZS,O,O,O,X
JOLTSIZ,O,O,O,X
JOLTSZI,O,O,O,X
JOLTZIS,O,O,O,X
JOLTZSI,O,O,O,X
JOLITSZ,O,O,O,X
JOLITZS,O,O,O,X
JOLISTZ,O,O,O,X
JOLISZT,O,O,X,O
JOLIZTS,O,O,X,X
JOLIZST,O,O,X,X
JOLSTIZ,O,O,O,X
JOLSTZI,O,O,O,X
JOLSITZ,O,O,O,X
JOLSIZT,O,O,X,O
JOLSZTI,O,X,X,O
JOLSZIT,O,O,X,O
JOLZTIS,O,O,X,X
JOLZTSI,O,O,X,X
JOLZITS,O,O,X,X
JOLZIST,O,O,X,X
JOLZSTI,O,X,X,X
JOLZSIT,O,O,X,X
JOSTILZ,X,X,O,X
JOSTIZL,X,X,O,X
JOSTLIZ,X,X,O,X
JOSTLZI,X,X,O,X
JOSTZIL,X,X,O,X
JOSTZLI,X,X,O,X
JOSITLZ,X,X,O,X
JOSITZL,X,X,O,X
JOSILTZ,X,O,O,X
JOSILZT,X,O,X,O
JOSIZTL,O,X,O,X
JOSIZLT,O,X,X,O
JOSLTIZ,X,O,O,X
JOSLTZI,X,O,O,X
JOSLITZ,X,O,O,X
JOSLIZT,X,O,X,O
JOSLZTI,X,X,X,O
JOSLZIT,X,O,X,O
JOSZTIL,O,X,O,X
JOSZTLI,O,X,O,X
JOSZITL,O,X,O,X
JOSZILT,O,X,X,O
JOSZLTI,O,X,X,O
JOSZLIT,O,X,X,O
JOZTILS,O,X,O,X
JOZTISL,O,X,O,X
JOZTLIS,O,X,O,X
JOZTLSI,O,X,O,X
JOZTSIL,O,X,O,X
JOZTSLI,O,X,O,X
JOZITLS,O,X,O,X
JOZITSL,O,X,O,X
JOZILTS,O,O,X,X
JOZILST,O,O,X,X
JOZISTL,O,X,O,X
JOZISLT,O,X,X,X
JOZLTIS,O,O,X,X
JOZLTSI,O,O,X,X
JOZLITS,O,O,X,X
JOZLIST,O,O,X,X
JOZLSTI,O,X,X,X
JOZLSIT,O,O,X,X
JOZSTIL,O,X,O,X
JOZSTLI,O,X,O,X
JOZSITL,O,X,O,X
JOZSILT,O,X,X,X
JOZSLTI,O,X,X,X
JOZSLIT,O,X,X,X
STILJZO,O,X,X,O
STILJOZ,O,O,X,X
STILZJO,O,X,X,O
STILZOJ,O,X,X,O
STILOJZ,O,O,X,X
STILOZJ,O,O,X,X
STIJLZO,O,X,X,O
STIJLOZ,O,X,X,X
STIJZLO,O,X,X,O
STIJZOL,O,X,O,X
STIJOLZ,X,X,O,X
STIJOZL,X,X,O,X
STIZLJO,O,X,X,O
STIZLOJ,O,X,X,O
STIZJLO,O,X,X,O
STIZJOL,O,X,O,X
STIZOLJ,O,X,O,O
STIZOJL,O,X,O,X
STIOLJZ,X,O,O,X
STIOLZJ,X,O,O,X
STIOJLZ,X,O,O,X
STIOJZL,X,X,O,X
STIOZLJ,X,O,O,X
STIOZJL,X,X,O,X
STLIJZO,O,X,X,O
STLIJOZ,O,O,X,X
STLIZJO,O,X,X,O
STLIZOJ,O,X,X,O
STLIOJZ,O,O,X,X
STLIOZJ,O,O,X,X
STLJIZO,O,X,X,O
STLJIOZ,O,O,X,X
STLJZIO,O,X,X,O
STLJZOI,O,X,X,O
STLJOIZ,O,O,X,X
STLJOZI,O,O,X,X
STLZIJO,O,X,X,O
STLZIOJ,O,X,X,O
STLZJIO,O,X,X,O
STLZJOI,O,X,X,O
STLZOIJ,O,X,X,O
STLZOJI,O,X,X,O
STLOIJZ,O,O,X,X
STLOIZJ,O,O,X,X
STLOJIZ,O,O,X,X
STLOJZI,O,O,X,X
STLOZIJ,O,O,X,X
STLOZJI,O,O,X,X
STJILZO,O,X,X,O
STJILOZ,O,X,X,X
STJIZLO,O,X,X,O
STJIZOL,O,X,O,X
STJIOLZ,X,X,O,X
STJIOZL,X,X,O,X
STJLIZO,O,X,X,O
STJLIOZ,O,X,X,X
STJLZIO,O,X,X,O
STJLZOI,O,X,X,O
STJLOIZ,O,X,X,X
STJLOZI,O,X,X,X
STJZILO,O,X,X,O
STJZIOL,O,X,O,X
STJZLIO,O,X,X,O
STJZLOI,O,X,X,O
STJZOIL,O,X,O,X
STJZOLI,O,X,O,X
STJOILZ,X,X,O,X
STJOIZL,X,X,O,X
STJOLIZ,X,X,O,X
STJOLZI,X,X,O,X
STJOZIL,X,X,O,X
STJOZLI,X,X,O,X
STZILJO,O,X,X,O
STZILOJ,O,X,X,O
STZIJLO,O,X,X,O
STZIJOL,O,X,O,X
STZIOLJ,O,X,O,O
STZIOJL,O,X,O,X
STZLIJO,O,X,X,O
STZLIOJ,O,X,X,O
STZLJIO,O,X,X,O
STZLJOI,O,X,X,O
STZLOIJ,O,X,X,O
STZLOJI,O,X,X,O
STZJILO,O,X,X,O
STZJIOL,O,X,O,X
STZJLIO,O,X,X,O
STZJLOI,O,X,X,O
STZJOIL,O,X,O,X
STZJOLI,O,X,O,X
STZOILJ,O,X,O,O
STZOIJL,O,X,O,X
STZOLIJ,O,X,O,O
STZOLJI,O,X,O,O
STZOJIL,O,X,O,X
STZOJLI,O,X,O,X
STOILJZ,X,O,O,X
STOILZJ,X,O,O,X
STOIJLZ,X,O,O,X
STOIJZL,X,X,O,X
STOIZLJ,X,O,O,X
STOIZJL,X,X,O,X
STOLIJZ,X,O,O,X
STOLIZJ,X,O,O,X
STOLJIZ,X,O,O,X
STOLJZI,X,O,O,X
STOLZIJ,X,O,O,X
STOLZJI,X,O,O,X
STOJILZ,X,O,O,X
STOJIZL,X,X,O,X
STOJLIZ,X,O,O,X
STOJLZI,X,O,O,X
STOJZIL,X,X,O,X
STOJZLI,X,X,O,X
STOZILJ,X,O,O,X
STOZIJL,X,X,O,X
STOZLIJ,X,O,O,X
STOZLJI,X,O,O,X
STOZJIL,X,X,O,X
STOZJLI,X,X,O,X
SITLJZO,O,X,X,O
SITLJOZ,O,O,X,X
SITLZJO,O,X,X,O
SITLZOJ,O,X,X,O
SITLOJZ,O,O,X,X
SITLOZJ,O,O,X,X
SITJLZO,O,X,X,O
SITJLOZ,O,X,X,X
SITJZLO,O,X,X,O
SITJZOL,O,X,O,X
SITJOLZ,X,X,O,X
SITJOZL,X,X,O,X
SITZLJO,O,X,X,O
SITZLOJ,O,X,X,O
SITZJLO,O,X,X,O
SITZJOL,O,X,O,X
SITZOLJ,O,X,O,O
SITZOJL,O,X,O,X
SITOLJZ,X,O,O,X
SITOLZJ,X,O,O,X
SITOJLZ,X,O,O,X
SITOJZL,X,X,O,X
SITOZLJ,X,O,O,X
SITOZJL,X,X,O,X
SILTJZO,O,X,X,O
SILTJOZ,O,O,X,X
SILTZJO,O,X,X,O
SILTZOJ,O,X,X,O
SILTOJZ,O,O,X,X
SILTOZJ,O,O,X,X
SILJTZO,O,X,X,O
SILJTOZ,O,O,X,X
SILJZTO,O,X,X,O
SILJZOT,O,X,X,O
SILJOTZ,O,O,O,X
SILJOZT,O,O,X,O
SILZTJO,O,X,X,O
SILZTOJ,O,X,X,O
SILZJTO,O,X,X,O
SILZJOT,O,X,X,O
SILZOTJ,O,X,X,O
SILZOJT,O,X,X,O
SILOTJZ,O,O,O,X
SILOTZJ,O,O,O,X
SILOJTZ,O,O,O,X
SILOJZT,O,O,X,O
SILOZTJ,O,X,X,O
SILOZJT,O,O,X,O
SIJTLZO,O,X,X,O
SIJTLOZ,O,X,X,X
SIJTZLO,O,X,X,O
SIJTZOL,O,X,O,X
SIJTOLZ,X,X,O,X
SIJTOZL,X,X,O,X
SIJLTZO,O,X,X,O
SIJLTOZ,O,O,X,X
SIJLZTO,O,X,X,O
SIJLZOT,O,X,X,O
SIJLOTZ,O,O,O,X
SIJLOZT,O,O,X,O
SIJZTLO,O,X,X,O
SIJZTOL,O,X,X,X
SIJZLTO,O,X,X,O
SIJZLOT,O,X,X,O
SIJZOTL,O,X,O,X
SIJZOLT,O,X,X,O
SIJOTLZ,X,X,O,X
SIJOTZL,X,X,O,X
SIJOLTZ,X,O,O,X
SIJOLZT,X,O,X,O
SIJOZTL,O,X,O,X
SIJOZLT,O,X,X,O
SIZTLJO,O,X,X,O
SIZTLOJ,O,X,X,O
SIZTJLO,O,X,X,O
SIZTJOL,O,X,X,X
SIZTOLJ,O,X,X,O
SIZTOJL,O,X,X,X
SIZLTJO,O,X,X,O
SIZLTOJ,O,X,X,O
SIZLJTO,O,X,X,O
SIZLJOT,O,X,X,O
SIZLOTJ,O,X,X,O
SIZLOJT,O,X,X,O
SIZJTLO,O,X,X,O
SIZJTOL,O,X,X,X
SIZJLTO,O,X,X,O
SIZJLOT,O,X,X,O
SIZJOTL,O,X,O,X
SIZJOLT,O,X,X,O
SIZOTLJ,O,X,O,O
SIZOTJL,O,X,O,X
SIZOLTJ,O,X,X,O
SIZOLJT,O,X,X,O
SIZOJTL,O,X,O,X
SIZOJLT,O,X,X,O
SIOTLJZ,X,O,O,X
SIOTLZJ,X,O,O,X
SIOTJLZ,X,O,O,X
SIOTJZL,X,X,O,X
SIOTZLJ,X,O,O,X
SIOTZJL,X,X,O,X
SIOLTJZ,X,O,O,X
SIOLTZJ,X,O,O,X
SIOLJTZ,X,O,O,X
SIOLJZT,X,O,X,O
SIOLZTJ,X,X,X,O
SIOLZJT,X,O,X,O
SIOJTLZ,X,X,O,X
SIOJTZL,X,X,O,X
SIOJLTZ,X,O,O,X
SIOJLZT,X,O,X,O
SIOJZTL,O,X,O,X
SIOJZLT,O,X,X,O
SIOZTLJ,O,X,O,O
SIOZTJL,O,X,O,X
SIOZLTJ,O,X,X,O
SIOZLJT,O,O,X,O
SIOZJTL,O,X,O,X
SIOZJLT,O,X,X,O
SLTIJZO,O,X,X,O
SLTIJOZ,O,O,X,X
SLTIZJO,O,X,X,O
SLTIZOJ,O,X,X,O
SLTIOJZ,O,O,X,X
SLTIOZJ,O,O,X,X
SLTJIZO,O,X,X,O
SLTJIOZ,O,O,X,X
SLTJZIO,O,X,X,O
SLTJZOI,O,X,X,O
SLTJOIZ,O,O,X,X
SLTJOZI,O,O,X,X
SLTZIJO,O,X,X,O
SLTZIOJ,O,X,X,O
SLTZJIO,O,X,X,O
SLTZJOI,O,X,X,O
SLTZOIJ,O,X,X,O
SLTZOJI,O,X,X,O
SLTOIJZ,O,O,X,X
SLTOIZJ,O,O,X,X
SLTOJIZ,O,O,X,X
SLTOJZI,O,O,X,X
SLTOZIJ,O,O,X,X
SLTOZJI,O,O,X,X
SLITJZO,O,X,X,O
SLITJOZ,O,O,X,X
SLITZJO,O,X,X,O
SLITZOJ,O,X,X,O
SLITOJZ,O,O,X,X
SLITOZJ,O,O,X,X
SLIJTZO,O,X,X,O
SLIJTOZ,O,O,X,X
SLIJZTO,O,X,X,O
SLIJZOT,O,X,X,O
SLIJOTZ,O,O,O,X
SLIJOZT,O,O,X,O
SLIZTJO,O,X,X,O
SLIZTOJ,O,X,X,O
SLIZJTO,O,X,X,O
SLIZJOT,O,X,X,O
SLIZOTJ,O,X,X,O
SLIZOJT,O,X,X,O
SLIOTJZ,O,O,O,X
SLIOTZJ,O,O,O,X
SLIOJTZ,O,O,O,X
SLIOJZT,O,O,X,O
SLIOZTJ,O,X,X,O
SLIOZJT,O,O,X,O
SLJTIZO,O,X,X,O
SLJTIOZ,O,O,X,X
SLJTZIO,O,X,X,O
SLJTZOI,O,X,X,O
SLJTOIZ,O,O,X,X
SLJTOZI,O,O,X,X
SLJITZO,O,X,X,O
SLJITOZ,O,O,X,X
SLJIZTO,O,X,X,O
SLJIZOT,O,X,X,O
SLJIOTZ,O,O,O,X
SLJIOZT,O,O,X,O
SLJZTIO,O,X,X,O
SLJZTOI,O,X,X,O
SLJZITO,O,X,X,O
SLJZIOT,O,X,X,O
SLJZOTI,O,X,X,O
SLJZOIT,O,X,X,O
SLJOTIZ,O,O,O,X
SLJOTZI,O,O,O,X
SLJOITZ,O,O,O,X
SLJOIZT,O,O,X,O
SLJOZTI,O,X,X,O
SLJOZIT,O,O,X,O
SLZTIJO,O,X,X,O
SLZTIOJ,O,X,X,O
SLZTJIO,O,X,X,O
SLZTJOI,O,X,X,O
SLZTOIJ,O,X,X,O
SLZTOJI,O,X,X,O
SLZITJO,O,X,X,O
SLZITOJ,O,X,X,O
SLZIJTO,O,X,X,O
SLZIJOT,O,X,X,O
SLZIOTJ,O,X,X,O
SLZIOJT,O,X,X,O
SLZJTIO,O,X,X,O
SLZJTOI,O,X,X,O
SLZJITO,O,X,X,O
SLZJIOT,O,X,X,O
SLZJOTI,O,X,X,O
SLZJOIT,O,X,X,O
SLZOTIJ,O,X,X,O
SLZOTJI,O,X,X,O
SLZOITJ,O,X,X,O
SLZOIJT,O,X,X,O
SLZOJTI,O,X,X,O
SLZOJIT,O,X,X,O
SLOTIJZ,O,O,O,X
SLOTIZJ,O,O,O,X
SLOTJIZ,O,O,O,X
SLOTJZI,O,O,O,X
SLOTZIJ,O,O,O,X
SLOTZJI,O,O,O,X
SLOITJZ,O,O,O,X
SLOITZJ,O,O,O,X
SLOIJTZ,O,O,O,X
SLOIJZT,O,O,X,O
SLOIZTJ,O,X,X,O
SLOIZJT,O,O,X,O
SLOJTIZ,O,O,O,X
SLOJTZI,O,O,O,X
SLOJITZ,O,O,O,X
SLOJIZT,O,O,X,O
SLOJZTI,O,X,X,O
SLOJZIT,O,O,X,O
SLOZTIJ,O,X,X,O
SLOZTJI,O,X,X,O
SLOZITJ,O,X,X,O
SLOZIJT,O,O,X,O
SLOZJTI,O,X,X,O
SLOZJIT,O,O,X,O
SJTILZO,O,X,X,O
SJTILOZ,O,X,X,X
SJTIZLO,O,X,X,O
SJTIZOL,O,X,O,X
SJTIOLZ,X,X,O,X
SJTIOZL,X,X,O,X
SJTLIZO,O,X,X,O
SJTLIOZ,O,X,X,X
SJTLZIO,O,X,X,O
SJTLZOI,O,X,X,O
SJTLOIZ,O,X,X,X
SJTLOZI,O,X,X,X
SJTZILO,O,X,X,O
SJTZIOL,O,X,O,X
SJTZLIO,O,X,X,O
SJTZLOI,O,X,X,O
SJTZOIL,O,X,O,X
SJTZOLI,O,X,O,X
SJTOILZ,X,X,O,X
SJTOIZL,X,X,O,X
SJTOLIZ,X,X,O,X
SJTOLZI,X,X,O,X
SJTOZIL,X,X,O,X
SJTOZLI,X,X,O,X
SJITLZO,O,X,X,O
SJITLOZ,O,X,X,X
SJITZLO,O,X,X,O
SJITZOL,O,X,O,X
SJITOLZ,X,X,O,X
SJITOZL,X,X,O,X
SJILTZO,O,X,X,O
SJILTOZ,O,O,X,X
SJILZTO,O,X,X,O
SJILZOT,O,X,X,O
SJILOTZ,O,O,O,X
SJILOZT,O,O,X,O
SJIZTLO,O,X,X,O
SJIZTOL,O,X,X,X
SJIZLTO,O,X,X,O
SJIZLOT,O,X,X,O
SJIZOTL,O,X,O,X
SJIZOLT,O,X,X,O
SJIOTLZ,X,X,O,X
SJIOTZL,X,X,O,X
SJIOLTZ,X,O,O,X
SJIOLZT,X,O,X,O
SJIOZTL,O,X,O,X
SJIOZLT,O,X,X,O
SJLTIZO,O,X,X,O
SJLTIOZ,O,O,X,X
SJLTZIO,O,X,X,O
SJLTZOI,O,X,X,O
SJLTOIZ,O,O,X,X
SJLTOZI,O,O,X,X
SJLITZO,O,X,X,O
SJLITOZ,O,O,X,X
SJLIZTO,O,X,X,O
SJLIZOT,O,X,X,O
SJLIOTZ,O,O,O,X
SJLIOZT,O,O,X,O
SJLZTIO,O,X,X,O
SJLZTOI,O,X,X,O
SJLZITO,O,X,X,O
SJLZIOT,O,X,X,O
SJLZOTI,O,X,X,O
SJLZOIT,O,X,X,O
SJLOTIZ,O,O,O,X
SJLOTZI,O,O,O,X
SJLOITZ,O,O,O,X
SJLOIZT,O,O,X,O
SJLOZTI,O,X,X,O
SJLOZIT,O,O,X,O
SJZTILO,O,X,X,O
SJZTIOL,O,X,X,X
SJZTLIO,O,X,X,O
SJZTLOI,O,X,X,O
SJZTOIL,O,X,X,X
SJZTOLI,O,X,X,X
SJZITLO,O,X,X,O
SJZITOL,O,X,X,X
SJZILTO,O,X,X,O
SJZILOT,O,X,X,O
SJZIOTL,O,X,O,X
SJZIOLT,O,X,X,O
SJZLTIO,O,X,X,O
SJZLTOI,O,X,X,O
SJZLITO,O,X,X,O
SJZLIOT,O,X,X,O
SJZLOTI,O,X,X,O
SJZLOIT,O,X,X,O
SJZOTIL,O,X,O,X
SJZOTLI,O,X,O,X
SJZOITL,O,X,O,X
SJZOILT,O,X,X,O
SJZOLTI,O,X,X,O
SJZOLIT,O,X,X,O
SJOTILZ,X,X,O,X
SJOTIZL,X,X,O,X
SJOTLIZ,X,X,O,X
SJOTLZI,X,X,O,X
SJOTZIL,X,X,O,X
SJOTZLI,X,X,O,X
SJOITLZ,X,X,O,X
SJOITZL,X,X,O,X
SJOILTZ,X,O,O,X
SJOILZT,X,O,X,O
SJOIZTL,O,X,O,X
SJOIZLT,O,X,X,O
SJOLTIZ,X,O,O,X
SJOLTZI,X,O,O,X
SJOLITZ,X,O,O,X
SJOLIZT,X,O,X,O
SJOLZTI,X,X,X,O
SJOLZIT,X,O,X,O
SJOZTIL,O,X,O,X
SJOZTLI,O,X,O,X
SJOZITL,O,X,O,X
SJOZILT,O,X,X,O
SJOZLTI,O,X,X,O
SJOZLIT,O,X,X,O
SZTILJO,O,X,X,O
SZTILOJ,O,X,X,O
SZTIJLO,O,X,X,O
SZTIJOL,O,X,X,X
SZTIOLJ,O,X,X,O
SZTIOJL,O,X,X,X
SZTLIJO,O,X,X,O
SZTLIOJ,O,X,X,O
SZTLJIO,O,X,X,O
SZTLJOI,O,X,X,O
SZTLOIJ,O,X,X,O
SZTLOJI,O,X,X,O
SZTJILO,O,X,X,O
SZTJIOL,O,X,X,X
SZTJLIO,O,X,X,O
SZTJLOI,O,X,X,O
SZTJOIL,O,X,X,X
SZTJOLI,O,X,X,X
SZTOILJ,O,X,X,O
SZTOIJL,O,X,X,X
SZTOLIJ,O,X,X,O
SZTOLJI,O,X,X,O
SZTOJIL,O,X,X,X
SZTOJLI,O,X,X,X
SZITLJO,O,X,X,O
SZITLOJ,O,X,X,O
SZITJLO,O,X,X,O
SZITJOL,O,X,X,X
SZITOLJ,O,X,X,O
SZITOJL,O,X,X,X
SZILTJO,O,X,X,O
SZILTOJ,O,X,X,O
SZILJTO,O,X,X,O
SZILJOT,O,X,X,O
SZILOTJ,O,X,X,O
SZILOJT,O,X,X,O
SZIJTLO,O,X,X,O
SZIJTOL,O,X,X,X
SZIJLTO,O,X,X,O
SZIJLOT,O,X,X,O
