sequence,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFzcBGeBUjBF?nB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeF8IvhF0dB6jB3hBm?nBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JecBJvhFTdB6jBeoBF?nB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFFdB6jBziBm?mB3sBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFGdBTeBFnBX?oBUsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeaBJvhFFdBXeBWnBc?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeU8IvhFGeBiiB3hBF?oBTsBxvB,v115@zgC8GeD8FeD8FeF8CeC8FeB8JeG9IvhFTeBihBUnBF?oB3qBxwB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhBcnBTjB3?sByvBGrB,v115@zgC8GeD8FeD8FeF8CeC8FeB8Jex9IvhFlhB3iBcoBT?sByvBGrB
LSZOTIJ,O,O,X,O,O,O,X,X,O,X
LSZOTJI,O,O,X,O,O,O,X,X,O,X
LSZOITJ,X,X,X,O,O,O,X,X,O,X
LSZOIJT,X,X,X,O,X,O,X,X,O,X
LSZOJTI,O,X,X,O,X,O,X,X,O,X
LSZOJIT,X,X,X,O,X,O,X,X,O,X
LSOTIJZ,X,X,X,X,O,X,X,X,X,X
LSOTIZJ,O,O,X,O,O,X,X,X,X,X
LSOTJIZ,X,X,X,O,O,X,X,X,X,X
LSOTJZI,O,O,X,O,O,X,X,X,X,X
LSOTZIJ,O,O,X,O,O,X,X,X,X,X
LSOTZJI,O,O,X,O,O,X,X,X,X,X
LSOITJZ,X,X,X,X,O,X,X,X,X,X
LSOITZJ,X,O,X,O,O,X,X,X,X,X
LSOIJTZ,X,X,X,O,O,X,X,X,X,X
LSOIJZT,X,X,X,O,X,X,X,X,X,X
LSOIZTJ,X,O,X,O,O,X,X,X,O,X
LSOIZJT,X,X,X,O,X,X,X,X,O,X
LSOJTIZ,X,O,X,O,O,X,X,X,X,X
LSOJTZI,X,O,X,O,O,O,X,X,X,X
LSOJITZ,X,O,X,O,O,X,X,X,X,X
LSOJIZT,X,O,X,O,X,X,X,X,X,X
LSOJZTI,X,O,X,O,X,O,X,X,X,X
LSOJZIT,X,O,X,O,X,O,X,X,X,X
LSOZTIJ,O,O,X,O,O,O,X,X,O,X
LSOZTJI,O,O,X,O,O,O,X,X,O,X
LSOZITJ,X,O,X,O,O,O,X,X,O,X
LSOZIJT,X,X,X,O,X,O,X,X,O,X
LSOZJTI,O,O,X,O,X,O,X,X,O,X
LSOZJIT,X,X,X,O,X,O,X,X,O,X
LZTIJSO,O,O,O,O,X,O,O,O,X,X
LZTIJOS,O,O,O,O,X,O,O,O,X,X
LZTISJO,O,O,X,O,X,O,O,O,X,X
LZTISOJ,O,O,X,O,X,O,X,O,X,X
LZTIOJS,O,O,X,O,X,O,O,O,X,X
LZTIOSJ,O,O,X,O,X,O,X,O,X,X
LZTJISO,O,O,O,O,X,O,O,O,X,X
LZTJIOS,O,X,O,O,X,O,O,O,X,X
LZTJSIO,O,O,O,O,X,O,O,X,X,X
LZTJSOI,O,O,X,O,O,O,O,O,X,X
LZTJOIS,O,X,O,O,X,O,X,O,X,X
LZTJOSI,O,O,O,O,X,O,O,O,X,X
LZTSIJO,O,O,X,O,O,O,X,O,X,X
LZTSIOJ,O,O,X,O,O,O,X,O,X,X
LZTSJIO,O,O,X,O,O,O,O,X,X,X
LZTSJOI,O,O,X,O,O,O,O,O,X,X
LZTSOIJ,O,O,X,O,O,X,X,O,X,X
LZTSOJI,O,O,X,O,O,O,X,O,X,X
LZTOIJS,O,X,X,O,X,X,X,O,X,X
LZTOISJ,X,X,X,O,X,X,X,O,X,X
LZTOJIS,O,O,O,O,X,O,X,O,X,X
LZTOJSI,O,O,O,O,X,O,O,O,X,X
LZTOSIJ,X,O,X,O,X,O,X,O,X,X
LZTOSJI,O,O,X,O,X,O,X,O,X,X
LZITJSO,O,O,O,O,O,O,O,O,X,X
LZITJOS,O,O,O,O,X,O,O,O,X,X
LZITSJO,O,O,X,O,O,O,O,O,X,X
LZITSOJ,O,O,X,O,O,O,X,O,X,X
LZITOJS,O,O,O,O,X,O,O,O,X,X
LZITOSJ,O,O,X,O,X,O,X,O,X,X
LZIJTSO,O,O,O,O,X,O,X,O,X,X
LZIJTOS,O,O,O,O,X,O,X,O,X,X
LZIJSTO,O,O,O,O,X,O,X,O,X,X
LZIJSOT,O,O,X,O,X,O,X,X,X,X
LZIJOTS,O,O,O,O,X,O,X,O,X,X
LZIJOST,O,O,X,O,X,O,X,X,X,X
LZISTJO,O,O,X,O,O,O,X,O,X,X
LZISTOJ,O,O,X,O,O,O,X,O,X,X
LZISJTO,O,O,O,O,X,O,X,O,X,X
LZISJOT,O,X,X,O,X,O,X,X,X,X
LZISOTJ,O,O,X,O,O,O,X,X,X,X
LZISOJT,O,X,X,O,X,O,X,X,X,X
LZIOTJS,O,O,X,O,X,O,O,O,X,X
LZIOTSJ,O,O,X,O,X,O,O,O,X,X
LZIOJTS,O,O,O,O,X,O,O,O,X,X
LZIOJST,O,O,X,O,X,O,O,X,X,X
LZIOSTJ,O,O,X,O,X,O,X,X,X,O
LZIOSJT,O,O,X,O,X,O,O,X,X,O
LZJTISO,O,O,O,O,X,O,X,O,X,X
LZJTIOS,O,X,O,O,X,O,X,O,X,X
LZJTSIO,O,O,O,O,X,O,X,X,X,X
LZJTSOI,O,O,X,O,X,O,X,O,X,X
LZJTOIS,O,X,O,O,X,O,X,O,X,X
LZJTOSI,O,O,O,O,X,O,X,O,X,X
LZJITSO,O,O,O,O,X,O,X,X,X,X
LZJITOS,O,X,O,O,X,O,X,O,X,X
LZJISTO,O,O,O,O,X,O,X,X,X,X
LZJISOT,O,X,X,O,X,O,X,X,X,X
LZJIOTS,O,X,O,O,X,O,X,X,X,X
LZJIOST,O,X,X,O,X,O,X,X,X,X
LZJSTIO,O,O,O,O,X,O,X,X,X,X
LZJSTOI,O,O,X,O,X,O,X,O,X,X
LZJSITO,O,O,O,O,X,O,X,X,X,X
LZJSIOT,O,O,X,O,X,O,X,X,X,X
LZJSOTI,O,O,X,O,X,O,X,X,X,X
LZJSOIT,X,X,X,O,X,O,X,X,X,X
LZJOTIS,O,X,O,O,X,O,X,O,X,X
LZJOTSI,O,O,X,O,X,O,X,O,X,X
LZJOITS,O,X,O,O,X,O,X,X,X,X
LZJOIST,O,X,X,O,X,O,X,X,X,X
LZJOSTI,O,O,X,O,X,O,X,X,X,X
LZJOSIT,X,X,X,X,X,O,X,X,X,X
LZSTIJO,O,O,X,O,O,O,X,O,X,X
LZSTIOJ,O,O,X,O,O,O,X,O,X,X
LZSTJIO,O,O,X,O,O,O,X,X,X,X
LZSTJOI,O,O,X,O,O,O,X,O,X,X
LZSTOIJ,O,O,X,O,O,X,X,O,X,X
LZSTOJI,O,O,X,O,O,O,X,O,X,X
LZSITJO,O,O,X,O,O,O,X,X,X,X
LZSITOJ,O,O,X,O,O,O,X,X,X,X
LZSIJTO,O,O,O,O,X,O,X,X,X,X
LZSIJOT,O,X,X,O,X,O,X,X,X,X
LZSIOTJ,O,O,X,O,O,O,X,X,X,X
LZSIOJT,O,X,X,O,X,O,X,X,X,X
LZSJTIO,O,O,O,O,X,O,X,X,X,X
LZSJTOI,O,O,X,O,X,O,X,O,X,X
LZSJITO,O,X,O,O,X,O,X,X,X,X
LZSJIOT,O,X,X,O,X,O,X,X,X,X
LZSJOTI,O,X,X,O,X,O,X,X,X,X
LZSJOIT,X,X,X,O,X,O,X,X,X,X
LZSOTIJ,O,O,X,O,O,O,X,X,X,X
LZSOTJI,O,O,X,O,O,O,X,X,X,X
LZSOITJ,X,X,X,O,O,O,X,X,X,X
LZSOIJT,X,X,X,O,X,O,X,X,X,X
LZSOJTI,O,X,X,O,X,O,X,X,X,X
LZSOJIT,X,X,X,O,X,O,X,X,X,X
LZOTIJS,O,X,X,O,X,X,O,O,X,X
LZOTISJ,X,X,X,O,X,X,X,O,X,X
LZOTJIS,O,O,X,O,X,O,O,O,X,X
LZOTJSI,O,O,X,O,X,O,O,O,X,X
LZOTSIJ,X,O,X,O,X,O,X,O,X,X
LZOTSJI,O,O,X,O,X,O,O,O,X,X
LZOITJS,O,X,X,O,X,O,X,X,X,X
LZOITSJ,O,X,X,O,X,O,X,X,X,X
LZOIJTS,O,X,O,O,X,O,X,X,X,X
LZOIJST,O,X,X,O,X,O,O,X,X,X
LZOISTJ,O,X,X,O,X,O,X,X,X,O
LZOISJT,O,X,X,O,X,O,X,X,X,O
LZOJTIS,O,O,O,O,X,O,X,O,X,X
LZOJTSI,O,O,X,O,X,O,O,O,X,X
LZOJITS,O,O,O,O,X,O,X,X,X,X
LZOJIST,O,O,X,O,X,O,O,X,X,X
LZOJSTI,O,O,X,O,X,O,O,X,X,X
LZOJSIT,X,O,X,X,X,O,O,X,X,X
LZOSTIJ,O,O,X,O,X,O,X,X,X,O
LZOSTJI,O,O,X,O,X,O,X,X,X,O
LZOSITJ,X,O,X,O,X,O,X,X,X,O
LZOSIJT,X,X,X,O,X,O,X,X,X,O
LZOSJTI,O,O,X,O,X,O,O,X,X,O
LZOSJIT,X,X,X,O,X,O,O,X,X,O
LOTIJSZ,X,O,X,X,X,X,O,X,X,X
LOTIJZS,X,O,X,X,X,X,O,X,X,X
LOTISJZ,X,O,X,X,X,X,O,X,X,X
LOTISZJ,X,O,X,X,X,X,O,X,X,X
LOTIZJS,O,O,X,X,X,X,O,X,X,X
LOTIZSJ,X,O,X,X,X,X,O,X,X,X
LOTJISZ,X,O,X,X,X,X,O,X,X,X
LOTJIZS,X,O,X,X,X,O,O,X,X,X
LOTJSIZ,X,O,X,X,O,X,O,X,X,X
LOTJSZI,X,O,X,X,O,O,O,X,X,X
LOTJZIS,O,O,X,X,X,O,O,X,X,X
LOTJZSI,O,O,X,X,X,O,O,X,X,X
LOTSIJZ,X,X,X,X,O,X,O,X,X,X
LOTSIZJ,X,O,X,X,O,X,O,X,X,X
LOTSJIZ,X,X,X,X,O,X,O,X,X,X
LOTSJZI,X,O,X,X,O,X,O,X,X,X
LOTSZIJ,X,O,X,X,O,X,X,X,X,X
LOTSZJI,O,O,X,X,O,X,O,X,X,X
LOTZIJS,O,X,X,X,X,X,O,X,X,X
LOTZISJ,X,X,X,X,X,X,O,X,X,X
LOTZJIS,O,O,X,X,X,O,O,X,X,X
LOTZJSI,O,O,X,X,X,O,O,X,X,X
LOTZSIJ,X,O,X,X,X,O,X,X,X,O
LOTZSJI,O,O,X,X,X,O,O,X,X,O
LOITJSZ,X,O,X,X,O,O,X,X,X,X
LOITJZS,O,O,X,X,X,O,X,X,X,X
LOITSJZ,X,O,X,X,O,X,X,X,X,X
LOITSZJ,O,O,X,X,O,X,X,X,X,X
LOITZJS,O,O,X,X,X,O,X,X,X,X
LOITZSJ,O,O,X,X,X,O,X,X,X,X
LOIJTSZ,X,O,O,X,X,O,X,X,X,X
LOIJTZS,X,O,O,O,X,O,X,X,X,X
LOIJSTZ,X,O,X,O,X,O,X,X,X,X
LOIJSZT,X,O,X,O,X,O,X,X,X,X
LOIJZTS,X,O,O,O,X,O,X,O,X,X
LOIJZST,X,O,X,O,X,O,O,X,X,X
LOISTJZ,O,O,X,O,O,X,X,X,X,X
LOISTZJ,O,O,X,O,O,X,X,X,X,X
LOISJTZ,X,O,X,O,O,O,X,X,X,X
LOISJZT,X,O,X,O,X,O,X,X,X,X
LOISZTJ,O,O,X,O,O,O,X,X,O,X
LOISZJT,O,O,X,O,X,O,X,X,O,X
LOIZTJS,O,O,X,O,X,O,X,O,X,X
LOIZTSJ,O,O,X,O,X,O,X,O,X,X
LOIZJTS,O,O,O,O,X,O,X,O,X,X
LOIZJST,O,O,X,O,X,O,O,X,X,X
LOIZSTJ,O,O,X,O,X,O,X,X,X,X
LOIZSJT,O,O,X,O,X,O,X,X,X,X
LOJTISZ,X,O,O,X,X,X,X,X,X,X
LOJTIZS,X,O,O,X,X,O,X,X,X,X
LOJTSIZ,X,O,O,X,X,X,X,X,X,X
LOJTSZI,X,O,O,X,X,O,X,X,X,X
LOJTZIS,X,O,O,O,X,O,X,X,X,X
LOJTZSI,X,O,O,O,X,O,O,X,X,X
LOJITSZ,X,O,O,X,X,X,X,X,X,X
LOJITZS,X,O,O,O,X,O,X,X,X,X
LOJISTZ,X,O,X,O,X,X,X,X,X,X
LOJISZT,X,O,X,O,X,X,X,X,X,X
LOJIZTS,X,O,O,O,X,O,X,X,X,X
LOJIZST,X,O,X,O,X,O,O,X,X,X
LOJSTIZ,X,O,X,X,X,X,X,X,X,X
LOJSTZI,X,O,X,O,X,O,X,X,X,X
LOJSITZ,X,O,X,X,X,X,X,X,X,X
LOJSIZT,X,O,X,X,X,X,X,X,X,X
LOJSZTI,X,O,X,O,X,O,O,X,X,X
LOJSZIT,X,O,X,X,X,O,O,X,X,X
LOJZTIS,X,O,O,O,X,O,X,O,X,X
LOJZTSI,X,O,X,O,X,O,O,O,X,X
LOJZITS,X,O,O,O,X,O,X,X,X,X
LOJZIST,X,O,X,O,X,O,O,X,X,X
LOJZSTI,X,O,X,O,X,O,O,X,X,X
LOJZSIT,X,O,X,X,X,O,O,X,X,X
LOSTIJZ,X,X,X,X,O,X,X,X,X,X
LOSTIZJ,O,O,X,O,O,X,X,X,X,X
LOSTJIZ,X,X,X,O,O,X,X,X,X,X
LOSTJZI,O,O,X,O,O,X,X,X,X,X
LOSTZIJ,O,O,X,O,O,X,X,X,X,X
LOSTZJI,O,O,X,O,O,X,X,X,X,X
LOSITJZ,X,X,X,X,O,X,X,X,X,X
LOSITZJ,X,O,X,O,O,X,X,X,X,X
LOSIJTZ,X,X,X,O,O,X,X,X,X,X
LOSIJZT,X,X,X,O,X,X,X,X,X,X
LOSIZTJ,X,O,X,O,O,X,X,X,O,X
LOSIZJT,X,X,X,O,X,X,X,X,O,X
LOSJTIZ,X,O,X,O,O,X,X,X,X,X
LOSJTZI,X,O,X,O,O,O,X,X,X,X
LOSJITZ,X,O,X,O,O,X,X,X,X,X
LOSJIZT,X,O,X,O,X,X,X,X,X,X
LOSJZTI,X,O,X,O,X,O,O,X,X,X
LOSJZIT,X,O,X,O,X,O,O,X,X,X
LOSZTIJ,O,O,X,O,O,O,X,X,O,X
LOSZTJI,O,O,X,O,O,O,X,X,O,X
LOSZITJ,X,O,X,O,O,O,X,X,O,X
LOSZIJT,X,X,X,O,X,O,X,X,O,X
LOSZJTI,O,O,X,O,X,O,O,X,O,X
LOSZJIT,X,X,X,O,X,O,O,X,O,X
LOZTIJS,O,X,X,O,X,X,O,O,X,X
LOZTISJ,X,X,X,O,X,X,X,O,X,X
LOZTJIS,O,O,X,O,X,O,O,O,X,X
LOZTJSI,O,O,X,O,X,O,O,O,X,X
LOZTSIJ,X,O,X,O,X,O,X,O,X,X
LOZTSJI,O,O,X,O,X,O,O,O,X,X
LOZITJS,O,X,X,O,X,O,X,X,X,X
LOZITSJ,O,X,X,O,X,O,X,X,X,X
LOZIJTS,O,X,O,O,X,O,X,X,X,X
LOZIJST,O,X,X,O,X,O,O,X,X,X
LOZISTJ,O,X,X,O,X,O,X,X,X,O
LOZISJT,O,X,X,O,X,O,X,X,X,O
LOZJTIS,O,O,O,O,X,O,X,O,X,X
LOZJTSI,O,O,X,O,X,O,O,O,X,X
LOZJITS,O,O,O,O,X,O,X,X,X,X
LOZJIST,O,O,X,O,X,O,O,X,X,X
LOZJSTI,O,O,X,O,X,O,O,X,X,X
LOZJSIT,X,O,X,X,X,O,O,X,X,X
LOZSTIJ,O,O,X,O,X,O,X,X,X,O
LOZSTJI,O,O,X,O,X,O,X,X,X,O
LOZSITJ,X,O,X,O,X,O,X,X,X,O
LOZSIJT,X,X,X,O,X,O,X,X,X,O
LOZSJTI,O,O,X,O,X,O,O,X,X,O
LOZSJIT,X,X,X,O,X,O,O,X,X,O
JTILSZO,X,O,O,O,X,X,O,X,X,X
JTILSOZ,X,X,O,O,O,X,X,X,X,X
JTILZSO,X,O,O,O,X,O,O,X,X,X
JTILZOS,X,O,O,O,X,X,O,X,X,X
JTILOSZ,X,O,O,X,X,X,X,X,X,X
JTILOZS,X,O,O,O,X,X,O,X,X,X
JTISLZO,X,O,O,O,O,X,O,X,X,X
JTISLOZ,X,O,O,X,O,X,X,X,X,X
JTISZLO,X,O,O,O,O,X,O,X,X,X
JTISZOL,X,O,O,X,O,X,X,X,X,X
JTISOLZ,X,O,O,X,O,X,X,X,X,X
JTISOZL,X,O,O,X,O,X,X,X,X,X
JTIZLSO,X,O,O,O,X,O,O,O,X,X
JTIZLOS,X,O,O,O,X,X,O,O,X,X
JTIZSLO,X,O,O,O,X,O,O,O,X,X
JTIZSOL,X,X,O,X,X,X,X,O,X,X
JTIZOLS,X,O,O,O,X,X,O,O,X,X
JTIZOSL,X,X,O,X,X,X,X,O,X,X
JTIOLSZ,X,O,O,X,X,X,X,X,X,X
JTIOLZS,X,O,O,O,X,X,O,X,X,X
JTIOSLZ,X,O,O,X,X,X,X,X,X,X
JTIOSZL,X,O,O,X,X,X,X,X,X,X
JTIOZLS,X,O,O,O,X,X,O,O,X,X
JTIOZSL,X,O,O,X,X,X,X,O,X,X
JTLISZO,X,O,O,O,X,X,O,X,X,X
JTLISOZ,X,X,O,O,O,X,X,X,X,X
JTLIZSO,X,O,O,O,X,O,O,X,X,X
JTLIZOS,X,O,O,O,X,X,O,X,X,X
JTLIOSZ,X,O,O,X,X,X,X,X,X,X
JTLIOZS,X,O,O,O,X,X,O,X,X,X
JTLSIZO,X,O,O,O,O,X,X,X,X,X
JTLSIOZ,X,O,O,X,O,X,X,X,X,X
JTLSZIO,X,O,O,O,O,O,O,X,X,X
JTLSZOI,X,O,X,O,O,O,O,X,X,X
JTLSOIZ,X,O,O,X,O,X,X,X,X,X
JTLSOZI,X,O,O,O,O,X,X,X,X,X
JTLZISO,X,O,O,O,X,O,O,X,X,X
JTLZIOS,O,X,O,O,X,O,O,X,X,X
JTLZSIO,X,O,O,O,X,O,O,X,X,X
JTLZSOI,O,O,X,O,O,O,O,X,X,X
JTLZOIS,O,X,O,O,X,O,X,X,X,X
JTLZOSI,O,O,O,O,X,O,O,X,X,X
JTLOISZ,X,X,O,X,X,X,X,X,X,X
JTLOIZS,X,O,O,X,X,X,X,X,X,X
JTLOSIZ,X,X,O,X,O,X,X,X,X,X
JTLOSZI,X,O,O,X,O,X,X,X,X,X
JTLOZIS,O,O,O,O,X,X,X,X,X,X
JTLOZSI,O,O,O,O,X,O,O,X,X,X
JTSILZO,X,O,O,X,O,X,O,X,X,X
JTSILOZ,X,O,O,X,O,X,X,X,X,X
JTSIZLO,X,O,O,X,O,X,O,X,X,X
JTSIZOL,X,O,O,X,O,X,X,X,X,X
JTSIOLZ,X,O,O,X,O,X,X,X,X,X
JTSIOZL,X,O,O,X,O,X,X,X,X,X
JTSLIZO,X,O,O,X,O,X,X,X,X,X
JTSLIOZ,X,O,O,X,O,X,X,X,X,X
JTSLZIO,X,O,O,O,O,O,O,X,X,X
JTSLZOI,X,O,X,O,O,O,O,X,X,X
JTSLOIZ,X,O,O,X,O,X,X,X,X,X
JTSLOZI,X,O,O,X,O,X,X,X,X,X
JTSZILO,X,O,X,X,O,O,O,X,X,X
JTSZIOL,X,X,X,X,O,X,X,X,X,X
JTSZLIO,X,O,O,O,X,O,O,X,X,X
JTSZLOI,X,O,X,O,O,O,O,X,X,X
JTSZOIL,X,X,X,X,O,X,X,X,X,X
JTSZOLI,X,O,O,X,O,O,X,X,X,X
JTSOILZ,X,X,O,X,O,X,X,X,X,X
JTSOIZL,X,X,O,X,O,X,X,X,X,X
JTSOLIZ,X,O,O,X,O,X,X,X,X,X
JTSOLZI,X,O,O,X,O,X,X,X,X,X
JTSOZIL,X,X,X,X,O,X,X,X,X,X
JTSOZLI,X,O,O,X,O,X,X,X,X,X
JTZILSO,X,O,O,O,X,O,O,O,X,X
JTZILOS,O,X,O,O,X,X,O,O,X,X
JTZISLO,X,X,O,O,X,O,O,O,X,X
JTZISOL,X,X,O,X,X,X,X,O,X,X
JTZIOLS,O,X,O,O,X,X,O,O,X,X
JTZIOSL,X,X,O,X,X,X,X,O,X,X
JTZLISO,X,O,O,O,X,O,O,O,X,X
JTZLIOS,O,X,O,O,X,O,O,O,X,X
JTZLSIO,X,O,O,O,X,O,O,X,X,X
JTZLSOI,O,O,X,O,O,O,O,O,X,X
JTZLOIS,O,X,O,O,X,O,X,O,X,X
JTZLOSI,O,O,O,O,X,O,O,O,X,X
JTZSILO,X,O,X,X,O,O,O,O,X,X
JTZSIOL,X,X,X,X,O,X,X,O,X,X
JTZSLIO,X,O,O,O,X,O,O,X,X,X
JTZSLOI,O,O,X,O,O,O,O,O,X,X
JTZSOIL,X,X,X,X,O,X,X,O,X,X
JTZSOLI,O,O,O,X,O,O,X,O,X,X
JTZOILS,O,X,O,X,X,X,O,O,X,X
JTZOISL,X,X,O,X,X,X,X,O,X,X
JTZOLIS,O,X,O,O,X,X,X,O,X,X
JTZOLSI,O,O,O,O,X,O,O,O,X,X
JTZOSIL,X,X,X,X,X,X,X,O,X,X
JTZOSLI,O,X,O,X,X,O,X,O,X,X
JTOILSZ,X,X,O,X,X,X,X,X,X,X
JTOILZS,X,O,O,X,X,X,O,X,X,X
JTOISLZ,X,X,O,X,X,X,X,X,X,X
JTOISZL,X,X,O,X,X,X,X,X,X,X
JTOIZLS,X,O,O,X,X,X,O,O,X,X
JTOIZSL,X,X,O,X,X,X,X,O,X,X
JTOLISZ,X,X,O,X,X,X,X,X,X,X
JTOLIZS,X,O,O,X,X,X,X,X,X,X
JTOLSIZ,X,X,O,X,O,X,X,X,X,X
JTOLSZI,X,O,O,X,O,X,X,X,X,X
JTOLZIS,O,O,O,O,X,X,X,X,X,X
JTOLZSI,O,O,O,O,X,O,O,X,X,X
JTOSILZ,X,X,O,X,O,X,X,X,X,X
JTOSIZL,X,X,O,X,O,X,X,X,X,X
JTOSLIZ,X,X,O,X,O,X,X,X,X,X
JTOSLZI,X,O,O,X,O,X,X,X,X,X
JTOSZIL,X,X,X,X,O,X,X,X,X,X
JTOSZLI,X,O,O,X,O,X,X,X,X,X
JTOZILS,O,O,O,X,X,X,O,O,X,X
JTOZISL,X,X,O,X,X,X,X,O,X,X
JTOZLIS,O,O,O,O,X,X,X,O,X,X
JTOZLSI,O,O,O,O,X,O,O,O,X,X
JTOZSIL,X,X,X,X,X,X,X,O,X,O
JTOZSLI,O,O,O,X,X,O,X,O,X,O
JITLSZO,X,O,O,O,O,O,O,X,X,X
JITLSOZ,X,O,O,O,O,X,X,X,X,X
JITLZSO,O,O,O,O,O,O,O,X,X,X
JITLZOS,O,O,O,O,X,O,O,X,X,X
JITLOSZ,X,O,O,X,O,X,X,X,X,X
JITLOZS,O,O,O,O,X,O,O,X,X,X
JITSLZO,X,O,O,O,O,O,O,X,X,X
JITSLOZ,X,O,O,X,O,X,X,X,X,X
JITSZLO,X,O,O,O,O,O,O,X,X,X
JITSZOL,X,O,O,X,O,O,X,X,X,X
JITSOLZ,X,O,O,X,O,X,X,X,X,X
JITSOZL,X,O,O,X,O,X,X,X,X,X
JITZLSO,O,O,O,O,O,O,O,O,X,X
JITZLOS,O,O,O,O,X,O,O,O,X,X
JITZSLO,O,O,O,O,O,O,O,O,X,X
JITZSOL,O,O,O,X,O,O,X,O,X,X
JITZOLS,O,O,O,O,X,O,O,O,X,X
JITZOSL,O,X,O,X,X,O,X,O,X,X
JITOLSZ,X,O,O,X,O,X,X,X,X,X
JITOLZS,O,O,O,O,X,O,O,X,X,X
JITOSLZ,X,O,O,X,O,X,X,X,X,X
JITOSZL,X,O,O,X,O,X,X,X,X,X
JITOZLS,O,O,O,O,X,O,O,O,X,X
JITOZSL,O,O,O,X,X,O,X,O,X,X
JILTSZO,X,O,O,O,O,O,X,X,X,X
JILTSOZ,X,O,O,O,O,X,X,X,X,X
JILTZSO,O,O,O,O,O,O,X,O,X,X
JILTZOS,O,O,O,O,X,O,X,O,X,X
JILTOSZ,X,O,O,X,O,X,X,X,X,X
JILTOZS,O,O,O,O,X,O,X,X,X,X
JILSTZO,O,O,O,O,O,O,X,X,X,X
JILSTOZ,O,O,O,O,O,X,X,X,X,X
JILSZTO,O,O,O,O,X,O,X,O,X,X
JILSZOT,O,O,X,O,X,O,X,X,X,X
JILSOTZ,X,O,X,O,O,X,X,X,X,X
JILSOZT,X,O,X,O,X,X,X,X,X,X
JILZTSO,O,O,O,O,X,O,X,O,X,X
JILZTOS,O,O,O,O,X,O,X,O,X,X
JILZSTO,O,O,O,O,X,O,X,O,X,X
JILZSOT,O,O,X,O,X,O,X,X,X,X
JILZOTS,O,O,O,O,X,O,X,O,X,X
JILZOST,O,O,X,O,X,O,X,X,X,X
JILOTSZ,X,O,O,X,X,O,X,X,X,X
JILOTZS,X,O,O,O,X,O,X,X,X,X
JILOSTZ,X,O,X,O,X,O,X,X,X,X
JILOSZT,X,O,X,O,X,O,X,X,X,X
JILOZTS,X,O,O,O,X,O,X,O,X,X
JILOZST,X,O,X,O,X,O,X,X,X,X
JISTLZO,O,O,O,O,O,O,X,X,X,X
JISTLOZ,O,O,O,O,O,X,X,X,X,X
JISTZLO,O,O,O,O,O,O,X,X,X,X
JISTZOL,O,O,O,O,O,O,X,X,X,X
JISTOLZ,O,O,O,O,O,X,X,X,X,X
JISTOZL,O,O,O,O,O,X,X,X,X,X
JISLTZO,O,O,O,O,O,O,X,X,X,X
JISLTOZ,O,O,O,O,O,X,X,X,X,X
JISLZTO,O,O,O,O,X,O,X,X,X,X
JISLZOT,O,O,X,O,X,O,X,X,X,X
JISLOTZ,X,O,X,O,O,X,X,X,X,X
JISLOZT,X,O,X,O,X,X,X,X,X,X
JISZTLO,O,O,O,O,X,O,X,X,X,X
JISZTOL,O,O,O,O,X,O,X,X,X,X
JISZLTO,O,O,O,O,X,O,X,X,X,X
JISZLOT,O,O,X,O,X,O,X,X,X,X
JISZOTL,O,O,X,O,X,O,X,X,X,X
JISZOLT,O,O,X,O,X,O,X,X,X,X
JISOTLZ,X,O,X,O,O,X,X,X,X,X
JISOTZL,X,O,X,O,O,X,X,X,X,X
JISOLTZ,X,O,X,O,O,X,X,X,X,X
JISOLZT,X,O,X,O,X,X,X,X,X,X
JISOZTL,X,O,X,O,X,X,X,X,X,X
JISOZLT,X,O,X,O,X,X,X,X,X,X
JIZTLSO,O,O,O,O,X,O,O,O,X,X
JIZTLOS,O,O,O,O,X,O,O,O,X,X
JIZTSLO,O,O,O,O,X,O,O,O,X,X
JIZTSOL,O,O,O,O,X,O,X,O,X,X
JIZTOLS,O,O,O,O,X,O,O,O,X,X
JIZTOSL,O,X,O,X,X,O,X,O,X,X
JIZLTSO,O,O,O,O,X,O,X,O,X,X
JIZLTOS,O,O,O,O,X,O,X,O,X,X
JIZLSTO,O,O,O,O,X,O,X,O,X,X
JIZLSOT,O,O,X,O,X,O,X,X,X,X
JIZLOTS,O,O,O,O,X,O,X,O,X,X
JIZLOST,O,O,X,O,X,O,X,X,X,X
JIZSTLO,O,O,O,O,X,O,X,X,X,X
JIZSTOL,O,O,O,O,X,O,X,X,X,X
JIZSLTO,O,O,O,O,X,O,X,X,X,X
JIZSLOT,O,O,X,O,X,O,X,X,X,X
JIZSOTL,O,O,X,O,X,O,X,X,X,X
JIZSOLT,O,O,X,O,X,O,X,X,X,X
JIZOTLS,O,O,O,O,X,O,O,X,X,X
JIZOTSL,O,X,O,X,X,O,O,X,X,X
