sequence,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBSjB8mBziB+t?BlsB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBciBTeBWsBFo?BSyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFUdBGeB6mB/oBTn?BVyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF8iB+jBlhB/sBCn?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFUdBGeB6mBVoB/s?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBFeBTiBcoBWs?BSyB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFFdBXeB0hBSoBGs?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBliBzmBCtBct?BGtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFGdBlhB6oBXnB8s?BTtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFXeBSoBUnBlmBTt?BGsB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cBliBzmBGtBct?BCtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhFlhBcnBTjBCnBGt?BXtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF+jBlhB3iBzmBCt?BUtB,v115@zgA8IeD8FeE8EeE8EeG8MeR7IvhF3cB+jBliBzmBCt?BUtB
ZIJLOTS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
ZIJLOST,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZIJSTLO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
ZIJSTOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
ZIJSLTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZIJSLOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZIJSOTL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZIJSOLT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZIJOTLS,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZIJOTSL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZIJOLTS,X,O,X,X,X,O,O,X,X,O,O,O,X,X
ZIJOLST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
ZIJOSTL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZIJOSLT,O,O,X,X,X,O,O,X,X,X,O,X,X,X
ZISTLJO,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZISTLOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZISTJLO,O,X,X,X,O,X,O,X,O,X,X,X,X,X
ZISTJOL,O,X,X,X,O,X,O,X,O,X,X,O,X,X
ZISTOLJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X
ZISTOJL,X,X,X,O,O,X,O,X,O,X,X,X,X,X
ZISLTJO,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ZISLTOJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZISLJTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X
ZISLJOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZISLOTJ,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ZISLOJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISJTLO,O,O,X,X,O,X,O,X,O,X,X,X,X,X
ZISJTOL,O,O,X,X,O,X,O,X,O,X,X,O,X,X
ZISJLTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZISJLOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZISJOTL,O,O,X,X,O,X,O,X,X,X,X,O,X,X
ZISJOLT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZISOTLJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X
ZISOTJL,X,X,X,O,O,X,O,X,O,X,X,X,X,X
ZISOLTJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X
ZISOLJT,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ZISOJTL,O,X,X,O,O,X,O,X,X,X,O,X,X,X
ZISOJLT,O,X,X,O,X,X,O,X,X,X,O,X,X,X
ZIOTLJS,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZIOTLSJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X
ZIOTJLS,X,X,X,O,X,X,O,X,X,X,X,O,X,X
ZIOTJSL,X,X,O,O,X,X,O,X,X,X,X,O,X,X
ZIOTSLJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ZIOTSJL,X,X,O,O,O,X,O,X,X,X,X,X,X,X
ZIOLTJS,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ZIOLTSJ,X,X,O,X,O,X,O,O,X,O,X,X,X,X
ZIOLJTS,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ZIOLJST,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ZIOLSTJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X
ZIOLSJT,X,X,X,X,O,X,O,O,X,O,X,X,X,X
ZIOJTLS,O,X,X,O,X,X,O,X,X,X,O,O,X,X
ZIOJTSL,O,X,O,O,X,X,O,X,X,X,O,O,X,X
ZIOJLTS,X,X,X,O,X,X,O,X,X,O,O,O,X,X
ZIOJLST,O,X,X,X,X,X,O,X,X,O,O,X,X,X
ZIOJSTL,O,X,X,O,X,X,O,X,X,X,O,O,X,X
ZIOJSLT,O,X,X,O,X,X,O,X,X,X,O,X,X,X
ZIOSTLJ,X,X,O,X,O,X,O,X,O,X,X,X,X,X
ZIOSTJL,X,X,O,O,O,X,O,X,O,X,X,X,X,X
ZIOSLTJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X
ZIOSLJT,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ZIOSJTL,O,X,X,O,O,X,O,X,X,X,O,X,X,X
ZIOSJLT,O,X,X,O,X,X,O,X,X,X,O,X,X,X
ZLTIJSO,X,O,O,X,X,O,O,X,X,X,X,X,O,X
ZLTIJOS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
ZLTISJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLTISOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLTIOJS,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ZLTIOSJ,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ZLTJISO,X,O,O,X,X,O,O,X,X,X,X,X,O,X
ZLTJIOS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
ZLTJSIO,X,O,O,X,X,O,O,X,X,X,X,X,O,X
ZLTJSOI,X,O,O,X,X,O,O,X,X,X,X,X,O,X
ZLTJOIS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
ZLTJOSI,X,O,X,X,X,O,O,X,X,X,X,O,X,X
ZLTSIJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLTSIOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLTSJIO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLTSJOI,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLTSOIJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLTSOJI,X,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLTOIJS,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ZLTOISJ,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ZLTOJIS,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ZLTOJSI,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ZLTOSIJ,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ZLTOSJI,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLITJSO,X,O,O,X,X,O,O,X,X,X,X,X,O,X
ZLITJOS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
ZLITSJO,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLITSOJ,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLITOJS,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ZLITOSJ,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ZLIJTSO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
ZLIJTOS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZLIJSTO,O,O,X,X,O,O,O,X,O,X,X,X,O,X
ZLIJSOT,O,O,X,X,O,O,O,X,X,X,X,X,X,X
ZLIJOTS,X,O,O,X,X,O,O,X,X,X,X,O,X,O
ZLIJOST,O,O,X,X,X,O,O,X,X,X,X,X,X,O
ZLISTJO,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLISTOJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLISJTO,O,O,X,X,O,O,X,X,O,X,X,X,X,X
ZLISJOT,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLISOTJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLISOJT,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLIOTJS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLIOTSJ,X,X,O,X,O,O,O,O,X,O,X,X,X,X
ZLIOJTS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLIOJST,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ZLIOSTJ,X,X,O,X,O,O,O,O,O,O,X,X,X,X
ZLIOSJT,X,X,X,X,O,O,O,O,X,O,X,X,X,X
ZLJTISO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
ZLJTIOS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZLJTSIO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
ZLJTSOI,O,O,O,X,X,O,O,X,X,X,X,X,O,X
ZLJTOIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZLJTOSI,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZLJITSO,O,O,O,X,X,O,O,X,X,X,X,X,O,X
ZLJITOS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZLJISTO,O,O,X,X,O,O,O,X,O,X,X,X,O,X
ZLJISOT,O,O,X,X,O,O,O,X,X,X,X,X,X,X
ZLJIOTS,X,O,O,X,X,O,O,X,X,X,X,O,X,O
ZLJIOST,O,O,X,X,X,O,O,X,X,X,X,X,X,O
ZLJSTIO,O,O,X,X,O,O,O,X,O,X,X,X,O,X
ZLJSTOI,O,O,X,X,O,O,O,X,O,X,X,X,O,X
ZLJSITO,O,O,X,X,O,O,O,X,O,X,X,X,O,X
ZLJSIOT,O,O,X,X,O,O,O,X,X,X,X,X,X,X
ZLJSOTI,O,O,X,X,O,O,O,X,X,X,X,X,X,X
ZLJSOIT,O,O,X,X,O,O,O,X,X,X,X,X,X,X
ZLJOTIS,X,O,O,X,X,O,O,X,X,X,X,O,X,O
ZLJOTSI,X,O,O,X,X,O,O,X,X,X,X,O,X,O
ZLJOITS,X,O,O,X,X,O,O,X,X,X,X,O,X,O
ZLJOIST,O,O,X,X,X,O,O,X,X,X,X,X,X,O
ZLJOSTI,O,O,X,X,X,O,O,X,X,X,X,X,X,O
ZLJOSIT,O,O,X,X,X,O,O,X,X,X,X,X,X,O
ZLSTIJO,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLSTIOJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLSTJIO,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLSTJOI,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLSTOIJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLSTOJI,X,X,O,X,O,X,X,X,O,X,X,X,X,X
ZLSITJO,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLSITOJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLSIJTO,O,O,X,X,O,O,X,X,O,X,X,X,X,X
ZLSIJOT,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLSIOTJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLSIOJT,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLSJTIO,O,O,X,X,O,O,X,X,O,X,X,X,X,X
ZLSJTOI,O,O,X,X,O,O,X,X,O,X,X,X,X,X
ZLSJITO,O,O,X,X,O,O,X,X,O,X,X,X,X,X
ZLSJIOT,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLSJOTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLSJOIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLSOTIJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLSOTJI,X,X,O,X,O,X,X,X,O,X,X,X,X,X
ZLSOITJ,X,X,O,X,O,O,X,X,O,X,X,X,X,X
ZLSOIJT,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLSOJTI,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLSOJIT,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLOTIJS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLOTISJ,X,X,O,X,O,O,O,O,X,O,X,X,X,X
ZLOTJIS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLOTJSI,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLOTSIJ,X,X,O,X,O,O,O,O,X,O,X,X,X,X
ZLOTSJI,X,X,O,X,O,X,O,O,X,O,X,X,X,X
ZLOITJS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLOITSJ,X,X,O,X,O,O,O,O,X,O,X,X,X,X
ZLOIJTS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLOIJST,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ZLOISTJ,X,X,O,X,O,O,O,O,O,O,X,X,X,X
ZLOISJT,X,X,X,X,O,O,O,O,X,O,X,X,X,X
ZLOJTIS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLOJTSI,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLOJITS,X,X,O,X,X,O,O,O,X,O,X,X,X,X
ZLOJIST,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ZLOJSTI,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ZLOJSIT,X,X,X,X,X,O,O,O,X,O,X,X,X,X
ZLOSTIJ,X,X,O,X,O,O,O,O,O,O,X,X,X,X
ZLOSTJI,X,X,O,X,O,X,O,O,O,O,X,X,X,X
ZLOSITJ,X,X,O,X,O,O,O,O,O,O,X,X,X,X
ZLOSIJT,X,X,X,X,O,O,O,O,X,O,X,X,X,X
ZLOSJTI,X,X,X,X,O,O,O,O,X,O,X,X,X,X
ZLOSJIT,X,X,X,X,O,O,O,O,X,O,X,X,X,X
ZJTILSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTILOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTISLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTISOL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTIOLS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTIOSL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTLISO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTLIOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTLSIO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTLSOI,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTLOIS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTLOSI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTSILO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTSIOL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTSLIO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTSLOI,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTSOIL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTSOLI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTOILS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTOISL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTOLIS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTOLSI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTOSIL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJTOSLI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJITLSO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJITLOS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJITSLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJITSOL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJITOLS,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJITOSL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJILTSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJILTOS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZJILSTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJILSOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJILOTS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
ZJILOST,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJISTLO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJISTOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
ZJISLTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJISLOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJISOTL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJISOLT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJIOTLS,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJIOTSL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJIOLTS,X,O,X,X,X,O,O,X,X,O,O,O,X,X
ZJIOLST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
ZJIOSTL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJIOSLT,O,O,X,X,X,O,O,X,X,X,O,X,X,X
ZJLTISO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJLTIOS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZJLTSIO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJLTSOI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJLTOIS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZJLTOSI,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZJLITSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJLITOS,O,O,X,X,X,O,O,X,X,X,X,O,X,X
ZJLISTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJLISOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJLIOTS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
ZJLIOST,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJLSTIO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJLSTOI,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJLSITO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJLSIOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJLSOTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJLSOIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJLOTIS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
ZJLOTSI,X,O,X,X,X,O,O,X,X,X,X,O,X,X
ZJLOITS,X,O,X,X,X,O,O,X,X,X,X,O,X,X
ZJLOIST,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJLOSTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJLOSIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJSTILO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJSTIOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
ZJSTLIO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJSTLOI,O,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJSTOIL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
ZJSTOLI,O,O,X,X,X,X,O,X,O,X,X,O,X,X
ZJSITLO,O,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJSITOL,O,O,X,X,X,X,O,X,O,X,X,O,X,X
ZJSILTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJSILOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJSIOTL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJSIOLT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJSLTIO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJSLTOI,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJSLITO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZJSLIOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJSLOTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJSLOIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJSOTIL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJSOTLI,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJSOITL,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJSOILT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJSOLTI,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJSOLIT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZJOTILS,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOTISL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOTLIS,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOTLSI,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOTSIL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOTSLI,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOITLS,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOITSL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOILTS,X,O,X,X,X,O,O,X,X,O,O,O,X,X
ZJOILST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
ZJOISTL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOISLT,O,O,X,X,X,O,O,X,X,X,O,X,X,X
ZJOLTIS,X,O,X,X,X,O,O,X,X,O,O,O,X,X
ZJOLTSI,X,O,X,X,X,O,O,X,X,O,O,O,X,X
ZJOLITS,X,O,X,X,X,O,O,X,X,O,O,O,X,X
ZJOLIST,O,O,X,X,X,O,O,X,X,O,O,X,X,X
ZJOLSTI,O,O,X,X,X,O,O,X,X,O,O,X,X,X
ZJOLSIT,O,O,X,X,X,O,O,X,X,O,O,X,X,X
ZJOSTIL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOSTLI,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOSITL,O,O,X,X,X,X,O,X,X,X,O,O,X,X
ZJOSILT,O,O,X,X,X,O,O,X,X,X,O,X,X,X
ZJOSLTI,O,O,X,X,X,O,O,X,X,X,O,X,X,X
ZJOSLIT,O,O,X,X,X,O,O,X,X,X,O,X,X,X
ZSTILJO,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSTILOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZSTIJLO,O,X,X,X,O,X,O,X,O,X,X,X,X,X
ZSTIJOL,O,X,X,X,O,X,O,X,O,X,X,O,X,X
ZSTIOLJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X
ZSTIOJL,X,X,X,O,O,X,O,X,O,X,X,X,X,X
ZSTLIJO,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSTLIOJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSTLJIO,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSTLJOI,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSTLOIJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSTLOJI,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSTJILO,O,X,X,X,O,X,O,X,O,X,X,X,X,X
ZSTJIOL,O,X,X,X,O,X,O,X,O,X,X,O,X,X
ZSTJLIO,O,X,X,X,O,X,O,X,O,X,X,X,X,X
ZSTJLOI,O,X,X,X,O,X,O,X,O,X,X,X,X,X
ZSTJOIL,O,X,X,X,O,X,O,X,O,X,X,O,X,X
ZSTJOLI,O,X,X,X,X,X,O,X,O,X,X,O,X,X
ZSTOILJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X
ZSTOIJL,X,X,X,O,O,X,O,X,O,X,X,X,X,X
ZSTOLIJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X
ZSTOLJI,X,X,X,X,O,X,O,X,O,X,X,X,X,X
ZSTOJIL,X,X,X,O,O,X,O,X,O,X,X,X,X,X
ZSTOJLI,X,X,X,O,O,X,O,X,O,X,X,X,X,X
ZSITLJO,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSITLOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZSITJLO,O,X,X,X,O,X,O,X,O,X,X,X,X,X
ZSITJOL,O,X,X,X,O,X,O,X,O,X,X,O,X,X
ZSITOLJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X
ZSITOJL,X,X,X,O,O,X,O,X,O,X,X,X,X,X
ZSILTJO,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ZSILTOJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZSILJTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSILJOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSILOTJ,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ZSILOJT,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSIJTLO,O,O,X,X,O,X,O,X,O,X,X,X,X,X
ZSIJTOL,O,O,X,X,O,X,O,X,O,X,X,O,X,X
ZSIJLTO,O,O,X,X,X,O,O,X,O,X,X,X,X,X
ZSIJLOT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZSIJOTL,O,O,X,X,O,X,O,X,X,X,X,O,X,X
ZSIJOLT,O,O,X,X,X,O,O,X,X,X,X,X,X,X
ZSIOTLJ,X,X,X,X,O,X,O,X,O,X,X,X,X,X
ZSIOTJL,X,X,X,O,O,X,O,X,O,X,X,X,X,X
ZSIOLTJ,X,X,X,X,O,X,O,O,O,O,X,X,X,X
ZSIOLJT,X,X,X,X,X,X,O,O,X,O,X,X,X,X
ZSIOJTL,O,X,X,O,O,X,O,X,X,X,O,X,X,X
ZSIOJLT,O,X,X,O,X,X,O,X,X,X,O,X,X,X
ZSLTIJO,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ZSLTIOJ,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ZSLTJIO,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ZSLTJOI,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ZSLTOIJ,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ZSLTOJI,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSLITJO,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ZSLITOJ,X,X,X,X,O,O,X,X,O,X,X,X,X,X
ZSLIJTO,O,O,X,X,O,O,X,X,O,X,X,X,X,X
ZSLIJOT,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ZSLIOTJ,X,X,X,X,O,O,X,X,O,X,X,X,X,X
