sequence,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFtgB0cBxdB3fBOr?BzrB,v115@EhC8BeA8CeH8CeG8CeC8Jem6IvhFtgB0cBxdBTfBKr?BfsB,v115@EhC8BeA8CeH8CeG8CeC8JeK/IvhFzaBtgBxdB3hB0m?B2wB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFzbBthBxdB3fBmr?BUrB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBthBxdBfmBzr?BarB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFtgB0cBxdB3fBmr?BTrB,v115@EhC8BeA8CeH8CeG8CeC8Je2/IvhFzbBthB3fBxiBUm?BywB,v115@EhC8BeA8CeH8CeG8CeC8Jei6IvhFthBxdB3fBzgBmr?BUrB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBzbBxdBarBfs?BtrB,v115@EhC8BeA8CeH8CeG8CeC8Je2/IvhFtgB0cB3fBxiBTm?BywB,v115@EhC8BeA8CeH8CeG8CeC8JeO/IvhF8fBtgBxdB3hBTm?BywB
IZOSLJT,O,O,X,X,O,X,X,X,O,X,X
IZOSJTL,O,X,X,X,O,X,X,X,X,X,O
IZOSJLT,O,O,X,X,O,X,X,X,O,X,X
IOTLJSZ,X,X,O,X,X,X,X,X,X,X,X
IOTLJZS,X,X,X,X,X,X,O,X,X,X,X
IOTLSJZ,O,X,O,X,X,X,X,O,X,X,X
IOTLSZJ,O,X,O,X,O,X,X,O,X,X,X
IOTLZJS,X,X,X,X,O,X,X,X,X,X,X
IOTLZSJ,O,X,O,X,O,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,X,X,X,X,X,X,X
IOTJLZS,O,X,X,X,X,X,O,X,X,X,X
IOTJSLZ,O,O,X,X,X,X,X,O,X,X,X
IOTJSZL,O,X,X,X,O,X,X,X,X,X,X
IOTJZLS,O,X,X,X,O,X,O,X,X,X,X
IOTJZSL,O,X,X,X,O,X,O,X,X,O,X
IOTSLJZ,O,O,O,X,X,X,X,O,X,X,X
IOTSLZJ,O,O,O,X,O,O,X,O,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,O,X,X,X
IOTSJZL,O,X,X,X,O,X,X,X,X,X,X
IOTSZLJ,O,X,X,X,O,O,X,O,X,X,X
IOTSZJL,O,X,X,X,O,X,X,X,X,X,O
IOTZLJS,X,X,X,X,O,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,O,X,X,X,X,X,X
IOTZJLS,X,X,X,X,O,X,X,X,X,X,X
IOTZJSL,O,X,X,X,O,X,X,X,X,O,O
IOTZSLJ,O,X,X,X,O,O,X,O,X,X,X
IOTZSJL,O,X,X,X,O,X,X,X,X,X,O
IOLTJSZ,X,O,O,X,X,X,X,X,X,O,X
IOLTJZS,X,X,O,X,X,X,O,X,X,O,X
IOLTSJZ,O,O,O,X,X,X,X,X,X,O,X
IOLTSZJ,O,O,O,X,O,X,X,X,X,O,O
IOLTZJS,X,X,X,X,O,X,X,X,X,O,O
IOLTZSJ,O,X,O,X,O,X,X,X,X,O,O
IOLJTSZ,O,O,O,X,X,X,X,X,X,O,X
IOLJTZS,O,X,O,X,X,X,O,X,X,O,X
IOLJSTZ,O,O,O,X,X,X,X,X,X,O,X
IOLJSZT,O,O,O,X,X,X,X,X,X,X,X
IOLJZTS,O,X,O,X,X,X,O,X,X,O,X
IOLJZST,X,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,O,X,X,X,X,X,X,O,X
IOLSTZJ,O,O,O,X,O,X,X,X,X,O,O
IOLSJTZ,O,O,O,X,X,X,X,X,X,O,X
IOLSJZT,O,O,O,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,O,X,O,X,X,X,X,O,O
IOLSZJT,O,O,X,X,O,X,X,X,X,X,O
IOLZTJS,X,X,X,X,O,X,O,X,X,O,O
IOLZTSJ,O,X,O,X,O,X,O,X,X,O,O
IOLZJTS,X,X,O,X,O,X,O,X,X,O,O
IOLZJST,X,X,O,X,O,X,X,X,X,X,O
IOLZSTJ,X,X,O,X,O,X,X,X,X,O,O
IOLZSJT,X,X,X,X,O,X,X,X,X,X,O
IOJTLSZ,O,X,O,X,X,O,X,O,X,X,X
IOJTLZS,O,X,O,X,X,O,O,X,X,X,X
IOJTSLZ,O,O,O,O,X,O,X,O,X,X,X
IOJTSZL,O,X,X,O,O,O,X,O,X,X,X
IOJTZLS,O,X,X,X,O,O,O,X,X,X,X
IOJTZSL,O,X,X,X,O,O,O,O,X,O,X
IOJLTSZ,O,O,O,X,X,O,X,X,X,O,X
IOJLTZS,O,X,O,X,X,O,O,X,X,O,X
IOJLSTZ,O,O,O,X,X,O,X,X,X,O,X
IOJLSZT,O,O,O,X,X,O,X,X,X,X,X
IOJLZTS,O,X,O,X,X,O,O,X,X,O,X
IOJLZST,X,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,O,O,X,O,X,O,X,X,X
IOJSTZL,O,X,X,O,O,O,X,O,X,X,X
IOJSLTZ,O,O,O,O,X,O,X,O,X,X,X
IOJSLZT,O,O,O,O,X,O,X,X,X,X,X
IOJSZTL,O,X,X,O,O,O,X,X,X,X,X
IOJSZLT,O,O,X,O,O,O,X,X,X,X,X
IOJZTLS,O,X,X,O,O,O,O,X,X,X,X
IOJZTSL,O,X,X,O,O,O,O,X,X,X,X
IOJZLTS,O,X,X,X,O,O,X,X,X,X,X
IOJZLST,X,X,X,X,O,X,X,X,X,X,X
IOJZSTL,O,X,X,O,O,O,X,X,X,X,X
IOJZSLT,O,O,X,O,O,O,X,X,X,X,X
IOSTLJZ,O,O,O,X,X,X,X,O,X,X,X
IOSTLZJ,O,O,O,X,O,O,X,O,X,X,X
IOSTJLZ,O,O,X,X,X,X,X,O,X,X,X
IOSTJZL,O,X,X,X,O,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,O,O,X,O,X,X,X
IOSTZJL,O,X,X,X,O,X,X,X,X,X,O
IOSLTJZ,O,O,O,X,X,X,X,O,X,X,X
IOSLTZJ,O,O,O,X,O,O,X,O,X,X,X
IOSLJTZ,O,O,O,O,X,O,X,O,X,X,X
IOSLJZT,O,O,X,O,X,O,X,X,X,X,X
IOSLZTJ,O,O,O,X,O,X,X,X,X,X,X
IOSLZJT,O,O,X,X,O,X,X,X,O,X,X
IOSJTLZ,O,O,X,O,X,O,X,O,X,X,X
IOSJTZL,O,X,X,O,O,O,X,O,X,X,X
IOSJLTZ,O,O,X,O,X,O,X,O,X,X,X
IOSJLZT,O,O,X,O,X,O,X,X,X,X,X
IOSJZTL,O,X,X,O,O,O,X,X,X,X,X
IOSJZLT,O,O,X,O,O,O,X,X,X,X,X
IOSZTLJ,O,X,X,X,O,X,X,X,X,X,X
IOSZTJL,O,X,X,X,O,X,X,X,X,X,O
IOSZLTJ,O,O,X,X,O,X,X,X,X,X,X
IOSZLJT,O,O,X,X,O,X,X,X,O,X,X
IOSZJTL,O,X,X,X,O,X,X,X,X,X,O
IOSZJLT,O,O,X,X,O,X,X,X,O,X,X
IOZTLJS,X,X,X,X,O,X,O,X,X,X,X
IOZTLSJ,O,X,X,X,O,X,X,X,X,X,X
IOZTJLS,X,X,X,X,O,X,O,X,X,X,X
IOZTJSL,O,X,X,X,O,X,O,X,X,O,O
IOZTSLJ,O,X,X,X,O,O,X,X,X,X,X
IOZTSJL,O,X,X,X,O,X,O,X,X,X,O
IOZLTJS,X,X,X,X,O,X,X,X,X,X,O
IOZLTSJ,O,X,X,X,O,X,X,X,X,X,O
IOZLJTS,X,X,X,X,O,X,X,X,X,X,O
IOZLJST,X,X,X,X,O,X,X,X,X,X,O
IOZLSTJ,X,X,X,X,O,X,X,X,X,X,O
IOZLSJT,X,X,X,X,O,X,X,X,X,X,O
IOZJTLS,O,X,X,X,O,X,O,X,X,X,X
IOZJTSL,O,X,X,X,O,X,O,X,X,X,O
IOZJLTS,O,X,X,X,O,X,X,X,X,X,O
IOZJLST,X,X,X,X,O,X,X,X,X,X,O
IOZJSTL,O,X,X,X,O,X,X,X,X,X,O
IOZJSLT,O,O,X,X,O,X,X,X,O,X,X
IOZSTLJ,O,X,X,X,O,X,X,X,X,X,X
IOZSTJL,O,X,X,X,O,X,X,X,X,X,O
IOZSLTJ,O,O,X,X,O,X,X,X,X,X,X
IOZSLJT,O,O,X,X,O,X,X,X,O,X,X
IOZSJTL,O,X,X,X,O,X,X,X,X,X,O
IOZSJLT,O,O,X,X,O,X,X,X,O,X,X
LTIJSZO,X,O,O,X,X,X,O,X,X,O,O
LTIJSOZ,X,O,O,X,X,X,X,X,X,X,X
LTIJZSO,X,X,O,X,X,X,O,X,X,O,O
LTIJZOS,X,X,O,X,X,X,O,X,X,O,O
LTIJOSZ,X,X,O,X,X,X,X,X,X,O,X
LTIJOZS,X,X,O,X,X,X,O,X,X,O,X
LTISJZO,O,O,X,X,X,O,O,X,X,O,O
LTISJOZ,X,O,O,X,X,X,X,O,X,X,X
LTISZJO,O,O,X,X,X,O,X,X,X,O,O
LTISZOJ,O,O,O,X,X,O,X,O,X,X,O
LTISOJZ,X,O,O,X,X,X,X,O,X,X,X
LTISOZJ,O,O,O,X,X,O,X,O,X,X,O
LTIZJSO,X,X,X,X,X,X,O,X,X,O,O
LTIZJOS,X,X,X,X,X,X,O,X,X,O,O
LTIZSJO,O,X,X,X,X,O,O,X,X,O,O
LTIZSOJ,O,X,O,X,X,O,O,X,X,X,O
LTIZOJS,X,X,X,X,X,X,O,X,X,O,O
LTIZOSJ,X,X,O,X,X,X,O,X,X,X,O
LTIOJSZ,X,O,O,X,X,X,X,X,X,O,X
LTIOJZS,X,X,O,X,X,X,O,X,X,O,X
LTIOSJZ,X,O,O,X,X,X,X,O,X,O,X
LTIOSZJ,X,O,O,X,X,X,X,O,X,O,O
LTIOZJS,X,X,X,X,X,X,X,X,X,O,O
LTIOZSJ,X,X,O,X,X,X,X,X,X,O,O
LTJISZO,O,O,O,X,X,O,O,X,X,O,O
LTJISOZ,O,O,O,X,X,O,X,X,X,X,X
LTJIZSO,O,X,O,X,X,O,O,X,X,O,O
LTJIZOS,X,X,O,X,X,X,O,X,X,O,O
LTJIOSZ,X,X,O,X,X,X,X,X,X,O,X
LTJIOZS,X,X,O,X,X,X,O,X,X,O,X
LTJSIZO,O,O,O,X,X,O,O,X,X,O,O
LTJSIOZ,O,O,O,X,X,O,X,X,X,X,X
LTJSZIO,O,O,O,X,X,O,O,X,X,O,O
LTJSZOI,O,O,O,X,X,O,O,X,X,O,O
LTJSOIZ,O,O,O,X,X,O,X,X,X,X,X
LTJSOZI,O,O,O,X,X,O,X,X,X,X,X
LTJZISO,O,X,O,X,X,O,O,X,X,O,O
LTJZIOS,X,X,O,X,X,X,O,X,X,O,O
LTJZSIO,O,O,O,X,X,O,O,X,X,O,O
LTJZSOI,O,O,O,X,X,O,O,X,X,O,O
LTJZOIS,X,X,O,X,X,X,O,X,X,O,O
LTJZOSI,X,X,O,X,X,X,O,X,X,O,O
LTJOISZ,X,O,O,X,X,X,X,X,X,O,X
LTJOIZS,X,X,O,X,X,X,O,X,X,O,X
LTJOSIZ,X,O,O,X,X,X,X,X,X,O,X
LTJOSZI,X,O,O,X,X,X,X,X,X,O,X
LTJOZIS,X,X,O,X,X,X,O,X,X,O,X
LTJOZSI,X,O,O,X,X,X,O,X,X,O,X
LTSIJZO,O,O,X,X,X,O,O,X,X,O,O
LTSIJOZ,O,O,O,X,X,O,X,O,X,X,X
LTSIZJO,O,O,X,X,X,O,X,X,O,O,O
LTSIZOJ,O,O,O,X,X,O,X,O,X,X,O
LTSIOJZ,X,O,O,X,X,X,X,O,X,X,X
LTSIOZJ,O,O,O,X,X,O,X,O,X,X,O
LTSJIZO,O,O,O,X,X,O,O,X,X,O,O
LTSJIOZ,O,O,O,X,X,O,X,O,X,X,X
LTSJZIO,O,O,O,X,X,O,O,X,X,O,O
LTSJZOI,O,O,O,X,X,O,O,X,X,O,O
LTSJOIZ,O,O,O,X,X,O,X,O,X,X,X
LTSJOZI,O,O,O,X,X,O,X,O,X,X,X
LTSZIJO,O,O,X,X,X,O,X,X,O,O,O
LTSZIOJ,O,O,O,X,X,O,X,O,X,X,O
LTSZJIO,O,O,X,X,X,O,X,X,O,O,O
LTSZJOI,O,O,X,X,X,O,X,X,O,O,O
LTSZOIJ,O,O,O,X,X,O,X,O,X,X,O
LTSZOJI,X,O,O,X,X,X,X,O,O,X,O
LTSOIJZ,X,O,O,X,X,X,X,O,X,X,X
LTSOIZJ,O,O,O,X,X,O,X,O,X,X,O
LTSOJIZ,O,O,O,X,X,O,X,O,X,X,X
LTSOJZI,O,O,O,X,X,O,X,O,X,X,X
LTSOZIJ,O,O,O,X,X,O,X,O,X,X,O
LTSOZJI,X,O,O,X,X,X,X,O,O,X,O
LTZIJSO,X,X,X,X,X,X,O,X,X,O,O
LTZIJOS,X,X,X,X,X,X,O,X,X,O,O
LTZISJO,O,X,X,X,X,O,O,X,X,O,O
LTZISOJ,O,X,O,X,X,O,O,X,X,X,O
LTZIOJS,X,X,X,X,X,X,O,X,X,O,O
LTZIOSJ,X,X,O,X,X,X,O,X,X,X,O
LTZJISO,X,X,O,X,X,X,O,X,X,O,O
LTZJIOS,X,X,O,X,X,X,O,X,X,O,O
LTZJSIO,X,O,O,X,X,X,O,X,O,O,O
LTZJSOI,X,O,O,X,X,X,O,X,O,O,O
LTZJOIS,X,X,O,X,X,X,O,X,X,O,O
LTZJOSI,X,X,O,X,X,X,O,X,O,O,O
LTZSIJO,O,O,X,X,X,O,O,X,O,O,O
LTZSIOJ,O,O,O,X,X,O,O,X,X,X,O
LTZSJIO,O,O,X,X,X,O,O,X,O,O,O
LTZSJOI,X,O,X,X,X,X,O,X,O,O,O
LTZSOIJ,O,O,O,X,X,O,O,X,X,X,O
LTZSOJI,X,O,O,X,X,X,O,X,O,X,O
LTZOIJS,X,X,X,X,X,X,O,X,X,O,O
LTZOISJ,X,X,O,X,X,X,O,X,X,X,O
LTZOJIS,X,X,O,X,X,X,O,X,X,O,O
LTZOJSI,X,O,O,X,X,X,O,X,O,O,O
LTZOSIJ,X,O,O,X,X,X,O,X,X,X,O
LTZOSJI,X,O,O,X,X,X,O,X,O,X,O
LTOIJSZ,X,O,O,X,X,X,X,X,X,O,X
LTOIJZS,X,X,O,X,X,X,O,X,X,O,X
LTOISJZ,X,O,O,X,X,X,X,O,X,O,X
LTOISZJ,X,O,O,X,X,X,X,O,X,O,O
LTOIZJS,X,X,X,X,X,X,X,X,X,O,O
LTOIZSJ,X,X,O,X,X,X,X,X,X,O,O
LTOJISZ,X,O,O,X,X,X,X,X,X,O,X
LTOJIZS,X,X,O,X,X,X,O,X,X,O,X
LTOJSIZ,X,O,O,X,X,X,X,X,X,O,X
LTOJSZI,X,O,O,X,X,X,X,X,X,O,X
LTOJZIS,X,X,O,X,X,X,O,X,X,O,X
LTOJZSI,X,O,O,X,X,X,O,X,X,O,X
LTOSIJZ,X,O,O,X,X,X,X,O,X,O,X
LTOSIZJ,X,O,O,X,X,X,X,O,X,O,O
LTOSJIZ,X,O,O,X,X,X,X,O,X,O,X
LTOSJZI,X,O,O,X,X,X,X,O,X,O,X
LTOSZIJ,X,O,O,X,X,X,X,O,X,O,O
LTOSZJI,X,O,O,X,X,X,X,O,O,O,O
LTOZIJS,X,X,X,X,X,X,X,X,X,O,O
LTOZISJ,X,X,O,X,X,X,X,X,X,O,O
LTOZJIS,X,X,O,X,X,X,X,X,X,O,O
LTOZJSI,X,O,O,X,X,X,X,X,O,O,O
LTOZSIJ,X,O,O,X,X,X,X,X,X,O,O
LTOZSJI,X,O,O,X,X,X,X,X,O,O,O
LITJSZO,X,O,O,X,X,X,O,X,X,O,O
LITJSOZ,X,O,O,X,X,X,X,X,X,X,X
LITJZSO,X,X,O,X,X,X,O,X,X,O,O
LITJZOS,X,X,O,X,X,X,O,X,X,O,O
LITJOSZ,X,X,O,X,X,X,X,X,X,O,X
LITJOZS,X,X,O,X,X,X,O,X,X,O,X
LITSJZO,O,O,X,X,X,O,O,X,X,O,O
LITSJOZ,X,O,O,X,X,X,X,O,X,X,X
LITSZJO,O,O,X,X,X,O,X,X,X,O,O
LITSZOJ,O,O,O,X,X,O,X,O,X,X,O
LITSOJZ,X,O,O,X,X,X,X,O,X,X,X
LITSOZJ,O,O,O,X,X,O,X,O,X,X,O
LITZJSO,X,X,X,X,X,X,O,X,X,O,O
LITZJOS,X,X,X,X,X,X,O,X,X,O,O
LITZSJO,O,X,X,X,X,O,O,X,X,O,O
LITZSOJ,O,X,O,X,X,O,O,X,X,X,O
LITZOJS,X,X,X,X,X,X,O,X,X,O,O
LITZOSJ,X,X,O,X,X,X,O,X,X,X,O
LITOJSZ,X,O,O,X,X,X,X,X,X,O,X
LITOJZS,X,X,O,X,X,X,O,X,X,O,X
LITOSJZ,X,O,O,X,X,X,X,O,X,O,X
LITOSZJ,X,O,O,X,X,X,X,O,X,O,O
LITOZJS,X,X,X,X,X,X,X,X,X,O,O
LITOZSJ,X,X,O,X,X,X,X,X,X,O,O
LIJTSZO,O,O,O,O,X,O,O,O,X,O,O
LIJTSOZ,O,O,O,O,X,O,X,O,X,X,X
LIJTZSO,O,X,O,X,X,O,O,X,X,O,O
LIJTZOS,X,X,O,X,X,X,O,X,X,O,O
LIJTOSZ,X,X,O,X,X,X,X,O,X,O,X
LIJTOZS,X,X,O,X,X,X,O,X,X,O,X
LIJSTZO,O,O,O,O,X,O,O,O,X,O,O
LIJSTOZ,O,O,O,O,X,O,X,O,X,X,X
LIJSZTO,O,O,O,O,X,O,O,O,X,X,O
LIJSZOT,X,X,O,O,X,O,X,X,X,X,O
LIJSOTZ,O,O,O,O,X,O,X,O,X,O,X
LIJSOZT,X,X,O,O,X,O,X,X,X,X,X
LIJZTSO,O,X,O,O,X,O,O,X,X,O,O
LIJZTOS,X,X,O,O,X,X,O,X,X,O,O
LIJZSTO,X,X,O,O,X,X,O,X,X,X,O
LIJZSOT,X,X,O,O,X,X,X,X,X,X,O
LIJZOTS,X,X,O,X,X,X,O,X,X,O,O
LIJZOST,X,X,O,X,X,X,X,X,X,X,O
LIJOTSZ,X,X,O,X,X,O,X,X,X,O,X
LIJOTZS,X,X,O,X,X,O,O,X,X,O,X
LIJOSTZ,X,X,O,X,X,O,X,X,X,O,X
LIJOSZT,X,X,O,X,X,O,X,X,X,X,X
LIJOZTS,X,X,O,X,X,O,O,X,X,O,X
LIJOZST,X,X,O,X,X,X,X,X,X,X,X
LISTJZO,O,O,X,O,X,O,O,O,X,O,O
LISTJOZ,O,O,O,O,X,O,X,O,X,X,X
LISTZJO,O,O,X,X,X,O,X,X,O,O,O
LISTZOJ,O,O,O,X,X,O,X,O,X,X,O
LISTOJZ,O,O,O,X,X,X,X,O,X,X,X
LISTOZJ,O,O,O,X,X,O,X,O,X,X,O
LISJTZO,O,O,O,O,X,O,O,O,X,O,O
LISJTOZ,O,O,O,O,X,O,X,O,X,X,X
LISJZTO,O,O,O,O,X,O,O,O,O,X,O
LISJZOT,X,O,O,O,X,O,X,X,O,X,O
LISJOTZ,O,O,O,O,X,O,X,O,X,O,X
LISJOZT,O,O,O,O,X,O,X,X,X,X,X
LISZTJO,O,O,X,X,X,O,O,X,O,O,O
LISZTOJ,O,O,O,X,X,O,O,O,X,X,O
LISZJTO,O,O,X,O,X,O,O,O,O,X,O
LISZJOT,X,O,X,O,X,O,X,X,O,X,O
LISZOTJ,O,O,O,X,X,X,X,X,X,X,O
LISZOJT,O,O,X,X,X,X,X,X,O,X,O
LISOTJZ,O,O,O,X,X,X,X,O,X,O,X
LISOTZJ,O,O,O,X,X,O,X,O,X,O,O
LISOJTZ,O,O,O,O,X,O,X,O,X,O,X
LISOJZT,O,O,O,O,X,O,X,X,X,X,X
LISOZTJ,O,O,O,X,X,X,X,X,X,O,O
LISOZJT,O,O,X,X,X,X,X,X,O,X,O
LIZTJSO,X,X,X,X,X,X,O,X,X,O,O
LIZTJOS,X,X,X,X,X,X,O,X,X,O,O
LIZTSJO,O,X,X,X,X,O,O,X,X,O,O
LIZTSOJ,O,X,O,X,X,O,O,X,X,X,O
LIZTOJS,X,X,X,X,X,X,O,X,X,O,O
LIZTOSJ,X,X,O,X,X,X,O,X,X,X,O
LIZJTSO,X,X,O,X,X,X,O,X,X,O,O
LIZJTOS,X,X,O,X,X,X,O,X,X,O,O
LIZJSTO,X,X,O,X,X,X,O,X,O,X,O
LIZJSOT,X,X,O,X,X,X,X,X,O,X,O
LIZJOTS,X,X,O,X,O,X,O,X,X,O,O
LIZJOST,X,X,O,X,O,X,X,X,O,X,O
LIZSTJO,X,X,X,X,X,X,O,X,O,O,O
LIZSTOJ,X,X,O,X,X,X,O,X,X,X,O
LIZSJTO,X,X,X,X,X,X,O,X,O,X,O
LIZSJOT,X,X,X,X,X,X,X,X,O,X,O
LIZSOTJ,X,X,O,X,X,X,X,X,X,X,O
LIZSOJT,X,X,X,X,X,X,X,X,O,X,O
LIZOTJS,X,X,X,X,O,X,O,X,X,O,O
LIZOTSJ,X,X,O,X,O,X,O,X,X,O,O
LIZOJTS,X,X,O,X,O,X,O,X,X,O,O
LIZOJST,X,X,O,X,O,X,X,X,O,X,O
LIZOSTJ,X,X,O,X,O,X,X,X,X,O,O
LIZOSJT,X,X,X,X,O,X,X,X,O,X,O
LIOTJSZ,X,O,O,X,X,X,X,X,X,O,X
LIOTJZS,X,X,O,X,X,X,O,X,X,O,X
LIOTSJZ,O,O,O,X,X,X,X,X,X,O,X
LIOTSZJ,O,O,O,X,O,X,X,X,X,O,O
LIOTZJS,X,X,X,X,O,X,X,X,X,O,O
LIOTZSJ,O,X,O,X,O,X,X,X,X,O,O
LIOJTSZ,O,O,O,X,X,X,X,X,X,O,X
LIOJTZS,O,X,O,X,X,X,O,X,X,O,X
LIOJSTZ,O,O,O,X,X,X,X,X,X,O,X
LIOJSZT,O,O,O,X,X,X,X,X,X,X,X
LIOJZTS,O,X,O,X,X,X,O,X,X,O,X
LIOJZST,X,X,O,X,X,X,X,X,X,X,X
LIOSTJZ,O,O,O,X,X,X,X,X,X,O,X
LIOSTZJ,O,O,O,X,O,X,X,X,X,O,O
LIOSJTZ,O,O,O,X,X,X,X,X,X,O,X
LIOSJZT,O,O,O,X,X,X,X,X,X,X,X
LIOSZTJ,O,O,O,X,O,X,X,X,X,O,O
LIOSZJT,O,O,X,X,O,X,X,X,O,X,O
LIOZTJS,X,X,X,X,O,X,O,X,X,O,O
LIOZTSJ,O,X,O,X,O,X,O,X,X,O,O
LIOZJTS,X,X,O,X,O,X,O,X,X,O,O
LIOZJST,X,X,O,X,O,X,X,X,O,X,O
LIOZSTJ,X,X,O,X,O,X,X,X,X,O,O
LIOZSJT,X,X,X,X,O,X,X,X,O,X,O
LJTISZO,O,O,O,O,X,O,O,O,X,O,O
LJTISOZ,O,O,O,O,X,O,X,O,X,X,X
LJTIZSO,O,X,O,X,X,O,O,X,X,O,O
LJTIZOS,X,X,O,X,X,X,O,X,X,O,O
LJTIOSZ,X,X,O,X,X,X,X,O,X,O,X
LJTIOZS,X,X,O,X,X,X,O,X,X,O,X
LJTSIZO,O,O,O,O,X,O,O,O,X,O,O
LJTSIOZ,O,O,O,O,X,O,X,O,X,X,X
LJTSZIO,O,O,O,O,X,O,O,O,X,O,O
LJTSZOI,O,O,O,O,X,O,O,O,X,O,O
LJTSOIZ,O,O,O,O,X,O,X,O,X,X,X
LJTSOZI,O,O,O,O,X,O,X,O,X,X,X
LJTZISO,O,X,O,X,X,O,O,X,X,O,O
LJTZIOS,X,X,O,X,X,X,O,X,X,O,O
LJTZSIO,O,O,O,X,X,O,O,X,X,O,O
LJTZSOI,O,O,O,X,X,O,O,X,X,O,O
LJTZOIS,X,X,O,X,X,X,O,X,X,O,O
LJTZOSI,X,X,O,X,X,X,O,X,X,O,O
LJTOISZ,X,O,O,X,X,X,X,O,X,O,X
LJTOIZS,X,X,O,X,X,X,O,X,X,O,X
LJTOSIZ,X,O,O,X,X,X,X,O,X,O,X
LJTOSZI,X,O,O,X,X,X,X,O,X,O,X
LJTOZIS,X,X,O,X,X,X,O,X,X,O,X
LJTOZSI,X,O,O,X,X,X,O,X,X,O,X
LJITSZO,O,O,O,O,X,O,O,O,X,O,O
LJITSOZ,O,O,O,O,X,O,X,O,X,X,X
LJITZSO,O,X,O,X,X,O,O,X,X,O,O
LJITZOS,X,X,O,X,X,X,O,X,X,O,O
LJITOSZ,X,X,O,X,X,X,X,O,X,O,X
LJITOZS,X,X,O,X,X,X,O,X,X,O,X
LJISTZO,O,O,O,O,X,O,O,O,X,O,O
LJISTOZ,O,O,O,O,X,O,X,O,X,X,X
LJISZTO,O,O,O,O,X,O,O,O,X,X,O
LJISZOT,X,X,O,O,X,O,X,X,X,X,O
LJISOTZ,O,O,O,O,X,O,X,O,X,O,X
LJISOZT,X,X,O,O,X,O,X,X,X,X,X
LJIZTSO,O,X,O,O,X,O,O,X,X,O,O
LJIZTOS,X,X,O,O,X,X,O,X,X,O,O
LJIZSTO,X,X,O,O,X,X,O,X,X,X,O
LJIZSOT,X,X,O,O,X,X,X,X,X,X,O
LJIZOTS,X,X,O,X,X,X,O,X,X,O,O
LJIZOST,X,X,O,X,X,X,X,X,X,X,O
LJIOTSZ,X,X,O,X,X,O,X,X,X,O,X
LJIOTZS,X,X,O,X,X,O,O,X,X,O,X
LJIOSTZ,X,X,O,X,X,O,X,X,X,O,X
LJIOSZT,X,X,O,X,X,O,X,X,X,X,X
LJIOZTS,X,X,O,X,X,O,O,X,X,O,X
LJIOZST,X,X,O,X,X,X,X,X,X,X,X
LJSTIZO,O,O,O,O,X,O,O,O,X,O,O
LJSTIOZ,O,O,O,O,X,O,X,O,X,X,X
LJSTZIO,O,O,O,O,X,O,O,O,X,O,O
LJSTZOI,O,O,O,O,X,O,O,O,X,O,O
LJSTOIZ,O,O,O,O,X,O,X,O,X,X,X
LJSTOZI,O,O,O,O,X,O,X,O,X,X,X
LJSITZO,O,O,O,O,X,O,O,O,X,O,O
LJSITOZ,O,O,O,O,X,O,X,O,X,X,X
LJSIZTO,O,O,O,O,X,O,O,O,O,X,O
LJSIZOT,X,O,O,O,X,O,X,X,O,X,O
LJSIOTZ,O,O,O,O,X,O,X,O,X,O,X
LJSIOZT,X,O,O,O,X,O,X,X,X,X,X
LJSZTIO,O,O,O,O,X,O,O,O,O,X,O
LJSZTOI,O,O,O,O,X,O,O,O,O,X,O
LJSZITO,O,O,O,O,X,O,O,O,O,X,O
LJSZIOT,X,O,O,O,X,O,X,X,O,X,O
LJSZOTI,X,O,O,O,X,O,O,O,O,X,O
LJSZOIT,X,O,O,O,X,O,X,X,O,X,O
LJSOTIZ,O,O,O,O,X,O,X,O,X,O,X
LJSOTZI,O,O,O,O,X,O,X,O,X,O,X
LJSOITZ,O,O,O,O,X,O,X,O,X,O,X
LJSOIZT,X,O,O,O,X,O,X,X,X,X,X
LJSOZTI,X,O,O,O,X,O,X,O,O,X,X
LJSOZIT,X,O,O,O,X,O,X,X,O,X,X
LJZTISO,O,X,O,O,X,O,O,X,X,O,O
LJZTIOS,X,X,O,O,X,X,O,X,X,O,O
LJZTSIO,O,O,O,O,X,O,O,X,O,O,O
LJZTSOI,O,O,O,O,X,O,O,X,O,O,O
LJZTOIS,X,X,O,O,X,X,O,X,X,O,O
LJZTOSI,X,X,O,O,X,X,O,X,O,O,O
LJZITSO,O,X,O,O,X,O,O,X,X,O,O
LJZITOS,X,X,O,O,X,X,O,X,X,O,O
LJZISTO,X,X,O,O,X,X,O,X,O,X,O
LJZISOT,X,X,O,O,X,X,X,X,O,X,O
LJZIOTS,X,X,O,X,X,X,O,X,X,O,O
