sequence,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhF0cBxdB2mBf?oB6oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiBxdBUhBz?iB+oBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFOhB6jBRiBX?iBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFKhBfiBxdBG?jBUoBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFmdB5jBihBf?oB0hBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Jei7IvhFfiB5jBUhBz?iBmnBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFajB5jB/mB0?nBFnBmrB,v115@zgB8HeB8HeD8FeE8EeF8AeC8Je2AJvhFfiBxdBCjBU?hBToBFsB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFlcBciBejB5?jB/mBisB,v115@zgB8HeB8HeD8FeE8EeF8AeC8JeT7IvhFicBcoBxmBf?sBlsBGtB
LSIJTOZ,O,X,X,X,O,X,X,X,O,X
LSIJZTO,O,X,X,X,X,X,X,X,O,X
LSIJZOT,O,X,X,X,O,X,X,X,O,X
LSIJOTZ,O,X,X,X,O,X,X,X,O,X
LSIJOZT,O,X,X,O,O,X,X,X,O,X
LSIZTJO,O,X,X,X,X,O,O,X,O,X
LSIZTOJ,O,X,X,O,X,O,O,X,O,X
LSIZJTO,O,X,X,O,X,O,O,X,O,X
LSIZJOT,O,X,X,O,O,X,O,X,O,X
LSIZOTJ,O,X,X,O,X,O,O,X,O,X
LSIZOJT,O,X,X,O,O,X,O,X,O,X
LSIOTJZ,O,X,X,X,O,X,X,X,O,X
LSIOTZJ,O,X,X,O,O,X,X,X,O,X
LSIOJTZ,O,X,X,X,O,X,X,X,O,X
LSIOJZT,O,X,X,O,O,X,X,X,O,X
LSIOZTJ,O,X,X,O,X,X,O,X,O,X
LSIOZJT,O,X,X,O,O,X,O,X,O,X
LSJTIZO,O,O,X,X,O,X,X,X,O,X
LSJTIOZ,O,O,X,X,O,X,X,X,O,X
LSJTZIO,O,O,X,X,O,X,X,X,O,X
LSJTZOI,O,O,X,X,O,X,X,X,O,X
LSJTOIZ,O,O,X,X,O,X,X,X,O,X
LSJTOZI,O,O,X,X,O,X,X,X,O,X
LSJITZO,O,X,X,X,O,X,X,X,O,X
LSJITOZ,O,X,X,X,O,X,X,X,O,X
LSJIZTO,O,X,X,X,X,X,X,X,O,X
LSJIZOT,O,X,X,X,O,X,X,X,O,X
LSJIOTZ,O,X,X,X,O,X,X,X,O,X
LSJIOZT,O,X,X,O,O,X,X,X,O,X
LSJZTIO,O,O,X,O,X,X,X,X,O,X
LSJZTOI,O,O,X,O,X,X,X,X,O,X
LSJZITO,O,O,X,O,X,X,X,X,O,X
LSJZIOT,O,O,X,O,O,X,X,X,O,X
LSJZOTI,O,O,X,O,X,X,X,X,O,X
LSJZOIT,O,O,X,O,O,X,X,X,O,X
LSJOTIZ,O,O,X,X,O,X,X,X,O,X
LSJOTZI,O,O,X,X,O,X,X,X,O,X
LSJOITZ,O,X,X,X,O,X,X,X,O,X
LSJOIZT,O,X,X,O,O,X,X,X,O,X
LSJOZTI,O,O,X,O,X,X,X,X,O,X
LSJOZIT,O,O,X,O,O,X,X,X,O,X
LSZTIJO,O,O,X,X,X,O,O,X,O,X
LSZTIOJ,O,O,X,O,X,O,O,X,O,X
LSZTJIO,O,O,X,O,X,O,X,X,O,X
LSZTJOI,O,O,X,O,X,O,X,X,O,X
LSZTOIJ,O,O,X,O,X,O,O,X,O,X
LSZTOJI,O,O,X,O,X,O,X,X,O,X
LSZITJO,O,O,X,X,X,O,O,X,O,X
LSZITOJ,O,X,X,O,X,O,O,X,O,X
LSZIJTO,O,O,X,O,X,O,O,X,O,X
LSZIJOT,O,O,X,O,O,X,O,X,O,X
LSZIOTJ,O,X,X,O,X,O,O,X,O,X
LSZIOJT,O,O,X,O,O,X,O,X,O,X
LSZJTIO,O,O,X,O,X,X,X,X,O,X
LSZJTOI,O,O,X,O,X,X,X,X,O,X
LSZJITO,O,O,X,O,X,O,O,X,O,X
LSZJIOT,O,O,X,O,O,X,O,X,O,X
LSZJOTI,O,O,X,O,X,X,X,X,O,X
LSZJOIT,O,O,X,O,O,X,O,X,O,X
LSZOTIJ,O,X,X,O,X,X,O,X,O,X
LSZOTJI,O,X,X,O,X,X,X,X,O,X
LSZOITJ,O,X,X,O,X,O,O,X,O,X
LSZOIJT,O,O,X,O,O,X,O,X,O,X
LSZOJTI,O,O,X,O,X,X,X,X,O,X
LSZOJIT,O,O,X,O,O,X,O,X,O,X
LSOTIJZ,O,X,X,O,O,X,X,X,O,X
LSOTIZJ,O,X,X,O,O,X,X,X,O,X
LSOTJIZ,O,X,X,O,O,X,X,X,O,X
LSOTJZI,O,X,X,O,O,X,X,X,O,X
LSOTZIJ,O,X,X,O,O,X,X,X,O,X
LSOTZJI,O,X,X,O,O,X,X,X,O,X
LSOITJZ,O,X,X,X,O,X,X,X,O,X
LSOITZJ,O,X,X,O,O,X,X,X,O,X
LSOIJTZ,O,X,X,X,O,X,X,X,O,X
LSOIJZT,O,X,X,O,O,X,X,X,O,X
LSOIZTJ,O,X,X,O,X,X,O,X,O,X
LSOIZJT,O,X,X,O,O,X,O,X,O,X
LSOJTIZ,O,X,X,X,O,X,X,X,O,X
LSOJTZI,O,X,X,X,O,X,X,X,O,X
LSOJITZ,O,X,X,X,O,X,X,X,O,X
LSOJIZT,O,X,X,O,O,X,X,X,O,X
LSOJZTI,O,X,X,O,X,X,X,X,O,X
LSOJZIT,O,X,X,O,O,X,X,X,O,X
LSOZTIJ,O,X,X,O,X,X,O,X,O,X
LSOZTJI,O,X,X,O,X,X,X,X,O,X
LSOZITJ,O,X,X,O,X,X,O,X,O,X
LSOZIJT,O,X,X,O,O,X,O,X,O,X
LSOZJTI,O,X,X,O,X,X,X,X,O,X
LSOZJIT,O,X,X,O,O,X,O,X,O,X
LZTIJSO,X,O,O,O,X,O,X,X,X,X
LZTIJOS,X,O,O,O,X,O,X,X,X,X
LZTISJO,X,O,O,O,O,O,O,X,X,X
LZTISOJ,X,O,O,O,O,O,O,X,X,X
LZTIOJS,X,X,O,O,X,O,X,X,X,X
LZTIOSJ,X,X,O,O,O,O,O,X,X,X
LZTJISO,X,O,O,O,X,O,X,X,O,X
LZTJIOS,X,O,O,O,X,O,X,X,O,X
LZTJSIO,X,O,O,O,X,O,X,X,O,X
LZTJSOI,X,O,O,O,X,O,X,X,O,X
LZTJOIS,X,O,O,O,X,O,X,X,O,X
LZTJOSI,X,O,O,O,X,O,X,X,O,X
LZTSIJO,X,O,O,O,O,O,O,X,O,X
LZTSIOJ,X,O,O,O,O,O,O,X,O,X
LZTSJIO,X,O,O,O,O,O,X,X,O,X
LZTSJOI,X,O,O,O,O,O,X,X,O,X
LZTSOIJ,X,O,O,O,O,O,O,X,O,X
LZTSOJI,X,O,O,O,O,O,X,X,O,X
LZTOIJS,X,X,O,O,X,O,X,X,X,X
LZTOISJ,X,X,O,O,O,O,O,X,X,X
LZTOJIS,X,O,O,O,X,O,X,X,O,X
LZTOJSI,X,O,O,O,X,O,X,X,O,X
LZTOSIJ,X,O,O,O,O,O,O,X,O,X
LZTOSJI,X,O,O,O,O,O,X,X,O,X
LZITJSO,X,O,O,X,X,O,X,X,X,X
LZITJOS,X,O,O,X,X,O,X,X,X,X
LZITSJO,X,O,O,X,O,O,O,X,X,O
LZITSOJ,X,O,O,X,O,O,O,X,X,O
LZITOJS,X,X,O,X,X,O,X,X,X,X
LZITOSJ,X,X,O,X,O,O,O,X,X,O
LZIJTSO,X,O,O,X,X,O,X,X,O,X
LZIJTOS,X,O,O,X,X,O,X,X,O,X
LZIJSTO,X,O,X,O,X,O,O,X,O,O
LZIJSOT,X,O,O,O,X,X,O,X,O,O
LZIJOTS,X,X,O,X,X,X,X,X,O,X
LZIJOST,X,O,O,O,X,X,O,X,O,O
LZISTJO,O,O,X,X,X,O,O,X,O,O
LZISTOJ,O,X,X,O,X,O,O,X,O,O
LZISJTO,O,O,X,O,X,O,O,X,O,O
LZISJOT,O,O,O,O,O,X,O,X,O,O
LZISOTJ,O,X,X,O,X,O,O,X,O,O
LZISOJT,O,O,O,O,O,X,O,X,O,O
LZIOTJS,X,X,O,X,X,O,X,X,X,X
LZIOTSJ,X,X,O,X,O,O,O,X,X,O
LZIOJTS,X,X,O,X,X,X,X,X,O,X
LZIOJST,X,X,O,O,X,X,O,X,O,O
LZIOSTJ,O,X,X,O,X,O,O,X,O,O
LZIOSJT,O,X,O,O,O,X,O,X,O,O
LZJTISO,X,O,O,O,X,O,X,X,O,X
LZJTIOS,X,O,O,O,X,O,X,X,O,X
LZJTSIO,X,O,O,O,X,O,X,X,O,X
LZJTSOI,X,O,O,O,X,O,X,X,O,X
LZJTOIS,X,O,O,O,X,O,X,X,O,X
LZJTOSI,X,O,O,O,X,O,X,X,O,X
LZJITSO,X,O,O,O,X,O,X,X,O,X
LZJITOS,X,O,O,X,X,O,X,X,O,X
LZJISTO,X,O,X,O,X,O,O,X,O,X
LZJISOT,X,O,O,O,X,X,O,X,O,X
LZJIOTS,X,X,O,X,X,X,X,X,O,X
LZJIOST,X,O,O,O,X,X,O,X,O,X
LZJSTIO,O,O,O,O,X,X,X,X,O,X
LZJSTOI,O,O,O,O,X,X,X,X,O,X
LZJSITO,O,O,X,O,X,O,O,X,O,X
LZJSIOT,O,O,O,O,X,X,O,X,O,X
LZJSOTI,O,O,O,O,X,X,X,X,O,X
LZJSOIT,O,O,O,O,X,X,O,X,O,X
LZJOTIS,X,O,O,O,X,X,X,X,O,X
LZJOTSI,X,O,O,O,X,X,X,X,O,X
LZJOITS,X,X,O,X,X,X,X,X,O,X
LZJOIST,X,O,O,O,X,X,O,X,O,X
LZJOSTI,O,O,O,O,X,X,X,X,O,X
LZJOSIT,O,O,O,O,X,X,O,X,O,X
LZSTIJO,O,O,O,X,X,O,O,X,O,X
LZSTIOJ,O,O,O,O,X,O,O,X,O,X
LZSTJIO,O,O,O,O,X,O,X,X,O,X
LZSTJOI,O,O,O,O,X,O,X,X,O,X
LZSTOIJ,O,O,O,O,X,O,O,X,O,X
LZSTOJI,O,O,O,O,X,O,X,X,O,X
LZSITJO,O,O,X,X,X,O,O,X,O,X
LZSITOJ,O,X,X,O,X,O,O,X,O,X
LZSIJTO,O,O,X,O,X,O,O,X,O,X
LZSIJOT,O,O,O,O,O,X,O,X,O,X
LZSIOTJ,O,X,X,O,X,O,O,X,O,X
LZSIOJT,O,O,O,O,O,X,O,X,O,X
LZSJTIO,O,O,O,O,X,X,X,X,O,X
LZSJTOI,O,O,O,O,X,X,X,X,O,X
LZSJITO,O,O,X,O,X,O,O,X,O,X
LZSJIOT,O,O,O,O,O,X,O,X,O,X
LZSJOTI,O,O,O,O,X,X,X,X,O,X
LZSJOIT,O,O,O,O,O,X,O,X,O,X
LZSOTIJ,O,X,O,O,X,X,O,X,O,X
LZSOTJI,O,X,O,O,X,X,X,X,O,X
LZSOITJ,O,X,X,O,X,O,O,X,O,X
LZSOIJT,O,O,O,O,O,X,O,X,O,X
LZSOJTI,O,O,O,O,X,X,X,X,O,X
LZSOJIT,O,O,O,O,O,X,O,X,O,X
LZOTIJS,X,X,O,O,X,O,X,X,X,X
LZOTISJ,X,X,O,O,O,O,O,X,X,X
LZOTJIS,X,O,O,O,X,O,X,X,O,X
LZOTJSI,X,O,O,O,X,O,X,X,O,X
LZOTSIJ,X,O,O,O,O,O,O,X,O,X
LZOTSJI,X,O,O,O,O,O,X,X,O,X
LZOITJS,X,X,O,X,X,O,X,X,X,X
LZOITSJ,X,X,O,X,O,O,O,X,X,O
LZOIJTS,X,X,O,X,X,X,X,X,O,X
LZOIJST,X,X,O,O,X,X,O,X,O,O
LZOISTJ,O,X,X,O,X,O,O,X,O,O
LZOISJT,O,X,O,O,O,X,O,X,O,O
LZOJTIS,X,O,O,O,X,X,X,X,O,X
LZOJTSI,X,O,O,O,X,X,X,X,O,X
LZOJITS,X,X,O,X,X,X,X,X,O,X
LZOJIST,X,O,O,O,X,X,O,X,O,X
LZOJSTI,O,O,O,O,X,X,X,X,O,X
LZOJSIT,O,O,O,O,X,X,O,X,O,X
LZOSTIJ,O,X,O,O,X,X,O,X,O,X
LZOSTJI,O,X,O,O,X,X,X,X,O,X
LZOSITJ,O,X,X,O,X,O,O,X,O,X
LZOSIJT,O,O,O,O,O,X,O,X,O,X
LZOSJTI,O,O,O,O,X,X,X,X,O,X
LZOSJIT,O,O,O,O,O,X,O,X,O,X
LOTIJSZ,X,X,X,X,O,X,X,O,O,X
LOTIJZS,X,X,X,X,X,O,X,O,O,X
LOTISJZ,O,X,X,O,O,X,X,O,O,X
LOTISZJ,O,X,X,O,O,O,X,O,X,X
LOTIZJS,X,X,X,O,X,O,X,O,X,X
LOTIZSJ,X,X,X,O,O,O,X,O,X,X
LOTJISZ,X,O,X,X,O,X,X,O,O,X
LOTJIZS,X,O,X,X,X,O,X,O,O,X
LOTJSIZ,O,O,X,O,O,X,X,O,O,X
LOTJSZI,O,O,X,O,O,X,X,O,O,X
LOTJZIS,O,O,O,O,X,O,X,O,O,X
LOTJZSI,O,O,O,O,X,O,X,O,O,X
LOTSIJZ,O,O,X,O,O,X,X,O,O,X
LOTSIZJ,O,O,X,O,O,O,X,O,O,X
LOTSJIZ,O,O,X,O,O,X,X,O,O,X
LOTSJZI,O,O,X,O,O,X,X,O,O,X
LOTSZIJ,O,X,X,O,O,O,X,O,O,X
LOTSZJI,O,X,X,O,O,O,X,O,O,X
LOTZIJS,X,X,O,O,X,O,X,O,X,X
LOTZISJ,X,X,O,O,O,O,X,O,X,X
LOTZJIS,X,O,O,O,X,O,X,O,O,X
LOTZJSI,X,O,O,O,X,O,X,O,O,X
LOTZSIJ,X,O,O,O,O,O,X,O,O,X
LOTZSJI,X,O,O,O,O,O,X,O,O,X
LOITJSZ,X,X,X,X,O,X,X,O,O,X
LOITJZS,X,X,X,X,X,O,X,O,O,X
LOITSJZ,O,X,X,O,O,X,X,O,O,X
LOITSZJ,O,X,X,O,O,O,X,O,X,X
LOITZJS,X,X,X,O,X,O,X,O,X,X
LOITZSJ,X,X,X,O,O,O,X,O,X,O
LOIJTSZ,X,X,X,X,O,X,X,O,O,X
LOIJTZS,X,X,X,X,X,X,X,O,O,X
LOIJSTZ,O,X,X,X,O,X,X,X,O,X
LOIJSZT,O,X,X,X,O,X,X,X,O,X
LOIJZTS,X,X,X,X,X,X,X,X,O,X
LOIJZST,X,X,X,X,X,X,X,X,O,O
LOISTJZ,O,X,X,X,O,X,X,O,O,X
LOISTZJ,O,X,X,O,O,X,X,O,O,X
LOISJTZ,O,X,X,X,O,X,X,X,O,X
LOISJZT,O,X,X,O,O,X,X,X,O,X
LOISZTJ,O,X,X,O,X,X,O,X,O,O
LOISZJT,O,X,X,O,O,X,O,X,O,O
LOIZTJS,X,X,X,X,X,O,X,O,X,X
LOIZTSJ,X,X,X,X,O,O,O,O,X,O
LOIZJTS,X,X,X,X,X,X,X,X,O,X
LOIZJST,X,X,X,O,X,X,O,X,O,O
LOIZSTJ,O,X,X,O,X,O,O,X,O,O
LOIZSJT,O,X,X,O,O,X,O,X,O,O
LOJTISZ,X,O,X,X,O,X,X,O,O,X
LOJTIZS,X,O,X,X,X,X,X,O,O,X
LOJTSIZ,O,O,X,O,O,X,X,O,O,X
LOJTSZI,O,O,X,O,O,X,X,O,O,X
LOJTZIS,X,O,O,O,X,X,X,O,O,X
LOJTZSI,X,O,O,O,X,X,X,O,O,X
LOJITSZ,X,O,X,X,O,X,X,O,O,X
LOJITZS,X,O,X,X,X,X,X,O,O,X
LOJISTZ,O,X,X,X,O,X,X,X,O,X
LOJISZT,O,X,X,X,O,X,X,X,O,X
LOJIZTS,X,X,X,X,X,X,X,X,O,X
LOJIZST,X,O,X,X,X,X,X,X,O,X
LOJSTIZ,O,O,X,X,O,X,X,O,O,X
LOJSTZI,O,O,X,X,X,X,X,O,O,X
LOJSITZ,O,X,X,X,O,X,X,X,O,X
LOJSIZT,O,X,X,O,O,X,X,X,O,X
LOJSZTI,O,O,X,O,X,X,X,X,O,X
LOJSZIT,O,O,X,O,O,X,X,X,O,X
LOJZTIS,X,O,O,X,X,X,X,O,O,X
LOJZTSI,X,O,O,O,X,X,X,O,O,X
LOJZITS,X,X,O,X,X,X,X,X,O,X
LOJZIST,O,O,O,O,X,X,X,X,O,X
LOJZSTI,O,O,O,O,X,X,X,X,O,X
LOJZSIT,O,O,O,O,X,X,X,X,O,X
LOSTIJZ,O,X,X,O,O,X,X,O,O,X
LOSTIZJ,O,X,X,O,O,X,X,O,O,X
LOSTJIZ,O,X,X,O,O,X,X,O,O,X
LOSTJZI,O,X,X,O,O,X,X,O,O,X
LOSTZIJ,O,X,X,O,O,X,X,O,O,X
LOSTZJI,O,X,X,O,O,X,X,O,O,X
LOSITJZ,O,X,X,X,O,X,X,O,O,X
LOSITZJ,O,X,X,O,O,X,X,O,O,X
LOSIJTZ,O,X,X,X,O,X,X,X,O,X
LOSIJZT,O,X,X,O,O,X,X,X,O,X
LOSIZTJ,O,X,X,O,X,X,O,X,O,X
LOSIZJT,O,X,X,O,O,X,O,X,O,X
LOSJTIZ,O,X,X,X,O,X,X,O,O,X
LOSJTZI,O,X,X,X,O,X,X,O,O,X
LOSJITZ,O,X,X,X,O,X,X,X,O,X
LOSJIZT,O,X,X,O,O,X,X,X,O,X
LOSJZTI,O,X,X,O,X,X,X,X,O,X
LOSJZIT,O,X,X,O,O,X,X,X,O,X
LOSZTIJ,O,X,X,O,X,X,O,X,O,X
LOSZTJI,O,X,X,O,X,X,X,X,O,X
LOSZITJ,O,X,X,O,X,X,O,X,O,X
LOSZIJT,O,X,X,O,O,X,O,X,O,X
LOSZJTI,O,X,X,O,X,X,X,X,O,X
LOSZJIT,O,X,X,O,O,X,O,X,O,X
LOZTIJS,X,X,O,O,X,O,X,O,X,X
LOZTISJ,X,X,O,O,O,O,O,O,X,X
LOZTJIS,X,O,O,O,X,O,X,O,O,X
LOZTJSI,X,O,O,O,X,O,X,O,O,X
LOZTSIJ,X,O,O,O,O,O,O,O,O,X
LOZTSJI,X,O,O,O,O,O,X,O,O,X
LOZITJS,X,X,O,X,X,O,X,O,X,X
LOZITSJ,X,X,O,X,O,O,O,O,X,O
LOZIJTS,X,X,O,X,X,X,X,X,O,X
LOZIJST,X,X,O,O,X,X,O,X,O,O
LOZISTJ,O,X,X,O,X,O,O,X,O,O
LOZISJT,O,X,O,O,O,X,O,X,O,O
LOZJTIS,X,O,O,O,X,X,X,O,O,X
LOZJTSI,X,O,O,O,X,X,X,O,O,X
LOZJITS,X,X,O,X,X,X,X,X,O,X
LOZJIST,X,O,O,O,X,X,O,X,O,X
LOZJSTI,O,O,O,O,X,X,X,X,O,X
LOZJSIT,O,O,O,O,X,X,O,X,O,X
LOZSTIJ,O,X,O,O,X,X,O,X,O,X
LOZSTJI,O,X,O,O,X,X,X,X,O,X
LOZSITJ,O,X,X,O,X,O,O,X,O,X
LOZSIJT,O,O,O,O,O,X,O,X,O,X
LOZSJTI,O,O,O,O,X,X,X,X,O,X
LOZSJIT,O,O,O,O,O,X,O,X,O,X
JTILSZO,X,O,X,X,O,X,X,O,X,X
JTILSOZ,X,O,X,X,O,X,X,O,X,X
JTILZSO,X,O,X,X,X,O,X,O,X,X
JTILZOS,X,O,X,X,X,O,X,X,X,X
JTILOSZ,X,O,X,X,O,X,X,O,X,X
JTILOZS,X,O,X,X,X,O,X,X,X,X
JTISLZO,O,O,X,X,O,X,X,O,X,X
JTISLOZ,O,O,X,X,O,X,X,O,X,X
JTISZLO,O,O,X,X,O,X,X,X,X,X
JTISZOL,O,X,X,X,O,X,X,X,X,X
JTISOLZ,O,O,X,X,O,X,X,O,X,X
JTISOZL,O,O,X,X,O,X,X,X,X,X
JTIZLSO,X,O,O,X,X,O,X,X,X,X
JTIZLOS,O,O,O,X,X,O,X,X,X,X
JTIZSLO,O,O,O,X,X,O,X,X,X,X
JTIZSOL,O,O,O,X,X,O,X,X,X,X
JTIZOLS,O,O,O,X,X,O,X,X,X,X
JTIZOSL,O,O,O,X,X,O,X,X,X,X
JTIOLSZ,X,O,X,X,O,X,X,O,X,X
JTIOLZS,X,O,X,X,X,O,X,O,X,X
JTIOSLZ,O,O,X,X,O,X,X,O,X,X
JTIOSZL,O,O,X,X,O,X,X,X,X,X
JTIOZLS,O,O,O,X,X,O,X,X,X,X
JTIOZSL,O,O,O,X,X,O,X,X,X,X
JTLISZO,X,O,X,X,O,X,X,O,X,X
JTLISOZ,X,O,X,X,O,X,X,O,X,X
JTLIZSO,X,O,X,X,X,O,X,O,X,X
JTLIZOS,X,O,X,X,X,O,X,X,X,X
JTLIOSZ,X,O,X,X,O,X,X,O,X,X
JTLIOZS,X,O,X,X,X,O,X,X,X,X
JTLSIZO,O,O,X,X,O,X,X,O,X,X
JTLSIOZ,O,O,X,O,O,X,X,O,X,X
JTLSZIO,O,O,X,O,O,X,X,O,X,X
JTLSZOI,O,O,X,O,O,X,X,O,X,X
JTLSOIZ,O,O,X,O,O,X,X,O,X,X
JTLSOZI,O,O,X,O,O,X,X,O,X,X
JTLZISO,X,O,O,O,X,O,X,O,X,X
JTLZIOS,O,O,O,O,X,O,X,X,X,X
JTLZSIO,O,O,O,O,X,O,X,O,X,X
JTLZSOI,O,O,O,O,X,O,X,O,X,X
JTLZOIS,O,O,O,O,X,O,X,X,X,X
JTLZOSI,O,O,O,O,X,O,X,X,X,X
JTLOISZ,X,O,X,X,O,X,X,O,X,X
JTLOIZS,X,O,X,X,X,O,X,O,X,X
JTLOSIZ,O,O,X,O,O,X,X,O,X,X
JTLOSZI,O,O,X,O,O,X,X,O,X,X
JTLOZIS,O,O,O,O,X,O,X,O,X,X
JTLOZSI,O,O,O,O,X,O,X,O,X,X
JTSILZO,O,O,X,X,O,X,X,O,X,X
JTSILOZ,O,O,X,O,O,X,X,O,X,X
JTSIZLO,O,O,X,X,O,X,X,X,X,X
JTSIZOL,O,X,X,X,O,X,X,X,X,X
JTSIOLZ,O,O,X,X,O,X,X,O,X,X
JTSIOZL,O,O,X,X,O,X,X,X,X,X
JTSLIZO,O,O,X,X,O,X,X,O,X,X
JTSLIOZ,O,O,X,O,O,X,X,O,X,X
JTSLZIO,O,O,X,O,O,X,X,O,X,X
JTSLZOI,O,O,X,O,O,X,X,O,X,X
JTSLOIZ,O,O,X,O,O,X,X,O,X,X
JTSLOZI,O,O,X,O,O,X,X,O,X,X
JTSZILO,O,O,O,O,O,X,X,X,X,X
JTSZIOL,O,O,O,O,O,X,X,X,X,X
JTSZLIO,O,O,O,O,O,X,X,O,X,X
JTSZLOI,O,O,O,O,O,X,X,O,X,X
JTSZOIL,O,O,O,O,O,X,X,X,X,X
JTSZOLI,O,O,O,O,O,X,X,O,X,X
JTSOILZ,O,O,X,X,O,X,X,O,X,X
JTSOIZL,O,O,X,X,O,X,X,X,X,X
JTSOLIZ,O,O,X,X,O,X,X,O,X,X
JTSOLZI,O,O,X,X,O,X,X,O,X,X
JTSOZIL,O,O,O,X,O,X,X,X,X,X
JTSOZLI,O,O,O,X,O,X,X,O,X,X
JTZILSO,X,O,O,O,X,O,X,X,X,X
JTZILOS,O,O,O,O,X,O,X,X,X,X
JTZISLO,O,O,O,O,X,O,X,X,X,X
JTZISOL,O,O,O,O,X,O,X,X,X,X
JTZIOLS,O,O,O,O,X,O,X,X,X,X
JTZIOSL,O,O,O,O,X,O,X,X,X,X
JTZLISO,X,O,O,O,X,O,X,O,X,X
JTZLIOS,O,O,O,O,X,O,X,X,X,X
JTZLSIO,O,O,O,O,X,O,X,O,X,X
JTZLSOI,O,O,O,O,X,O,X,O,X,X
JTZLOIS,O,O,O,O,X,O,X,X,X,X
JTZLOSI,O,O,O,O,X,O,X,X,X,X
JTZSILO,O,O,O,O,X,O,X,X,X,X
JTZSIOL,O,O,O,O,X,O,X,X,X,X
JTZSLIO,O,O,O,O,X,O,X,O,X,X
JTZSLOI,O,O,O,O,X,O,X,O,X,X
JTZSOIL,O,O,O,O,X,O,X,X,X,X
JTZSOLI,O,O,O,O,X,O,X,O,X,X
JTZOILS,O,O,O,O,X,O,X,X,X,X
JTZOISL,O,O,O,O,X,O,X,X,X,X
JTZOLIS,O,O,O,O,X,O,X,O,X,X
JTZOLSI,O,O,O,O,X,O,X,O,X,X
JTZOSIL,O,O,O,O,X,O,X,X,X,X
JTZOSLI,O,O,O,O,X,O,X,O,X,X
JTOILSZ,X,O,X,X,O,X,X,O,X,X
JTOILZS,X,O,X,X,X,O,X,O,X,X
JTOISLZ,O,O,X,X,O,X,X,O,X,X
JTOISZL,O,O,X,X,O,X,X,X,X,X
JTOIZLS,O,O,O,X,X,O,X,X,X,X
JTOIZSL,O,O,O,X,X,O,X,X,X,X
JTOLISZ,X,O,X,X,O,X,X,O,X,X
JTOLIZS,X,O,X,X,X,O,X,O,X,X
JTOLSIZ,O,O,X,O,O,X,X,O,X,X
JTOLSZI,O,O,X,O,O,X,X,O,X,X
JTOLZIS,O,O,O,O,X,O,X,O,X,X
JTOLZSI,O,O,O,O,X,O,X,O,X,X
JTOSILZ,O,O,X,X,O,X,X,O,X,X
JTOSIZL,O,O,X,X,O,X,X,X,X,X
JTOSLIZ,O,O,X,X,O,X,X,O,X,X
JTOSLZI,O,O,X,X,O,X,X,O,X,X
JTOSZIL,O,O,O,X,O,X,X,X,X,X
JTOSZLI,O,O,O,X,O,X,X,O,X,X
JTOZILS,O,O,O,O,X,O,X,X,X,X
JTOZISL,O,O,O,X,X,O,X,X,X,X
JTOZLIS,O,O,O,O,X,O,X,O,X,X
JTOZLSI,O,O,O,O,X,O,X,O,X,X
JTOZSIL,O,O,O,X,X,O,X,X,X,X
JTOZSLI,O,O,O,O,X,O,X,O,X,X
JITLSZO,X,O,X,X,O,X,X,O,X,X
JITLSOZ,X,O,X,X,O,X,X,O,X,X
JITLZSO,X,O,X,X,X,O,X,O,X,X
JITLZOS,X,O,X,X,X,O,X,X,X,X
JITLOSZ,X,O,X,X,O,X,X,O,X,X
JITLOZS,X,O,X,X,X,O,X,X,X,X
JITSLZO,X,O,X,X,O,X,X,O,X,X
JITSLOZ,X,O,X,X,O,X,X,O,X,X
JITSZLO,X,O,X,X,O,X,X,X,X,X
JITSZOL,X,X,X,X,O,X,X,X,X,X
JITSOLZ,X,O,X,X,O,X,X,O,X,X
JITSOZL,X,O,X,X,O,X,X,X,X,X
JITZLSO,X,O,O,X,X,O,X,X,X,X
JITZLOS,X,O,O,X,X,O,X,X,X,X
JITZSLO,X,O,O,X,X,O,X,X,X,X
JITZSOL,X,O,O,X,X,O,X,X,X,X
JITZOLS,X,O,O,X,X,O,X,X,X,X
JITZOSL,X,O,O,X,X,O,X,X,X,X
JITOLSZ,X,O,X,X,O,X,X,O,X,X
JITOLZS,X,O,X,X,X,O,X,O,X,X
JITOSLZ,X,O,X,X,O,X,X,O,X,X
JITOSZL,X,O,X,X,O,X,X,X,X,X
JITOZLS,X,O,O,X,X,O,X,X,X,X
JITOZSL,X,O,O,X,X,O,X,X,X,X
JILTSZO,X,O,X,X,O,X,X,X,O,X
JILTSOZ,X,O,X,X,O,X,X,X,O,X
JILTZSO,X,O,X,X,X,O,X,X,O,X
JILTZOS,X,O,X,X,X,O,X,X,O,X
JILTOSZ,X,O,X,X,O,X,X,X,O,X
JILTOZS,X,O,X,X,X,O,X,X,O,X
JILSTZO,O,X,X,X,X,X,X,X,O,X
JILSTOZ,O,X,X,X,O,X,X,X,O,X
