sequence,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFOgB8gB?fiB6iBTjBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFibBGdB?TeB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhFOgB8gB?zcBSjB3iBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Je5/IvhF2gBSiB?TeB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8Jez7IvhFfiBxdB?ukBCjBUgBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeR7IvhFzcBGeB?qkB3iB0lBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeSCJvhFTeBRgB?ukB3gBUiBlqB,v115@zgA8IeA8IeA8CeB8BeC8DeH8AeF8JeC7IvhFzcBGeB?VlB3iBRqB8qB
LIOTSJZ,O,O,X,O,O,X,O,X
LIOTSZJ,O,O,O,X,O,X,O,X
LIOTZJS,O,O,O,O,X,X,O,X
LIOTZSJ,O,O,O,X,X,X,O,X
LIOJTSZ,X,X,X,O,X,O,O,X
LIOJTZS,X,X,O,O,X,O,O,X
LIOJSTZ,X,X,X,O,O,O,O,X
LIOJSZT,X,X,X,O,O,O,O,X
LIOJZTS,X,X,O,O,X,O,O,X
LIOJZST,X,X,O,O,X,O,O,X
LIOSTJZ,O,X,X,O,O,O,O,X
LIOSTZJ,O,O,O,X,O,X,O,X
LIOSJTZ,O,X,X,O,O,O,O,X
LIOSJZT,O,O,X,O,O,O,O,X
LIOSZTJ,O,O,X,X,O,X,O,X
LIOSZJT,O,O,O,X,O,O,O,X
LIOZTJS,X,O,O,O,X,O,O,X
LIOZTSJ,X,O,O,X,X,X,O,X
LIOZJTS,X,O,O,O,X,O,O,X
LIOZJST,O,O,O,O,X,O,O,X
LIOZSTJ,O,O,X,X,X,X,O,X
LIOZSJT,O,O,O,X,X,O,O,X
LJTISZO,X,X,X,X,O,X,X,X
LJTISOZ,X,X,X,O,O,O,X,X
LJTIZSO,X,X,O,X,X,X,X,X
LJTIZOS,X,X,O,O,X,X,X,X
LJTIOSZ,X,X,X,O,O,O,O,X
LJTIOZS,X,X,O,O,X,O,O,X
LJTSIZO,X,X,X,X,O,X,X,X
LJTSIOZ,X,X,X,O,O,O,X,X
LJTSZIO,X,X,X,X,O,O,X,X
LJTSZOI,X,X,X,X,O,O,X,X
LJTSOIZ,X,X,X,O,O,O,X,X
LJTSOZI,X,X,X,X,O,O,X,X
LJTZISO,X,X,O,X,X,O,X,X
LJTZIOS,X,X,O,O,X,O,X,X
LJTZSIO,X,X,O,X,O,O,X,X
LJTZSOI,X,X,O,X,O,O,X,X
LJTZOIS,X,X,O,O,X,O,X,X
LJTZOSI,X,X,O,X,O,X,X,X
LJTOISZ,X,X,X,O,O,O,O,X
LJTOIZS,X,X,O,O,X,O,O,X
LJTOSIZ,X,X,X,O,O,X,X,X
LJTOSZI,X,X,X,X,O,X,X,X
LJTOZIS,X,X,O,O,X,O,X,X
LJTOZSI,X,X,O,X,O,X,X,X
LJITSZO,X,X,X,X,X,X,X,O
LJITSOZ,X,X,X,O,X,O,X,O
LJITZSO,X,X,O,X,X,X,X,X
LJITZOS,X,X,O,O,X,X,X,X
LJITOSZ,X,X,X,O,X,O,X,X
LJITOZS,X,X,O,O,X,O,X,X
LJISTZO,X,X,X,X,X,X,X,O
LJISTOZ,X,X,X,X,O,O,X,O
LJISZTO,X,X,X,X,X,O,X,X
LJISZOT,X,X,X,X,O,O,X,X
LJISOTZ,X,X,X,O,O,O,X,O
LJISOZT,X,X,X,O,O,O,X,X
LJIZTSO,X,X,X,X,X,O,X,X
LJIZTOS,X,X,O,X,X,O,X,X
LJIZSTO,X,X,X,X,X,O,X,X
LJIZSOT,X,X,O,X,X,O,X,X
LJIZOTS,X,X,O,O,X,O,X,X
LJIZOST,X,X,O,O,X,O,X,X
LJIOTSZ,X,X,X,O,X,O,O,X
LJIOTZS,X,X,O,O,X,O,O,X
LJIOSTZ,X,X,X,O,O,O,O,X
LJIOSZT,X,X,X,O,O,O,O,X
LJIOZTS,X,X,O,O,X,O,O,X
LJIOZST,X,X,O,O,X,O,O,X
LJSTIZO,X,X,X,X,O,X,X,X
LJSTIOZ,X,X,X,X,O,O,X,X
LJSTZIO,X,X,X,X,O,O,X,X
LJSTZOI,X,X,X,X,O,O,X,X
LJSTOIZ,X,X,X,X,O,O,X,X
LJSTOZI,X,X,X,X,O,O,X,X
LJSITZO,X,X,X,X,O,X,X,O
LJSITOZ,X,X,X,X,O,O,X,O
LJSIZTO,X,X,X,X,X,O,X,X
LJSIZOT,X,X,X,X,O,O,X,X
LJSIOTZ,X,X,X,O,O,O,X,O
LJSIOZT,X,X,X,O,O,O,X,X
LJSZTIO,X,X,X,X,X,O,X,X
LJSZTOI,X,X,X,X,X,O,X,X
LJSZITO,X,X,X,X,X,O,X,X
LJSZIOT,X,X,X,X,O,O,X,X
LJSZOTI,X,X,X,X,O,O,X,X
LJSZOIT,X,X,X,X,O,O,X,X
LJSOTIZ,X,X,X,X,O,O,X,X
LJSOTZI,X,X,X,X,O,O,X,X
LJSOITZ,X,X,X,O,O,O,X,O
LJSOIZT,X,X,X,O,O,O,X,X
LJSOZTI,X,X,X,X,O,O,X,X
LJSOZIT,X,X,X,X,O,O,X,X
LJZTISO,X,X,O,X,X,O,X,X
LJZTIOS,X,X,O,X,X,O,X,X
LJZTSIO,X,X,O,X,X,O,X,X
LJZTSOI,X,X,O,X,X,O,X,X
LJZTOIS,X,X,O,X,X,O,X,X
LJZTOSI,X,X,O,X,X,X,X,X
LJZITSO,X,X,X,X,X,O,X,X
LJZITOS,X,X,O,X,X,O,X,X
LJZISTO,X,X,X,X,X,O,X,X
LJZISOT,X,X,O,X,X,O,X,X
LJZIOTS,X,X,O,O,X,O,X,X
LJZIOST,X,X,O,O,X,O,X,X
LJZSTIO,X,X,X,X,X,O,X,X
LJZSTOI,X,X,X,X,X,O,X,X
LJZSITO,X,X,X,X,X,O,X,X
LJZSIOT,X,X,O,X,O,O,X,X
LJZSOTI,X,X,X,X,O,O,X,X
LJZSOIT,X,X,O,X,O,O,X,X
LJZOTIS,X,X,O,X,X,O,X,X
LJZOTSI,X,X,O,X,X,X,X,X
LJZOITS,X,X,O,O,X,O,X,X
LJZOIST,X,X,O,O,X,O,X,X
LJZOSTI,X,X,X,X,O,O,X,X
LJZOSIT,X,X,O,X,O,O,X,X
LJOTISZ,X,X,X,O,O,O,O,X
LJOTIZS,X,X,O,O,X,O,O,X
LJOTSIZ,X,X,X,O,O,X,X,X
LJOTSZI,X,X,X,X,O,X,X,X
LJOTZIS,X,X,O,O,X,O,X,X
LJOTZSI,X,X,O,X,O,X,X,X
LJOITSZ,X,X,X,O,X,O,O,X
LJOITZS,X,X,O,O,X,O,O,X
LJOISTZ,X,X,X,O,O,O,O,X
LJOISZT,X,X,X,O,O,O,O,X
LJOIZTS,X,X,O,O,X,O,O,X
LJOIZST,X,X,O,O,X,O,O,X
LJOSTIZ,X,X,X,X,O,O,X,X
LJOSTZI,X,X,X,X,O,O,X,X
LJOSITZ,X,X,X,O,O,O,X,X
LJOSIZT,X,X,X,O,O,O,X,X
LJOSZTI,X,X,X,X,O,O,X,X
LJOSZIT,X,X,X,X,O,O,X,X
LJOZTIS,X,X,O,X,X,O,X,X
LJOZTSI,X,X,O,X,X,X,X,X
LJOZITS,X,X,O,O,X,O,X,X
LJOZIST,X,X,O,O,X,O,X,X
LJOZSTI,X,X,X,X,O,O,X,X
LJOZSIT,X,X,O,X,O,O,X,X
LSTIJZO,O,X,X,X,O,X,X,X
LSTIJOZ,O,X,X,O,O,O,X,X
LSTIZJO,O,O,O,X,O,X,X,X
LSTIZOJ,O,O,O,X,O,X,X,X
LSTIOJZ,O,X,X,O,O,O,O,X
LSTIOZJ,O,O,O,X,O,X,O,X
LSTJIZO,O,X,X,X,O,X,X,X
LSTJIOZ,O,X,X,O,O,O,X,X
LSTJZIO,O,X,X,X,O,O,X,X
LSTJZOI,O,X,X,X,O,O,X,X
LSTJOIZ,O,X,X,O,O,O,X,X
LSTJOZI,O,X,X,X,O,O,X,X
LSTZIJO,O,O,O,X,O,O,X,X
LSTZIOJ,O,O,O,X,O,O,X,X
LSTZJIO,O,O,O,X,O,O,X,X
LSTZJOI,O,O,O,X,O,O,X,X
LSTZOIJ,O,O,O,X,O,O,X,X
LSTZOJI,O,O,O,X,O,O,X,X
LSTOIJZ,O,X,X,O,O,O,O,X
LSTOIZJ,O,O,O,X,O,X,O,X
LSTOJIZ,O,X,X,O,O,O,X,X
LSTOJZI,O,X,X,X,O,O,X,X
LSTOZIJ,O,O,O,X,O,O,X,X
LSTOZJI,O,O,O,X,O,O,X,X
LSITJZO,O,X,X,X,O,X,X,O
LSITJOZ,O,X,X,O,O,O,X,O
LSITZJO,O,O,O,X,O,X,X,O
LSITZOJ,O,O,O,X,O,X,X,O
LSITOJZ,O,X,X,O,O,O,X,O
LSITOZJ,O,O,O,X,O,X,X,O
LSIJTZO,O,X,X,X,O,X,X,O
LSIJTOZ,O,X,X,X,O,O,X,O
LSIJZTO,O,O,X,X,X,O,X,X
LSIJZOT,O,O,X,X,O,O,X,X
LSIJOTZ,O,X,X,O,O,O,X,O
LSIJOZT,O,O,X,O,O,O,X,X
LSIZTJO,O,O,X,X,O,O,X,X
LSIZTOJ,O,O,X,X,O,O,X,X
LSIZJTO,O,O,X,X,X,O,X,X
LSIZJOT,O,O,O,X,O,O,X,X
LSIZOTJ,O,O,X,X,O,O,X,X
LSIZOJT,O,O,O,X,O,O,X,X
LSIOTJZ,O,X,X,O,O,O,O,O
LSIOTZJ,O,O,O,X,O,X,O,O
LSIOJTZ,O,X,X,O,O,O,O,O
LSIOJZT,O,O,X,O,O,O,O,X
LSIOZTJ,O,O,X,X,O,O,O,X
LSIOZJT,O,O,O,X,O,O,O,X
LSJTIZO,O,X,X,X,O,X,X,X
LSJTIOZ,O,X,X,X,O,O,X,X
LSJTZIO,O,X,X,X,O,O,X,X
LSJTZOI,O,X,X,X,O,O,X,X
LSJTOIZ,O,X,X,X,O,O,X,X
LSJTOZI,O,X,X,X,O,O,X,X
LSJITZO,O,X,X,X,O,X,X,O
LSJITOZ,O,X,X,X,O,O,X,O
LSJIZTO,O,O,X,X,X,O,X,X
LSJIZOT,O,O,X,X,O,O,X,X
LSJIOTZ,O,X,X,O,O,O,X,O
LSJIOZT,O,O,X,O,O,O,X,X
LSJZTIO,O,O,X,X,X,O,X,X
LSJZTOI,O,O,X,X,X,O,X,X
LSJZITO,O,O,X,X,X,O,X,X
LSJZIOT,O,O,X,X,O,O,X,X
LSJZOTI,O,O,X,X,O,O,X,X
LSJZOIT,O,O,X,X,O,O,X,X
LSJOTIZ,O,X,X,X,O,O,X,X
LSJOTZI,O,X,X,X,O,O,X,X
LSJOITZ,O,X,X,O,O,O,X,O
LSJOIZT,O,O,X,O,O,O,X,X
LSJOZTI,O,O,X,X,O,O,X,X
LSJOZIT,O,O,X,X,O,O,X,X
LSZTIJO,O,O,O,X,O,O,X,X
LSZTIOJ,O,O,O,X,O,O,X,X
LSZTJIO,O,O,O,X,O,O,X,X
LSZTJOI,O,O,O,X,O,O,X,X
LSZTOIJ,O,O,O,X,O,O,X,X
LSZTOJI,O,O,O,X,O,O,X,X
LSZITJO,O,O,X,X,O,O,X,X
LSZITOJ,O,O,X,X,O,O,X,X
LSZIJTO,O,O,X,X,X,O,X,X
LSZIJOT,O,O,O,X,O,O,X,X
LSZIOTJ,O,O,X,X,O,O,X,X
LSZIOJT,O,O,O,X,O,O,X,X
LSZJTIO,O,O,X,X,X,O,X,X
LSZJTOI,O,O,X,X,X,O,X,X
LSZJITO,O,O,X,X,X,O,X,X
LSZJIOT,O,O,O,X,O,O,X,X
LSZJOTI,O,O,X,X,O,O,X,X
LSZJOIT,O,O,O,X,O,O,X,X
LSZOTIJ,O,O,O,X,O,O,X,X
LSZOTJI,O,O,O,X,O,O,X,X
LSZOITJ,O,O,X,X,O,O,X,X
LSZOIJT,O,O,O,X,O,O,X,X
LSZOJTI,O,O,X,X,O,O,X,X
LSZOJIT,O,O,O,X,O,O,X,X
LSOTIJZ,O,X,X,O,O,O,O,X
LSOTIZJ,O,O,O,X,O,X,O,X
LSOTJIZ,O,X,X,O,O,O,X,X
LSOTJZI,O,X,X,X,O,O,X,X
LSOTZIJ,O,O,O,X,O,O,X,X
LSOTZJI,O,O,O,X,O,O,X,X
LSOITJZ,O,X,X,O,O,O,O,O
LSOITZJ,O,O,O,X,O,X,O,O
LSOIJTZ,O,X,X,O,O,O,O,O
LSOIJZT,O,O,X,O,O,O,O,X
LSOIZTJ,O,O,X,X,O,O,O,X
LSOIZJT,O,O,O,X,O,O,O,X
LSOJTIZ,O,X,X,X,O,O,X,X
LSOJTZI,O,X,X,X,O,O,X,X
LSOJITZ,O,X,X,O,O,O,X,O
LSOJIZT,O,O,X,O,O,O,X,X
LSOJZTI,O,O,X,X,O,O,X,X
LSOJZIT,O,O,X,X,O,O,X,X
LSOZTIJ,O,O,O,X,O,O,X,X
LSOZTJI,O,O,O,X,O,O,X,X
LSOZITJ,O,O,X,X,O,O,X,X
LSOZIJT,O,O,O,X,O,O,X,X
LSOZJTI,O,O,X,X,O,O,X,X
LSOZJIT,O,O,O,X,O,O,X,X
LZTIJSO,O,O,O,X,X,O,X,X
LZTIJOS,O,O,O,O,X,O,X,X
LZTISJO,O,O,O,X,X,O,X,X
LZTISOJ,O,O,O,X,X,O,X,X
LZTIOJS,O,O,O,O,X,O,O,X
LZTIOSJ,O,O,O,X,X,X,O,X
LZTJISO,O,O,O,X,X,O,X,X
LZTJIOS,O,O,O,O,X,O,X,X
LZTJSIO,O,O,O,X,O,O,X,X
LZTJSOI,O,O,O,X,O,O,X,X
LZTJOIS,O,O,O,O,X,O,X,X
LZTJOSI,O,O,O,X,O,X,X,X
LZTSIJO,O,O,O,X,O,O,X,X
LZTSIOJ,O,O,O,X,O,O,X,X
LZTSJIO,O,O,O,X,O,O,X,X
LZTSJOI,O,O,O,X,O,O,X,X
LZTSOIJ,O,O,O,X,O,O,X,X
LZTSOJI,O,O,O,X,O,O,X,X
LZTOIJS,O,O,O,O,X,O,O,X
LZTOISJ,O,O,O,X,X,X,O,X
LZTOJIS,O,O,O,O,X,O,X,X
LZTOJSI,O,O,O,X,O,X,X,X
LZTOSIJ,O,O,O,X,O,X,X,X
LZTOSJI,O,O,O,X,O,X,X,X
LZITJSO,X,O,O,X,X,O,X,X
LZITJOS,X,O,O,O,X,O,X,X
LZITSJO,X,O,O,X,X,O,X,X
LZITSOJ,X,O,O,X,X,O,X,X
LZITOJS,X,O,O,O,X,O,X,X
LZITOSJ,X,O,O,X,X,X,X,X
LZIJTSO,X,O,X,X,X,O,X,X
LZIJTOS,X,O,O,X,X,O,X,X
LZIJSTO,O,O,X,X,X,O,X,X
LZIJSOT,O,O,O,X,X,O,X,X
LZIJOTS,X,O,O,O,X,O,X,X
LZIJOST,O,O,O,O,X,O,X,X
LZISTJO,O,O,X,X,X,O,X,X
LZISTOJ,O,O,X,X,X,O,X,X
LZISJTO,O,O,X,X,X,O,X,X
LZISJOT,O,O,O,X,X,O,X,X
LZISOTJ,O,O,X,X,X,O,X,X
LZISOJT,O,O,O,X,X,O,X,X
LZIOTJS,X,O,O,O,X,O,O,X
LZIOTSJ,X,O,O,X,X,X,O,X
LZIOJTS,X,O,O,O,X,O,O,X
LZIOJST,O,O,O,O,X,O,O,X
LZIOSTJ,O,O,X,X,X,O,O,X
LZIOSJT,O,O,O,X,X,O,O,X
LZJTISO,X,O,O,X,X,O,X,X
LZJTIOS,X,O,O,X,X,O,X,X
LZJTSIO,X,O,O,X,X,O,X,X
LZJTSOI,X,O,O,X,X,O,X,X
LZJTOIS,X,O,O,X,X,O,X,X
LZJTOSI,X,O,O,X,X,X,X,X
LZJITSO,X,O,X,X,X,O,X,X
LZJITOS,X,O,O,X,X,O,X,X
LZJISTO,O,O,X,X,X,O,X,X
LZJISOT,O,O,O,X,X,O,X,X
LZJIOTS,X,O,O,O,X,O,X,X
LZJIOST,O,O,O,O,X,O,X,X
LZJSTIO,O,O,X,X,X,O,X,X
LZJSTOI,O,O,X,X,X,O,X,X
LZJSITO,O,O,X,X,X,O,X,X
LZJSIOT,O,O,O,X,O,O,X,X
LZJSOTI,O,O,X,X,O,O,X,X
LZJSOIT,O,O,O,X,O,O,X,X
LZJOTIS,X,O,O,X,X,O,X,X
LZJOTSI,X,O,O,X,X,X,X,X
LZJOITS,X,O,O,O,X,O,X,X
LZJOIST,O,O,O,O,X,O,X,X
LZJOSTI,O,O,X,X,O,O,X,X
LZJOSIT,O,O,O,X,O,O,X,X
LZSTIJO,O,O,O,X,O,O,X,X
LZSTIOJ,O,O,O,X,O,O,X,X
LZSTJIO,O,O,O,X,O,O,X,X
LZSTJOI,O,O,O,X,O,O,X,X
LZSTOIJ,O,O,O,X,O,O,X,X
LZSTOJI,O,O,O,X,O,O,X,X
LZSITJO,O,O,X,X,O,O,X,X
LZSITOJ,O,O,X,X,O,O,X,X
LZSIJTO,O,O,X,X,X,O,X,X
LZSIJOT,O,O,O,X,O,O,X,X
LZSIOTJ,O,O,X,X,O,O,X,X
LZSIOJT,O,O,O,X,O,O,X,X
LZSJTIO,O,O,X,X,X,O,X,X
LZSJTOI,O,O,X,X,X,O,X,X
LZSJITO,O,O,X,X,X,O,X,X
LZSJIOT,O,O,O,X,O,O,X,X
LZSJOTI,O,O,X,X,O,O,X,X
LZSJOIT,O,O,O,X,O,O,X,X
LZSOTIJ,O,O,O,X,O,O,X,X
LZSOTJI,O,O,O,X,O,O,X,X
LZSOITJ,O,O,X,X,O,O,X,X
LZSOIJT,O,O,O,X,O,O,X,X
LZSOJTI,O,O,X,X,O,O,X,X
LZSOJIT,O,O,O,X,O,O,X,X
LZOTIJS,O,O,O,O,X,O,O,X
LZOTISJ,O,O,O,X,X,X,O,X
LZOTJIS,O,O,O,O,X,O,X,X
LZOTJSI,O,O,O,X,O,X,X,X
LZOTSIJ,O,O,O,X,O,X,X,X
LZOTSJI,O,O,O,X,O,X,X,X
LZOITJS,X,O,O,O,X,O,O,X
LZOITSJ,X,O,O,X,X,X,O,X
LZOIJTS,X,O,O,O,X,O,O,X
LZOIJST,O,O,O,O,X,O,O,X
LZOISTJ,O,O,X,X,X,O,O,X
LZOISJT,O,O,O,X,X,O,O,X
LZOJTIS,X,O,O,X,X,O,X,X
LZOJTSI,X,O,O,X,X,X,X,X
LZOJITS,X,O,O,O,X,O,X,X
LZOJIST,O,O,O,O,X,O,X,X
LZOJSTI,O,O,X,X,O,O,X,X
LZOJSIT,O,O,O,X,O,O,X,X
LZOSTIJ,O,O,O,X,O,O,X,X
LZOSTJI,O,O,O,X,O,O,X,X
LZOSITJ,O,O,X,X,O,O,X,X
LZOSIJT,O,O,O,X,O,O,X,X
LZOSJTI,O,O,X,X,O,O,X,X
LZOSJIT,O,O,O,X,O,O,X,X
LOTIJSZ,X,X,X,O,O,O,O,X
LOTIJZS,X,X,O,O,X,O,O,X
LOTISJZ,O,O,X,O,O,X,O,X
LOTISZJ,O,O,O,X,O,X,O,X
LOTIZJS,O,O,O,O,X,X,O,X
LOTIZSJ,O,O,O,X,X,X,O,X
LOTJISZ,X,X,X,O,O,O,O,X
LOTJIZS,X,X,O,O,X,O,O,X
LOTJSIZ,X,X,X,O,O,X,X,X
LOTJSZI,X,X,X,X,O,X,X,X
LOTJZIS,X,X,O,O,X,O,X,X
LOTJZSI,X,X,O,X,O,X,X,X
LOTSIJZ,O,O,X,O,O,X,O,X
LOTSIZJ,O,O,O,X,O,X,O,X
LOTSJIZ,O,O,X,O,O,X,X,X
LOTSJZI,O,O,X,X,O,X,X,X
LOTSZIJ,O,O,O,X,O,X,X,X
LOTSZJI,O,O,O,X,O,X,X,X
LOTZIJS,O,O,O,O,X,O,O,X
LOTZISJ,O,O,O,X,X,X,O,X
LOTZJIS,O,O,O,O,X,O,X,X
LOTZJSI,O,O,O,X,O,X,X,X
LOTZSIJ,O,O,O,X,O,X,X,X
LOTZSJI,O,O,O,X,O,X,X,X
LOITJSZ,X,X,X,O,O,O,O,X
LOITJZS,X,X,O,O,X,O,O,X
LOITSJZ,O,O,X,O,O,X,O,X
LOITSZJ,O,O,O,X,O,X,O,X
LOITZJS,O,O,O,O,X,X,O,X
LOITZSJ,O,O,O,X,X,X,O,X
LOIJTSZ,X,X,X,O,X,O,O,X
LOIJTZS,X,X,O,O,X,O,O,X
LOIJSTZ,X,X,X,O,O,O,O,X
LOIJSZT,X,X,X,O,O,O,O,X
LOIJZTS,X,X,O,O,X,O,O,X
LOIJZST,X,X,O,O,X,O,O,X
LOISTJZ,O,X,X,O,O,O,O,X
LOISTZJ,O,O,O,X,O,X,O,X
LOISJTZ,O,X,X,O,O,O,O,X
LOISJZT,O,O,X,O,O,O,O,X
LOISZTJ,O,O,X,X,O,X,O,X
LOISZJT,O,O,O,X,O,O,O,X
LOIZTJS,X,O,O,O,X,O,O,X
LOIZTSJ,X,O,O,X,X,X,O,X
LOIZJTS,X,O,O,O,X,O,O,X
LOIZJST,O,O,O,O,X,O,O,X
LOIZSTJ,O,O,X,X,X,X,O,X
LOIZSJT,O,O,O,X,X,O,O,X
LOJTISZ,X,X,X,O,O,O,O,X
LOJTIZS,X,X,O,O,X,O,O,X
LOJTSIZ,X,X,X,O,O,X,X,X
LOJTSZI,X,X,X,X,O,X,X,X
LOJTZIS,X,X,O,O,X,O,X,X
LOJTZSI,X,X,O,X,O,X,X,X
LOJITSZ,X,X,X,O,X,O,O,X
LOJITZS,X,X,O,O,X,O,O,X
LOJISTZ,X,X,X,O,O,O,O,X
LOJISZT,X,X,X,O,O,O,O,X
LOJIZTS,X,X,O,O,X,O,O,X
LOJIZST,X,X,O,O,X,O,O,X
LOJSTIZ,X,X,X,X,O,O,X,X
LOJSTZI,X,X,X,X,O,O,X,X
LOJSITZ,X,X,X,O,O,O,X,X
LOJSIZT,X,X,X,O,O,O,X,X
LOJSZTI,X,X,X,X,O,O,X,X
LOJSZIT,X,X,X,X,O,O,X,X
LOJZTIS,X,X,O,X,X,O,X,X
LOJZTSI,X,X,O,X,X,X,X,X
LOJZITS,X,X,O,O,X,O,X,X
LOJZIST,X,X,O,O,X,O,X,X
LOJZSTI,X,X,X,X,O,O,X,X
LOJZSIT,X,X,O,X,O,O,X,X
LOSTIJZ,O,X,X,O,O,O,O,X
LOSTIZJ,O,O,O,X,O,X,O,X
LOSTJIZ,O,X,X,O,O,O,X,X
LOSTJZI,O,X,X,X,O,O,X,X
LOSTZIJ,O,O,O,X,O,O,X,X
LOSTZJI,O,O,O,X,O,O,X,X
LOSITJZ,O,X,X,O,O,O,O,X
LOSITZJ,O,O,O,X,O,X,O,X
LOSIJTZ,O,X,X,O,O,O,O,X
LOSIJZT,O,O,X,O,O,O,O,X
LOSIZTJ,O,O,X,X,O,O,O,X
LOSIZJT,O,O,O,X,O,O,O,X
LOSJTIZ,O,X,X,X,O,O,X,X
LOSJTZI,O,X,X,X,O,O,X,X
LOSJITZ,O,X,X,O,O,O,X,X
LOSJIZT,O,O,X,O,O,O,X,X
LOSJZTI,O,O,X,X,O,O,X,X
LOSJZIT,O,O,X,X,O,O,X,X
LOSZTIJ,O,O,O,X,O,O,X,X
LOSZTJI,O,O,O,X,O,O,X,X
LOSZITJ,O,O,X,X,O,O,X,X
LOSZIJT,O,O,O,X,O,O,X,X
LOSZJTI,O,O,X,X,O,O,X,X
LOSZJIT,O,O,O,X,O,O,X,X
LOZTIJS,O,O,O,O,X,O,O,X
LOZTISJ,O,O,O,X,X,X,O,X
LOZTJIS,O,O,O,O,X,O,X,X
LOZTJSI,O,O,O,X,O,X,X,X
LOZTSIJ,O,O,O,X,O,X,X,X
LOZTSJI,O,O,O,X,O,X,X,X
LOZITJS,X,O,O,O,X,O,O,X
LOZITSJ,X,O,O,X,X,X,O,X
LOZIJTS,X,O,O,O,X,O,O,X
LOZIJST,O,O,O,O,X,O,O,X
LOZISTJ,O,O,X,X,X,O,O,X
LOZISJT,O,O,O,X,X,O,O,X
LOZJTIS,X,O,O,X,X,O,X,X
LOZJTSI,X,O,O,X,X,X,X,X
LOZJITS,X,O,O,O,X,O,X,X
LOZJIST,O,O,O,O,X,O,X,X
LOZJSTI,O,O,X,X,O,O,X,X
LOZJSIT,O,O,O,X,O,O,X,X
LOZSTIJ,O,O,O,X,O,O,X,X
LOZSTJI,O,O,O,X,O,O,X,X
LOZSITJ,O,O,X,X,O,O,X,X
LOZSIJT,O,O,O,X,O,O,X,X
LOZSJTI,O,O,X,X,O,O,X,X
LOZSJIT,O,O,O,X,O,O,X,X
JTILSZO,X,X,X,X,O,X,X,O
JTILSOZ,X,X,X,O,O,X,X,O
JTILZSO,X,X,O,X,X,X,X,X
JTILZOS,X,X,O,O,X,X,X,X
JTILOSZ,X,X,X,O,O,X,O,X
JTILOZS,X,X,O,O,X,X,O,X
JTISLZO,O,O,X,X,O,X,X,O
JTISLOZ,O,O,X,O,O,X,X,O
JTISZLO,O,O,X,X,X,X,X,O
JTISZOL,O,O,X,X,X,X,X,O
JTISOLZ,O,O,X,O,O,X,X,O
JTISOZL,O,O,X,X,X,X,X,O
JTIZLSO,O,O,O,X,X,X,X,X
JTIZLOS,O,O,O,O,X,X,X,X
JTIZSLO,O,O,O,X,X,X,X,O
JTIZSOL,O,O,O,X,X,X,X,O
JTIZOLS,O,O,O,O,X,X,X,X
JTIZOSL,O,O,O,X,X,X,X,X
JTIOLSZ,X,X,X,O,O,X,O,X
JTIOLZS,X,X,O,O,X,X,O,X
JTIOSLZ,O,O,X,O,O,X,X,O
JTIOSZL,O,O,X,X,X,X,X,O
JTIOZLS,O,O,O,O,X,X,X,X
JTIOZSL,O,O,O,X,X,X,X,X
JTLISZO,X,X,X,X,O,X,X,X
JTLISOZ,X,X,X,O,O,O,X,X
JTLIZSO,X,X,O,X,X,X,X,X
JTLIZOS,X,X,O,O,X,X,X,X
JTLIOSZ,X,X,X,O,O,O,O,X
JTLIOZS,X,X,O,O,X,O,O,X
JTLSIZO,X,X,X,X,O,X,X,X
JTLSIOZ,X,X,X,O,O,O,X,X
JTLSZIO,X,X,X,X,O,O,X,X
JTLSZOI,X,X,X,X,O,O,X,X
JTLSOIZ,X,X,X,O,O,O,X,X
JTLSOZI,X,X,X,X,O,O,X,X
JTLZISO,X,X,O,X,X,O,X,X
JTLZIOS,X,X,O,O,X,O,X,X
JTLZSIO,X,X,O,X,O,O,X,X
JTLZSOI,X,X,O,X,O,O,X,X
JTLZOIS,X,X,O,O,X,O,X,X
JTLZOSI,X,X,O,X,O,X,X,X
JTLOISZ,X,X,X,O,O,O,O,X
JTLOIZS,X,X,O,O,X,O,O,X
JTLOSIZ,X,X,X,O,O,X,X,X
JTLOSZI,X,X,X,X,O,X,X,X
JTLOZIS,X,X,O,O,X,O,X,X
JTLOZSI,X,X,O,X,O,X,X,X
JTSILZO,O,O,X,X,O,X,X,O
JTSILOZ,O,O,X,O,O,X,X,O
JTSIZLO,O,O,X,X,X,X,X,O
JTSIZOL,O,O,X,X,X,X,X,O
JTSIOLZ,O,O,X,O,O,X,X,O
JTSIOZL,O,O,X,X,X,X,X,O
JTSLIZO,O,O,X,X,O,X,X,X
JTSLIOZ,O,O,X,O,O,O,X,X
JTSLZIO,O,O,X,X,O,O,X,X
JTSLZOI,O,O,X,X,O,O,X,X
JTSLOIZ,O,O,X,O,O,O,X,X
JTSLOZI,O,O,X,X,O,O,X,X
JTSZILO,O,O,X,X,X,X,X,X
