sequence,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je8/IvhFugBzcBZkBN?mB/qB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je//IvhFRbBzcBelBU?hBKpBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFzaBCcB8hBd?mB+pB/qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeO/IvhFxbB8hBCgBd?mB/qBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez6IvhFtgBmcBcmB6?pB/qBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jem8IvhFxfBThBXgBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT7IvhFOhB8hBZkBf?lBtqB6pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcBXgBThBK?pBtqB0pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jex6IvhFmcB0fBThBK?pBtqBXqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je+/IvhFTbBicB3hB8?pBtqBZkB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFibBRhB3hBO?pB8pBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBzcBigBU?hBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeX8IvhF8hBifBRlBm?kBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeZ/IvhFufBcgBKhBz?cBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei6IvhF3bBzcBOpBx?lBtpB8qB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFRbBzcBUhBi?kBtqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Je2/IvhFXcB8hBzfBK?pBRqBtqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhF8kBRhB3hBK?pB9qBmqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeT6IvhFxbB8hBXgBd?mBKpBGqB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFxfBNmB/pBU?lBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhF0fBRhB3hB2?pBtqBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei7IvhFTfBRhB3hB8?pBtqBOpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JeK/IvhFzcBUgBNmBx?pBuqB3pB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jez8IvhFUgBNmBxpB/?pBuqBipB,v115@6gC8GeC8FeD8EeE8BeA8AeF8Jei/IvhFRhB0fB3hB9?qBmlBTpB,v115@6gC8GeC8FeD8EeE8BeA8AeF8JefAJvhFzcBUhB6pB9?qBZkBmqB
TLSZOJI,O,O,O,O,O,X,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLSOIJZ,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,O,O,X,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TLSOJIZ,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,O,O,X,O,O,O,O,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,O
TLSOZJI,O,O,X,O,O,X,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLZIJSO,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZIJOS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TLZISJO,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O
TLZISOJ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TLZIOJS,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TLZJISO,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZJIOS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TLZJSIO,X,O,O,X,O,X,O,O,O,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O
TLZJSOI,X,O,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TLZJOIS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TLZJOSI,X,O,X,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TLZSIJO,X,X,O,O,O,X,O,O,O,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O
TLZSIOJ,X,O,X,O,O,X,O,O,O,O,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,O
TLZSJIO,X,O,O,O,O,X,O,O,O,O,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,O
TLZSJOI,X,O,O,O,O,X,O,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLZSOIJ,X,O,X,O,O,X,O,O,O,O,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,O
TLZSOJI,X,O,O,O,O,X,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLZOIJS,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,O
TLZOJIS,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TLZOJSI,X,O,X,O,X,X,O,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TLZOSIJ,X,O,X,O,X,X,O,O,O,O,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,O
TLZOSJI,X,O,X,O,X,X,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLOIJSZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOIJZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOISJZ,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TLOISZJ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X
TLOIZJS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TLOIZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X
TLOJISZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLOJIZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLOJSIZ,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOJSZI,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOJZIS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJZSI,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TLOSIZJ,O,O,X,O,O,X,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X
TLOSJIZ,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,O,X,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O
TLOSZJI,O,O,X,O,O,X,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLOZIJS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TLOZISJ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TLOZJIS,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOZJSI,X,O,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TLOZSIJ,X,O,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O
TLOZSJI,X,O,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TJILSZO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJILSOZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJISLZO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJISLOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
TJISZOL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TJISOLZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TJIZLSO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TJIZSLO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJIZSOL,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TJIZOSL,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TJIOLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
TJIOSLZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TJIOZLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJIOZSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TJLISOZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJLIZSO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TJLIOSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
TJLSIZO,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLSIOZ,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLSZIO,X,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TJLSZOI,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TJLSOIZ,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLSOZI,X,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLZISO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TJLZIOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLZSIO,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O
TJLZSOI,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TJLZOIS,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLZOSI,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TJLOISZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLOSZI,X,O,X,X,X,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLOZIS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJSILZO,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJSILOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJSIZOL,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSLIZO,O,X,O,O,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSLZIO,O,X,O,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSLZOI,O,X,O,O,O,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSLOZI,O,X,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSZILO,O,X,O,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJSZIOL,O,X,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJSZLIO,O,X,O,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJSZLOI,O,X,O,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSZOIL,O,X,O,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TJSZOLI,O,X,O,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSOLIZ,O,X,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,X,O,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSOZLI,O,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZILSO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TJZILOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
TJZISLO,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJZISOL,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOLS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TJZIOSL,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLISO,X,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TJZLIOS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
TJZLSIO,X,O,O,X,O,X,O,O,O,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O
TJZLSOI,X,O,O,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TJZLOIS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X
TJZLOSI,X,O,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TJZSILO,X,X,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJZSIOL,X,X,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLIO,X,X,O,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJZSLOI,X,X,O,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZSOIL,X,X,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOLI,X,X,O,O,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJZOILS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TJZOISL,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOLIS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TJZOLSI,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TJZOSIL,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSLI,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TJOILZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X
TJOISLZ,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOISZL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TJOIZLS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJOIZSL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOLISZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TJOLIZS,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TJOLSIZ,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOLSZI,X,O,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOLZIS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOLZSI,X,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOSILZ,O,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOSIZL,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJOSLIZ,O,X,O,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOSLZI,O,X,O,O,X,X,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOSZIL,O,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJOSZLI,O,X,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOZILS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJOZISL,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOZLIS,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJOZLSI,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOZSIL,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOZSLI,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TSILJZO,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TSILJOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TSILZJO,O,X,X,O,O,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TSILZOJ,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X
TSILOJZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TSILOZJ,O,X,X,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TSIJLZO,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TSIJLOZ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TSIJZLO,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
TSIJZOL,O,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TSIJOLZ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TSIJOZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TSIZLJO,O,X,O,O,O,X,O,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X
TSIZLOJ,O,X,X,O,O,X,O,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X
TSIZJLO,O,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TSIZJOL,O,X,O,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TSIZOLJ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,O,X,X
TSIZOJL,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TSIOLJZ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TSIOLZJ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,O,X
TSIOJLZ,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TSIOJZL,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TSIOZLJ,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TSIOZJL,O,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X
TSLIJZO,O,O,X,O,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TSLIJOZ,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TSLIZJO,O,X,X,O,O,X,O,O,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TSLIZOJ,O,O,X,O,O,X,O,O,X,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,O
TSLIOJZ,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,X,O,X,O,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TSLJIZO,O,O,O,O,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TSLJIOZ,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TSLJZIO,O,O,O,O,O,X,X,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TSLJZOI,O,O,O,O,O,X,X,X,X,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O
