sequence,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfB3?hBlnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFRdBSjBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBGeBRiBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFRdBcjB3fBG?iBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeO/IvhF8fBCdBxiBX?jBlmBTsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhFGeBRiBTfBl?mB3nBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jei6IvhFzcBcjB3fBx?mBFsBusB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfB5nBl?mBfnBisB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Je2/IvhFzcBFjB3fBx?mBCoBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8JeK/IvhFzaBfiBxdBF?jB0mB+sB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF1mBxiBTfBX?jBGnBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jey/IvhF+hBxiBTfB/?nBFjBUsB,v115@2gB8HeB8GeB8EeF8CeH8BeB8Jem6IvhFcjBTfBxmBS?sBfsBlsB
ISJZOLT,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJOTLZ,O,X,X,X,X,X,X,X,O,X,X,X,X
ISJOTZL,X,X,X,X,X,X,X,X,O,X,X,X,X
ISJOLTZ,O,X,O,X,X,O,X,X,X,X,X,X,X
ISJOLZT,O,X,O,X,X,O,X,X,X,X,X,X,X
ISJOZTL,X,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZTLJO,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZTLOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZTJLO,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZTJOL,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZTOLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
ISZTOJL,O,X,X,X,X,X,O,O,X,X,X,X,X
ISZLTJO,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZLTOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZLJTO,O,X,X,O,O,O,O,X,X,X,X,X,X
ISZLJOT,O,X,O,O,O,O,X,X,X,X,X,X,X
ISZLOTJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZLOJT,O,X,O,O,X,X,X,X,X,X,X,X,X
ISZJTLO,O,X,X,X,X,X,O,X,X,X,X,X,X
ISZJTOL,O,X,X,X,X,X,O,X,X,X,X,X,X
ISZJLTO,O,X,X,O,O,O,O,X,X,X,X,X,X
ISZJLOT,O,X,O,O,O,O,X,X,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
ISZOTJL,O,X,X,O,X,X,O,O,X,X,X,X,X
ISZOLTJ,O,X,X,O,X,X,O,X,X,X,X,X,O
ISZOLJT,O,X,X,O,X,X,X,X,X,X,X,X,O
ISZOJTL,O,X,X,O,X,X,X,O,X,X,X,X,X
ISZOJLT,O,X,X,O,X,X,X,X,X,X,X,X,O
ISOTLJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISOTLZJ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISOTJLZ,O,O,X,O,X,X,X,X,O,X,X,X,X
ISOTJZL,O,O,X,O,X,X,X,O,O,X,X,X,X
ISOTZLJ,O,O,X,O,X,X,X,O,X,X,X,X,X
ISOTZJL,O,O,X,O,X,X,X,O,X,X,X,X,X
ISOLTJZ,O,O,O,O,X,X,X,X,X,X,X,X,X
ISOLTZJ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISOLJTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ISOLJZT,O,O,O,O,X,O,X,X,X,X,X,X,X
ISOLZTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOLZJT,O,O,O,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,O,X,X,X,X,X,X,O,X,X,X,X
ISOJTZL,O,O,X,X,X,X,X,O,O,X,X,X,X
ISOJLTZ,O,O,O,X,X,O,X,X,X,X,X,X,X
ISOJLZT,O,O,O,O,X,O,X,X,X,X,X,X,X
ISOJZTL,O,X,X,O,X,X,X,O,X,X,X,X,X
ISOJZLT,O,X,X,O,X,X,X,X,X,X,X,X,O
ISOZTLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
ISOZTJL,O,X,X,O,X,X,O,O,X,X,X,X,X
ISOZLTJ,O,X,X,O,X,X,O,X,X,X,X,X,O
ISOZLJT,O,X,X,O,X,X,X,X,X,X,X,X,O
ISOZJTL,O,X,X,O,X,X,X,O,X,X,X,X,X
ISOZJLT,O,X,X,O,X,X,X,X,X,X,X,X,O
IZTLJSO,O,X,X,X,O,X,X,X,X,X,O,O,X
IZTLJOS,O,X,X,X,O,X,X,X,O,X,O,O,X
IZTLSJO,O,X,X,O,O,X,O,X,X,X,O,X,X
IZTLSOJ,O,X,X,O,X,X,O,X,X,X,O,X,X
IZTLOJS,O,X,X,X,O,X,X,O,O,X,O,X,X
IZTLOSJ,O,X,X,X,X,X,O,O,X,X,O,X,X
IZTJLSO,O,X,X,O,O,X,X,X,X,X,O,O,X
IZTJLOS,O,X,X,X,O,X,X,X,O,X,O,O,X
IZTJSLO,X,X,X,O,O,X,O,X,X,X,X,X,X
IZTJSOL,X,X,X,O,X,X,O,X,O,X,X,X,X
IZTJOLS,X,X,X,X,O,X,X,O,O,X,X,X,X
IZTJOSL,X,X,X,O,X,X,O,O,O,X,X,X,X
IZTSLJO,X,X,X,O,O,X,O,X,X,X,O,X,X
IZTSLOJ,X,X,X,O,X,X,O,X,X,X,O,X,X
IZTSJLO,X,X,X,O,O,X,O,X,X,X,X,X,X
IZTSJOL,X,X,X,O,X,X,O,X,O,X,X,X,X
IZTSOLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
IZTSOJL,X,X,X,X,X,X,O,O,O,X,X,X,X
IZTOLJS,O,X,X,X,O,X,X,O,O,X,O,X,O
IZTOLSJ,O,X,X,X,X,X,O,O,X,X,O,X,O
IZTOJLS,O,X,X,X,O,X,X,O,O,X,X,X,O
IZTOJSL,X,X,X,X,X,X,O,O,O,X,X,X,X
IZTOSLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
IZTOSJL,X,X,X,X,X,X,O,O,O,X,X,X,X
IZLTJSO,O,X,X,X,O,X,X,X,X,X,O,O,X
IZLTJOS,O,X,X,X,X,X,X,X,O,X,O,O,X
IZLTSJO,O,X,X,X,X,X,X,X,X,X,O,X,X
IZLTSOJ,O,X,X,X,X,X,X,X,X,X,O,X,X
IZLTOJS,O,X,X,X,X,X,X,O,O,X,O,X,X
IZLTOSJ,O,X,X,X,X,X,X,O,X,X,O,X,X
IZLJTSO,O,X,X,X,O,X,X,X,X,O,X,O,X
IZLJTOS,O,X,X,X,X,X,X,X,O,O,X,O,X
IZLJSTO,O,X,X,X,O,X,X,X,X,O,X,O,X
IZLJSOT,O,X,X,X,O,X,X,X,X,O,X,O,X
IZLJOTS,O,X,X,X,X,X,X,X,O,O,X,O,X
IZLJOST,O,X,X,X,O,X,X,X,X,O,X,O,X
IZLSTJO,O,X,X,O,X,X,O,X,X,X,X,X,X
IZLSTOJ,O,X,X,O,X,X,O,X,X,O,X,X,X
IZLSJTO,O,X,X,O,O,X,O,X,X,O,X,O,X
IZLSJOT,O,X,X,O,O,X,X,X,X,O,X,O,X
IZLSOTJ,O,X,X,O,X,X,O,X,X,O,X,X,X
IZLSOJT,O,X,X,O,X,X,X,X,X,O,X,X,X
IZLOTJS,O,X,X,X,X,X,X,O,O,X,X,X,O
IZLOTSJ,O,X,X,X,X,X,X,O,X,X,X,X,O
IZLOJTS,O,X,X,X,X,X,X,O,O,O,X,O,O
IZLOJST,O,X,X,X,O,X,X,X,X,O,X,O,O
IZLOSTJ,O,X,X,X,X,X,X,X,X,O,X,X,O
IZLOSJT,O,X,X,X,X,X,X,X,X,O,X,X,O
IZJTLSO,O,X,X,X,O,X,X,X,X,O,X,O,X
IZJTLOS,O,X,X,X,O,X,X,X,O,O,X,O,X
IZJTSLO,X,X,X,X,O,X,X,X,X,O,X,X,X
IZJTSOL,X,X,X,X,X,X,X,X,O,O,X,X,X
IZJTOLS,X,X,X,X,O,X,X,O,O,X,X,X,X
IZJTOSL,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJLTSO,O,X,X,X,O,X,X,X,X,O,X,O,X
IZJLTOS,O,X,X,X,X,X,X,X,O,O,X,O,X
IZJLSTO,O,X,X,X,O,X,X,X,X,O,X,O,X
IZJLSOT,O,X,X,X,O,X,X,X,X,O,X,O,X
IZJLOTS,O,X,X,X,X,X,X,X,O,O,X,O,X
IZJLOST,O,X,X,X,O,X,X,X,X,O,X,O,X
IZJSTLO,O,X,X,X,X,X,O,X,X,O,X,X,X
IZJSTOL,O,X,X,X,X,X,O,X,O,O,X,X,X
IZJSLTO,O,X,X,O,O,X,O,X,X,O,X,O,X
IZJSLOT,O,X,X,O,O,X,X,X,X,O,X,O,X
IZJSOTL,X,X,X,X,X,X,X,X,O,X,X,X,X
IZJSOLT,O,X,X,X,X,X,X,X,X,O,X,X,X
IZJOTLS,X,X,X,X,O,X,X,O,O,X,X,X,O
IZJOTSL,X,X,X,X,O,X,X,O,O,X,X,X,X
IZJOLTS,X,X,X,X,O,X,X,O,O,X,X,O,O
IZJOLST,X,X,X,X,O,X,X,X,X,X,X,O,O
IZJOSTL,X,X,X,X,X,X,X,O,O,X,X,X,X
IZJOSLT,X,X,X,X,O,X,X,X,X,X,X,X,O
IZSTLJO,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSTLOJ,O,X,X,O,X,X,O,X,X,O,X,X,X
IZSTJLO,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSTJOL,O,X,X,O,X,X,O,X,O,X,X,X,X
IZSTOLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X,O,O,O,X,X,X,X
IZSLTJO,O,X,X,O,X,X,O,X,X,X,X,X,X
IZSLTOJ,O,X,X,O,X,X,O,X,X,O,X,X,X
IZSLJTO,O,X,X,O,O,X,O,X,X,O,X,O,X
IZSLJOT,O,X,X,O,O,X,X,X,X,O,X,O,X
IZSLOTJ,O,X,X,O,X,X,O,X,X,O,X,X,X
IZSLOJT,O,X,X,O,X,X,X,X,X,O,X,X,X
IZSJTLO,O,X,X,X,X,X,O,X,X,O,X,X,X
IZSJTOL,O,X,X,X,X,X,O,X,O,O,X,X,X
IZSJLTO,O,X,X,O,O,X,O,X,X,O,X,O,X
IZSJLOT,O,X,X,O,O,X,X,X,X,O,X,O,X
IZSJOTL,O,X,X,X,X,X,X,X,O,X,X,X,X
IZSJOLT,O,X,X,X,X,X,X,X,X,O,X,X,X
IZSOTLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
IZSOTJL,O,X,X,O,X,X,O,O,O,X,X,X,X
IZSOLTJ,O,X,X,O,X,X,O,X,X,O,X,X,O
IZSOLJT,O,X,X,O,X,X,X,X,X,O,X,X,O
IZSOJTL,O,X,X,O,X,X,X,O,O,X,X,X,X
IZSOJLT,O,X,X,O,X,X,X,X,X,X,X,X,O
IZOTLJS,O,X,X,X,O,X,X,O,O,X,X,X,O
IZOTLSJ,O,X,X,O,O,X,X,O,X,X,X,X,O
IZOTJLS,O,X,X,O,O,X,X,O,O,X,X,X,O
IZOTJSL,X,X,X,O,O,X,X,O,O,X,X,X,X
IZOTSLJ,X,X,X,O,O,X,X,O,X,X,X,X,X
IZOTSJL,X,X,X,O,O,X,X,O,O,X,X,X,X
IZOLTJS,O,X,X,X,O,X,X,O,O,X,X,X,O
IZOLTSJ,O,X,X,X,X,X,X,O,X,X,X,X,O
IZOLJTS,O,X,X,X,O,X,X,O,O,X,X,O,O
IZOLJST,O,X,X,X,O,X,X,X,X,X,X,O,O
IZOLSTJ,O,X,X,O,X,X,X,X,X,X,X,X,O
IZOLSJT,O,X,X,O,O,X,X,X,X,X,X,X,O
IZOJTLS,O,X,X,X,O,X,X,O,O,X,X,X,O
IZOJTSL,X,X,X,O,O,X,X,O,O,X,X,X,X
IZOJLTS,O,X,X,X,O,X,X,O,O,X,X,O,O
IZOJLST,O,X,X,O,O,X,X,X,X,X,X,O,O
IZOJSTL,O,X,X,O,X,X,X,O,O,X,X,X,X
IZOJSLT,O,X,X,O,O,X,X,X,X,X,X,X,O
IZOSTLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
IZOSTJL,O,X,X,O,X,X,O,O,O,X,X,X,X
IZOSLTJ,O,X,X,O,X,X,O,X,X,X,X,X,O
IZOSLJT,O,X,X,O,O,X,X,X,X,X,X,X,O
IZOSJTL,O,X,X,O,X,X,X,O,O,X,X,X,X
IZOSJLT,O,X,X,O,O,X,X,X,X,X,X,X,O
IOTLJSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IOTLJZS,O,X,X,X,O,X,X,O,X,X,X,X,X
IOTLSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTLZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
IOTLZSJ,X,X,X,X,O,X,X,O,X,X,X,X,X
IOTJLSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IOTJLZS,O,X,X,X,O,X,X,O,X,X,X,X,X
IOTJSLZ,X,O,X,O,X,X,X,X,O,X,X,X,X
IOTJSZL,X,O,X,O,X,X,X,O,O,X,X,X,X
IOTJZLS,X,X,X,O,O,X,X,O,X,X,X,X,O
IOTJZSL,X,X,X,O,O,X,X,O,O,X,X,X,X
IOTSLJZ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTSJLZ,X,O,X,O,X,X,X,X,O,X,X,X,X
IOTSJZL,X,O,X,O,X,X,X,O,O,X,X,X,X
IOTSZLJ,X,O,X,O,O,X,X,O,X,X,X,X,X
IOTSZJL,X,O,X,O,O,X,X,O,X,X,X,X,X
IOTZLJS,X,X,X,X,O,X,X,O,X,X,X,X,O
IOTZLSJ,X,X,X,O,O,X,X,O,X,X,X,X,O
IOTZJLS,X,X,X,O,O,X,X,O,X,X,X,X,O
IOTZJSL,X,X,X,O,O,X,X,O,O,X,X,X,X
IOTZSLJ,X,X,X,O,O,X,X,O,X,X,X,X,X
IOTZSJL,X,X,X,O,O,X,X,O,X,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
IOLTJZS,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLTSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
IOLTZSJ,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJTSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X,O,X,X,X,O,X
IOLJSTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,O,X,X,X,X,X,X,X,X,X,O,X
IOLJZTS,O,X,X,X,O,X,X,O,X,X,X,O,O
IOLJZST,O,O,X,X,O,X,X,X,X,X,X,O,O
IOLSTJZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,O,X,X,O,X,X,X,X,X,X,X,X
IOLZTJS,O,X,X,X,O,X,X,O,X,X,X,X,O
IOLZTSJ,O,X,X,X,X,X,X,O,X,X,X,X,O
IOLZJTS,O,X,X,X,O,X,X,O,X,X,X,X,O
IOLZJST,O,O,X,X,O,X,X,X,X,X,X,X,O
IOLZSTJ,O,X,X,X,X,X,X,X,X,X,X,X,O
IOLZSJT,O,X,X,X,O,X,X,X,X,X,X,X,O
IOJTLSZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJTLZS,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJTSLZ,X,O,X,X,X,X,X,X,O,X,X,X,X
IOJTSZL,X,O,X,X,X,X,X,O,O,X,X,X,X
IOJTZLS,X,X,X,X,X,X,X,O,X,X,X,X,O
IOJTZSL,X,X,X,X,X,X,X,O,O,X,X,X,X
IOJLTSZ,O,O,X,X,X,X,X,X,O,X,X,X,X
IOJLTZS,O,X,X,X,X,X,X,O,X,X,X,O,X
IOJLSTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,O,X,X,X,X,X,X,X,X,X,O,X
IOJLZTS,O,X,X,X,O,X,X,O,X,X,X,O,O
IOJLZST,O,O,X,X,O,X,X,X,X,X,X,O,O
IOJSTLZ,O,O,X,X,X,X,X,X,O,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X,O,O,X,X,X,X
IOJSLTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,O,X,O,X,X,X,X,X,X,X,X,X
IOJSZTL,O,X,X,O,X,X,X,O,X,X,X,X,X
IOJSZLT,O,X,X,O,X,X,X,X,X,X,X,X,O
IOJZTLS,O,X,X,X,O,X,X,O,X,X,X,X,O
IOJZTSL,X,X,X,O,X,X,X,O,O,X,X,X,X
IOJZLTS,O,X,X,X,O,X,X,O,X,X,X,X,O
IOJZLST,O,X,X,O,O,X,X,X,X,X,X,X,O
IOJZSTL,O,X,X,O,X,X,X,O,X,X,X,X,X
IOJZSLT,O,X,X,O,O,X,X,X,X,X,X,X,O
IOSTLJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,O,X,O,X,X,X,X,O,X,X,X,X
IOSTJZL,O,O,X,O,X,X,X,O,O,X,X,X,X
IOSTZLJ,O,O,X,O,X,X,X,O,X,X,X,X,X
IOSTZJL,O,O,X,O,X,X,X,O,X,X,X,X,X
IOSLTJZ,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
IOSLZJT,O,O,X,O,O,X,X,X,X,X,X,X,X
IOSJTLZ,O,O,X,X,X,X,X,X,O,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X,O,O,X,X,X,X
IOSJLTZ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSJZTL,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSJZLT,O,X,X,O,X,X,X,X,X,X,X,X,O
IOSZTLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
IOSZTJL,O,X,X,O,X,X,O,O,X,X,X,X,X
IOSZLTJ,O,X,X,O,X,X,O,X,X,X,X,X,O
IOSZLJT,O,X,X,O,O,X,X,X,X,X,X,X,O
IOSZJTL,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSZJLT,O,X,X,O,O,X,X,X,X,X,X,X,O
IOZTLJS,O,X,X,X,O,X,X,O,X,X,X,X,O
IOZTLSJ,O,X,X,O,O,X,X,O,X,X,X,X,O
IOZTJLS,O,X,X,O,O,X,X,O,X,X,X,X,O
IOZTJSL,X,X,X,O,O,X,X,O,O,X,X,X,X
IOZTSLJ,X,X,X,O,O,X,X,O,X,X,X,X,X
IOZTSJL,X,X,X,O,O,X,X,O,X,X,X,X,X
IOZLTJS,O,X,X,X,O,X,X,O,X,X,X,X,O
IOZLTSJ,O,X,X,X,X,X,X,O,X,X,X,X,O
IOZLJTS,O,X,X,X,O,X,X,O,X,X,X,X,O
IOZLJST,O,X,X,X,O,X,X,X,X,X,X,X,O
IOZLSTJ,O,X,X,O,X,X,X,X,X,X,X,X,O
IOZLSJT,O,X,X,O,O,X,X,X,X,X,X,X,O
IOZJTLS,O,X,X,X,O,X,X,O,X,X,X,X,O
IOZJTSL,X,X,X,O,O,X,X,O,O,X,X,X,X
IOZJLTS,O,X,X,X,O,X,X,O,X,X,X,X,O
IOZJLST,O,X,X,O,O,X,X,X,X,X,X,X,O
IOZJSTL,O,X,X,O,X,X,X,O,X,X,X,X,X
IOZJSLT,O,X,X,O,O,X,X,X,X,X,X,X,O
IOZSTLJ,O,X,X,O,X,X,O,O,X,X,X,X,X
IOZSTJL,O,X,X,O,X,X,O,O,X,X,X,X,X
IOZSLTJ,O,X,X,O,X,X,O,X,X,X,X,X,O
IOZSLJT,O,X,X,O,O,X,X,X,X,X,X,X,O
IOZSJTL,O,X,X,O,X,X,X,O,X,X,X,X,X
IOZSJLT,O,X,X,O,O,X,X,X,X,X,X,X,O
LTIJSZO,O,O,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
LTIJZSO,O,X,X,X,O,X,X,X,X,O,X,O,X
LTIJZOS,O,X,X,X,O,X,X,X,X,O,X,O,X
LTIJOSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
LTIJOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
LTISJZO,O,X,O,X,X,O,O,X,X,X,X,X,X
LTISJOZ,O,X,O,X,X,O,O,X,X,X,O,X,X
LTISZJO,O,X,O,X,O,O,O,X,X,X,X,X,X
LTISZOJ,O,X,O,X,X,X,O,X,X,X,O,X,X
LTISOJZ,O,X,O,X,X,O,O,X,X,X,O,X,X
LTISOZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
LTIZJSO,O,X,X,X,O,X,X,X,X,X,O,X,X
LTIZJOS,O,X,X,X,O,X,X,X,X,X,O,X,X
LTIZSJO,X,X,X,X,O,X,O,X,X,X,O,X,X
LTIZSOJ,X,X,X,X,X,X,O,X,X,X,O,X,X
LTIZOJS,O,X,X,X,O,X,X,O,X,X,O,X,X
LTIZOSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
LTIOJSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
LTIOJZS,O,X,X,X,X,X,X,O,X,O,X,X,X
LTIOSJZ,O,X,O,X,X,X,O,X,X,X,O,X,X
LTIOSZJ,O,X,O,X,X,X,O,X,X,X,O,X,X
LTIOZJS,O,X,X,X,O,X,X,O,X,X,X,X,X
LTIOZSJ,X,X,X,X,X,X,O,O,X,X,O,X,X
LTJISZO,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,O,X,X,X,X,X,X,X,X,O,X,X
LTJIZSO,O,X,X,X,O,X,X,X,X,O,X,O,X
LTJIZOS,O,X,X,X,O,X,X,X,X,O,X,O,X
LTJIOSZ,O,O,X,X,X,X,X,X,O,X,O,X,X
LTJIOZS,O,X,X,X,X,X,X,X,X,O,X,O,X
LTJSIZO,O,O,O,O,X,O,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,X,X,O,X,X,X,X,X,X,X
LTJSZIO,O,O,O,O,X,X,X,X,X,O,X,X,X
LTJSZOI,X,X,O,O,X,X,X,X,X,O,X,X,X
LTJSOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LTJSOZI,O,X,O,O,X,X,X,X,X,O,X,X,X
LTJZISO,O,X,X,O,O,X,X,X,X,O,O,O,X
LTJZIOS,O,X,X,X,O,X,X,X,X,O,O,O,X
LTJZSIO,O,X,X,O,O,X,X,X,X,O,X,X,X
LTJZSOI,X,X,X,O,X,X,X,X,X,O,X,X,X
LTJZOIS,O,X,X,X,O,X,X,X,X,O,X,X,X
LTJZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJOSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,X,X,X,X,X,X,O,X,X,X
LTJOZIS,O,X,X,X,X,X,X,X,X,O,X,X,X
LTJOZSI,O,X,X,X,X,X,X,X,X,O,X,X,X
LTSIJZO,O,O,O,O,X,O,O,X,X,X,X,X,X
LTSIJOZ,O,O,O,X,X,O,O,X,X,X,O,X,X
LTSIZJO,O,O,O,O,O,O,O,X,X,X,X,X,X
LTSIZOJ,O,O,O,O,X,X,O,X,X,X,O,X,X
LTSIOJZ,O,O,O,X,X,O,O,X,X,X,O,X,X
LTSIOZJ,O,O,O,X,X,X,O,X,X,X,O,X,X
LTSJIZO,O,O,O,O,X,O,O,X,X,X,X,X,X
LTSJIOZ,O,O,O,X,X,O,O,X,X,X,X,X,X
LTSJZIO,O,O,O,O,X,X,O,X,X,O,X,X,X
LTSJZOI,X,X,O,O,X,X,X,X,X,O,X,X,X
LTSJOIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,O,O,O,X,X,X,X,X,O,X,X,X
LTSZIJO,O,O,O,O,O,O,O,X,X,X,O,X,X
LTSZIOJ,O,O,O,O,X,X,O,X,X,X,O,X,X
LTSZJIO,O,O,O,O,O,X,O,X,X,X,X,X,X
LTSZJOI,X,X,O,O,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,O,O,O,X,X,O,X,X,X,X,X,X
LTSZOJI,O,O,O,O,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,O,O,X,X,O,O,X,X,X,X,X,X
LTSOIZJ,O,O,O,X,X,X,O,X,X,X,X,X,X
LTSOJIZ,O,O,O,X,X,X,X,X,X,X,X,X,X
LTSOJZI,O,O,O,O,X,X,X,X,X,O,X,X,X
LTSOZIJ,O,O,O,O,X,X,O,X,X,X,X,X,X
LTSOZJI,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZIJSO,O,X,X,X,O,X,X,X,X,X,O,O,X
LTZIJOS,O,X,X,X,O,X,X,X,X,X,O,O,X
LTZISJO,O,X,X,O,O,X,O,X,X,X,O,X,X
LTZISOJ,O,X,X,O,X,X,O,X,X,X,O,X,X
LTZIOJS,O,X,X,X,O,X,X,O,X,X,O,X,X
LTZIOSJ,O,X,X,X,X,X,O,O,X,X,O,X,X
LTZJISO,O,X,X,O,O,X,X,X,X,O,O,O,X
LTZJIOS,O,X,X,X,O,X,X,X,X,O,O,O,X
LTZJSIO,O,X,X,O,O,X,X,X,X,O,X,X,X
LTZJSOI,X,X,X,O,X,X,X,X,X,O,X,X,X
LTZJOIS,O,X,X,X,O,X,X,X,X,O,X,X,X
LTZJOSI,O,X,X,X,X,X,X,X,X,O,X,X,X
LTZSIJO,O,X,O,O,O,O,O,X,X,X,O,X,X
LTZSIOJ,O,X,O,O,X,X,O,X,X,O,O,X,X
LTZSJIO,O,X,O,O,O,X,O,X,X,O,X,X,X
LTZSJOI,X,X,O,O,X,X,X,X,X,O,X,X,X
LTZSOIJ,O,X,O,O,X,X,O,X,X,O,X,X,X
LTZSOJI,O,X,O,O,X,X,X,X,X,O,X,X,X
LTZOIJS,O,X,X,X,O,X,X,O,X,X,O,X,X
LTZOISJ,O,X,X,X,X,X,X,O,X,X,O,X,X
