sequence,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFzbBfiBxdBGjBFm?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFXcB8hBCeBmlBxs?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFXcBxdBzhBSoBml?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFRcBGeBfmB0mBln?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeU7IvhFFcBxdBzhBmlBft?B6tB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhF3cBTgBliBimBct?BGtB,v115@zgA8IeB8HeB8HeD8AeM8LeaAJvhFUcBFdBfmBGoBRs?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFfiBigBGjB0iBFm?BTtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhF3cB+jBTgBliBim?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeF7IvhFxcB3gBcmBTnB6t?BOtB,v115@zgA8IeB8HeB8HeD8AeM8LeU7IvhF1hBziBimB5oB3l?BmsB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFzcB+jBigB3iBFm?BUtB,v115@zgA8IeB8HeB8HeD8AeM8LeR7IvhFzcBigB3iBFmBct?BGtB
ISZTLJO,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZTLOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZTJLO,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZTJOL,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZTOLJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZTOJL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZLTJO,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZLTOJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISZLJTO,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZLJOT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZLOTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZLOJT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZJTLO,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZJTOL,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZJLTO,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZJLOT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZJOTL,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZJOLT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZOTLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZOTJL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZOLTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISZOLJT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZOJTL,X,O,X,O,X,X,O,X,X,X,X,X,X
ISZOJLT,X,O,X,O,X,X,O,X,X,X,X,X,X
ISOTLJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISOTLZJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISOTJLZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISOTJZL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOTZLJ,O,X,X,O,X,X,O,X,X,O,X,X,X
ISOTZJL,X,X,X,O,X,X,O,X,X,O,X,X,X
ISOLTJZ,O,X,X,O,X,X,O,X,X,X,X,X,X
ISOLTZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
ISOLJTZ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOLJZT,X,X,X,O,X,O,O,X,X,X,X,X,X
ISOLZTJ,X,X,X,O,X,O,O,X,X,X,X,X,X
ISOLZJT,X,X,X,O,X,O,O,X,X,X,X,X,X
ISOJTLZ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOJTZL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOJLTZ,X,X,X,O,X,X,O,X,O,X,X,X,X
ISOJLZT,X,X,X,O,X,X,O,X,O,X,X,X,X
ISOJZTL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOJZLT,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZTJL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZLTJ,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZLJT,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZJTL,X,X,X,O,X,X,O,X,X,X,X,X,X
ISOZJLT,X,X,X,O,X,X,O,X,X,X,X,X,X
IZTLJSO,X,O,X,X,X,X,O,X,X,X,X,X,O
IZTLJOS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTLSJO,X,O,X,X,X,X,O,X,X,X,X,X,O
IZTLSOJ,X,X,X,X,X,X,O,X,X,X,X,X,O
IZTLOJS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,O
IZTJLSO,X,O,X,X,X,X,O,X,X,X,X,X,O
IZTJLOS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJSLO,X,O,X,X,X,X,O,X,X,X,X,X,O
IZTJSOL,X,O,X,X,X,X,O,X,X,X,X,X,X
IZTJOLS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTJOSL,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTSLJO,X,O,X,X,X,X,O,X,X,X,X,X,O
IZTSLOJ,X,X,X,X,X,X,O,X,X,O,X,X,O
IZTSJLO,X,O,X,X,X,X,O,X,X,X,X,X,O
IZTSJOL,X,O,X,X,X,X,O,X,X,O,X,X,X
IZTSOLJ,X,X,X,X,X,X,O,X,X,O,X,X,O
IZTSOJL,X,X,X,X,X,X,O,X,X,O,X,X,X
IZTOLJS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,X,X,X,X,X,X,X,O,X,X,O
IZTOJLS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOJSL,X,O,X,X,X,X,X,X,X,X,X,X,X
IZTOSLJ,X,X,X,X,X,X,X,X,X,O,X,X,O
IZTOSJL,X,X,X,X,X,X,X,X,X,O,X,X,X
IZLTJSO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLTJOS,X,O,X,X,X,X,X,X,X,X,O,X,X
IZLTSJO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLTSOJ,X,X,X,X,X,X,O,X,X,X,O,X,X
IZLTOJS,X,O,X,X,X,X,X,X,X,X,O,X,X
IZLTOSJ,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLJTSO,X,O,X,X,X,X,O,O,X,X,X,X,X
IZLJTOS,X,O,X,X,X,X,X,X,X,X,O,X,X
IZLJSTO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLJSOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLJOTS,X,O,X,X,X,X,X,X,X,X,O,X,X
IZLJOST,X,O,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLSTOJ,X,X,X,X,X,X,O,X,X,O,O,X,X
IZLSJTO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLSJOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IZLSOTJ,X,X,X,X,X,X,O,X,X,O,O,X,X
IZLSOJT,X,O,X,X,X,X,O,X,X,O,X,X,X
IZLOTJS,X,O,X,X,X,X,X,X,X,X,O,X,X
IZLOTSJ,X,X,X,X,X,X,X,X,X,O,O,X,X
IZLOJTS,X,O,X,X,X,X,X,X,X,X,O,X,X
IZLOJST,X,O,X,X,X,X,X,X,X,O,X,X,X
IZLOSTJ,X,X,X,X,X,X,X,X,X,O,O,X,X
IZLOSJT,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJTLSO,X,O,X,X,X,X,O,O,X,X,X,O,X
IZJTLOS,X,O,X,X,X,X,X,X,X,X,X,O,X
IZJTSLO,X,O,X,X,O,X,O,X,X,X,X,O,X
IZJTSOL,X,O,X,X,O,X,O,X,X,X,X,X,X
IZJTOLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJTOSL,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJLTSO,X,O,X,X,X,X,O,O,X,X,X,X,X
IZJLTOS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLSTO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZJLSOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IZJLOTS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,X,O,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,X,O,X,X,O,X,O,X,X,X,X,O,X
IZJSTOL,X,O,X,X,O,X,O,X,X,O,X,X,X
IZJSLTO,X,O,X,X,O,X,O,X,X,X,X,X,X
IZJSLOT,X,O,X,X,O,X,O,X,X,X,X,X,X
IZJSOTL,X,O,X,X,O,X,O,X,X,O,X,X,X
IZJSOLT,X,O,X,X,O,X,O,X,X,O,X,X,X
IZJOTLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJOTSL,X,O,X,X,O,X,X,X,X,X,X,X,X
IZJOLTS,X,O,X,X,O,X,X,X,O,X,X,X,X
IZJOLST,X,O,X,X,X,X,X,X,O,O,X,X,X
IZJOSTL,X,O,X,X,O,X,X,X,X,O,X,X,X
IZJOSLT,X,O,X,X,O,X,X,X,X,O,X,X,X
IZSTLJO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSTLOJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSTJLO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSTJOL,X,O,X,X,X,X,O,X,X,O,X,X,X
IZSTOLJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSTOJL,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSLTJO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSLTOJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSLJTO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSLJOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSLOJT,X,O,X,X,X,X,O,X,X,O,X,X,X
IZSJTLO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSJTOL,X,O,X,X,X,X,O,X,X,O,X,X,X
IZSJLTO,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSJLOT,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,O,X,X,O,X,X,X
IZSJOLT,X,O,X,X,X,X,O,X,X,O,X,X,X
IZSOTLJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSOTJL,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSOLTJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IZSOLJT,X,O,X,X,X,X,O,X,X,O,X,X,X
IZSOJTL,X,O,X,X,X,X,O,X,X,O,X,X,X
IZSOJLT,X,O,X,X,X,X,O,X,X,O,X,X,X
IZOTLJS,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTJLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOTJSL,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOTSJL,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOLTJS,X,O,X,X,X,O,X,X,X,X,O,X,X
IZOLTSJ,X,X,X,X,X,O,X,X,X,O,O,X,X
IZOLJTS,X,O,X,X,O,O,X,X,X,X,O,X,X
IZOLJST,X,O,X,X,X,O,X,X,X,O,X,X,X
IZOLSTJ,X,X,X,X,X,O,X,X,X,O,O,X,X
IZOLSJT,X,O,X,X,X,O,X,X,X,O,X,X,X
IZOJTLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOJTSL,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOJLTS,X,O,X,X,O,X,X,X,O,X,X,X,X
IZOJLST,X,O,X,X,X,X,X,X,O,O,X,X,X
IZOJSTL,X,O,X,X,O,X,X,X,X,O,X,X,X
IZOJSLT,X,O,X,X,O,X,X,X,X,O,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOSTJL,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOSLJT,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOSJTL,X,O,X,X,O,X,X,X,X,O,X,X,X
IZOSJLT,X,O,X,X,X,X,X,X,X,O,X,X,X
IOTLJSZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTLJZS,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTLSZJ,X,X,X,X,X,O,O,X,X,X,X,X,X
IOTLZJS,X,O,O,X,X,O,X,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,O,X,X,X,X,X,X,O
IOTJLSZ,X,X,O,X,X,X,O,X,O,X,X,X,X
IOTJLZS,X,X,O,X,O,X,X,X,O,X,X,X,X
IOTJSLZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTJSZL,X,X,O,X,O,X,O,X,X,X,X,X,X
IOTJZLS,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJZSL,X,X,O,X,O,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTSJLZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTSJZL,X,X,O,X,X,X,O,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IOTSZJL,X,X,X,X,X,X,O,X,X,O,X,X,X
IOTZLJS,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,X,X,X,X,X,X,O,X,X,O
IOTZJLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IOTZJSL,X,O,O,X,O,X,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,X,X,X,X,X,X,O,X,X,O
IOTZSJL,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLTJSZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLTJZS,X,X,O,X,X,X,X,X,X,X,O,X,X
IOLTSJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,X,O,O,X,X,X,O,X,X
IOLTZJS,X,O,O,X,X,O,X,X,X,X,O,X,X
IOLTZSJ,X,X,X,X,X,O,X,X,X,X,O,X,X
IOLJTSZ,X,X,O,X,X,X,O,O,O,X,X,X,X
IOLJTZS,X,O,O,X,O,X,X,X,O,X,O,X,X
IOLJSTZ,X,X,O,X,X,X,O,X,O,X,X,X,X
IOLJSZT,X,X,O,X,X,O,O,X,O,X,X,X,X
IOLJZTS,X,O,O,X,O,O,X,X,O,X,O,X,X
IOLJZST,X,O,O,X,X,O,X,X,O,X,X,X,X
IOLSTJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,X,O,O,X,X,X,O,X,X
IOLSJTZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLSJZT,X,X,O,X,X,O,O,X,X,X,X,X,X
IOLSZTJ,X,X,X,X,X,O,O,X,X,X,O,X,X
IOLSZJT,X,X,O,X,X,O,O,X,X,X,X,X,X
IOLZTJS,X,O,O,X,X,O,X,X,X,X,O,X,X
IOLZTSJ,X,X,X,X,X,O,X,X,X,O,O,X,X
IOLZJTS,X,O,O,X,O,O,X,X,X,X,O,X,X
IOLZJST,X,O,O,X,X,O,X,X,X,O,X,X,X
IOLZSTJ,X,X,X,X,X,O,X,X,X,O,O,X,X
IOLZSJT,X,O,O,X,X,O,X,X,X,O,X,X,X
IOJTLSZ,X,X,O,X,X,X,O,O,O,X,X,O,X
IOJTLZS,X,O,O,X,O,X,X,X,O,X,X,O,X
IOJTSLZ,X,X,O,X,O,X,O,X,O,X,X,O,X
IOJTSZL,X,X,O,X,O,X,O,X,X,X,X,X,X
IOJTZLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJTZSL,X,O,O,X,O,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,O,X,X,X,O,O,O,X,X,X,X
IOJLTZS,X,O,O,X,O,X,X,X,O,X,X,X,X
IOJLSTZ,X,X,O,X,X,X,O,X,O,X,X,X,X
IOJLSZT,X,X,O,X,X,O,O,X,O,X,X,X,X
IOJLZTS,X,O,O,X,O,O,X,X,O,X,X,X,X
IOJLZST,X,O,O,X,X,O,X,X,O,X,X,X,X
IOJSTLZ,X,X,O,X,O,X,O,X,X,X,X,O,X
IOJSTZL,X,X,O,X,O,X,O,X,X,X,X,X,X
IOJSLTZ,X,X,O,X,O,X,O,X,O,X,X,X,X
IOJSLZT,X,X,O,X,O,X,O,X,O,X,X,X,X
IOJSZTL,X,X,O,X,O,X,O,X,X,X,X,X,X
IOJSZLT,X,X,X,X,O,X,O,X,X,X,X,X,X
IOJZTLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IOJZTSL,X,O,O,X,O,X,X,X,X,X,X,X,X
IOJZLTS,X,O,X,X,O,X,X,X,O,X,X,X,X
IOJZLST,X,O,X,X,X,X,X,X,O,O,X,X,X
IOJZSTL,X,O,O,X,O,X,X,X,X,O,X,X,X
IOJZSLT,X,O,X,X,O,X,X,X,X,O,X,X,X
IOSTLJZ,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSTLZJ,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSTJLZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSTJZL,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IOSTZJL,X,X,X,X,X,X,O,X,X,O,X,X,X
IOSLTJZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSLJTZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSLJZT,X,X,O,X,X,O,O,X,X,X,X,X,X
IOSLZTJ,X,X,X,X,X,O,O,X,X,X,X,X,X
IOSLZJT,X,X,O,X,X,O,O,X,X,X,X,X,X
IOSJTLZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOSJTZL,X,X,O,X,O,X,O,X,X,X,X,X,X
IOSJLTZ,X,X,O,X,X,X,O,X,O,X,X,X,X
IOSJLZT,X,X,O,X,X,X,O,X,O,X,X,X,X
IOSJZTL,X,X,O,X,O,X,O,X,X,X,X,X,X
IOSJZLT,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IOSZTJL,X,X,X,X,X,X,O,X,X,O,X,X,X
IOSZLTJ,X,X,X,X,X,X,O,X,X,O,X,X,X
IOSZLJT,X,X,X,X,X,X,O,X,X,O,X,X,X
IOSZJTL,X,X,O,X,O,X,O,X,X,O,X,X,X
IOSZJLT,X,X,X,X,X,X,O,X,X,O,X,X,X
IOZTLJS,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZTJLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IOZTJSL,X,O,O,X,O,X,X,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZTSJL,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZLTJS,X,O,X,X,X,O,X,X,X,X,O,X,X
IOZLTSJ,X,X,X,X,X,O,X,X,X,O,O,X,X
IOZLJTS,X,O,X,X,O,O,X,X,X,X,O,X,X
IOZLJST,X,O,X,X,X,O,X,X,X,O,X,X,X
IOZLSTJ,X,X,X,X,X,O,X,X,X,O,O,X,X
IOZLSJT,X,O,X,X,X,O,X,X,X,O,X,X,X
IOZJTLS,X,O,X,X,O,X,X,X,X,X,X,X,X
IOZJTSL,X,O,O,X,O,X,X,X,X,X,X,X,X
IOZJLTS,X,O,X,X,O,X,X,X,O,X,X,X,X
IOZJLST,X,O,X,X,X,X,X,X,O,O,X,X,X
IOZJSTL,X,O,O,X,O,X,X,X,X,O,X,X,X
IOZJSLT,X,O,X,X,O,X,X,X,X,O,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZSLTJ,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZSLJT,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZSJTL,X,O,O,X,O,X,X,X,X,O,X,X,X
IOZSJLT,X,O,X,X,X,X,X,X,X,O,X,X,X
LTIJSZO,X,X,O,O,X,X,O,O,X,X,X,X,X
LTIJSOZ,X,X,O,O,X,X,O,O,X,X,X,X,X
LTIJZSO,X,O,O,O,X,X,O,O,X,X,X,X,O
LTIJZOS,X,O,X,X,X,X,X,X,X,X,O,X,X
LTIJOSZ,X,X,O,O,X,X,O,O,X,X,X,X,X
LTIJOZS,X,X,O,X,X,X,X,X,X,X,O,X,X
LTISJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
LTISJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
LTISZJO,O,O,X,O,X,X,O,X,X,X,X,X,O
LTISZOJ,O,X,X,O,X,X,O,X,X,X,O,X,O
LTISOJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
LTIZJSO,O,O,X,O,X,X,O,X,X,X,X,X,O
LTIZJOS,O,O,X,X,X,X,X,X,X,X,O,X,X
LTIZSJO,O,O,X,X,X,X,O,X,X,X,X,X,O
LTIZSOJ,O,X,X,X,X,X,O,X,X,X,O,X,O
LTIZOJS,O,O,O,X,X,X,X,X,X,X,O,X,X
LTIZOSJ,O,X,X,X,X,X,X,X,X,X,O,X,O
LTIOJSZ,X,X,O,O,X,X,O,X,X,X,X,X,X
LTIOJZS,X,X,O,X,X,X,X,X,X,X,O,X,X
LTIOSJZ,O,X,O,X,X,X,O,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,O,X,X,X,O,X,X
LTIOZJS,O,O,O,X,X,X,X,X,X,X,O,X,X
LTIOZSJ,O,X,X,X,X,X,X,X,X,X,O,X,O
LTJISZO,O,X,O,O,X,X,O,O,X,X,X,X,X
LTJISOZ,O,X,O,O,X,X,O,O,X,X,X,X,X
LTJIZSO,X,X,O,O,X,X,O,O,X,X,X,X,O
LTJIZOS,X,X,X,X,X,X,X,X,X,X,O,X,X
LTJIOSZ,O,X,O,O,X,X,O,O,X,X,X,X,X
LTJIOZS,X,X,O,X,X,X,X,X,X,X,O,X,X
LTJSIZO,O,X,O,O,X,X,O,O,X,X,X,X,X
LTJSIOZ,O,X,O,O,X,X,O,O,X,X,X,X,X
LTJSZIO,O,X,O,O,X,X,O,O,X,X,X,X,X
LTJSZOI,O,X,X,O,X,X,O,O,X,X,X,X,X
LTJSOIZ,O,X,O,O,X,X,X,O,X,X,X,O,X
LTJSOZI,O,X,O,O,X,X,O,O,X,X,X,O,X
LTJZISO,O,X,O,O,X,X,O,O,X,X,X,X,O
LTJZIOS,O,X,X,X,X,X,X,X,X,X,O,X,X
LTJZSIO,O,X,O,O,X,X,O,O,X,X,X,X,O
LTJZSOI,O,X,X,O,X,X,O,O,X,X,X,X,O
LTJZOIS,O,X,O,X,X,X,X,X,X,X,O,X,X
LTJZOSI,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJOISZ,O,X,O,O,X,X,O,O,X,X,X,X,X
LTJOIZS,X,X,O,X,X,X,X,X,X,X,O,X,X
LTJOSIZ,O,X,O,O,X,X,X,O,X,X,X,X,X
LTJOSZI,O,X,O,O,X,X,O,O,X,X,X,X,X
LTJOZIS,O,X,O,X,X,X,X,X,X,X,O,X,X
LTJOZSI,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIJZO,X,X,X,O,X,X,O,X,X,X,X,X,X
LTSIJOZ,O,X,X,O,X,X,O,X,X,X,X,X,X
LTSIZJO,O,X,X,O,X,X,O,X,X,X,X,X,O
LTSIZOJ,O,X,X,O,X,X,O,X,X,X,O,X,O
LTSIOJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
LTSIOZJ,O,X,X,O,X,X,O,X,X,X,O,X,X
LTSJIZO,O,X,X,O,X,X,X,O,X,X,X,X,X
LTSJIOZ,O,X,X,O,X,X,X,O,X,X,X,X,X
LTSJZIO,O,X,X,O,X,X,X,O,X,X,X,X,X
LTSJZOI,O,X,X,O,X,X,X,O,X,X,X,X,X
LTSJOIZ,O,X,X,O,X,X,X,O,X,X,X,X,X
LTSJOZI,O,X,X,O,X,X,X,O,X,X,X,X,X
LTSZIJO,O,X,X,O,X,X,O,X,X,X,X,X,O
LTSZIOJ,O,X,X,O,X,O,O,X,X,O,O,X,O
LTSZJIO,O,X,X,O,X,X,O,X,X,X,X,X,O
LTSZJOI,O,X,X,O,X,O,X,X,X,O,X,X,O
LTSZOIJ,O,X,X,O,X,O,O,X,X,O,O,X,O
LTSZOJI,O,X,X,O,X,O,X,X,X,O,X,X,O
LTSOIJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,X,O,X,O,X,X,X,X,O,X,X
LTSOJIZ,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSOJZI,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,X,X,O,X,O,X,X,X,O,O,X,X
LTSOZJI,O,X,X,O,X,O,X,X,X,O,X,X,X
LTZIJSO,O,O,X,O,X,X,X,X,X,X,X,X,O
LTZIJOS,O,O,X,X,X,X,X,X,X,X,O,X,X
LTZISJO,O,O,X,X,X,X,X,X,X,X,X,X,O
LTZISOJ,O,X,X,X,X,O,X,X,X,X,O,X,O
LTZIOJS,O,O,O,X,X,O,X,X,X,X,O,X,X
LTZIOSJ,O,X,X,X,X,O,X,X,X,X,O,X,O
LTZJISO,O,O,X,O,X,X,X,X,X,X,X,X,O
LTZJIOS,O,O,X,X,X,X,X,X,X,X,O,X,X
LTZJSIO,O,O,X,O,X,X,X,X,X,X,X,X,O
LTZJSOI,O,X,X,O,X,O,X,X,X,X,X,X,O
LTZJOIS,O,X,X,X,X,O,X,X,X,X,O,X,X
LTZJOSI,O,X,X,X,X,O,X,X,X,X,X,X,X
LTZSIJO,O,X,X,O,X,X,X,X,X,X,X,X,O
LTZSIOJ,O,X,X,O,X,O,X,X,X,X,O,X,O
LTZSJIO,O,X,X,O,X,X,X,X,X,X,X,X,O
LTZSJOI,O,X,X,O,X,O,X,X,X,X,X,X,O
LTZSOIJ,O,X,X,O,X,O,X,X,X,X,O,X,O
LTZSOJI,O,X,X,O,X,O,X,X,X,X,X,X,O
LTZOIJS,O,X,O,X,X,O,X,X,X,X,O,X,X
LTZOISJ,O,X,X,X,X,O,X,X,X,X,O,X,O
LTZOJIS,O,X,O,X,X,O,X,X,X,X,O,X,X
LTZOJSI,O,X,O,X,X,O,X,X,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,O,X,X,X,X,O,X,O
LTZOSJI,O,X,X,X,X,O,X,X,X,X,X,X,O
LTOIJSZ,X,X,O,O,X,X,X,X,X,X,X,X,X
LTOIJZS,X,X,O,X,X,X,X,X,X,X,O,X,X
LTOISJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOISZJ,O,X,X,X,X,O,X,X,X,X,O,X,X
LTOIZJS,O,X,O,X,X,O,X,X,X,X,O,X,X
