sequence,v115@7gB8FeD8FeD8EeF8CeF8JeT6IvhFxcBlgBcmBikBGq?BXqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFXbBxcBSlBThB0p?BlqB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhF8fBzbBCdBxlBlp?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTkB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfBTfB/qBFm?B0pB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzaBCdBUhBupB1q?B3qB,v115@7gB8FeD8FeD8EeF8CeF8Jem7IvhFCdBxfB0fB/pBFm?BTqB,v115@7gB8FeD8FeD8EeF8CeF8Jex6IvhFCdBmfBTkBFmBXq?B8qB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhF8gBCdBzfBXmBFl?BWvB,v115@7gB8FeD8FeD8EeF8CeF8JeZ/IvhFzbBCdBVlBXmBUq?BupB,v115@7gB8FeD8FeD8EeF8CeF8JeO/IvhFCdBzfBFmBxpB8q?BXqB,v115@7gB8FeD8FeD8EeF8CeF8Jez7IvhFCdBmfBFmBxpB/p?BUqB
TLOISZJ,X,O,O,X,X,X,O,X,X,X,X,X
TLOIZJS,O,O,O,X,X,X,O,X,X,X,X,X
TLOIZSJ,O,O,O,X,X,X,X,X,X,X,X,X
TLOJISZ,X,O,X,O,O,O,O,X,X,X,X,X
TLOJIZS,O,X,X,X,X,O,O,X,X,X,X,X
TLOJSIZ,X,O,X,O,O,O,O,O,X,X,X,X
TLOJSZI,X,O,X,O,O,O,O,O,X,X,X,X
TLOJZIS,O,X,O,X,X,O,O,X,X,X,X,X
TLOJZSI,O,X,X,X,X,O,O,X,X,X,X,X
TLOSIJZ,X,O,O,O,O,X,O,O,X,X,X,X
TLOSIZJ,X,O,O,O,X,X,O,X,X,X,X,X
TLOSJIZ,X,O,X,O,O,X,O,O,X,X,X,X
TLOSJZI,X,O,X,O,O,X,O,O,X,X,X,X
TLOSZIJ,X,O,X,O,O,X,O,X,X,X,X,X
TLOSZJI,X,O,X,O,O,X,O,O,X,X,X,X
TLOZIJS,O,O,O,X,X,X,O,X,X,X,X,X
TLOZISJ,O,O,O,X,X,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,X,X,O,X,X,X,X,X
TLOZJSI,O,O,X,X,X,X,O,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,O,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,O,X,X,X,X,X
TJILSZO,X,O,X,O,O,X,O,X,O,X,X,X
TJILSOZ,X,O,X,O,O,O,O,X,O,X,X,X
TJILZSO,O,X,O,O,O,O,O,X,X,X,X,X
TJILZOS,O,X,O,X,X,O,O,X,X,X,X,X
TJILOSZ,X,X,X,O,O,O,O,X,O,X,X,X
TJILOZS,O,X,O,X,X,O,O,X,X,X,X,X
TJISLZO,X,X,X,O,O,X,O,X,O,X,X,X
TJISLOZ,X,X,X,O,O,O,O,X,O,X,X,X
TJISZLO,X,X,X,O,O,O,O,X,O,X,X,X
TJISZOL,X,X,X,X,O,O,X,X,O,X,X,X
TJISOLZ,X,X,X,O,O,O,O,X,O,X,X,X
TJISOZL,X,X,X,O,X,O,X,X,O,X,X,X
TJIZLSO,O,O,O,O,O,O,O,X,X,X,X,X
TJIZLOS,O,O,O,X,X,O,O,X,X,X,X,X
TJIZSLO,O,O,O,X,X,O,X,X,X,X,X,X
TJIZSOL,X,O,X,X,X,O,X,X,X,X,X,X
TJIZOLS,O,O,O,X,X,O,X,X,X,X,X,X
TJIZOSL,X,O,O,X,X,O,X,X,X,X,X,X
TJIOLSZ,X,O,X,O,O,O,O,X,O,X,X,X
TJIOLZS,X,X,O,X,X,O,O,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,O,O,X,O,X,X,X
TJIOSZL,X,X,X,X,X,O,O,X,O,X,X,X
TJIOZLS,X,O,O,X,X,O,O,X,X,X,X,X
TJIOZSL,X,O,O,X,X,O,X,X,X,X,X,X
TJLISZO,X,O,X,O,O,X,O,X,O,X,X,X
TJLISOZ,X,O,X,O,O,O,O,X,O,X,X,X
TJLIZSO,O,X,O,O,O,O,O,X,X,X,X,X
TJLIZOS,O,X,O,X,X,O,O,X,X,X,X,X
TJLIOSZ,X,X,X,O,O,O,O,X,O,X,X,X
TJLIOZS,O,X,O,X,X,O,O,X,X,X,X,X
TJLSIZO,X,O,O,O,O,X,O,X,O,X,X,X
TJLSIOZ,X,O,O,O,O,O,O,X,O,X,X,X
TJLSZIO,X,O,O,O,O,X,O,X,O,X,X,X
TJLSZOI,X,O,X,O,O,X,X,X,O,X,X,X
TJLSOIZ,X,O,X,O,O,O,O,O,O,X,X,X
TJLSOZI,X,O,X,O,O,O,O,O,O,X,X,X
TJLZISO,O,X,O,O,O,O,O,X,X,X,X,X
TJLZIOS,O,X,O,X,X,O,O,X,X,X,X,X
TJLZSIO,O,X,O,O,O,O,O,X,X,X,X,X
TJLZSOI,O,X,X,O,O,O,X,X,X,X,X,X
TJLZOIS,O,X,O,X,X,O,O,X,X,X,X,X
