sequence,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBiiB5oBcsBet?BzqB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBiiB5oBcsBet?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBOnB8nB5oBXr?ByxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGjBXrBCt?BUtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBZnBunBcoBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBmiB5oBzqBis?B0sB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB5oBXrBms?BUsB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFxhBTjB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBxiB0nB6tBXr?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBKnBGjBUoBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThB0iB6oB2sBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBziB+oBUnBXr?BxxB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFihBRnBctBXrBTs?BGtB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFThBZnBGoBXrBUt?BCtB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mBxiB0nB6tBzq?B2xB,v115@9gC8GeB8HeC8GeC8BeA8Ne3CJvhFcoBxlBGmBNsBzq?BSyB,v115@9gC8GeB8HeC8GeC8BeA8Ne9FJvhFTjBxmB0nBmrBSy?BXrB,v115@9gC8GeB8HeC8GeC8BeA8Ne3AJvhF9mB5oBmnBzqB0s?BisB,v115@9gC8GeB8HeC8GeC8BeA8Ne9GJvhFmiB5oB0lBKsBft?BzqB
TLZJISO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O
TLZJIOS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLZJSIO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLZJSOI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TLZJOIS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TLZJOSI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLZSIJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O
TLZSIOJ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TLZSJIO,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
TLZSJOI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
TLZSOIJ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TLZSOJI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZOIJS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TLZOJIS,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLZOJSI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
TLZOSJI,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLOIJSZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOIJZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOISJZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TLOISZJ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TLOIZJS,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O
TLOJISZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOJIZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOJSIZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLOJSZI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOJZIS,X,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X
TLOJZSI,X,X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TLOSIJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TLOSIZJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TLOSJIZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,O
TLOSJZI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TLOSZIJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O
TLOSZJI,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O
TLOZIJS,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O
TLOZJIS,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X
TLOZJSI,X,X,O,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOZSIJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O
TLOZSJI,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O
TJILSZO,O,X,X,O,O,X,X,X,X,O,O,X,X,X,O,X,X,X,O
TJILSOZ,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O
TJILZSO,O,O,O,O,O,X,X,O,O,O,O,O,X,X,O,X,X,X,O
TJILZOS,O,O,O,X,O,X,X,O,O,O,O,O,X,X,O,X,O,X,X
TJILOSZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TJISLZO,O,O,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TJISLOZ,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TJISZLO,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X
TJISZOL,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,X
TJISOLZ,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJISOZL,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TJIZLSO,O,O,X,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,O
TJIZLOS,O,O,X,X,X,X,X,O,O,O,O,O,X,X,O,X,O,X,X
TJIZSLO,O,O,X,X,X,X,X,O,O,O,O,O,X,O,O,X,X,X,X
TJIZSOL,O,O,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X
TJIZOLS,O,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
TJIZOSL,O,X,X,X,X,X,X,X,O,X,O,O,X,O,O,X,X,X,X
TJIOLSZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TJIOLZS,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TJIOSLZ,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TJIOZLS,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLISZO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TJLISOZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
TJLIZSO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TJLIZOS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJLIOSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJLSIZO,O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TJLSIOZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
TJLSZIO,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TJLSZOI,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TJLSOIZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O
TJLSOZI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TJLZISO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TJLZIOS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJLZSIO,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TJLZSOI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TJLZOIS,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJLZOSI,O,O,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJLOISZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJLOIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLOZIS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJLOZSI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJSILZO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSILOZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
TJSIZLO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSIZOL,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSIOLZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSLIZO,O,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSLIOZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
TJSLZIO,O,O,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TJSLZOI,O,O,X,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TJSLOIZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X
TJSLOZI,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSZILO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TJSZIOL,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSZLIO,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TJSZLOI,O,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TJSZOIL,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSZOLI,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSOILZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSOLZI,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSOZIL,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJSOZLI,O,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJZILSO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
TJZILOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJZISLO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TJZISOL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TJZIOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJZIOSL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TJZLISO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
TJZLIOS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJZLSIO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TJZLSOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O
TJZLOIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJZLOSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJZSILO,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TJZSIOL,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TJZSLIO,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJZSLOI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJZSOIL,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZSOLI,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZOILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJZOISL,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TJZOLIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJZOLSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJZOSIL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJOILSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJOILZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJOISLZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOISZL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOIZLS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJOIZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJOLISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJOLIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJOLSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJOLSZI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJOLZIS,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X
TJOLZSI,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJOSILZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOSIZL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOSLIZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOSLZI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOSZIL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOSZLI,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJOZILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TJOZISL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJOZLIS,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJOZLSI,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TJOZSIL,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TSILJZO,O,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O
TSILJOZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
TSILZJO,X,X,O,O,O,X,O,X,X,O,O,O,X,O,O,X,X,X,O
TSILZOJ,X,X,O,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,O
TSILOJZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
TSILOZJ,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,X,X,X,O
TSIJLZO,O,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O
TSIJLOZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
TSIJZLO,O,O,X,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X
TSIJZOL,O,O,X,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X
TSIJOLZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TSIJOZL,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
TSIZLJO,X,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,O
TSIZLOJ,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O
TSIZJLO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TSIZJOL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TSIZOLJ,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
TSIZOJL,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
TSIOLJZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TSIOLZJ,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,X,X,X,X
TSIOJLZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TSIOJZL,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
TSIOZLJ,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
TSIOZJL,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
TSLIJZO,O,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O
TSLIJOZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
TSLIZJO,X,X,O,O,O,X,O,X,X,O,O,O,X,O,O,X,X,X,O
TSLIZOJ,X,X,O,O,O,X,X,X,O,O,O,O,X,O,X,X,X,X,O
TSLIOJZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
TSLIOZJ,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,X,X,X,O
TSLJIZO,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,O
TSLJIOZ,X,O,O,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,O
TSLJZIO,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,O
TSLJZOI,O,O,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O
TSLJOIZ,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,O
TSLJOZI,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O
TSLZIJO,X,X,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,X,O
TSLZIOJ,X,X,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,O
TSLZJIO,O,O,O,O,O,X,O,O,O,X,X,O,X,O,O,X,X,X,O
TSLZJOI,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,X,O
TSLZOIJ,X,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,X,O
TSLZOJI,X,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,O
TSLOIJZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,O
TSLOIZJ,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,X,X,X,O
TSLOJIZ,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,O
TSLOJZI,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O
TSLOZIJ,X,X,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,X,O
TSLOZJI,X,O,O,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X,O
TSJILZO,O,O,O,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O
TSJILOZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,O,X,O
TSJIZLO,O,O,X,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X
TSJIZOL,O,O,X,X,X,X,O,X,O,O,O,O,X,O,O,X,X,X,X
TSJIOLZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TSJIOZL,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
TSJLIZO,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,O
TSJLIOZ,X,O,O,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,O
TSJLZIO,O,O,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X,X,O
TSJLZOI,O,O,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O
TSJLOIZ,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,O,X,O
TSJLOZI,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,O
TSJZILO,O,O,X,X,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X
TSJZIOL,O,O,X,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X
TSJZLIO,O,O,X,X,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X
TSJZLOI,O,O,X,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X
TSJZOIL,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TSJZOLI,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TSJOILZ,X,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TSJOLIZ,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TSJOLZI,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X
TSJOZIL,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TSJOZLI,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TSZILJO,X,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,O
TSZILOJ,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,O
TSZIJLO,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TSZIJOL,O,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X
TSZIOLJ,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
TSZIOJL,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
TSZLIJO,X,X,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,X,O
TSZLIOJ,X,X,O,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O
TSZLJIO,O,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X,X,O
TSZLJOI,O,O,O,O,O,X,O,X,O,X,X,X,X,O,O,X,X,X,O
TSZLOIJ,X,X,O,O,O,X,X,X,O,X,X,O,O,O,X,X,X,X,O
TSZLOJI,X,O,O,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,O
TSZJILO,O,O,X,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X
TSZJIOL,O,O,X,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X
TSZJLIO,O,O,X,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X
TSZJLOI,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TSZJOIL,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TSZJOLI,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TSZOILJ,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
TSZOIJL,X,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TSZOLIJ,X,X,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X
TSZOLJI,X,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TSZOJIL,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TSZOJLI,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TSOILJZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TSOILZJ,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,X,X,X,X
TSOIJLZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X
TSOIJZL,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
TSOIZLJ,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
TSOIZJL,X,O,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
TSOLIJZ,X,O,O,O,X,X,O,X,O,O,O,O,X,X,O,X,X,X,X
TSOLIZJ,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,X,X,X,X
TSOLJIZ,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TSOLJZI,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X
TSOLZIJ,X,X,O,O,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X
TSOLZJI,X,O,O,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TSOJILZ,X,O,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TSOJIZL,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
TSOJLIZ,X,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TSOJLZI,X,O,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X
TSOJZIL,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TSOJZLI,O,O,X,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X,X
TSOZILJ,X,X,O,O,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X
TSOZIJL,X,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TSOZLIJ,X,X,O,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X
TSOZLJI,X,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TSOZJIL,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TSOZJLI,O,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
