sequence,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeqAJvhFTcBmdB5jB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFWiBxdB6oBF?mBXnB8sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFCdBejB5jBX?iBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhFchBidB5jBz?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeuAJvhF1hB5jB3iBT?mB8sBisB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeC8IvhFxdBlhBziB+?oBUmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeG8IvhFyiB5jBzgB0?iB3mBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFciBTeBfmB6?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFFeBChB0iB+?oBTmB/sB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFChBliBcoBT?mB/sBGtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBTiB/?oBUmBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jex9IvhFfmBlhBcnBT?jBGmBCtB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBfmB0hBS?sBToBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8Jez7IvhFfiBxdBSoBF?mBUoBGsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeSBJvhF/iBTjBRmBU?mBGoBlsB,v115@zgC8GeC8GeC8GeD8FeG8AeB8JeR8IvhFGeBSmBliB/?sBTtBUrB
ZIOTLSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTJLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTJSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTSLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTSJL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOLTJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOLTSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZIOLJTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOLJST,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZIOLSTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZIOLSJT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZIOJTLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJTSL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJLTS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJLST,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJSTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOJSLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOSTLJ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ZIOSTJL,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOSLTJ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZIOSLJT,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
ZIOSJTL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOSJLT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLTIJSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTIJOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTISJO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLTISOJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTIOJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTIOSJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLTJISO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTJIOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTJSIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTJSOI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTJOIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTJOSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTSIJO,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLTSIOJ,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
ZLTSJIO,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLTSJOI,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
ZLTSOIJ,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
ZLTSOJI,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
ZLTOIJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTOISJ,O,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X
ZLTOJIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTOJSI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTOSIJ,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
ZLTOSJI,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
ZLITJSO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITJOS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITSJO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLITSOJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITOJS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITOSJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLIJTSO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLIJTOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLIJSTO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLIJSOT,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLIJOTS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZLIJOST,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZLISTJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISTOJ,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ZLISJTO,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X
ZLISJOT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLISOTJ,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
ZLISOJT,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O
ZLIOTJS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLIOTSJ,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
ZLIOJTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLIOJST,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
ZLIOSTJ,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O
ZLIOSJT,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O
ZLJTISO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJTIOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJTSIO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJTSOI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJTOIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJTOSI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJITSO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJITOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJISTO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJISOT,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJIOTS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZLJIOST,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZLJSTIO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJSTOI,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X
ZLJSITO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJSIOT,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJSOTI,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X
ZLJSOIT,X,O,X,X,X,O,X,X,O,X,X,O,X,X,X,X
ZLJOTIS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZLJOTSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLJOITS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZLJOIST,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X
ZLJOSTI,X,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X
ZLJOSIT,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,X
ZLSTIJO,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLSTIOJ,O,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X
ZLSTJIO,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLSTJOI,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X,X
ZLSTOIJ,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X
ZLSTOJI,O,O,O,X,X,O,X,X,X,O,O,O,O,X,X,X
ZLSITJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSITOJ,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
ZLSIJTO,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X
ZLSIJOT,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X
ZLSIOTJ,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,O
ZLSIOJT,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,O
ZLSJTIO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLSJTOI,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X
ZLSJITO,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X
ZLSJIOT,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X
ZLSJOTI,O,O,O,X,X,O,X,X,O,X,X,O,O,X,X,X
ZLSJOIT,O,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X
ZLSOTIJ,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
ZLSOTJI,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
ZLSOITJ,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
ZLSOIJT,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,O
ZLSOJTI,O,O,O,X,X,O,X,X,X,O,X,O,O,X,X,X
ZLSOJIT,O,O,X,X,O,O,X,X,X,O,X,O,O,X,X,O
ZLOTIJS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOTISJ,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X
ZLOTJIS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOTJSI,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOTSIJ,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X
ZLOTSJI,O,O,O,X,O,O,X,X,X,O,X,O,X,X,X,X
ZLOITJS,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOITSJ,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X
ZLOIJTS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLOIJST,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O
ZLOISTJ,O,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O
ZLOISJT,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,O
ZLOJTIS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZLOJTSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOJITS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZLOJIST,X,X,X,X,O,O,X,X,O,O,X,O,X,X,X,O
ZLOJSTI,X,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X
ZLOJSIT,X,X,X,X,O,O,X,X,O,O,X,O,O,X,X,X
ZLOSTIJ,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
ZLOSTJI,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
ZLOSITJ,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,O
ZLOSIJT,O,O,X,X,O,X,X,X,O,O,X,O,O,X,X,O
ZLOSJTI,O,O,O,X,X,O,X,X,O,O,X,O,O,X,X,X
ZLOSJIT,O,O,X,X,O,O,X,X,O,O,X,O,O,X,X,O
ZJTILSO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTILOS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTISLO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTISOL,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTIOLS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJTIOSL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJTLISO,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJTLIOS,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJTLSIO,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X
ZJTLSOI,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
ZJTLOIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTLOSI,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
ZJTSILO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTSIOL,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
ZJTSLIO,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
ZJTSLOI,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
ZJTSOIL,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
ZJTSOLI,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
ZJTOILS,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJTOISL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJTOLIS,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJTOLSI,X,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X
ZJTOSIL,X,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
ZJTOSLI,X,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X
ZJITLSO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJITLOS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJITSLO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJITSOL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJITOLS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJITOSL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJILTSO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJILTOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJILSTO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJILSOT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJILOTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJILOST,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJISTLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJISTOL,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJISLTO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJISLOT,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJISOTL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJISOLT,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJIOTLS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJIOTSL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJIOLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJIOLST,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJIOSTL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJIOSLT,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJLTISO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLTIOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLTSIO,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
ZJLTSOI,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ZJLTOIS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJLTOSI,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
ZJLITSO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLITOS,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLISTO,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X
ZJLISOT,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLIOTS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJLIOST,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJLSTIO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
ZJLSTOI,X,O,X,X,X,O,X,O,O,O,X,O,X,O,X,X
ZJLSITO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
ZJLSIOT,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJLSOTI,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
ZJLSOIT,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
ZJLOTIS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJLOTSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJLOITS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJLOIST,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,X
ZJLOSTI,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X,X
ZJLOSIT,X,X,X,X,O,O,X,O,O,O,X,O,X,X,X,X
ZJSTILO,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJSTIOL,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
ZJSTLIO,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
ZJSTLOI,X,O,O,X,X,O,X,O,O,O,X,O,X,O,X,X
ZJSTOIL,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
ZJSTOLI,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X,X
ZJSITLO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSITOL,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
ZJSILTO,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJSILOT,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJSIOTL,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJSIOLT,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJSLTIO,X,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
ZJSLTOI,X,O,O,X,X,O,X,O,O,O,X,O,X,O,X,X
ZJSLITO,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X,X
ZJSLIOT,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJSLOTI,X,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X
ZJSLOIT,X,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
ZJSOTIL,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJSOTLI,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X
ZJSOITL,X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJSOILT,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJSOLTI,X,O,O,X,X,O,X,O,O,O,X,X,X,X,X,X
ZJSOLIT,X,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
ZJOTILS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJOTISL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJOTLIS,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJOTLSI,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJOTSIL,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJOTSLI,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJOITLS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJOITSL,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJOILTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJOILST,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJOISTL,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJOISLT,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJOLTIS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJOLTSI,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJOLITS,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJOLIST,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
ZJOLSTI,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
ZJOLSIT,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
ZJOSTIL,X,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJOSTLI,X,X,O,X,O,O,X,O,O,O,X,X,X,X,X,X
ZJOSITL,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJOSILT,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZJOSLTI,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X
ZJOSLIT,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
ZSTILJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSTILOJ,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X
ZSTIJLO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSTIJOL,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSTIOLJ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
ZSTIOJL,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X
ZSTLIJO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSTLIOJ,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X
ZSTLJIO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSTLJOI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
ZSTLOIJ,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
ZSTLOJI,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
ZSTJILO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSTJIOL,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSTJLIO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSTJLOI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
ZSTJOIL,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSTJOLI,O,O,O,O,X,O,X,O,X,O,O,X,X,X,X,X
ZSTOILJ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
ZSTOIJL,O,O,O,O,O,X,O,O,X,X,O,X,O,X,X,X
ZSTOLIJ,O,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X
ZSTOLJI,O,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X
ZSTOJIL,O,O,O,O,O,O,O,O,X,X,O,X,O,X,X,X
ZSTOJLI,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X
ZSITLJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSITLOJ,O,O,O,O,X,O,O,X,X,O,X,O,O,X,X,X
ZSITJLO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSITJOL,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ZSITOLJ,O,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X
ZSITOJL,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X
ZSILTJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSILTOJ,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X
ZSILJTO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSILJOT,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZSILOTJ,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X
ZSILOJT,O,O,X,O,O,X,O,X,X,X,X,O,O,X,X,X
ZSIJTLO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSIJTOL,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSIJLTO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSIJLOT,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZSIJOTL,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X
ZSIJOLT,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
ZSIOTLJ,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
ZSIOTJL,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
ZSIOLTJ,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
ZSIOLJT,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X
ZSIOJTL,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
ZSIOJLT,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
ZSLTIJO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSLTIOJ,O,O,O,O,X,O,X,O,X,O,X,O,O,X,X,X
ZSLTJIO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
ZSLTJOI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
ZSLTOIJ,O,O,O,O,X,O,X,O,X,O,O,O,O,X,X,X
ZSLTOJI,O,O,O,O,X,O,X,O,X,O,O,O,O,X,X,X
ZSLITJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSLITOJ,O,O,O,O,X,X,X,O,X,O,X,O,O,X,X,X
ZSLIJTO,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X
ZSLIJOT,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X
