sequence,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeC7IvhFxcB8kB+lBT?hB/nBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFCdBukBUhB/?nBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFcgBxcBThB/?nBSqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFFdBukBclB6?rBTsBXrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je5/IvhF2gBCdB/nBU?hBTlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFcBXdBqkBx?lBTnBGrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeU7IvhFFdBqkBemB5?mB3lBTsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeG7IvhFxcBThB/nBC?lBUlBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeSAJvhFxcBThB/nBU?gBWqBlrB,v115@zgA8GeC8FeD8GeC8GeG8AeD8JeR7IvhFukBclBXmBT?nBlmBCsB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Jeu/IvhFFcBTgB3hB6?nB8rBRvB,v115@zgA8GeC8FeD8GeC8GeG8AeD8Je08IvhFflBlgBxmBC?lBTnBGrB
LITZOJS,X,X,O,X,X,X,X,X,X,X,X,X
LITZOSJ,X,X,O,X,X,O,X,X,X,X,X,X
LITOJSZ,X,X,X,X,O,X,O,O,X,X,X,X
LITOJZS,X,X,X,X,X,X,O,X,X,X,X,X
LITOSJZ,X,X,O,X,O,X,O,O,X,X,X,X
LITOSZJ,X,X,O,X,O,O,X,O,X,X,X,X
LITOZJS,X,X,O,X,X,X,O,X,X,X,X,X
LITOZSJ,X,X,O,X,X,O,X,X,X,X,X,X
LIJTSZO,X,O,X,X,X,O,O,O,X,X,X,X
LIJTSOZ,X,O,X,X,X,O,X,O,X,X,X,X
LIJTZSO,X,X,X,X,X,O,O,X,X,X,X,X
LIJTZOS,X,X,X,X,X,O,O,X,X,X,X,X
LIJTOSZ,X,X,X,X,X,O,X,O,X,X,X,X
LIJTOZS,X,X,X,X,X,O,O,X,X,X,X,X
LIJSTZO,X,O,X,X,X,O,O,O,X,X,X,X
LIJSTOZ,X,O,X,X,O,O,X,O,O,X,X,X
LIJSZTO,X,O,X,X,X,O,O,O,X,X,X,X
LIJSZOT,X,O,X,X,X,O,X,X,X,X,X,X
LIJSOTZ,X,O,X,X,O,O,X,O,X,X,X,X
LIJSOZT,X,O,X,X,O,O,X,X,X,X,X,X
LIJZTSO,O,X,O,X,X,O,O,X,X,X,X,X
LIJZTOS,X,X,X,X,X,O,O,X,X,X,X,X
LIJZSTO,O,O,O,X,X,O,O,O,X,X,X,X
LIJZSOT,O,O,O,X,X,O,X,X,X,X,X,X
LIJZOTS,X,X,X,X,X,O,O,X,X,X,X,X
LIJZOST,O,X,O,X,X,O,O,X,X,X,O,X
LIJOTSZ,X,X,X,X,X,O,O,X,X,X,X,X
LIJOTZS,X,X,X,X,X,O,O,X,X,X,X,X
LIJOSTZ,X,O,X,X,X,O,O,O,X,X,X,X
LIJOSZT,X,O,X,X,X,O,O,X,X,X,X,X
LIJOZTS,X,X,X,X,X,O,O,X,X,X,X,X
LIJOZST,X,X,X,X,X,O,O,X,X,X,O,X
LISTJZO,O,O,O,X,X,O,O,O,X,X,X,X
LISTJOZ,X,O,X,X,O,X,X,O,O,X,X,X
LISTZJO,O,O,O,X,X,O,X,O,X,X,X,X
LISTZOJ,O,O,O,X,O,O,X,X,X,X,X,X
LISTOJZ,O,O,O,X,O,X,X,O,O,X,X,X
LISTOZJ,X,X,O,X,O,O,X,O,X,X,X,X
LISJTZO,X,O,X,X,X,O,O,O,X,X,X,X
LISJTOZ,X,O,X,X,O,O,X,O,O,X,X,X
LISJZTO,O,O,O,X,X,O,O,O,X,X,X,X
LISJZOT,O,O,O,X,X,O,X,X,X,X,X,X
LISJOTZ,X,O,X,X,O,O,X,O,X,X,X,X
LISJOZT,X,O,X,X,O,O,X,X,X,X,X,X
LISZTJO,O,X,O,X,X,O,X,X,X,X,X,X
LISZTOJ,O,X,O,X,O,O,X,X,X,X,X,X
LISZJTO,O,X,O,X,X,O,O,O,X,X,X,X
LISZJOT,O,X,O,X,X,O,X,X,X,X,X,X
LISZOTJ,O,X,X,X,X,O,X,X,X,X,X,X
LISZOJT,O,X,O,X,O,X,X,X,X,X,X,X
LISOTJZ,X,X,X,X,O,O,X,X,X,X,X,X
LISOTZJ,X,X,X,X,O,O,X,X,X,X,X,X
LISOJTZ,X,O,X,X,O,O,X,O,X,X,X,X
LISOJZT,X,O,X,X,O,O,X,X,X,X,X,X
LISOZTJ,X,X,X,X,X,O,X,X,X,X,X,X
LISOZJT,X,X,O,X,O,O,X,X,X,X,X,X
LIZTJSO,O,X,O,X,X,O,O,X,X,X,X,X
LIZTJOS,X,X,O,X,X,O,O,X,X,X,X,X
LIZTSJO,O,X,O,X,X,O,X,X,X,X,X,X
LIZTSOJ,O,X,O,X,X,O,X,X,X,X,X,X
LIZTOJS,X,X,O,X,X,X,X,X,X,X,X,X
LIZTOSJ,X,X,O,X,X,O,X,X,X,X,X,X
LIZJTSO,O,X,O,X,X,O,O,X,X,X,X,X
LIZJTOS,X,X,O,X,X,O,O,X,X,X,X,X
LIZJSTO,O,X,O,X,X,O,O,O,X,X,X,X
LIZJSOT,O,X,O,X,X,O,X,X,X,X,X,X
LIZJOTS,X,X,X,X,X,O,O,X,X,X,X,X
LIZJOST,O,X,O,X,X,O,O,X,X,X,O,X
LIZSTJO,O,X,O,X,X,O,X,X,X,X,X,X
LIZSTOJ,O,X,O,X,O,O,X,X,X,X,O,X
LIZSJTO,O,X,O,X,X,O,O,X,X,X,X,X
LIZSJOT,O,X,O,X,X,O,X,X,X,X,X,X
LIZSOTJ,O,X,X,X,X,O,X,X,X,X,O,X
LIZSOJT,O,X,O,X,O,X,X,X,X,X,O,X
LIZOTJS,X,X,X,X,X,O,O,X,X,X,X,X
LIZOTSJ,X,X,X,X,X,O,X,X,X,X,X,X
LIZOJTS,X,X,X,X,X,O,O,X,X,X,X,X
LIZOJST,O,X,O,X,X,O,O,X,X,X,O,X
LIZOSTJ,O,X,X,X,X,O,X,X,X,X,O,X
LIZOSJT,O,X,X,X,X,O,O,X,X,X,O,X
LIOTJSZ,X,X,X,X,O,O,O,X,X,X,X,X
LIOTJZS,X,X,X,X,X,O,O,X,X,X,X,X
LIOTSJZ,X,X,X,X,O,O,O,X,X,X,X,X
LIOTSZJ,X,X,X,X,O,O,X,X,X,X,X,X
LIOTZJS,X,X,X,X,X,O,O,X,X,X,X,X
LIOTZSJ,X,X,X,X,X,O,X,X,X,X,X,X
LIOJTSZ,X,X,X,X,O,O,O,X,X,X,X,X
LIOJTZS,X,X,X,X,X,O,O,X,X,X,X,X
LIOJSTZ,X,X,X,X,O,O,O,O,X,X,X,X
LIOJSZT,X,X,X,X,O,O,O,X,X,X,X,X
LIOJZTS,X,X,X,X,X,O,O,X,X,X,X,X
LIOJZST,X,X,X,X,X,O,O,X,X,X,O,X
LIOSTJZ,X,X,X,X,O,O,O,X,X,X,X,X
LIOSTZJ,X,X,X,X,O,O,X,X,X,X,X,X
LIOSJTZ,X,X,X,X,O,O,O,X,X,X,X,X
LIOSJZT,X,X,X,X,O,O,O,X,X,X,X,X
LIOSZTJ,X,X,X,X,X,O,X,X,X,X,X,X
LIOSZJT,X,X,X,X,O,O,O,X,X,X,X,X
LIOZTJS,X,X,X,X,X,O,O,X,X,X,X,X
LIOZTSJ,X,X,X,X,X,O,X,X,X,X,X,X
LIOZJTS,X,X,X,X,X,O,O,X,X,X,X,X
LIOZJST,X,X,O,X,X,O,O,X,X,X,O,X
LIOZSTJ,X,X,X,X,X,O,X,X,X,X,O,X
LIOZSJT,X,X,X,X,X,O,O,X,X,X,O,X
LJTISZO,X,O,X,X,X,O,O,O,X,X,X,X
LJTISOZ,X,O,X,X,X,O,X,O,O,X,X,X
LJTIZSO,X,O,X,X,X,O,O,X,X,X,X,X
LJTIZOS,X,X,X,O,X,O,O,X,X,X,X,X
LJTIOSZ,X,X,X,O,X,O,X,O,O,X,X,X
LJTIOZS,X,X,X,O,X,O,O,X,X,X,X,X
LJTSIZO,O,O,O,X,X,O,X,O,X,X,X,X
LJTSIOZ,X,O,X,X,X,O,X,O,O,X,X,X
LJTSZIO,O,O,O,X,X,O,X,O,X,X,X,X
LJTSZOI,O,O,O,X,X,O,X,O,O,X,X,X
LJTSOIZ,O,O,O,X,X,O,X,O,O,X,X,X
LJTSOZI,O,O,O,X,X,O,X,O,O,X,X,X
LJTZISO,O,O,O,X,X,O,O,X,X,X,X,X
LJTZIOS,O,X,O,O,X,O,O,X,X,X,X,X
LJTZSIO,O,O,O,X,X,O,X,O,X,X,X,X
LJTZSOI,O,O,O,X,X,O,X,O,O,X,X,X
LJTZOIS,O,X,O,X,X,O,O,X,X,X,X,X
LJTZOSI,O,X,O,X,X,O,X,O,O,X,X,X
LJTOISZ,X,X,X,O,X,X,O,O,O,X,X,X
LJTOIZS,X,X,X,O,X,X,O,X,X,X,X,X
LJTOSIZ,O,X,O,O,X,X,X,O,O,X,X,X
LJTOSZI,O,X,O,O,X,X,X,O,O,X,X,X
LJTOZIS,O,X,O,O,X,X,O,X,X,X,X,X
LJTOZSI,O,X,O,O,X,X,X,O,O,X,X,X
LJITSZO,X,O,X,X,X,O,O,O,X,X,X,X
LJITSOZ,X,O,X,X,X,O,X,O,O,X,X,X
LJITZSO,X,O,X,X,X,O,O,X,X,X,X,X
LJITZOS,X,X,X,O,X,O,O,X,X,X,X,X
LJITOSZ,X,X,X,O,X,O,X,O,O,X,X,X
LJITOZS,X,X,X,O,X,O,O,X,X,X,X,X
LJISTZO,X,O,X,X,X,O,O,O,X,X,X,O
LJISTOZ,X,O,X,X,O,O,X,O,O,X,X,X
LJISZTO,X,O,X,X,X,O,O,O,X,X,X,O
LJISZOT,X,O,X,X,X,O,X,X,X,X,X,X
LJISOTZ,X,O,X,X,O,O,X,O,X,X,X,X
LJISOZT,X,O,X,X,O,O,X,X,X,X,X,X
LJIZTSO,O,X,O,X,X,O,O,X,X,X,X,X
LJIZTOS,X,X,X,O,X,O,O,X,X,X,X,X
LJIZSTO,O,O,O,X,X,O,O,O,X,X,X,O
LJIZSOT,O,O,O,X,X,O,X,X,X,X,X,X
LJIZOTS,X,X,X,O,X,O,O,X,X,X,X,X
LJIZOST,O,X,O,X,X,O,O,X,X,O,X,X
LJIOTSZ,X,O,X,O,X,O,O,X,X,X,X,X
LJIOTZS,X,O,X,O,X,O,O,X,X,X,X,X
LJIOSTZ,X,O,X,O,X,O,O,O,X,X,X,X
LJIOSZT,X,O,X,X,X,O,O,X,X,X,X,X
LJIOZTS,X,X,X,O,X,O,O,X,X,X,X,X
LJIOZST,X,O,X,X,X,O,O,X,X,O,X,X
LJSTIZO,O,O,O,X,X,O,X,O,X,X,X,O
LJSTIOZ,X,O,X,X,O,O,X,O,O,X,X,X
LJSTZIO,O,O,O,X,X,O,X,O,X,X,X,O
LJSTZOI,O,O,O,X,X,O,X,O,O,X,X,X
LJSTOIZ,O,O,O,X,O,O,X,O,O,X,X,X
LJSTOZI,O,O,O,X,O,O,X,O,O,X,X,X
LJSITZO,X,O,X,X,X,O,O,O,X,X,X,O
LJSITOZ,X,O,X,X,O,O,X,O,O,X,X,X
LJSIZTO,O,O,O,X,X,O,O,O,X,X,X,O
LJSIZOT,O,O,O,X,X,O,X,X,X,X,X,X
LJSIOTZ,X,O,X,X,O,O,X,O,X,X,X,X
LJSIOZT,X,O,X,X,O,O,X,X,X,X,X,X
LJSZTIO,O,O,O,X,X,O,X,O,X,X,X,X
LJSZTOI,O,O,O,X,X,O,X,O,O,X,X,X
LJSZITO,O,O,O,X,X,O,O,O,X,X,X,X
LJSZIOT,O,O,O,X,X,O,X,X,X,X,X,X
LJSZOTI,O,X,O,X,X,O,X,X,X,X,X,X
LJSZOIT,O,O,O,X,X,O,O,X,X,X,X,X
LJSOTIZ,X,O,X,X,O,O,X,O,O,X,X,X
LJSOTZI,X,O,X,X,X,O,X,O,O,X,X,X
LJSOITZ,X,O,X,X,O,O,O,O,X,X,X,X
LJSOIZT,X,O,X,X,O,O,O,X,X,X,X,X
LJSOZTI,X,O,X,X,X,O,X,X,X,X,X,X
LJSOZIT,X,O,X,X,O,O,O,X,X,X,X,X
LJZTISO,O,X,O,X,X,O,O,X,X,X,X,X
LJZTIOS,O,X,O,O,X,O,O,X,X,X,X,X
LJZTSIO,O,X,O,X,X,O,X,O,X,X,X,X
LJZTSOI,O,X,O,X,X,O,X,O,O,X,X,X
LJZTOIS,O,X,O,X,X,O,O,X,X,X,X,X
LJZTOSI,O,X,O,X,X,O,X,O,O,X,X,X
LJZITSO,O,X,O,X,X,O,O,X,X,X,X,X
LJZITOS,O,X,O,O,X,O,O,X,X,X,X,X
LJZISTO,O,O,O,X,X,O,O,O,X,X,X,X
LJZISOT,O,O,O,X,X,O,X,X,X,X,X,X
LJZIOTS,X,X,X,O,X,O,O,X,X,X,X,X
LJZIOST,O,X,O,X,X,O,O,X,X,O,X,X
LJZSTIO,O,O,O,X,X,O,X,O,X,X,X,X
LJZSTOI,O,O,O,X,X,O,X,O,O,X,X,X
LJZSITO,O,O,O,X,X,O,O,O,X,X,X,X
LJZSIOT,O,O,O,X,X,O,X,X,X,X,X,X
LJZSOTI,O,X,O,X,X,O,X,X,X,X,X,X
LJZSOIT,O,O,O,X,X,O,O,X,X,X,X,X
LJZOTIS,O,X,O,O,X,O,O,X,X,X,X,X
LJZOTSI,O,X,O,O,X,O,X,X,X,X,X,X
LJZOITS,X,X,X,O,X,O,O,X,X,X,X,X
LJZOIST,O,X,O,O,X,O,O,X,X,O,X,X
LJZOSTI,O,X,O,O,X,O,X,X,X,O,X,X
LJZOSIT,O,X,O,O,X,O,O,X,X,O,X,X
LJOTISZ,X,O,X,O,X,O,O,O,O,X,X,X
LJOTIZS,X,O,X,O,X,O,O,X,X,X,X,X
LJOTSIZ,X,O,X,O,X,O,X,O,O,X,X,X
LJOTSZI,X,O,X,O,X,O,X,O,O,X,X,X
LJOTZIS,X,O,X,O,X,O,O,X,X,X,X,X
LJOTZSI,X,O,X,O,X,O,X,O,O,X,X,X
LJOITSZ,X,O,X,O,X,O,O,X,X,X,X,X
LJOITZS,X,O,X,O,X,O,O,X,X,X,X,X
LJOISTZ,X,O,X,O,X,O,O,O,X,X,X,X
LJOISZT,X,O,X,X,X,O,O,X,X,X,X,X
LJOIZTS,X,X,X,O,X,O,O,X,X,X,X,X
LJOIZST,X,O,X,O,X,O,O,X,X,O,X,X
LJOSTIZ,X,O,X,O,X,O,X,O,O,X,X,X
LJOSTZI,X,O,X,O,X,O,X,O,O,X,X,X
LJOSITZ,X,O,X,O,X,O,O,O,X,X,X,X
LJOSIZT,X,O,X,X,X,O,O,X,X,X,X,X
LJOSZTI,X,O,X,O,X,O,X,X,X,X,X,X
LJOSZIT,X,O,X,O,X,O,O,X,X,X,X,X
LJOZTIS,X,X,X,O,X,O,O,X,X,X,X,X
LJOZTSI,X,X,X,O,X,O,X,X,X,X,X,X
LJOZITS,X,X,X,O,X,O,O,X,X,X,X,X
LJOZIST,X,O,X,O,X,O,O,X,X,O,X,X
LJOZSTI,X,O,X,O,X,O,X,X,X,O,X,X
LJOZSIT,X,O,X,O,X,O,O,X,X,O,X,X
LSTIJZO,O,O,O,X,X,O,O,O,X,X,X,X
LSTIJOZ,X,O,X,X,O,X,X,O,O,X,X,X
LSTIZJO,O,O,O,X,X,O,X,O,X,X,X,X
LSTIZOJ,O,O,O,X,O,O,X,X,X,X,X,X
LSTIOJZ,O,O,O,X,O,X,X,O,O,X,X,X
LSTIOZJ,X,X,O,X,O,O,X,O,X,X,X,X
LSTJIZO,O,O,O,X,X,O,X,O,X,X,X,X
LSTJIOZ,X,O,X,X,O,O,X,O,O,X,X,X
LSTJZIO,O,O,O,X,X,O,X,O,X,X,X,X
LSTJZOI,O,O,O,X,X,O,X,O,O,X,X,X
LSTJOIZ,O,O,O,X,O,O,X,O,O,X,X,X
LSTJOZI,O,O,O,X,O,O,X,O,O,X,X,X
LSTZIJO,O,O,O,X,X,O,X,O,X,X,X,X
LSTZIOJ,O,O,O,X,O,O,X,X,X,X,X,X
LSTZJIO,O,O,O,X,X,O,X,O,X,X,X,X
LSTZJOI,O,O,O,X,X,O,X,O,X,X,X,X
LSTZOIJ,O,O,O,X,O,O,X,O,X,X,X,X
LSTZOJI,O,O,O,X,O,O,X,O,X,X,X,X
LSTOIJZ,O,O,O,X,O,O,O,O,O,X,X,X
LSTOIZJ,X,X,O,X,O,O,X,O,X,X,X,X
LSTOJIZ,O,O,O,X,O,O,X,O,O,X,X,X
LSTOJZI,O,O,O,X,O,O,X,O,O,X,X,X
LSTOZIJ,X,O,O,X,O,O,X,O,X,X,X,X
LSTOZJI,X,O,O,X,O,O,X,O,X,X,X,X
LSITJZO,O,O,O,X,X,O,O,O,X,X,X,X
LSITJOZ,X,O,X,X,O,X,X,O,O,X,X,X
LSITZJO,O,O,O,X,X,O,X,O,X,X,X,X
LSITZOJ,O,O,O,X,O,O,X,X,X,X,X,X
LSITOJZ,O,O,O,X,O,X,X,O,O,X,X,X
LSITOZJ,X,X,O,X,O,O,X,O,X,X,X,X
LSIJTZO,X,O,X,X,X,O,O,O,X,X,X,X
LSIJTOZ,X,O,X,X,O,O,X,O,O,X,X,X
LSIJZTO,O,O,O,X,X,O,O,O,X,X,X,X
LSIJZOT,O,O,O,X,X,O,X,X,X,X,X,X
LSIJOTZ,X,O,X,X,O,O,X,O,X,X,X,X
LSIJOZT,X,O,X,X,O,O,X,X,X,X,X,X
LSIZTJO,O,X,O,X,X,O,X,X,X,X,X,X
LSIZTOJ,O,X,O,X,O,O,X,X,X,X,X,X
LSIZJTO,O,X,O,X,X,O,O,O,X,X,X,X
LSIZJOT,O,X,O,X,X,O,X,X,X,X,X,X
LSIZOTJ,O,X,X,X,X,O,X,X,X,X,X,X
LSIZOJT,O,X,O,X,O,X,X,X,X,X,X,X
LSIOTJZ,X,X,X,X,O,O,X,X,X,X,X,X
LSIOTZJ,X,X,X,X,O,O,X,X,X,X,X,X
LSIOJTZ,X,O,X,X,O,O,X,O,X,X,X,X
LSIOJZT,X,O,X,X,O,O,X,X,X,X,X,X
LSIOZTJ,X,X,X,X,X,O,X,X,X,X,X,X
LSIOZJT,X,X,O,X,O,O,X,X,X,X,X,X
LSJTIZO,O,O,O,X,X,O,X,O,X,X,X,O
LSJTIOZ,X,O,X,X,O,O,X,O,O,X,X,X
LSJTZIO,O,O,O,X,X,O,X,O,X,X,X,O
LSJTZOI,O,O,O,X,X,O,X,O,O,X,X,X
LSJTOIZ,O,O,O,X,O,O,X,O,O,X,X,X
LSJTOZI,O,O,O,X,O,O,X,O,O,X,X,X
LSJITZO,X,O,X,X,X,O,O,O,X,X,X,O
LSJITOZ,X,O,X,X,O,O,X,O,O,X,X,X
LSJIZTO,O,O,O,X,X,O,O,O,X,X,X,O
LSJIZOT,O,O,O,X,X,O,X,X,X,X,X,X
LSJIOTZ,X,O,X,X,O,O,X,O,X,X,X,X
LSJIOZT,X,O,X,X,O,O,X,X,X,X,X,X
LSJZTIO,O,O,O,X,X,O,X,O,X,X,X,X
LSJZTOI,O,O,O,X,X,O,X,O,O,X,X,X
LSJZITO,O,O,O,X,X,O,O,O,X,X,X,X
LSJZIOT,O,O,O,X,X,O,X,X,X,X,X,X
LSJZOTI,O,X,O,X,X,O,X,X,X,X,X,X
LSJZOIT,O,O,O,X,X,O,O,X,X,X,X,X
LSJOTIZ,X,O,X,X,O,O,X,O,O,X,X,X
LSJOTZI,X,O,X,X,X,O,X,O,O,X,X,X
LSJOITZ,X,O,X,X,O,O,O,O,X,X,X,X
LSJOIZT,X,O,X,X,O,O,O,X,X,X,X,X
LSJOZTI,X,O,X,X,X,O,X,X,X,X,X,X
LSJOZIT,X,O,X,X,O,O,O,X,X,X,X,X
LSZTIJO,O,O,O,X,X,O,X,O,X,X,X,X
LSZTIOJ,O,O,O,X,O,O,X,X,X,X,X,X
LSZTJIO,O,O,O,X,X,O,X,O,X,X,X,X
LSZTJOI,O,O,O,X,X,O,X,O,X,X,X,X
LSZTOIJ,O,O,O,X,O,O,X,O,X,X,X,X
LSZTOJI,O,O,O,X,O,O,X,O,X,X,X,X
LSZITJO,O,X,O,X,X,O,X,X,X,X,X,X
LSZITOJ,O,X,O,X,O,O,X,X,X,X,X,X
LSZIJTO,O,X,O,X,X,O,O,O,X,X,X,X
LSZIJOT,O,X,O,X,X,O,X,X,X,X,X,X
LSZIOTJ,O,X,X,X,X,O,X,X,X,X,X,X
LSZIOJT,O,X,O,X,O,X,X,X,X,X,X,X
LSZJTIO,O,O,O,X,X,O,X,O,X,X,X,X
LSZJTOI,O,O,O,X,X,O,X,O,X,X,X,X
LSZJITO,O,O,O,X,X,O,O,O,X,X,X,X
LSZJIOT,O,O,O,X,X,O,X,X,X,X,X,X
LSZJOTI,O,X,O,X,X,O,X,X,X,X,X,X
LSZJOIT,O,O,O,X,X,O,O,X,X,X,X,X
LSZOTIJ,O,X,O,X,X,O,X,X,X,X,X,X
LSZOTJI,O,X,O,X,X,O,X,X,X,X,X,X
LSZOITJ,O,X,X,X,X,O,X,X,X,X,X,X
LSZOIJT,O,X,O,X,O,O,O,X,X,X,X,X
LSZOJTI,O,X,O,X,X,O,X,X,X,X,X,X
LSZOJIT,O,O,O,X,O,O,O,X,X,X,X,X
LSOTIJZ,X,O,O,X,O,O,O,O,X,X,X,X
LSOTIZJ,X,X,O,X,O,O,X,O,X,X,X,X
LSOTJIZ,X,O,O,X,O,O,X,O,X,X,X,X
LSOTJZI,X,O,O,X,O,O,X,O,X,X,X,X
LSOTZIJ,X,O,O,X,O,O,X,O,X,X,X,X
LSOTZJI,X,O,O,X,O,O,X,O,X,X,X,X
LSOITJZ,X,X,X,X,O,O,O,X,X,X,X,X
LSOITZJ,X,X,X,X,O,O,X,X,X,X,X,X
LSOIJTZ,X,O,X,X,O,O,O,O,X,X,X,X
LSOIJZT,X,O,X,X,O,O,O,X,X,X,X,X
LSOIZTJ,X,X,X,X,X,O,X,X,X,X,X,X
LSOIZJT,X,X,O,X,O,O,O,X,X,X,X,X
LSOJTIZ,X,O,X,X,O,O,X,O,X,X,X,X
LSOJTZI,X,O,X,X,X,O,X,O,X,X,X,X
LSOJITZ,X,O,X,X,O,O,O,O,X,X,X,X
LSOJIZT,X,O,X,X,O,O,O,X,X,X,X,X
LSOJZTI,X,O,X,X,X,O,X,X,X,X,X,X
LSOJZIT,X,O,X,X,O,O,O,X,X,X,X,X
LSOZTIJ,X,O,O,X,X,O,X,X,X,X,X,X
LSOZTJI,X,O,O,X,X,O,X,X,X,X,X,X
LSOZITJ,X,O,X,X,X,O,X,X,X,X,X,X
LSOZIJT,X,O,O,X,O,O,O,X,X,X,X,X
LSOZJTI,X,O,O,X,X,O,X,X,X,X,X,X
LSOZJIT,X,O,O,X,O,O,O,X,X,X,X,X
LZTIJSO,O,X,O,X,X,O,O,X,X,X,X,X
LZTIJOS,O,X,O,O,X,O,O,X,X,X,X,X
LZTISJO,O,X,O,X,X,O,X,X,X,X,X,X
LZTISOJ,O,X,O,X,X,O,X,X,X,X,X,X
LZTIOJS,X,X,O,O,X,X,X,X,X,X,X,X
LZTIOSJ,X,X,O,O,X,O,X,X,X,X,X,X
LZTJISO,O,X,O,X,X,O,O,X,X,X,X,X
LZTJIOS,O,X,O,O,X,O,O,X,X,X,X,X
LZTJSIO,O,X,O,X,X,O,X,O,X,X,X,X
LZTJSOI,O,X,O,X,X,O,X,O,X,X,X,X
LZTJOIS,O,X,O,X,X,O,O,X,X,X,X,X
LZTJOSI,O,X,O,X,X,O,X,O,X,X,X,X
LZTSIJO,O,X,O,X,X,O,X,O,X,X,X,X
LZTSIOJ,O,X,O,X,X,O,X,X,X,X,X,X
LZTSJIO,O,X,O,X,X,O,X,O,X,X,X,X
LZTSJOI,O,X,O,X,X,O,X,O,X,X,X,X
LZTSOIJ,O,X,O,X,X,O,X,O,X,X,X,X
LZTSOJI,O,X,O,X,X,O,X,O,X,X,X,X
LZTOIJS,X,X,O,X,X,O,O,X,X,X,X,X
LZTOISJ,X,X,O,X,X,O,X,X,X,X,X,X
LZTOJIS,O,X,O,X,X,O,O,X,X,X,X,X
LZTOJSI,O,X,O,X,X,O,X,O,X,X,X,X
LZTOSIJ,O,X,O,X,X,O,X,O,X,X,X,X
LZTOSJI,O,X,O,X,X,O,X,O,X,X,X,X
LZITJSO,O,X,O,X,X,O,O,X,X,X,X,X
LZITJOS,O,X,O,O,X,O,O,X,X,X,X,X
LZITSJO,O,X,O,X,X,O,X,X,X,X,X,X
LZITSOJ,O,X,O,X,X,O,X,X,X,X,X,X
LZITOJS,X,X,O,O,X,X,X,X,X,X,X,X
LZITOSJ,X,X,O,O,X,O,X,X,X,X,X,X
LZIJTSO,O,X,O,X,X,O,O,X,X,X,X,X
LZIJTOS,O,X,O,X,X,O,O,X,X,X,X,X
LZIJSTO,O,X,O,X,X,O,O,O,X,X,X,X
LZIJSOT,O,X,O,X,X,O,X,X,X,X,X,X
LZIJOTS,X,X,X,X,X,O,O,X,X,X,X,X
LZIJOST,O,X,O,X,X,O,O,X,X,X,O,X
LZISTJO,O,X,O,X,X,O,X,X,X,X,X,X
LZISTOJ,O,X,O,X,O,O,X,X,X,X,O,X
LZISJTO,O,X,O,X,X,O,O,X,X,X,X,X
LZISJOT,O,X,O,X,X,O,X,X,X,X,X,X
LZISOTJ,O,X,X,X,X,O,X,X,X,X,O,X
LZISOJT,O,X,O,X,O,X,X,X,X,X,O,X
LZIOTJS,X,X,X,O,X,O,O,X,X,X,X,X
LZIOTSJ,X,X,X,O,X,O,X,X,X,X,X,X
LZIOJTS,X,X,X,X,X,O,O,X,X,X,X,X
LZIOJST,O,X,O,X,X,O,O,X,X,X,O,X
LZIOSTJ,O,X,X,X,X,O,X,X,X,X,O,X
LZIOSJT,O,X,X,X,X,O,O,X,X,X,O,X
LZJTISO,O,X,O,X,X,O,O,X,X,X,X,X
LZJTIOS,O,X,O,O,X,O,O,X,X,X,X,X
LZJTSIO,O,X,O,X,X,O,X,O,X,X,X,X
LZJTSOI,O,X,O,X,X,O,X,O,X,X,X,X
LZJTOIS,O,X,O,X,X,O,O,X,X,X,X,X
LZJTOSI,O,X,O,X,X,O,X,O,X,X,X,X
LZJITSO,O,X,O,X,X,O,O,X,X,X,X,X
LZJITOS,O,X,O,O,X,O,O,X,X,X,X,X
LZJISTO,O,O,O,X,X,O,O,O,X,X,X,X
LZJISOT,O,O,O,X,X,O,X,X,X,X,X,X
LZJIOTS,X,X,X,O,X,O,O,X,X,X,X,X
LZJIOST,O,X,O,X,X,O,O,X,X,O,X,X
LZJSTIO,O,O,O,X,X,O,X,O,X,X,X,X
LZJSTOI,O,O,O,X,X,O,X,O,X,X,X,X
LZJSITO,O,O,O,X,X,O,O,O,X,X,X,X
LZJSIOT,O,O,O,X,X,O,X,X,X,X,X,X
LZJSOTI,O,X,O,X,X,O,X,X,X,X,X,X
LZJSOIT,O,O,O,X,X,O,O,X,X,X,X,X
LZJOTIS,O,X,O,O,X,O,O,X,X,X,X,X
LZJOTSI,O,X,O,O,X,O,X,X,X,X,X,X
LZJOITS,X,X,X,O,X,O,O,X,X,X,X,X
LZJOIST,O,X,O,O,X,O,O,X,X,O,X,X
LZJOSTI,O,X,O,O,X,O,X,X,X,O,X,X
LZJOSIT,O,X,O,O,X,O,O,X,X,O,X,X
