sequence,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBFnB0rBirB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxdB?lhB3iB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBxdB?lhB3iBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxdBTfB?lhB3iBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeO/IvhF8fBTcB?xdBliB3mBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8JeK/IvhFzaBxcB?XeBVnB0mB2wB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFxcBXeB?TfBVnBirB0rB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Je2/IvhFxdB0hB?liB3fBTmBywB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jei6IvhFxdB3fB?0hBliBmrBTrB,v115@2gA8IeA8EeA8BeC8CeF8CeG8CeC8Jem6IvhFXeBTfB?UiBqrBZmBFsB
LSZIOTJ,X,O,O,O,O,O,X,X,X,O
LSZIOJT,O,O,O,O,O,O,O,X,X,O
LSZJTIO,O,O,O,X,O,O,O,O,O,X
LSZJTOI,X,O,O,X,O,O,X,O,O,X
LSZJITO,O,O,O,X,O,X,O,X,O,X
LSZJIOT,O,O,O,X,O,O,O,X,X,X
LSZJOTI,X,O,O,X,O,O,X,X,O,O
LSZJOIT,X,O,O,X,O,O,X,X,X,O
LSZOTIJ,O,O,O,O,O,O,O,X,O,O
LSZOTJI,O,O,O,O,O,O,O,X,O,O
LSZOITJ,X,O,O,O,O,O,X,X,X,O
LSZOIJT,O,O,O,O,O,O,O,X,X,O
LSZOJTI,O,O,O,O,O,O,O,X,X,O
LSZOJIT,O,O,O,O,O,O,O,X,X,O
LSOTIJZ,O,O,X,O,O,O,O,X,X,X
LSOTIZJ,X,O,O,O,O,O,O,X,O,X
LSOTJIZ,O,O,X,O,O,O,O,X,X,X
LSOTJZI,O,O,X,O,O,O,O,X,X,O
LSOTZIJ,O,O,O,O,O,O,O,X,O,O
LSOTZJI,O,O,O,O,O,O,O,X,O,O
LSOITJZ,X,O,X,O,O,O,O,X,X,X
LSOITZJ,X,O,O,O,O,O,O,X,O,X
LSOIJTZ,O,O,X,O,X,O,O,X,O,X
LSOIJZT,O,O,X,O,O,O,O,X,X,O
LSOIZTJ,X,O,O,O,O,O,X,X,X,O
LSOIZJT,X,O,O,O,O,O,O,X,X,O
LSOJTIZ,O,O,X,O,O,O,O,X,O,X
LSOJTZI,O,O,X,O,O,O,O,X,O,O
LSOJITZ,O,O,X,O,X,O,O,X,O,X
LSOJIZT,O,O,X,O,O,O,O,X,X,O
LSOJZTI,O,O,X,O,O,O,O,X,O,O
LSOJZIT,O,O,X,O,O,O,O,X,X,O
LSOZTIJ,O,O,O,O,O,O,O,X,O,O
LSOZTJI,O,O,O,O,O,O,O,X,O,O
LSOZITJ,X,O,O,O,O,O,X,X,X,O
LSOZIJT,O,O,O,O,O,O,O,X,X,O
LSOZJTI,O,O,O,O,O,O,O,X,X,O
LSOZJIT,O,O,O,O,O,O,O,X,X,O
LZTIJSO,X,X,O,X,O,X,O,O,X,X
LZTIJOS,X,X,X,X,O,X,X,O,X,X
LZTISJO,X,X,O,X,O,X,O,O,O,X
LZTISOJ,X,X,O,X,O,O,O,X,O,X
LZTIOJS,X,X,X,X,O,X,O,O,X,X
LZTIOSJ,X,X,X,X,O,O,O,X,X,X
LZTJISO,X,X,O,X,O,O,O,O,X,X
LZTJIOS,X,X,X,X,O,O,X,O,X,X
LZTJSIO,O,X,O,X,O,O,O,O,X,X
LZTJSOI,X,X,O,X,O,O,X,O,X,X
LZTJOIS,X,X,X,X,O,O,X,O,X,X
LZTJOSI,X,X,O,X,O,O,X,O,X,X
LZTSIJO,O,X,O,X,O,X,O,O,O,X
LZTSIOJ,O,O,O,O,O,O,O,X,O,X
LZTSJIO,O,X,O,X,O,O,O,O,O,X
LZTSJOI,X,X,O,X,O,O,X,O,O,X
LZTSOIJ,O,O,O,O,O,O,O,X,O,O
LZTSOJI,O,O,O,O,O,O,O,X,O,O
LZTOIJS,O,X,X,X,O,X,O,O,X,O
LZTOISJ,O,X,X,X,O,O,O,X,X,O
LZTOJIS,O,X,X,X,O,O,O,O,X,O
LZTOJSI,O,X,O,O,O,O,O,O,X,O
LZTOSIJ,O,O,O,O,O,O,O,X,X,O
LZTOSJI,O,O,O,O,O,O,O,X,X,O
LZITJSO,X,X,O,X,O,X,X,O,X,X
LZITJOS,X,X,X,X,O,X,X,O,X,X
LZITSJO,X,X,O,X,O,X,X,O,X,X
LZITSOJ,X,X,O,X,O,X,X,X,X,X
LZITOJS,X,X,X,X,O,X,X,O,X,X
LZITOSJ,X,X,X,X,O,X,X,X,X,X
LZIJTSO,X,X,O,X,O,X,X,O,X,X
LZIJTOS,X,X,X,X,O,X,X,O,X,X
LZIJSTO,X,O,O,X,O,X,X,X,X,X
LZIJSOT,X,O,O,X,O,X,X,X,X,X
LZIJOTS,X,X,X,X,O,X,X,X,X,X
LZIJOST,X,O,O,X,O,X,X,X,X,X
LZISTJO,X,X,O,X,O,X,X,X,X,X
LZISTOJ,X,O,O,O,O,X,X,X,X,X
LZISJTO,X,O,O,X,O,X,X,X,X,X
LZISJOT,X,O,O,X,O,X,X,X,X,X
LZISOTJ,X,O,O,O,O,X,X,X,X,O
LZISOJT,X,O,O,O,O,X,X,X,X,O
LZIOTJS,X,X,X,X,O,X,X,X,X,O
LZIOTSJ,X,X,X,X,O,X,X,X,X,O
LZIOJTS,X,X,X,X,O,X,X,X,X,O
LZIOJST,X,O,O,O,O,X,X,X,X,O
LZIOSTJ,X,O,O,O,O,X,X,X,X,O
LZIOSJT,X,O,O,O,O,X,X,X,X,O
LZJTISO,X,X,O,X,O,O,O,O,X,X
LZJTIOS,X,X,X,X,O,O,X,O,X,X
LZJTSIO,O,O,O,X,O,O,O,O,X,X
LZJTSOI,X,O,O,X,O,O,X,O,X,X
LZJTOIS,X,X,X,X,O,O,X,O,X,X
LZJTOSI,X,O,O,X,O,O,X,O,X,X
LZJITSO,X,X,O,X,O,X,X,O,X,X
LZJITOS,X,X,X,X,O,X,X,O,X,X
LZJISTO,X,O,O,X,O,X,X,X,X,X
LZJISOT,X,O,O,X,O,X,X,X,X,X
LZJIOTS,X,X,X,X,O,X,X,X,X,X
LZJIOST,X,O,O,X,O,X,X,X,X,X
LZJSTIO,O,O,O,X,O,O,O,O,X,X
LZJSTOI,X,O,O,X,O,O,X,O,X,X
LZJSITO,O,O,O,X,O,X,O,X,X,X
LZJSIOT,O,O,O,X,O,O,O,X,X,X
LZJSOTI,X,O,O,X,O,O,X,X,X,O
LZJSOIT,X,O,O,X,O,O,X,X,X,O
LZJOTIS,X,X,X,X,O,O,X,O,X,O
LZJOTSI,X,O,O,X,O,O,X,O,X,O
LZJOITS,X,X,X,X,O,X,X,X,X,O
LZJOIST,X,O,O,X,O,X,X,X,X,O
LZJOSTI,X,O,O,X,O,O,X,X,X,O
LZJOSIT,X,O,O,X,O,O,X,X,X,O
LZSTIJO,O,X,O,X,O,X,O,O,O,X
LZSTIOJ,O,O,O,O,O,O,O,X,O,X
LZSTJIO,O,X,O,X,O,O,O,O,O,X
LZSTJOI,X,X,O,X,O,O,X,O,O,X
LZSTOIJ,O,O,O,O,O,O,O,X,O,O
LZSTOJI,O,O,O,O,O,O,O,X,O,O
LZSITJO,X,X,O,X,O,X,X,X,O,X
LZSITOJ,X,O,O,O,O,X,X,X,O,X
LZSIJTO,O,O,O,X,O,X,O,X,X,X
LZSIJOT,O,O,O,X,O,X,O,X,X,X
LZSIOTJ,X,O,O,O,O,O,X,X,X,O
LZSIOJT,O,O,O,O,O,O,O,X,X,O
LZSJTIO,O,O,O,X,O,O,O,O,O,X
LZSJTOI,X,O,O,X,O,O,X,O,O,X
LZSJITO,O,O,O,X,O,X,O,X,X,X
LZSJIOT,O,O,O,X,O,O,O,X,X,X
LZSJOTI,X,O,O,X,O,O,X,X,X,O
LZSJOIT,X,O,O,X,O,O,X,X,X,O
LZSOTIJ,O,O,O,O,O,O,O,X,O,O
LZSOTJI,O,O,O,O,O,O,O,X,O,O
LZSOITJ,X,O,O,O,O,O,X,X,X,O
LZSOIJT,O,O,O,O,O,O,O,X,X,O
LZSOJTI,O,O,O,O,O,O,O,X,X,O
LZSOJIT,O,O,O,O,O,O,O,X,X,O
LZOTIJS,O,X,X,X,O,X,O,O,X,O
LZOTISJ,O,X,X,X,O,O,O,X,X,O
LZOTJIS,O,X,X,X,O,O,O,O,X,O
LZOTJSI,O,X,O,O,O,O,O,O,X,O
LZOTSIJ,O,O,O,O,O,O,O,X,X,O
LZOTSJI,O,O,O,O,O,O,O,X,X,O
LZOITJS,X,X,X,X,O,X,X,X,X,O
LZOITSJ,X,X,X,X,O,X,X,X,X,O
LZOIJTS,X,X,X,X,O,X,X,X,X,O
LZOIJST,X,O,O,O,O,X,X,X,X,O
LZOISTJ,X,O,O,O,O,X,X,X,X,O
LZOISJT,X,O,O,O,O,X,X,X,X,O
LZOJTIS,O,X,X,X,O,O,O,O,X,O
LZOJTSI,O,O,O,O,O,O,O,O,X,O
LZOJITS,X,X,X,X,O,X,X,X,X,O
LZOJIST,X,O,O,O,O,X,X,X,X,O
LZOJSTI,O,O,O,O,O,O,O,X,X,O
LZOJSIT,O,O,O,O,O,O,O,X,X,O
LZOSTIJ,O,O,O,O,O,O,O,X,X,O
LZOSTJI,O,O,O,O,O,O,O,X,X,O
LZOSITJ,X,O,O,O,O,O,X,X,X,O
LZOSIJT,O,O,O,O,O,O,O,X,X,O
LZOSJTI,O,O,O,O,O,O,O,X,X,O
LZOSJIT,O,O,O,O,O,O,O,X,X,O
LOTIJSZ,X,O,X,O,X,O,O,X,X,X
LOTIJZS,X,X,X,X,O,O,O,O,X,X
LOTISJZ,X,O,X,O,O,O,O,X,X,X
LOTISZJ,X,O,X,O,O,O,O,X,X,X
LOTIZJS,X,X,X,X,O,X,O,O,X,X
LOTIZSJ,X,X,X,X,O,O,O,X,X,X
LOTJISZ,X,O,X,O,X,O,O,X,X,X
LOTJIZS,X,X,X,X,O,O,O,O,X,X
LOTJSIZ,O,O,X,O,X,O,O,X,X,X
LOTJSZI,O,O,X,O,X,O,O,X,X,O
LOTJZIS,O,X,X,X,O,O,O,O,X,O
LOTJZSI,O,O,X,O,O,O,O,O,X,O
LOTSIJZ,O,O,X,O,O,O,O,X,X,X
LOTSIZJ,X,O,O,O,O,O,O,X,X,X
LOTSJIZ,O,O,X,O,O,O,O,X,X,X
LOTSJZI,O,O,X,O,O,O,O,X,X,O
LOTSZIJ,O,O,O,O,O,O,O,X,X,O
LOTSZJI,O,O,O,O,O,O,O,X,X,O
LOTZIJS,O,X,X,X,O,X,O,O,X,O
LOTZISJ,O,X,X,X,O,O,O,X,X,O
LOTZJIS,O,X,X,X,O,O,O,O,X,O
LOTZJSI,O,X,O,O,O,O,O,O,X,O
LOTZSIJ,O,O,O,O,O,O,O,X,X,O
LOTZSJI,O,O,O,O,O,O,O,X,X,O
LOITJSZ,X,O,X,O,X,O,O,X,X,X
LOITJZS,X,X,X,X,O,O,O,O,X,X
LOITSJZ,X,O,X,O,O,O,O,X,X,X
LOITSZJ,X,O,X,O,O,O,O,X,X,X
LOITZJS,X,X,X,X,O,X,O,O,X,X
LOITZSJ,X,X,X,X,O,O,O,X,X,X
LOIJTSZ,X,O,X,O,X,O,O,X,X,X
LOIJTZS,X,X,X,X,X,O,O,O,X,X
LOIJSTZ,X,O,X,O,X,O,O,X,X,X
LOIJSZT,X,O,X,O,X,O,O,X,X,O
LOIJZTS,X,X,X,X,O,X,X,X,X,O
LOIJZST,X,O,X,O,O,X,X,X,X,O
LOISTJZ,X,O,X,O,X,O,O,X,X,X
LOISTZJ,X,O,O,O,O,O,O,X,X,X
LOISJTZ,X,O,X,O,X,O,O,X,X,X
LOISJZT,X,O,X,O,O,O,O,X,X,O
LOISZTJ,X,O,O,O,O,O,X,X,X,O
LOISZJT,X,O,O,O,O,O,O,X,X,O
LOIZTJS,X,X,X,X,O,X,X,X,X,O
LOIZTSJ,X,X,X,X,O,X,X,X,X,O
LOIZJTS,X,X,X,X,O,X,X,X,X,O
LOIZJST,X,O,O,O,O,X,X,X,X,O
LOIZSTJ,X,O,O,O,O,X,X,X,X,O
LOIZSJT,X,O,O,O,O,X,X,X,X,O
LOJTISZ,X,O,X,O,X,O,O,X,X,X
LOJTIZS,X,X,X,X,O,O,O,O,X,X
LOJTSIZ,O,O,X,O,X,O,O,X,X,X
LOJTSZI,O,O,X,O,X,O,O,X,X,O
LOJTZIS,O,X,X,X,O,O,O,O,X,O
LOJTZSI,O,O,X,O,O,O,O,O,X,O
LOJITSZ,X,O,X,O,X,O,O,X,X,X
LOJITZS,X,X,X,X,X,O,O,O,X,X
LOJISTZ,X,O,X,O,X,O,O,X,X,X
LOJISZT,X,O,X,O,X,O,O,X,X,O
LOJIZTS,X,X,X,X,O,X,X,X,X,O
LOJIZST,X,O,X,O,O,X,X,X,X,O
LOJSTIZ,O,O,X,O,X,O,O,X,X,X
LOJSTZI,O,O,X,O,X,O,O,X,X,O
LOJSITZ,O,O,X,O,X,O,O,X,X,X
LOJSIZT,O,O,X,O,X,O,O,X,X,O
LOJSZTI,O,O,X,O,X,O,O,X,X,O
LOJSZIT,O,O,X,O,X,O,O,X,X,O
LOJZTIS,O,X,X,X,O,O,O,O,X,O
LOJZTSI,O,O,X,O,O,O,O,O,X,O
LOJZITS,X,X,X,X,O,X,X,X,X,O
LOJZIST,X,O,X,O,O,X,X,X,X,O
LOJZSTI,O,O,X,O,O,O,O,X,X,O
LOJZSIT,O,O,X,O,O,O,O,X,X,O
LOSTIJZ,O,O,X,O,O,O,O,X,X,X
LOSTIZJ,X,O,O,O,O,O,O,X,X,X
LOSTJIZ,O,O,X,O,O,O,O,X,X,X
LOSTJZI,O,O,X,O,O,O,O,X,X,O
LOSTZIJ,O,O,O,O,O,O,O,X,X,O
LOSTZJI,O,O,O,O,O,O,O,X,X,O
LOSITJZ,X,O,X,O,O,O,O,X,X,X
LOSITZJ,X,O,O,O,O,O,O,X,X,X
LOSIJTZ,O,O,X,O,X,O,O,X,X,X
LOSIJZT,O,O,X,O,O,O,O,X,X,O
LOSIZTJ,X,O,O,O,O,O,X,X,X,O
LOSIZJT,X,O,O,O,O,O,O,X,X,O
LOSJTIZ,O,O,X,O,O,O,O,X,X,X
LOSJTZI,O,O,X,O,O,O,O,X,X,O
LOSJITZ,O,O,X,O,X,O,O,X,X,X
LOSJIZT,O,O,X,O,O,O,O,X,X,O
LOSJZTI,O,O,X,O,O,O,O,X,X,O
LOSJZIT,O,O,X,O,O,O,O,X,X,O
LOSZTIJ,O,O,O,O,O,O,O,X,X,O
LOSZTJI,O,O,O,O,O,O,O,X,X,O
LOSZITJ,X,O,O,O,O,O,X,X,X,O
LOSZIJT,O,O,O,O,O,O,O,X,X,O
LOSZJTI,O,O,O,O,O,O,O,X,X,O
LOSZJIT,O,O,O,O,O,O,O,X,X,O
LOZTIJS,O,X,X,X,O,X,O,O,X,O
LOZTISJ,O,X,X,X,O,O,O,X,X,O
LOZTJIS,O,X,X,X,O,O,O,O,X,O
LOZTJSI,O,X,O,O,O,O,O,O,X,O
LOZTSIJ,O,O,O,O,O,O,O,X,X,O
LOZTSJI,O,O,O,O,O,O,O,X,X,O
LOZITJS,X,X,X,X,O,X,X,X,X,O
LOZITSJ,X,X,X,X,O,X,X,X,X,O
LOZIJTS,X,X,X,X,O,X,X,X,X,O
LOZIJST,X,O,O,O,O,X,X,X,X,O
LOZISTJ,X,O,O,O,O,X,X,X,X,O
LOZISJT,X,O,O,O,O,X,X,X,X,O
LOZJTIS,O,X,X,X,O,O,O,O,X,O
LOZJTSI,O,O,O,O,O,O,O,O,X,O
LOZJITS,X,X,X,X,O,X,X,X,X,O
LOZJIST,X,O,O,O,O,X,X,X,X,O
LOZJSTI,O,O,O,O,O,O,O,X,X,O
LOZJSIT,O,O,O,O,O,O,O,X,X,O
LOZSTIJ,O,O,O,O,O,O,O,X,X,O
LOZSTJI,O,O,O,O,O,O,O,X,X,O
LOZSITJ,X,O,O,O,O,O,X,X,X,O
LOZSIJT,O,O,O,O,O,O,O,X,X,O
LOZSJTI,O,O,O,O,O,O,O,X,X,O
LOZSJIT,O,O,O,O,O,O,O,X,X,O
JTILSZO,X,O,X,X,O,O,X,O,O,X
JTILSOZ,X,O,X,X,O,O,O,X,O,X
JTILZSO,X,X,X,X,O,O,X,O,O,X
JTILZOS,X,X,X,X,O,O,X,O,X,X
JTILOSZ,X,O,X,X,X,O,X,X,X,X
JTILOZS,X,X,X,X,O,O,X,O,X,X
JTISLZO,X,O,X,X,X,O,X,O,O,X
JTISLOZ,O,O,X,X,X,O,O,X,O,X
JTISZLO,X,O,X,X,X,O,X,O,O,X
JTISZOL,O,X,X,X,X,X,O,O,O,X
JTISOLZ,O,O,X,X,X,O,O,X,O,X
JTISOZL,O,X,X,X,X,X,O,X,O,X
JTIZLSO,X,X,X,X,O,O,X,O,O,X
JTIZLOS,X,X,X,X,O,O,X,O,X,X
JTIZSLO,X,X,X,X,O,O,X,O,O,X
JTIZSOL,X,X,X,X,O,X,O,O,O,X
JTIZOLS,X,X,X,X,O,X,X,X,X,X
JTIZOSL,X,X,X,X,O,X,X,O,O,X
JTIOLSZ,X,X,X,X,X,O,O,X,X,X
JTIOLZS,X,X,X,X,X,O,X,O,X,X
JTIOSLZ,X,X,X,X,X,O,O,X,O,X
JTIOSZL,X,X,X,X,X,X,O,X,O,X
JTIOZLS,X,X,X,X,O,X,X,X,X,X
JTIOZSL,X,X,X,X,O,X,O,O,O,X
JTLISZO,X,O,X,X,O,O,O,O,O,X
JTLISOZ,X,O,X,X,O,O,O,X,O,X
JTLIZSO,X,X,X,X,O,O,O,O,O,X
JTLIZOS,X,X,X,X,O,O,X,O,X,X
JTLIOSZ,X,O,X,X,X,O,O,X,X,X
JTLIOZS,X,X,X,X,O,O,X,O,X,X
JTLSIZO,X,O,X,X,O,O,O,O,O,X
JTLSIOZ,O,O,X,X,O,O,O,X,O,X
JTLSZIO,X,O,X,X,O,O,O,O,O,X
JTLSZOI,X,O,X,X,O,O,X,O,O,X
JTLSOIZ,X,O,X,X,O,O,O,X,O,X
JTLSOZI,X,O,X,X,O,O,X,X,O,X
JTLZISO,X,X,X,X,O,O,O,O,O,X
JTLZIOS,X,X,X,X,O,O,X,O,X,X
JTLZSIO,X,O,X,X,O,O,O,O,O,X
JTLZSOI,X,O,X,X,O,O,X,O,O,X
JTLZOIS,X,X,X,X,O,O,X,O,X,X
JTLZOSI,X,O,X,X,O,O,X,O,X,X
JTLOISZ,X,O,X,X,X,O,O,X,X,X
JTLOIZS,X,X,X,X,O,O,X,O,X,X
JTLOSIZ,X,O,X,X,X,O,O,X,X,X
JTLOSZI,X,O,X,X,X,O,X,X,X,X
JTLOZIS,X,X,X,X,O,O,X,O,X,X
JTLOZSI,X,O,X,X,O,O,X,O,X,X
JTSILZO,X,O,X,X,X,O,O,O,O,X
JTSILOZ,O,O,X,X,X,O,O,X,O,X
JTSIZLO,O,O,O,X,X,O,X,O,O,X
JTSIZOL,O,X,O,X,X,X,O,O,O,X
JTSIOLZ,O,O,X,O,X,O,O,X,O,X
JTSIOZL,O,X,X,O,X,X,O,X,O,X
JTSLIZO,X,O,X,X,X,O,O,O,O,X
JTSLIOZ,O,O,X,X,X,O,O,X,O,X
JTSLZIO,X,O,X,X,X,O,O,O,O,X
JTSLZOI,X,O,X,X,X,O,X,O,O,X
JTSLOIZ,X,O,X,X,X,O,O,X,O,X
JTSLOZI,X,O,X,X,X,O,X,X,O,X
JTSZILO,O,O,O,X,X,O,X,O,O,X
JTSZIOL,O,X,O,X,X,X,O,O,O,X
JTSZLIO,O,O,O,X,X,O,X,O,O,X
JTSZLOI,X,O,O,X,X,O,X,O,O,X
JTSZOIL,O,X,O,X,X,X,X,O,O,X
JTSZOLI,X,X,O,X,X,X,X,O,O,X
JTSOILZ,O,O,X,O,X,O,O,X,O,X
JTSOIZL,O,X,X,O,X,X,O,X,O,X
JTSOLIZ,O,O,X,O,X,O,O,X,O,X
JTSOLZI,O,O,X,O,X,O,O,X,O,X
JTSOZIL,O,X,X,O,X,X,O,X,O,X
JTSOZLI,O,X,X,O,X,X,O,X,O,X
JTZILSO,X,X,X,X,O,O,X,O,O,X
JTZILOS,X,X,X,X,O,O,X,O,X,X
JTZISLO,O,X,O,X,O,O,X,O,O,X
JTZISOL,O,X,O,X,O,X,O,O,O,X
JTZIOLS,X,X,X,X,O,X,X,X,X,X
JTZIOSL,X,X,X,X,O,X,X,O,O,X
JTZLISO,X,X,X,X,O,O,X,O,O,X
JTZLIOS,X,X,X,X,O,O,X,O,X,X
JTZLSIO,O,O,O,X,O,O,X,O,O,X
JTZLSOI,X,O,O,X,O,O,X,O,O,X
JTZLOIS,X,X,X,X,O,O,X,O,X,X
JTZLOSI,X,O,X,X,O,O,X,O,X,X
JTZSILO,O,O,O,X,O,O,X,O,O,X
JTZSIOL,O,X,O,X,O,X,O,O,O,X
JTZSLIO,O,O,O,X,O,O,X,O,O,X
JTZSLOI,X,O,O,X,O,O,X,O,O,X
JTZSOIL,O,X,O,X,O,X,X,O,O,X
JTZSOLI,X,X,O,X,X,X,X,O,O,X
JTZOILS,X,X,X,X,O,X,X,X,X,X
JTZOISL,X,X,X,X,O,X,X,O,O,X
JTZOLIS,X,X,X,X,O,X,X,X,X,X
JTZOLSI,X,X,X,X,O,X,X,X,X,X
JTZOSIL,O,X,O,X,O,X,X,O,O,X
JTZOSLI,X,X,O,X,X,X,X,O,O,X
JTOILSZ,X,X,X,X,X,O,O,X,X,X
JTOILZS,X,X,X,X,X,O,O,O,X,X
JTOISLZ,O,X,X,O,X,O,O,X,O,X
JTOISZL,O,X,X,O,X,X,O,X,O,X
JTOIZLS,O,X,X,X,O,X,X,X,X,X
JTOIZSL,O,X,X,X,O,X,O,O,O,X
JTOLISZ,X,O,X,X,X,O,O,X,X,X
JTOLIZS,X,X,X,X,X,O,O,O,X,X
JTOLSIZ,O,O,X,O,X,O,O,X,X,X
JTOLSZI,O,O,X,O,X,O,O,X,X,X
JTOLZIS,O,X,X,X,X,O,O,O,X,X
JTOLZSI,O,O,X,X,X,O,O,O,X,X
JTOSILZ,O,O,X,O,X,O,O,X,O,X
JTOSIZL,O,X,X,O,X,X,O,X,O,X
JTOSLIZ,O,O,X,O,X,O,O,X,O,X
JTOSLZI,O,O,X,O,X,O,O,X,O,X
JTOSZIL,O,X,X,O,X,X,O,X,O,X
JTOSZLI,O,X,X,O,X,X,O,X,O,X
JTOZILS,O,X,X,X,O,X,X,X,X,X
JTOZISL,O,X,X,X,O,X,O,O,O,X
JTOZLIS,O,X,X,X,O,X,O,X,X,X
JTOZLSI,O,X,X,X,X,X,O,X,X,X
JTOZSIL,O,X,X,O,O,X,O,O,O,X
JTOZSLI,O,X,X,O,X,X,O,O,O,X
JITLSZO,X,O,X,X,O,O,X,O,O,X
JITLSOZ,X,O,X,X,O,O,O,X,O,X
JITLZSO,X,X,X,X,O,O,X,O,O,X
JITLZOS,X,X,X,X,O,O,X,O,X,X
JITLOSZ,X,O,X,X,X,O,X,X,X,X
JITLOZS,X,X,X,X,O,O,X,O,X,X
JITSLZO,X,O,X,X,X,O,X,O,O,X
JITSLOZ,O,O,X,X,X,O,O,X,O,X
JITSZLO,X,O,X,X,X,O,X,O,O,X
JITSZOL,O,X,X,X,X,X,O,O,O,X
JITSOLZ,O,O,X,X,X,O,O,X,O,X
JITSOZL,O,X,X,X,X,X,O,X,O,X
JITZLSO,X,X,X,X,O,O,X,O,O,X
JITZLOS,X,X,X,X,O,O,X,O,X,X
JITZSLO,X,X,X,X,O,O,X,O,O,X
JITZSOL,X,X,X,X,O,X,O,O,O,X
JITZOLS,X,X,X,X,O,X,X,X,X,X
JITZOSL,X,X,X,X,O,X,X,O,O,X
JITOLSZ,X,X,X,X,X,O,X,X,X,X
JITOLZS,X,X,X,X,X,O,X,O,X,X
JITOSLZ,X,X,X,X,X,O,O,X,O,X
JITOSZL,X,X,X,X,X,X,O,X,O,X
JITOZLS,X,X,X,X,O,X,X,X,X,X
JITOZSL,X,X,X,X,O,X,X,O,O,X
JILTSZO,X,O,X,X,O,O,O,O,O,X
JILTSOZ,X,O,X,X,O,O,O,X,O,X
JILTZSO,X,X,X,X,O,O,O,O,O,X
JILTZOS,X,X,X,X,O,O,X,O,X,X
JILTOSZ,X,O,X,X,X,O,O,X,X,X
JILTOZS,X,X,X,X,O,O,X,O,X,X
JILSTZO,X,O,O,X,X,O,O,O,O,X
JILSTOZ,X,O,X,O,X,O,O,X,O,X
JILSZTO,X,O,O,X,O,X,O,X,O,X
JILSZOT,X,O,O,X,O,O,O,X,X,X
JILSOTZ,X,O,X,O,X,O,O,X,O,X
JILSOZT,X,O,X,O,O,O,O,X,X,X
JILZTSO,X,X,O,X,O,X,X,O,X,X
JILZTOS,X,X,X,X,O,X,X,O,X,X
JILZSTO,X,O,O,X,O,X,X,X,X,X
JILZSOT,X,O,O,X,O,X,X,X,X,X
JILZOTS,X,X,X,X,O,X,X,X,X,X
JILZOST,X,O,O,X,O,X,X,X,X,X
JILOTSZ,X,O,X,O,X,O,X,X,X,X
JILOTZS,X,X,X,X,X,O,X,O,X,X
JILOSTZ,X,O,X,O,X,O,X,X,X,X
JILOSZT,X,O,X,O,X,O,X,X,X,X
JILOZTS,X,X,X,X,O,X,X,X,X,X
JILOZST,X,O,X,O,O,X,X,X,X,X
JISTLZO,X,O,X,X,X,O,O,O,O,X
JISTLOZ,O,O,X,X,X,O,O,X,O,X
JISTZLO,O,O,O,X,X,O,X,O,O,X
JISTZOL,O,X,O,X,X,X,O,O,O,X
JISTOLZ,O,O,X,O,X,O,O,X,O,X
JISTOZL,O,X,X,O,X,X,O,X,O,X
JISLTZO,X,O,O,X,X,O,O,O,O,X
JISLTOZ,O,O,X,O,X,O,O,X,O,X
JISLZTO,O,O,O,X,X,X,O,X,O,X
JISLZOT,O,O,O,X,X,O,O,X,X,X
JISLOTZ,O,O,X,O,X,O,O,X,O,X
JISLOZT,O,O,X,O,X,O,O,X,X,X
JISZTLO,O,O,O,X,X,X,X,X,O,X
JISZTOL,O,X,O,X,X,X,O,X,O,X
JISZLTO,O,O,O,X,X,X,O,X,O,X
JISZLOT,O,O,O,X,X,O,O,X,X,X
JISZOTL,O,X,O,X,X,X,O,X,X,X
JISZOLT,O,X,O,X,X,X,O,X,X,X
JISOTLZ,O,O,X,O,X,X,O,X,O,X
JISOTZL,O,X,X,O,X,X,O,X,O,X
JISOLTZ,O,O,X,O,X,O,O,X,O,X
JISOLZT,O,O,X,O,X,O,O,X,X,X
JISOZTL,O,X,X,O,X,X,O,X,X,X
JISOZLT,O,X,X,O,X,X,O,X,X,X
JIZTLSO,X,X,O,X,O,X,X,O,O,X
JIZTLOS,X,X,X,X,O,X,X,O,X,X
JIZTSLO,O,X,O,X,O,X,X,O,O,X
JIZTSOL,O,X,O,X,O,X,X,O,O,X
JIZTOLS,X,X,X,X,O,X,X,X,X,X
JIZTOSL,X,X,X,X,O,X,X,O,O,X
JIZLTSO,X,X,O,X,O,X,X,O,X,X
JIZLTOS,X,X,X,X,O,X,X,O,X,X
JIZLSTO,X,O,O,X,O,X,X,X,X,X
JIZLSOT,X,O,O,X,O,X,X,X,X,X
JIZLOTS,X,X,X,X,O,X,X,X,X,X
