sequence,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBFiBO?oB6rBcsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBFiBO?oBSsB0rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxdBFhBXiBO?oBcsB6rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhF3dBcjBFhBR?sBCsBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxdBFhBXiBO?oBSsB0rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFCeBFhBXjBR?sB8rBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBcjBGiBR?sBlrBisB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBCeBOoBx?mBFsB8rB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFxcBFhB8mBC?jBOoBXsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFXcBxdBOoBl?mBcsBCsB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhF3dBFhBRnBc?oBCsBmrB,v115@1gB8HeA8GeD8EeF8DeF8BeC8JeT6IvhFVhB3dBcjBx?mBurBisB
TJILOSZ,O,O,X,X,O,X,X,O,X,X,X,X
TJILOZS,X,O,X,O,X,X,X,O,X,X,X,O
TJISLZO,X,X,X,X,X,X,X,O,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,O,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,O,X,X,X,X
TJISZOL,X,X,X,X,X,X,X,O,X,X,X,X
TJISOLZ,O,O,X,X,X,X,X,O,X,X,X,X
TJISOZL,O,X,X,X,X,X,X,O,X,O,X,X
TJIZLSO,O,X,X,O,X,X,X,O,X,O,X,O
TJIZLOS,O,X,X,O,X,X,X,O,X,O,X,O
TJIZSLO,O,X,O,X,X,O,X,O,X,O,X,X
TJIZSOL,O,X,O,O,X,O,X,O,X,O,X,O
TJIZOLS,O,X,X,O,X,X,X,O,X,O,X,O
TJIZOSL,O,X,O,O,X,O,X,O,X,O,X,O
TJIOLSZ,O,O,X,X,O,X,X,O,X,X,X,X
TJIOLZS,X,O,X,O,X,X,X,O,X,X,X,O
TJIOSLZ,O,O,X,X,X,X,X,O,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,O,X,O,X,X
TJIOZLS,O,X,X,O,X,X,X,O,X,O,X,O
TJIOZSL,O,X,O,O,X,O,X,O,X,O,X,O
TJLISZO,X,O,X,X,O,X,X,O,X,X,X,X
TJLISOZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLIZSO,X,O,X,X,X,X,X,O,X,X,O,O
TJLIZOS,X,O,X,X,X,X,X,O,X,X,O,O
TJLIOSZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLIOZS,X,O,X,X,X,X,X,O,X,X,O,O
TJLSIZO,X,O,X,X,O,X,X,O,X,X,X,X
TJLSIOZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLSZIO,O,O,X,X,O,X,X,X,X,X,X,X
TJLSZOI,O,O,X,X,O,X,X,X,X,X,X,X
TJLSOIZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLSOZI,O,O,X,X,O,X,X,X,X,X,X,X
TJLZISO,O,O,X,X,X,X,X,O,X,X,X,O
TJLZIOS,O,O,X,X,X,X,X,O,X,X,X,O
TJLZSIO,O,O,O,X,O,X,X,X,X,X,X,X
TJLZSOI,O,O,O,X,O,X,X,X,X,X,X,O
TJLZOIS,O,O,X,X,X,X,X,O,X,X,X,O
TJLZOSI,O,O,O,X,O,X,X,X,X,X,X,O
TJLOISZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLOIZS,X,O,X,X,X,X,X,O,X,X,O,O
TJLOSIZ,O,O,X,X,O,X,X,O,X,X,X,X
TJLOSZI,O,O,X,X,O,X,X,X,X,X,X,X
TJLOZIS,O,O,X,X,X,X,X,O,X,X,X,O
TJLOZSI,O,O,O,X,O,X,X,X,X,X,X,O
TJSILZO,X,X,X,X,X,X,X,O,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,O,X,X,X,X
TJSIZLO,X,X,X,X,X,X,X,O,X,X,X,X
TJSIZOL,X,X,X,X,X,X,X,O,X,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,O,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,O,X,O,X,X
TJSLIZO,X,O,X,X,O,X,X,O,X,X,X,X
TJSLIOZ,O,O,X,X,O,X,X,O,X,X,X,X
TJSLZIO,O,O,X,X,O,X,X,X,X,X,X,X
TJSLZOI,O,O,X,X,O,X,X,X,X,X,X,X
TJSLOIZ,O,O,X,X,O,X,X,O,X,X,X,X
TJSLOZI,O,O,X,X,O,X,X,X,X,X,X,X
TJSZILO,O,X,O,X,X,X,X,X,X,X,X,X
TJSZIOL,O,X,O,X,X,X,X,X,X,O,X,X
TJSZLIO,O,X,O,X,X,X,X,X,X,X,X,X
TJSZLOI,O,X,O,X,X,X,X,X,X,X,X,X
TJSZOIL,O,X,O,X,X,X,X,X,X,O,X,X
TJSZOLI,O,X,O,X,X,X,X,X,X,X,X,X
TJSOILZ,O,O,X,X,X,X,X,O,X,X,X,X
TJSOIZL,O,X,X,X,X,X,X,O,X,O,X,X
TJSOLIZ,O,O,X,X,O,X,X,O,X,X,X,X
TJSOLZI,O,O,X,X,O,X,X,X,X,X,X,X
TJSOZIL,O,X,O,X,X,X,X,X,X,O,X,X
TJSOZLI,O,X,O,X,X,X,X,X,X,X,X,X
