sequence,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBcmBT?iBKtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBmiB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBXiB8?nBmrBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhB0iB3?mB+tBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBFiBT?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhBXiBS?tBmrBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFyiB+jBFhB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBTmBi?nBUtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le08IvhFxdBamBGjBf?sBlnBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le+DJvhFUhBRiB3iBi?mBFsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sBOtB6tB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lem8IvhFzdB5jBFhB3?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTdBcmBynB5?oBOtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lez9IvhF5jBFhB2nBf?sBimBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFKiBzdBcmBO?tB5oBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTmBxnBFnBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiBXjBasB+?tBTrB0sB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTdBcmBxnBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFFiBTmBxsBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiB0iBasB+?tBTrBXtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le09IvhF6jBRhBOmBf?sBlnBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFcmBxiBTiBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sB6tBOtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeU+IvhFFhBXiBSoBx?rBTtBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXjBasB+?tB0sBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeVBJvhFajB5jBTiB3?hBmrBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeTCJvhF0mBXoB5oBF?mBatBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBUhBFiBf?tB6tBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXiBcsBO?tB6tBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhB0iBasB+?tBXtBTrB
TLJZIOS,O,X,X,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJZSIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O
TLJZSOI,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
TLJZOIS,O,X,X,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJZOSI,O,X,X,O,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TLJOISZ,O,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJOZIS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJOZSI,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TLSIJZO,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
TLSJIOZ,O,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TLSJZOI,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TLSJOIZ,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSZIJO,O,O,X,X,O,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,X,X,O,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,X,X,O,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,O,X,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSOZJI,O,O,X,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZIJSO,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJOS,O,O,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLZISJO,O,X,O,X,O,X,X,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZIOJS,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZIOSJ,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZJISO,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,O
TLZJIOS,O,O,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLZJSIO,O,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O
TLZJSOI,O,O,O,X,O,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
TLZJOIS,O,O,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJOSI,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TLZSIJO,O,X,O,X,O,X,X,X,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,X,O,X,O,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLZSJOI,O,X,O,X,O,X,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZSOIJ,O,X,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,X,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZOISJ,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZOJIS,O,O,O,X,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZOJSI,O,O,O,X,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLZOSJI,O,O,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOIJSZ,O,O,X,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOIZJS,O,O,O,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,O,O,X,X,O,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,O,O,O,X,X,O,O,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,O,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLOJZIS,O,O,O,X,X,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,O,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLOSIJZ,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOSZJI,O,O,O,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOZIJS,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOZISJ,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOZJIS,O,O,O,X,O,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOZJSI,O,O,O,X,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOZSJI,O,O,O,X,O,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJILSZO,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X
TJILSOZ,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJILZSO,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O
TJILZOS,X,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJISLZO,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TJISLOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJISZLO,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TJISZOL,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TJISOLZ,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJISOZL,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIZLSO,X,O,O,O,X,O,X,X,X,X,X,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TJIZLOS,X,O,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJIZSLO,X,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJIZSOL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TJIZOLS,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJIZOSL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TJIOLSZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJIOSZL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOZLS,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJIOZSL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TJLISZO,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X
TJLISOZ,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJLIZSO,O,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O
TJLIZOS,O,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X
TJLSIOZ,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJLSZIO,O,X,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TJLSZOI,O,X,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TJLSOIZ,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJLSOZI,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TJLZISO,O,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,O
TJLZIOS,O,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJLZSIO,O,X,O,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,O,O
TJLZSOI,O,X,O,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O
TJLZOIS,O,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLZOSI,O,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TJLOISZ,O,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,O,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJLOZIS,O,X,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLOZSI,O,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TJSILZO,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
TJSILOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSIZLO,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TJSIZOL,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TJSIOLZ,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSIOZL,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIZO,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X
TJSLIOZ,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSLZIO,X,X,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TJSLZOI,X,X,O,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O
TJSLOIZ,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSLOZI,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TJSZILO,X,O,O,O,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TJSZIOL,X,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
TJSZLIO,X,O,O,O,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TJSZLOI,X,O,O,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TJSZOIL,X,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
TJSZOLI,X,O,O,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TJSOILZ,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSOIZL,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSOLZI,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TJSOZIL,X,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJSOZLI,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TJZILSO,X,O,O,O,X,O,X,X,X,X,X,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TJZILOS,X,O,O,O,X,O,X,X,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TJZISLO,X,O,O,O,X,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TJZISOL,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TJZIOLS,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJZIOSL,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TJZLISO,O,O,O,O,X,O,X,X,X,X,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,O
TJZLIOS,O,O,O,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZLSIO,O,O,O,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,O,O
TJZLSOI,O,O,O,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,O
TJZLOIS,O,O,O,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJZLOSI,O,O,O,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TJZSILO,X,O,O,O,X,O,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X
TJZSIOL,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X
TJZSLIO,O,O,O,O,X,O,X,X,O,X,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TJZSLOI,O,O,O,O,X,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TJZSOIL,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
TJZSOLI,O,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TJZOILS,X,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJZOISL,X,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
TJZOLIS,O,O,O,O,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJZOLSI,O,O,O,O,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJZOSIL,X,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
TJZOSLI,O,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X
TJOILSZ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOILZS,X,O,O,O,X,O,O,X,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
