sequence,v115@zgB8HeC8GeB8FeD8FeF8AeE8Je07IvhFmcB5iBTeBf?nBilBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jem7IvhFRdBSjBclB3?hBTnBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jem7IvhF5iBTeBclBa?nB3hBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jex7IvhFTeBclBihB+?nBXiBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8JeR9IvhFSjB/nBTlB0?mBFmBmqB,v115@zgB8HeC8GeB8FeD8FeF8AeE8JefCJvhF6iBTeBclBZ?mBWxBlqB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Jex7IvhFGeBclBThB3?iBKnBFrB,v115@zgB8HeC8GeB8FeD8FeF8AeE8Je08IvhFxdB3gBCjBO?rBVxBTqB
LIOJSTZ,O,X,X,X,X,O,X,X
LIOJSZT,O,O,X,X,O,O,X,X
LIOJZTS,O,O,O,X,X,X,X,X
LIOJZST,O,O,O,X,X,O,X,X
LIOSTJZ,O,O,X,X,X,X,X,X
LIOSTZJ,O,O,O,X,O,X,X,X
LIOSJTZ,O,X,X,X,X,X,X,X
LIOSJZT,O,O,X,X,O,X,X,X
LIOSZTJ,O,O,X,X,O,X,X,X
LIOSZJT,O,O,O,X,O,X,X,X
LIOZTJS,O,O,O,O,X,X,X,X
LIOZTSJ,O,O,O,X,X,X,X,X
LIOZJTS,O,O,O,X,X,X,X,X
LIOZJST,O,O,O,X,X,O,X,X
LIOZSTJ,O,O,X,X,O,X,X,X
LIOZSJT,O,O,O,X,O,X,X,X
LJTISZO,X,O,X,X,X,X,X,O
LJTISOZ,X,X,X,X,X,X,X,O
LJTIZSO,X,O,O,O,X,X,X,O
LJTIZOS,X,O,O,O,X,X,X,O
LJTIOSZ,X,X,X,X,X,X,X,O
LJTIOZS,X,X,O,O,X,X,X,O
LJTSIZO,X,O,X,X,X,X,X,O
LJTSIOZ,X,X,X,X,X,X,X,O
LJTSZIO,X,O,X,O,X,X,X,O
LJTSZOI,X,O,X,O,X,X,O,O
LJTSOIZ,X,X,X,X,X,X,X,O
LJTSOZI,X,X,X,O,X,X,O,O
LJTZISO,X,O,O,O,X,X,X,O
LJTZIOS,X,O,O,O,X,X,X,O
LJTZSIO,X,O,O,O,X,X,X,O
LJTZSOI,X,O,O,O,X,X,O,O
LJTZOIS,X,O,O,O,X,X,X,O
LJTZOSI,X,O,O,O,X,X,X,O
LJTOISZ,X,X,X,X,X,X,X,O
LJTOIZS,X,X,O,O,X,X,X,O
LJTOSIZ,X,X,X,X,X,X,X,O
LJTOSZI,X,X,X,O,X,X,X,O
LJTOZIS,X,X,O,O,X,X,X,O
LJTOZSI,X,X,O,O,X,X,X,O
LJITSZO,O,O,X,X,X,X,X,O
LJITSOZ,O,X,X,X,X,X,X,O
LJITZSO,O,O,O,X,X,X,X,O
LJITZOS,O,O,O,X,X,X,X,O
LJITOSZ,O,X,X,X,X,X,X,O
LJITOZS,O,X,O,X,X,X,X,O
LJISTZO,O,X,X,X,X,O,X,X
LJISTOZ,O,X,X,X,X,O,X,X
LJISZTO,O,O,X,X,X,O,X,X
LJISZOT,O,O,X,X,X,O,X,X
LJISOTZ,O,X,X,X,X,O,X,X
LJISOZT,O,X,X,X,O,O,X,X
LJIZTSO,O,O,O,X,X,X,X,X
LJIZTOS,O,O,O,X,X,X,X,X
LJIZSTO,O,O,X,X,X,O,X,X
LJIZSOT,O,O,O,X,X,O,X,X
LJIZOTS,O,O,O,X,X,X,X,X
LJIZOST,O,O,O,X,X,O,X,X
LJIOTSZ,O,O,X,X,X,X,X,X
LJIOTZS,O,O,O,X,X,X,X,X
LJIOSTZ,O,X,X,X,X,O,X,X
LJIOSZT,O,O,X,X,O,O,X,X
LJIOZTS,O,O,O,X,X,X,X,X
LJIOZST,O,O,O,X,X,O,X,X
LJSTIZO,O,X,X,X,X,O,X,O
LJSTIOZ,O,X,X,X,X,O,X,O
LJSTZIO,O,X,X,X,X,O,X,O
LJSTZOI,O,X,X,X,X,O,O,O
LJSTOIZ,O,X,X,X,X,O,X,O
LJSTOZI,O,X,X,X,X,O,O,O
LJSITZO,O,X,X,X,X,O,X,X
LJSITOZ,O,X,X,X,X,O,X,X
LJSIZTO,O,O,X,X,X,O,X,X
LJSIZOT,O,O,X,X,X,O,X,X
LJSIOTZ,O,X,X,X,X,O,X,X
LJSIOZT,O,X,X,X,O,O,X,X
LJSZTIO,O,O,X,X,X,O,X,X
LJSZTOI,O,O,X,X,X,O,O,X
LJSZITO,O,O,X,X,X,O,X,X
LJSZIOT,O,O,X,X,X,O,X,X
LJSZOTI,O,X,X,X,X,O,X,X
LJSZOIT,O,O,X,X,X,O,X,X
LJSOTIZ,O,X,X,X,X,O,X,X
LJSOTZI,O,X,X,X,X,O,X,X
LJSOITZ,O,X,X,X,X,O,X,X
LJSOIZT,O,X,X,X,O,O,X,X
LJSOZTI,O,X,X,X,O,O,X,X
LJSOZIT,O,X,X,X,O,O,X,X
LJZTISO,X,O,O,O,X,X,X,X
LJZTIOS,X,O,O,O,X,X,X,X
LJZTSIO,X,O,O,O,X,X,X,X
LJZTSOI,X,O,O,O,X,X,O,X
LJZTOIS,X,O,O,O,X,X,X,X
LJZTOSI,X,O,O,O,X,X,X,X
LJZITSO,O,O,O,X,X,X,X,X
LJZITOS,O,O,O,X,X,X,X,X
LJZISTO,O,O,X,X,X,O,X,X
LJZISOT,O,O,O,X,X,O,X,X
LJZIOTS,O,O,O,X,X,X,X,X
LJZIOST,O,O,O,X,X,O,X,X
LJZSTIO,O,O,X,X,X,O,X,X
LJZSTOI,O,O,X,X,X,O,O,X
LJZSITO,O,O,X,X,X,O,X,X
LJZSIOT,O,O,O,X,X,O,X,X
LJZSOTI,O,X,X,X,X,O,X,X
LJZSOIT,O,O,O,X,X,O,X,X
LJZOTIS,X,O,O,O,X,X,X,X
LJZOTSI,X,O,O,O,X,X,X,X
LJZOITS,O,O,O,X,X,X,X,X
LJZOIST,O,O,O,X,X,O,X,X
LJZOSTI,O,O,X,X,X,O,X,X
LJZOSIT,O,O,O,X,X,O,X,X
LJOTISZ,X,O,X,X,X,X,X,X
LJOTIZS,X,O,O,O,X,X,X,X
LJOTSIZ,X,O,X,X,X,X,X,X
LJOTSZI,X,O,X,O,X,X,X,X
LJOTZIS,X,O,O,O,X,X,X,X
LJOTZSI,X,O,O,O,X,X,X,X
LJOITSZ,O,O,X,X,X,X,X,X
LJOITZS,O,O,O,X,X,X,X,X
LJOISTZ,O,X,X,X,X,O,X,X
LJOISZT,O,O,X,X,O,O,X,X
LJOIZTS,O,O,O,X,X,X,X,X
LJOIZST,O,O,O,X,X,O,X,X
LJOSTIZ,O,X,X,X,X,O,X,X
LJOSTZI,O,X,X,X,X,O,X,X
LJOSITZ,O,X,X,X,X,O,X,X
LJOSIZT,O,O,X,X,O,O,X,X
LJOSZTI,O,O,X,X,O,O,X,X
LJOSZIT,O,O,X,X,O,O,X,X
LJOZTIS,X,O,O,O,X,X,X,X
LJOZTSI,X,O,O,O,X,X,X,X
LJOZITS,O,O,O,X,X,X,X,X
LJOZIST,O,O,O,X,X,O,X,X
LJOZSTI,O,O,X,X,X,O,X,X
LJOZSIT,O,O,O,X,X,O,X,X
LSTIJZO,O,O,X,X,X,X,X,O
LSTIJOZ,O,X,X,X,X,X,X,O
LSTIZJO,O,O,O,X,X,X,X,X
LSTIZOJ,O,O,O,X,X,X,X,X
LSTIOJZ,O,X,X,X,X,X,X,X
LSTIOZJ,O,O,O,X,O,X,X,X
LSTJIZO,O,O,X,X,X,X,X,O
LSTJIOZ,O,X,X,X,X,X,X,O
LSTJZIO,O,O,X,X,X,X,X,O
LSTJZOI,O,O,X,X,X,X,O,O
LSTJOIZ,O,X,X,X,X,X,X,O
LSTJOZI,O,X,X,X,X,X,O,O
LSTZIJO,O,O,O,X,X,X,X,X
LSTZIOJ,O,O,O,X,X,X,X,X
LSTZJIO,O,O,O,X,X,X,X,X
LSTZJOI,O,O,O,X,X,X,O,X
LSTZOIJ,O,O,O,X,X,X,O,X
LSTZOJI,O,O,O,X,X,X,O,X
LSTOIJZ,O,X,X,X,X,X,X,X
LSTOIZJ,O,O,O,X,O,X,X,X
LSTOJIZ,O,X,X,X,X,X,X,X
LSTOJZI,O,X,X,X,X,X,O,X
LSTOZIJ,O,O,O,X,O,X,O,X
LSTOZJI,O,O,O,X,O,X,O,X
LSITJZO,O,O,X,X,X,X,X,O
LSITJOZ,O,X,X,X,X,X,X,O
LSITZJO,O,O,O,X,X,X,X,X
LSITZOJ,O,O,O,X,X,X,X,X
LSITOJZ,O,X,X,X,X,X,X,X
LSITOZJ,O,O,O,X,O,X,X,X
LSIJTZO,O,X,X,X,X,X,X,X
LSIJTOZ,O,X,X,X,X,X,X,X
LSIJZTO,O,O,X,X,X,X,X,X
LSIJZOT,O,O,X,X,X,X,X,X
LSIJOTZ,O,X,X,X,X,X,X,X
LSIJOZT,O,X,X,X,O,X,X,X
LSIZTJO,O,X,X,X,X,X,X,X
LSIZTOJ,O,X,X,X,X,X,X,X
LSIZJTO,O,O,X,X,X,X,X,X
LSIZJOT,O,O,O,X,X,X,X,X
LSIZOTJ,O,X,X,X,O,X,X,X
LSIZOJT,O,X,O,X,O,X,X,X
LSIOTJZ,O,O,X,X,X,X,X,X
LSIOTZJ,O,O,O,X,O,X,X,X
LSIOJTZ,O,X,X,X,X,X,X,X
LSIOJZT,O,O,X,X,O,X,X,X
LSIOZTJ,O,O,X,X,O,X,X,X
LSIOZJT,O,O,O,X,O,X,X,X
LSJTIZO,O,X,X,X,X,X,X,X
LSJTIOZ,O,X,X,X,X,X,X,X
LSJTZIO,O,X,X,X,X,X,X,X
LSJTZOI,O,X,X,X,X,X,O,X
LSJTOIZ,O,X,X,X,X,X,X,X
LSJTOZI,O,X,X,X,X,X,O,X
LSJITZO,O,X,X,X,X,X,X,X
LSJITOZ,O,X,X,X,X,X,X,X
LSJIZTO,O,O,X,X,X,X,X,X
LSJIZOT,O,O,X,X,X,X,X,X
LSJIOTZ,O,X,X,X,X,X,X,X
LSJIOZT,O,X,X,X,O,X,X,X
LSJZTIO,O,O,X,X,X,X,X,X
LSJZTOI,O,O,X,X,X,X,O,X
LSJZITO,O,O,X,X,X,X,X,X
LSJZIOT,O,O,X,X,X,X,X,X
LSJZOTI,O,X,X,X,X,X,X,X
LSJZOIT,O,O,X,X,X,X,X,X
LSJOTIZ,O,X,X,X,X,X,X,X
LSJOTZI,O,X,X,X,X,X,X,X
LSJOITZ,O,X,X,X,X,X,X,X
LSJOIZT,O,X,X,X,O,X,X,X
LSJOZTI,O,X,X,X,O,X,X,X
LSJOZIT,O,X,X,X,O,X,X,X
LSZTIJO,O,O,X,X,X,X,X,X
LSZTIOJ,O,O,X,X,X,X,X,X
LSZTJIO,O,O,X,X,X,X,X,X
LSZTJOI,O,O,X,X,X,X,O,X
LSZTOIJ,O,O,X,X,X,X,O,X
LSZTOJI,O,O,X,X,X,X,O,X
LSZITJO,O,X,X,X,X,X,X,X
LSZITOJ,O,X,X,X,X,X,X,X
LSZIJTO,O,O,X,X,X,X,X,X
LSZIJOT,O,O,O,X,X,X,X,X
LSZIOTJ,O,X,X,X,O,X,X,X
LSZIOJT,O,X,O,X,O,X,X,X
LSZJTIO,O,O,X,X,X,X,X,X
LSZJTOI,O,O,X,X,X,X,O,X
LSZJITO,O,O,X,X,X,X,X,X
LSZJIOT,O,O,O,X,X,X,X,X
LSZJOTI,O,X,X,X,X,X,X,X
LSZJOIT,O,O,O,X,X,X,X,X
LSZOTIJ,O,O,X,X,O,X,X,X
LSZOTJI,O,O,X,X,O,X,X,X
LSZOITJ,O,O,X,X,O,X,X,X
LSZOIJT,O,O,O,X,O,X,X,X
LSZOJTI,O,O,X,X,O,X,X,X
LSZOJIT,O,O,O,X,O,X,X,X
LSOTIJZ,O,O,X,X,X,X,X,X
LSOTIZJ,O,O,O,X,O,X,X,X
LSOTJIZ,O,O,X,X,X,X,X,X
LSOTJZI,O,O,X,X,X,X,X,X
LSOTZIJ,O,O,O,X,O,X,X,X
LSOTZJI,O,O,O,X,O,X,X,X
LSOITJZ,O,O,X,X,X,X,X,X
LSOITZJ,O,O,O,X,O,X,X,X
LSOIJTZ,O,X,X,X,X,X,X,X
LSOIJZT,O,O,X,X,O,X,X,X
LSOIZTJ,O,O,X,X,O,X,X,X
LSOIZJT,O,O,O,X,O,X,X,X
LSOJTIZ,O,X,X,X,X,X,X,X
LSOJTZI,O,X,X,X,X,X,X,X
LSOJITZ,O,X,X,X,X,X,X,X
LSOJIZT,O,O,X,X,O,X,X,X
LSOJZTI,O,O,X,X,O,X,X,X
LSOJZIT,O,O,X,X,O,X,X,X
LSOZTIJ,O,O,X,X,O,X,X,X
LSOZTJI,O,O,X,X,O,X,X,X
LSOZITJ,O,O,X,X,O,X,X,X
LSOZIJT,O,O,O,X,O,X,X,X
LSOZJTI,O,O,X,X,O,X,X,X
LSOZJIT,O,O,O,X,O,X,X,X
LZTIJSO,O,O,O,O,X,X,X,O
LZTIJOS,O,O,O,O,X,X,X,O
LZTISJO,O,O,O,O,X,X,X,X
LZTISOJ,O,O,O,X,X,X,X,X
LZTIOJS,O,O,O,O,X,X,X,X
LZTIOSJ,O,X,O,X,X,X,X,X
LZTJISO,O,O,O,O,X,X,X,O
LZTJIOS,O,O,O,O,X,X,X,O
LZTJSIO,O,O,O,O,X,X,X,O
LZTJSOI,O,O,O,O,X,X,O,O
LZTJOIS,O,O,O,O,X,X,X,O
LZTJOSI,O,O,O,O,X,X,X,O
LZTSIJO,O,O,O,O,X,X,X,X
LZTSIOJ,O,O,O,X,X,X,X,X
LZTSJIO,O,O,O,O,X,X,X,X
LZTSJOI,O,O,O,O,X,X,O,X
LZTSOIJ,O,O,O,X,X,X,O,X
LZTSOJI,O,O,O,X,X,X,O,X
LZTOIJS,O,O,O,O,X,X,X,X
LZTOISJ,O,O,O,X,X,X,X,X
LZTOJIS,O,O,O,O,X,X,X,X
LZTOJSI,O,O,O,O,X,X,X,X
LZTOSIJ,O,O,O,X,X,X,O,X
LZTOSJI,O,O,O,X,X,X,O,X
LZITJSO,O,O,O,O,X,X,X,O
LZITJOS,O,O,O,O,X,X,X,O
LZITSJO,O,O,O,O,X,X,X,X
LZITSOJ,O,O,O,X,X,X,X,X
LZITOJS,O,O,O,O,X,X,X,X
LZITOSJ,O,X,O,X,X,X,X,X
LZIJTSO,O,O,O,X,X,X,X,X
LZIJTOS,O,O,O,X,X,X,X,X
LZIJSTO,O,O,X,X,X,O,X,X
LZIJSOT,O,O,O,X,X,O,X,X
LZIJOTS,O,O,O,X,X,X,X,X
LZIJOST,O,O,O,X,X,O,X,X
LZISTJO,O,X,X,X,X,X,X,X
LZISTOJ,O,X,X,X,X,X,X,X
LZISJTO,O,O,X,X,X,X,X,X
LZISJOT,O,O,O,X,X,X,X,X
LZISOTJ,O,X,X,X,O,X,X,X
LZISOJT,O,X,O,X,O,X,X,X
LZIOTJS,O,O,O,O,X,X,X,X
LZIOTSJ,O,O,O,X,X,X,X,X
LZIOJTS,O,O,O,X,X,X,X,X
LZIOJST,O,O,O,X,X,O,X,X
LZIOSTJ,O,O,X,X,O,X,X,X
LZIOSJT,O,O,O,X,O,X,X,X
LZJTISO,X,O,O,O,X,X,X,X
LZJTIOS,X,O,O,O,X,X,X,X
LZJTSIO,X,O,O,O,X,X,X,X
LZJTSOI,X,O,O,O,X,X,O,X
LZJTOIS,X,O,O,O,X,X,X,X
LZJTOSI,X,O,O,O,X,X,X,X
LZJITSO,O,O,O,X,X,X,X,X
LZJITOS,O,O,O,X,X,X,X,X
LZJISTO,O,O,X,X,X,O,X,X
LZJISOT,O,O,O,X,X,O,X,X
LZJIOTS,O,O,O,X,X,X,X,X
LZJIOST,O,O,O,X,X,O,X,X
LZJSTIO,O,O,X,X,X,O,X,X
LZJSTOI,O,O,X,X,X,O,O,X
LZJSITO,O,O,X,X,X,O,X,X
LZJSIOT,O,O,O,X,X,O,X,X
LZJSOTI,O,X,X,X,X,O,X,X
LZJSOIT,O,O,O,X,X,O,X,X
LZJOTIS,X,O,O,O,X,X,X,X
LZJOTSI,X,O,O,O,X,X,X,X
LZJOITS,O,O,O,X,X,X,X,X
LZJOIST,O,O,O,X,X,O,X,X
LZJOSTI,O,O,X,X,X,O,X,X
LZJOSIT,O,O,O,X,X,O,X,X
LZSTIJO,O,O,X,X,X,X,X,X
LZSTIOJ,O,O,X,X,X,X,X,X
LZSTJIO,O,O,X,X,X,X,X,X
LZSTJOI,O,O,X,X,X,X,O,X
LZSTOIJ,O,O,X,X,X,X,O,X
LZSTOJI,O,O,X,X,X,X,O,X
LZSITJO,O,X,X,X,X,X,X,X
LZSITOJ,O,X,X,X,X,X,X,X
LZSIJTO,O,O,X,X,X,X,X,X
LZSIJOT,O,O,O,X,X,X,X,X
LZSIOTJ,O,X,X,X,O,X,X,X
LZSIOJT,O,X,O,X,O,X,X,X
LZSJTIO,O,O,X,X,X,X,X,X
LZSJTOI,O,O,X,X,X,X,O,X
LZSJITO,O,O,X,X,X,X,X,X
LZSJIOT,O,O,O,X,X,X,X,X
LZSJOTI,O,X,X,X,X,X,X,X
LZSJOIT,O,O,O,X,X,X,X,X
LZSOTIJ,O,O,X,X,O,X,X,X
LZSOTJI,O,O,X,X,O,X,X,X
LZSOITJ,O,O,X,X,O,X,X,X
LZSOIJT,O,O,O,X,O,X,X,X
LZSOJTI,O,O,X,X,O,X,X,X
LZSOJIT,O,O,O,X,O,X,X,X
LZOTIJS,O,O,O,O,X,X,X,X
LZOTISJ,O,O,O,X,X,X,X,X
LZOTJIS,O,O,O,O,X,X,X,X
LZOTJSI,O,O,O,O,X,X,X,X
LZOTSIJ,O,O,O,X,X,X,X,X
LZOTSJI,O,O,O,X,X,X,X,X
LZOITJS,O,O,O,O,X,X,X,X
LZOITSJ,O,O,O,X,X,X,X,X
LZOIJTS,O,O,O,X,X,X,X,X
LZOIJST,O,O,O,X,X,O,X,X
LZOISTJ,O,O,X,X,O,X,X,X
LZOISJT,O,O,O,X,O,X,X,X
LZOJTIS,X,O,O,O,X,X,X,X
LZOJTSI,X,O,O,O,X,X,X,X
LZOJITS,O,O,O,X,X,X,X,X
LZOJIST,O,O,O,X,X,O,X,X
LZOJSTI,O,O,X,X,X,O,X,X
LZOJSIT,O,O,O,X,X,O,X,X
LZOSTIJ,O,O,X,X,O,X,X,X
LZOSTJI,O,O,X,X,O,X,X,X
LZOSITJ,O,O,X,X,O,X,X,X
LZOSIJT,O,O,O,X,O,X,X,X
LZOSJTI,O,O,X,X,O,X,X,X
LZOSJIT,O,O,O,X,O,X,X,X
LOTIJSZ,O,O,X,X,X,X,X,O
LOTIJZS,O,O,O,X,X,X,X,O
LOTISJZ,O,O,X,X,X,X,X,X
LOTISZJ,O,O,O,X,O,X,X,X
LOTIZJS,O,O,O,X,X,X,X,X
LOTIZSJ,O,O,O,X,X,X,X,X
LOTJISZ,O,O,X,X,X,X,X,O
LOTJIZS,O,O,O,O,X,X,X,O
LOTJSIZ,O,O,X,X,X,X,X,O
LOTJSZI,O,O,X,O,X,X,X,O
LOTJZIS,O,O,O,O,X,X,X,O
LOTJZSI,O,O,O,O,X,X,X,O
LOTSIJZ,O,O,X,X,X,X,X,X
LOTSIZJ,O,O,O,X,O,X,X,X
LOTSJIZ,O,O,X,X,X,X,X,X
LOTSJZI,O,O,X,X,X,X,X,X
LOTSZIJ,O,O,O,X,O,X,X,X
LOTSZJI,O,O,O,X,O,X,X,X
LOTZIJS,O,O,O,O,X,X,X,X
LOTZISJ,O,O,O,X,X,X,X,X
LOTZJIS,O,O,O,O,X,X,X,X
LOTZJSI,O,O,O,O,X,X,X,X
LOTZSIJ,O,O,O,X,X,X,X,X
LOTZSJI,O,O,O,X,X,X,X,X
LOITJSZ,O,O,X,X,X,X,X,O
LOITJZS,O,O,O,X,X,X,X,O
LOITSJZ,O,O,X,X,X,X,X,X
LOITSZJ,O,O,O,X,O,X,X,X
LOITZJS,O,O,O,X,X,X,X,X
LOITZSJ,O,O,O,X,X,X,X,X
LOIJTSZ,O,O,X,X,X,X,X,X
LOIJTZS,O,O,O,X,X,X,X,X
LOIJSTZ,O,X,X,X,X,O,X,X
LOIJSZT,O,O,X,X,O,O,X,X
LOIJZTS,O,O,O,X,X,X,X,X
LOIJZST,O,O,O,X,X,O,X,X
LOISTJZ,O,O,X,X,X,X,X,X
LOISTZJ,O,O,O,X,O,X,X,X
LOISJTZ,O,X,X,X,X,X,X,X
LOISJZT,O,O,X,X,O,X,X,X
LOISZTJ,O,O,X,X,O,X,X,X
LOISZJT,O,O,O,X,O,X,X,X
LOIZTJS,O,O,O,O,X,X,X,X
LOIZTSJ,O,O,O,X,X,X,X,X
LOIZJTS,O,O,O,X,X,X,X,X
LOIZJST,O,O,O,X,X,O,X,X
LOIZSTJ,O,O,X,X,O,X,X,X
LOIZSJT,O,O,O,X,O,X,X,X
LOJTISZ,X,O,X,X,X,X,X,X
LOJTIZS,X,O,O,O,X,X,X,X
LOJTSIZ,X,O,X,X,X,X,X,X
LOJTSZI,X,O,X,O,X,X,X,X
LOJTZIS,X,O,O,O,X,X,X,X
LOJTZSI,X,O,O,O,X,X,X,X
LOJITSZ,O,O,X,X,X,X,X,X
LOJITZS,O,O,O,X,X,X,X,X
LOJISTZ,O,X,X,X,X,O,X,X
LOJISZT,O,O,X,X,O,O,X,X
LOJIZTS,O,O,O,X,X,X,X,X
LOJIZST,O,O,O,X,X,O,X,X
LOJSTIZ,O,X,X,X,X,O,X,X
LOJSTZI,O,X,X,X,X,O,X,X
LOJSITZ,O,X,X,X,X,O,X,X
LOJSIZT,O,O,X,X,O,O,X,X
LOJSZTI,O,O,X,X,O,O,X,X
LOJSZIT,O,O,X,X,O,O,X,X
LOJZTIS,X,O,O,O,X,X,X,X
LOJZTSI,X,O,O,O,X,X,X,X
LOJZITS,O,O,O,X,X,X,X,X
LOJZIST,O,O,O,X,X,O,X,X
LOJZSTI,O,O,X,X,X,O,X,X
LOJZSIT,O,O,O,X,X,O,X,X
LOSTIJZ,O,O,X,X,X,X,X,X
LOSTIZJ,O,O,O,X,O,X,X,X
LOSTJIZ,O,O,X,X,X,X,X,X
LOSTJZI,O,O,X,X,X,X,X,X
LOSTZIJ,O,O,O,X,O,X,X,X
LOSTZJI,O,O,O,X,O,X,X,X
LOSITJZ,O,O,X,X,X,X,X,X
LOSITZJ,O,O,O,X,O,X,X,X
LOSIJTZ,O,X,X,X,X,X,X,X
LOSIJZT,O,O,X,X,O,X,X,X
LOSIZTJ,O,O,X,X,O,X,X,X
LOSIZJT,O,O,O,X,O,X,X,X
LOSJTIZ,O,X,X,X,X,X,X,X
LOSJTZI,O,X,X,X,X,X,X,X
LOSJITZ,O,X,X,X,X,X,X,X
LOSJIZT,O,O,X,X,O,X,X,X
LOSJZTI,O,O,X,X,O,X,X,X
LOSJZIT,O,O,X,X,O,X,X,X
LOSZTIJ,O,O,X,X,O,X,X,X
LOSZTJI,O,O,X,X,O,X,X,X
LOSZITJ,O,O,X,X,O,X,X,X
LOSZIJT,O,O,O,X,O,X,X,X
LOSZJTI,O,O,X,X,O,X,X,X
LOSZJIT,O,O,O,X,O,X,X,X
LOZTIJS,O,O,O,O,X,X,X,X
LOZTISJ,O,O,O,X,X,X,X,X
LOZTJIS,O,O,O,O,X,X,X,X
LOZTJSI,O,O,O,O,X,X,X,X
LOZTSIJ,O,O,O,X,X,X,X,X
LOZTSJI,O,O,O,X,X,X,X,X
LOZITJS,O,O,O,O,X,X,X,X
LOZITSJ,O,O,O,X,X,X,X,X
LOZIJTS,O,O,O,X,X,X,X,X
LOZIJST,O,O,O,X,X,O,X,X
LOZISTJ,O,O,X,X,O,X,X,X
LOZISJT,O,O,O,X,O,X,X,X
LOZJTIS,X,O,O,O,X,X,X,X
LOZJTSI,X,O,O,O,X,X,X,X
LOZJITS,O,O,O,X,X,X,X,X
LOZJIST,O,O,O,X,X,O,X,X
LOZJSTI,O,O,X,X,X,O,X,X
LOZJSIT,O,O,O,X,X,O,X,X
LOZSTIJ,O,O,X,X,O,X,X,X
LOZSTJI,O,O,X,X,O,X,X,X
LOZSITJ,O,O,X,X,O,X,X,X
LOZSIJT,O,O,O,X,O,X,X,X
LOZSJTI,O,O,X,X,O,X,X,X
LOZSJIT,O,O,O,X,O,X,X,X
JTILSZO,O,X,X,X,X,X,X,O
JTILSOZ,O,X,X,X,X,X,X,O
JTILZSO,O,X,O,O,X,X,X,O
JTILZOS,O,X,O,O,X,X,X,O
JTILOSZ,O,X,X,X,X,X,X,O
JTILOZS,O,X,O,O,X,X,X,O
JTISLZO,O,X,X,X,X,O,X,O
JTISLOZ,O,X,X,X,X,O,X,O
JTISZLO,O,X,X,X,X,O,X,O
JTISZOL,O,X,X,X,X,O,O,X
JTISOLZ,O,X,X,X,X,O,X,X
JTISOZL,O,X,X,X,X,O,O,X
JTIZLSO,O,X,O,O,X,X,X,O
JTIZLOS,O,X,O,O,X,X,X,O
JTIZSLO,O,X,O,O,X,O,X,O
JTIZSOL,O,X,O,O,X,O,O,X
JTIZOLS,O,X,O,O,X,X,X,X
JTIZOSL,O,X,O,O,X,O,X,X
JTIOLSZ,O,X,X,X,X,X,X,X
JTIOLZS,O,X,O,O,X,X,X,X
JTIOSLZ,O,X,X,X,X,O,X,X
JTIOSZL,O,X,X,X,X,O,X,X
JTIOZLS,O,X,O,O,X,X,X,X
JTIOZSL,O,X,O,O,X,O,X,X
JTLISZO,O,O,X,X,X,X,X,O
JTLISOZ,O,X,X,X,X,X,X,O
JTLIZSO,O,O,O,O,X,X,X,O
JTLIZOS,O,O,O,O,X,X,X,O
JTLIOSZ,O,X,X,X,X,X,X,O
JTLIOZS,O,X,O,O,X,X,X,O
JTLSIZO,O,O,X,X,X,X,X,O
JTLSIOZ,O,X,X,X,X,X,X,O
JTLSZIO,O,O,X,O,X,X,X,O
JTLSZOI,O,O,X,O,X,X,O,O
JTLSOIZ,O,X,X,X,X,X,X,O
JTLSOZI,O,X,X,O,X,X,O,O
JTLZISO,O,O,O,O,X,X,X,O
JTLZIOS,O,O,O,O,X,X,X,O
JTLZSIO,O,O,O,O,X,X,X,O
JTLZSOI,O,O,O,O,X,X,O,O
JTLZOIS,O,O,O,O,X,X,X,O
JTLZOSI,O,O,O,O,X,X,X,O
JTLOISZ,O,X,X,X,X,X,X,O
JTLOIZS,O,X,O,O,X,X,X,O
JTLOSIZ,O,X,X,X,X,X,X,O
JTLOSZI,O,X,X,O,X,X,X,O
JTLOZIS,O,X,O,O,X,X,X,O
JTLOZSI,O,X,O,O,X,X,X,O
JTSILZO,O,O,X,X,X,O,X,O
JTSILOZ,O,X,X,X,X,O,X,O
JTSIZLO,O,O,X,X,X,O,X,O
JTSIZOL,O,O,X,X,X,O,O,X
JTSIOLZ,O,X,X,X,X,O,X,X
JTSIOZL,O,X,X,X,X,O,O,X
JTSLIZO,O,O,X,X,X,O,X,O
JTSLIOZ,O,X,X,X,X,O,X,O
JTSLZIO,O,O,X,O,X,O,X,O
JTSLZOI,O,O,X,O,X,O,O,O
JTSLOIZ,O,X,X,X,X,O,X,O
JTSLOZI,O,X,X,O,X,O,O,O
JTSZILO,O,O,X,O,X,O,X,O
JTSZIOL,O,O,X,O,X,O,O,X
JTSZLIO,O,O,X,O,X,O,X,O
JTSZLOI,O,O,X,O,X,O,O,O
JTSZOIL,O,O,X,O,X,O,O,X
JTSZOLI,O,O,X,O,X,O,O,O
JTSOILZ,O,X,X,X,X,O,X,X
JTSOIZL,O,X,X,X,X,O,O,X
