sequence,v115@DhD8FeF8EeF8AeF8JeO/IvhFXbBTcBxdBSlB0mBlqB,v115@DhD8FeF8EeF8AeF8JeK/IvhFzaBGcBxdB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8JeO/IvhFXcBxdBzfBqmB0gBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFShBxdBTfB3gB0mBlqB,v115@DhD8FeF8EeF8AeF8Jem6IvhFxdBTfBChB/qB0rBFrB,v115@DhD8FeF8EeF8AeF8JeO/IvhFTcBxdBCgB0gB/qB1wB,v115@DhD8FeF8EeF8AeF8Jei6IvhFchBxdB3fBTlB1rBuqB
LSIZTJO,O,O,X,X,X,X,X
LSIZTOJ,O,O,O,X,O,X,X
LSIZJTO,O,O,X,X,X,X,X
LSIZJOT,O,O,X,X,O,X,X
LSIZOTJ,O,O,X,X,O,X,O
LSIZOJT,O,O,O,X,O,X,X
LSIOTJZ,O,O,O,X,O,X,O
LSIOTZJ,O,O,O,X,X,X,O
LSIOJTZ,O,X,O,X,O,X,O
LSIOJZT,O,X,O,X,O,X,X
LSIOZTJ,O,X,X,X,O,X,O
LSIOZJT,O,O,O,X,O,X,X
LSJTIZO,O,X,X,X,X,X,X
LSJTIOZ,O,X,O,X,X,O,X
LSJTZIO,O,X,X,X,X,X,X
LSJTZOI,O,X,X,X,X,X,X
LSJTOIZ,O,X,O,X,X,O,X
LSJTOZI,O,X,O,X,X,O,X
LSJITZO,O,X,X,X,X,X,X
LSJITOZ,O,X,O,X,X,O,X
LSJIZTO,O,X,X,X,X,X,X
LSJIZOT,O,X,X,X,X,X,X
LSJIOTZ,O,X,O,X,O,X,O
LSJIOZT,O,X,O,X,O,X,X
LSJZTIO,O,X,X,X,X,X,X
LSJZTOI,O,X,X,X,X,X,X
LSJZITO,O,X,X,X,X,X,X
LSJZIOT,O,X,X,X,X,X,X
LSJZOTI,O,X,X,X,X,X,X
LSJZOIT,O,X,X,X,X,X,X
LSJOTIZ,O,X,O,X,O,X,O
LSJOTZI,O,X,O,X,O,X,O
LSJOITZ,O,X,O,X,O,X,O
LSJOIZT,O,X,O,X,O,X,X
LSJOZTI,O,X,O,X,O,X,X
LSJOZIT,O,X,O,X,O,X,X
LSZTIJO,O,O,X,X,X,X,X
LSZTIOJ,O,O,O,X,O,X,X
LSZTJIO,O,O,X,X,X,X,X
LSZTJOI,O,O,X,X,X,X,X
LSZTOIJ,O,O,O,X,O,X,X
LSZTOJI,O,O,O,X,O,X,X
LSZITJO,O,O,X,X,X,X,X
LSZITOJ,O,O,O,X,O,X,X
LSZIJTO,O,O,X,X,X,X,X
LSZIJOT,O,O,X,X,O,X,X
LSZIOTJ,O,O,X,X,O,X,O
LSZIOJT,O,O,O,X,O,X,X
LSZJTIO,O,O,X,X,X,X,X
LSZJTOI,O,O,X,X,X,X,X
LSZJITO,O,O,X,X,X,X,X
LSZJIOT,O,O,X,X,O,X,X
LSZJOTI,O,O,X,X,O,X,X
LSZJOIT,O,O,X,X,O,X,X
LSZOTIJ,O,O,X,X,O,X,O
LSZOTJI,O,O,X,X,O,X,O
LSZOITJ,O,O,X,X,O,X,O
LSZOIJT,O,O,O,X,O,X,X
LSZOJTI,O,O,O,X,O,X,X
LSZOJIT,O,O,O,X,O,X,X
LSOTIJZ,O,O,O,X,O,X,O
LSOTIZJ,O,O,O,X,X,X,O
LSOTJIZ,O,O,O,X,O,X,O
LSOTJZI,O,O,O,X,O,X,O
LSOTZIJ,O,O,O,X,X,X,O
LSOTZJI,O,O,O,X,X,X,O
LSOITJZ,O,O,O,X,O,X,O
LSOITZJ,O,O,O,X,X,X,O
LSOIJTZ,O,X,O,X,O,X,O
LSOIJZT,O,X,O,X,O,X,X
LSOIZTJ,O,X,X,X,O,X,O
LSOIZJT,O,O,O,X,O,X,X
LSOJTIZ,O,X,O,X,O,X,O
LSOJTZI,O,X,O,X,O,X,O
LSOJITZ,O,X,O,X,O,X,O
LSOJIZT,O,X,O,X,O,X,X
LSOJZTI,O,X,O,X,O,X,X
LSOJZIT,O,X,O,X,O,X,X
LSOZTIJ,O,X,X,X,O,X,O
LSOZTJI,O,X,X,X,O,X,O
LSOZITJ,O,X,X,X,O,X,O
LSOZIJT,O,O,O,X,O,X,X
LSOZJTI,O,X,O,X,O,X,X
LSOZJIT,O,O,O,X,O,X,X
LZTIJSO,O,O,X,X,X,X,X
LZTIJOS,O,O,O,O,X,O,X
LZTISJO,O,O,X,X,X,X,X
LZTISOJ,O,O,O,O,X,X,X
LZTIOJS,O,O,O,O,X,O,X
LZTIOSJ,O,O,O,O,X,X,X
LZTJISO,O,O,X,X,X,X,X
LZTJIOS,O,O,O,O,X,O,X
LZTJSIO,O,O,X,X,X,X,X
LZTJSOI,O,O,X,X,X,X,X
LZTJOIS,O,O,O,O,X,O,X
LZTJOSI,O,O,O,O,X,O,X
LZTSIJO,O,O,X,X,X,X,X
LZTSIOJ,O,O,O,O,X,X,X
LZTSJIO,O,O,X,X,X,X,X
LZTSJOI,O,O,X,X,X,X,X
LZTSOIJ,O,O,O,O,X,X,X
LZTSOJI,O,O,O,O,X,X,X
LZTOIJS,O,O,O,O,X,O,X
LZTOISJ,O,O,O,O,X,X,X
LZTOJIS,O,O,O,O,X,O,X
LZTOJSI,O,O,O,O,X,O,X
LZTOSIJ,O,O,O,O,X,X,X
LZTOSJI,O,O,O,O,X,X,X
LZITJSO,O,O,X,X,X,X,X
LZITJOS,O,O,O,O,X,O,X
LZITSJO,O,O,X,X,X,X,X
LZITSOJ,O,O,O,O,X,X,X
LZITOJS,O,O,O,O,X,O,X
LZITOSJ,O,O,O,O,X,X,X
LZIJTSO,O,O,X,X,X,X,X
LZIJTOS,O,O,O,X,X,O,X
LZIJSTO,O,O,X,X,X,X,X
LZIJSOT,O,O,X,X,X,X,X
LZIJOTS,O,O,O,O,X,X,X
LZIJOST,O,O,O,O,X,X,X
LZISTJO,O,O,X,X,X,X,X
LZISTOJ,O,O,O,X,O,X,X
LZISJTO,O,O,X,X,X,X,X
LZISJOT,O,O,X,X,O,X,X
LZISOTJ,O,O,X,X,O,X,X
LZISOJT,O,O,O,O,O,X,X
LZIOTJS,O,O,O,O,X,X,X
LZIOTSJ,O,O,O,O,X,X,X
LZIOJTS,O,O,O,O,X,X,X
LZIOJST,O,O,O,O,X,X,X
LZIOSTJ,O,O,X,X,O,X,X
LZIOSJT,O,O,O,O,O,X,X
LZJTISO,O,O,X,X,X,X,X
LZJTIOS,O,O,O,X,X,O,X
LZJTSIO,O,O,X,X,X,X,X
LZJTSOI,O,O,X,X,X,X,X
LZJTOIS,O,O,O,X,X,O,X
LZJTOSI,O,O,O,X,X,O,X
LZJITSO,O,O,X,X,X,X,X
LZJITOS,O,O,O,X,X,O,X
LZJISTO,O,O,X,X,X,X,X
LZJISOT,O,O,X,X,X,X,X
LZJIOTS,O,O,O,O,X,X,X
LZJIOST,O,O,O,O,X,X,X
LZJSTIO,O,O,X,X,X,X,X
LZJSTOI,O,O,X,X,X,X,X
LZJSITO,O,O,X,X,X,X,X
LZJSIOT,O,O,X,X,X,X,X
LZJSOTI,O,O,X,X,X,X,X
LZJSOIT,O,O,X,X,X,X,X
LZJOTIS,O,O,O,O,X,X,X
LZJOTSI,O,O,O,O,X,X,X
LZJOITS,O,O,O,O,X,X,X
LZJOIST,O,O,O,O,X,X,X
LZJOSTI,O,O,O,O,X,X,X
LZJOSIT,O,O,O,O,X,X,X
LZSTIJO,O,O,X,X,X,X,X
LZSTIOJ,O,O,O,X,O,X,X
LZSTJIO,O,O,X,X,X,X,X
LZSTJOI,O,O,X,X,X,X,X
LZSTOIJ,O,O,O,X,O,X,X
LZSTOJI,O,O,O,X,O,X,X
LZSITJO,O,O,X,X,X,X,X
LZSITOJ,O,O,O,X,O,X,X
LZSIJTO,O,O,X,X,X,X,X
LZSIJOT,O,O,X,X,O,X,X
LZSIOTJ,O,O,X,X,O,X,X
LZSIOJT,O,O,O,O,O,X,X
LZSJTIO,O,O,X,X,X,X,X
LZSJTOI,O,O,X,X,X,X,X
LZSJITO,O,O,X,X,X,X,X
LZSJIOT,O,O,X,X,O,X,X
LZSJOTI,O,O,X,X,O,X,X
LZSJOIT,O,O,X,X,O,X,X
LZSOTIJ,O,O,X,X,O,X,X
LZSOTJI,O,O,X,X,O,X,X
LZSOITJ,O,O,X,X,O,X,X
LZSOIJT,O,O,O,O,O,X,X
LZSOJTI,O,O,O,O,O,X,X
LZSOJIT,O,O,O,O,O,X,X
LZOTIJS,O,O,O,O,X,X,X
LZOTISJ,O,O,O,O,X,X,X
LZOTJIS,O,O,O,O,X,X,X
LZOTJSI,O,O,O,O,X,X,X
LZOTSIJ,O,O,O,O,X,X,X
LZOTSJI,O,O,O,O,X,X,X
LZOITJS,O,O,O,O,X,X,X
LZOITSJ,O,O,O,O,X,X,X
LZOIJTS,O,O,O,O,X,X,X
LZOIJST,O,O,O,O,X,X,X
LZOISTJ,O,O,X,X,O,X,X
LZOISJT,O,O,O,O,O,X,X
LZOJTIS,O,O,O,O,X,X,X
LZOJTSI,O,O,O,O,X,X,X
LZOJITS,O,O,O,O,X,X,X
LZOJIST,O,O,O,O,X,X,X
LZOJSTI,O,O,O,O,X,X,X
LZOJSIT,O,O,O,O,X,X,X
LZOSTIJ,O,O,X,X,O,X,X
LZOSTJI,O,O,X,X,O,X,X
LZOSITJ,O,O,X,X,O,X,X
LZOSIJT,O,O,O,O,O,X,X
LZOSJTI,O,O,O,O,O,X,X
LZOSJIT,O,O,O,O,O,X,X
LOTIJSZ,O,O,O,X,X,O,X
LOTIJZS,O,X,O,X,X,O,X
LOTISJZ,O,O,O,X,X,O,O
LOTISZJ,O,O,O,X,X,X,O
LOTIZJS,O,O,O,X,X,O,X
LOTIZSJ,O,O,O,X,X,X,O
LOTJISZ,O,O,O,X,X,O,X
LOTJIZS,O,X,O,X,X,O,X
LOTJSIZ,O,O,O,X,X,O,X
LOTJSZI,O,O,O,X,X,O,X
LOTJZIS,O,X,O,X,X,O,X
LOTJZSI,O,X,O,X,X,O,X
LOTSIJZ,O,O,O,X,X,O,O
LOTSIZJ,O,O,O,X,X,X,O
LOTSJIZ,O,O,O,X,X,O,O
LOTSJZI,O,O,O,X,X,O,O
LOTSZIJ,O,O,O,X,X,X,O
LOTSZJI,O,O,O,X,X,X,O
LOTZIJS,O,O,O,X,X,O,X
LOTZISJ,O,O,O,X,X,X,O
LOTZJIS,O,O,O,X,X,O,X
LOTZJSI,O,X,O,X,X,O,X
LOTZSIJ,O,O,O,X,X,X,O
LOTZSJI,O,O,O,X,X,X,O
LOITJSZ,O,O,O,X,X,O,X
LOITJZS,O,X,O,X,X,O,X
LOITSJZ,O,O,O,X,X,O,O
LOITSZJ,O,O,O,X,X,X,O
LOITZJS,O,O,O,X,X,O,X
LOITZSJ,O,O,O,X,X,X,O
LOIJTSZ,O,O,O,X,X,O,X
LOIJTZS,O,X,O,X,X,O,X
LOIJSTZ,O,X,O,X,O,X,X
LOIJSZT,O,X,O,X,O,X,X
LOIJZTS,O,O,O,O,X,X,X
LOIJZST,O,O,O,O,X,X,X
LOISTJZ,O,O,O,X,O,X,O
LOISTZJ,O,O,O,X,X,X,O
LOISJTZ,O,X,O,X,O,X,O
LOISJZT,O,X,O,X,O,X,X
LOISZTJ,O,X,X,X,O,X,O
LOISZJT,O,O,O,X,O,X,X
LOIZTJS,O,O,O,O,X,X,X
LOIZTSJ,O,O,O,O,X,X,X
LOIZJTS,O,O,O,O,X,X,X
LOIZJST,O,O,O,O,X,X,X
LOIZSTJ,O,O,X,X,O,X,X
LOIZSJT,O,O,O,O,O,X,X
LOJTISZ,O,O,O,X,X,O,X
LOJTIZS,O,X,O,X,X,O,X
LOJTSIZ,O,O,O,X,X,O,X
LOJTSZI,O,O,O,X,X,O,X
LOJTZIS,O,X,O,X,X,O,X
LOJTZSI,O,X,O,X,X,O,X
LOJITSZ,O,O,O,X,X,O,X
LOJITZS,O,X,O,X,X,O,X
LOJISTZ,O,X,O,X,O,X,X
LOJISZT,O,X,O,X,O,X,X
LOJIZTS,O,O,O,O,X,X,X
LOJIZST,O,O,O,O,X,X,X
LOJSTIZ,O,X,O,X,O,X,X
LOJSTZI,O,X,O,X,O,X,X
LOJSITZ,O,X,O,X,O,X,X
LOJSIZT,O,X,O,X,O,X,X
LOJSZTI,O,X,O,X,O,X,X
LOJSZIT,O,X,O,X,O,X,X
LOJZTIS,O,O,O,O,X,X,X
LOJZTSI,O,X,O,O,X,X,X
LOJZITS,O,O,O,O,X,X,X
LOJZIST,O,O,O,O,X,X,X
LOJZSTI,O,X,O,O,X,X,X
LOJZSIT,O,O,O,O,X,X,X
LOSTIJZ,O,O,O,X,O,X,O
LOSTIZJ,O,O,O,X,X,X,O
LOSTJIZ,O,O,O,X,O,X,O
LOSTJZI,O,O,O,X,O,X,O
LOSTZIJ,O,O,O,X,X,X,O
LOSTZJI,O,O,O,X,X,X,O
LOSITJZ,O,O,O,X,O,X,O
LOSITZJ,O,O,O,X,X,X,O
LOSIJTZ,O,X,O,X,O,X,O
LOSIJZT,O,X,O,X,O,X,X
LOSIZTJ,O,X,X,X,O,X,O
LOSIZJT,O,O,O,X,O,X,X
LOSJTIZ,O,X,O,X,O,X,O
LOSJTZI,O,X,O,X,O,X,O
LOSJITZ,O,X,O,X,O,X,O
LOSJIZT,O,X,O,X,O,X,X
LOSJZTI,O,X,O,X,O,X,X
LOSJZIT,O,X,O,X,O,X,X
LOSZTIJ,O,X,X,X,O,X,O
LOSZTJI,O,X,X,X,O,X,O
LOSZITJ,O,X,X,X,O,X,O
LOSZIJT,O,O,O,X,O,X,X
LOSZJTI,O,X,O,X,O,X,X
LOSZJIT,O,O,O,X,O,X,X
LOZTIJS,O,O,O,O,X,X,X
LOZTISJ,O,O,O,O,X,X,X
LOZTJIS,O,O,O,O,X,X,X
LOZTJSI,O,O,O,O,X,X,X
LOZTSIJ,O,O,O,O,X,X,X
LOZTSJI,O,O,O,O,X,X,X
LOZITJS,O,O,O,O,X,X,X
LOZITSJ,O,O,O,O,X,X,X
LOZIJTS,O,O,O,O,X,X,X
LOZIJST,O,O,O,O,X,X,X
LOZISTJ,O,O,X,X,O,X,X
LOZISJT,O,O,O,O,O,X,X
LOZJTIS,O,O,O,O,X,X,X
LOZJTSI,O,O,O,O,X,X,X
LOZJITS,O,O,O,O,X,X,X
LOZJIST,O,O,O,O,X,X,X
LOZJSTI,O,O,O,O,X,X,X
LOZJSIT,O,O,O,O,X,X,X
LOZSTIJ,O,O,X,X,O,X,X
LOZSTJI,O,O,X,X,O,X,X
LOZSITJ,O,O,X,X,O,X,X
LOZSIJT,O,O,O,O,O,X,X
LOZSJTI,O,O,O,O,O,X,X
LOZSJIT,O,O,O,O,O,X,X
JTILSZO,O,O,X,X,X,O,X
JTILSOZ,O,O,O,X,X,O,X
JTILZSO,O,X,X,X,X,X,X
JTILZOS,O,X,O,X,X,O,X
JTILOSZ,O,O,O,X,X,O,X
JTILOZS,O,X,O,X,X,O,X
JTISLZO,O,O,X,X,X,O,X
JTISLOZ,O,O,O,X,X,O,X
JTISZLO,X,O,X,X,X,O,X
JTISZOL,X,X,X,X,X,O,X
JTISOLZ,X,O,O,X,X,O,X
JTISOZL,X,X,X,X,X,O,X
JTIZLSO,O,X,X,X,X,X,X
JTIZLOS,O,X,O,X,X,O,X
JTIZSLO,O,X,X,X,X,O,X
JTIZSOL,O,X,X,X,X,O,X
JTIZOLS,O,X,O,X,X,O,X
JTIZOSL,O,X,X,X,X,O,O
JTIOLSZ,O,X,O,X,X,O,X
JTIOLZS,O,X,O,X,X,O,X
JTIOSLZ,X,X,O,X,X,O,O
JTIOSZL,X,X,X,X,X,O,O
JTIOZLS,X,X,O,X,X,O,X
JTIOZSL,X,X,X,X,X,O,O
JTLISZO,O,O,X,X,X,O,X
JTLISOZ,O,O,O,X,X,O,X
JTLIZSO,O,X,X,X,X,X,X
JTLIZOS,O,X,O,X,X,O,X
JTLIOSZ,O,O,O,X,X,O,X
JTLIOZS,O,X,O,X,X,O,X
JTLSIZO,O,O,X,X,X,O,X
JTLSIOZ,O,O,O,X,X,O,X
JTLSZIO,O,O,X,X,X,O,X
JTLSZOI,O,O,X,X,X,O,X
JTLSOIZ,O,O,O,X,X,O,X
JTLSOZI,O,O,O,X,X,O,X
JTLZISO,O,X,X,X,X,X,X
JTLZIOS,O,X,O,X,X,O,X
JTLZSIO,O,X,X,X,X,X,X
JTLZSOI,O,X,X,X,X,X,X
JTLZOIS,O,X,O,X,X,O,X
JTLZOSI,O,X,O,X,X,O,X
JTLOISZ,O,O,O,X,X,O,X
JTLOIZS,O,X,O,X,X,O,X
JTLOSIZ,O,O,O,X,X,O,X
JTLOSZI,O,O,O,X,X,O,X
JTLOZIS,O,X,O,X,X,O,X
JTLOZSI,O,X,O,X,X,O,X
JTSILZO,O,O,X,X,X,O,X
JTSILOZ,O,O,O,X,X,O,X
JTSIZLO,X,O,X,X,X,O,X
JTSIZOL,X,X,X,X,X,O,X
JTSIOLZ,X,O,O,X,X,O,X
JTSIOZL,X,X,X,X,X,O,X
JTSLIZO,O,O,X,X,X,O,X
JTSLIOZ,O,O,O,X,X,O,X
JTSLZIO,O,O,X,X,X,O,X
JTSLZOI,O,O,X,X,X,O,X
JTSLOIZ,O,O,O,X,X,O,X
JTSLOZI,O,O,O,X,X,O,X
JTSZILO,X,O,X,X,X,O,X
JTSZIOL,X,X,X,X,X,O,X
JTSZLIO,X,O,X,X,X,O,X
JTSZLOI,X,O,X,X,X,O,X
JTSZOIL,X,X,X,X,X,O,X
JTSZOLI,X,X,X,X,X,O,X
JTSOILZ,X,O,O,X,X,O,X
JTSOIZL,X,X,X,X,X,O,X
JTSOLIZ,X,O,O,X,X,O,X
JTSOLZI,X,O,O,X,X,O,X
JTSOZIL,X,X,X,X,X,O,X
JTSOZLI,X,X,X,X,X,O,X
JTZILSO,O,X,X,X,X,X,X
JTZILOS,O,X,O,X,X,O,X
JTZISLO,O,X,X,X,X,O,X
JTZISOL,O,X,X,X,X,O,X
JTZIOLS,O,X,O,X,X,O,X
JTZIOSL,O,X,X,X,X,O,O
JTZLISO,O,X,X,X,X,X,X
JTZLIOS,O,X,O,X,X,O,X
JTZLSIO,O,X,X,X,X,X,X
JTZLSOI,O,X,X,X,X,X,X
JTZLOIS,O,X,O,X,X,O,X
JTZLOSI,O,X,O,X,X,O,X
JTZSILO,O,X,X,X,X,O,X
JTZSIOL,O,X,X,X,X,O,X
JTZSLIO,O,X,X,X,X,O,X
JTZSLOI,O,X,X,X,X,O,X
JTZSOIL,O,X,X,X,X,O,X
JTZSOLI,O,X,X,X,X,O,X
JTZOILS,O,X,O,X,X,O,X
JTZOISL,O,X,X,X,X,O,O
JTZOLIS,O,X,O,X,X,O,X
JTZOLSI,O,X,O,X,X,O,X
JTZOSIL,O,X,X,X,X,O,O
JTZOSLI,O,X,X,X,X,O,O
JTOILSZ,O,X,O,X,X,O,X
JTOILZS,O,X,O,X,X,O,X
JTOISLZ,X,X,O,X,X,O,O
JTOISZL,X,X,X,X,X,O,O
JTOIZLS,X,X,O,X,X,O,X
JTOIZSL,X,X,X,X,X,O,O
JTOLISZ,O,X,O,X,X,O,X
JTOLIZS,O,X,O,X,X,O,X
JTOLSIZ,O,X,O,X,X,O,X
JTOLSZI,O,X,O,X,X,O,X
JTOLZIS,O,X,O,X,X,O,X
JTOLZSI,O,X,O,X,X,O,X
JTOSILZ,X,X,O,X,X,O,O
JTOSIZL,X,X,X,X,X,O,O
JTOSLIZ,X,X,O,X,X,O,O
JTOSLZI,X,X,O,X,X,O,O
JTOSZIL,X,X,X,X,X,O,O
JTOSZLI,X,X,X,X,X,O,O
JTOZILS,X,X,O,X,X,O,X
JTOZISL,X,X,X,X,X,O,O
JTOZLIS,X,X,O,X,X,O,X
JTOZLSI,X,X,O,X,X,O,X
JTOZSIL,X,X,X,X,X,O,O
JTOZSLI,X,X,X,X,X,O,O
JITLSZO,O,O,X,X,X,O,X
JITLSOZ,O,O,O,X,X,O,X
JITLZSO,O,X,X,X,X,X,X
JITLZOS,O,X,O,X,X,O,X
JITLOSZ,O,O,O,X,X,O,X
JITLOZS,O,X,O,X,X,O,X
JITSLZO,O,O,X,X,X,O,X
JITSLOZ,O,O,O,X,X,O,X
JITSZLO,X,O,X,X,X,O,X
JITSZOL,X,X,X,X,X,O,X
JITSOLZ,X,O,O,X,X,O,X
JITSOZL,X,X,X,X,X,O,X
JITZLSO,O,X,X,X,X,X,X
JITZLOS,O,X,O,X,X,O,X
JITZSLO,O,X,X,X,X,O,X
JITZSOL,O,X,X,X,X,O,X
JITZOLS,O,X,O,X,X,O,X
JITZOSL,O,X,X,X,X,O,O
JITOLSZ,O,X,O,X,X,O,X
JITOLZS,O,X,O,X,X,O,X
JITOSLZ,X,X,O,X,X,O,O
JITOSZL,X,X,X,X,X,O,O
JITOZLS,X,X,O,X,X,O,X
JITOZSL,X,X,X,X,X,O,O
JILTSZO,O,O,X,X,X,O,X
JILTSOZ,O,O,O,X,X,O,X
JILTZSO,O,X,X,X,X,X,X
JILTZOS,O,X,O,X,X,O,X
JILTOSZ,O,O,O,X,X,O,X
JILTOZS,O,X,O,X,X,O,X
JILSTZO,O,X,X,X,X,X,X
JILSTOZ,O,X,O,X,X,O,X
JILSZTO,O,X,X,X,X,X,X
JILSZOT,O,X,X,X,X,X,X
JILSOTZ,O,X,O,X,X,X,X
JILSOZT,O,X,O,X,X,X,X
JILZTSO,O,O,X,X,X,X,X
JILZTOS,O,O,O,X,X,O,X
JILZSTO,O,O,X,X,X,X,X
JILZSOT,O,O,X,X,X,X,X
JILZOTS,O,O,O,X,X,X,X
JILZOST,O,O,O,X,X,X,X
JILOTSZ,O,O,O,X,X,O,X
JILOTZS,O,X,O,X,X,O,X
JILOSTZ,O,X,O,X,X,X,X
JILOSZT,O,X,O,X,X,X,X
JILOZTS,O,O,O,X,X,X,X
JILOZST,O,O,O,X,X,X,X
JISTLZO,O,X,X,X,X,O,X
JISTLOZ,O,X,O,X,X,O,X
JISTZLO,X,X,X,X,X,O,X
JISTZOL,X,X,X,X,X,O,X
JISTOLZ,X,X,O,X,X,O,X
JISTOZL,X,X,X,X,X,O,X
JISLTZO,O,X,X,X,X,X,X
JISLTOZ,O,X,O,X,X,O,X
JISLZTO,O,X,X,X,X,X,X
JISLZOT,O,X,X,X,X,X,X
JISLOTZ,O,X,O,X,O,X,O
JISLOZT,O,X,O,X,O,X,X
JISZTLO,O,X,X,X,X,X,X
JISZTOL,O,X,X,X,X,X,X
JISZLTO,O,X,X,X,X,X,X
JISZLOT,O,X,X,X,O,X,X
JISZOTL,O,X,X,X,O,X,X
JISZOLT,O,X,X,X,O,X,X
JISOTLZ,X,X,O,X,O,X,O
JISOTZL,X,X,X,X,O,X,O
JISOLTZ,X,X,O,X,O,X,O
JISOLZT,X,X,O,X,O,X,X
JISOZTL,X,X,X,X,O,X,X
JISOZLT,X,X,X,X,O,X,X
JIZTLSO,O,O,X,X,X,X,X
JIZTLOS,O,O,O,O,X,O,X
JIZTSLO,O,O,X,X,X,O,X
JIZTSOL,O,O,X,X,X,O,X
JIZTOLS,O,O,O,O,X,O,X
JIZTOSL,O,O,X,O,X,O,X
JIZLTSO,O,O,X,X,X,X,X
JIZLTOS,O,O,O,X,X,O,X
JIZLSTO,O,O,X,X,X,X,X
JIZLSOT,O,O,X,X,X,X,X
JIZLOTS,O,O,O,O,X,X,X
JIZLOST,O,O,O,O,X,X,X
JIZSTLO,O,O,X,X,X,X,X
JIZSTOL,O,O,X,X,X,X,X
JIZSLTO,O,O,X,X,X,X,X
JIZSLOT,O,O,X,X,O,X,X
JIZSOTL,O,X,X,X,O,X,X
JIZSOLT,O,O,X,X,O,X,X
JIZOTLS,O,O,O,O,X,X,X
JIZOTSL,O,O,X,O,X,X,X
JIZOLTS,O,O,O,O,X,X,X
JIZOLST,O,O,O,O,X,X,X
JIZOSTL,O,X,X,X,O,X,X
JIZOSLT,O,O,X,O,O,X,X
JIOTLSZ,O,X,O,X,X,O,X
JIOTLZS,O,X,O,X,X,O,X
JIOTSLZ,X,X,O,X,O,O,O
JIOTSZL,X,X,X,X,O,O,O
JIOTZLS,X,X,O,O,X,O,X
JIOTZSL,X,X,X,X,X,O,O
JIOLTSZ,O,X,O,X,X,O,X
JIOLTZS,O,X,O,X,X,O,X
JIOLSTZ,O,X,O,X,O,X,X
JIOLSZT,O,X,O,X,O,X,X
JIOLZTS,O,X,O,O,X,X,X
JIOLZST,O,X,O,O,X,X,X
JIOSTLZ,X,X,O,X,O,X,O
JIOSTZL,X,X,X,X,O,X,O
JIOSLTZ,X,X,O,X,O,X,O
JIOSLZT,X,X,O,X,O,X,X
JIOSZTL,X,X,X,X,O,X,X
JIOSZLT,X,X,X,O,O,X,X
JIOZTLS,O,X,O,O,X,X,X
JIOZTSL,O,X,X,O,X,X,X
JIOZLTS,O,X,O,O,X,X,X
JIOZLST,O,X,O,O,X,X,X
JIOZSTL,O,X,X,X,O,X,X
JIOZSLT,O,X,X,O,O,X,X
JLTISZO,O,O,X,X,X,O,X
JLTISOZ,O,O,O,X,X,O,X
JLTIZSO,O,X,X,X,X,X,X
JLTIZOS,O,X,O,X,X,O,X
JLTIOSZ,O,O,O,X,X,O,X
JLTIOZS,O,X,O,X,X,O,X
JLTSIZO,O,O,X,X,X,O,X
JLTSIOZ,O,O,O,X,X,O,X
JLTSZIO,O,O,X,X,X,O,X
JLTSZOI,O,O,X,X,X,O,X
JLTSOIZ,O,O,O,X,X,O,X
JLTSOZI,O,O,O,X,X,O,X
JLTZISO,O,X,X,X,X,X,X
JLTZIOS,O,X,O,X,X,O,X
JLTZSIO,O,X,X,X,X,X,X
JLTZSOI,O,X,X,X,X,X,X
JLTZOIS,O,X,O,X,X,O,X
JLTZOSI,O,X,O,X,X,O,X
JLTOISZ,O,O,O,X,X,O,X
JLTOIZS,O,X,O,X,X,O,X
JLTOSIZ,O,O,O,X,X,O,X
JLTOSZI,O,O,O,X,X,O,X
JLTOZIS,O,X,O,X,X,O,X
JLTOZSI,O,X,O,X,X,O,X
JLITSZO,O,O,X,X,X,O,X
JLITSOZ,O,O,O,X,X,O,X
JLITZSO,O,X,X,X,X,X,X
JLITZOS,O,X,O,X,X,O,X
JLITOSZ,O,O,O,X,X,O,X
JLITOZS,O,X,O,X,X,O,X
JLISTZO,O,X,X,X,X,X,X
JLISTOZ,O,X,O,X,X,O,X
JLISZTO,O,X,X,X,X,X,X
JLISZOT,O,X,X,X,X,X,X
JLISOTZ,O,X,O,X,X,X,X
JLISOZT,O,X,O,X,X,X,X
JLIZTSO,O,O,X,X,X,X,X
JLIZTOS,O,O,O,X,X,O,X
JLIZSTO,O,O,X,X,X,X,X
JLIZSOT,O,O,X,X,X,X,X
JLIZOTS,O,O,O,X,X,X,X
JLIZOST,O,O,O,X,X,X,X
JLIOTSZ,O,O,O,X,X,O,X
JLIOTZS,O,X,O,X,X,O,X
JLIOSTZ,O,X,O,X,X,X,X
JLIOSZT,O,X,O,X,X,X,X
JLIOZTS,O,O,O,X,X,X,X
JLIOZST,O,O,O,X,X,X,X
JLSTIZO,O,X,X,X,X,X,X
JLSTIOZ,O,X,O,X,X,O,X
JLSTZIO,O,X,X,X,X,X,X
JLSTZOI,O,X,X,X,X,X,X
JLSTOIZ,O,X,O,X,X,O,X
JLSTOZI,O,X,O,X,X,O,X
JLSITZO,O,X,X,X,X,X,X
JLSITOZ,O,X,O,X,X,O,X
JLSIZTO,O,X,X,X,X,X,X
JLSIZOT,O,X,X,X,X,X,X
JLSIOTZ,O,X,O,X,X,X,X
JLSIOZT,O,X,O,X,X,X,X
