sequence,v115@5gB8GeC8HeD8FeG8AeF8JeZ/IvhFCbBXcBTeB8kBGm?BlqB,v115@5gB8GeC8HeD8FeG8AeF8JeZ/IvhFCcBTeBukB/mBUg?BlqB,v115@5gB8GeC8HeD8FeG8AeF8Jex7IvhFTeBKkBGgB/mB0f?BlqB,v115@5gB8GeC8HeD8FeG8AeF8Je//IvhFUbBFcBTeB2pBxl?BCrB,v115@5gB8GeC8HeD8FeG8AeF8JeO/IvhF8fBTeB5lB/rByu?BFrB,v115@5gB8GeC8HeD8FeG8AeF8JeO/IvhFTeBRgB0gB6mB3k?BlqB
LZOITJS,O,X,X,O,O,X
LZOITSJ,O,X,X,X,O,X
LZOIJTS,O,X,X,O,O,X
LZOIJST,O,X,X,O,O,X
LZOISTJ,O,O,X,X,O,X
LZOISJT,O,O,X,X,O,X
LZOJTIS,O,X,X,O,O,X
LZOJTSI,O,X,X,O,O,X
LZOJITS,O,X,X,O,O,X
LZOJIST,O,X,X,O,O,X
LZOJSTI,O,X,X,O,O,X
LZOJSIT,O,X,X,O,O,X
LZOSTIJ,O,O,O,X,O,X
LZOSTJI,X,O,O,X,O,X
LZOSITJ,O,O,X,X,O,X
LZOSIJT,O,O,X,X,O,X
LZOSJTI,O,X,X,X,O,X
LZOSJIT,O,O,X,X,O,X
LOTIJSZ,O,O,O,O,X,X
LOTIJZS,O,X,X,O,X,X
LOTISJZ,O,O,O,O,X,X
LOTISZJ,O,O,O,X,O,X
LOTIZJS,O,X,X,O,O,X
LOTIZSJ,O,X,X,X,O,X
LOTJISZ,O,O,O,O,X,X
LOTJIZS,O,X,X,O,X,X
LOTJSIZ,O,O,O,O,X,X
LOTJSZI,O,O,O,O,X,X
LOTJZIS,O,X,X,O,X,X
LOTJZSI,O,X,O,O,X,X
LOTSIJZ,O,O,O,O,X,O
LOTSIZJ,O,O,O,X,O,X
LOTSJIZ,O,O,O,O,X,O
LOTSJZI,O,O,O,O,X,X
LOTSZIJ,O,O,O,X,O,X
LOTSZJI,O,O,O,X,O,X
LOTZIJS,O,X,X,O,O,X
LOTZISJ,O,X,X,X,O,X
LOTZJIS,O,X,X,O,O,X
LOTZJSI,O,X,O,O,O,X
LOTZSIJ,O,X,O,X,O,X
LOTZSJI,O,X,O,X,O,X
LOITJSZ,O,O,O,O,X,X
LOITJZS,O,X,X,O,X,X
LOITSJZ,O,O,O,O,X,X
LOITSZJ,O,O,O,X,O,X
LOITZJS,O,X,X,O,O,X
LOITZSJ,O,X,X,X,O,X
LOIJTSZ,O,O,X,O,X,X
LOIJTZS,O,X,X,O,X,X
LOIJSTZ,O,O,X,O,X,X
LOIJSZT,O,O,X,O,O,X
LOIJZTS,O,X,X,O,O,X
LOIJZST,O,X,X,O,O,X
LOISTJZ,O,O,O,O,X,X
LOISTZJ,O,O,O,X,O,X
LOISJTZ,O,O,X,O,X,X
LOISJZT,O,O,X,O,O,X
LOISZTJ,O,O,X,X,O,X
LOISZJT,O,O,X,X,O,X
LOIZTJS,O,X,X,O,O,X
LOIZTSJ,O,X,X,X,O,X
LOIZJTS,O,X,X,O,O,X
LOIZJST,O,X,X,O,O,X
LOIZSTJ,O,O,X,X,O,X
LOIZSJT,O,O,X,X,O,X
LOJTISZ,X,O,O,O,X,X
LOJTIZS,X,X,X,O,X,X
LOJTSIZ,X,O,O,O,X,X
LOJTSZI,X,O,O,O,X,X
LOJTZIS,X,X,X,O,X,X
LOJTZSI,X,X,O,O,X,X
LOJITSZ,O,O,X,O,X,X
LOJITZS,O,X,X,O,X,X
LOJISTZ,O,O,X,O,X,X
LOJISZT,O,O,X,O,O,X
LOJIZTS,O,X,X,O,O,X
LOJIZST,O,X,X,O,O,X
LOJSTIZ,X,O,O,O,X,X
LOJSTZI,X,O,O,O,X,X
LOJSITZ,O,O,X,O,X,X
LOJSIZT,O,O,X,O,O,X
LOJSZTI,O,X,X,O,O,X
LOJSZIT,O,O,X,O,O,X
LOJZTIS,O,X,X,O,O,X
LOJZTSI,O,X,X,O,O,X
LOJZITS,O,X,X,O,O,X
LOJZIST,O,X,X,O,O,X
LOJZSTI,O,X,X,O,O,X
LOJZSIT,O,X,X,O,O,X
LOSTIJZ,O,O,O,O,X,O
LOSTIZJ,O,O,O,X,O,X
LOSTJIZ,O,O,O,O,X,O
LOSTJZI,O,O,O,O,X,X
LOSTZIJ,O,O,O,X,O,X
LOSTZJI,O,O,O,X,O,X
LOSITJZ,O,O,O,O,X,X
LOSITZJ,O,O,O,X,O,X
LOSIJTZ,O,O,X,O,X,O
LOSIJZT,O,O,X,O,O,O
LOSIZTJ,O,O,X,X,O,X
LOSIZJT,O,O,X,X,O,X
LOSJTIZ,X,O,O,O,X,O
LOSJTZI,X,O,O,O,X,X
LOSJITZ,O,O,X,O,X,O
LOSJIZT,O,O,X,O,O,O
LOSJZTI,O,X,X,O,O,X
LOSJZIT,O,O,X,O,O,X
LOSZTIJ,O,O,O,X,O,X
LOSZTJI,X,O,O,X,O,X
LOSZITJ,O,O,X,X,O,X
LOSZIJT,O,O,X,X,O,X
LOSZJTI,X,X,X,X,O,X
LOSZJIT,O,O,X,X,O,X
LOZTIJS,O,X,X,O,O,X
LOZTISJ,O,X,X,X,O,X
LOZTJIS,O,X,X,O,O,X
LOZTJSI,O,X,O,O,O,X
LOZTSIJ,O,X,O,X,O,X
LOZTSJI,O,X,O,X,O,X
LOZITJS,O,X,X,O,O,X
LOZITSJ,O,X,X,X,O,X
LOZIJTS,O,X,X,O,O,X
LOZIJST,O,X,X,O,O,X
LOZISTJ,O,O,X,X,O,X
LOZISJT,O,O,X,X,O,X
LOZJTIS,O,X,X,O,O,X
LOZJTSI,O,X,X,O,O,X
LOZJITS,O,X,X,O,O,X
LOZJIST,O,X,X,O,O,X
LOZJSTI,O,X,X,O,O,X
LOZJSIT,O,X,X,O,O,X
LOZSTIJ,O,O,O,X,O,X
LOZSTJI,X,O,O,X,O,X
LOZSITJ,O,O,X,X,O,X
LOZSIJT,O,O,X,X,O,X
LOZSJTI,O,X,X,X,O,X
LOZSJIT,O,O,X,X,O,X
JTILSZO,O,O,X,O,X,X
JTILSOZ,O,O,X,O,X,X
JTILZSO,O,X,X,O,X,X
JTILZOS,O,X,X,O,X,X
JTILOSZ,O,O,X,O,X,X
JTILOZS,O,X,X,O,X,X
JTISLZO,O,O,X,O,X,X
JTISLOZ,O,O,X,O,X,X
JTISZLO,O,O,X,O,X,X
JTISZOL,O,O,X,O,X,X
JTISOLZ,O,O,X,O,X,X
JTISOZL,O,O,X,O,X,X
JTIZLSO,O,X,X,X,X,X
JTIZLOS,O,X,X,X,X,X
JTIZSLO,O,O,X,O,X,X
JTIZSOL,O,O,X,O,X,X
JTIZOLS,O,X,X,X,X,X
JTIZOSL,O,O,X,O,X,X
JTIOLSZ,O,O,X,O,X,X
JTIOLZS,O,X,X,O,X,X
JTIOSLZ,O,O,X,O,X,X
JTIOSZL,O,O,X,O,X,X
JTIOZLS,O,X,X,X,X,X
JTIOZSL,O,O,X,O,X,X
JTLISZO,O,O,O,O,X,X
JTLISOZ,O,O,O,O,X,X
JTLIZSO,O,X,X,O,X,X
JTLIZOS,O,X,X,O,X,X
JTLIOSZ,O,O,O,O,X,X
JTLIOZS,O,X,X,O,X,X
JTLSIZO,O,O,O,O,X,X
JTLSIOZ,O,O,O,O,X,X
JTLSZIO,O,O,O,O,X,X
JTLSZOI,O,O,O,O,X,X
JTLSOIZ,O,O,O,O,X,X
JTLSOZI,O,O,O,O,X,X
JTLZISO,O,X,X,O,X,X
JTLZIOS,O,X,X,O,X,X
JTLZSIO,O,X,O,O,X,X
JTLZSOI,O,X,O,O,X,X
JTLZOIS,O,X,X,O,X,X
JTLZOSI,O,X,O,O,X,X
JTLOISZ,O,O,O,O,X,X
JTLOIZS,O,X,X,O,X,X
JTLOSIZ,O,O,O,O,X,X
JTLOSZI,O,O,O,O,X,X
JTLOZIS,O,X,X,O,X,X
JTLOZSI,O,X,O,O,X,X
JTSILZO,O,O,O,O,X,X
JTSILOZ,O,O,O,O,X,O
JTSIZLO,O,O,X,O,X,X
JTSIZOL,O,O,X,O,X,O
JTSIOLZ,O,O,O,O,X,O
JTSIOZL,O,O,X,O,X,O
JTSLIZO,O,O,O,O,X,X
JTSLIOZ,O,O,O,O,X,O
JTSLZIO,O,O,O,O,X,X
JTSLZOI,O,O,O,O,X,X
JTSLOIZ,O,O,O,O,X,O
JTSLOZI,O,O,O,O,X,X
JTSZILO,O,O,X,O,X,X
JTSZIOL,O,O,X,O,X,O
JTSZLIO,O,O,X,O,X,X
JTSZLOI,O,O,X,O,X,X
JTSZOIL,O,O,X,O,X,O
JTSZOLI,O,O,X,O,X,X
JTSOILZ,O,O,O,O,X,O
JTSOIZL,O,O,X,O,X,O
JTSOLIZ,O,O,O,O,X,O
JTSOLZI,O,O,O,O,X,X
JTSOZIL,O,O,X,O,X,O
JTSOZLI,O,O,X,O,X,X
JTZILSO,O,X,X,X,X,X
JTZILOS,O,X,X,X,X,X
JTZISLO,O,O,X,O,X,X
JTZISOL,O,O,X,O,X,X
JTZIOLS,O,X,X,X,X,X
JTZIOSL,O,O,X,O,X,X
JTZLISO,O,X,X,O,X,X
JTZLIOS,O,X,X,O,X,X
JTZLSIO,O,X,X,O,X,X
JTZLSOI,O,X,X,O,X,X
JTZLOIS,O,X,X,O,X,X
JTZLOSI,O,X,X,O,X,X
JTZSILO,O,O,X,O,X,X
JTZSIOL,O,O,X,O,X,X
JTZSLIO,O,O,X,X,X,X
JTZSLOI,O,O,X,O,X,X
JTZSOIL,O,O,X,O,X,X
JTZSOLI,O,O,X,O,X,X
JTZOILS,O,X,X,X,X,X
JTZOISL,O,O,X,O,X,X
JTZOLIS,O,X,X,O,X,X
JTZOLSI,O,X,X,O,X,X
JTZOSIL,O,O,X,O,X,X
JTZOSLI,O,O,X,O,X,X
JTOILSZ,O,O,X,O,X,X
JTOILZS,O,X,X,O,X,X
JTOISLZ,O,O,X,O,X,X
JTOISZL,O,O,X,O,X,X
JTOIZLS,O,X,X,X,X,X
JTOIZSL,O,O,X,O,X,X
JTOLISZ,O,O,O,O,X,X
JTOLIZS,O,X,X,O,X,X
JTOLSIZ,O,O,O,O,X,X
JTOLSZI,O,O,O,O,X,X
JTOLZIS,O,X,X,O,X,X
JTOLZSI,O,X,O,O,X,X
JTOSILZ,O,O,O,O,X,O
JTOSIZL,O,O,X,O,X,O
JTOSLIZ,O,O,O,O,X,O
JTOSLZI,O,O,O,O,X,X
JTOSZIL,O,O,X,O,X,O
JTOSZLI,O,O,X,O,X,X
JTOZILS,O,X,X,X,X,X
JTOZISL,O,O,X,O,X,X
JTOZLIS,O,X,X,O,X,X
JTOZLSI,O,X,X,O,X,X
JTOZSIL,O,O,X,O,X,X
JTOZSLI,O,O,X,O,X,X
JITLSZO,O,O,X,O,X,X
JITLSOZ,O,O,X,O,X,X
JITLZSO,O,X,X,O,X,X
JITLZOS,O,X,X,O,X,X
JITLOSZ,O,O,X,O,X,X
JITLOZS,O,X,X,O,X,X
JITSLZO,O,O,X,O,X,X
JITSLOZ,O,O,X,O,X,X
JITSZLO,O,O,X,O,X,X
JITSZOL,O,O,X,O,X,X
JITSOLZ,O,O,X,O,X,X
JITSOZL,O,O,X,O,X,X
JITZLSO,O,X,X,X,X,X
JITZLOS,O,X,X,X,X,X
JITZSLO,O,O,X,O,X,X
JITZSOL,O,O,X,O,X,X
JITZOLS,O,X,X,X,X,X
JITZOSL,O,O,X,O,X,X
JITOLSZ,O,O,X,O,X,X
JITOLZS,O,X,X,O,X,X
JITOSLZ,O,O,X,O,X,X
JITOSZL,O,O,X,O,X,X
JITOZLS,O,X,X,X,X,X
JITOZSL,O,O,X,O,X,X
JILTSZO,O,O,X,O,X,X
JILTSOZ,O,O,X,O,X,X
JILTZSO,O,X,X,O,X,X
JILTZOS,O,X,X,O,X,X
JILTOSZ,O,O,X,O,X,X
JILTOZS,O,X,X,O,X,X
JILSTZO,O,O,X,O,X,X
JILSTOZ,O,O,X,O,X,X
JILSZTO,O,X,X,O,O,X
JILSZOT,O,O,X,O,O,X
JILSOTZ,O,O,X,O,X,X
JILSOZT,O,O,X,O,O,X
JILZTSO,O,X,X,O,O,X
JILZTOS,O,X,X,O,O,X
JILZSTO,O,X,X,O,O,X
JILZSOT,O,X,X,O,O,X
JILZOTS,O,X,X,O,O,X
JILZOST,O,X,X,O,O,X
JILOTSZ,O,O,X,O,X,X
JILOTZS,O,X,X,O,X,X
JILOSTZ,O,O,X,O,X,X
JILOSZT,O,O,X,O,O,X
JILOZTS,O,X,X,O,O,X
JILOZST,O,X,X,O,O,X
JISTLZO,O,O,O,O,X,X
JISTLOZ,O,O,O,O,X,X
JISTZLO,O,O,X,O,X,X
JISTZOL,O,O,X,O,X,X
JISTOLZ,O,O,O,O,X,X
JISTOZL,O,O,X,O,X,X
JISLTZO,O,O,X,O,X,X
JISLTOZ,O,O,X,O,X,X
JISLZTO,O,X,X,O,O,X
JISLZOT,O,O,X,O,O,X
JISLOTZ,O,O,X,O,X,X
JISLOZT,O,O,X,O,O,X
JISZTLO,O,X,X,O,X,X
JISZTOL,O,X,X,O,X,X
JISZLTO,O,X,X,O,X,X
JISZLOT,O,O,X,O,X,X
JISZOTL,O,X,X,O,X,X
JISZOLT,O,O,X,O,X,X
JISOTLZ,O,O,O,O,X,X
JISOTZL,O,O,X,O,X,X
JISOLTZ,O,O,X,O,X,X
JISOLZT,O,O,X,O,O,X
JISOZTL,O,X,X,O,X,X
JISOZLT,O,O,X,O,X,X
JIZTLSO,O,X,X,X,X,X
JIZTLOS,O,X,X,X,X,X
JIZTSLO,O,O,X,O,X,X
JIZTSOL,O,O,X,O,X,X
JIZTOLS,O,X,X,X,X,X
JIZTOSL,O,O,X,O,X,X
JIZLTSO,O,X,X,X,X,X
JIZLTOS,O,X,X,X,X,X
JIZLSTO,O,X,X,X,X,X
JIZLSOT,O,X,X,X,X,X
JIZLOTS,O,X,X,X,X,X
JIZLOST,O,X,X,X,X,X
JIZSTLO,O,X,X,O,X,X
JIZSTOL,O,X,X,O,X,X
JIZSLTO,O,X,X,O,X,X
JIZSLOT,O,O,X,O,X,X
JIZSOTL,O,X,X,O,X,X
JIZSOLT,O,O,X,O,X,X
JIZOTLS,O,X,X,X,X,X
JIZOTSL,O,O,X,O,X,X
JIZOLTS,O,X,X,X,X,X
JIZOLST,O,X,X,X,X,X
JIZOSTL,O,X,X,O,X,X
JIZOSLT,O,O,X,O,X,X
JIOTLSZ,O,O,X,O,X,X
JIOTLZS,O,X,X,O,X,X
JIOTSLZ,O,O,X,O,X,X
JIOTSZL,O,O,X,O,X,X
JIOTZLS,O,X,X,X,X,X
JIOTZSL,O,O,X,O,X,X
JIOLTSZ,O,O,X,O,X,X
JIOLTZS,O,X,X,O,X,X
JIOLSTZ,O,O,X,O,X,X
JIOLSZT,O,O,X,O,O,X
JIOLZTS,O,X,X,O,O,X
JIOLZST,O,X,X,O,O,X
JIOSTLZ,O,O,O,O,X,X
JIOSTZL,O,O,X,O,X,X
JIOSLTZ,O,O,X,O,X,X
JIOSLZT,O,O,X,O,O,X
JIOSZTL,O,X,X,O,X,X
JIOSZLT,O,O,X,O,X,X
JIOZTLS,O,X,X,X,X,X
JIOZTSL,O,O,X,O,X,X
JIOZLTS,O,X,X,X,X,X
JIOZLST,O,X,X,X,X,X
JIOZSTL,O,X,X,O,X,X
JIOZSLT,O,O,X,O,X,X
JLTISZO,X,O,O,O,X,X
JLTISOZ,X,O,O,O,X,X
JLTIZSO,X,X,X,O,X,X
JLTIZOS,X,X,X,O,X,X
JLTIOSZ,X,O,O,O,X,X
JLTIOZS,X,X,X,O,X,X
JLTSIZO,X,O,O,O,X,X
JLTSIOZ,X,O,O,O,X,X
JLTSZIO,X,O,O,O,X,X
JLTSZOI,X,O,O,O,X,X
JLTSOIZ,X,O,O,O,X,X
JLTSOZI,X,O,O,O,X,X
JLTZISO,X,X,X,O,X,X
JLTZIOS,X,X,X,O,X,X
JLTZSIO,X,X,O,O,X,X
JLTZSOI,X,X,O,O,X,X
JLTZOIS,X,X,X,O,X,X
JLTZOSI,X,X,O,O,X,X
JLTOISZ,X,O,O,O,X,X
JLTOIZS,X,X,X,O,X,X
JLTOSIZ,X,O,O,O,X,X
JLTOSZI,X,O,O,O,X,X
JLTOZIS,X,X,X,O,X,X
JLTOZSI,X,X,O,O,X,X
JLITSZO,O,O,X,O,X,X
JLITSOZ,O,O,X,O,X,X
JLITZSO,O,X,X,O,X,X
JLITZOS,O,X,X,O,X,X
JLITOSZ,O,O,X,O,X,X
JLITOZS,O,X,X,O,X,X
JLISTZO,O,O,X,O,X,X
JLISTOZ,O,O,X,O,X,X
JLISZTO,O,X,X,O,O,X
JLISZOT,O,O,X,O,O,X
JLISOTZ,O,O,X,O,X,X
JLISOZT,O,O,X,O,O,X
JLIZTSO,O,X,X,O,O,X
JLIZTOS,O,X,X,O,O,X
JLIZSTO,O,X,X,O,O,X
JLIZSOT,O,X,X,O,O,X
JLIZOTS,O,X,X,O,O,X
JLIZOST,O,X,X,O,O,X
JLIOTSZ,O,O,X,O,X,X
JLIOTZS,O,X,X,O,X,X
JLIOSTZ,O,O,X,O,X,X
JLIOSZT,O,O,X,O,O,X
JLIOZTS,O,X,X,O,O,X
JLIOZST,O,X,X,O,O,X
JLSTIZO,X,O,O,O,X,X
JLSTIOZ,X,O,O,O,X,X
JLSTZIO,X,O,O,O,X,X
JLSTZOI,X,O,O,O,X,X
JLSTOIZ,X,O,O,O,X,X
JLSTOZI,X,O,O,O,X,X
JLSITZO,O,O,X,O,X,X
JLSITOZ,O,O,X,O,X,X
JLSIZTO,O,X,X,O,O,X
JLSIZOT,O,O,X,O,O,X
JLSIOTZ,O,O,X,O,X,X
JLSIOZT,O,O,X,O,O,X
JLSZTIO,O,X,X,O,O,X
JLSZTOI,O,X,X,O,O,X
JLSZITO,O,X,X,O,O,X
JLSZIOT,O,O,X,O,O,X
JLSZOTI,O,X,X,O,O,X
JLSZOIT,O,O,X,O,O,X
JLSOTIZ,X,O,O,O,X,X
JLSOTZI,X,O,O,O,X,X
JLSOITZ,O,O,X,O,X,X
JLSOIZT,O,O,X,O,O,X
JLSOZTI,O,X,X,O,O,X
JLSOZIT,O,O,X,O,O,X
JLZTISO,O,X,X,O,O,X
JLZTIOS,O,X,X,O,O,X
JLZTSIO,O,X,X,O,O,X
JLZTSOI,O,X,X,O,O,X
JLZTOIS,O,X,X,O,O,X
JLZTOSI,O,X,X,O,O,X
JLZITSO,O,X,X,O,O,X
JLZITOS,O,X,X,O,O,X
JLZISTO,O,X,X,O,O,X
JLZISOT,O,X,X,O,O,X
JLZIOTS,O,X,X,O,O,X
JLZIOST,O,X,X,O,O,X
JLZSTIO,O,X,X,O,O,X
JLZSTOI,O,X,X,O,O,X
JLZSITO,O,X,X,O,O,X
JLZSIOT,O,X,X,O,O,X
JLZSOTI,O,X,X,O,O,X
JLZSOIT,O,X,X,O,O,X
JLZOTIS,O,X,X,O,O,X
JLZOTSI,O,X,X,O,O,X
JLZOITS,O,X,X,O,O,X
JLZOIST,O,X,X,O,O,X
JLZOSTI,O,X,X,O,O,X
JLZOSIT,O,X,X,O,O,X
JLOTISZ,X,O,O,O,X,X
JLOTIZS,X,X,X,O,X,X
JLOTSIZ,X,O,O,O,X,X
JLOTSZI,X,O,O,O,X,X
JLOTZIS,X,X,X,O,X,X
JLOTZSI,X,X,O,O,X,X
JLOITSZ,O,O,X,O,X,X
JLOITZS,O,X,X,O,X,X
JLOISTZ,O,O,X,O,X,X
JLOISZT,O,O,X,O,O,X
JLOIZTS,O,X,X,O,O,X
JLOIZST,O,X,X,O,O,X
JLOSTIZ,X,O,O,O,X,X
JLOSTZI,X,O,O,O,X,X
JLOSITZ,O,O,X,O,X,X
JLOSIZT,O,O,X,O,O,X
JLOSZTI,O,X,X,O,O,X
JLOSZIT,O,O,X,O,O,X
JLOZTIS,O,X,X,O,O,X
JLOZTSI,O,X,X,O,O,X
JLOZITS,O,X,X,O,O,X
JLOZIST,O,X,X,O,O,X
JLOZSTI,O,X,X,O,O,X
JLOZSIT,O,X,X,O,O,X
JSTILZO,O,O,O,O,X,X
JSTILOZ,O,O,O,O,X,O
JSTIZLO,O,O,X,O,X,X
JSTIZOL,O,O,X,O,X,O
JSTIOLZ,O,O,O,O,X,O
JSTIOZL,O,O,X,O,X,O
JSTLIZO,O,O,O,O,X,X
JSTLIOZ,O,O,O,O,X,O
JSTLZIO,O,O,O,O,X,X
JSTLZOI,O,O,O,O,X,X
JSTLOIZ,O,O,O,O,X,O
JSTLOZI,O,O,O,O,X,X
JSTZILO,O,O,X,O,X,X
JSTZIOL,O,O,X,O,X,O
JSTZLIO,O,O,X,O,X,X
JSTZLOI,O,O,X,O,X,X
JSTZOIL,O,O,X,O,X,O
JSTZOLI,O,O,X,O,X,X
JSTOILZ,O,O,O,O,X,O
JSTOIZL,O,O,X,O,X,O
JSTOLIZ,O,O,O,O,X,O
JSTOLZI,O,O,O,O,X,X
JSTOZIL,O,O,X,O,X,O
JSTOZLI,O,O,X,O,X,X
JSITLZO,O,O,O,O,X,X
JSITLOZ,O,O,O,O,X,O
JSITZLO,O,O,X,O,X,X
JSITZOL,O,O,X,O,X,O
JSITOLZ,O,O,O,O,X,O
JSITOZL,O,O,X,O,X,O
JSILTZO,O,O,X,O,X,X
JSILTOZ,O,O,X,O,X,X
JSILZTO,O,X,X,O,O,X
JSILZOT,O,O,X,O,O,X
JSILOTZ,O,O,X,O,X,O
JSILOZT,O,O,X,O,O,O
JSIZTLO,O,X,X,O,X,X
JSIZTOL,O,X,X,O,X,X
JSIZLTO,O,X,X,O,X,X
JSIZLOT,O,O,X,O,X,X
JSIZOTL,O,X,X,O,X,O
JSIZOLT,O,O,X,O,X,O
JSIOTLZ,O,O,O,O,X,O
JSIOTZL,O,O,X,O,X,O
JSIOLTZ,O,O,X,O,X,O
JSIOLZT,O,O,X,O,O,O
JSIOZTL,O,X,X,O,X,O
JSIOZLT,O,O,X,O,X,O
JSLTIZO,X,O,O,O,X,X
JSLTIOZ,X,O,O,O,X,O
JSLTZIO,X,O,O,O,X,X
JSLTZOI,X,O,O,O,X,X
JSLTOIZ,X,O,O,O,X,O
JSLTOZI,X,O,O,O,X,X
JSLITZO,O,O,X,O,X,X
JSLITOZ,O,O,X,O,X,X
JSLIZTO,O,X,X,O,O,X
JSLIZOT,O,O,X,O,O,X
JSLIOTZ,O,O,X,O,X,O
JSLIOZT,O,O,X,O,O,O
JSLZTIO,O,X,X,O,O,X
JSLZTOI,O,X,X,O,O,X
JSLZITO,O,X,X,O,O,X
JSLZIOT,O,O,X,O,O,X
JSLZOTI,O,X,X,O,O,X
JSLZOIT,O,O,X,O,O,X
JSLOTIZ,X,O,O,O,X,O
JSLOTZI,X,O,O,O,X,X
JSLOITZ,O,O,X,O,X,O
JSLOIZT,O,O,X,O,O,O
JSLOZTI,O,X,X,O,O,X
JSLOZIT,O,O,X,O,O,X
JSZTILO,O,X,X,O,X,X
JSZTIOL,O,X,X,O,X,O
JSZTLIO,O,X,X,O,X,X
JSZTLOI,O,X,X,O,X,X
JSZTOIL,O,X,X,O,X,O
JSZTOLI,O,X,X,O,X,X
JSZITLO,O,X,X,O,X,X
JSZITOL,O,X,X,O,X,X
JSZILTO,O,X,X,O,X,X
JSZILOT,O,O,X,O,X,X
JSZIOTL,O,X,X,O,X,O
JSZIOLT,O,O,X,O,X,O
JSZLTIO,O,X,X,O,X,X
JSZLTOI,O,X,X,O,X,X
JSZLITO,O,X,X,O,X,X
JSZLIOT,O,O,X,O,X,X
JSZLOTI,O,X,X,O,X,X
JSZLOIT,O,O,X,O,X,X
JSZOTIL,O,X,X,O,X,O
JSZOTLI,O,X,X,O,X,X
JSZOITL,O,X,X,O,X,O
JSZOILT,O,O,X,O,X,O
JSZOLTI,O,X,X,O,X,X
JSZOLIT,O,O,X,O,X,X
JSOTILZ,O,O,O,O,X,O
JSOTIZL,O,O,X,O,X,O
JSOTLIZ,O,O,O,O,X,O
JSOTLZI,O,O,O,O,X,X
JSOTZIL,O,O,X,O,X,O
JSOTZLI,O,O,X,O,X,X
JSOITLZ,O,O,O,O,X,O
JSOITZL,O,O,X,O,X,O
JSOILTZ,O,O,X,O,X,O
JSOILZT,O,O,X,O,O,O
JSOIZTL,O,X,X,O,X,O
JSOIZLT,O,O,X,O,X,O
JSOLTIZ,X,O,O,O,X,O
JSOLTZI,X,O,O,O,X,X
JSOLITZ,O,O,X,O,X,O
JSOLIZT,O,O,X,O,O,O
JSOLZTI,O,X,X,O,O,X
JSOLZIT,O,O,X,O,O,X
JSOZTIL,O,X,X,O,X,O
JSOZTLI,O,X,X,O,X,X
JSOZITL,O,X,X,O,X,O
JSOZILT,O,O,X,O,X,O
JSOZLTI,O,X,X,O,X,X
JSOZLIT,O,O,X,O,X,X
JZTILSO,O,X,X,X,X,X
JZTILOS,O,X,X,X,X,X
JZTISLO,O,O,X,O,X,X
JZTISOL,O,O,X,O,X,X
JZTIOLS,O,X,X,X,X,X
JZTIOSL,O,O,X,O,X,X
JZTLISO,O,X,X,O,X,X
JZTLIOS,O,X,X,O,X,X
JZTLSIO,O,X,X,O,X,X
JZTLSOI,O,X,X,O,X,X
JZTLOIS,O,X,X,O,X,X
JZTLOSI,O,X,X,O,X,X
JZTSILO,O,O,X,O,X,X
JZTSIOL,O,O,X,O,X,X
JZTSLIO,O,O,X,X,X,X
JZTSLOI,O,O,X,O,X,X
JZTSOIL,O,O,X,O,X,X
JZTSOLI,O,O,X,O,X,X
JZTOILS,O,X,X,X,X,X
JZTOISL,O,O,X,O,X,X
JZTOLIS,O,X,X,O,X,X
JZTOLSI,O,X,X,O,X,X
JZTOSIL,O,O,X,O,X,X
JZTOSLI,O,O,X,O,X,X
JZITLSO,O,X,X,X,X,X
JZITLOS,O,X,X,X,X,X
JZITSLO,O,O,X,O,X,X
JZITSOL,O,O,X,O,X,X
JZITOLS,O,X,X,X,X,X
JZITOSL,O,O,X,O,X,X
JZILTSO,O,X,X,X,X,X
JZILTOS,O,X,X,X,X,X
JZILSTO,O,X,X,X,X,X
JZILSOT,O,X,X,X,X,X
JZILOTS,O,X,X,X,X,X
JZILOST,O,X,X,X,X,X
JZISTLO,O,X,X,O,X,X
JZISTOL,O,X,X,O,X,X
JZISLTO,O,X,X,O,X,X
JZISLOT,O,O,X,O,X,X
JZISOTL,O,X,X,O,X,X
JZISOLT,O,O,X,O,X,X
JZIOTLS,O,X,X,X,X,X
JZIOTSL,O,O,X,O,X,X
JZIOLTS,O,X,X,X,X,X
JZIOLST,O,X,X,X,X,X
JZIOSTL,O,X,X,O,X,X
JZIOSLT,O,O,X,O,X,X
JZLTISO,O,X,X,O,X,X
JZLTIOS,O,X,X,O,X,X
JZLTSIO,O,X,X,O,X,X
JZLTSOI,O,X,X,O,X,X
JZLTOIS,O,X,X,O,X,X
JZLTOSI,O,X,X,O,X,X
JZLITSO,O,X,X,O,X,X
JZLITOS,O,X,X,O,X,X
JZLISTO,O,X,X,O,X,X
JZLISOT,O,X,X,O,X,X
JZLIOTS,O,X,X,O,X,X
JZLIOST,O,X,X,O,X,X
JZLSTIO,O,X,X,O,X,X
JZLSTOI,O,X,X,O,X,X
JZLSITO,O,X,X,O,X,X
JZLSIOT,O,X,X,O,X,X
JZLSOTI,O,X,X,O,X,X
JZLSOIT,O,X,X,O,X,X
JZLOTIS,O,X,X,O,X,X
JZLOTSI,O,X,X,O,X,X
JZLOITS,O,X,X,O,X,X
JZLOIST,O,X,X,O,X,X
JZLOSTI,O,X,X,O,X,X
JZLOSIT,O,X,X,O,X,X
