sequence,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFmdBclBThBK?nBfoBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFRdBclB3hBa?oBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF/iBajBclBT?hB2sBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhFRdB/nBaoBT?lBOrB0rB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jem7IvhFSiBZjBclB3?hBTnBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Je07IvhFlcB3dBeoBT?lBxmBirB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel7IvhF3dBZmBqrBe?tBUnBTqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhFidBclBThBm?nB3nBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jex7IvhF2iBclBThB3?iBysBFrB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeR9IvhF/nBaoBTlB0?mBFmBmqB,v115@zgB8GeD8FeC8GeC8GeE8AeE8Jel8IvhFajBUhBTiBO?lBfrBRxB,v115@zgB8GeD8FeC8GeC8GeE8AeE8JeX8IvhFFiB8nBxlBT?lBmnBirB
IZLTJSO,O,O,O,X,X,O,O,O,X,X,X,O
IZLTJOS,X,O,X,X,O,O,X,O,O,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X,X,X,X,O
IZLTSOJ,O,O,X,X,X,X,X,X,O,X,X,O
IZLTOJS,O,O,O,X,O,X,X,O,O,X,X,X
IZLTOSJ,O,X,X,X,O,X,X,X,O,X,X,O
IZLJTSO,X,O,X,X,X,O,O,O,X,X,X,O
IZLJTOS,X,O,X,X,O,O,X,O,O,X,X,X
IZLJSTO,O,O,O,X,X,O,O,O,X,X,X,O
IZLJSOT,O,O,O,X,X,O,X,X,X,X,X,X
IZLJOTS,X,O,X,X,O,O,X,O,X,X,X,X
IZLJOST,X,O,X,X,O,O,X,X,X,X,X,X
IZLSTJO,O,X,X,X,X,X,X,X,X,X,X,O
IZLSTOJ,O,X,X,X,X,X,X,X,O,X,X,O
IZLSJTO,O,O,X,X,X,X,X,X,X,X,X,O
IZLSJOT,O,O,X,X,X,X,X,X,X,X,X,X
IZLSOTJ,X,X,X,X,X,X,X,X,X,X,O,O
IZLSOJT,O,X,X,X,X,X,X,X,X,X,O,X
IZLOTJS,X,O,X,X,O,X,X,X,O,X,X,X
IZLOTSJ,X,O,X,X,O,X,X,X,O,X,X,O
IZLOJTS,X,O,X,X,O,X,X,X,X,X,X,X
IZLOJST,X,O,X,X,O,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,X,X,X,X,X,X,X,O,O
IZLOSJT,O,O,X,X,O,X,X,X,X,X,O,X
IZJTLSO,O,O,O,X,X,O,O,O,X,X,X,X
IZJTLOS,X,O,X,X,O,X,X,O,O,X,X,X
IZJTSLO,O,O,O,X,X,O,X,O,X,X,X,X
IZJTSOL,O,O,O,X,O,O,X,X,X,X,X,X
IZJTOLS,O,O,O,X,O,X,X,O,O,X,X,X
IZJTOSL,X,X,O,X,O,O,X,O,X,X,X,X
IZJLTSO,X,O,X,X,X,O,O,O,X,X,X,X
IZJLTOS,X,O,X,X,O,O,X,O,O,X,X,X
IZJLSTO,O,O,O,X,X,O,O,O,X,X,X,X
IZJLSOT,O,O,O,X,X,O,X,X,X,X,X,X
IZJLOTS,X,O,X,X,O,O,X,O,X,X,X,X
IZJLOST,X,O,X,X,O,O,X,X,X,X,X,X
IZJSTLO,O,X,O,X,X,O,X,X,X,X,X,X
IZJSTOL,O,X,O,X,O,O,X,X,X,X,X,X
IZJSLTO,O,X,O,X,X,O,O,O,X,X,X,X
IZJSLOT,O,X,O,X,X,O,X,X,X,X,X,X
IZJSOTL,O,X,X,X,X,O,X,X,X,X,X,X
IZJSOLT,O,X,O,X,O,X,X,X,X,X,X,X
IZJOTLS,X,X,X,X,O,O,X,X,X,X,X,X
IZJOTSL,X,X,X,X,O,O,X,X,X,X,X,X
IZJOLTS,X,O,X,X,O,O,X,O,X,X,X,X
IZJOLST,X,O,X,X,O,O,X,X,X,X,X,X
IZJOSTL,X,X,X,X,X,O,X,X,X,X,X,X
IZJOSLT,X,X,O,X,O,O,X,X,X,X,X,X
IZSTLJO,O,X,X,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X,X,X,O,X,O,X
IZSTJLO,O,X,O,X,X,X,X,O,X,X,X,X
IZSTJOL,O,X,O,X,O,X,X,X,X,X,O,X
IZSTOLJ,O,X,X,X,O,X,X,X,O,X,O,X
IZSTOJL,O,X,O,X,O,X,X,O,X,X,O,X
IZSLTJO,O,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,X,X,O,X,O,X
IZSLJTO,O,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,X,X,X,X,O,X
IZSLOJT,O,X,X,X,X,X,X,X,X,X,O,X
IZSJTLO,O,X,O,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,O,X,X,X,X,X,O,X
IZSJLTO,O,X,O,X,X,X,X,O,X,X,X,X
IZSJLOT,O,X,O,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X,X,X,O,X
IZSJOLT,O,X,O,X,O,X,X,X,X,X,O,X
IZSOTLJ,X,X,X,X,O,X,X,X,X,X,O,X
IZSOTJL,X,X,X,X,O,X,X,X,X,X,O,X
IZSOLTJ,X,X,X,X,X,X,X,X,X,X,O,X
IZSOLJT,O,X,X,X,O,X,X,X,X,X,O,X
IZSOJTL,O,X,X,X,X,X,X,X,X,X,O,X
IZSOJLT,O,X,X,X,O,X,X,X,X,X,O,X
IZOTLJS,O,O,O,X,O,O,X,O,O,X,X,X
IZOTLSJ,O,O,X,X,O,X,X,X,O,X,X,X
IZOTJLS,O,O,O,X,O,O,X,O,O,X,X,X
IZOTJSL,X,X,O,X,O,O,X,O,X,X,X,X
IZOTSLJ,O,O,X,X,O,X,X,X,O,X,X,X
IZOTSJL,O,O,O,X,O,X,X,O,X,X,X,X
IZOLTJS,X,O,X,X,O,O,X,X,O,X,X,X
IZOLTSJ,X,O,X,X,O,X,X,X,O,X,X,X
IZOLJTS,X,O,X,X,O,O,X,X,X,X,X,X
IZOLJST,X,O,X,X,O,O,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,X,X,X,X,X,X,O,X
IZOLSJT,O,O,X,X,O,X,X,X,X,X,O,X
IZOJTLS,X,X,X,X,O,O,X,X,X,X,X,X
IZOJTSL,X,X,X,X,O,O,X,X,X,X,X,X
IZOJLTS,X,O,X,X,O,O,X,O,X,X,X,X
IZOJLST,X,O,X,X,O,O,X,X,X,X,X,X
IZOJSTL,X,X,X,X,X,O,X,X,X,X,X,X
IZOJSLT,X,X,O,X,O,O,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,O,X,X,X,X,X,O,X
IZOSTJL,X,O,X,X,O,X,X,X,X,X,O,X
IZOSLTJ,X,O,X,X,X,X,X,X,X,X,O,X
IZOSLJT,O,O,X,X,O,X,X,X,X,X,O,X
IZOSJTL,O,O,X,X,X,X,X,X,X,X,O,X
IZOSJLT,O,O,X,X,O,X,X,X,X,X,O,X
IOTLJSZ,X,O,X,O,X,X,O,X,X,X,X,X
IOTLJZS,X,O,X,O,O,X,O,X,X,X,X,X
IOTLSJZ,X,O,X,O,X,X,O,X,X,X,X,X
IOTLSZJ,X,O,X,O,O,X,X,X,X,X,O,X
IOTLZJS,X,O,X,O,O,X,O,X,X,X,X,X
IOTLZSJ,X,O,X,O,O,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,O,X,X,O,X,X,X,X,X
IOTJLZS,X,X,X,O,O,X,O,X,X,X,X,X
IOTJSLZ,X,X,X,O,X,X,O,X,X,X,X,X
IOTJSZL,X,X,X,O,X,X,X,X,X,X,X,X
IOTJZLS,X,X,X,X,O,X,O,X,X,X,X,X
IOTJZSL,X,X,X,X,O,X,X,X,X,X,X,X
IOTSLJZ,X,O,X,O,X,X,O,X,X,X,X,X
IOTSLZJ,X,O,X,O,O,X,X,X,X,X,O,X
IOTSJLZ,X,X,X,O,X,X,O,X,X,X,X,X
IOTSJZL,X,O,X,O,X,X,X,X,X,X,X,X
IOTSZLJ,X,O,X,O,O,X,X,X,X,X,O,X
IOTSZJL,X,O,X,O,O,X,X,X,X,X,O,X
IOTZLJS,X,O,X,X,O,X,O,X,X,X,X,X
IOTZLSJ,X,O,X,X,O,X,X,X,X,X,X,X
IOTZJLS,X,O,X,X,O,X,O,X,X,X,X,X
IOTZJSL,X,X,X,X,O,X,X,X,X,X,X,X
IOTZSLJ,X,O,X,X,O,X,X,X,X,X,X,X
IOTZSJL,X,O,X,X,O,X,X,X,X,X,X,X
IOLTJSZ,X,O,X,O,X,X,O,X,X,X,X,X
IOLTJZS,X,O,X,O,O,X,O,X,X,X,X,X
IOLTSJZ,X,O,X,O,X,X,O,X,X,X,X,X
IOLTSZJ,X,O,X,O,O,X,X,X,X,O,O,X
IOLTZJS,X,O,X,O,O,X,O,X,X,X,X,X
IOLTZSJ,X,O,X,O,O,X,X,X,X,X,X,X
IOLJTSZ,X,O,X,O,X,O,O,X,X,X,X,X
IOLJTZS,X,O,X,O,O,O,O,X,X,X,X,X
IOLJSTZ,X,X,X,O,X,O,O,X,X,X,X,X
IOLJSZT,X,O,X,O,X,O,O,X,X,O,O,X
IOLJZTS,X,O,X,O,O,O,O,X,X,X,X,X
IOLJZST,X,O,X,X,O,O,O,X,X,X,X,X
IOLSTJZ,X,O,X,O,X,X,O,X,X,X,X,X
IOLSTZJ,X,O,X,O,O,X,X,X,X,O,O,X
IOLSJTZ,X,X,X,O,X,X,O,X,X,X,X,X
IOLSJZT,O,O,X,O,X,X,O,X,X,O,O,X
IOLSZTJ,X,O,X,O,X,X,X,X,X,O,O,X
IOLSZJT,X,O,X,X,O,X,X,X,X,O,O,X
IOLZTJS,X,O,X,O,O,O,O,X,O,X,X,X
IOLZTSJ,X,O,X,O,O,X,X,X,O,X,X,X
IOLZJTS,X,O,X,O,O,O,O,X,X,X,X,X
IOLZJST,X,O,X,X,O,O,O,X,X,X,X,X
IOLZSTJ,X,O,X,O,X,X,X,X,X,O,O,X
IOLZSJT,X,O,X,X,O,X,X,X,X,O,O,X
IOJTLSZ,X,X,X,O,X,O,O,X,X,X,X,X
IOJTLZS,X,X,X,O,O,O,O,X,X,X,X,X
IOJTSLZ,X,X,X,O,X,O,O,X,X,X,X,X
IOJTSZL,X,X,X,O,X,O,X,X,X,X,X,X
IOJTZLS,X,X,X,X,O,O,O,X,X,X,X,X
IOJTZSL,X,X,X,X,O,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,O,O,X,X,X,X,X
IOJLTZS,X,X,X,O,O,O,O,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,O,O,X,X,X,X,X
IOJLSZT,X,X,X,O,X,O,O,X,X,X,O,X
IOJLZTS,X,X,X,O,O,O,O,O,X,X,X,X
IOJLZST,X,X,X,X,O,O,O,X,X,X,X,X
IOJSTLZ,X,X,X,O,X,O,O,X,X,X,X,X
IOJSTZL,X,X,X,O,X,O,X,X,X,X,X,X
IOJSLTZ,X,X,X,O,X,O,O,X,X,X,X,X
IOJSLZT,X,X,O,O,X,O,O,X,X,X,O,X
IOJSZTL,X,X,X,O,X,O,X,X,X,X,O,X
IOJSZLT,X,X,X,X,X,O,O,X,X,X,O,X
IOJZTLS,X,X,X,X,O,O,O,X,X,X,X,X
IOJZTSL,X,X,X,X,O,O,X,X,X,X,X,X
IOJZLTS,X,X,X,X,O,O,O,X,X,X,X,X
IOJZLST,X,X,X,X,O,O,O,X,X,X,X,X
IOJZSTL,X,X,X,X,X,O,X,X,X,X,X,X
IOJZSLT,X,X,X,X,O,O,O,X,X,X,X,X
IOSTLJZ,X,X,X,O,X,X,O,X,X,X,X,X
IOSTLZJ,X,X,X,O,O,X,X,X,X,X,O,X
IOSTJLZ,X,X,X,O,X,X,O,X,X,X,X,X
IOSTJZL,X,X,X,O,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,O,O,X,X,X,X,X,O,X
IOSTZJL,X,O,X,O,O,X,X,X,X,X,O,X
IOSLTJZ,X,X,X,O,X,X,O,X,X,X,X,X
IOSLTZJ,X,O,X,O,O,X,X,X,X,O,O,X
IOSLJTZ,X,X,X,O,X,X,O,X,X,X,X,X
IOSLJZT,O,O,X,O,X,X,O,X,X,O,O,X
IOSLZTJ,X,O,X,O,X,X,X,X,X,O,O,X
IOSLZJT,X,O,X,X,O,X,X,X,X,O,O,X
IOSJTLZ,X,X,X,O,X,X,O,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,O,X,X,O,X,X,X,X,X
IOSJLZT,O,X,X,O,X,X,O,X,X,X,O,X
IOSJZTL,O,O,X,O,X,X,X,X,X,X,O,X
IOSJZLT,O,O,X,X,X,X,O,X,X,X,O,X
IOSZTLJ,X,X,X,O,O,X,X,X,X,X,O,X
IOSZTJL,X,O,X,O,O,X,X,X,X,X,O,X
IOSZLTJ,X,O,X,X,X,X,X,X,X,O,O,X
IOSZLJT,X,O,X,X,O,X,X,X,X,O,O,X
IOSZJTL,X,O,X,X,X,X,X,X,X,X,O,X
IOSZJLT,X,O,X,X,O,X,X,X,X,X,O,X
IOZTLJS,O,O,O,X,O,O,O,O,O,X,X,X
IOZTLSJ,O,O,X,X,O,X,X,X,O,X,X,X
IOZTJLS,O,O,O,X,O,O,O,O,O,X,X,X
IOZTJSL,X,X,O,X,O,O,X,O,X,X,X,X
IOZTSLJ,O,O,X,X,O,X,X,X,O,X,X,X
IOZTSJL,O,O,O,X,O,X,X,O,X,X,X,X
IOZLTJS,X,O,X,X,O,O,O,X,O,X,X,X
IOZLTSJ,X,O,X,X,O,X,X,X,O,X,X,X
IOZLJTS,X,O,X,X,O,O,O,X,X,X,X,X
IOZLJST,X,O,X,X,O,O,O,X,X,X,X,X
IOZLSTJ,X,O,X,X,X,X,X,X,X,X,O,X
IOZLSJT,O,O,X,X,O,X,X,X,X,X,O,X
IOZJTLS,X,X,X,X,O,O,O,X,X,X,X,X
IOZJTSL,X,X,X,X,O,O,X,X,X,X,X,X
IOZJLTS,X,O,X,X,O,O,O,O,X,X,X,X
IOZJLST,X,O,X,X,O,O,O,X,X,X,X,X
IOZJSTL,X,X,X,X,X,O,X,X,X,X,X,X
IOZJSLT,X,X,O,X,O,O,O,X,X,X,X,X
IOZSTLJ,X,X,X,X,O,X,X,X,X,X,O,X
IOZSTJL,X,O,X,X,O,X,X,X,X,X,O,X
IOZSLTJ,X,O,X,X,X,X,X,X,X,O,O,X
IOZSLJT,O,O,X,X,O,X,X,X,X,O,O,X
IOZSJTL,O,O,X,X,X,X,X,X,X,X,O,X
IOZSJLT,O,O,X,X,O,X,X,X,X,X,O,X
LTIJSZO,X,O,X,X,X,X,O,X,X,X,X,X
LTIJSOZ,X,X,X,O,X,X,O,X,X,X,X,X
LTIJZSO,X,O,X,X,X,X,O,X,X,X,X,X
LTIJZOS,X,O,X,X,X,X,X,X,O,X,X,X
LTIJOSZ,X,X,X,O,X,X,O,X,X,X,X,X
LTIJOZS,X,X,X,O,X,X,X,X,O,X,X,X
LTISJZO,O,O,X,X,X,X,O,X,X,X,X,X
LTISJOZ,O,X,X,O,X,X,O,X,X,X,X,X
LTISZJO,O,O,X,X,X,X,X,X,X,X,X,O
LTISZOJ,O,O,X,O,X,X,X,X,X,X,X,O
LTISOJZ,O,X,X,O,X,X,X,X,X,X,X,X
LTISOZJ,O,O,X,O,X,X,X,X,X,O,X,X
LTIZJSO,O,O,X,X,X,X,O,X,X,X,X,O
LTIZJOS,X,O,X,X,O,X,X,X,O,X,X,X
LTIZSJO,O,O,X,X,X,X,X,X,X,X,X,O
LTIZSOJ,O,O,X,O,X,X,X,X,O,X,X,O
LTIZOJS,O,O,X,O,O,X,X,X,O,X,X,X
LTIZOSJ,O,X,X,O,O,X,X,X,O,X,X,O
LTIOJSZ,X,O,X,O,X,X,O,X,X,X,X,X
LTIOJZS,X,O,X,O,O,X,X,X,O,X,X,X
LTIOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,O,O,X,O,O,X,X,X,X,O,X,X
LTIOZJS,O,O,X,O,O,X,X,X,O,X,X,X
LTIOZSJ,O,O,X,O,O,X,X,X,O,X,X,X
LTJISZO,X,O,X,X,X,O,O,X,X,X,X,X
LTJISOZ,X,X,X,O,X,O,O,X,X,X,X,X
LTJIZSO,X,O,X,X,X,O,O,O,X,X,X,X
LTJIZOS,X,O,X,X,X,O,X,O,O,X,X,X
LTJIOSZ,X,X,X,O,X,O,O,X,X,X,X,X
LTJIOZS,X,X,X,O,X,O,X,O,O,X,X,X
LTJSIZO,O,O,O,X,X,O,O,X,X,X,X,X
LTJSIOZ,O,X,O,O,X,O,O,X,X,X,X,X
LTJSZIO,O,O,O,X,X,O,X,O,X,X,X,X
LTJSZOI,O,O,O,X,X,O,X,O,O,X,X,X
LTJSOIZ,O,X,O,X,X,O,O,X,X,X,X,X
LTJSOZI,O,X,O,X,X,O,X,O,O,X,X,X
LTJZISO,O,O,O,X,X,O,X,O,X,X,X,X
LTJZIOS,X,O,X,X,X,O,X,O,O,X,X,X
LTJZSIO,O,O,O,X,X,O,X,O,X,X,X,X
LTJZSOI,O,O,O,X,X,O,X,O,O,X,X,X
LTJZOIS,O,O,O,X,X,O,X,O,O,X,X,X
LTJZOSI,O,O,O,X,X,O,X,O,O,X,X,X
LTJOISZ,X,X,X,O,X,X,O,X,X,X,X,X
LTJOIZS,X,X,X,O,X,X,O,O,O,X,X,X
LTJOSIZ,O,X,O,O,X,X,O,X,X,X,X,X
LTJOSZI,O,X,O,O,X,X,X,O,O,X,X,X
LTJOZIS,O,X,O,O,X,X,X,O,O,X,X,X
LTJOZSI,O,X,O,O,X,X,X,O,O,X,X,X
LTSIJZO,O,O,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,X,X,O,X,X,X,X,X,X,X,X
LTSIZJO,O,O,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,O,O,X,O,X,X,X,X,X,X,X,X
LTSIOJZ,O,X,X,O,X,X,X,X,X,X,X,X
LTSIOZJ,O,O,X,O,X,X,X,X,X,O,X,X
LTSJIZO,O,O,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,X,O,X,X,X,X,X,X,X,X
LTSJZIO,O,O,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,O,X,X,X,X,X,X,O,X,X,X
LTSJOIZ,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,X,X,X,X,X,X,X,O,X,X,X
LTSZIJO,O,O,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,O,O,X,O,X,X,X,X,O,X,X,X
LTSZJIO,O,O,X,X,X,X,X,X,X,X,X,X
LTSZJOI,O,O,X,X,X,X,X,X,O,X,X,X
LTSZOIJ,O,O,X,X,X,X,X,X,O,X,X,X
LTSZOJI,O,O,X,X,X,X,X,X,O,X,X,X
LTSOIJZ,O,O,X,O,X,X,X,X,X,X,X,X
LTSOIZJ,O,O,X,O,X,X,X,X,X,O,X,X
LTSOJIZ,O,O,X,O,X,X,X,X,X,X,X,X
LTSOJZI,O,O,X,O,X,X,X,X,O,X,X,X
LTSOZIJ,O,O,X,O,X,X,X,X,O,O,X,X
LTSOZJI,O,O,X,O,X,X,X,X,O,O,X,X
LTZIJSO,O,O,O,X,X,O,X,O,X,X,X,O
LTZIJOS,X,O,X,X,O,O,X,O,O,X,X,X
LTZISJO,O,O,X,X,X,X,X,X,X,X,X,O
LTZISOJ,O,O,X,O,X,X,X,X,O,X,X,O
LTZIOJS,O,O,O,O,O,X,X,O,O,X,X,X
LTZIOSJ,O,X,X,O,O,X,X,X,O,X,X,O
LTZJISO,O,O,O,X,X,O,X,O,X,X,X,O
LTZJIOS,X,O,X,X,O,O,X,O,O,X,X,X
LTZJSIO,O,O,O,X,X,O,X,O,X,X,X,O
LTZJSOI,O,O,O,X,X,O,X,O,O,X,X,X
LTZJOIS,O,O,O,X,O,O,X,O,O,X,X,X
LTZJOSI,O,O,O,X,O,O,X,O,O,X,X,X
LTZSIJO,O,O,X,X,X,X,X,X,X,X,X,O
LTZSIOJ,O,O,X,O,X,X,X,X,O,X,X,O
LTZSJIO,O,O,X,X,X,O,X,X,X,X,X,O
LTZSJOI,O,O,X,X,X,O,X,X,O,X,X,X
LTZSOIJ,O,O,X,X,X,X,X,X,O,X,X,O
LTZSOJI,O,O,X,X,X,X,X,X,O,X,X,X
LTZOIJS,O,O,O,O,O,X,X,O,O,X,X,X
LTZOISJ,O,O,X,O,O,X,X,X,O,X,X,O
LTZOJIS,O,O,O,O,O,O,X,O,O,X,X,X
LTZOJSI,O,O,O,O,O,O,X,O,O,X,X,X
LTZOSIJ,O,O,X,O,O,X,X,X,O,X,X,O
LTZOSJI,O,O,X,O,O,X,X,X,O,X,X,X
LTOIJSZ,X,O,X,O,X,X,O,X,X,X,X,X
LTOIJZS,X,O,X,O,O,X,O,X,O,X,X,X
LTOISJZ,O,O,X,O,X,X,O,X,X,X,X,X
LTOISZJ,O,O,X,O,O,X,X,X,X,O,X,X
LTOIZJS,O,O,X,O,O,X,O,X,O,X,X,X
LTOIZSJ,O,O,X,O,O,X,X,X,O,X,X,X
LTOJISZ,X,O,X,O,X,X,O,X,X,X,X,X
LTOJIZS,X,O,X,O,O,X,O,O,O,X,X,X
LTOJSIZ,O,O,O,O,X,X,O,X,X,X,X,X
LTOJSZI,O,O,O,O,X,X,X,O,O,X,X,X
LTOJZIS,O,O,O,O,O,X,X,O,O,X,X,X
LTOJZSI,O,O,O,O,O,X,X,O,O,X,X,X
LTOSIJZ,O,O,X,O,X,X,X,X,X,X,X,X
LTOSIZJ,O,O,X,O,O,X,X,X,X,O,X,X
LTOSJIZ,O,O,X,O,X,X,X,X,X,X,X,X
LTOSJZI,O,O,X,O,X,X,X,X,O,X,X,X
LTOSZIJ,O,O,X,O,O,X,X,X,O,O,X,X
LTOSZJI,O,O,X,O,O,X,X,X,O,O,X,X
LTOZIJS,O,O,O,O,O,X,X,O,O,X,X,X
LTOZISJ,O,O,X,O,O,X,X,X,O,X,X,X
LTOZJIS,O,O,O,O,O,X,X,O,O,X,X,X
LTOZJSI,O,O,O,O,O,X,X,O,O,X,X,X
LTOZSIJ,O,O,X,O,O,X,X,X,O,X,X,X
LTOZSJI,O,O,X,O,O,X,X,X,O,X,X,X
LITJSZO,X,O,X,X,X,X,O,X,X,X,X,X
LITJSOZ,X,X,X,O,X,X,O,X,X,X,X,X
LITJZSO,X,O,X,X,X,X,O,X,X,X,X,X
LITJZOS,X,O,X,X,X,X,X,X,O,X,X,X
LITJOSZ,X,X,X,O,X,X,O,X,X,X,X,X
LITJOZS,X,X,X,O,X,X,X,X,O,X,X,X
LITSJZO,O,O,X,X,X,X,O,X,X,X,X,X
LITSJOZ,O,X,X,O,X,X,O,X,X,X,X,X
LITSZJO,O,O,X,X,X,X,X,X,X,X,X,O
LITSZOJ,O,O,X,O,X,X,X,X,X,X,X,O
LITSOJZ,O,X,X,O,X,X,X,X,X,X,X,X
LITSOZJ,O,O,X,O,X,X,X,X,X,O,O,X
LITZJSO,O,O,X,X,X,X,O,X,X,X,X,O
LITZJOS,X,O,X,X,O,X,X,X,O,X,X,X
LITZSJO,O,O,X,X,X,X,X,X,X,X,X,O
LITZSOJ,O,O,X,O,X,X,X,X,O,X,X,O
LITZOJS,O,O,X,O,O,X,X,X,O,X,X,X
LITZOSJ,O,X,X,O,O,X,X,X,O,X,X,O
LITOJSZ,X,O,X,O,X,X,O,X,X,X,X,X
LITOJZS,X,O,X,O,O,X,X,X,O,X,X,X
LITOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
LITOSZJ,O,O,X,O,O,X,X,X,X,O,O,X
LITOZJS,O,O,X,O,O,X,X,X,O,X,X,X
LITOZSJ,O,O,X,O,O,X,X,X,O,X,X,X
LIJTSZO,X,O,X,X,X,O,O,X,X,X,X,X
LIJTSOZ,X,X,X,O,X,O,O,X,X,X,X,X
LIJTZSO,X,O,X,X,X,O,O,O,X,X,X,X
LIJTZOS,X,O,X,X,X,O,X,O,O,X,X,X
LIJTOSZ,X,X,X,O,X,O,O,X,X,X,X,X
LIJTOZS,X,X,X,O,X,O,X,X,O,X,X,X
LIJSTZO,O,X,O,X,X,O,O,X,X,X,X,X
LIJSTOZ,X,X,X,O,X,O,O,X,X,X,X,X
LIJSZTO,O,O,O,X,X,O,O,O,X,X,X,O
LIJSZOT,O,O,O,X,X,O,X,X,X,X,X,X
LIJSOTZ,X,X,X,O,X,O,O,X,X,X,X,X
LIJSOZT,O,X,O,X,X,O,O,X,X,O,O,X
LIJZTSO,X,O,X,X,X,O,O,O,X,X,X,O
LIJZTOS,X,O,X,X,O,O,X,O,O,X,X,X
LIJZSTO,X,O,X,X,X,O,O,O,X,X,X,O
LIJZSOT,X,O,X,X,X,O,X,X,X,X,X,X
LIJZOTS,X,O,X,X,O,O,X,O,X,X,X,X
LIJZOST,X,O,X,X,O,O,X,X,X,X,X,X
LIJOTSZ,X,O,X,O,X,O,O,X,X,X,X,X
LIJOTZS,X,O,X,O,X,O,O,X,X,X,X,X
LIJOSTZ,X,X,X,O,X,O,O,X,X,X,X,X
LIJOSZT,X,O,X,X,X,O,O,X,X,O,O,X
LIJOZTS,X,O,X,O,X,O,O,O,X,X,X,X
LIJOZST,X,O,X,X,X,O,O,X,X,X,X,X
LISTJZO,O,O,X,X,X,X,O,X,X,X,X,X
LISTJOZ,O,X,X,O,X,X,O,X,X,X,X,X
LISTZJO,O,O,X,X,X,X,X,X,X,X,X,O
LISTZOJ,O,O,X,O,X,X,X,X,X,X,X,O
LISTOJZ,O,X,X,O,X,X,X,X,X,X,X,X
LISTOZJ,O,O,X,O,X,X,X,X,X,O,O,X
LISJTZO,O,X,X,X,X,X,O,X,X,X,X,X
LISJTOZ,O,X,X,O,X,X,O,X,X,X,X,X
LISJZTO,O,O,X,X,X,X,O,X,X,X,X,O
LISJZOT,O,O,X,X,X,X,X,X,X,X,X,X
LISJOTZ,X,X,X,O,X,X,O,X,X,X,X,X
LISJOZT,O,X,X,X,X,X,X,X,X,O,O,X
LISZTJO,O,X,X,X,X,X,X,X,X,X,X,O
LISZTOJ,O,X,X,O,X,X,X,X,O,X,O,O
LISZJTO,O,O,X,X,X,X,X,X,X,X,X,O
LISZJOT,O,O,X,X,X,X,X,X,X,X,X,X
LISZOTJ,X,X,X,O,X,X,X,X,X,O,O,O
LISZOJT,O,X,X,X,X,X,X,X,X,O,O,X
LISOTJZ,X,O,X,O,X,X,X,X,X,X,X,X
LISOTZJ,X,O,X,O,X,X,X,X,X,O,O,X
LISOJTZ,X,X,X,O,X,X,X,X,X,X,X,X
LISOJZT,O,O,X,O,X,X,X,X,X,O,O,X
LISOZTJ,X,O,X,O,X,X,X,X,X,O,O,O
LISOZJT,X,O,X,X,X,X,X,X,X,O,O,X
LIZTJSO,O,O,O,X,X,O,O,O,X,X,X,O
LIZTJOS,X,O,X,X,O,O,X,O,O,X,X,X
LIZTSJO,O,O,X,X,X,X,X,X,X,X,X,O
LIZTSOJ,O,O,X,O,X,X,X,X,O,X,X,O
LIZTOJS,O,O,O,O,O,X,X,O,O,X,X,X
LIZTOSJ,O,X,X,O,O,X,X,X,O,X,X,O
LIZJTSO,X,O,X,X,X,O,O,O,X,X,X,O
