sequence,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFzdB5jB3hBm?nBimBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhF8hBGeBamB3?iBToBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFlcBGeBZnBq?sB/tBTrB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhFTeBamBFiBf?sBGtB0sB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFlcBfjB6jBZ?nBTrBWyB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jex7IvhFXdBTeBUhB1?nBStBmrB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Je07IvhFxdBzhBfoB6?oBOmBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhF5jBUhBaoB3?iBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JefCJvhFxdBUhBCjBT?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhF5jBUhB3iBa?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeU9IvhF5jBFhBynBf?sBmqBzsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeR9IvhFcjBFhBTiBf?sBSyBmqB,v115@zgB8HeC8GeD8FeD8FeF8AeC8Jez8IvhFUhBxnBfoB6?oBmlBFsB,v115@zgB8HeC8GeD8FeD8FeF8AeC8JeU9IvhFFhBfsBxsBT?tBmqBCtB
ZIJSOTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZIJSOLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIJOTLS,O,X,X,X,O,O,X,O,X,X,X,X,X,X
ZIJOTSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
ZIJOLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZIJOLST,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZIJOSTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZIJOSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZISTLJO,O,X,O,X,X,X,X,X,X,X,O,X,X,X
ZISTLOJ,X,X,O,X,X,X,O,O,X,O,O,X,X,X
ZISTJLO,O,X,O,X,O,X,X,X,X,X,O,X,X,X
ZISTJOL,O,X,O,X,O,X,X,X,X,O,X,X,X,X
ZISTOLJ,X,X,X,X,X,X,O,O,X,O,O,X,X,X
ZISTOJL,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZISLTJO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
ZISLTOJ,X,X,O,X,X,O,O,X,X,X,O,X,X,X
ZISLJTO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
ZISLJOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZISLOTJ,X,X,O,X,X,O,X,O,X,X,O,X,X,X
ZISLOJT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZISJTLO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISJTOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISJLTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISJLOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZISJOTL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZISJOLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZISOTLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,X
ZISOTJL,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZISOLTJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZISOLJT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZISOJTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZISOJLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTLJS,X,O,O,X,O,X,X,O,X,X,X,X,X,X
ZIOTLSJ,X,X,O,X,X,X,X,O,O,O,X,X,O,X
ZIOTJLS,O,O,O,X,O,X,X,O,X,X,X,X,X,X
ZIOTJSL,O,O,X,X,O,X,X,X,X,O,X,X,O,X
ZIOTSLJ,X,X,O,X,X,X,X,O,O,O,X,X,O,X
ZIOTSJL,O,O,O,X,O,X,X,X,X,O,X,X,O,X
ZIOLTJS,X,O,O,X,O,O,X,O,X,X,X,X,X,X
ZIOLTSJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X
ZIOLJTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZIOLJST,X,X,O,X,O,X,X,O,X,X,X,X,X,X
ZIOLSTJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X
ZIOLSJT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZIOJTLS,X,X,O,X,O,O,X,O,X,X,X,X,X,X
ZIOJTSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
ZIOJLTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZIOJLST,O,X,O,X,O,X,X,O,X,X,X,X,X,X
ZIOJSTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZIOJSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIOSTLJ,X,X,O,X,X,X,X,O,X,O,X,X,X,X
ZIOSTJL,X,X,O,X,O,X,X,X,X,O,X,X,X,X
ZIOSLTJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZIOSLJT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZIOSJTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZIOSJLT,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLTIJSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ZLTIJOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLTISJO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
ZLTISOJ,X,O,O,X,X,O,X,O,O,O,X,O,O,X
ZLTIOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLTIOSJ,X,O,O,X,X,O,X,O,X,O,X,X,O,X
ZLTJISO,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLTJIOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLTJSIO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ZLTJSOI,O,O,O,X,O,O,X,X,O,X,X,O,X,X
ZLTJOIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLTJOSI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLTSIJO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
ZLTSIOJ,X,O,O,X,X,O,O,O,O,O,X,O,X,X
ZLTSJIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
ZLTSJOI,O,O,O,X,X,O,O,X,O,X,X,O,X,X
ZLTSOIJ,X,O,O,X,X,O,O,O,O,O,X,O,X,X
ZLTSOJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
ZLTOIJS,X,O,O,X,O,O,X,O,X,X,X,X,X,X
ZLTOISJ,X,O,O,X,X,O,X,O,O,O,X,X,O,X
ZLTOJIS,X,O,X,X,O,O,X,O,X,X,X,X,X,X
ZLTOJSI,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLTOSIJ,X,O,O,X,X,O,O,O,O,O,X,O,X,X
ZLTOSJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
ZLITJSO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
ZLITJOS,O,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLITSJO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
ZLITSOJ,X,O,O,X,X,O,X,O,X,O,X,O,X,X
ZLITOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLITOSJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X
ZLIJTSO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLIJTOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLIJSTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLIJSOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLIJOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLIJOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLISTJO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZLISTOJ,X,X,O,X,X,O,O,X,X,X,X,O,X,X
ZLISJTO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZLISJOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLISOTJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X
ZLISOJT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ZLIOTJS,X,O,O,X,X,O,X,O,X,X,X,X,X,X
ZLIOTSJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X
ZLIOJTS,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZLIOJST,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLIOSTJ,X,X,O,X,X,O,X,O,X,X,X,X,X,X
ZLIOSJT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLJTISO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLJTIOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLJTSIO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLJTSOI,X,X,O,X,O,O,X,X,X,X,X,O,X,X
ZLJTOIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLJTOSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLJITSO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLJITOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLJISTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLJISOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLJIOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLJIOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLJSTIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLJSTOI,X,X,O,O,O,O,O,X,X,X,X,O,X,X
ZLJSITO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZLJSIOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLJSOTI,X,X,O,O,O,X,X,X,X,X,X,O,X,X
ZLJSOIT,O,X,O,O,O,X,X,X,X,X,X,O,X,X
ZLJOTIS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLJOTSI,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLJOITS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLJOIST,O,X,O,O,O,X,X,O,X,X,X,X,X,X
ZLJOSTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLJOSIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZLSTIJO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZLSTIOJ,X,X,O,X,X,O,O,X,X,X,X,O,X,X
ZLSTJIO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZLSTJOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
ZLSTOIJ,X,X,O,X,X,O,O,X,X,X,X,O,X,X
ZLSTOJI,X,X,O,X,X,O,O,X,X,X,X,O,X,X
ZLSITJO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZLSITOJ,X,X,O,X,X,O,O,X,X,X,X,O,X,X
ZLSIJTO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZLSIJOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLSIOTJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X
ZLSIOJT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ZLSJTIO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZLSJTOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
ZLSJITO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZLSJIOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLSJOTI,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZLSJOIT,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZLSOTIJ,X,X,O,X,X,O,O,X,O,X,X,O,X,X
ZLSOTJI,X,X,O,X,X,O,O,X,O,X,X,O,X,X
ZLSOITJ,X,X,O,X,X,O,X,O,O,X,X,O,X,X
ZLSOIJT,X,X,O,X,X,X,X,O,O,X,X,O,X,X
ZLSOJTI,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZLSOJIT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZLOTIJS,X,O,O,X,O,O,X,O,X,X,X,X,X,X
ZLOTISJ,X,O,O,X,X,O,X,O,O,O,X,X,O,X
ZLOTJIS,X,O,X,X,O,O,X,O,X,X,X,X,X,X
ZLOTJSI,X,O,O,X,O,O,X,X,O,X,X,X,X,X
ZLOTSIJ,X,O,O,X,X,O,X,O,O,O,X,O,X,X
ZLOTSJI,X,O,O,X,X,O,X,X,O,X,X,O,X,X
ZLOITJS,X,O,O,X,O,O,X,O,X,X,X,X,X,X
ZLOITSJ,X,O,O,X,X,O,X,O,X,O,X,X,X,X
ZLOIJTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLOIJST,X,X,O,X,O,X,X,O,X,X,X,X,X,X
ZLOISTJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X
ZLOISJT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZLOJTIS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLOJTSI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
ZLOJITS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZLOJIST,X,X,O,X,O,X,X,O,X,X,X,X,X,X
ZLOJSTI,X,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLOJSIT,X,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLOSTIJ,X,O,O,X,X,O,O,X,O,X,X,O,X,X
ZLOSTJI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
ZLOSITJ,X,O,O,X,X,O,X,O,O,X,X,O,X,X
ZLOSIJT,X,O,O,X,X,X,X,O,O,X,X,O,X,X
ZLOSJTI,X,O,O,X,X,X,X,X,O,X,X,O,X,X
ZLOSJIT,X,O,O,X,X,X,X,X,O,X,X,O,X,X
ZJTILSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJTILOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJTISLO,O,X,X,X,O,O,X,X,X,X,X,X,O,X
ZJTISOL,O,X,X,X,O,O,X,X,X,O,X,X,O,X
ZJTIOLS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJTIOSL,O,X,X,X,O,O,X,X,X,O,X,X,O,X
ZJTLISO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJTLIOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJTLSIO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJTLSOI,O,X,O,X,O,O,X,X,O,X,X,X,X,X
ZJTLOIS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJTLOSI,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJTSILO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJTSIOL,O,X,O,X,O,O,X,X,X,O,X,X,X,X
ZJTSLIO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJTSLOI,O,X,O,X,O,O,O,X,O,X,X,X,X,X
ZJTSOIL,O,X,O,X,O,O,X,X,X,O,X,X,X,X
ZJTSOLI,O,X,O,X,O,O,O,X,O,X,X,X,X,X
ZJTOILS,O,X,O,X,O,O,X,O,X,X,X,X,X,X
ZJTOISL,O,X,X,X,O,O,X,X,X,O,X,X,O,X
ZJTOLIS,O,X,X,X,O,O,X,O,X,X,X,X,X,X
ZJTOLSI,O,X,O,X,O,O,X,X,O,X,X,X,X,X
ZJTOSIL,O,X,O,X,O,O,X,X,X,O,X,X,X,X
ZJTOSLI,O,X,O,X,O,O,O,X,O,X,X,X,X,X
ZJITLSO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJITLOS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJITSLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJITSOL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
ZJITOLS,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJITOSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
ZJILTSO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJILTOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJILSTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJILSOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJILOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJILOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJISTLO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJISTOL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJISLTO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJISLOT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJISOTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJISOLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJIOTLS,O,X,X,X,O,O,X,O,X,X,X,X,X,X
ZJIOTSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
ZJIOLTS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJIOLST,O,X,X,O,O,X,X,O,X,X,X,X,X,X
ZJIOSTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJIOSLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJLTISO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJLTIOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJLTSIO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJLTSOI,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJLTOIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJLTOSI,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJLITSO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJLITOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJLISTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJLISOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJLIOTS,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJLIOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJLSTIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJLSTOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZJLSITO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJLSIOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJLSOTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJLSOIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJLOTIS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJLOTSI,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJLOITS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJLOIST,O,X,O,O,O,X,X,O,X,X,X,X,X,X
ZJLOSTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJLOSIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJSTILO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJSTIOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJSTLIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJSTLOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZJSTOIL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJSTOLI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZJSITLO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJSITOL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJSILTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJSILOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSIOTL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJSIOLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSLTIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJSLTOI,X,X,O,O,O,O,O,X,X,X,X,X,X,X
ZJSLITO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJSLIOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJSLOTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJSLOIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJSOTIL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJSOTLI,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJSOITL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJSOILT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSOLTI,X,X,O,O,O,X,X,X,O,X,X,X,X,X
ZJSOLIT,O,X,O,O,O,X,X,X,O,X,X,X,X,X
ZJOTILS,O,X,O,X,O,O,X,O,X,X,X,X,X,X
ZJOTISL,O,X,X,X,O,O,X,X,X,O,X,X,O,X
ZJOTLIS,O,X,X,X,O,O,X,O,X,X,X,X,X,X
ZJOTLSI,O,X,O,X,O,O,X,X,O,X,X,X,X,X
ZJOTSIL,O,X,O,X,O,O,X,X,X,O,X,X,X,X
ZJOTSLI,O,X,O,X,O,O,X,X,O,X,X,X,X,X
ZJOITLS,O,X,O,X,O,O,X,O,X,X,X,X,X,X
ZJOITSL,O,X,X,X,O,O,X,X,X,O,X,X,X,X
ZJOILTS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJOILST,O,X,O,O,O,X,X,O,X,X,X,X,X,X
ZJOISTL,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJOISLT,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJOLTIS,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZJOLTSI,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJOLITS,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJOLIST,O,X,O,O,O,X,X,O,X,X,X,X,X,X
ZJOLSTI,X,X,O,O,O,X,X,X,O,X,X,X,X,X
ZJOLSIT,O,X,O,O,O,X,X,X,O,X,X,X,X,X
ZJOSTIL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJOSTLI,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJOSITL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJOSILT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJOSLTI,X,X,O,O,O,X,X,X,O,X,X,X,X,X
ZJOSLIT,O,X,O,O,O,X,X,X,O,X,X,X,X,X
ZSTILJO,O,X,O,X,X,X,X,X,X,X,O,X,O,X
ZSTILOJ,X,X,O,X,X,X,O,O,O,O,O,X,O,O
ZSTIJLO,O,X,O,X,O,X,X,X,X,X,O,X,O,X
ZSTIJOL,O,X,O,X,O,X,X,X,X,O,X,X,O,O
ZSTIOLJ,X,X,X,X,X,X,O,O,O,O,O,X,O,O
ZSTIOJL,O,X,X,X,X,X,X,X,X,O,X,X,O,O
ZSTLIJO,O,X,O,O,X,X,X,X,X,X,O,X,X,X
ZSTLIOJ,X,X,O,X,X,X,O,O,O,O,O,O,X,O
ZSTLJIO,O,X,O,O,X,X,X,X,X,X,O,X,X,X
ZSTLJOI,O,X,O,O,X,X,O,X,O,X,X,O,X,X
ZSTLOIJ,X,X,O,X,X,X,O,O,O,O,O,O,X,X
ZSTLOJI,X,X,O,X,X,X,O,X,O,X,X,O,X,X
ZSTJILO,O,X,O,X,O,X,X,X,X,X,O,X,X,X
ZSTJIOL,O,X,O,X,O,X,X,X,X,O,X,X,X,O
ZSTJLIO,O,X,O,O,O,X,X,X,X,X,O,X,X,X
ZSTJLOI,O,X,O,O,O,X,O,X,O,X,X,X,X,X
ZSTJOIL,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSTJOLI,O,X,O,O,O,X,O,X,O,X,X,X,X,X
ZSTOILJ,X,X,O,X,X,X,O,O,O,O,O,X,O,O
ZSTOIJL,O,X,O,X,O,X,X,X,X,O,X,X,O,O
ZSTOLIJ,X,X,O,X,X,X,O,O,O,O,O,O,X,X
ZSTOLJI,X,X,O,X,X,X,O,X,O,X,X,O,X,X
ZSTOJIL,O,X,O,X,O,X,X,X,X,O,X,X,X,X
ZSTOJLI,O,X,O,X,O,X,O,X,O,X,X,X,X,X
ZSITLJO,O,X,O,X,X,X,X,X,X,X,O,X,X,X
ZSITLOJ,X,X,O,X,X,X,O,O,X,O,O,X,X,O
ZSITJLO,O,X,O,X,O,X,X,X,X,X,O,X,X,X
ZSITJOL,O,X,O,X,O,X,X,X,X,O,X,X,X,O
ZSITOLJ,X,X,X,X,X,X,O,O,X,O,O,X,X,O
ZSITOJL,O,X,X,X,X,X,X,X,X,O,X,X,X,O
ZSILTJO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
ZSILTOJ,X,X,O,X,X,O,O,X,X,X,O,X,X,O
ZSILJTO,X,X,O,X,X,O,X,X,X,X,O,X,X,X
ZSILJOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,X,X,O,X,X,O,X,O,X,X,O,X,X,X
ZSILOJT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZSIJTLO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSIJTOL,O,X,O,X,O,O,X,X,X,X,X,X,X,O
ZSIJLTO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSIJLOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSIJOTL,O,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSIJOLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSIOTLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,O
ZSIOTJL,X,X,O,X,X,X,X,X,X,O,X,X,X,O
ZSIOLTJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZSIOLJT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZSIOJTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIOJLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLTIJO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZSLTIOJ,X,X,O,X,X,O,O,X,X,X,O,O,X,X
ZSLTJIO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZSLTJOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
ZSLTOIJ,X,X,O,X,X,O,O,X,X,X,O,O,X,X
ZSLTOJI,X,X,O,X,X,O,O,X,X,X,X,O,X,X
ZSLITJO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZSLITOJ,X,X,O,X,X,O,O,X,X,X,O,O,X,X
ZSLIJTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZSLIJOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSLIOTJ,X,X,O,X,X,O,X,O,X,X,O,O,X,X
ZSLIOJT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ZSLJTIO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZSLJTOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
ZSLJITO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
ZSLJIOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
