sequence,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBU?iBKrBfsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBOrBzrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgBXdBx?mB0mB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgBxcB3fBU?iBmrBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBXdBTfBx?mBirB0rB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBtgB0cBx?mBXnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgB0cBTfBx?mBirBXsB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeO/IvhF8fBtgBXdBx?mBTmBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jei6IvhFtgB0cB3fBx?mBOsBTrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFtgBxcBTfBc?mBXnBywB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex6IvhF/hBTfB0gBN?nBCnB2wB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jem6IvhFxcBTfBSmBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeK/IvhFzaBxcBGhBN?nB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jey/IvhFxcBGhBNnBT?fB0rBfrB,v115@7gB8GeC8BeA8EeF8CeG8CeC8Jex/IvhFXhBNnBTfBC?iB0rBmqB,v115@7gB8GeC8BeA8EeF8CeG8CeC8JeN/IvhF/hB0gBZnBC?gBGiBTrB
TJSZOLI,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TJSOILZ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TJSOIZL,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X
TJSOLIZ,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TJSOLZI,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
TJSOZIL,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
TJSOZLI,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
TJZILSO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TJZILOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TJZISLO,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,O
TJZISOL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
TJZIOLS,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
TJZIOSL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TJZLISO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TJZLIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TJZLSIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TJZLSOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
TJZLOIS,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X
TJZLOSI,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X
TJZSILO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O
TJZSIOL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,O,O
TJZSLIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
TJZSLOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
TJZSOIL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TJZSOLI,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TJZOILS,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
TJZOISL,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O
TJZOLIS,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X
TJZOLSI,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X
TJZOSIL,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O
TJZOSLI,X,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X
TJOILSZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TJOILZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TJOISLZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TJOISZL,X,X,X,O,O,X,O,X,O,O,O,X,X,X,X,X
TJOIZLS,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
TJOIZSL,X,X,X,O,O,X,O,X,O,X,O,X,X,X,X,O
TJOLISZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TJOLIZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TJOLSIZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X
TJOLSZI,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X
TJOLZIS,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,X
TJOLZSI,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,X
TJOSILZ,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TJOSIZL,X,X,X,O,O,X,O,X,O,O,O,X,X,X,X,X
TJOSLIZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TJOSLZI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
TJOSZIL,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
TJOSZLI,X,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X
TJOZILS,O,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X
TJOZISL,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O
TJOZLIS,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
TJOZLSI,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X
TJOZSIL,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O
TJOZSLI,X,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X
TSILJZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSILJOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSILZJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TSILZOJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSILOJZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TSILOZJ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSIJLZO,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TSIJLOZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TSIJZLO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TSIJZOL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TSIJOLZ,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TSIJOZL,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TSIZLJO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TSIZLOJ,X,O,O,O,X,O,X,X,O,O,X,X,X,X,O,O
TSIZJLO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TSIZJOL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
TSIZOLJ,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O
TSIZOJL,X,X,X,X,O,X,O,O,O,O,X,X,X,X,O,O
TSIOLJZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TSIOLZJ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TSIOJZL,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X
TSIOZLJ,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O
TSIOZJL,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,O
TSLIJZO,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TSLIJOZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TSLIZJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TSLIZOJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
TSLIOJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLIOZJ,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X
TSLJIZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSLJIOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSLJZIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TSLJZOI,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSLJOIZ,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TSLJOZI,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X
TSLZIJO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TSLZIOJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TSLZJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
TSLZJOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
TSLZOIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TSLZOJI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
TSLOIJZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLOIZJ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLOJIZ,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TSLOJZI,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
TSLOZIJ,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TSLOZJI,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X
TSJILZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSJILOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSJIZLO,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TSJIZOL,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TSJIOLZ,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TSJLIZO,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSJLIOZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSJLZIO,O,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TSJLZOI,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TSJLOIZ,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSJLOZI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X
TSJZILO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TSJZIOL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TSJZLIO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X
TSJZLOI,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSJZOIL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TSJZOLI,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TSJOILZ,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TSJOIZL,X,X,X,O,O,X,X,X,O,O,O,X,X,X,X,X
TSJOLIZ,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X
TSJOLZI,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X
TSJOZIL,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
TSJOZLI,X,O,X,O,O,X,X,X,O,O,O,X,X,X,X,X
TSZILJO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TSZILOJ,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O
TSZIJLO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TSZIJOL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
TSZIOLJ,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,O
TSZIOJL,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,O
TSZLIJO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TSZLIOJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TSZLJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
TSZLJOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
TSZLOIJ,O,O,O,O,X,O,X,X,O,O,O,O,X,X,X,X
TSZLOJI,O,O,O,O,X,O,X,O,O,O,O,O,O,X,X,X
TSZJILO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O
TSZJIOL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O
TSZJLIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
TSZJLOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
TSZJOIL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TSZJOLI,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TSZOILJ,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,O
TSZOIJL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,O
TSZOLIJ,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,O
TSZOLJI,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X
TSZOJIL,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,O
TSZOJLI,O,O,X,X,O,X,O,O,O,O,O,O,X,X,X,X
TSOILJZ,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TSOILZJ,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TSOIJZL,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TSOIZLJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
TSOIZJL,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,O
TSOLIJZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TSOLIZJ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TSOLJIZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TSOLJZI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
TSOLZIJ,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TSOLZJI,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X,X
TSOJILZ,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TSOJIZL,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TSOJLIZ,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X
TSOJLZI,O,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X
TSOJZIL,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
TSOJZLI,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X,X
TSOZILJ,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,O
TSOZIJL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
TSOZLIJ,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,O
TSOZLJI,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X
TSOZJIL,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,O
TSOZJLI,O,O,X,X,O,X,O,O,O,O,O,O,X,X,X,X
TZILJSO,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TZILJOS,X,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TZILSJO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TZILSOJ,X,O,O,O,X,O,X,O,O,X,X,X,X,X,O,O
TZILOJS,X,X,O,X,X,O,O,O,X,X,X,O,O,X,X,X
TZILOSJ,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X
TZIJLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TZIJLOS,O,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X
TZIJSLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TZIJSOL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TZIJOLS,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TZIJOSL,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TZISLJO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TZISLOJ,X,O,O,O,X,O,X,X,O,X,X,X,X,X,O,O
TZISJLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TZISJOL,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O
TZISOLJ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TZISOJL,X,X,X,X,O,X,O,O,O,X,O,X,X,X,O,O
TZIOLJS,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TZIOLSJ,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,O
TZIOJLS,O,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X
TZIOJSL,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O
TZIOSLJ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TZIOSJL,X,X,X,X,O,X,O,O,X,X,O,X,X,X,O,O
TZLIJSO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TZLIJOS,O,X,O,X,X,O,O,O,X,X,X,X,O,O,X,X
TZLISJO,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O
TZLISOJ,X,O,O,O,O,O,O,O,X,X,X,X,X,X,O,O
TZLIOJS,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X
TZLIOSJ,X,X,O,X,O,O,O,O,X,X,X,O,X,X,X,X
TZLJISO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TZLJIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TZLJSIO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TZLJSOI,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TZLJOIS,X,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X
TZLJOSI,X,X,O,X,X,O,O,O,X,X,X,O,O,O,X,X
TZLSIJO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TZLSIOJ,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O
TZLSJIO,O,O,X,O,X,X,X,O,O,X,X,X,X,O,X,X
TZLSJOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
TZLSOIJ,O,O,O,O,X,O,X,X,O,X,O,O,X,X,X,X
TZLSOJI,O,O,O,O,O,O,O,O,X,X,O,O,O,X,X,X
TZLOIJS,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X
TZLOISJ,X,X,O,X,O,O,O,O,X,X,O,O,X,X,X,O
TZLOJIS,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
TZLOJSI,O,X,O,X,O,O,O,O,X,X,X,O,O,O,X,X
TZLOSIJ,O,X,O,X,X,O,X,X,X,X,O,O,X,X,X,O
TZLOSJI,O,X,O,X,O,O,O,O,X,X,O,O,O,X,X,X
TZJILSO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TZJILOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TZJISLO,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O,O
TZJISOL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,O,O
TZJIOLS,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
TZJIOSL,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TZJLISO,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TZJLIOS,O,X,O,X,X,O,X,O,X,X,X,X,O,O,X,X
TZJLSIO,O,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TZJLSOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
TZJLOIS,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X
TZJLOSI,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X
TZJSILO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O
TZJSIOL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,O,O
TZJSLIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
TZJSLOI,O,O,O,O,X,O,X,O,X,X,O,X,O,O,X,X
TZJSOIL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TZJSOLI,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
TZJOILS,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
TZJOISL,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O
TZJOLIS,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X
TZJOLSI,X,X,X,X,X,O,O,O,X,X,O,O,O,O,X,X
TZJOSIL,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O
TZJOSLI,X,O,X,O,X,X,O,O,X,X,O,O,X,X,X,X
TZSILJO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TZSILOJ,X,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O
TZSIJLO,X,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TZSIJOL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O
TZSIOLJ,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,O
TZSIOJL,X,X,X,X,X,X,X,O,O,O,O,X,X,X,O,O
TZSLIJO,O,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TZSLIOJ,O,O,X,O,X,X,X,O,O,O,X,X,X,X,O,O
TZSLJIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
TZSLJOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
TZSLOIJ,O,O,O,O,X,O,X,X,O,O,O,O,X,X,X,X
TZSLOJI,O,O,O,O,X,O,X,O,O,O,O,O,O,X,X,X
TZSJILO,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O
TZSJIOL,X,O,X,O,X,X,X,O,X,O,X,X,X,X,O,O
TZSJLIO,O,O,X,O,X,X,X,O,O,O,X,X,X,O,X,X
TZSJLOI,O,O,X,O,X,X,X,O,X,X,X,X,O,O,X,X
TZSJOIL,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TZSJOLI,X,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
TZSOILJ,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,O
TZSOIJL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,O
TZSOLIJ,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,O
TZSOLJI,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X
TZSOJIL,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,O
TZSOJLI,O,O,X,X,O,X,O,O,O,O,O,O,X,X,X,X
TZOILJS,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TZOILSJ,X,O,X,X,O,X,O,X,O,X,O,O,X,X,X,O
TZOIJLS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
TZOIJSL,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
TZOISLJ,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TZOISJL,X,O,X,X,O,X,O,O,O,X,O,X,X,X,O,O
TZOLIJS,O,X,X,X,O,O,O,O,X,X,X,O,O,X,X,X
TZOLISJ,X,O,X,X,O,O,O,O,X,X,O,O,X,X,X,O
TZOLJIS,O,X,X,X,O,O,O,O,X,X,X,O,O,O,X,X
TZOLJSI,O,X,X,X,O,O,O,O,X,X,X,O,O,O,X,X
TZOLSIJ,O,O,X,X,X,O,X,X,O,X,O,O,X,X,X,O
TZOLSJI,O,O,X,X,O,O,O,O,O,X,O,O,O,X,X,X
TZOJILS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
TZOJISL,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,O
TZOJLIS,O,X,X,X,O,X,O,O,X,X,O,O,O,O,X,X
TZOJLSI,O,X,X,X,O,X,O,O,X,X,O,O,O,O,X,X
TZOJSIL,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,O
TZOJSLI,O,O,X,X,O,X,O,O,O,O,O,O,X,X,X,X
TZOSILJ,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,O
TZOSIJL,X,O,X,X,X,X,X,X,O,O,O,X,X,X,O,O
TZOSLIJ,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,O
TZOSLJI,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X
TZOSJIL,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X,O
TZOSJLI,O,O,X,X,O,X,O,O,O,O,O,O,X,X,X,X
TOILJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TOILJZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TOILSJZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TOILSZJ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TOILZJS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TOILZSJ,X,X,O,X,O,O,O,X,O,X,O,X,X,X,X,O
TOIJLSZ,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TOIJLZS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TOIJSLZ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TOIJSZL,X,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TOIJZLS,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TOIJZSL,X,O,X,X,O,X,O,X,O,X,O,X,X,X,X,O
TOISLJZ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TOISLZJ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TOISJLZ,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TOISJZL,X,X,X,X,O,X,O,X,O,O,O,X,X,X,X,X
TOISZLJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,O
TOISZJL,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,O
TOIZLJS,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X
TOIZLSJ,X,O,X,X,O,O,O,X,O,X,O,O,X,X,X,O
TOIZJLS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X,X
TOIZJSL,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,O
TOIZSLJ,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O
TOIZSJL,X,O,X,X,O,X,O,O,O,X,O,X,X,X,O,O
TOLIJSZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TOLIJZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
TOLISJZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TOLISZJ,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X
TOLIZJS,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,X
TOLIZSJ,X,X,O,X,O,O,O,O,O,X,O,X,X,X,X,O
TOLJISZ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TOLJIZS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
