sequence,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeC8IvhFTdBejB?5jBVsBXrB0rB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeC8IvhFldB5jB?mhB8nBzrBXrB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhFxdB0iB?6oBlmBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeSBJvhFmdB5jB?0iBlmBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jez7IvhFUdBGeB?1mB/oBSsBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jei9IvhF5jBziB?lmBXsBuqBcrB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JefBJvhFSiBTeB?UnBGoBlmBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhFxdB6oB?0mBlnBzqBXsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR8IvhFGeBUhB?/oBTnBSwBFsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8Jez7IvhFldB5jB?8nBmmBSwBfsB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeU9IvhFajB5jB?FhBWsBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR9IvhFSjBFhB?8mBGoBXsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeaDJvhF5jBFhB?XiBcsBurBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeSBJvhF/iBTjB?UhBVsBGoBRwB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeR8IvhFGeBFiB?/oB6rBcsBzqB,v115@zgC8GeC8GeD8FeE8CeA8AeC8DeC8JeG8IvhF0mBxnB?6oBlnBzqBXsB
TLJIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJSIZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLJZISO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
TLJZIOS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLJZSIO,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
TLJZSOI,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLJZOSI,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLJOZIS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLJOZSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSIZOJ,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TLSIOJZ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSJIZO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TLSJZOI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSJOIZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
TLSZIJO,X,X,O,X,O,X,X,O,O,X,X,X,O,X,O,X
TLSZIOJ,X,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X
TLSZJIO,X,X,O,X,O,X,X,O,O,X,X,X,O,X,O,X
TLSZJOI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X
TLSZOIJ,X,X,O,X,O,X,X,O,O,X,X,X,O,O,O,X
TLSZOJI,X,X,O,X,O,X,X,O,O,X,X,X,X,O,O,X
TLSOIJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLSOJIZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
TLSOZIJ,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
TLSOZJI,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X
TLZIJSO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X
TLZIJOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLZISJO,X,X,O,X,O,X,X,O,O,X,X,X,O,X,O,X
TLZISOJ,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X
TLZIOJS,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLZIOSJ,X,O,X,X,O,X,X,O,O,X,X,X,O,X,O,X
TLZJISO,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X
TLZJIOS,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLZJSIO,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X
TLZJSOI,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
TLZJOIS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TLZJOSI,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZSIJO,X,X,O,X,O,X,X,O,O,X,X,X,O,X,O,X
TLZSIOJ,X,O,O,X,O,X,X,O,X,X,X,X,O,X,O,X
TLZSJIO,X,X,O,X,O,X,X,O,O,X,X,X,O,X,O,X
TLZSJOI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X
