sequence,v115@7gC8GeD8EeE8FeF8BeD8Jel6IvhF3bBuhBciBZmBTl?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFTdBFgBXhB0hBmq?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Jel6IvhFRcBciBOlBThBfr?BCsB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFlbBGdBihBTlBxr?B3rB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBUgBFiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBUgBFiByqB+r?BTsB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFUgBFhBXiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFxbB3gBFiB6rBTn?BmqB,v115@7gC8GeD8EeE8FeF8BeD8Jex6IvhFXcBalBFiBGmBTn?BUrB,v115@7gC8GeD8EeE8FeF8BeD8Je06IvhFxbB3gBFiByqB+r?BTsB,v115@7gC8GeD8EeE8FeF8BeD8JeR8IvhFciBFgBThBfrBmk?BCsB,v115@7gC8GeD8EeE8FeF8BeD8JeaBJvhFTdBFgBfrBUnB5m?BmpB
IZLTOJS,O,O,O,O,O,X,X,X,X,X,X,X
IZLTOSJ,O,X,O,X,O,X,X,X,X,X,X,X
IZLJTSO,O,O,O,O,O,O,O,X,O,O,X,X
IZLJTOS,O,O,O,O,O,O,X,X,O,X,X,X
IZLJSTO,O,X,O,O,O,O,O,X,O,O,X,X
IZLJSOT,O,X,O,X,O,O,X,X,O,O,X,X
IZLJOTS,O,O,O,O,O,O,X,X,O,X,X,X
IZLJOST,O,X,X,O,O,O,X,X,O,X,X,X
IZLSTJO,O,X,O,O,O,O,O,O,X,O,X,X
IZLSTOJ,O,X,O,X,O,X,O,O,X,X,O,X
IZLSJTO,O,X,O,O,O,O,O,O,O,O,X,X
IZLSJOT,O,X,O,X,X,O,X,X,O,O,X,X
IZLSOTJ,O,X,O,X,O,X,X,O,X,X,O,X
IZLSOJT,O,X,O,X,X,O,X,X,X,O,O,X
IZLOTJS,O,O,O,O,O,X,X,X,X,X,X,X
IZLOTSJ,O,X,O,O,O,X,X,X,X,X,X,X
IZLOJTS,O,O,O,O,X,O,X,X,O,X,X,X
IZLOJST,O,X,X,O,X,O,X,X,O,X,X,X
IZLOSTJ,O,X,O,O,O,X,X,X,X,X,X,X
IZLOSJT,O,X,X,O,X,O,X,X,X,X,X,X
IZJTLSO,O,O,O,O,O,O,O,X,O,O,X,X
IZJTLOS,O,O,O,O,O,O,X,X,O,X,X,X
IZJTSLO,O,X,O,O,X,X,O,O,O,X,X,X
IZJTSOL,O,O,O,X,X,X,O,X,X,X,X,X
IZJTOLS,O,O,O,O,X,X,X,X,X,X,X,X
IZJTOSL,O,O,O,O,X,X,O,X,X,X,X,X
IZJLTSO,O,O,O,O,O,O,O,O,O,O,X,X
IZJLTOS,O,O,O,O,O,O,X,X,O,X,X,X
IZJLSTO,O,X,O,O,O,O,O,O,O,O,X,X
IZJLSOT,O,X,O,X,O,O,X,O,O,O,X,X
IZJLOTS,O,O,O,O,O,O,X,X,O,X,X,X
IZJLOST,O,X,X,O,O,O,X,X,O,X,X,X
IZJSTLO,O,X,O,O,X,X,O,O,O,X,X,X
IZJSTOL,O,X,O,X,X,X,O,X,X,X,X,X
IZJSLTO,O,X,O,O,O,X,O,X,O,X,X,X
IZJSLOT,X,X,O,X,O,X,X,X,O,X,X,X
IZJSOTL,O,X,O,X,X,X,O,X,X,X,X,X
IZJSOLT,O,X,O,X,X,X,X,X,X,X,X,X
IZJOTLS,O,O,O,O,X,X,X,X,X,X,X,X
IZJOTSL,O,O,O,O,X,X,O,X,X,X,X,X
IZJOLTS,O,O,X,O,O,X,X,X,X,X,X,X
IZJOLST,O,X,X,O,O,X,X,X,X,X,X,X
IZJOSTL,O,X,X,O,X,X,O,X,X,X,X,X
IZJOSLT,O,X,X,O,X,X,X,X,X,X,X,X
IZSTLJO,O,X,O,O,X,X,O,X,X,X,X,O
IZSTLOJ,O,X,O,X,X,X,O,X,X,X,O,O
IZSTJLO,O,X,O,O,X,X,O,X,X,X,X,X
IZSTJOL,O,X,O,X,X,X,O,X,X,X,X,X
IZSTOLJ,X,X,O,X,X,X,O,X,X,X,O,O
IZSTOJL,O,X,O,X,X,X,O,X,X,X,O,X
IZSLTJO,O,X,O,O,O,O,O,X,X,X,X,O
IZSLTOJ,O,X,O,X,O,X,O,X,X,X,O,O
IZSLJTO,O,X,O,O,O,O,O,X,X,X,X,X
IZSLJOT,O,X,O,X,X,O,X,X,X,X,X,X
IZSLOTJ,O,X,O,X,O,X,X,X,X,X,O,O
IZSLOJT,O,X,O,X,X,O,X,X,X,X,O,X
IZSJTLO,O,X,O,O,X,X,O,X,X,X,X,X
IZSJTOL,O,X,O,X,X,X,O,X,X,X,X,X
IZSJLTO,O,X,O,O,O,X,O,X,X,X,X,X
IZSJLOT,X,X,O,X,O,X,X,X,X,X,X,X
IZSJOTL,O,X,O,X,X,X,O,X,X,X,X,X
IZSJOLT,O,X,O,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,X,O,X,X,X,O,X,X,X,O,O
IZSOTJL,O,X,O,X,X,X,O,X,X,X,O,X
IZSOLTJ,O,X,O,X,X,X,X,X,X,X,O,O
IZSOLJT,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,O,X,X,X,O,X,X,X,O,X
IZSOJLT,O,X,O,X,X,X,X,X,X,X,X,X
IZOTLJS,O,O,O,O,X,X,X,X,X,X,X,X
IZOTLSJ,O,X,O,O,X,X,X,X,X,X,X,X
IZOTJLS,O,O,O,O,X,X,X,X,X,X,X,X
IZOTJSL,O,O,O,O,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,O,O,X,X,O,X,X,X,X,X
IZOTSJL,O,X,O,O,X,X,O,X,X,X,X,X
IZOLTJS,O,O,O,O,O,X,X,X,X,X,X,X
IZOLTSJ,O,X,O,O,O,X,X,X,X,X,X,X
IZOLJTS,O,O,O,O,X,O,X,X,X,X,X,X
IZOLJST,O,X,X,O,X,O,X,X,X,X,X,X
IZOLSTJ,O,X,O,O,O,X,X,X,X,X,X,X
IZOLSJT,O,X,X,O,X,O,X,X,X,X,X,X
IZOJTLS,O,O,O,O,X,X,X,X,X,X,X,X
IZOJTSL,O,O,O,O,X,X,O,X,X,X,X,X
IZOJLTS,O,O,X,O,O,X,X,X,X,X,X,X
IZOJLST,O,X,X,O,O,X,X,X,X,X,X,X
IZOJSTL,O,X,X,O,X,X,O,X,X,X,X,X
IZOJSLT,O,X,X,O,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,O,O,X,X,O,X,X,X,X,O
IZOSTJL,O,X,O,O,X,X,O,X,X,X,X,X
IZOSLTJ,O,X,X,O,X,X,X,X,X,X,X,O
IZOSLJT,O,X,X,O,X,X,X,X,X,X,X,X
IZOSJTL,O,X,X,O,X,X,O,X,X,X,X,X
IZOSJLT,O,X,X,O,X,X,X,X,X,X,X,X
IOTLJSZ,O,O,X,X,X,X,X,X,X,X,X,X
IOTLJZS,O,O,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,O,X,X,X,X,X,X,X,X
IOTLZJS,O,O,X,O,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,X,O,X,X,X,X,X,X,X,X
IOTJLSZ,O,O,X,X,X,X,X,X,X,X,X,X
IOTJLZS,O,O,X,O,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,O,X,X,X,X,X,X,X,X
IOTJZLS,O,O,X,O,X,X,X,X,X,X,X,X
IOTJZSL,O,O,X,O,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,O,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTSJZL,O,O,X,O,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,O,X,X,X,X,X,X,X,O
IOTSZJL,O,X,X,O,X,X,X,X,X,X,X,X
IOTZLJS,O,O,X,O,X,X,X,X,X,X,X,X
IOTZLSJ,O,X,X,O,X,X,X,X,X,X,X,X
IOTZJLS,O,O,X,O,X,X,X,X,X,X,X,X
IOTZJSL,O,O,X,O,X,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
IOTZSJL,O,X,X,O,X,X,X,X,X,X,X,X
IOLTJSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLTJZS,O,O,X,O,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,O,X,X,X,X,X,X,X,X
IOLTZJS,O,O,X,O,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,X,O,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLJTZS,O,O,X,O,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,O,X,X,X,X,X,X,X,X
IOLJZTS,O,O,X,O,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,X,O,X,X,X,X,X,X,X,X
IOLSJTZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,O,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,O,X,X,X,X,X,X,X,X
IOLSZJT,O,X,X,O,X,X,X,X,X,X,X,X
IOLZTJS,O,O,X,O,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,X,O,X,X,X,X,X,X,X,X
IOLZJTS,O,O,X,O,X,X,X,X,O,X,X,X
IOLZJST,O,X,X,O,X,X,X,X,O,X,X,X
IOLZSTJ,O,X,X,O,X,X,X,X,X,X,X,X
IOLZSJT,O,X,X,O,X,X,X,X,X,X,X,X
IOJTLSZ,O,O,X,X,X,X,X,X,X,X,X,X
IOJTLZS,O,O,X,O,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,O,X,X,X,X,X,X,X,X
IOJTSZL,O,O,X,O,X,X,X,X,X,X,X,X
IOJTZLS,O,O,X,O,X,X,X,X,X,X,X,X
IOJTZSL,O,O,X,O,X,X,X,X,X,X,X,X
IOJLTSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOJLTZS,O,O,X,O,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,X,O,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,O,X,X,X,X,X,X,X,X
IOJLZTS,O,O,X,O,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,X,O,X,X,X,X,X,X,X,X
IOJSTZL,O,O,X,O,X,X,X,X,X,X,X,X
IOJSLTZ,O,O,X,O,X,X,X,X,X,X,X,X
IOJSLZT,O,X,X,O,X,X,X,X,X,X,X,X
IOJSZTL,O,X,X,O,X,X,O,X,X,X,X,X
IOJSZLT,O,X,X,O,X,X,X,X,X,X,X,X
IOJZTLS,O,O,X,O,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,O,X,X,O,X,X,X,X,X
IOJZLTS,O,O,X,O,O,X,X,X,X,X,X,X
IOJZLST,O,X,X,O,O,X,X,X,X,X,X,X
IOJZSTL,O,X,X,O,X,X,O,X,X,X,X,X
IOJZSLT,O,X,X,O,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSTLZJ,O,X,X,O,X,X,X,X,X,X,X,X
IOSTJLZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSTJZL,O,O,X,O,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,O,X,X,X,X,X,X,X,O
IOSTZJL,O,X,X,O,X,X,X,X,X,X,X,X
IOSLTJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSLTZJ,O,X,X,O,X,X,X,X,X,X,X,X
IOSLJTZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,O,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,O,X,X,X,X,X,X,X,X
IOSLZJT,O,X,X,O,X,X,X,X,X,X,X,X
IOSJTLZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSJTZL,O,O,X,O,X,X,X,X,X,X,X,X
IOSJLTZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,O,X,X,X,X,X,X,X,X
IOSJZTL,O,X,X,O,X,X,O,X,X,X,X,X
IOSJZLT,O,X,X,O,X,X,X,X,X,X,X,X
IOSZTLJ,O,X,X,O,X,X,O,X,X,X,X,O
IOSZTJL,O,X,X,O,X,X,O,X,X,X,X,X
IOSZLTJ,O,X,X,O,X,X,X,X,X,X,X,O
IOSZLJT,O,X,X,O,X,X,X,X,X,X,X,X
IOSZJTL,O,X,X,O,X,X,O,X,X,X,X,X
IOSZJLT,O,X,X,O,X,X,X,X,X,X,X,X
IOZTLJS,O,O,X,O,X,X,X,X,X,X,X,X
IOZTLSJ,O,X,X,O,X,X,X,X,X,X,X,X
IOZTJLS,O,O,X,O,X,X,X,X,X,X,X,X
IOZTJSL,O,O,X,O,X,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,O,X,X,O,X,X,X,X,X
IOZTSJL,O,X,X,O,X,X,O,X,X,X,X,X
IOZLTJS,O,O,X,O,O,X,X,X,X,X,X,X
IOZLTSJ,O,X,X,O,O,X,X,X,X,X,X,X
IOZLJTS,O,O,X,O,X,O,X,X,X,X,X,X
IOZLJST,O,X,X,O,X,O,X,X,X,X,X,X
IOZLSTJ,O,X,X,O,O,X,X,X,X,X,X,X
IOZLSJT,O,X,X,O,X,O,X,X,X,X,X,X
IOZJTLS,O,O,X,O,X,X,X,X,X,X,X,X
IOZJTSL,O,O,X,O,X,X,O,X,X,X,X,X
IOZJLTS,O,O,X,O,O,X,X,X,X,X,X,X
IOZJLST,O,X,X,O,O,X,X,X,X,X,X,X
IOZJSTL,O,X,X,O,X,X,O,X,X,X,X,X
IOZJSLT,O,X,X,O,X,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,O,X,X,O,X,X,X,X,O
IOZSTJL,O,X,X,O,X,X,O,X,X,X,X,X
IOZSLTJ,O,X,X,O,X,X,X,X,X,X,X,O
IOZSLJT,O,X,X,O,X,X,X,X,X,X,X,X
IOZSJTL,O,X,X,O,X,X,O,X,X,X,X,X
IOZSJLT,O,X,X,O,X,X,X,X,X,X,X,X
LTIJSZO,O,O,O,X,O,X,X,O,X,X,X,X
LTIJSOZ,X,O,O,X,X,X,X,O,X,X,X,X
LTIJZSO,O,O,O,X,O,X,X,O,X,X,X,X
LTIJZOS,O,O,O,X,O,X,X,X,X,X,X,X
LTIJOSZ,X,O,X,X,X,X,X,X,X,X,X,X
LTIJOZS,X,O,X,X,X,X,X,X,X,X,X,X
LTISJZO,O,O,X,X,X,X,X,O,X,X,X,X
LTISJOZ,X,O,X,X,X,X,X,O,X,X,X,X
LTISZJO,O,X,O,X,O,X,X,O,X,X,X,X
LTISZOJ,O,X,O,X,O,X,X,O,X,X,O,X
LTISOJZ,X,O,X,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,O,X,X,X,X,O,X,X,O,X
LTIZJSO,O,O,O,X,O,X,X,X,O,X,X,X
LTIZJOS,O,O,O,X,O,X,X,X,O,X,X,X
LTIZSJO,O,X,O,X,O,X,X,O,O,X,X,X
LTIZSOJ,O,X,O,X,O,X,X,O,X,X,O,X
LTIZOJS,O,O,O,X,O,X,X,X,X,X,X,X
LTIZOSJ,O,X,O,X,O,X,X,X,X,X,X,X
LTIOJSZ,O,O,X,X,X,X,X,X,X,X,X,X
LTIOJZS,O,O,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,O,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,O,X,X,X,X,X,X,X,X,X
LTIOZJS,O,O,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,O,X,X,X,X,X,X,X,X,X
LTJISZO,O,O,O,X,O,O,X,O,X,O,X,X
LTJISOZ,X,O,O,X,X,X,X,O,X,O,X,X
LTJIZSO,O,O,O,X,O,O,X,O,X,O,X,X
LTJIZOS,O,O,O,X,O,O,X,X,X,X,X,X
LTJIOSZ,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOZS,X,O,X,X,X,X,X,X,X,X,X,X
LTJSIZO,X,O,O,X,O,O,X,O,X,O,X,X
LTJSIOZ,X,O,O,X,X,X,X,O,X,O,X,X
LTJSZIO,X,O,O,X,O,O,X,O,X,O,X,X
LTJSZOI,X,O,O,X,O,O,X,O,X,O,O,X
LTJSOIZ,X,O,O,X,X,X,X,O,X,O,X,X
LTJSOZI,X,O,O,X,O,O,X,O,X,O,O,X
LTJZISO,O,O,O,X,O,O,X,O,O,O,X,X
LTJZIOS,O,O,O,X,O,O,X,X,O,X,X,X
LTJZSIO,O,O,O,X,O,O,X,O,O,O,X,X
LTJZSOI,O,O,O,X,O,O,X,O,O,O,O,X
LTJZOIS,O,O,O,X,O,O,X,X,O,X,X,X
LTJZOSI,O,O,O,X,O,O,X,O,O,O,X,X
LTJOISZ,O,O,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,O,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,O,O,X,X,X,X,O,X,O,X,X
LTJOSZI,O,O,O,X,O,O,X,O,X,O,X,X
LTJOZIS,O,O,O,X,O,O,X,X,X,X,X,X
LTJOZSI,O,O,O,X,O,O,X,O,X,O,X,X
LTSIJZO,O,O,X,X,X,X,X,O,X,O,X,X
LTSIJOZ,X,O,X,X,X,X,X,O,X,O,X,X
LTSIZJO,O,X,O,X,O,X,X,O,X,O,X,O
LTSIZOJ,O,X,O,X,O,X,X,O,X,X,O,O
LTSIOJZ,X,O,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,O,X,X,X,X,O,X,X,O,X
LTSJIZO,X,O,O,X,O,O,X,O,X,O,X,X
LTSJIOZ,X,O,O,X,X,X,X,O,X,O,X,X
LTSJZIO,X,O,O,X,O,O,X,O,X,O,X,O
LTSJZOI,X,O,O,X,O,O,X,O,X,O,O,O
LTSJOIZ,X,O,O,X,X,X,X,O,X,O,X,X
LTSJOZI,X,O,O,X,O,O,X,O,X,O,O,X
LTSZIJO,O,X,O,X,O,O,X,O,O,O,X,O
LTSZIOJ,O,X,O,X,O,X,X,O,X,X,O,O
LTSZJIO,O,X,O,X,O,O,X,O,O,O,X,O
LTSZJOI,O,X,O,X,O,O,X,O,O,O,O,O
LTSZOIJ,O,X,O,X,O,X,X,O,X,X,O,O
LTSZOJI,O,X,O,X,O,X,X,O,O,X,O,O
LTSOIJZ,O,O,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,O,X,X,X,X,O,X,X,O,X
LTSOJIZ,O,O,O,X,X,X,X,O,X,X,X,X
LTSOJZI,O,O,O,X,X,X,X,O,X,X,O,X
LTSOZIJ,O,X,O,X,O,X,X,O,X,X,O,O
LTSOZJI,O,X,O,X,O,X,X,O,X,X,O,O
LTZIJSO,O,O,O,X,O,O,X,X,O,X,X,X
LTZIJOS,O,O,O,X,O,O,X,X,O,X,X,X
LTZISJO,O,X,O,X,O,O,X,O,O,X,X,X
LTZISOJ,O,X,O,X,O,X,X,O,X,X,O,X
LTZIOJS,O,O,O,X,O,X,X,X,X,X,X,X
LTZIOSJ,O,X,O,X,O,X,X,X,X,X,X,X
LTZJISO,O,O,O,X,O,O,X,O,O,O,X,X
LTZJIOS,O,O,O,X,O,O,X,X,O,X,X,X
LTZJSIO,O,O,O,X,O,O,X,O,O,O,X,X
LTZJSOI,O,O,O,X,O,O,X,O,O,O,O,X
LTZJOIS,O,O,O,X,O,O,X,X,O,X,X,X
LTZJOSI,O,O,O,X,O,O,X,O,O,O,X,X
LTZSIJO,O,X,O,X,O,O,X,O,O,O,X,X
LTZSIOJ,O,X,O,X,O,X,X,O,X,X,O,X
LTZSJIO,O,X,O,X,O,O,X,O,O,O,X,X
LTZSJOI,O,X,O,X,O,O,X,O,O,O,O,X
LTZSOIJ,O,X,O,X,O,X,X,O,X,X,O,X
LTZSOJI,O,X,O,X,O,X,X,O,O,X,O,X
LTZOIJS,O,O,O,X,O,X,X,X,X,X,X,X
LTZOISJ,O,X,O,X,O,X,X,X,X,X,X,X
LTZOJIS,O,O,O,X,O,X,X,X,O,X,X,X
LTZOJSI,O,O,O,X,O,X,X,X,O,X,X,X
LTZOSIJ,O,X,O,X,O,X,X,O,X,X,O,X
LTZOSJI,O,X,O,X,O,X,X,O,O,X,O,X
LTOIJSZ,O,O,X,X,X,X,X,X,X,X,X,X
LTOIJZS,O,O,X,X,X,X,X,X,X,X,X,X
LTOISJZ,O,O,X,X,X,X,X,X,X,X,X,X
LTOISZJ,O,X,O,X,X,X,X,X,X,X,X,X
LTOIZJS,O,O,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,X,O,X,X,X,X,X,X,X,X,X
LTOJISZ,O,O,X,X,X,X,X,X,X,X,X,X
LTOJIZS,O,O,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,O,O,X,X,X,X,O,X,X,X,X
LTOJSZI,O,O,O,X,O,X,X,O,X,X,X,X
LTOJZIS,O,O,O,X,O,X,X,X,X,X,X,X
LTOJZSI,O,O,O,X,O,X,X,O,X,X,X,X
LTOSIJZ,O,O,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,O,X,O,X,X,X,X,O,X,X,O,X
LTOSJIZ,O,O,X,X,X,X,X,O,X,X,X,X
LTOSJZI,O,O,O,X,X,X,X,O,X,X,O,X
LTOSZIJ,O,X,O,X,O,X,X,O,X,X,O,O
LTOSZJI,O,X,O,X,O,X,X,O,X,X,O,O
LTOZIJS,O,O,O,X,O,X,X,X,X,X,X,X
LTOZISJ,O,X,O,X,O,X,X,X,X,X,X,X
LTOZJIS,O,O,O,X,O,X,X,X,O,X,X,X
LTOZJSI,O,O,O,X,O,X,X,X,O,X,X,X
LTOZSIJ,O,X,O,X,O,X,X,O,X,X,O,X
LTOZSJI,O,X,O,X,O,X,X,O,O,X,O,X
LITJSZO,O,O,O,O,O,X,X,O,X,X,X,X
LITJSOZ,X,O,O,X,X,X,X,O,X,X,X,X
LITJZSO,O,O,O,O,O,X,X,O,X,X,X,X
LITJZOS,O,O,O,O,O,X,X,X,X,X,X,X
LITJOSZ,X,O,X,O,X,X,X,X,X,X,X,X
LITJOZS,X,O,X,O,X,X,X,X,X,X,X,X
LITSJZO,O,O,X,O,X,X,X,O,X,X,X,X
LITSJOZ,X,O,X,X,X,X,X,O,X,X,X,X
LITSZJO,O,X,O,O,O,X,X,O,X,X,X,X
LITSZOJ,O,X,O,X,O,X,X,O,X,X,O,X
LITSOJZ,X,O,X,X,X,X,X,X,X,X,X,X
LITSOZJ,O,X,O,X,X,X,X,O,X,X,O,X
LITZJSO,O,O,O,O,O,X,X,X,O,X,X,X
LITZJOS,O,O,O,O,O,X,X,X,O,X,X,X
LITZSJO,O,X,O,O,O,X,X,O,O,X,X,X
LITZSOJ,O,X,O,X,O,X,X,O,X,X,O,X
LITZOJS,O,O,O,O,O,X,X,X,X,X,X,X
LITZOSJ,O,X,O,X,O,X,X,X,X,X,X,X
LITOJSZ,O,O,X,O,X,X,X,X,X,X,X,X
LITOJZS,O,O,X,O,X,X,X,X,X,X,X,X
LITOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
LITOSZJ,O,X,O,O,X,X,X,X,X,X,X,X
LITOZJS,O,O,X,O,X,X,X,X,X,X,X,X
LITOZSJ,O,X,O,O,X,X,X,X,X,X,X,X
LIJTSZO,O,O,O,O,O,O,X,O,X,O,X,X
LIJTSOZ,X,O,O,X,X,X,X,O,X,O,X,X
LIJTZSO,O,O,O,O,O,O,X,O,X,O,X,X
LIJTZOS,O,O,O,O,O,O,X,X,X,X,X,X
LIJTOSZ,X,O,X,O,X,X,X,X,X,X,X,X
LIJTOZS,X,O,X,O,X,X,X,X,X,X,X,X
LIJSTZO,O,O,O,O,O,O,X,O,X,O,X,X
LIJSTOZ,X,O,O,X,X,X,X,O,X,O,X,X
LIJSZTO,O,X,O,O,O,O,O,O,X,O,X,X
LIJSZOT,O,X,O,X,O,O,X,O,X,O,X,X
LIJSOTZ,X,O,O,O,X,X,X,O,X,O,X,X
LIJSOZT,X,X,O,O,X,X,X,O,X,O,X,X
LIJZTSO,O,O,O,O,O,O,O,O,O,O,X,X
LIJZTOS,O,O,O,O,O,O,X,X,O,X,X,X
LIJZSTO,O,X,O,O,O,O,O,O,O,O,X,X
LIJZSOT,O,X,O,X,O,O,X,O,O,O,X,X
LIJZOTS,O,O,O,O,O,O,X,X,O,X,X,X
LIJZOST,O,X,X,O,O,O,X,X,O,X,X,X
LIJOTSZ,O,O,X,O,X,X,X,X,X,X,X,X
LIJOTZS,O,O,X,O,X,X,X,X,X,X,X,X
LIJOSTZ,O,O,X,O,X,X,X,X,X,X,X,X
LIJOSZT,O,X,X,O,X,X,X,X,X,X,X,X
LIJOZTS,O,O,X,O,X,X,X,X,X,X,X,X
LIJOZST,O,X,X,O,X,X,X,X,X,X,X,X
LISTJZO,O,O,X,O,X,X,X,O,X,O,X,X
LISTJOZ,X,O,X,X,X,X,X,O,X,O,X,X
LISTZJO,O,X,O,O,O,X,X,O,X,O,X,X
LISTZOJ,O,X,O,X,O,X,X,O,X,X,O,X
LISTOJZ,X,O,X,X,X,X,X,X,X,X,X,X
LISTOZJ,O,X,O,X,X,X,X,O,X,X,O,X
LISJTZO,O,O,O,O,X,O,X,O,X,O,X,X
LISJTOZ,X,O,O,X,X,X,X,X,X,O,X,X
LISJZTO,O,X,O,O,X,O,O,O,X,O,X,X
LISJZOT,O,X,O,X,X,O,X,X,X,O,X,X
LISJOTZ,X,O,O,O,X,X,X,X,X,O,X,X
LISJOZT,X,X,O,O,X,X,X,X,X,O,X,X
LISZTJO,O,X,O,O,O,O,O,O,X,O,X,X
LISZTOJ,O,X,O,X,O,X,O,O,X,X,O,X
LISZJTO,O,X,O,O,O,O,O,O,O,O,X,X
LISZJOT,O,X,O,X,X,O,X,X,O,O,X,X
LISZOTJ,O,X,O,X,O,X,X,O,X,X,O,X
LISZOJT,O,X,O,X,X,O,X,X,X,O,O,X
LISOTJZ,O,O,X,O,X,X,X,X,X,X,X,X
LISOTZJ,O,X,O,O,X,X,X,O,X,X,O,X
LISOJTZ,O,O,O,O,X,X,X,X,X,O,X,X
LISOJZT,O,X,O,O,X,X,X,X,X,O,X,X
LISOZTJ,O,X,O,O,X,X,X,O,X,X,O,X
LISOZJT,O,X,O,O,X,X,X,X,X,O,O,X
LIZTJSO,O,O,O,O,O,O,X,X,O,X,X,X
LIZTJOS,O,O,O,O,O,O,X,X,O,X,X,X
LIZTSJO,O,X,O,O,O,O,O,O,O,X,X,X
LIZTSOJ,O,X,O,X,O,X,O,O,X,X,O,X
LIZTOJS,O,O,O,O,O,X,X,X,X,X,X,X
LIZTOSJ,O,X,O,X,O,X,X,X,X,X,X,X
LIZJTSO,O,O,O,O,O,O,O,X,O,O,X,X
LIZJTOS,O,O,O,O,O,O,X,X,O,X,X,X
LIZJSTO,O,X,O,O,O,O,O,X,O,O,X,X
LIZJSOT,O,X,O,X,O,O,X,X,O,O,X,X
LIZJOTS,O,O,O,O,O,O,X,X,O,X,X,X
LIZJOST,O,X,X,O,O,O,X,X,O,X,X,X
