sequence,v115@9gA8IeA8IeA8DeC8BeA8CeE8Ke5EJvhFigBUiBGjBF?mB/tBTqB,v115@9gA8IeA8IeA8DeC8BeA8CeE8KeRAJvhFUiBGjBzkBF?mB/tBSvB,v115@9gA8IeA8IeA8DeC8BeA8CeE8Kez/IvhFUiBaoB5oBF?mB3lBWvB,v115@9gA8IeA8IeA8DeC8BeA8CeE8Ke5EJvhFUiB/qBFmBT?oBiqBGtB,v115@9gA8IeA8IeA8DeC8BeA8CeE8KeRAJvhFUiBqpB/qBF?mBToBGtB
TOJISZL,X,X,X,X,X
TOJIZLS,X,X,X,X,X
TOJIZSL,X,X,X,X,X
TOJLISZ,X,X,X,X,X
TOJLIZS,X,X,X,X,X
TOJLSIZ,X,X,X,X,X
TOJLSZI,X,X,X,X,X
TOJLZIS,X,X,X,X,X
TOJLZSI,X,X,X,X,X
TOJSILZ,X,X,X,X,X
TOJSIZL,X,X,X,X,X
TOJSLIZ,X,X,X,X,X
TOJSLZI,X,X,X,X,X
TOJSZIL,X,X,X,X,X
TOJSZLI,X,X,X,X,X
TOJZILS,X,X,X,X,X
TOJZISL,X,X,X,X,X
TOJZLIS,X,X,X,X,X
TOJZLSI,X,X,X,X,X
TOJZSIL,X,X,X,X,X
TOJZSLI,X,X,X,X,X
TOSILJZ,O,X,X,X,X
TOSILZJ,O,X,X,X,X
TOSIJLZ,O,X,X,X,X
TOSIJZL,O,X,X,X,X
TOSIZLJ,O,X,X,O,X
TOSIZJL,O,X,X,O,X
TOSLIJZ,O,X,X,X,X
TOSLIZJ,O,X,X,X,X
TOSLJIZ,O,X,X,X,X
TOSLJZI,O,X,X,X,X
