sequence,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFOhBXdBCgBTlBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFxbBXdBmgBTlBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgB0cBzgBFnBxq?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgBXdBzgBFnBxq?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhF0cBzfB+lBKmBFn?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhF/gBUcBFdB2qBxm?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFXdBzfB+lBKmBFn?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je06IvhFZhBCdB+lBVnBXg?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhF0cBmgBTgBFnBxq?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFOgBxcBUhB1qBXn?BzrB,v115@7gC8FeD8GeD8EeH8BeC8Je6/IvhFXdBmgBTgBFnBxq?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je5AJvhF0cBzfBKmBFnBmk?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFzfB3lBCnBOnBFm?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Je5AJvhFXdBzfBKmBFnBmk?B0rB,v115@7gC8FeD8GeD8EeH8BeC8Jez/IvhFRhBUmBFnBmkBCm?BXsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFTcBSlB/rBFnBUl?BOsB,v115@7gC8FeD8GeD8EeH8BeC8Jex6IvhFzfBUmBFnB3lB6r?BOsB
ZIOTJLS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ZIOTJSL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ZIOTSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZIOTSJL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZIOLTJS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
ZIOLTSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
ZIOLJTS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZIOLJST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIOLSTJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ZIOLSJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOJTLS,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ZIOJTSL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ZIOJLTS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
ZIOJLST,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZIOJSTL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZIOJSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIOSTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZIOSTJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZIOSLTJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOSLJT,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOSJTL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIOSJLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTIJSO,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ZLTIJOS,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZLTISJO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZLTISOJ,O,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
ZLTIOJS,O,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
ZLTIOSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
ZLTJISO,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X
ZLTJIOS,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZLTJSIO,O,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ZLTJSOI,O,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLTJOIS,O,O,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X
ZLTJOSI,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLTSIJO,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZLTSIOJ,O,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X
ZLTSJIO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLTSJOI,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLTSOIJ,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
ZLTSOJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLTOIJS,O,O,O,X,X,O,X,X,O,O,X,O,X,X,O,X,X
ZLTOISJ,O,O,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X
ZLTOJIS,O,O,X,X,O,O,X,O,X,O,X,O,X,X,X,X,X
ZLTOJSI,O,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZLTOSIJ,O,O,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
ZLTOSJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
ZLITJSO,O,O,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X
ZLITJOS,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X
ZLITSJO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZLITSOJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
ZLITOJS,O,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
ZLITOSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
ZLIJTSO,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
ZLIJTOS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLIJSTO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZLIJSOT,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZLIJOTS,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
ZLIJOST,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLISTJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLISTOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISOTJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLISOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOTJS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X
ZLIOTSJ,O,O,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X
ZLIOJTS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLIOJST,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOSTJ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLIOSJT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTISO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLJTIOS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLJTSIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLJTSOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLJTOIS,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
ZLJTOSI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLJITSO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLJITOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLJISTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJISOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJIOTS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
ZLJIOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSTOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSOTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSOIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJOTIS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZLJOTSI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZLJOITS,O,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X
ZLJOIST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJOSTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJOSIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLSTIJO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X
ZLSTIOJ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X
ZLSTJIO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
ZLSTJOI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
ZLSTOIJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
ZLSTOJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
ZLSITJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLSITOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIOTJ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLSIOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJTIO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJTOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJOTI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJOIT,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOTIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLSOTJI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLSOITJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ZLSOIJT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLSOJTI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLSOJIT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOTIJS,O,O,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X
ZLOTISJ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
ZLOTJIS,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
ZLOTJSI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZLOTSIJ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O
ZLOTSJI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZLOITJS,O,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
ZLOITSJ,O,O,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X
ZLOIJTS,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLOIJST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLOISTJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ZLOISJT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOJTIS,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZLOJTSI,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZLOJITS,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X
ZLOJIST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOJSTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOJSIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOSTIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOSTJI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOSITJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
ZLOSIJT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOSJTI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOSJIT,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJTILSO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJTILOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTISLO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJTISOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTIOLS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJTIOSL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJTLISO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJTLIOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTLSIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJTLSOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTLOIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTLOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSILO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJTSIOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSLIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJTSLOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSOLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTOILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJTOISL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJTOLIS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTOLSI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTOSIL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJTOSLI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
ZJITLSO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJITLOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJITSLO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJITSOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJITOLS,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJITOSL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJILTSO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJILTOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJILSTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJILSOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJILOTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJILOST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJISTLO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJISTOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJISLTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJISLOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJISOTL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJISOLT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJIOTLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJIOTSL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJIOLTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJIOLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOSTL,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJIOSLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTISO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJLTIOS,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJLTSIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJLTSOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJLTOIS,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
ZJLTOSI,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJLITSO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJLITOS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJLISTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLISOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLIOTS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJLIOST,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSTOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSOTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSOIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOTIS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJLOTSI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJLOITS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJLOIST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOSTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOSIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSTILO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSTIOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSTLIO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSTLOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSTOIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTOLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSITLO,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSITOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSILTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSILOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSIOTL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSIOLT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLTOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLOTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLOIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOTIL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSOTLI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSOITL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJSOILT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOLTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOLIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOTILS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJOTISL,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJOTLIS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJOTLSI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJOTSIL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ZJOTSLI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
ZJOITLS,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
ZJOITSL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X
ZJOILTS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJOILST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOISTL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJOISLT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOLTIS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJOLTSI,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJOLITS,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJOLIST,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOLSTI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOLSIT,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSTIL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJOSTLI,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJOSITL,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJOSILT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSLTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOSLIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTILJO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ZSTILOJ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ZSTIJLO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
ZSTIJOL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZSTIOLJ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
ZSTIOJL,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
ZSTLIJO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X
ZSTLIOJ,O,O,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X
ZSTLJIO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
ZSTLJOI,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
ZSTLOIJ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X
ZSTLOJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
ZSTJILO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZSTJIOL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZSTJLIO,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZSTJLOI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZSTJOIL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZSTJOLI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZSTOILJ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
ZSTOIJL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O
ZSTOLIJ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,O,O
ZSTOLJI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O
ZSTOJIL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
ZSTOJLI,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
ZSITLJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZSITLOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITJLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZSITJOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITOLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITOJL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILTJO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZSILTOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJOTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJOLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOTLJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIOTJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZSIOLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
