sequence,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBasB8sB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBliBysBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBxdB?3gBSnBOoBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhF3cBGeB?TgBFnB8sBisB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeU7IvhFRdBSjB?lhB3gBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iB8sBasB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeF7IvhF0cBSjB?3gBRnBmnBTsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFCeBTgB?lhBXjB2sBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFSjBTgB?lhBmnB3nBUsB,v115@zgA8IeB8HeB8BeA8DeG8CeG8BeB8JeR7IvhFGeBTgB?lhB3iBysBUsB
IOLZJTS,O,O,O,O,O,X,X,X,O,X
IOLZJST,O,O,O,O,X,O,O,X,X,O
IOLZSTJ,O,O,O,X,X,O,O,X,X,O
IOLZSJT,O,O,O,O,X,O,O,X,X,O
IOJTLSZ,O,O,O,X,O,X,X,O,O,O
IOJTLZS,X,O,O,X,O,X,X,X,O,X
IOJTSLZ,O,O,O,X,O,X,X,O,O,X
IOJTSZL,O,X,O,O,O,X,X,O,X,X
IOJTZLS,O,X,O,O,O,X,X,X,O,X
IOJTZSL,O,X,X,O,O,O,X,O,X,X
IOJLTSZ,O,O,O,X,O,X,X,O,O,O
IOJLTZS,X,O,O,X,O,X,X,X,O,X
IOJLSTZ,O,O,O,X,X,X,O,O,O,O
IOJLSZT,O,O,O,O,X,X,O,O,X,O
IOJLZTS,O,O,O,O,O,X,X,X,O,X
IOJLZST,O,O,O,O,X,O,O,X,X,O
IOJSTLZ,O,O,O,X,X,X,O,O,O,X
IOJSTZL,O,X,O,O,X,X,O,O,X,X
IOJSLTZ,O,O,O,X,X,X,O,O,O,O
IOJSLZT,O,O,O,O,X,X,O,O,X,O
IOJSZTL,O,X,O,O,X,O,O,O,X,X
IOJSZLT,O,O,O,O,X,O,O,O,X,X
IOJZTLS,O,X,O,O,O,X,X,X,O,X
IOJZTSL,O,X,X,O,O,O,X,O,X,X
IOJZLTS,O,O,O,O,O,X,X,X,O,X
IOJZLST,O,O,O,O,X,O,O,X,X,O
IOJZSTL,O,X,O,O,X,O,O,O,X,X
IOJZSLT,O,O,O,O,X,O,O,O,X,X
IOSTLJZ,O,O,O,X,X,X,O,X,O,O
IOSTLZJ,O,O,O,X,X,X,O,X,X,O
IOSTJLZ,O,O,O,X,X,X,O,O,O,X
IOSTJZL,O,X,O,O,X,X,O,O,X,X
IOSTZLJ,O,X,O,X,X,O,O,X,X,X
IOSTZJL,O,X,O,O,X,O,O,X,X,X
IOSLTJZ,O,O,O,X,X,X,O,X,O,O
IOSLTZJ,O,O,O,X,X,X,O,X,X,O
IOSLJTZ,O,O,O,X,X,X,O,O,O,O
IOSLJZT,O,O,O,O,X,X,O,O,X,O
IOSLZTJ,O,O,O,X,X,X,O,X,X,O
IOSLZJT,O,O,O,O,X,X,O,X,X,O
IOSJTLZ,O,O,O,X,X,X,O,O,O,X
IOSJTZL,O,X,O,O,X,X,O,O,X,X
IOSJLTZ,O,O,O,X,X,X,O,O,O,O
IOSJLZT,O,O,O,O,X,X,O,O,X,O
IOSJZTL,O,X,O,O,X,O,O,O,X,X
IOSJZLT,O,O,O,O,X,O,O,O,X,X
IOSZTLJ,O,X,O,O,X,O,O,X,X,X
IOSZTJL,O,X,O,O,X,O,O,X,X,X
IOSZLTJ,O,O,O,X,X,O,O,X,X,X
IOSZLJT,O,O,O,O,X,O,O,X,X,X
IOSZJTL,O,X,O,O,X,O,O,O,X,X
IOSZJLT,O,O,O,O,X,O,O,O,X,X
IOZTLJS,O,X,X,O,O,X,X,X,O,X
IOZTLSJ,O,X,X,O,O,O,O,X,X,O
IOZTJLS,O,X,X,O,O,X,X,X,O,X
IOZTJSL,O,X,X,O,O,O,X,O,X,X
IOZTSLJ,O,X,X,O,O,O,O,X,X,X
IOZTSJL,O,X,X,O,X,O,O,X,X,X
IOZLTJS,O,O,X,O,O,X,X,X,O,X
IOZLTSJ,O,O,X,O,O,O,O,X,X,O
IOZLJTS,O,O,X,O,O,X,X,X,O,X
IOZLJST,O,O,X,O,X,O,O,X,X,O
IOZLSTJ,O,O,X,X,X,O,O,X,X,O
IOZLSJT,O,O,X,O,X,O,O,X,X,O
IOZJTLS,O,X,X,O,O,X,X,X,O,X
IOZJTSL,O,X,X,O,O,O,X,O,X,X
IOZJLTS,O,O,X,O,O,X,X,X,O,X
IOZJLST,O,O,X,O,X,O,O,X,X,O
IOZJSTL,O,X,X,O,X,O,O,O,X,X
IOZJSLT,O,O,X,O,X,O,O,O,X,X
IOZSTLJ,O,X,X,O,X,O,O,X,X,X
IOZSTJL,O,X,X,O,X,O,O,X,X,X
IOZSLTJ,O,O,X,X,X,O,O,X,X,X
IOZSLJT,O,O,X,O,X,O,O,X,X,X
IOZSJTL,O,X,X,O,X,O,O,O,X,X
IOZSJLT,O,O,X,O,X,O,O,O,X,X
LTIJSZO,O,O,O,X,X,X,X,X,X,X
LTIJSOZ,O,O,X,X,X,X,X,X,X,X
LTIJZSO,X,O,O,X,O,X,X,X,X,X
LTIJZOS,X,O,O,X,X,X,X,X,X,X
LTIJOSZ,X,O,X,X,X,X,X,X,X,X
LTIJOZS,X,O,O,X,X,X,X,X,X,X
LTISJZO,O,O,O,X,X,X,O,X,X,X
LTISJOZ,O,O,X,X,X,X,X,X,X,O
LTISZJO,O,O,O,X,O,X,O,X,X,X
LTISZOJ,O,O,O,X,O,X,O,X,X,X
LTISOJZ,X,O,X,X,X,X,X,X,X,O
LTISOZJ,X,O,O,X,X,X,O,X,X,O
LTIZJSO,O,O,O,X,O,X,X,X,X,X
LTIZJOS,O,O,O,X,O,X,X,X,X,X
LTIZSJO,O,O,O,X,O,X,O,X,X,X
LTIZSOJ,O,O,O,X,O,X,O,X,X,X
LTIZOJS,O,O,O,X,O,X,X,X,X,X
LTIZOSJ,O,O,O,X,O,X,X,X,X,X
LTIOJSZ,X,O,X,X,X,X,X,X,O,O
LTIOJZS,X,O,X,X,X,X,X,X,O,X
LTIOSJZ,X,O,X,X,X,X,X,X,O,O
LTIOSZJ,X,O,X,X,X,X,X,X,X,O
LTIOZJS,X,O,O,X,X,X,X,X,O,X
LTIOZSJ,X,O,O,X,O,X,X,X,X,O
LTJISZO,O,O,O,X,O,X,X,X,X,X
LTJISOZ,O,O,O,X,X,X,X,X,X,X
LTJIZSO,X,O,O,X,O,X,X,X,X,X
LTJIZOS,X,O,O,X,O,X,X,X,X,X
LTJIOSZ,X,O,X,X,X,X,X,X,O,X
LTJIOZS,X,O,O,X,O,X,X,X,O,X
LTJSIZO,O,O,O,X,O,X,X,X,X,X
LTJSIOZ,O,O,O,X,X,X,X,O,X,O
LTJSZIO,X,O,O,X,O,X,X,X,X,X
LTJSZOI,X,O,O,X,O,X,X,O,X,O
LTJSOIZ,O,O,O,X,X,X,X,O,O,O
LTJSOZI,X,O,O,X,X,X,X,O,O,O
LTJZISO,X,O,O,X,O,X,X,X,X,X
LTJZIOS,X,O,O,X,O,X,X,X,X,X
LTJZSIO,X,O,O,X,O,X,X,X,X,X
LTJZSOI,X,O,O,X,O,X,X,X,X,X
LTJZOIS,X,O,O,X,O,X,X,X,O,X
LTJZOSI,X,O,X,X,O,X,X,X,O,X
LTJOISZ,O,O,O,X,X,X,X,O,O,O
LTJOIZS,X,O,O,X,O,X,X,X,O,X
LTJOSIZ,O,O,O,X,X,X,X,O,O,O
LTJOSZI,X,O,O,X,X,X,X,O,O,O
LTJOZIS,X,O,O,X,O,X,X,X,O,X
LTJOZSI,X,O,O,X,O,X,X,X,O,X
LTSIJZO,O,O,O,X,X,X,O,X,X,X
LTSIJOZ,O,O,O,X,X,X,X,X,X,O
LTSIZJO,O,O,O,X,O,X,O,X,X,X
LTSIZOJ,O,O,O,X,O,X,O,X,X,X
LTSIOJZ,X,O,X,X,X,X,X,X,X,O
LTSIOZJ,X,O,O,X,X,X,O,X,X,O
LTSJIZO,O,O,O,X,X,X,O,X,X,X
LTSJIOZ,O,O,O,X,X,X,X,X,X,O
LTSJZIO,X,O,O,X,X,X,O,X,X,X
LTSJZOI,X,O,O,X,X,X,O,X,X,O
LTSJOIZ,O,O,O,X,X,X,X,X,X,O
LTSJOZI,X,O,O,X,X,X,X,X,X,O
LTSZIJO,O,O,O,X,O,X,O,X,X,X
LTSZIOJ,O,O,O,X,O,X,O,X,X,X
LTSZJIO,O,O,O,X,O,X,O,X,X,X
LTSZJOI,O,O,O,X,O,X,O,X,X,O
LTSZOIJ,O,O,O,X,O,X,O,X,X,O
LTSZOJI,O,O,O,X,O,X,O,X,X,O
LTSOIJZ,O,O,X,X,X,X,X,X,O,O
LTSOIZJ,O,O,O,X,X,X,O,X,X,O
LTSOJIZ,O,O,O,X,X,X,X,X,O,O
LTSOJZI,X,O,O,X,X,X,X,X,O,O
LTSOZIJ,O,O,O,X,X,X,O,X,X,O
LTSOZJI,O,O,O,X,X,X,O,X,X,O
LTZIJSO,O,O,O,X,O,X,X,X,X,X
LTZIJOS,O,O,O,X,O,X,X,X,X,X
LTZISJO,O,O,O,X,O,X,X,X,X,X
LTZISOJ,O,O,O,X,O,X,X,X,X,X
LTZIOJS,O,O,O,X,O,X,X,X,X,X
LTZIOSJ,O,O,O,X,O,X,X,X,X,X
LTZJISO,O,O,O,X,O,X,X,X,X,X
LTZJIOS,O,O,O,X,O,X,X,X,X,X
LTZJSIO,O,O,O,X,O,X,X,X,X,X
LTZJSOI,O,O,O,X,O,X,X,X,X,X
LTZJOIS,O,O,O,X,O,X,X,X,X,X
LTZJOSI,O,O,X,X,O,X,X,X,X,X
LTZSIJO,O,O,O,X,O,X,X,X,X,X
LTZSIOJ,O,O,O,X,O,X,X,X,X,X
LTZSJIO,O,O,O,X,O,X,X,X,X,X
LTZSJOI,O,O,O,X,O,O,X,X,X,O
LTZSOIJ,O,O,O,X,O,O,X,X,X,O
LTZSOJI,O,O,O,X,O,O,X,X,X,O
LTZOIJS,O,O,O,X,O,X,X,X,O,X
LTZOISJ,O,O,O,X,O,O,X,X,X,O
LTZOJIS,O,O,O,X,O,X,X,X,O,X
LTZOJSI,O,O,X,X,O,X,X,X,O,X
LTZOSIJ,O,O,X,X,O,O,X,X,X,O
LTZOSJI,O,O,X,X,O,O,X,X,X,O
LTOIJSZ,O,O,O,X,X,X,X,O,O,O
LTOIJZS,X,O,O,X,O,X,X,X,O,X
LTOISJZ,O,O,X,X,X,X,X,X,O,O
LTOISZJ,O,O,O,X,O,X,X,X,X,O
LTOIZJS,O,O,O,X,O,X,X,X,O,X
LTOIZSJ,O,O,O,X,O,O,X,X,X,O
LTOJISZ,O,O,O,X,O,X,X,O,O,O
LTOJIZS,X,O,O,X,O,X,X,X,O,X
LTOJSIZ,O,O,O,X,O,X,X,O,O,O
LTOJSZI,X,O,O,X,O,X,X,O,O,O
LTOJZIS,X,O,O,X,O,X,X,X,O,X
LTOJZSI,X,O,O,X,O,X,X,X,O,X
LTOSIJZ,O,O,X,X,X,X,X,X,O,O
LTOSIZJ,O,O,O,X,O,X,X,X,X,O
LTOSJIZ,O,O,O,X,X,X,X,X,O,O
LTOSJZI,X,O,O,X,X,X,X,X,O,O
LTOSZIJ,O,O,O,X,O,X,X,X,X,O
LTOSZJI,O,O,O,X,O,X,X,X,X,O
LTOZIJS,O,O,O,X,O,X,X,X,O,X
LTOZISJ,O,O,O,X,O,O,X,X,X,O
LTOZJIS,O,O,O,X,O,X,X,X,O,X
LTOZJSI,O,O,O,X,O,X,X,X,O,X
LTOZSIJ,O,O,O,X,O,O,X,X,X,O
LTOZSJI,O,O,O,X,O,O,X,X,X,O
LITJSZO,O,O,O,X,X,X,X,X,X,X
LITJSOZ,O,O,X,X,X,X,X,X,X,X
LITJZSO,X,O,O,X,O,X,X,X,X,X
LITJZOS,X,O,O,X,X,X,X,X,X,X
LITJOSZ,X,O,X,X,X,X,X,X,X,X
LITJOZS,X,O,O,X,X,X,X,X,X,X
LITSJZO,O,O,O,X,X,X,O,X,X,X
LITSJOZ,O,O,X,X,X,X,X,X,X,O
LITSZJO,O,O,O,X,O,X,O,X,X,X
LITSZOJ,O,O,O,X,O,X,O,X,X,X
LITSOJZ,X,O,X,X,X,X,X,X,X,O
LITSOZJ,X,O,O,X,X,X,O,X,X,O
LITZJSO,O,O,O,X,O,X,X,X,X,X
LITZJOS,O,O,O,X,O,X,X,X,X,X
LITZSJO,O,O,O,X,O,X,O,X,X,X
LITZSOJ,O,O,O,X,O,X,O,X,X,X
LITZOJS,O,O,O,X,O,X,X,X,X,X
LITZOSJ,O,O,O,X,O,X,X,X,X,X
LITOJSZ,X,O,X,X,X,X,X,X,O,O
LITOJZS,X,O,X,X,X,X,X,X,O,X
LITOSJZ,X,O,X,X,X,X,X,X,O,O
LITOSZJ,X,O,X,X,X,X,X,X,X,O
LITOZJS,X,O,O,X,X,X,X,X,O,X
LITOZSJ,X,O,O,X,O,X,X,X,X,O
LIJTSZO,O,O,O,X,O,X,X,X,X,X
LIJTSOZ,O,O,O,X,X,X,X,X,X,X
LIJTZSO,X,O,O,X,O,X,X,X,X,X
LIJTZOS,X,O,O,X,O,X,X,X,X,X
LIJTOSZ,X,O,X,X,X,X,X,X,O,X
LIJTOZS,X,O,O,X,O,X,X,X,O,X
LIJSTZO,O,O,O,X,X,X,O,X,X,X
LIJSTOZ,O,O,O,X,X,X,X,X,X,O
LIJSZTO,O,O,O,O,X,X,O,X,X,X
LIJSZOT,O,O,O,O,X,X,X,X,X,X
LIJSOTZ,O,O,O,X,X,X,X,X,X,O
LIJSOZT,O,O,O,O,X,X,X,X,X,O
LIJZTSO,O,O,O,O,O,X,X,X,X,X
LIJZTOS,O,O,O,X,O,X,X,X,X,X
LIJZSTO,O,O,O,O,X,X,O,X,X,X
LIJZSOT,O,O,O,O,X,X,X,X,X,X
LIJZOTS,O,O,O,X,X,X,X,X,X,X
LIJZOST,O,O,O,X,X,X,X,X,X,X
LIJOTSZ,O,O,X,X,X,X,X,X,O,O
LIJOTZS,X,O,O,X,X,X,X,X,O,X
LIJOSTZ,O,O,O,X,X,X,X,X,O,O
LIJOSZT,O,O,O,X,X,X,X,X,X,O
LIJOZTS,X,O,O,X,X,X,X,X,O,X
LIJOZST,O,O,O,X,X,X,X,X,X,O
LISTJZO,O,O,O,X,X,X,O,X,X,X
LISTJOZ,O,O,O,X,X,X,X,X,X,O
LISTZJO,O,O,O,X,X,X,O,X,X,X
LISTZOJ,O,O,O,X,X,X,O,X,X,X
LISTOJZ,X,O,X,X,X,X,O,X,X,O
LISTOZJ,X,O,O,X,X,X,O,X,X,O
LISJTZO,O,O,O,X,X,X,O,X,X,X
LISJTOZ,O,O,O,X,X,X,X,X,X,O
LISJZTO,O,O,O,O,X,X,O,X,X,X
LISJZOT,O,O,O,O,X,X,X,X,X,X
LISJOTZ,O,O,O,X,X,X,X,X,X,O
LISJOZT,O,O,O,O,X,X,X,X,X,O
LISZTJO,O,O,O,X,X,X,O,X,X,X
LISZTOJ,O,O,O,X,X,X,O,X,X,X
LISZJTO,O,O,O,O,X,X,O,X,X,X
LISZJOT,O,O,O,O,X,X,X,X,X,X
LISZOTJ,O,O,O,X,X,X,O,X,X,X
LISZOJT,O,O,X,X,X,X,X,X,X,X
LISOTJZ,O,O,X,X,X,X,O,X,X,O
LISOTZJ,O,O,O,X,X,X,O,X,X,O
LISOJTZ,O,O,X,X,X,X,O,X,X,O
LISOJZT,O,O,X,X,X,X,O,X,X,O
LISOZTJ,O,O,O,X,X,X,O,X,X,O
LISOZJT,O,O,X,X,X,X,O,X,X,O
LIZTJSO,O,O,O,O,O,X,X,X,X,X
LIZTJOS,O,O,O,X,O,X,X,X,X,X
LIZTSJO,O,O,O,O,O,X,O,X,X,X
LIZTSOJ,O,O,O,X,O,X,O,X,X,X
LIZTOJS,O,O,O,X,O,X,X,X,X,X
LIZTOSJ,O,O,O,X,O,X,X,X,X,X
LIZJTSO,O,O,O,O,O,X,X,X,X,X
LIZJTOS,O,O,O,X,O,X,X,X,X,X
LIZJSTO,O,O,O,O,X,X,O,X,X,X
LIZJSOT,O,O,O,O,X,X,X,X,X,X
LIZJOTS,O,O,O,X,X,X,X,X,X,X
LIZJOST,O,O,O,X,X,X,X,X,X,X
LIZSTJO,O,O,O,X,X,X,O,X,X,X
LIZSTOJ,O,O,O,X,X,X,O,X,X,X
LIZSJTO,O,O,O,O,X,X,O,X,X,X
LIZSJOT,O,O,O,O,X,X,X,X,X,X
LIZSOTJ,O,O,O,X,X,X,O,X,X,X
LIZSOJT,O,O,X,X,X,X,X,X,X,X
LIZOTJS,O,O,O,X,X,X,X,X,X,X
LIZOTSJ,O,O,O,X,X,X,X,X,X,X
LIZOJTS,O,O,X,X,X,X,X,X,X,X
LIZOJST,O,O,X,X,X,X,X,X,X,X
LIZOSTJ,O,O,O,X,X,X,O,X,X,X
LIZOSJT,O,O,X,X,X,X,X,X,X,X
LIOTJSZ,O,O,X,X,X,X,X,X,O,O
LIOTJZS,X,O,X,X,X,X,X,X,O,X
LIOTSJZ,O,O,X,X,X,X,X,X,O,O
LIOTSZJ,O,O,X,X,X,X,X,X,X,O
LIOTZJS,O,O,O,X,X,X,X,X,O,X
LIOTZSJ,O,O,O,X,X,X,X,X,X,O
LIOJTSZ,O,O,X,X,X,X,X,X,O,O
LIOJTZS,X,O,X,X,X,X,X,X,O,X
LIOJSTZ,O,O,X,X,X,X,X,X,O,O
LIOJSZT,O,O,X,X,X,X,X,X,X,O
LIOJZTS,O,O,X,X,X,X,X,X,O,X
LIOJZST,O,O,X,X,X,X,X,X,X,O
LIOSTJZ,O,O,X,X,X,X,X,X,O,O
LIOSTZJ,O,O,O,X,X,X,O,X,X,O
LIOSJTZ,O,O,X,X,X,X,X,X,O,O
LIOSJZT,O,O,X,X,X,X,X,X,X,O
LIOSZTJ,O,O,O,X,X,X,O,X,X,O
LIOSZJT,O,O,X,X,X,X,X,X,X,O
LIOZTJS,O,O,O,X,X,X,X,X,O,X
LIOZTSJ,O,O,O,X,X,X,X,X,X,O
LIOZJTS,O,O,X,X,X,X,X,X,O,X
LIOZJST,O,O,X,X,X,X,X,X,X,O
LIOZSTJ,O,O,O,X,X,X,O,X,X,O
LIOZSJT,O,O,X,X,X,X,X,X,X,O
LJTISZO,O,O,O,X,O,X,X,X,X,X
LJTISOZ,O,O,O,X,X,X,X,X,X,X
LJTIZSO,X,O,O,X,O,X,X,X,X,X
LJTIZOS,X,O,O,X,O,X,X,X,X,X
LJTIOSZ,X,O,X,X,X,X,X,X,O,X
LJTIOZS,X,O,O,X,O,X,X,X,O,X
LJTSIZO,O,O,O,X,O,X,X,X,X,X
LJTSIOZ,O,O,O,X,X,X,X,O,X,O
LJTSZIO,X,O,O,X,O,X,X,X,X,X
LJTSZOI,X,O,O,X,O,X,X,O,X,O
LJTSOIZ,O,O,O,X,X,X,X,O,O,O
LJTSOZI,X,O,O,X,X,X,X,O,O,O
LJTZISO,X,O,O,X,O,X,X,X,X,X
LJTZIOS,X,O,O,X,O,X,X,X,X,X
LJTZSIO,X,O,O,X,O,X,X,X,X,X
LJTZSOI,X,O,O,X,O,X,X,X,X,X
LJTZOIS,X,O,O,X,O,X,X,X,O,X
LJTZOSI,X,O,X,X,O,X,X,X,O,X
LJTOISZ,O,O,O,X,X,X,X,O,O,O
LJTOIZS,X,O,O,X,O,X,X,X,O,X
LJTOSIZ,O,O,O,X,X,X,X,O,O,O
LJTOSZI,X,O,O,X,X,X,X,O,O,O
LJTOZIS,X,O,O,X,O,X,X,X,O,X
LJTOZSI,X,O,O,X,O,X,X,X,O,X
LJITSZO,O,O,O,X,O,X,X,X,X,X
LJITSOZ,O,O,O,X,X,X,X,X,X,X
LJITZSO,X,O,O,X,O,X,X,X,X,X
LJITZOS,X,O,O,X,O,X,X,X,X,X
LJITOSZ,X,O,X,X,X,X,X,X,O,X
LJITOZS,X,O,O,X,O,X,X,X,O,X
LJISTZO,O,O,O,X,X,X,O,X,X,X
LJISTOZ,O,O,O,X,X,X,X,X,X,O
LJISZTO,O,O,O,O,X,X,O,X,X,X
LJISZOT,O,O,O,O,X,X,X,X,X,X
LJISOTZ,O,O,O,X,X,X,X,X,X,O
LJISOZT,O,O,O,O,X,X,X,X,X,O
LJIZTSO,O,O,O,O,O,X,X,X,X,X
LJIZTOS,O,O,O,X,O,X,X,X,X,X
LJIZSTO,O,O,O,O,X,X,O,X,X,X
LJIZSOT,O,O,O,O,X,X,X,X,X,X
LJIZOTS,O,O,O,X,X,X,X,X,X,X
LJIZOST,O,O,O,X,X,X,X,X,X,X
LJIOTSZ,O,O,X,X,X,X,X,X,O,O
LJIOTZS,X,O,O,X,X,X,X,X,O,X
LJIOSTZ,O,O,O,X,X,X,X,X,O,O
LJIOSZT,O,O,O,X,X,X,X,X,X,O
LJIOZTS,X,O,O,X,X,X,X,X,O,X
LJIOZST,O,O,O,X,X,X,X,X,X,O
LJSTIZO,O,O,O,X,O,X,O,X,X,X
LJSTIOZ,O,O,O,X,X,X,X,O,X,O
LJSTZIO,X,O,O,X,O,X,O,X,X,X
LJSTZOI,X,O,O,X,O,X,O,O,X,O
LJSTOIZ,O,O,O,X,X,X,X,O,O,O
LJSTOZI,X,O,O,X,X,X,X,O,O,O
LJSITZO,O,O,O,X,X,X,O,X,X,X
LJSITOZ,O,O,O,X,X,X,X,O,X,O
LJSIZTO,O,O,O,O,X,X,O,X,X,X
LJSIZOT,O,O,O,O,X,X,X,X,X,X
LJSIOTZ,O,O,O,X,X,X,X,O,X,O
LJSIOZT,O,O,O,O,X,X,X,O,X,O
LJSZTIO,O,O,O,X,O,X,O,X,X,X
LJSZTOI,O,O,O,X,O,X,O,O,X,O
LJSZITO,O,O,O,X,X,X,X,X,X,X
LJSZIOT,O,O,O,X,X,X,X,X,X,X
LJSZOTI,O,O,O,X,X,X,X,O,X,O
LJSZOIT,O,O,O,X,X,X,X,O,X,O
LJSOTIZ,O,O,O,X,X,X,X,O,O,O
LJSOTZI,X,O,O,X,X,X,X,O,O,O
LJSOITZ,O,O,O,X,X,X,X,O,O,O
LJSOIZT,O,O,O,O,X,X,X,O,X,O
LJSOZTI,O,O,O,X,X,X,X,O,X,O
LJSOZIT,O,O,O,X,X,X,X,O,X,O
LJZTISO,O,O,O,O,O,X,X,X,X,X
LJZTIOS,O,O,O,X,O,X,X,X,X,X
LJZTSIO,O,O,O,O,O,X,X,X,X,X
LJZTSOI,O,O,O,O,O,X,X,X,X,X
LJZTOIS,O,O,O,O,O,X,X,X,O,X
LJZTOSI,O,O,X,O,O,X,X,X,O,X
LJZITSO,O,O,O,O,O,X,X,X,X,X
LJZITOS,O,O,O,X,O,X,X,X,X,X
LJZISTO,O,O,O,O,X,X,X,X,X,X
LJZISOT,O,O,O,O,X,X,X,X,X,X
LJZIOTS,O,O,O,X,X,X,X,X,X,X
LJZIOST,O,O,O,X,X,X,X,X,X,X
LJZSTIO,O,O,O,X,O,X,X,X,X,X
LJZSTOI,O,O,O,X,O,O,X,X,X,O
LJZSITO,O,O,O,O,X,X,X,X,X,X
LJZSIOT,O,O,O,O,X,X,X,X,X,X
LJZSOTI,O,O,O,X,X,O,X,X,X,O
LJZSOIT,O,O,O,O,X,O,X,X,X,O
LJZOTIS,O,O,O,O,O,X,X,X,O,X
LJZOTSI,O,O,X,O,O,X,X,X,O,X
LJZOITS,O,O,O,O,X,X,X,X,O,X
LJZOIST,O,O,O,O,X,O,X,X,X,O
LJZOSTI,O,O,O,X,X,O,X,X,X,O
LJZOSIT,O,O,O,O,X,O,X,X,X,O
LJOTISZ,O,O,O,X,X,X,X,O,O,O
LJOTIZS,X,O,O,X,O,X,X,X,O,X
LJOTSIZ,O,O,O,X,X,X,X,O,O,O
LJOTSZI,X,O,O,X,X,X,X,O,O,O
LJOTZIS,X,O,O,X,O,X,X,X,O,X
LJOTZSI,X,O,O,X,O,X,X,X,O,X
LJOITSZ,O,O,O,X,X,X,X,O,O,O
LJOITZS,X,O,O,X,X,X,X,X,O,X
LJOISTZ,O,O,O,X,X,X,X,O,O,O
LJOISZT,O,O,O,O,X,X,X,O,X,O
LJOIZTS,O,O,O,O,X,X,X,X,O,X
LJOIZST,O,O,O,O,X,O,X,X,X,O
LJOSTIZ,O,O,O,X,X,X,X,O,O,O
LJOSTZI,X,O,O,X,X,X,X,O,O,O
LJOSITZ,O,O,O,X,X,X,X,O,O,O
LJOSIZT,O,O,O,O,X,X,X,O,X,O
LJOSZTI,O,O,O,X,X,X,X,O,X,O
LJOSZIT,O,O,O,X,X,X,X,O,X,O
LJOZTIS,O,O,O,O,O,X,X,X,O,X
LJOZTSI,O,O,O,O,O,X,X,X,O,X
LJOZITS,O,O,O,O,X,X,X,X,O,X
LJOZIST,O,O,O,O,X,O,X,X,X,O
LJOZSTI,O,O,O,X,X,O,X,X,X,O
LJOZSIT,O,O,O,O,X,O,X,X,X,O
LSTIJZO,O,O,O,X,X,X,O,X,X,X
LSTIJOZ,O,O,O,X,X,X,X,X,X,O
LSTIZJO,O,O,O,X,O,X,O,X,X,X
LSTIZOJ,O,O,O,X,O,X,O,X,X,X
LSTIOJZ,X,O,X,X,X,X,O,X,X,O
LSTIOZJ,X,O,O,X,X,X,O,X,X,O
LSTJIZO,O,O,O,X,X,X,O,X,X,X
LSTJIOZ,O,O,O,X,X,X,X,X,X,O
LSTJZIO,X,O,O,X,X,X,O,X,X,X
LSTJZOI,X,O,O,X,X,X,O,X,X,O
LSTJOIZ,O,O,O,X,X,X,X,X,X,O
LSTJOZI,X,O,O,X,X,X,X,X,X,O
LSTZIJO,O,O,O,X,O,X,O,X,X,X
LSTZIOJ,O,O,O,X,O,X,O,X,X,X
LSTZJIO,O,O,O,X,O,X,O,X,X,X
LSTZJOI,O,O,O,X,O,X,O,X,X,O
LSTZOIJ,O,O,O,X,O,X,O,X,X,O
LSTZOJI,O,O,O,X,O,X,O,X,X,O
LSTOIJZ,O,O,O,X,X,X,O,X,O,O
LSTOIZJ,O,O,O,X,X,X,O,X,X,O
LSTOJIZ,O,O,O,X,X,X,X,X,O,O
LSTOJZI,X,O,O,X,X,X,O,X,O,O
LSTOZIJ,O,O,O,X,X,X,O,X,X,O
LSTOZJI,O,O,O,X,X,X,O,X,X,O
LSITJZO,O,O,O,X,X,X,O,X,X,X
LSITJOZ,O,O,O,X,X,X,X,X,X,O
LSITZJO,O,O,O,X,X,X,O,X,X,X
LSITZOJ,O,O,O,X,X,X,O,X,X,X
LSITOJZ,X,O,X,X,X,X,O,X,X,O
LSITOZJ,X,O,O,X,X,X,O,X,X,O
LSIJTZO,O,O,O,X,X,X,O,X,X,X
LSIJTOZ,O,O,O,X,X,X,X,X,X,O
LSIJZTO,O,O,O,O,X,X,O,X,X,X
LSIJZOT,O,O,O,O,X,X,X,X,X,X
LSIJOTZ,O,O,O,X,X,X,X,X,X,O
LSIJOZT,O,O,O,O,X,X,X,X,X,O
LSIZTJO,O,O,O,X,X,X,O,X,X,X
LSIZTOJ,O,O,O,X,X,X,O,X,X,X
LSIZJTO,O,O,O,O,X,X,O,X,X,X
LSIZJOT,O,O,O,O,X,X,X,X,X,X
LSIZOTJ,O,O,O,X,X,X,O,X,X,X
