sequence,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFGeBihBUjBF?nBTrB3sB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFCeB/mBUiBT?jB2wBlsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeU8IvhFFdBXeBSoBT?mB2sBxwB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Jex9IvhFlhB3iBcoBK?rBGmBTsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhF+iBTeBlhBK?rBXoBUsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeaBJvhFGeBRiBFnBX?oBTrBUsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeF8IvhFxdB3iBcoBO?rBzmBSxB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Jex9IvhFlhBcnBTjBK?rBGmB3sB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeaBJvhFxdBGjBFnB8?sBTrBfsB,v115@zgC8GeD8FeD8FeD8EeE8DeB8Je38IvhFciBTeBamBW?sBFoBxwB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFGeBliBimBX?oBUsBTrB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeT+IvhFxhBUhB/sBF?oBCnB2wB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFThBcoBXnBl?nB2wBCtB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeG9IvhFTeB3hBxnB0?rBlsBarB,v115@zgC8GeD8FeD8FeD8EeE8DeB8JeR8IvhFXiBTjB0rBl?sBOrBCtB
ZIJTSOL,O,O,X,X,X,X,O,X,X,O,X,X,X,X,O
ZIJTOLS,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
ZIJTOSL,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O
ZIJLTSO,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
ZIJLTOS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X
ZIJLSTO,O,X,O,O,O,X,O,X,X,O,O,X,X,X,X
ZIJLSOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
ZIJLOTS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZIJLOST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZIJSTLO,O,O,O,O,X,X,O,X,X,O,O,X,X,O,X
ZIJSTOL,O,O,X,X,X,X,O,X,X,O,O,X,X,O,X
ZIJSLTO,O,O,O,O,O,X,O,X,X,O,O,X,X,X,X
ZIJSLOT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X
ZIJSOTL,O,O,X,O,X,X,O,X,X,O,O,X,O,X,X
ZIJSOLT,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X
ZIJOTLS,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X
ZIJOTSL,O,X,O,X,X,X,O,X,X,O,X,X,O,X,X
ZIJOLTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZIJOLST,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZIJOSTL,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X
ZIJOSLT,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZISTLJO,O,X,O,O,O,X,O,X,X,X,O,X,X,O,X
ZISTLOJ,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X
ZISTJLO,O,X,O,O,X,X,O,X,X,X,O,X,X,O,O
ZISTJOL,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O
ZISTOLJ,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X
ZISTOJL,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X
ZISLTJO,X,X,O,O,O,X,O,X,X,X,O,X,X,O,X
ZISLTOJ,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X
ZISLJTO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZISLJOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
ZISLOTJ,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZISLOJT,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZISJTLO,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X
ZISJTOL,O,X,X,X,X,X,O,X,X,X,O,X,X,O,X
ZISJLTO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZISJLOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
ZISJOTL,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X
ZISJOLT,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X
ZISOTLJ,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
ZISOTJL,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X
ZISOLTJ,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZISOLJT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZISOJTL,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZISOJLT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZIOTLJS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZIOTLSJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
ZIOTJLS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZIOTJSL,O,X,O,X,X,X,O,X,X,X,X,X,X,O,O
ZIOTSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
ZIOTSJL,O,X,O,O,X,X,O,X,X,X,X,X,X,O,O
ZIOLTJS,O,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ZIOLTSJ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZIOLJTS,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X
ZIOLJST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZIOLSTJ,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZIOLSJT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZIOJTLS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZIOJTSL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZIOJLTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZIOJLST,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJSTL,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZIOJSLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZIOSTLJ,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
ZIOSTJL,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X
ZIOSLTJ,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZIOSLJT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZIOSJTL,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
ZIOSJLT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLTIJSO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
ZLTIJOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLTISJO,X,X,O,O,O,X,O,X,X,X,O,X,X,O,X
ZLTISOJ,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X
ZLTIOJS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLTIOSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
ZLTJISO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
ZLTJIOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZLTJSIO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
ZLTJSOI,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O
ZLTJOIS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
ZLTJOSI,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O
ZLTSIJO,X,X,O,O,O,X,O,X,X,X,O,X,X,O,X
ZLTSIOJ,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X
ZLTSJIO,X,X,O,O,O,X,O,X,X,X,O,X,X,O,O
ZLTSJOI,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O
ZLTSOIJ,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZLTSOJI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,O
ZLTOIJS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
ZLTOISJ,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLTOJIS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
ZLTOJSI,X,X,X,O,O,X,O,X,O,X,X,X,X,X,O
ZLTOSIJ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLTOSJI,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O
ZLITJSO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,O
ZLITJOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLITSJO,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLITSOJ,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZLITOJS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLITOSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLIJTSO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLIJTOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLIJSTO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLIJSOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
ZLIJOTS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLIJOST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLISTJO,X,X,O,O,O,X,O,X,X,X,O,X,X,O,X
ZLISTOJ,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X
ZLISJTO,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLISJOT,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
ZLISOTJ,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZLISOJT,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLIOTJS,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
ZLIOTSJ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLIOJTS,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLIOJST,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLIOSTJ,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZLIOSJT,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLJTISO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLJTIOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLJTSIO,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
ZLJTSOI,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
ZLJTOIS,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
ZLJTOSI,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
ZLJITSO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLJITOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZLJISTO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLJISOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
ZLJIOTS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLJIOST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLJSTIO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLJSTOI,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLJSITO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLJSIOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
ZLJSOTI,O,X,O,X,O,X,O,X,O,X,X,X,O,X,X
ZLJSOIT,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X
ZLJOTIS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
ZLJOTSI,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X
ZLJOITS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZLJOIST,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X
ZLJOSTI,O,X,O,O,O,X,O,X,O,X,X,X,O,X,X
ZLJOSIT,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X
ZLSTIJO,O,X,O,O,O,X,O,X,X,X,O,X,X,O,X
ZLSTIOJ,O,X,O,O,O,X,X,O,X,X,O,X,X,O,X
ZLSTJIO,O,X,O,O,O,X,O,X,X,X,O,X,X,O,X
ZLSTJOI,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X
ZLSTOIJ,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
ZLSTOJI,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
ZLSITJO,X,X,O,O,O,X,O,X,X,X,O,X,X,O,X
ZLSITOJ,X,X,O,O,O,X,X,O,X,X,O,X,X,O,X
ZLSIJTO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLSIJOT,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
ZLSIOTJ,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X
ZLSIOJT,X,X,O,O,O,X,O,O,X,X,O,X,X,X,X
ZLSJTIO,O,X,O,O,O,X,O,X,X,X,O,X,X,O,X
ZLSJTOI,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X
ZLSJITO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZLSJIOT,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
ZLSJOTI,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X
ZLSJOIT,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
ZLSOTIJ,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X
ZLSOTJI,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X
ZLSOITJ,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
ZLSOIJT,O,X,O,O,O,O,O,O,X,X,O,X,X,X,X
ZLSOJTI,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X
ZLSOJIT,O,X,X,O,O,O,O,O,X,X,O,X,X,X,X
ZLOTIJS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
ZLOTISJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOTJIS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
ZLOTJSI,O,X,X,O,O,X,O,X,O,X,X,X,X,X,O
ZLOTSIJ,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZLOTSJI,O,X,O,O,O,O,X,X,O,X,X,X,X,X,O
ZLOITJS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
ZLOITSJ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLOIJTS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZLOIJST,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLOISTJ,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X
ZLOISJT,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X
ZLOJTIS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
ZLOJTSI,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X
ZLOJITS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZLOJIST,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLOJSTI,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X
ZLOJSIT,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZLOSTIJ,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X
ZLOSTJI,O,X,O,O,O,O,X,O,O,X,O,X,X,X,X
ZLOSITJ,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
ZLOSIJT,O,X,O,O,O,O,O,O,X,X,O,X,X,X,X
ZLOSJTI,O,X,O,O,O,O,O,O,O,X,X,X,X,X,X
ZLOSJIT,O,X,X,O,O,O,O,O,X,X,O,X,X,X,X
ZJTILSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
ZJTILOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJTISLO,O,O,O,X,X,X,O,X,X,X,X,X,X,O,O
ZJTISOL,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O
ZJTIOLS,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
ZJTIOSL,O,X,O,X,X,X,O,X,X,X,X,O,X,O,O
ZJTLISO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
ZJTLIOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJTLSIO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
ZJTLSOI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
ZJTLOIS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJTLOSI,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O
ZJTSILO,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O
ZJTSIOL,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O
ZJTSLIO,O,O,O,X,X,X,O,X,X,X,X,X,X,O,O
ZJTSLOI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZJTSOIL,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O
ZJTSOLI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZJTOILS,O,O,X,X,X,X,O,X,O,X,X,O,X,X,X
ZJTOISL,O,X,X,X,X,X,O,X,X,X,X,O,O,X,O
ZJTOLIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJTOLSI,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O
ZJTOSIL,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O
ZJTOSLI,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O
ZJITLSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
ZJITLOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJITSLO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZJITSOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O
ZJITOLS,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJITOSL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O
ZJILTSO,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZJILTOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
ZJILSTO,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X
ZJILSOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
ZJILOTS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZJILOST,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJISTLO,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X
ZJISTOL,O,O,X,X,X,X,O,X,X,X,O,X,X,O,X
ZJISLTO,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X
ZJISLOT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X
ZJISOTL,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X
ZJISOLT,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X
ZJIOTLS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZJIOTSL,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
ZJIOLTS,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJIOLST,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJIOSTL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJIOSLT,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZJLTISO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJLTIOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJLTSIO,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ZJLTSOI,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ZJLTOIS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJLTOSI,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZJLITSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJLITOS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJLISTO,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
ZJLISOT,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ZJLIOTS,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
ZJLIOST,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSTIO,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
ZJLSTOI,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
ZJLSITO,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
ZJLSIOT,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ZJLSOTI,O,X,O,X,X,X,O,X,O,X,X,X,O,X,X
ZJLSOIT,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X
ZJLOTIS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJLOTSI,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
ZJLOITS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJLOIST,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJLOSTI,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X
ZJLOSIT,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
ZJSTILO,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X
ZJSTIOL,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X
ZJSTLIO,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X
ZJSTLOI,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
ZJSTOIL,O,O,X,X,X,X,O,X,X,X,O,O,O,O,X
ZJSTOLI,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJSITLO,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X
ZJSITOL,O,O,X,X,X,X,O,X,X,X,O,O,X,O,X
ZJSILTO,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X
ZJSILOT,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X
ZJSIOTL,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X
ZJSIOLT,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X
ZJSLTIO,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X
ZJSLTOI,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X
ZJSLITO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
ZJSLIOT,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ZJSLOTI,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X
ZJSLOIT,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
ZJSOTIL,O,O,X,O,X,X,O,X,X,X,O,X,O,O,X
ZJSOTLI,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X
ZJSOITL,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X
ZJSOILT,O,O,X,O,O,X,O,X,X,X,O,X,O,X,X
ZJSOLTI,O,O,X,O,X,X,O,X,O,X,X,X,O,X,X
ZJSOLIT,O,O,X,O,X,X,O,X,X,X,O,X,O,X,X
ZJOTILS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJOTISL,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O
ZJOTLIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJOTLSI,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O
ZJOTSIL,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O
ZJOTSLI,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O
ZJOITLS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJOITSL,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
ZJOILTS,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJOILST,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJOISTL,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJOISLT,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJOLTIS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJOLTSI,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X
ZJOLITS,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
ZJOLIST,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
ZJOLSTI,O,X,O,O,X,X,O,X,O,X,X,X,O,X,X
ZJOLSIT,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
ZJOSTIL,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
ZJOSTLI,O,O,X,O,X,X,X,X,O,X,X,X,O,X,X
ZJOSITL,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
ZJOSILT,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
ZJOSLTI,O,O,X,O,X,X,O,X,O,X,X,X,O,X,X
ZJOSLIT,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
ZSTILJO,O,X,O,O,O,X,O,X,X,X,O,X,X,O,X
ZSTILOJ,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X
ZSTIJLO,O,X,O,O,X,X,O,X,X,X,O,X,X,O,O
ZSTIJOL,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O
ZSTIOLJ,X,X,O,O,O,X,X,O,X,X,X,O,X,O,X
ZSTIOJL,O,X,O,O,X,X,O,O,X,X,O,O,X,O,O
ZSTLIJO,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X
ZSTLIOJ,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X
ZSTLJIO,O,X,O,O,X,X,O,X,X,X,O,X,X,O,O
ZSTLJOI,O,X,O,O,X,X,O,O,X,X,O,X,X,X,O
ZSTLOIJ,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
ZSTLOJI,O,X,O,O,X,X,X,O,X,X,O,X,X,X,O
ZSTJILO,O,X,X,O,X,X,O,X,X,X,O,X,X,O,O
ZSTJIOL,O,X,X,X,X,X,O,X,X,X,O,O,X,O,O
ZSTJLIO,O,X,O,O,X,X,O,X,X,X,O,X,X,O,O
ZSTJLOI,O,X,O,O,X,X,O,X,X,X,O,X,X,X,O
ZSTJOIL,O,X,X,X,X,X,O,O,X,X,O,O,X,O,O
ZSTJOLI,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O
ZSTOILJ,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X
ZSTOIJL,O,X,X,O,X,X,O,O,X,X,O,O,X,O,O
ZSTOLIJ,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X
ZSTOLJI,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O
ZSTOJIL,O,X,X,O,X,X,X,O,X,X,O,O,X,O,O
ZSTOJLI,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O
ZSITLJO,O,X,O,O,O,X,O,X,X,X,O,X,X,O,X
ZSITLOJ,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X
ZSITJLO,O,X,O,O,X,X,O,X,X,X,O,X,X,O,O
ZSITJOL,O,X,X,X,X,X,O,X,X,X,O,X,X,O,O
ZSITOLJ,X,X,O,O,O,X,X,O,X,X,X,O,X,O,X
ZSITOJL,O,X,O,O,X,X,O,O,X,X,O,O,X,O,X
ZSILTJO,X,X,O,O,O,X,O,X,X,X,O,X,X,O,X
