sequence,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFOgBfiB6iBZjB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBSiBZjBUiBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeO/Iv?hFXbBRdBUiBaoBzkBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeOAJv?hFfiB6iBZjBTfB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeT6Iv?hFGdBZjBykBUiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Jex6Iv?hFzcBmfBaoB3iB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifBXgBTiB0kBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8JeWCJv?hFZjBifB0fBTiBXlBFsB,v115@3gA8DeA8CeB8DeA8CeC8CeB8BeB8DeG8AeC8Je06Iv?hFCdBZjB/kBTiBOlBFsB
LTSOJZI,O,O,O,O,X,X,X,X,O
LTSOZIJ,O,O,O,O,O,X,X,X,O
LTSOZJI,O,O,O,O,O,O,X,X,O
LTZIJSO,O,O,O,X,O,O,O,O,X
LTZIJOS,O,X,O,X,O,O,O,O,X
LTZISJO,O,O,O,X,O,X,X,X,X
LTZISOJ,O,X,O,X,O,X,X,X,X
LTZIOJS,O,O,O,X,O,O,X,X,X
LTZIOSJ,O,O,O,X,O,X,X,X,X
LTZJISO,O,O,O,X,O,O,O,O,X
LTZJIOS,O,X,O,X,O,O,O,O,X
LTZJSIO,O,O,O,X,O,O,X,X,X
LTZJSOI,O,X,O,X,O,O,X,X,X
LTZJOIS,O,X,O,X,O,O,X,X,X
LTZJOSI,O,X,O,X,O,O,X,X,X
LTZSIJO,O,O,O,X,O,X,X,X,X
LTZSIOJ,O,X,O,X,O,X,X,X,X
LTZSJIO,O,O,O,X,O,O,X,X,X
LTZSJOI,O,X,O,X,O,O,X,X,X
LTZSOIJ,O,X,O,X,O,X,X,X,X
LTZSOJI,O,X,O,X,O,O,X,X,X
LTZOIJS,O,O,O,X,O,O,X,X,X
LTZOISJ,O,O,O,X,O,X,X,X,X
LTZOJIS,O,O,O,X,O,O,X,X,X
LTZOJSI,O,O,O,X,O,O,X,X,X
LTZOSIJ,O,O,O,X,O,X,X,X,X
LTZOSJI,O,O,O,X,O,O,X,X,X
LTOIJSZ,X,O,O,O,X,X,O,O,O
LTOIJZS,X,O,O,X,O,X,O,O,X
LTOISJZ,X,O,O,O,X,X,X,X,O
LTOISZJ,X,O,O,O,O,X,X,X,O
LTOIZJS,X,O,O,X,O,O,X,X,X
LTOIZSJ,X,O,O,X,O,X,X,X,O
LTOJISZ,X,O,O,O,X,X,O,O,O
LTOJIZS,X,O,O,X,O,X,O,O,X
LTOJSIZ,X,O,O,O,X,X,X,X,O
LTOJSZI,X,O,O,O,X,X,X,X,O
LTOJZIS,X,O,O,X,O,O,X,X,X
LTOJZSI,X,O,O,X,O,O,X,X,X
LTOSIJZ,X,O,O,O,X,X,X,X,O
LTOSIZJ,X,O,O,O,O,X,X,X,O
LTOSJIZ,X,O,O,O,X,X,X,X,O
LTOSJZI,X,O,O,O,X,X,X,X,O
LTOSZIJ,X,O,O,O,O,X,X,X,O
LTOSZJI,X,O,O,O,O,O,X,X,O
LTOZIJS,X,O,O,X,O,O,X,X,X
LTOZISJ,X,O,O,X,O,X,X,X,O
LTOZJIS,X,O,O,X,O,O,X,X,X
LTOZJSI,X,O,O,X,O,O,X,X,X
LTOZSIJ,X,O,O,X,O,X,X,X,O
LTOZSJI,X,O,O,X,O,O,X,X,O
LITJSZO,O,O,O,O,X,X,O,O,X
LITJSOZ,O,O,X,O,X,X,O,O,X
LITJZSO,O,O,X,X,O,X,O,O,X
LITJZOS,O,X,X,X,O,X,O,O,X
LITJOSZ,X,O,X,O,X,X,O,O,X
LITJOZS,X,O,X,X,O,X,O,O,X
LITSJZO,O,O,O,O,X,X,O,O,X
LITSJOZ,O,O,X,O,X,X,O,O,X
LITSZJO,O,O,X,O,O,X,X,X,X
LITSZOJ,O,X,X,O,O,X,X,X,O
LITSOJZ,O,O,X,O,X,X,X,X,O
LITSOZJ,O,O,X,O,O,X,X,X,O
LITZJSO,O,O,X,X,O,X,O,O,X
LITZJOS,O,X,X,X,O,X,O,O,X
LITZSJO,O,O,X,X,O,X,X,X,X
LITZSOJ,O,X,X,X,O,X,X,X,X
LITZOJS,O,O,X,X,O,X,X,X,X
LITZOSJ,O,O,X,X,O,X,X,X,X
LITOJSZ,X,O,O,O,X,X,O,O,O
LITOJZS,X,O,X,X,O,X,O,O,X
LITOSJZ,X,O,O,O,X,X,X,X,O
LITOSZJ,X,O,X,O,O,X,X,X,O
LITOZJS,X,O,X,X,O,X,X,X,X
LITOZSJ,X,O,X,X,O,X,X,X,O
LIJTSZO,O,O,O,O,X,X,O,O,X
LIJTSOZ,O,O,X,O,X,X,O,O,X
LIJTZSO,O,O,X,X,O,X,O,O,X
LIJTZOS,O,X,X,X,O,X,O,O,X
LIJTOSZ,X,O,X,O,X,X,O,O,X
LIJTOZS,X,X,X,X,O,X,O,O,X
LIJSTZO,O,O,O,X,X,X,O,O,X
LIJSTOZ,X,O,X,O,X,X,O,O,X
LIJSZTO,O,O,O,X,X,X,O,O,X
LIJSZOT,O,O,O,O,X,X,X,X,X
LIJSOTZ,X,X,X,O,X,X,O,X,X
LIJSOZT,O,O,O,O,X,X,X,X,X
LIJZTSO,O,X,O,X,X,X,O,O,X
LIJZTOS,O,X,X,X,O,X,O,O,X
LIJZSTO,O,O,O,X,X,X,O,O,X
LIJZSOT,O,O,O,X,O,X,X,X,X
LIJZOTS,O,X,X,X,O,X,X,O,X
LIJZOST,O,X,O,X,O,X,X,X,X
LIJOTSZ,X,O,O,O,X,X,O,O,X
LIJOTZS,X,X,X,X,O,X,O,O,X
LIJOSTZ,X,O,O,O,X,X,O,X,X
LIJOSZT,X,O,O,O,X,X,X,X,X
LIJOZTS,X,X,X,X,O,X,X,O,X
LIJOZST,X,O,O,X,O,X,X,X,X
LISTJZO,O,O,O,X,X,X,O,O,X
LISTJOZ,X,O,X,O,X,X,O,O,X
LISTZJO,O,O,X,X,O,X,X,X,X
LISTZOJ,O,X,X,X,O,X,X,X,O
LISTOJZ,X,O,X,O,X,X,X,X,O
LISTOZJ,X,X,X,X,O,X,X,X,O
LISJTZO,O,O,O,X,X,X,O,O,X
LISJTOZ,X,O,X,O,X,X,O,O,X
LISJZTO,O,O,O,X,X,X,O,O,X
LISJZOT,O,O,O,O,X,X,X,X,X
LISJOTZ,X,X,X,O,X,X,O,X,X
LISJOZT,O,O,O,O,X,X,X,X,X
LISZTJO,O,X,O,X,X,X,X,X,X
LISZTOJ,O,X,X,X,X,X,X,X,O
LISZJTO,O,O,O,X,X,X,X,X,X
LISZJOT,O,O,O,O,O,X,X,X,X
LISZOTJ,O,X,X,X,X,X,X,X,X
LISZOJT,O,X,O,O,O,X,X,X,X
LISOTJZ,X,O,O,O,X,X,X,X,X
LISOTZJ,X,X,X,X,O,X,X,X,X
LISOJTZ,X,O,O,O,X,X,X,X,X
LISOJZT,O,O,O,O,X,X,X,X,X
LISOZTJ,O,X,X,X,X,X,X,X,X
LISOZJT,O,O,O,O,O,X,X,X,X
LIZTJSO,O,X,O,X,O,X,O,O,X
LIZTJOS,O,X,X,X,O,X,O,O,X
LIZTSJO,O,X,O,X,O,X,X,X,X
LIZTSOJ,O,X,X,X,O,X,X,X,X
LIZTOJS,O,X,O,X,O,X,X,X,X
LIZTOSJ,O,X,O,X,O,X,X,X,X
LIZJTSO,O,X,O,X,X,X,O,O,X
LIZJTOS,O,X,X,X,O,O,O,O,X
LIZJSTO,O,O,O,X,X,X,O,O,X
LIZJSOT,O,O,O,X,O,O,X,X,X
LIZJOTS,O,X,O,X,O,O,X,O,X
LIZJOST,O,X,O,X,O,O,X,X,X
LIZSTJO,O,X,O,X,X,X,X,X,X
LIZSTOJ,O,X,X,X,X,X,X,X,X
LIZSJTO,O,O,O,X,X,X,X,X,X
LIZSJOT,O,O,O,X,O,X,X,X,X
LIZSOTJ,O,X,O,X,X,X,X,X,X
LIZSOJT,O,X,O,X,O,X,X,X,X
LIZOTJS,O,X,O,X,O,X,X,X,X
LIZOTSJ,O,X,O,X,O,X,X,X,X
LIZOJTS,O,X,O,X,O,O,X,X,X
LIZOJST,O,O,O,X,O,O,X,X,X
LIZOSTJ,O,X,O,X,X,X,X,X,X
LIZOSJT,O,O,O,X,O,X,X,X,X
LIOTJSZ,X,O,O,O,X,X,O,O,X
LIOTJZS,X,O,X,X,O,X,O,O,X
LIOTSJZ,X,O,O,O,X,X,X,X,X
LIOTSZJ,X,O,X,O,O,X,X,X,X
LIOTZJS,X,O,X,X,O,X,X,X,X
LIOTZSJ,X,O,X,X,O,X,X,X,X
LIOJTSZ,X,O,O,O,X,X,O,O,X
LIOJTZS,X,O,X,X,O,X,O,O,X
LIOJSTZ,X,O,O,O,X,X,O,X,X
LIOJSZT,X,O,O,O,X,X,X,X,X
LIOJZTS,X,X,O,X,O,X,X,O,X
LIOJZST,X,O,O,X,O,X,X,X,X
LIOSTJZ,X,O,O,O,X,X,X,X,X
LIOSTZJ,X,O,X,X,O,X,X,X,X
LIOSJTZ,X,O,O,O,X,X,X,X,X
LIOSJZT,X,O,O,O,X,X,X,X,X
LIOSZTJ,X,X,O,X,X,X,X,X,X
LIOSZJT,X,O,O,O,O,X,X,X,X
LIOZTJS,X,X,O,X,O,X,X,X,X
LIOZTSJ,X,X,O,X,O,X,X,X,X
LIOZJTS,X,X,O,X,O,O,X,X,X
LIOZJST,X,O,O,X,O,O,X,X,X
LIOZSTJ,X,X,O,X,X,X,X,X,X
LIOZSJT,X,O,O,X,O,X,X,X,X
LJTISZO,O,O,O,O,X,X,O,O,X
LJTISOZ,O,O,O,O,X,X,O,O,X
LJTIZSO,O,O,O,X,O,X,O,O,X
LJTIZOS,O,X,O,X,O,X,O,O,X
LJTIOSZ,X,O,O,O,X,X,O,O,X
LJTIOZS,X,X,X,X,O,X,O,O,X
LJTSIZO,O,O,O,O,X,X,O,O,X
LJTSIOZ,O,O,O,O,X,X,O,O,X
LJTSZIO,O,O,O,O,X,X,X,X,X
LJTSZOI,O,X,O,O,X,X,X,X,X
LJTSOIZ,O,O,O,O,X,X,X,X,X
LJTSOZI,O,X,O,O,X,X,X,X,X
LJTZISO,O,O,O,X,O,X,O,O,X
LJTZIOS,O,X,O,X,O,X,O,O,X
LJTZSIO,O,O,O,X,O,X,X,X,X
LJTZSOI,O,X,O,X,O,X,X,X,X
LJTZOIS,O,X,O,X,O,X,X,X,X
LJTZOSI,O,X,O,X,O,X,X,X,X
LJTOISZ,X,O,O,O,X,X,O,O,X
LJTOIZS,X,X,X,X,O,X,O,O,X
LJTOSIZ,X,O,O,O,X,X,X,X,X
LJTOSZI,X,X,O,O,X,X,X,X,X
LJTOZIS,X,X,O,X,O,X,X,X,X
LJTOZSI,X,X,O,X,O,X,X,X,X
LJITSZO,O,O,O,O,X,X,O,O,X
LJITSOZ,O,O,X,O,X,X,O,O,X
LJITZSO,O,O,X,X,O,X,O,O,X
LJITZOS,O,X,X,X,O,X,O,O,X
LJITOSZ,X,O,X,O,X,X,O,O,X
LJITOZS,X,X,X,X,O,X,O,O,X
LJISTZO,O,O,O,X,X,X,O,O,X
LJISTOZ,X,O,X,O,X,X,O,O,X
LJISZTO,O,O,O,X,X,X,O,O,X
LJISZOT,O,O,O,O,X,X,X,X,X
LJISOTZ,X,X,X,O,X,X,O,X,X
LJISOZT,O,O,O,O,X,X,X,X,X
LJIZTSO,O,X,O,X,X,X,O,O,X
LJIZTOS,O,X,X,X,O,X,O,O,X
LJIZSTO,O,O,O,X,X,X,O,O,X
LJIZSOT,O,O,O,X,O,X,X,X,X
LJIZOTS,O,X,X,X,O,X,X,O,X
LJIZOST,O,X,O,X,O,X,X,X,X
LJIOTSZ,X,O,O,O,X,X,O,O,X
LJIOTZS,X,X,X,X,O,X,O,O,X
LJIOSTZ,X,O,O,O,X,X,O,X,X
LJIOSZT,X,O,O,O,X,X,X,X,X
LJIOZTS,X,X,X,X,O,X,X,O,X
LJIOZST,X,O,O,X,O,X,X,X,X
LJSTIZO,O,O,O,O,X,X,X,X,X
LJSTIOZ,O,O,O,O,X,X,X,X,X
LJSTZIO,O,O,O,O,X,X,X,X,X
LJSTZOI,O,X,O,O,X,X,X,X,X
LJSTOIZ,O,O,O,O,X,X,X,X,X
LJSTOZI,O,X,O,O,X,X,X,X,X
LJSITZO,O,O,O,X,X,X,O,O,X
LJSITOZ,X,O,X,O,X,X,O,O,X
LJSIZTO,O,O,O,X,X,X,O,O,X
LJSIZOT,O,O,O,O,X,X,X,X,X
LJSIOTZ,X,X,X,O,X,X,O,X,X
LJSIOZT,O,O,O,O,X,X,X,X,X
LJSZTIO,O,X,O,X,X,X,X,X,X
LJSZTOI,O,X,X,X,X,X,X,X,X
LJSZITO,O,O,O,X,X,X,X,X,X
LJSZIOT,O,O,O,O,X,X,X,X,X
LJSZOTI,O,X,X,X,X,X,X,X,X
LJSZOIT,O,X,O,O,X,X,X,X,X
LJSOTIZ,X,X,X,O,X,X,X,X,X
LJSOTZI,X,X,X,O,X,X,X,X,X
LJSOITZ,X,X,X,O,X,X,X,X,X
LJSOIZT,O,O,O,O,X,X,X,X,X
LJSOZTI,O,X,X,X,X,X,X,X,X
LJSOZIT,O,X,O,O,X,X,X,X,X
LJZTISO,O,X,O,X,X,X,X,X,X
LJZTIOS,O,X,X,X,O,O,X,X,X
LJZTSIO,O,X,O,X,X,X,X,X,X
LJZTSOI,O,X,X,X,X,X,X,X,X
LJZTOIS,O,X,X,X,O,O,X,X,X
LJZTOSI,O,X,X,X,X,O,X,X,X
LJZITSO,O,X,O,X,X,X,O,O,X
LJZITOS,O,X,X,X,O,O,O,O,X
LJZISTO,O,O,O,X,X,X,O,O,X
LJZISOT,O,O,O,X,O,O,X,X,X
LJZIOTS,O,X,O,X,O,O,X,O,X
LJZIOST,O,X,O,X,O,O,X,X,X
LJZSTIO,O,X,O,X,X,X,X,X,X
LJZSTOI,O,X,X,X,X,X,X,X,X
LJZSITO,O,O,O,X,X,X,X,X,X
LJZSIOT,O,O,O,X,O,O,X,X,X
LJZSOTI,O,X,X,X,X,O,X,X,X
LJZSOIT,O,X,O,X,O,O,X,X,X
LJZOTIS,O,X,O,X,O,O,X,X,X
LJZOTSI,O,X,O,X,X,O,X,X,X
LJZOITS,O,X,O,X,O,O,X,X,X
LJZOIST,O,X,O,X,O,O,X,X,X
LJZOSTI,O,X,O,X,X,O,X,X,X
LJZOSIT,O,X,O,X,O,O,X,X,X
LJOTISZ,X,O,O,O,X,X,X,X,X
LJOTIZS,X,X,X,X,O,X,X,X,X
LJOTSIZ,X,O,O,O,X,X,X,X,X
LJOTSZI,X,X,O,O,X,X,X,X,X
LJOTZIS,X,X,O,X,O,X,X,X,X
LJOTZSI,X,X,O,X,O,X,X,X,X
LJOITSZ,X,O,O,O,X,X,O,O,X
LJOITZS,X,X,X,X,O,X,O,O,X
LJOISTZ,X,O,O,O,X,X,O,X,X
LJOISZT,X,O,O,O,X,X,X,X,X
LJOIZTS,X,X,O,X,O,X,X,O,X
LJOIZST,X,O,O,X,O,X,X,X,X
LJOSTIZ,X,O,O,O,X,X,X,X,X
LJOSTZI,X,X,O,O,X,X,X,X,X
LJOSITZ,X,O,O,O,X,X,X,X,X
LJOSIZT,X,O,O,O,X,X,X,X,X
LJOSZTI,X,X,O,X,X,X,X,X,X
LJOSZIT,X,O,O,O,X,X,X,X,X
LJOZTIS,X,X,O,X,O,O,X,X,X
LJOZTSI,X,X,O,X,X,O,X,X,X
LJOZITS,X,X,O,X,O,O,X,X,X
LJOZIST,X,O,O,X,O,O,X,X,X
LJOZSTI,X,X,O,X,X,O,X,X,X
LJOZSIT,X,O,O,X,O,O,X,X,X
LSTIJZO,O,O,O,O,X,X,O,O,X
LSTIJOZ,O,O,O,O,X,X,O,O,X
LSTIZJO,O,O,O,O,O,X,X,X,X
LSTIZOJ,O,X,O,O,O,X,X,X,O
LSTIOJZ,O,O,O,O,X,X,X,X,O
LSTIOZJ,O,X,X,O,O,X,X,X,O
LSTJIZO,O,O,O,O,X,X,O,O,X
LSTJIOZ,O,O,O,O,X,X,O,O,X
LSTJZIO,O,O,O,O,X,X,X,X,X
LSTJZOI,O,X,O,O,X,X,X,X,X
LSTJOIZ,O,O,O,O,X,X,X,X,X
LSTJOZI,O,X,O,O,X,X,X,X,X
LSTZIJO,O,O,O,O,O,X,X,X,X
LSTZIOJ,O,X,O,O,O,X,X,X,O
LSTZJIO,O,O,O,O,O,X,X,X,X
LSTZJOI,O,X,O,O,O,X,X,X,X
LSTZOIJ,O,X,O,O,O,X,X,X,O
LSTZOJI,O,X,O,O,O,X,X,X,O
LSTOIJZ,O,O,O,O,X,X,X,X,O
LSTOIZJ,O,X,X,O,O,X,X,X,O
LSTOJIZ,O,O,O,O,X,X,X,X,O
LSTOJZI,O,X,O,O,X,X,X,X,O
LSTOZIJ,O,X,O,O,O,X,X,X,O
LSTOZJI,O,X,O,O,O,X,X,X,O
LSITJZO,O,O,O,X,X,X,O,O,X
LSITJOZ,X,O,X,O,X,X,O,O,X
LSITZJO,O,O,X,X,O,X,X,X,X
LSITZOJ,O,X,X,X,O,X,X,X,O
LSITOJZ,X,O,X,O,X,X,X,X,O
LSITOZJ,X,X,X,X,O,X,X,X,O
LSIJTZO,O,O,O,X,X,X,O,O,X
LSIJTOZ,X,O,X,O,X,X,O,O,X
LSIJZTO,O,O,O,X,X,X,O,O,X
LSIJZOT,O,O,O,O,X,X,X,X,X
LSIJOTZ,X,X,X,O,X,X,O,X,X
LSIJOZT,O,O,O,O,X,X,X,X,X
LSIZTJO,O,X,O,X,X,X,X,X,X
LSIZTOJ,O,X,X,X,X,X,X,X,O
LSIZJTO,O,O,O,X,X,X,X,X,X
LSIZJOT,O,O,O,O,O,X,X,X,X
LSIZOTJ,O,X,X,X,X,X,X,X,X
LSIZOJT,O,X,O,O,O,X,X,X,X
LSIOTJZ,X,O,O,O,X,X,X,X,X
LSIOTZJ,X,X,X,X,O,X,X,X,X
LSIOJTZ,X,O,O,O,X,X,X,X,X
LSIOJZT,O,O,O,O,X,X,X,X,X
LSIOZTJ,O,X,X,X,X,X,X,X,X
LSIOZJT,O,O,O,O,O,X,X,X,X
LSJTIZO,O,O,O,O,X,X,X,X,X
LSJTIOZ,O,O,O,O,X,X,X,X,X
LSJTZIO,O,O,O,O,X,X,X,X,X
LSJTZOI,O,X,O,O,X,X,X,X,X
LSJTOIZ,O,O,O,O,X,X,X,X,X
LSJTOZI,O,X,O,O,X,X,X,X,X
LSJITZO,O,O,O,X,X,X,O,O,X
LSJITOZ,X,O,X,O,X,X,O,O,X
LSJIZTO,O,O,O,X,X,X,O,O,X
LSJIZOT,O,O,O,O,X,X,X,X,X
LSJIOTZ,X,X,X,O,X,X,O,X,X
LSJIOZT,O,O,O,O,X,X,X,X,X
LSJZTIO,O,X,O,X,X,X,X,X,X
LSJZTOI,O,X,X,X,X,X,X,X,X
LSJZITO,O,O,O,X,X,X,X,X,X
LSJZIOT,O,O,O,O,X,X,X,X,X
LSJZOTI,O,X,X,X,X,X,X,X,X
LSJZOIT,O,X,O,O,X,X,X,X,X
LSJOTIZ,X,X,X,O,X,X,X,X,X
LSJOTZI,X,X,X,O,X,X,X,X,X
LSJOITZ,X,X,X,O,X,X,X,X,X
LSJOIZT,O,O,O,O,X,X,X,X,X
LSJOZTI,O,X,X,X,X,X,X,X,X
LSJOZIT,O,X,O,O,X,X,X,X,X
LSZTIJO,O,X,O,X,X,X,X,X,X
LSZTIOJ,O,X,X,X,X,X,X,X,O
LSZTJIO,O,X,O,X,X,X,X,X,X
LSZTJOI,O,X,X,X,X,X,X,X,X
LSZTOIJ,O,X,X,X,X,X,X,X,O
LSZTOJI,O,X,X,X,X,X,X,X,O
LSZITJO,O,X,O,X,X,X,X,X,X
LSZITOJ,O,X,X,X,X,X,X,X,O
LSZIJTO,O,O,O,X,X,X,X,X,X
LSZIJOT,O,O,O,O,O,X,X,X,X
LSZIOTJ,O,X,O,X,X,X,X,X,X
LSZIOJT,O,X,O,O,O,X,X,X,X
LSZJTIO,O,X,O,X,X,X,X,X,X
LSZJTOI,O,X,X,X,X,X,X,X,X
LSZJITO,O,O,O,X,X,X,X,X,X
LSZJIOT,O,O,O,O,O,O,X,X,X
LSZJOTI,O,X,X,X,X,O,X,X,X
LSZJOIT,O,X,O,O,O,O,X,X,X
LSZOTIJ,O,X,O,X,X,X,X,X,X
LSZOTJI,O,X,O,X,X,X,X,X,X
LSZOITJ,O,X,O,X,X,X,X,X,X
LSZOIJT,O,X,O,O,O,X,X,X,X
LSZOJTI,O,X,O,X,X,O,X,X,X
LSZOJIT,O,X,O,O,O,O,X,X,X
LSOTIJZ,X,O,O,O,X,X,X,X,X
LSOTIZJ,X,X,X,O,O,X,X,X,X
LSOTJIZ,X,O,O,O,X,X,X,X,X
LSOTJZI,X,X,O,O,X,X,X,X,X
LSOTZIJ,X,X,O,O,O,X,X,X,X
LSOTZJI,X,X,O,O,O,X,X,X,X
LSOITJZ,X,O,O,O,X,X,X,X,X
LSOITZJ,X,X,X,X,O,X,X,X,X
LSOIJTZ,X,O,O,O,X,X,X,X,X
LSOIJZT,O,O,O,O,X,X,X,X,X
LSOIZTJ,O,X,O,X,X,X,X,X,X
LSOIZJT,O,O,O,O,O,X,X,X,X
LSOJTIZ,X,O,O,O,X,X,X,X,X
LSOJTZI,X,X,O,O,X,X,X,X,X
LSOJITZ,X,O,O,O,X,X,X,X,X
LSOJIZT,O,O,O,O,X,X,X,X,X
LSOJZTI,O,X,O,X,X,X,X,X,X
LSOJZIT,O,O,O,O,X,X,X,X,X
LSOZTIJ,O,X,O,X,X,X,X,X,X
LSOZTJI,O,X,O,X,X,X,X,X,X
LSOZITJ,O,X,O,X,X,X,X,X,X
LSOZIJT,O,O,O,O,O,X,X,X,X
LSOZJTI,O,X,O,X,X,O,X,X,X
LSOZJIT,O,O,O,O,O,O,X,X,X
LZTIJSO,O,X,O,X,O,O,O,O,X
LZTIJOS,O,X,X,X,O,O,O,O,X
LZTISJO,O,X,O,X,O,X,X,X,X
LZTISOJ,O,X,X,X,O,X,X,X,X
LZTIOJS,O,X,O,X,O,O,X,X,X
LZTIOSJ,O,X,O,X,O,X,X,X,X
LZTJISO,O,X,O,X,O,O,O,O,X
LZTJIOS,O,X,X,X,O,O,O,O,X
LZTJSIO,O,X,O,X,O,O,X,X,X
LZTJSOI,O,X,X,X,O,O,X,X,X
LZTJOIS,O,X,X,X,O,O,X,X,X
LZTJOSI,O,X,X,X,O,O,X,X,X
LZTSIJO,O,X,O,X,O,X,X,X,X
LZTSIOJ,O,X,X,X,O,X,X,X,X
LZTSJIO,O,X,O,X,O,O,X,X,X
LZTSJOI,O,X,X,X,O,O,X,X,X
LZTSOIJ,O,X,X,X,O,X,X,X,X
LZTSOJI,O,X,X,X,O,O,X,X,X
LZTOIJS,O,X,O,X,O,O,X,X,X
LZTOISJ,O,X,O,X,O,X,X,X,X
LZTOJIS,O,X,O,X,O,O,X,X,X
LZTOJSI,O,X,O,X,O,O,X,X,X
LZTOSIJ,O,X,O,X,O,X,X,X,X
LZTOSJI,O,X,O,X,O,O,X,X,X
LZITJSO,O,X,O,X,O,X,O,O,X
LZITJOS,O,X,X,X,O,X,O,O,X
LZITSJO,O,X,O,X,O,X,X,X,X
LZITSOJ,O,X,X,X,O,X,X,X,X
LZITOJS,O,X,O,X,O,X,X,X,X
LZITOSJ,O,X,O,X,O,X,X,X,X
LZIJTSO,O,X,O,X,X,X,O,O,X
LZIJTOS,O,X,X,X,O,O,O,O,X
LZIJSTO,O,O,O,X,X,X,O,O,X
LZIJSOT,O,O,O,X,O,O,X,X,X
LZIJOTS,O,X,O,X,O,O,X,O,X
LZIJOST,O,X,O,X,O,O,X,X,X
LZISTJO,O,X,O,X,X,X,X,X,X
LZISTOJ,O,X,X,X,X,X,X,X,X
LZISJTO,O,O,O,X,X,X,X,X,X
LZISJOT,O,O,O,X,O,X,X,X,X
LZISOTJ,O,X,O,X,X,X,X,X,X
LZISOJT,O,X,O,X,O,X,X,X,X
LZIOTJS,O,X,O,X,O,X,X,X,X
LZIOTSJ,O,X,O,X,O,X,X,X,X
LZIOJTS,O,X,O,X,O,O,X,X,X
LZIOJST,O,O,O,X,O,O,X,X,X
LZIOSTJ,O,X,O,X,X,X,X,X,X
LZIOSJT,O,O,O,X,O,X,X,X,X
LZJTISO,O,X,O,X,X,O,X,X,X
LZJTIOS,O,X,X,X,O,O,X,X,X
LZJTSIO,O,X,O,X,X,O,X,X,X
LZJTSOI,O,X,X,X,X,O,X,X,X
LZJTOIS,O,X,X,X,O,O,X,X,X
LZJTOSI,O,X,X,X,X,O,X,X,X
LZJITSO,O,X,O,X,X,O,O,O,X
LZJITOS,O,X,X,X,O,O,O,O,X
LZJISTO,O,O,O,X,X,X,O,O,X
LZJISOT,O,O,O,X,O,O,X,X,X
LZJIOTS,O,X,O,X,O,O,X,O,X
LZJIOST,O,X,O,X,O,O,X,X,X
LZJSTIO,O,X,O,X,X,X,X,X,X
LZJSTOI,O,X,X,X,X,X,X,X,X
LZJSITO,O,O,O,X,X,X,X,X,X
LZJSIOT,O,O,O,X,O,O,X,X,X
LZJSOTI,O,X,X,X,X,O,X,X,X
LZJSOIT,O,X,O,X,O,O,X,X,X
LZJOTIS,O,X,O,X,O,O,X,X,X
LZJOTSI,O,X,O,X,X,O,X,X,X
LZJOITS,O,X,O,X,O,O,X,X,X
LZJOIST,O,X,O,X,O,O,X,X,X
LZJOSTI,O,X,O,X,X,O,X,X,X
LZJOSIT,O,X,O,X,O,O,X,X,X
LZSTIJO,O,X,O,X,X,X,X,X,X
LZSTIOJ,O,X,X,X,X,X,X,X,X
LZSTJIO,O,X,O,X,X,X,X,X,X
LZSTJOI,O,X,X,X,X,X,X,X,X
LZSTOIJ,O,X,X,X,X,X,X,X,X
LZSTOJI,O,X,X,X,X,X,X,X,X
LZSITJO,O,X,O,X,X,X,X,X,X
LZSITOJ,O,X,X,X,X,X,X,X,X
LZSIJTO,O,O,O,X,X,X,X,X,X
LZSIJOT,O,O,O,X,O,X,X,X,X
LZSIOTJ,O,X,O,X,X,X,X,X,X
LZSIOJT,O,X,O,X,O,X,X,X,X
LZSJTIO,O,X,O,X,X,X,X,X,X
LZSJTOI,O,X,X,X,X,X,X,X,X
LZSJITO,O,O,O,X,X,X,X,X,X
LZSJIOT,O,O,O,X,O,O,X,X,X
LZSJOTI,O,X,X,X,X,O,X,X,X
LZSJOIT,O,X,O,X,O,O,X,X,X
LZSOTIJ,O,X,O,X,X,X,X,X,X
LZSOTJI,O,X,O,X,X,X,X,X,X
LZSOITJ,O,X,O,X,X,X,X,X,X
LZSOIJT,O,X,O,X,O,X,X,X,X
LZSOJTI,O,X,O,X,X,O,X,X,X
LZSOJIT,O,X,O,X,O,O,X,X,X
LZOTIJS,O,X,O,X,O,O,X,X,X
LZOTISJ,O,X,O,X,O,X,X,X,X
LZOTJIS,O,X,O,X,O,O,X,X,X
LZOTJSI,O,X,O,X,O,O,X,X,X
LZOTSIJ,O,X,O,X,O,X,X,X,X
LZOTSJI,O,X,O,X,O,O,X,X,X
LZOITJS,O,X,O,X,O,X,X,X,X
