sequence,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBRdBumBz?iBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFTdBejB6lB0?hBNrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBRdBXiB8?nBWrBywB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahB5hBTdBe?jBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBihBW?rBcsB3rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFxcBdjBmhBf?rBSsB0rB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhF8hBajBmgB9?nBfrBzrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFXdBdjB6lB2?mBcsBTrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFUdBajBWrBx?mBXsBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFzdBihBRnBG?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFahBzdBRnBu?mBNsBUrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFmdB0iBRmB6?mBdrBXsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Jex7IvhFdiBzdB0gBS?rB3nB2wB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFRdB2nBCmB3?nB0rBNrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFNhBmiB5mBi?iBfrBcsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8JeT7IvhFXhBRnB8nBe?sBdrBCsB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je2AJvhFzdB9mB3nBU?rBZnBCrB,v115@zgB8GeC8GeD8FeD8EeF8CeC8Je/AJvhFRcBThBynBu?nBdsBUrB
TJLSZIO,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TJLSZOI,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TJLSOIZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJLSOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TJLZISO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLZIOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLZSIO,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TJLZSOI,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TJLZOIS,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
TJLOISZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJLOIZS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLOSZI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TJLOZIS,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJLOZSI,O,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TJSILZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TJSIZOL,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TJSIOZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSLIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJSLZIO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TJSLOZI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJSZILO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSZIOL,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TJSZLIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TJSZLOI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TJSZOIL,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TJSZOLI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TJSOILZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TJSOIZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSOLIZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TJSOLZI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJSOZIL,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
TJSOZLI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
TJZILSO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZILOS,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZISLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TJZISOL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TJZIOLS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOSL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJZLIOS,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZLSIO,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X
TJZLSOI,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X
TJZLOIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZSILO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TJZSIOL,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TJZSLIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TJZSLOI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TJZSOIL,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TJZSOLI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TJZOILS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZOISL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZOLIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJZOLSI,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TJZOSIL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
TJZOSLI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
TJOILSZ,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJOILZS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOISLZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJOISZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOIZLS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOIZSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOLISZ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TJOLIZS,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TJOLSZI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
TJOLZIS,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TJOLZSI,O,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TJOSILZ,O,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
TJOSIZL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TJOSLIZ,O,O,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
TJOSLZI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
TJOSZIL,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TJOSZLI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TJOZILS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJOZISL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TJOZLIS,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJOZLSI,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X
TJOZSIL,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TJOZSLI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TSILJZO,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TSILJOZ,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TSILZJO,X,O,X,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TSILZOJ,X,O,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TSILOJZ,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TSILOZJ,O,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TSIJLZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TSIJZOL,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TSIJOLZ,O,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TSIJOZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSIZLJO,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TSIZLOJ,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TSIZJLO,O,O,X,O,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TSIZJOL,O,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TSIZOLJ,O,X,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X
TSIZOJL,O,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TSIOLJZ,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TSIOLZJ,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
TSIOJLZ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TSIOJZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TSIOZLJ,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X
TSIOZJL,O,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X
TSLIJZO,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TSLIJOZ,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X
TSLIZJO,X,O,X,X,X,O,O,O,O,X,O,X,O,X,X,X,X,X
TSLIZOJ,X,O,X,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TSLIOJZ,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TSLJIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSLJIOZ,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TSLJZIO,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TSLJZOI,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TSLJOIZ,O,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X
TSLJOZI,O,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X
TSLZIJO,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TSLZIOJ,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X
TSLZJIO,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TSLZJOI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,O,X,X,X
TSLZOIJ,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,O
TSLZOJI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,O,X,X,O
TSLOIJZ,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TSLOJIZ,O,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X
TSLOJZI,O,O,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
TSLOZIJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TSLOZJI,O,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X
TSJILZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TSJIZLO,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TSJIZOL,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,O,O,X,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TSJIOZL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TSJLIZO,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TSJLIOZ,O,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TSJLZIO,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TSJLZOI,O,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TSJLOIZ,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X
TSJLOZI,O,O,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TSJZILO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TSJZIOL,O,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TSJZLIO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TSJZLOI,O,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TSJZOIL,O,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TSJZOLI,O,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TSJOILZ,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X
TSJOIZL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TSJOLIZ,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X
TSJOLZI,O,O,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TSJOZIL,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
TSJOZLI,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
TSZILJO,O,O,X,O,X,X,O,O,X,X,O,O,O,X,X,X,O,X
TSZILOJ,O,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X,O,X
TSZIJLO,O,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X
TSZIJOL,O,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TSZIOLJ,O,X,X,O,X,O,O,O,X,O,O,O,O,X,X,X,O,X
TSZIOJL,O,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
TSZLIJO,O,O,X,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X
TSZLIOJ,O,O,X,O,X,O,O,O,X,O,O,X,O,X,X,X,O,X
TSZLJIO,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TSZLJOI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,O,X,O,X
TSZLOIJ,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O
TSZLOJI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O
TSZJILO,O,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X
TSZJIOL,O,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TSZJLIO,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TSZJLOI,O,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TSZJOIL,O,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TSZJOLI,O,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TSZOILJ,O,X,X,O,X,O,O,O,X,X,X,O,O,X,X,X,O,X
TSZOIJL,O,O,X,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
TSZOLIJ,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O
TSZOLJI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O
TSZOJIL,O,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TSZOJLI,O,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TSOILJZ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TSOILZJ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TSOIJLZ,O,X,X,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TSOIJZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TSOIZLJ,O,X,X,X,X,O,O,O,X,X,X,O,O,X,X,X,X,X
TSOIZJL,O,X,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TSOLIJZ,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
TSOLIZJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TSOLJIZ,O,O,X,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X
TSOLJZI,O,O,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X
TSOLZIJ,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TSOLZJI,O,O,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X
TSOJILZ,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X
TSOJIZL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
TSOJLIZ,O,O,X,X,O,O,O,X,O,X,X,X,O,X,O,X,X,X
TSOJLZI,O,O,X,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X
TSOJZIL,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
TSOJZLI,O,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X,O,X
TSOZILJ,O,X,X,O,X,O,O,O,X,X,X,O,O,X,X,X,O,X
TSOZIJL,O,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TSOZLIJ,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TSOZLJI,O,O,X,O,X,O,O,O,X,X,X,X,O,X,O,X,O,X
TSOZJIL,O,O,X,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TSOZJLI,O,O,X,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TZILJSO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TZILJOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZILSJO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TZILSOJ,X,X,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X
TZILOJS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZILOSJ,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X
TZIJLSO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TZIJLOS,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZIJSLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TZIJSOL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TZIJOLS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZIJOSL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZISLJO,O,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,O,X
TZISLOJ,O,X,O,O,X,X,O,O,X,O,O,X,O,X,X,X,O,X
TZISJLO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TZISJOL,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TZISOLJ,O,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,O,X
TZISOJL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TZIOLJS,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
TZIOJLS,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZIOJSL,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZIOSLJ,O,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
TZIOSJL,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZLIJSO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TZLIJOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZLISJO,X,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TZLISOJ,X,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X
TZLIOJS,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZLIOSJ,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X,X,X
TZLJISO,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
TZLJIOS,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZLJSIO,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X
TZLJSOI,O,O,O,O,O,X,O,O,X,X,X,X,O,O,X,X,O,X
TZLJOIS,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TZLJOSI,O,O,O,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
TZLSIJO,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TZLSIOJ,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,O,X
TZLSJIO,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TZLSJOI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TZLSOIJ,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O
TZLSOJI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O
TZLOIJS,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TZLOISJ,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X
TZLOJIS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
TZLOJSI,O,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TZLOSIJ,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
TZLOSJI,O,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O
TZJILSO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TZJILOS,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZJISLO,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TZJISOL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X
TZJIOLS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TZJIOSL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZJLISO,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TZJLIOS,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZJLSIO,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X
TZJLSOI,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X,O,X
TZJLOIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZJLOSI,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TZJSILO,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X
TZJSIOL,O,O,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TZJSLIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
TZJSLOI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TZJSOIL,O,O,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TZJSOLI,O,O,O,O,O,X,O,O,X,X,X,X,X,X,O,X,O,X
TZJOILS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZJOISL,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZJOLIS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TZJOLSI,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TZJOSIL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
TZJOSLI,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,O,X
TZSILJO,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,X,O,X
TZSILOJ,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X,O,X
TZSIJLO,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X,O,X
TZSIJOL,O,O,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TZSIOLJ,O,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,O,X
TZSIOJL,O,O,O,O,O,X,X,O,X,X,X,O,X,X,O,X,O,X
TZSLIJO,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,O,X
TZSLIOJ,O,O,O,O,X,O,O,O,X,O,O,X,O,X,X,X,O,X
TZSLJIO,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X
TZSLJOI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,O,X,O,X
TZSLOIJ,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,O
TZSLOJI,O,O,O,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O
TZSJILO,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X
TZSJIOL,O,O,O,O,O,X,O,O,X,X,X,O,X,X,O,X,O,X
TZSJLIO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
