sequence,v115@7gB8HeB8FeF8EeF8AeF8Jem6IvhFRcBSiBTfB3gB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFzaBGdBRhB3gB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFxbBTdBflBlgBqm?B8qB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFibBchBTdBflB5l?B1wB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhFTbBSiBflBRrB8q?BlrB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFfgBxbBTdBWmB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeO/IvhF0bBxcBzfBSmBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeT6IvhFibBWiBUhBxkBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8Je06IvhFxbB2kBzgBCiBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeT6IvhFlbBGdBxkB0mB/q?BirB,v115@7gB8HeB8FeF8EeF8AeF8Je36IvhFTdBxgB2kBChB0m?BlqB,v115@7gB8HeB8FeF8EeF8AeF8Je06IvhF6gB2kBxhBThBXn?BlqB,v115@7gB8HeB8FeF8EeF8AeF8JeK/IvhFGbBUgBxhBThBXn?BlqB
ISTZJLO,X,X,X,O,O,X,X,O,X,X,X,X,X
ISTZJOL,X,X,X,O,O,X,X,O,X,X,X,X,X
ISTZOLJ,X,X,X,O,O,X,X,O,X,X,X,X,X
ISTZOJL,X,X,X,O,O,X,X,O,X,X,X,X,X
ISTOLJZ,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTOLZJ,X,X,X,O,X,X,X,O,X,X,X,X,X
ISTOJLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTOJZL,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTOZLJ,X,X,X,O,X,X,X,O,X,X,X,X,X
ISTOZJL,X,X,X,O,X,X,X,O,X,X,X,X,X
ISLTJZO,X,X,X,O,O,X,X,X,X,X,X,X,X
ISLTJOZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLTZJO,X,X,X,O,O,X,X,O,X,X,X,X,O
ISLTZOJ,X,X,X,O,O,X,X,O,X,X,X,X,X
ISLTOJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLTOZJ,X,X,X,O,X,X,X,O,X,X,X,X,X
ISLJTZO,X,X,X,O,O,X,X,X,X,X,X,X,X
ISLJTOZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLJZTO,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLJZOT,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLJOTZ,X,O,O,O,X,X,X,X,X,X,X,X,X
ISLJOZT,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLZTJO,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLZJTO,X,X,O,X,O,X,X,X,X,X,X,X,O
ISLZJOT,X,X,O,X,O,X,X,O,X,X,X,X,X
ISLZOTJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLZOJT,X,X,O,X,O,X,X,O,X,X,X,X,X
ISLOTJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISLOTZJ,X,X,X,O,X,X,X,O,X,X,X,X,X
ISLOJTZ,X,O,O,O,X,X,X,X,X,X,X,X,X
ISLOJZT,X,O,O,X,O,X,X,X,X,X,X,X,X
ISLOZTJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ISLOZJT,X,X,O,X,O,X,X,O,X,X,X,X,X
ISJTLZO,X,X,X,O,O,X,X,X,X,X,X,X,X
ISJTLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
ISJTZLO,X,X,X,O,O,X,X,X,X,X,X,X,X
ISJTZOL,X,X,X,O,O,X,X,X,X,X,X,X,X
ISJTOLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJTOZL,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJLTZO,X,X,X,O,O,X,X,X,X,X,X,X,X
ISJLTOZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISJLZTO,X,X,O,X,O,X,X,X,X,X,X,X,X
ISJLZOT,X,X,O,X,O,X,X,X,X,X,X,X,X
ISJLOTZ,X,O,O,O,X,X,X,X,X,X,X,X,X
ISJLOZT,X,O,O,X,O,X,X,X,X,X,X,X,X
ISJZTLO,X,X,X,O,O,X,X,X,X,O,X,X,X
ISJZTOL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISJZLTO,X,X,O,X,O,X,X,X,X,O,X,O,X
ISJZLOT,X,O,O,X,O,X,X,X,X,O,X,X,X
ISJZOTL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISJZOLT,X,X,O,X,O,X,X,X,X,O,X,X,X
ISJOTLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJOTZL,X,X,X,O,X,X,X,X,X,X,X,X,X
ISJOLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISJOLZT,X,X,O,X,O,X,X,X,X,X,X,X,X
ISJOZTL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISJOZLT,X,X,O,X,O,X,X,X,X,O,X,X,X
ISZTLJO,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZTLOJ,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZTJLO,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZTJOL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZTOLJ,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZTOJL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZLTJO,X,X,O,X,O,X,X,X,X,O,X,X,X
ISZLTOJ,X,X,O,X,O,X,X,X,X,O,X,X,X
ISZLJTO,X,X,O,X,O,X,X,X,X,O,X,X,X
ISZLJOT,X,O,O,X,O,X,X,O,X,O,X,X,X
ISZLOTJ,X,X,O,X,O,X,X,X,X,O,X,X,X
ISZLOJT,X,O,O,X,O,X,X,O,X,O,X,X,X
ISZJTLO,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZJTOL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZJLTO,X,X,O,X,O,X,X,X,X,O,X,X,X
ISZJLOT,X,O,O,X,O,X,X,O,X,O,X,X,X
ISZJOTL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZJOLT,X,X,O,X,O,X,X,O,X,O,X,X,X
ISZOTLJ,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZOTJL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZOLTJ,X,X,O,X,O,X,X,X,X,O,X,X,X
ISZOLJT,X,X,O,X,O,X,X,O,X,O,X,X,X
ISZOJTL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISZOJLT,X,X,O,X,O,X,X,O,X,O,X,X,X
ISOTLJZ,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOTLZJ,X,X,X,O,X,X,X,O,X,X,X,X,X
ISOTJLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOTJZL,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,O,X,X,X,O,X,X,X,X,X
ISOTZJL,X,X,X,O,X,X,X,O,X,X,X,X,X
ISOLTJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,O,X,X,X,O,X,X,X,X,X
ISOLJTZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISOLJZT,X,X,O,X,O,X,X,X,X,X,X,X,X
ISOLZTJ,X,X,O,X,O,X,X,X,X,X,X,X,X
ISOLZJT,X,X,O,X,O,X,X,O,X,X,X,X,X
ISOJTLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJTZL,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOJLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X
ISOJLZT,X,X,O,X,O,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISOJZLT,X,X,O,X,O,X,X,X,X,O,X,X,X
ISOZTLJ,X,X,X,O,O,X,X,X,X,O,X,X,X
ISOZTJL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISOZLTJ,X,X,O,X,O,X,X,X,X,O,X,X,X
ISOZLJT,X,X,O,X,O,X,X,O,X,O,X,X,X
ISOZJTL,X,X,X,O,O,X,X,X,X,O,X,X,X
ISOZJLT,X,X,O,X,O,X,X,O,X,O,X,X,X
IZTLJSO,O,O,X,X,X,X,X,O,X,O,X,O,O
IZTLJOS,O,O,X,X,X,X,X,O,X,O,X,O,O
IZTLSJO,O,O,X,O,X,X,X,O,X,O,X,X,O
IZTLSOJ,O,O,X,O,X,X,X,O,X,O,O,X,X
IZTLOJS,O,O,X,X,X,X,X,O,X,O,X,X,O
IZTLOSJ,O,O,X,O,X,X,X,O,X,O,O,X,X
IZTJLSO,X,O,X,X,X,X,X,O,X,O,X,O,X
IZTJLOS,X,O,X,X,X,X,X,O,X,O,X,O,X
IZTJSLO,X,O,X,O,X,X,X,O,X,O,X,O,X
IZTJSOL,X,X,X,O,X,X,X,O,X,O,O,X,X
IZTJOLS,X,O,X,X,X,X,X,O,X,O,X,O,X
IZTJOSL,X,X,X,O,X,X,X,O,X,O,O,X,X
IZTSLJO,O,O,X,O,X,X,X,O,X,O,X,X,X
IZTSLOJ,O,O,X,O,X,X,X,O,X,O,O,X,X
IZTSJLO,O,O,X,O,X,X,X,O,X,O,X,X,X
IZTSJOL,O,X,X,O,X,X,X,O,X,O,O,X,X
IZTSOLJ,O,X,X,O,X,X,X,O,X,O,O,X,X
IZTSOJL,O,X,X,O,X,X,X,O,X,O,O,X,X
IZTOLJS,O,O,X,X,X,X,X,O,X,O,X,X,X
IZTOLSJ,O,O,X,O,X,X,X,O,X,O,O,X,X
IZTOJLS,O,O,X,X,X,X,X,O,X,O,X,X,X
IZTOJSL,X,X,X,O,X,X,X,O,X,O,O,X,X
IZTOSLJ,O,X,X,O,X,X,X,O,X,O,O,X,X
IZTOSJL,O,X,X,O,X,X,X,O,X,O,O,X,X
IZLTJSO,O,O,X,X,X,X,X,O,X,O,X,X,O
IZLTJOS,O,O,O,X,X,X,X,O,X,O,X,X,O
IZLTSJO,O,O,O,X,X,X,X,O,X,O,X,X,O
IZLTSOJ,O,O,O,X,X,X,X,O,X,O,O,X,X
IZLTOJS,O,O,O,X,X,X,X,O,X,O,X,X,O
IZLTOSJ,O,O,O,X,X,X,X,O,X,O,O,X,X
IZLJTSO,O,O,X,X,X,X,X,X,X,O,X,X,O
IZLJTOS,O,O,O,X,X,X,X,O,X,O,X,X,O
IZLJSTO,O,X,O,X,O,X,X,X,X,O,X,X,O
IZLJSOT,O,O,O,X,O,X,X,O,X,O,X,X,X
IZLJOTS,O,O,O,X,X,X,X,O,X,O,X,X,O
IZLJOST,O,O,O,X,X,X,X,O,X,O,X,X,X
IZLSTJO,O,X,O,X,O,X,X,X,X,O,X,X,X
IZLSTOJ,O,X,O,X,O,X,X,X,X,O,X,X,X
IZLSJTO,O,X,O,X,O,X,X,X,X,O,X,X,O
IZLSJOT,O,O,O,X,O,X,X,O,X,O,X,X,X
IZLSOTJ,O,X,O,X,O,X,X,X,X,O,O,X,X
IZLSOJT,O,O,O,X,O,X,X,O,X,O,O,X,X
IZLOTJS,O,O,O,X,X,X,X,O,X,O,X,X,X
IZLOTSJ,O,X,O,X,X,X,X,O,X,O,O,X,X
IZLOJTS,O,O,O,X,X,X,X,O,X,O,X,X,O
IZLOJST,O,O,O,X,X,X,X,O,X,O,X,X,X
IZLOSTJ,O,X,O,X,X,X,X,X,X,O,O,X,X
IZLOSJT,O,O,O,X,X,X,X,O,X,O,O,X,X
IZJTLSO,X,O,X,X,X,X,X,X,X,O,X,O,X
IZJTLOS,X,O,X,X,X,X,X,O,X,O,X,O,X
IZJTSLO,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJTSOL,X,X,X,X,X,X,X,X,X,O,O,X,X
IZJTOLS,X,O,X,X,X,X,X,O,X,O,X,X,X
IZJTOSL,X,X,X,X,X,X,X,X,X,O,O,X,X
IZJLTSO,X,O,X,X,X,X,X,X,X,O,X,O,X
IZJLTOS,X,O,O,X,X,X,X,O,X,O,X,O,X
IZJLSTO,X,X,O,X,O,X,X,X,X,O,X,O,X
IZJLSOT,X,O,O,X,O,X,X,O,X,O,X,X,X
IZJLOTS,X,O,O,X,X,X,X,O,X,O,X,O,X
IZJLOST,X,O,O,X,X,X,X,O,X,O,X,X,X
IZJSTLO,X,X,X,X,O,X,X,X,X,O,X,X,X
IZJSTOL,X,X,X,X,O,X,X,X,X,O,X,X,X
IZJSLTO,X,X,O,X,O,X,X,X,X,O,X,O,X
IZJSLOT,X,O,O,X,O,X,X,O,X,O,X,X,X
IZJSOTL,X,X,X,X,O,X,X,X,X,O,O,X,X
IZJSOLT,X,X,O,X,O,X,X,O,X,O,O,X,X
IZJOTLS,X,X,X,X,X,X,X,O,X,O,X,X,X
IZJOTSL,X,X,X,X,X,X,X,X,X,O,O,X,X
IZJOLTS,X,O,O,X,X,X,X,O,X,O,X,O,X
IZJOLST,X,O,O,X,X,X,X,O,X,O,X,X,X
IZJOSTL,X,X,X,X,X,X,X,X,X,O,O,X,X
IZJOSLT,X,X,O,X,X,X,X,O,X,O,O,X,X
IZSTLJO,O,X,X,O,O,X,X,X,X,O,X,X,X
IZSTLOJ,O,X,X,O,O,X,X,X,X,O,O,X,X
IZSTJLO,O,X,X,O,O,X,X,X,X,O,X,X,X
IZSTJOL,X,X,X,O,O,X,X,X,X,O,O,X,X
IZSTOLJ,O,X,X,O,O,X,X,X,X,O,O,X,X
IZSTOJL,O,X,X,O,O,X,X,X,X,O,O,X,X
IZSLTJO,O,X,O,X,O,X,X,X,X,O,X,X,X
IZSLTOJ,O,X,O,X,O,X,X,X,X,O,X,X,X
IZSLJTO,O,X,O,X,O,X,X,X,X,O,X,X,X
IZSLJOT,O,O,O,X,O,X,X,O,X,O,X,X,X
IZSLOTJ,O,X,O,X,O,X,X,X,X,O,O,X,X
IZSLOJT,O,O,O,X,O,X,X,O,X,O,O,X,X
IZSJTLO,O,X,X,O,O,X,X,X,X,O,X,X,X
IZSJTOL,X,X,X,O,O,X,X,X,X,O,X,X,X
IZSJLTO,O,X,O,X,O,X,X,X,X,O,X,X,X
IZSJLOT,O,O,O,X,O,X,X,O,X,O,X,X,X
IZSJOTL,O,X,X,O,O,X,X,X,X,O,O,X,X
IZSJOLT,O,X,O,X,O,X,X,O,X,O,O,X,X
IZSOTLJ,O,X,X,O,O,X,X,X,X,O,O,X,X
IZSOTJL,O,X,X,O,O,X,X,X,X,O,O,X,X
IZSOLTJ,O,X,O,X,O,X,X,X,X,O,O,X,X
IZSOLJT,O,X,O,X,O,X,X,O,X,O,O,X,X
IZSOJTL,O,X,X,O,O,X,X,X,X,O,O,X,X
IZSOJLT,O,X,O,X,O,X,X,O,X,O,O,X,X
IZOTLJS,O,X,X,X,X,X,X,O,X,O,X,X,X
IZOTLSJ,O,X,X,O,X,X,X,O,X,O,O,X,X
IZOTJLS,O,X,X,X,X,X,X,O,X,O,X,X,X
IZOTJSL,X,X,X,O,X,X,X,O,X,O,O,X,X
IZOTSLJ,O,X,X,O,X,X,X,O,X,O,O,X,X
IZOTSJL,O,X,X,O,X,X,X,O,X,O,O,X,X
IZOLTJS,O,O,O,X,X,X,X,O,X,O,X,X,X
IZOLTSJ,O,X,O,X,X,X,X,O,X,O,O,X,X
IZOLJTS,O,O,O,X,X,X,X,O,X,O,X,X,X
IZOLJST,O,O,O,X,X,X,X,O,X,O,X,X,X
IZOLSTJ,O,X,O,X,X,X,X,X,X,O,O,X,X
IZOLSJT,O,O,O,X,X,X,X,O,X,O,O,X,X
IZOJTLS,X,X,X,X,X,X,X,O,X,O,X,X,X
IZOJTSL,X,X,X,X,X,X,X,X,X,O,O,X,X
IZOJLTS,O,O,O,X,X,X,X,O,X,O,X,X,X
IZOJLST,O,O,O,X,X,X,X,O,X,O,X,X,X
IZOJSTL,X,X,X,X,X,X,X,X,X,O,O,X,X
IZOJSLT,X,X,O,X,X,X,X,O,X,O,O,X,X
IZOSTLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
IZOSTJL,O,X,X,O,X,X,X,X,X,O,O,X,X
IZOSLTJ,O,X,O,X,X,X,X,X,X,O,O,X,X
IZOSLJT,O,X,O,X,X,X,X,O,X,O,O,X,X
IZOSJTL,O,X,X,O,X,X,X,X,X,O,O,X,X
IZOSJLT,O,X,O,X,X,X,X,O,X,O,O,X,X
IOTLJSZ,O,O,X,X,X,O,O,X,X,X,X,X,X
IOTLJZS,O,O,X,X,X,X,O,O,X,X,X,O,X
IOTLSJZ,O,O,X,O,X,O,O,X,X,X,X,X,X
IOTLSZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
IOTLZJS,O,O,X,X,X,X,O,O,X,X,X,X,O
IOTLZSJ,X,X,X,O,X,X,O,O,X,X,X,X,X
IOTJLSZ,O,O,X,X,X,O,O,X,X,X,X,X,X
IOTJLZS,O,O,X,X,X,X,O,O,X,X,X,O,X
IOTJSLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,X,X,X,O,O,X,O,X,O,X
IOTJZSL,X,X,X,O,X,X,O,O,X,O,X,X,X
IOTSLJZ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTSJLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTSZJL,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTZLJS,O,X,X,X,X,X,O,O,X,O,X,X,X
IOTZLSJ,O,X,X,O,X,X,O,O,X,O,X,X,X
IOTZJLS,O,X,X,X,X,X,O,O,X,O,X,X,X
IOTZJSL,X,X,X,O,X,X,O,O,X,O,X,X,X
IOTZSLJ,O,X,X,O,X,X,X,O,X,O,X,X,X
IOTZSJL,O,X,X,O,X,X,O,O,X,O,X,X,X
IOLTJSZ,O,O,O,X,X,O,X,X,X,X,X,X,X
IOLTJZS,O,O,O,X,X,X,X,O,X,X,X,X,X
IOLTSJZ,O,X,O,O,X,O,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,O,X,O,X,O,X,X,X,X,X
IOLTZJS,O,X,O,X,X,X,X,O,X,X,X,X,O
IOLTZSJ,X,X,O,O,X,X,X,O,X,X,X,X,X
IOLJTSZ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,O,O,X,X,X,X,O,X,X,X,X,X
IOLJSTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLJSZT,O,O,O,X,O,X,X,X,X,X,X,X,X
IOLJZTS,O,O,O,X,X,X,X,O,X,O,X,X,X
IOLJZST,O,O,O,X,X,X,X,O,X,O,X,X,X
IOLSTJZ,X,X,O,O,X,O,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,O,X,O,X,O,X,X,X,X,X
IOLSJTZ,O,O,O,O,X,O,X,X,X,X,X,X,X
IOLSJZT,O,O,O,X,O,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,O,X,O,O,X,X,X,X,X,X,X
IOLSZJT,X,X,O,X,O,X,X,O,X,X,X,X,X
IOLZTJS,O,X,O,X,X,X,X,O,X,O,X,X,X
IOLZTSJ,O,X,O,X,X,X,X,O,X,O,X,X,X
IOLZJTS,O,O,O,X,X,X,X,O,X,O,X,X,O
IOLZJST,O,O,O,X,X,X,X,O,X,O,X,X,X
IOLZSTJ,O,X,O,X,X,X,X,X,X,O,X,X,X
IOLZSJT,O,X,O,X,X,X,X,O,X,O,X,X,X
IOJTLSZ,O,O,X,X,X,X,O,X,X,X,X,X,X
IOJTLZS,O,O,X,X,X,X,O,O,X,X,X,X,X
IOJTSLZ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJTSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJTZLS,O,X,X,X,X,X,O,O,X,O,X,X,X
IOJTZSL,X,X,X,O,X,X,O,O,X,O,X,X,X
IOJLTSZ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,O,O,X,X,X,X,O,X,X,X,X,X
IOJLSTZ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOJLSZT,O,O,O,X,O,X,X,X,X,X,X,X,X
IOJLZTS,O,O,O,X,X,X,X,O,X,O,X,X,X
IOJLZST,O,O,O,X,X,X,X,O,X,O,X,X,X
IOJSTLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJSLZT,X,X,O,X,O,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,O,O,X,X,X,X,O,X,X,X
IOJSZLT,X,X,O,X,O,X,X,X,X,O,X,X,X
IOJZTLS,X,X,X,X,X,X,X,O,X,O,X,X,X
IOJZTSL,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJZLTS,O,O,O,X,X,X,X,O,X,O,X,O,X
IOJZLST,O,O,O,X,X,X,X,O,X,O,X,X,X
IOJZSTL,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJZSLT,X,X,O,X,X,X,X,O,X,O,X,X,X
IOSTLJZ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSTJLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSTZJL,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSLTJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,O,X,X,X,O,X,X,X,X,X
IOSLJTZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSLJZT,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSLZJT,X,X,O,X,O,X,X,O,X,X,X,X,X
IOSJTLZ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X
IOSJLZT,X,X,O,X,O,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,O,O,X,X,X,X,O,X,X,X
IOSJZLT,X,X,O,X,O,X,X,X,X,O,X,X,X
IOSZTLJ,X,X,X,O,O,X,X,X,X,O,X,X,X
IOSZTJL,X,X,X,O,O,X,X,X,X,O,X,X,X
IOSZLTJ,X,X,O,X,O,X,X,X,X,O,X,X,X
IOSZLJT,X,X,O,X,O,X,X,O,X,O,X,X,X
IOSZJTL,X,X,X,O,O,X,X,X,X,O,X,X,X
IOSZJLT,X,X,O,X,O,X,X,O,X,O,X,X,X
IOZTLJS,O,X,X,X,X,X,X,O,X,O,X,X,X
IOZTLSJ,O,X,X,O,X,X,X,O,X,O,O,X,X
IOZTJLS,O,X,X,X,X,X,X,O,X,O,X,X,X
IOZTJSL,X,X,X,O,X,X,X,O,X,O,O,X,X
IOZTSLJ,O,X,X,O,X,X,X,O,X,O,O,X,X
IOZTSJL,O,X,X,O,X,X,X,O,X,O,O,X,X
IOZLTJS,O,O,O,X,X,X,X,O,X,O,X,X,X
IOZLTSJ,O,X,O,X,X,X,X,O,X,O,O,X,X
IOZLJTS,O,O,O,X,X,X,X,O,X,O,X,X,X
IOZLJST,O,O,O,X,X,X,X,O,X,O,X,X,X
IOZLSTJ,O,X,O,X,X,X,X,X,X,O,O,X,X
IOZLSJT,O,O,O,X,X,X,X,O,X,O,O,X,X
IOZJTLS,X,X,X,X,X,X,X,O,X,O,X,X,X
IOZJTSL,X,X,X,X,X,X,X,X,X,O,O,X,X
IOZJLTS,O,O,O,X,X,X,X,O,X,O,X,X,X
IOZJLST,O,O,O,X,X,X,X,O,X,O,X,X,X
IOZJSTL,X,X,X,X,X,X,X,X,X,O,O,X,X
IOZJSLT,X,X,O,X,X,X,X,O,X,O,O,X,X
IOZSTLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
IOZSTJL,O,X,X,O,X,X,X,X,X,O,O,X,X
IOZSLTJ,O,X,O,X,X,X,X,X,X,O,O,X,X
IOZSLJT,O,X,O,X,X,X,X,O,X,O,O,X,X
IOZSJTL,O,X,X,O,X,X,X,X,X,O,O,X,X
IOZSJLT,O,X,O,X,X,X,X,O,X,O,O,X,X
LTIJSZO,O,X,X,X,O,O,O,X,X,X,X,O,X
LTIJSOZ,O,O,X,X,X,O,X,X,X,X,X,X,X
LTIJZSO,X,X,X,X,X,X,O,O,X,X,X,O,O
LTIJZOS,X,O,X,X,X,X,O,O,O,X,X,O,O
LTIJOSZ,O,O,O,X,X,O,O,X,O,X,X,X,X
LTIJOZS,O,O,O,X,X,X,O,O,O,X,X,O,X
LTISJZO,O,X,X,O,O,O,O,X,X,X,X,O,X
LTISJOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
LTISZJO,O,X,X,O,O,X,O,O,X,X,X,X,O
LTISZOJ,O,X,X,O,O,O,O,O,X,X,X,X,X
LTISOJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
LTISOZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
LTIZJSO,O,O,X,X,X,X,O,O,X,X,X,O,O
LTIZJOS,O,O,O,X,X,X,O,O,X,X,X,O,O
LTIZSJO,O,O,O,O,X,X,O,O,X,X,X,X,O
LTIZSOJ,O,O,O,O,X,X,O,O,X,X,X,X,X
LTIZOJS,O,O,O,X,X,X,O,O,O,X,X,X,O
LTIZOSJ,O,O,O,O,X,X,O,O,X,X,X,X,X
LTIOJSZ,O,O,O,X,X,O,O,X,O,X,X,X,X
LTIOJZS,O,O,O,X,X,X,O,O,O,X,X,O,X
LTIOSJZ,O,O,O,O,X,O,O,X,O,X,X,X,X
LTIOSZJ,O,X,X,O,X,O,O,O,X,X,X,X,X
LTIOZJS,O,O,O,X,X,X,O,O,O,X,X,X,O
LTIOZSJ,X,O,O,O,X,X,O,O,X,X,X,X,X
LTJISZO,O,X,X,X,O,O,O,X,X,X,X,O,X
LTJISOZ,O,O,X,X,X,O,X,X,X,X,X,X,X
LTJIZSO,X,X,X,X,X,X,O,X,X,X,X,O,O
LTJIZOS,X,O,X,X,X,X,O,X,O,X,X,O,O
LTJIOSZ,O,O,O,X,X,O,O,X,O,X,X,X,X
LTJIOZS,O,O,O,X,X,X,O,X,O,X,X,O,X
LTJSIZO,O,X,X,O,O,O,O,X,X,X,X,O,X
LTJSIOZ,O,O,O,O,X,O,X,X,X,X,X,X,X
LTJSZIO,O,X,O,O,X,O,O,X,X,X,X,O,X
LTJSZOI,X,X,O,O,X,O,X,X,O,X,X,X,X
LTJSOIZ,O,O,O,O,X,O,X,X,O,X,X,X,X
LTJSOZI,O,X,O,O,X,O,X,X,O,X,X,X,X
LTJZISO,X,O,X,X,X,X,O,O,X,X,X,O,O
LTJZIOS,X,O,O,X,X,X,O,O,O,X,X,O,O
LTJZSIO,X,O,O,O,X,O,O,O,X,X,X,O,O
LTJZSOI,X,O,O,O,X,O,X,X,O,X,X,X,X
LTJZOIS,X,O,O,X,X,X,O,O,O,X,X,O,O
LTJZOSI,X,O,O,O,X,O,O,X,O,X,X,X,X
LTJOISZ,O,O,O,X,X,O,O,X,O,X,X,X,X
