sequence,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFCe?BUgBFhBXjBTmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFGe?BUgBFhBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFqi?BTeBUgBFhBGrBXrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BqiBTeBllBXrBGrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BCeBFgBXjBUmBWwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BWjBFgBXjBCrBUrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFxb?BGeB1lBziBXmBSwB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjBCrBTrB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFWj?BUgBFhBXjB6rBzqB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Jex6IvhFTc?BuiBcjBFgBqqB/rB,v115@5gA8CeA8EeA8CeB8CeB8BeD8CeG8CeD8Je06IvhFGe?BylBziB5mBfrBlqB
TJIOSLZ,X,X,X,X,O,O,X,X,X,X,X
TJIOSZL,X,X,X,X,O,O,O,X,X,X,X
TJIOZLS,X,X,X,X,O,X,O,X,X,X,X
TJIOZSL,X,X,X,X,O,O,O,X,X,X,X
TJLISZO,X,X,X,X,O,O,O,X,X,X,X
TJLISOZ,X,X,X,X,O,O,X,X,X,X,X
TJLIZSO,X,X,O,X,O,O,O,O,X,X,X
TJLIZOS,X,X,O,X,O,O,O,O,X,X,X
TJLIOSZ,X,X,X,X,O,O,X,X,X,X,X
TJLIOZS,X,X,O,X,X,O,O,X,X,X,X
TJLSIZO,O,X,X,O,O,O,O,X,X,X,X
TJLSIOZ,X,X,X,O,O,O,X,X,X,X,X
TJLSZIO,O,X,O,O,O,O,O,O,X,X,X
TJLSZOI,O,X,O,O,O,O,X,O,X,X,X
TJLSOIZ,X,X,X,O,O,O,X,X,X,X,X
TJLSOZI,O,X,O,O,O,O,X,X,X,X,X
TJLZISO,O,X,O,X,O,O,O,O,O,X,X
TJLZIOS,X,X,O,O,O,O,O,O,X,X,X
TJLZSIO,O,X,O,O,O,O,O,O,O,X,X
TJLZSOI,O,X,O,O,O,O,X,O,O,X,X
TJLZOIS,X,X,O,O,O,O,O,O,X,X,X
TJLZOSI,X,X,O,O,O,O,X,O,X,X,X
TJLOISZ,X,X,X,X,O,O,X,X,X,X,X
TJLOIZS,X,X,O,X,X,O,O,X,X,X,X
TJLOSIZ,X,X,X,O,O,O,X,X,X,X,X
TJLOSZI,X,X,O,O,O,O,X,X,X,X,X
TJLOZIS,X,X,O,O,X,O,O,O,X,X,X
TJLOZSI,X,X,O,O,X,O,X,O,X,X,X
TJSILZO,O,X,X,X,O,X,X,X,X,X,X
TJSILOZ,X,X,X,X,O,X,X,X,X,X,X
TJSIZLO,O,X,X,X,O,X,X,X,X,X,X
TJSIZOL,O,X,X,X,O,X,O,X,X,X,X
TJSIOLZ,X,X,X,X,O,O,X,X,X,X,X
TJSIOZL,X,X,X,X,O,O,X,X,X,X,X
TJSLIZO,O,X,X,X,O,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,O,X,X,X,X,X,X
TJSLZIO,O,X,O,X,O,X,X,X,X,X,X
TJSLZOI,O,X,O,X,O,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,O,X,X,X,X,X,X
TJSLOZI,O,X,O,X,O,X,X,X,X,X,X
TJSZILO,O,X,O,X,O,X,X,O,O,X,X
TJSZIOL,O,X,X,X,O,X,O,O,O,X,X
TJSZLIO,O,X,O,X,O,X,X,O,O,X,X
TJSZLOI,O,X,O,X,O,X,X,O,O,X,X
TJSZOIL,O,X,X,X,O,X,X,O,O,X,X
TJSZOLI,O,X,X,X,O,X,X,O,O,X,X
TJSOILZ,X,X,X,X,O,O,X,X,X,X,X
TJSOIZL,X,X,X,X,O,O,X,X,X,X,X
TJSOLIZ,X,X,X,X,O,O,X,X,X,X,X
TJSOLZI,O,X,X,X,O,O,X,X,X,X,X
TJSOZIL,O,X,X,X,O,O,X,X,X,X,X
TJSOZLI,O,X,X,X,O,O,X,X,X,X,X
TJZILSO,O,X,O,X,O,X,O,O,O,X,X
TJZILOS,X,X,O,O,O,X,O,O,X,X,X
TJZISLO,O,X,O,X,O,X,X,O,O,X,X
TJZISOL,O,X,X,X,O,X,O,O,O,X,X
TJZIOLS,X,O,O,X,O,X,O,X,X,X,X
TJZIOSL,O,O,X,X,O,O,O,O,O,X,X
TJZLISO,O,X,O,X,O,X,O,O,O,X,X
TJZLIOS,X,X,O,O,O,X,O,O,X,X,X
TJZLSIO,O,X,O,O,O,X,O,O,O,X,X
TJZLSOI,O,X,O,O,O,X,X,O,O,X,X
TJZLOIS,X,X,O,O,O,X,O,O,X,X,X
TJZLOSI,X,X,O,O,O,X,X,O,X,X,X
TJZSILO,O,X,O,X,O,X,X,O,O,X,X
TJZSIOL,O,X,X,X,O,X,O,O,O,X,X
TJZSLIO,O,X,O,X,O,X,X,O,O,X,X
TJZSLOI,O,X,O,X,O,X,X,O,O,X,X
