sequence,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFxcByiB?WnBllBXrBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhF6hBZiB?zdBllB+sBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhFmdB3gB?1mB6nBzqBUsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFRiB3iB?6qBOrBlmBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhFmdB3gB?0mB6sBzqBFsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFzdB+mB?llB6sBZnBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFzdBWnB?llBxrBKsBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jel7IvhF3cBiiB?unBxlBzqBUsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je2BJvhFRdB3iB?llBcrBTsB6qB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFyiBWnB?llBxrBXrBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFyiBWnB?llBxrB0qBTsB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Je07IvhFmdBCiB?llBxrBTsBXrB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jex7IvhF8hBunB?llByrBzqB3sB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8Jel7IvhFylBRiB?UiBfsBusBzqB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFmdBCiB?llBxrBTsB0qB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeX8IvhFzhBllB?xrBusB0qBisB,v115@zgB8GeD8FeC8FeE8EeE8BeA8BeB8JeT8IvhF1lB3iB?SrBZnBusB0qB
ZLJOIST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOSTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLJOSIT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTIJO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLSTIOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLSTJIO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSTJOI,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLSTOIJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTOJI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSITJO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLSITOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLSIJTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSIJOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIOTJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSIOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJTIO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSJTOI,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLSJITO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSJIOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJOIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOTIJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSOTJI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSOITJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSOIJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOJTI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSOJIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTIJS,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
ZLOTISJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLOTJIS,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLOTJSI,O,O,O,X,O,O,X,O,O,X,X,X,O,X,X,X,X
ZLOTSIJ,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLOTSJI,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
ZLOITJS,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLOITSJ,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLOIJTS,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLOIJST,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLOISTJ,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLOISJT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLOJTIS,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLOJTSI,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X
ZLOJITS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJSTI,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLOJSIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSTIJ,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLOSTJI,O,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLOSITJ,O,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLOSIJT,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSJTI,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLOSJIT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTILSO,X,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X
ZJTILOS,X,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJTISLO,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
ZJTISOL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTIOLS,X,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X
ZJTIOSL,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJTLISO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTLIOS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJTLSIO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJTLSOI,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
ZJTLOIS,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJTLOSI,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJTSILO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSLIO,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSLOI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSOIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSOLI,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTOILS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJTOISL,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJTOLIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTOLSI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJTOSIL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJTOSLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJITLSO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJITLOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJITSLO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJITSOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJITOLS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJITOSL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJILTSO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJILTOS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJILSTO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJILSOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJILOTS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJILOST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJISTLO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJISTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJISLTO,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJISLOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJISOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJISOLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOTLS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOTSL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOLTS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOLST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOSTL,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOSLT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTISO,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLTIOS,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJLTSIO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJLTSOI,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
ZJLTOIS,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJLTOSI,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJLITSO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJLITOS,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLISTO,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJLISOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLIOTS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLIOST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSTIO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJLSTOI,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJLSITO,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJLSIOT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSOIT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOTIS,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJLOTSI,X,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X
ZJLOITS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOIST,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOSTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJLOSIT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTILO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTLOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTOIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTOLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSITOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSILTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSILOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSIOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSIOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLTOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLIOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOITL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTILS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJOTISL,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X
ZJOTLIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOTLSI,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZJOTSIL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJOTSLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJOITLS,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOITSL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOILTS,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOILST,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOISTL,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOISLT,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOLTIS,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJOLTSI,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZJOLITS,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLSTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJOLSIT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSTIL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJOSTLI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJOSITL,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZJOSILT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSLIT,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTILJO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZSTILOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSTIJLO,O,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X
ZSTIJOL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSTIOLJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
ZSTIOJL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZSTLIJO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSTLIOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSTLJIO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSTLJOI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSTLOIJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSTLOJI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSTJILO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJLIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTJLOI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTJOIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJOLI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTOILJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOIJL,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSTOLIJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOLJI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSTOJIL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOJLI,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSITLJO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSITLOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSITJLO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSITJOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITOLJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSITOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILTJO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZSILTOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZSILJTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSILJOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSILOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTLO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSIJTOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJLTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSIJLOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOTLJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSIOTJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOLTJ,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZSIOLJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOJTL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOJLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTIJO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZSLTIOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZSLTJIO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLTJOI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLTOIJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTOJI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLITJO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZSLITOJ,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZSLIJTO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLIJOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIOTJ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLIOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJTIO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLJTOI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLJITO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLJIOT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJOIT,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOTIJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLOTJI,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLOITJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLOIJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOJTI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLOJIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTILO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTLIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTLOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTOIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTOLI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJITLO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJITOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJILTO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJILOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJIOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJIOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLITO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLIOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLOTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLOIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOTIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOTLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOITL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJOLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOTILJ,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZSOTIJL,O,X,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
ZSOTLIJ,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZSOTLJI,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSOTJIL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSOTJLI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSOITLJ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZSOITJL,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZSOILTJ,O,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
ZSOILJT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSOIJTL,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZSOIJLT,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSOLTIJ,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZSOLTJI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X
ZSOLITJ,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZSOLIJT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOLJTI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSOLJIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOJTIL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSOJTLI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSOJITL,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSOJILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOJLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSOJLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZOTILJS,O,X,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X
ZOTILSJ,O,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
ZOTIJLS,O,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X,X
ZOTIJSL,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X
ZOTISLJ,O,X,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X
ZOTISJL,X,X,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X
ZOTLIJS,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X
ZOTLISJ,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZOTLJIS,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZOTLJSI,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
ZOTLSIJ,O,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X
ZOTLSJI,O,X,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
ZOTJILS,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
