sequence,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhF6hBZiBGeBz?iBllBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeX8IvhFZiBqiBTeB+?mBllB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhFZiBqiBTeB+?mBllBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Je07IvhFSiBTeBllBR?nBmmBXrB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Jem7IvhFRdBcjB1lBC?iBXnBzqB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeT8IvhFxdBOnBXjBl?lBcrB6qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8Jel7IvhFqiBTeBmhB3?hBRrB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeqCJvhFTeBRhBllB3?mBmmB0qB,v115@zgB8HeC8GeB8GeD8DeF8BeE8JeX8IvhFZiBSjB+mBz?iBllB0qB
LTZSOIJ,O,X,X,X,O,X,X,O,X
LTZSOJI,O,O,O,X,O,X,X,X,X
LTZOIJS,O,X,O,O,X,X,O,X,X
LTZOISJ,O,X,X,O,X,X,O,O,X
LTZOJIS,O,O,O,X,X,X,X,X,X
LTZOJSI,O,O,O,X,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,X,X,O,X
LTZOSJI,O,O,O,X,X,X,X,X,X
LTOIJSZ,X,O,O,O,X,X,O,O,X
LTOIJZS,O,O,O,O,X,X,O,X,X
LTOISJZ,X,O,X,O,X,X,O,O,X
LTOISZJ,X,X,X,O,X,X,O,O,X
LTOIZJS,O,X,O,O,X,X,O,X,X
LTOIZSJ,O,X,X,O,X,X,O,O,X
LTOJISZ,X,O,O,X,X,X,O,O,O
LTOJIZS,O,O,O,X,X,X,O,X,X
LTOJSIZ,X,O,O,X,X,X,X,O,O
LTOJSZI,X,O,O,X,X,X,X,X,X
LTOJZIS,O,O,O,X,X,X,X,X,X
LTOJZSI,O,O,O,X,X,X,X,X,X
LTOSIJZ,X,O,X,X,X,X,O,O,X
LTOSIZJ,X,X,X,X,X,X,O,O,X
LTOSJIZ,X,O,O,X,X,X,X,O,O
LTOSJZI,X,O,O,X,X,X,X,X,X
LTOSZIJ,X,X,X,X,X,X,X,O,X
LTOSZJI,X,O,O,X,X,X,X,X,X
LTOZIJS,O,X,O,O,X,X,O,X,X
LTOZISJ,O,X,X,O,X,X,O,O,X
LTOZJIS,O,O,O,X,X,X,X,X,X
LTOZJSI,O,O,O,X,X,X,X,X,X
LTOZSIJ,O,X,X,X,X,X,X,O,X
LTOZSJI,O,O,O,X,X,X,X,X,X
LITJSZO,X,O,O,O,X,X,X,X,O
LITJSOZ,X,O,O,O,X,X,O,X,O
LITJZSO,O,O,O,X,X,X,O,X,O
LITJZOS,O,O,O,O,X,X,O,X,X
LITJOSZ,X,O,O,O,X,X,O,O,O
LITJOZS,X,O,O,O,X,X,O,X,X
LITSJZO,X,O,X,O,X,X,X,X,O
LITSJOZ,X,O,X,O,X,X,O,O,O
LITSZJO,X,X,X,O,X,X,O,X,X
LITSZOJ,X,X,X,O,X,X,O,O,X
LITSOJZ,X,O,X,O,X,X,O,O,X
LITSOZJ,X,X,X,O,X,X,O,O,X
LITZJSO,O,X,O,X,X,X,O,X,X
LITZJOS,O,X,O,O,X,X,O,X,X
LITZSJO,O,X,X,O,X,X,O,X,X
LITZSOJ,O,X,X,O,X,X,O,X,X
LITZOJS,O,X,O,O,X,X,O,X,X
LITZOSJ,O,X,X,O,X,X,O,O,X
LITOJSZ,X,O,O,O,X,X,O,O,X
LITOJZS,O,O,O,O,X,X,O,X,X
LITOSJZ,X,O,X,O,X,X,O,O,X
LITOSZJ,X,X,X,O,X,X,O,O,X
LITOZJS,O,X,O,O,X,X,O,X,X
LITOZSJ,O,X,X,O,X,X,O,O,X
LIJTSZO,X,O,O,O,X,X,X,X,O
LIJTSOZ,X,O,O,O,X,X,O,X,O
LIJTZSO,O,O,O,X,X,X,O,X,O
LIJTZOS,O,O,O,O,X,X,O,X,X
LIJTOSZ,X,O,O,O,X,X,O,X,O
LIJTOZS,X,O,O,O,X,X,O,X,X
LIJSTZO,O,O,O,O,X,X,X,X,O
LIJSTOZ,O,O,O,O,X,X,O,X,O
LIJSZTO,O,X,X,X,X,X,X,X,O
LIJSZOT,O,O,X,X,X,X,X,X,O
LIJSOTZ,X,O,O,O,X,X,O,X,O
LIJSOZT,O,O,X,X,X,X,X,X,O
LIJZTSO,X,O,O,X,X,X,O,X,O
LIJZTOS,O,O,O,X,X,X,O,X,X
LIJZSTO,X,X,X,X,X,X,O,X,O
LIJZSOT,O,O,X,X,X,X,O,X,O
LIJZOTS,O,O,O,X,X,X,O,X,X
LIJZOST,O,O,X,X,X,X,O,X,X
LIJOTSZ,X,O,O,O,X,X,O,X,O
LIJOTZS,X,O,O,O,X,X,O,X,X
LIJOSTZ,X,O,O,O,X,X,O,X,O
LIJOSZT,X,O,X,X,X,X,X,X,O
LIJOZTS,X,O,O,X,X,X,O,X,X
LIJOZST,X,O,X,X,X,X,O,X,X
LISTJZO,O,X,X,O,X,X,X,X,X
LISTJOZ,O,X,X,O,X,X,O,O,X
LISTZJO,O,X,X,O,X,X,O,X,X
LISTZOJ,O,X,X,O,X,X,O,O,X
LISTOJZ,O,X,X,O,X,X,O,O,X
LISTOZJ,O,X,X,O,X,X,O,O,X
LISJTZO,O,O,O,O,X,X,X,X,O
LISJTOZ,O,O,O,O,X,X,O,X,O
LISJZTO,O,X,X,X,X,X,X,X,O
LISJZOT,O,O,X,X,X,X,X,X,O
LISJOTZ,O,O,O,O,X,X,O,O,O
LISJOZT,O,O,X,X,X,X,X,X,O
LISZTJO,O,X,X,O,X,X,O,X,X
LISZTOJ,O,X,X,O,X,X,O,X,X
LISZJTO,O,X,X,X,X,X,O,X,X
LISZJOT,O,X,X,X,X,X,O,X,X
LISZOTJ,O,X,X,O,X,X,O,O,X
LISZOJT,O,X,X,X,X,X,O,X,X
LISOTJZ,O,X,X,O,X,X,O,O,X
LISOTZJ,O,X,X,O,X,X,O,O,X
LISOJTZ,O,O,O,O,X,X,O,O,X
LISOJZT,O,O,X,X,X,X,X,X,X
LISOZTJ,O,X,X,O,X,X,O,O,X
LISOZJT,O,X,X,X,X,X,O,X,X
LIZTJSO,X,X,O,X,X,X,O,X,X
LIZTJOS,O,X,O,O,X,X,O,X,X
LIZTSJO,X,X,X,O,X,X,O,X,X
LIZTSOJ,X,X,X,O,X,X,O,X,X
LIZTOJS,O,X,O,O,X,X,O,X,X
LIZTOSJ,X,X,X,O,X,X,O,X,X
LIZJTSO,X,O,O,X,X,X,O,X,O
LIZJTOS,O,O,O,X,X,X,O,X,X
LIZJSTO,X,X,X,X,X,X,O,X,O
LIZJSOT,O,O,X,X,X,X,O,X,O
LIZJOTS,O,O,O,X,X,X,O,X,X
LIZJOST,O,O,X,X,X,X,O,X,X
LIZSTJO,X,X,X,O,X,X,O,X,X
LIZSTOJ,X,X,X,O,X,X,O,X,X
LIZSJTO,X,X,X,X,X,X,O,X,X
LIZSJOT,O,X,X,X,X,X,O,X,X
LIZSOTJ,X,X,X,O,X,X,O,X,X
LIZSOJT,O,X,X,X,X,X,O,X,X
LIZOTJS,O,X,O,O,X,X,O,X,X
LIZOTSJ,X,X,X,O,X,X,O,X,X
LIZOJTS,O,O,O,X,X,X,O,X,X
LIZOJST,O,O,X,X,X,X,O,X,X
LIZOSTJ,X,X,X,O,X,X,O,X,X
LIZOSJT,O,X,X,X,X,X,O,X,X
LIOTJSZ,X,O,O,O,X,X,O,O,X
LIOTJZS,O,O,O,O,X,X,O,X,X
LIOTSJZ,X,O,X,O,X,X,O,O,X
LIOTSZJ,X,X,X,O,X,X,O,O,X
LIOTZJS,O,X,O,O,X,X,O,X,X
LIOTZSJ,O,X,X,O,X,X,O,O,X
LIOJTSZ,X,O,O,O,X,X,O,X,O
LIOJTZS,O,O,O,O,X,X,O,X,X
LIOJSTZ,O,O,O,O,X,X,O,X,O
LIOJSZT,O,O,X,X,X,X,X,X,O
LIOJZTS,O,O,O,X,X,X,O,X,X
LIOJZST,O,O,X,X,X,X,O,X,X
LIOSTJZ,O,X,X,O,X,X,O,O,X
LIOSTZJ,O,X,X,O,X,X,O,O,X
LIOSJTZ,O,O,O,O,X,X,O,O,X
LIOSJZT,O,O,X,X,X,X,X,X,X
LIOSZTJ,O,X,X,O,X,X,O,O,X
LIOSZJT,O,X,X,X,X,X,O,X,X
LIOZTJS,O,X,O,O,X,X,O,X,X
LIOZTSJ,X,X,X,O,X,X,O,X,X
LIOZJTS,O,O,O,X,X,X,O,X,X
LIOZJST,O,O,X,X,X,X,O,X,X
LIOZSTJ,X,X,X,O,X,X,O,X,X
LIOZSJT,O,X,X,X,X,X,O,X,X
LJTISZO,X,O,O,X,X,X,X,X,O
LJTISOZ,X,O,O,X,X,X,O,X,O
LJTIZSO,O,O,O,X,X,X,O,X,O
LJTIZOS,O,O,O,X,X,X,O,X,X
LJTIOSZ,X,O,O,X,X,X,O,O,O
LJTIOZS,X,O,O,X,X,X,O,X,X
LJTSIZO,X,O,O,X,O,X,X,X,O
LJTSIOZ,X,O,O,X,X,X,X,O,O
LJTSZIO,X,O,O,X,O,X,X,X,O
LJTSZOI,X,O,O,X,O,X,X,X,X
LJTSOIZ,X,O,O,X,X,X,X,O,O
LJTSOZI,X,O,O,X,O,X,X,X,X
LJTZISO,O,O,O,X,O,X,X,X,O
LJTZIOS,O,O,O,X,X,X,X,X,X
LJTZSIO,O,O,O,X,O,X,X,X,O
LJTZSOI,X,O,O,X,O,X,X,X,X
LJTZOIS,O,O,O,X,X,X,X,X,X
LJTZOSI,O,O,O,X,X,X,X,X,X
LJTOISZ,X,O,O,X,X,X,O,O,O
LJTOIZS,O,O,O,X,X,X,O,X,X
LJTOSIZ,X,O,O,X,X,X,X,O,O
LJTOSZI,X,O,O,X,X,X,X,X,X
LJTOZIS,O,O,O,X,X,X,X,X,X
LJTOZSI,O,O,O,X,X,X,X,X,X
LJITSZO,X,O,O,X,X,X,X,X,O
LJITSOZ,X,O,O,X,X,X,O,X,O
LJITZSO,O,O,O,X,X,X,O,X,O
LJITZOS,O,O,O,X,X,X,O,X,X
LJITOSZ,X,O,O,X,X,X,O,X,O
LJITOZS,X,O,O,X,X,X,O,X,X
LJISTZO,O,O,O,X,X,X,X,X,O
LJISTOZ,O,O,O,X,X,X,O,X,O
LJISZTO,O,X,X,X,X,X,X,X,O
LJISZOT,O,O,X,X,X,X,X,X,O
LJISOTZ,X,O,O,X,X,X,O,X,O
LJISOZT,O,O,X,X,X,X,X,X,O
LJIZTSO,X,O,O,X,X,X,O,X,O
LJIZTOS,O,O,O,X,X,X,O,X,X
LJIZSTO,X,X,X,X,X,X,O,X,O
LJIZSOT,O,O,X,X,X,X,O,X,O
LJIZOTS,O,O,O,X,X,X,O,X,X
LJIZOST,O,O,X,X,X,X,O,X,X
LJIOTSZ,X,O,O,X,X,X,O,X,O
LJIOTZS,X,O,O,X,X,X,O,X,X
LJIOSTZ,X,O,O,X,X,X,O,X,O
LJIOSZT,X,O,X,X,X,X,X,X,O
LJIOZTS,X,O,O,X,X,X,O,X,X
LJIOZST,X,O,X,X,X,X,O,X,X
LJSTIZO,O,O,O,X,X,X,X,X,O
LJSTIOZ,O,O,O,X,X,X,X,O,O
LJSTZIO,O,O,O,X,X,X,X,X,O
LJSTZOI,O,O,O,X,X,X,X,X,X
LJSTOIZ,O,O,O,X,X,X,X,O,O
LJSTOZI,O,O,O,X,X,X,X,X,X
LJSITZO,O,O,O,X,X,X,X,X,O
LJSITOZ,O,O,O,X,X,X,X,X,O
LJSIZTO,O,X,X,X,X,O,X,X,O
LJSIZOT,O,O,X,X,X,X,X,X,O
LJSIOTZ,X,O,O,X,X,X,X,O,O
LJSIOZT,O,O,X,X,X,X,X,X,O
LJSZTIO,O,X,X,X,X,O,X,X,X
LJSZTOI,X,X,X,X,X,O,X,X,X
LJSZITO,O,X,X,X,X,O,X,X,O
LJSZIOT,O,O,X,X,X,X,X,X,O
LJSZOTI,O,X,X,X,X,X,X,X,X
LJSZOIT,O,O,X,X,X,X,X,X,X
LJSOTIZ,O,O,O,X,X,X,X,O,X
LJSOTZI,O,O,O,X,X,X,X,X,X
LJSOITZ,O,O,O,X,X,X,X,O,O
LJSOIZT,O,O,X,X,X,X,X,X,O
LJSOZTI,O,X,X,X,X,X,X,X,X
LJSOZIT,O,O,X,X,X,X,X,X,X
LJZTISO,O,O,O,X,O,X,X,X,O
LJZTIOS,O,O,O,X,X,X,X,X,X
LJZTSIO,O,O,O,X,O,O,X,X,O
LJZTSOI,X,O,O,X,O,O,X,X,X
LJZTOIS,O,O,O,X,X,X,X,X,X
LJZTOSI,O,O,O,X,X,O,X,X,X
LJZITSO,X,O,O,X,O,X,X,X,O
LJZITOS,O,O,O,X,X,X,X,X,X
LJZISTO,X,X,X,X,X,X,X,X,O
LJZISOT,O,O,X,X,X,X,X,X,O
LJZIOTS,O,O,O,X,X,X,X,X,X
LJZIOST,O,O,X,X,X,X,X,X,X
LJZSTIO,O,X,X,X,X,O,X,X,X
LJZSTOI,X,X,X,X,X,O,X,X,X
LJZSITO,O,X,X,X,X,O,X,X,O
LJZSIOT,O,O,X,X,X,X,X,X,O
LJZSOTI,O,X,X,X,X,X,X,X,X
LJZSOIT,O,O,X,X,X,X,X,X,X
LJZOTIS,O,O,O,X,X,X,X,X,X
LJZOTSI,O,O,O,X,X,X,X,X,X
LJZOITS,O,O,O,X,X,X,X,X,X
LJZOIST,O,O,X,X,X,X,X,X,X
LJZOSTI,O,X,X,X,X,X,X,X,X
LJZOSIT,O,O,X,X,X,X,X,X,X
LJOTISZ,X,O,O,X,X,X,O,O,O
LJOTIZS,O,O,O,X,X,X,O,X,X
LJOTSIZ,X,O,O,X,X,X,X,O,O
LJOTSZI,X,O,O,X,X,X,X,X,X
LJOTZIS,O,O,O,X,X,X,X,X,X
LJOTZSI,O,O,O,X,X,X,X,X,X
LJOITSZ,X,O,O,X,X,X,O,X,O
LJOITZS,O,O,O,X,X,X,O,X,X
LJOISTZ,O,O,O,X,X,X,O,X,O
LJOISZT,O,O,X,X,X,X,X,X,O
LJOIZTS,O,O,O,X,X,X,O,X,X
LJOIZST,O,O,X,X,X,X,O,X,X
LJOSTIZ,O,O,O,X,X,X,X,O,X
LJOSTZI,O,O,O,X,X,X,X,X,X
LJOSITZ,O,O,O,X,X,X,X,O,O
LJOSIZT,O,O,X,X,X,X,X,X,O
LJOSZTI,O,X,X,X,X,X,X,X,X
LJOSZIT,O,O,X,X,X,X,X,X,X
LJOZTIS,O,O,O,X,X,X,X,X,X
LJOZTSI,O,O,O,X,X,X,X,X,X
LJOZITS,O,O,O,X,X,X,X,X,X
LJOZIST,O,O,X,X,X,X,X,X,X
LJOZSTI,O,X,X,X,X,X,X,X,X
LJOZSIT,O,O,X,X,X,X,X,X,X
LSTIJZO,O,O,X,O,O,X,X,X,O
LSTIJOZ,O,O,X,O,X,X,O,O,O
LSTIZJO,O,X,X,O,O,X,O,X,X
LSTIZOJ,O,X,X,O,O,X,O,O,X
LSTIOJZ,O,O,X,O,X,X,O,O,X
LSTIOZJ,O,X,X,O,X,X,O,O,X
LSTJIZO,O,O,O,X,O,X,X,X,O
LSTJIOZ,O,O,O,X,X,X,X,O,O
LSTJZIO,O,O,O,X,O,X,X,X,O
LSTJZOI,O,O,O,X,O,X,X,X,X
LSTJOIZ,O,O,O,X,X,X,X,O,O
LSTJOZI,O,O,O,X,O,X,X,X,X
LSTZIJO,O,X,X,O,O,X,X,X,X
LSTZIOJ,O,X,X,O,O,X,X,O,X
LSTZJIO,O,O,O,X,O,X,X,X,O
LSTZJOI,O,O,O,X,O,X,X,X,X
LSTZOIJ,O,X,X,O,O,X,X,O,X
LSTZOJI,O,O,O,X,O,X,X,X,X
LSTOIJZ,O,O,X,O,O,X,O,O,X
LSTOIZJ,O,X,X,O,O,X,O,O,X
LSTOJIZ,O,O,O,X,O,X,X,O,O
LSTOJZI,O,O,O,X,O,X,X,X,X
LSTOZIJ,O,X,X,O,O,X,X,O,X
LSTOZJI,O,O,O,X,O,X,X,X,X
LSITJZO,O,X,X,O,O,X,X,X,X
LSITJOZ,O,X,X,O,X,X,O,O,X
LSITZJO,O,X,X,O,O,X,O,X,X
LSITZOJ,O,X,X,O,O,X,O,O,X
LSITOJZ,O,X,X,O,X,X,O,O,X
LSITOZJ,O,X,X,O,X,X,O,O,X
LSIJTZO,O,O,O,O,X,X,X,X,O
LSIJTOZ,O,O,O,O,X,X,O,X,O
LSIJZTO,O,X,X,X,X,O,X,X,O
LSIJZOT,O,O,X,X,X,X,X,X,O
LSIJOTZ,O,O,O,O,X,X,O,O,O
LSIJOZT,O,O,X,X,X,X,X,X,O
LSIZTJO,O,X,X,O,O,X,O,X,X
LSIZTOJ,O,X,X,O,O,X,O,X,X
LSIZJTO,O,X,X,X,O,X,O,X,X
LSIZJOT,O,X,X,X,O,X,O,X,X
LSIZOTJ,O,X,X,O,O,X,O,O,X
LSIZOJT,O,X,X,X,O,X,O,X,X
LSIOTJZ,O,X,X,O,O,X,O,O,X
LSIOTZJ,O,X,X,O,O,X,O,O,X
LSIOJTZ,O,O,O,O,X,X,O,O,X
LSIOJZT,O,O,X,X,X,X,X,X,X
LSIOZTJ,O,X,X,O,O,X,O,O,X
LSIOZJT,O,X,X,X,O,X,O,X,X
LSJTIZO,O,O,O,X,O,X,X,X,O
LSJTIOZ,O,O,O,X,X,X,X,O,O
LSJTZIO,O,O,O,X,O,X,X,X,O
LSJTZOI,O,O,O,X,O,X,X,X,X
LSJTOIZ,O,O,O,X,X,X,X,O,O
LSJTOZI,O,O,O,X,O,X,X,X,X
LSJITZO,O,O,O,X,X,X,X,X,O
LSJITOZ,O,O,O,X,X,X,X,X,O
LSJIZTO,O,X,X,X,X,O,X,X,O
LSJIZOT,O,O,X,X,X,X,X,X,O
LSJIOTZ,O,O,O,X,X,X,X,O,O
LSJIOZT,O,O,X,X,X,X,X,X,O
LSJZTIO,O,X,X,X,O,O,X,X,X
LSJZTOI,X,X,X,X,O,O,X,X,X
LSJZITO,O,X,X,X,O,O,X,X,O
LSJZIOT,O,O,X,X,O,X,X,X,O
LSJZOTI,O,X,X,X,O,X,X,X,X
LSJZOIT,O,O,X,X,O,X,X,X,X
LSJOTIZ,O,O,O,X,O,X,X,O,X
LSJOTZI,O,O,O,X,O,X,X,X,X
LSJOITZ,O,O,O,X,X,X,X,O,O
LSJOIZT,O,O,X,X,X,X,X,X,O
LSJOZTI,O,X,X,X,O,X,X,X,X
LSJOZIT,O,O,X,X,O,X,X,X,X
LSZTIJO,O,X,X,X,O,X,X,X,X
LSZTIOJ,O,X,X,X,O,X,X,O,X
LSZTJIO,O,X,O,X,O,O,X,X,X
LSZTJOI,X,X,O,X,O,O,X,X,X
LSZTOIJ,O,X,X,X,O,X,X,O,X
LSZTOJI,O,X,O,X,O,O,X,X,X
LSZITJO,O,X,X,X,O,X,X,X,X
LSZITOJ,O,X,X,X,O,X,X,X,X
LSZIJTO,O,X,X,X,O,X,X,X,X
LSZIJOT,O,X,X,X,O,X,X,X,X
LSZIOTJ,O,X,X,X,O,X,X,O,X
LSZIOJT,O,X,X,X,O,X,X,X,X
LSZJTIO,O,X,X,X,O,O,X,X,X
LSZJTOI,X,X,X,X,O,O,X,X,X
LSZJITO,O,X,X,X,O,O,X,X,X
LSZJIOT,O,X,X,X,O,X,X,X,X
LSZJOTI,O,X,X,X,O,X,X,X,X
LSZJOIT,O,X,X,X,O,X,X,X,X
LSZOTIJ,O,X,X,X,O,X,X,O,X
LSZOTJI,O,X,O,X,O,X,X,X,X
LSZOITJ,O,X,X,X,O,X,X,O,X
LSZOIJT,O,X,X,X,O,X,X,X,X
LSZOJTI,O,X,X,X,O,X,X,X,X
LSZOJIT,O,X,X,X,O,X,X,X,X
LSOTIJZ,O,O,X,O,O,X,O,O,X
LSOTIZJ,O,X,X,O,O,X,O,O,X
LSOTJIZ,O,O,O,X,O,X,X,O,X
LSOTJZI,O,O,O,X,O,X,X,X,X
LSOTZIJ,O,X,X,O,O,X,X,O,X
LSOTZJI,O,O,O,X,O,X,X,X,X
LSOITJZ,O,X,X,O,O,X,O,O,X
LSOITZJ,O,X,X,O,O,X,O,O,X
LSOIJTZ,O,O,O,O,X,X,O,O,X
LSOIJZT,O,O,X,X,X,X,X,X,X
LSOIZTJ,O,X,X,O,O,X,O,O,X
LSOIZJT,O,X,X,X,O,X,O,X,X
LSOJTIZ,O,O,O,X,O,X,X,O,X
LSOJTZI,O,O,O,X,O,X,X,X,X
LSOJITZ,O,O,O,X,X,X,X,O,X
LSOJIZT,O,O,X,X,X,X,X,X,X
LSOJZTI,O,X,X,X,O,X,X,X,X
LSOJZIT,O,O,X,X,O,X,X,X,X
LSOZTIJ,O,X,X,X,O,X,X,O,X
LSOZTJI,O,X,O,X,O,X,X,X,X
LSOZITJ,O,X,X,X,O,X,X,O,X
LSOZIJT,O,X,X,X,O,X,X,X,X
LSOZJTI,O,X,X,X,O,X,X,X,X
LSOZJIT,O,X,X,X,O,X,X,X,X
LZTIJSO,O,X,O,X,O,X,O,X,X
LZTIJOS,O,X,O,O,X,X,O,X,X
LZTISJO,O,X,X,X,X,X,O,X,X
LZTISOJ,O,X,X,O,X,X,O,X,X
LZTIOJS,O,X,O,O,X,X,O,X,X
LZTIOSJ,O,X,X,O,X,X,O,O,X
LZTJISO,O,O,O,X,O,X,X,X,O
LZTJIOS,O,O,O,X,X,X,X,X,X
LZTJSIO,O,O,O,X,O,O,X,X,O
LZTJSOI,X,O,O,X,O,O,X,X,X
LZTJOIS,O,O,O,X,X,X,X,X,X
LZTJOSI,O,O,O,X,X,O,X,X,X
LZTSIJO,O,X,X,X,O,X,X,X,X
LZTSIOJ,O,X,X,X,O,X,X,O,X
LZTSJIO,O,O,O,X,O,O,X,X,O
LZTSJOI,X,O,O,X,O,O,X,X,X
LZTSOIJ,O,X,X,X,O,X,X,O,X
LZTSOJI,O,O,O,X,O,O,X,X,X
LZTOIJS,O,X,O,O,X,X,O,X,X
LZTOISJ,O,X,X,O,X,X,O,O,X
LZTOJIS,O,O,O,X,X,X,X,X,X
LZTOJSI,O,O,O,X,X,O,X,X,X
LZTOSIJ,O,X,X,X,X,X,X,O,X
LZTOSJI,O,O,O,X,X,O,X,X,X
LZITJSO,X,X,O,X,O,X,O,X,X
LZITJOS,O,X,O,X,X,X,O,X,X
LZITSJO,X,X,X,X,X,X,O,X,X
LZITSOJ,X,X,X,X,X,X,O,X,X
LZITOJS,O,X,O,X,X,X,O,X,X
LZITOSJ,X,X,X,X,X,X,O,X,X
LZIJTSO,X,O,O,X,O,X,O,X,O
LZIJTOS,O,O,O,X,X,X,O,X,X
LZIJSTO,X,X,X,X,X,X,O,X,O
LZIJSOT,O,O,X,X,X,X,O,X,O
LZIJOTS,O,O,O,X,X,X,O,X,X
LZIJOST,O,O,X,X,X,X,O,X,X
LZISTJO,X,X,X,X,O,X,O,X,X
LZISTOJ,X,X,X,X,O,X,O,X,X
LZISJTO,X,X,X,X,O,X,O,X,X
LZISJOT,O,X,X,X,O,X,O,X,X
LZISOTJ,X,X,X,X,O,X,O,X,X
LZISOJT,O,X,X,X,O,X,O,X,X
LZIOTJS,O,X,O,X,O,X,O,X,X
LZIOTSJ,X,X,X,X,X,X,O,X,X
LZIOJTS,O,O,O,X,X,X,O,X,X
LZIOJST,O,O,X,X,X,X,O,X,X
LZIOSTJ,X,X,X,X,O,X,O,X,X
LZIOSJT,O,X,X,X,O,X,O,X,X
LZJTISO,O,O,O,X,O,X,X,X,O
LZJTIOS,O,O,O,X,X,X,X,X,X
LZJTSIO,O,O,O,X,O,O,X,X,O
LZJTSOI,X,O,O,X,O,O,X,X,X
LZJTOIS,O,O,O,X,X,X,X,X,X
LZJTOSI,O,O,O,X,X,O,X,X,X
LZJITSO,X,O,O,X,O,X,X,X,O
LZJITOS,O,O,O,X,X,X,X,X,X
LZJISTO,X,X,X,X,X,X,X,X,O
LZJISOT,O,O,X,X,X,X,X,X,O
LZJIOTS,O,O,O,X,X,X,X,X,X
LZJIOST,O,O,X,X,X,X,X,X,X
LZJSTIO,O,X,X,X,X,O,X,X,X
LZJSTOI,X,X,X,X,X,O,X,X,X
LZJSITO,O,X,X,X,X,O,X,X,O
LZJSIOT,O,O,X,X,X,X,X,X,O
LZJSOTI,O,X,X,X,X,X,X,X,X
LZJSOIT,O,O,X,X,X,X,X,X,X
LZJOTIS,O,O,O,X,X,X,X,X,X
LZJOTSI,O,O,O,X,X,X,X,X,X
LZJOITS,O,O,O,X,X,X,X,X,X
LZJOIST,O,O,X,X,X,X,X,X,X
LZJOSTI,O,X,X,X,X,X,X,X,X
LZJOSIT,O,O,X,X,X,X,X,X,X
LZSTIJO,O,X,X,X,O,X,X,X,X
LZSTIOJ,O,X,X,X,O,X,X,O,X
LZSTJIO,O,X,O,X,O,O,X,X,X
LZSTJOI,X,X,O,X,O,O,X,X,X
LZSTOIJ,O,X,X,X,O,X,X,O,X
LZSTOJI,O,X,O,X,O,O,X,X,X
LZSITJO,O,X,X,X,O,X,X,X,X
LZSITOJ,O,X,X,X,O,X,X,X,X
LZSIJTO,O,X,X,X,O,X,X,X,X
LZSIJOT,O,X,X,X,O,X,X,X,X
LZSIOTJ,O,X,X,X,O,X,X,O,X
LZSIOJT,O,X,X,X,O,X,X,X,X
LZSJTIO,O,X,X,X,O,O,X,X,X
LZSJTOI,X,X,X,X,O,O,X,X,X
LZSJITO,O,X,X,X,O,O,X,X,X
LZSJIOT,O,X,X,X,O,X,X,X,X
LZSJOTI,O,X,X,X,O,X,X,X,X
LZSJOIT,O,X,X,X,O,X,X,X,X
LZSOTIJ,O,X,X,X,O,X,X,O,X
LZSOTJI,O,X,O,X,O,X,X,X,X
LZSOITJ,O,X,X,X,O,X,X,O,X
LZSOIJT,O,X,X,X,O,X,X,X,X
LZSOJTI,O,X,X,X,O,X,X,X,X
LZSOJIT,O,X,X,X,O,X,X,X,X
LZOTIJS,O,X,O,O,O,X,O,X,X
LZOTISJ,O,X,X,O,X,X,O,O,X
LZOTJIS,O,O,O,X,O,X,X,X,X
LZOTJSI,O,O,O,X,O,X,X,X,X
LZOTSIJ,O,X,X,X,O,X,X,O,X
LZOTSJI,O,O,O,X,O,X,X,X,X
LZOITJS,O,X,O,X,O,X,O,X,X
LZOITSJ,X,X,X,X,X,X,O,X,X
LZOIJTS,O,O,O,X,X,X,O,X,X
LZOIJST,O,O,X,X,X,X,O,X,X
LZOISTJ,X,X,X,X,O,X,O,X,X
LZOISJT,O,X,X,X,O,X,O,X,X
LZOJTIS,O,O,O,X,X,X,X,X,X
LZOJTSI,O,O,O,X,X,X,X,X,X
LZOJITS,O,O,O,X,X,X,X,X,X
LZOJIST,O,O,X,X,X,X,X,X,X
LZOJSTI,O,X,X,X,X,X,X,X,X
LZOJSIT,O,O,X,X,X,X,X,X,X
LZOSTIJ,O,X,X,X,O,X,X,O,X
LZOSTJI,O,X,O,X,O,X,X,X,X
LZOSITJ,O,X,X,X,O,X,X,O,X
LZOSIJT,O,X,X,X,O,X,X,X,X
LZOSJTI,O,X,X,X,O,X,X,X,X
LZOSJIT,O,X,X,X,O,X,X,X,X
LOTIJSZ,X,O,O,O,X,X,O,O,X
LOTIJZS,O,O,O,O,X,X,O,X,X
LOTISJZ,X,O,X,O,X,X,O,O,X
LOTISZJ,X,X,X,O,X,X,O,O,X
LOTIZJS,O,X,O,O,X,X,O,X,X
LOTIZSJ,O,X,X,O,X,X,O,O,X
LOTJISZ,X,O,O,X,X,X,O,O,O
