sequence,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBl?nBctBCtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbBXeBigB+?oBlnB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfBl?nBctB6sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbB0dBigB+?oBlnBXtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBF?jBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcB5jB0?nBatBlsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfB1?nBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBldBx?nBCtBctB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeF8IvhFXeBxfBCtBc?tBmpBTsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBVjBx?nBStB0sB
IZOSLTJ,X,X,X,X,X,O,X,X,X,X
IZOSLJT,O,X,X,X,X,O,X,X,X,X
IZOSJTL,O,X,X,X,X,O,X,X,X,X
IZOSJLT,O,X,X,X,O,O,X,O,X,X
IOTLJSZ,X,X,X,X,X,X,X,X,X,O
IOTLJZS,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,X,X,X,X,X,X,X,X,X,O
IOTLSZJ,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,X,X,X,O,X
IOTJLSZ,X,X,X,X,X,X,X,O,X,O
IOTJLZS,X,X,X,X,X,X,X,O,X,X
IOTJSLZ,X,X,X,X,O,X,X,O,X,O
IOTJSZL,O,X,X,X,X,O,X,X,X,O
IOTJZLS,X,X,X,X,X,O,X,X,X,X
IOTJZSL,X,X,X,X,X,O,X,X,X,O
IOTSLJZ,X,X,X,X,X,X,X,X,X,O
IOTSLZJ,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,X,X,X,X,O,X,X,O,X,O
IOTSJZL,O,X,X,X,X,O,X,X,X,O
IOTSZLJ,X,X,X,X,X,O,X,X,X,X
IOTSZJL,X,X,X,X,X,O,X,X,X,O
IOTZLJS,X,X,X,X,X,O,X,X,X,X
IOTZLSJ,X,X,X,X,X,O,X,X,X,X
IOTZJLS,X,X,X,X,X,O,X,X,X,X
IOTZJSL,X,X,X,X,X,O,X,X,X,O
IOTZSLJ,X,X,X,X,X,O,X,X,X,X
IOTZSJL,X,X,X,X,X,O,X,X,X,O
IOLTJSZ,X,O,X,O,O,X,X,O,X,O
IOLTJZS,X,O,X,O,O,X,X,O,X,X
IOLTSJZ,X,X,X,X,O,X,X,O,X,O
IOLTSZJ,X,X,X,X,O,X,X,X,X,X
IOLTZJS,X,X,X,X,O,X,X,X,X,X
IOLTZSJ,X,X,X,X,O,X,X,X,O,X
IOLJTSZ,X,O,X,O,O,X,X,O,X,X
IOLJTZS,X,O,X,O,O,X,X,O,X,X
IOLJSTZ,X,O,X,O,O,X,X,O,X,X
IOLJSZT,O,O,X,X,O,O,X,O,X,X
IOLJZTS,X,O,X,O,O,O,X,O,X,X
IOLJZST,X,O,X,X,O,O,X,O,X,X
IOLSTJZ,X,X,X,X,O,X,X,O,X,O
IOLSTZJ,X,X,X,X,O,X,X,X,X,X
IOLSJTZ,X,O,X,O,O,X,X,O,X,X
IOLSJZT,O,O,X,X,O,O,X,O,X,X
IOLSZTJ,X,X,X,X,O,O,X,X,X,X
IOLSZJT,X,X,X,X,O,O,X,O,X,X
IOLZTJS,X,X,X,X,O,O,X,X,X,X
IOLZTSJ,X,X,X,X,O,O,X,X,O,X
IOLZJTS,X,O,X,O,O,O,X,O,X,X
IOLZJST,X,O,X,X,O,O,X,O,X,X
IOLZSTJ,X,X,X,X,O,O,X,X,O,X
IOLZSJT,X,X,X,X,O,O,X,O,X,X
IOJTLSZ,X,O,X,O,X,X,X,O,X,O
IOJTLZS,X,O,X,O,X,X,X,O,X,X
IOJTSLZ,X,O,X,X,O,X,X,O,X,O
IOJTSZL,O,X,X,X,X,O,X,X,X,O
IOJTZLS,X,X,X,O,X,O,X,X,X,X
IOJTZSL,X,X,X,X,X,O,X,X,X,O
IOJLTSZ,X,O,X,O,O,X,X,O,X,X
IOJLTZS,X,O,X,O,O,X,X,O,X,X
IOJLSTZ,X,O,X,O,O,X,X,O,X,X
IOJLSZT,O,O,X,X,O,O,X,O,X,X
IOJLZTS,X,O,X,O,O,O,X,O,X,X
IOJLZST,X,O,X,X,O,O,X,O,X,X
IOJSTLZ,X,X,X,X,O,X,X,O,X,O
IOJSTZL,O,X,X,X,X,O,X,X,X,O
IOJSLTZ,X,O,X,X,O,X,X,O,X,X
IOJSLZT,O,O,X,X,O,O,X,O,X,X
IOJSZTL,O,X,X,X,X,O,X,X,X,X
IOJSZLT,O,X,X,X,O,O,X,O,X,X
IOJZTLS,O,X,X,X,X,O,X,X,X,X
IOJZTSL,O,X,X,X,X,O,X,X,X,X
IOJZLTS,X,X,X,X,X,O,X,O,X,X
IOJZLST,O,X,X,X,X,O,X,O,X,X
IOJZSTL,O,X,X,X,X,O,X,X,X,X
IOJZSLT,O,X,X,X,O,O,X,O,X,X
IOSTLJZ,X,X,X,X,X,X,X,X,X,O
IOSTLZJ,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,X,X,X,O,X,X,O,X,O
IOSTJZL,O,X,X,X,X,O,X,X,X,O
IOSTZLJ,X,X,X,X,X,O,X,X,X,X
IOSTZJL,X,X,X,X,X,O,X,X,X,O
IOSLTJZ,X,X,X,X,O,X,X,O,X,O
IOSLTZJ,X,X,X,X,O,X,X,X,X,X
IOSLJTZ,X,X,X,X,O,X,X,O,X,X
IOSLJZT,O,X,X,X,O,O,X,O,X,X
IOSLZTJ,X,X,X,X,O,O,X,X,X,X
IOSLZJT,X,X,X,X,O,O,X,O,X,X
IOSJTLZ,X,X,X,X,O,X,X,O,X,O
IOSJTZL,O,X,X,X,X,O,X,X,X,O
IOSJLTZ,X,X,X,X,O,X,X,O,X,X
IOSJLZT,O,X,X,X,O,O,X,O,X,X
IOSJZTL,O,X,X,X,X,O,X,X,X,X
IOSJZLT,O,X,X,X,O,O,X,O,X,X
IOSZTLJ,O,X,X,X,X,O,X,X,X,X
IOSZTJL,O,X,X,X,X,O,X,X,X,O
IOSZLTJ,X,X,X,X,X,O,X,X,X,X
IOSZLJT,O,X,X,X,X,O,X,X,X,X
IOSZJTL,O,X,X,X,X,O,X,X,X,X
IOSZJLT,O,X,X,X,O,O,X,O,X,X
IOZTLJS,O,X,X,X,X,O,X,X,X,X
IOZTLSJ,O,X,X,X,X,O,X,X,X,X
IOZTJLS,O,X,X,X,X,O,X,X,X,X
IOZTJSL,O,X,X,X,X,O,X,X,X,O
IOZTSLJ,O,X,X,X,X,O,X,X,X,X
IOZTSJL,O,X,X,X,X,O,X,X,X,O
IOZLTJS,X,X,X,X,X,O,X,X,X,X
IOZLTSJ,X,X,X,X,X,O,X,X,X,X
IOZLJTS,X,X,X,X,X,O,X,X,X,X
IOZLJST,O,X,X,X,X,O,X,X,X,X
IOZLSTJ,X,X,X,X,X,O,X,X,X,X
IOZLSJT,O,X,X,X,X,O,X,X,X,X
IOZJTLS,O,X,X,X,X,O,X,X,X,X
IOZJTSL,O,X,X,X,X,O,X,X,X,X
IOZJLTS,X,X,X,X,X,O,X,O,X,X
IOZJLST,O,X,X,X,X,O,X,O,X,X
IOZJSTL,O,X,X,X,X,O,X,X,X,X
IOZJSLT,O,X,X,X,O,O,X,O,X,X
IOZSTLJ,O,X,X,X,X,O,X,X,X,X
IOZSTJL,O,X,X,X,X,O,X,X,X,O
IOZSLTJ,X,X,X,X,X,O,X,X,X,X
IOZSLJT,O,X,X,X,X,O,X,X,X,X
IOZSJTL,O,X,X,X,X,O,X,X,X,X
IOZSJLT,O,X,X,X,O,O,X,O,X,X
LTIJSZO,X,O,X,O,O,X,O,O,X,X
LTIJSOZ,X,O,X,O,O,X,O,O,X,X
LTIJZSO,X,O,X,O,O,X,O,O,O,X
LTIJZOS,X,O,X,O,O,X,O,O,X,X
LTIJOSZ,X,O,X,O,O,X,O,O,X,X
LTIJOZS,X,O,X,O,O,X,O,O,X,X
LTISJZO,X,X,X,X,O,X,O,O,X,X
LTISJOZ,X,X,X,X,O,X,O,O,X,X
LTISZJO,X,X,X,X,O,X,X,X,O,X
LTISZOJ,X,X,X,X,O,X,X,X,O,X
LTISOJZ,X,X,X,X,O,X,O,O,X,X
LTISOZJ,X,X,X,X,O,X,X,X,X,X
LTIZJSO,X,X,X,X,O,X,X,X,O,X
LTIZJOS,X,X,X,X,O,X,X,X,X,X
LTIZSJO,X,X,X,X,O,X,X,X,O,X
LTIZSOJ,X,X,X,X,O,X,X,X,O,X
LTIZOJS,X,X,X,X,O,X,X,X,X,X
LTIZOSJ,X,X,X,X,O,X,X,X,O,X
LTIOJSZ,X,O,X,O,O,X,O,O,X,X
LTIOJZS,X,O,X,O,O,X,O,O,X,X
LTIOSJZ,X,X,X,X,O,X,O,O,X,X
LTIOSZJ,X,X,X,X,O,X,X,X,X,X
LTIOZJS,X,X,X,X,O,X,X,X,X,X
LTIOZSJ,X,X,X,X,O,X,X,X,O,X
LTJISZO,X,O,X,O,O,X,O,O,X,X
LTJISOZ,X,O,X,O,O,X,O,O,X,X
LTJIZSO,X,O,X,O,O,X,O,O,O,X
LTJIZOS,X,O,X,O,O,X,O,O,X,X
LTJIOSZ,X,O,X,O,O,X,O,O,X,X
LTJIOZS,X,O,X,O,O,X,O,O,X,X
LTJSIZO,X,O,X,O,O,X,O,O,X,X
LTJSIOZ,X,O,X,O,O,X,O,O,X,X
LTJSZIO,X,O,X,O,O,X,O,X,X,X
LTJSZOI,X,O,X,O,O,X,O,X,X,X
LTJSOIZ,X,O,X,O,O,X,O,O,X,X
LTJSOZI,X,O,X,O,O,X,O,X,X,X
LTJZISO,X,O,X,O,O,X,O,X,O,X
LTJZIOS,X,O,X,O,O,X,O,X,X,X
LTJZSIO,X,O,X,O,O,X,O,X,O,X
LTJZSOI,X,O,X,O,O,X,O,X,X,X
LTJZOIS,X,O,X,O,O,X,O,X,X,X
LTJZOSI,X,O,X,O,O,X,O,X,X,X
LTJOISZ,X,O,X,O,O,X,O,O,X,X
LTJOIZS,X,O,X,O,O,X,O,O,X,X
LTJOSIZ,X,O,X,O,O,X,O,O,X,X
LTJOSZI,X,O,X,O,O,X,O,X,X,X
LTJOZIS,X,O,X,O,O,X,O,X,X,X
LTJOZSI,X,O,X,O,O,X,O,X,X,X
LTSIJZO,X,X,X,X,O,X,O,O,X,X
LTSIJOZ,X,X,X,X,O,X,O,O,X,X
LTSIZJO,X,X,X,X,O,X,X,X,O,X
LTSIZOJ,X,X,X,X,O,X,X,X,O,X
LTSIOJZ,X,X,X,X,O,X,O,O,X,X
LTSIOZJ,X,X,X,X,O,X,X,X,X,X
LTSJIZO,X,X,X,X,O,X,O,O,X,X
LTSJIOZ,X,X,X,X,O,X,O,O,X,X
LTSJZIO,X,X,X,X,O,X,O,X,X,X
LTSJZOI,X,X,X,X,O,X,O,X,X,X
LTSJOIZ,X,X,X,X,O,X,O,O,X,X
LTSJOZI,X,X,X,X,O,X,O,X,X,X
LTSZIJO,X,X,X,X,O,X,X,X,O,X
LTSZIOJ,X,X,X,X,O,X,X,X,O,X
LTSZJIO,X,X,X,X,O,X,O,X,O,X
LTSZJOI,X,X,X,X,O,X,O,X,X,X
LTSZOIJ,X,X,X,X,O,X,X,X,O,X
LTSZOJI,X,X,X,X,O,X,O,X,X,X
LTSOIJZ,X,X,X,X,O,X,O,O,X,X
LTSOIZJ,X,X,X,X,O,X,X,X,X,X
LTSOJIZ,X,X,X,X,O,X,O,O,X,X
LTSOJZI,X,X,X,X,O,X,O,X,X,X
LTSOZIJ,X,X,X,X,O,X,X,X,X,X
LTSOZJI,X,X,X,X,O,X,O,X,X,X
LTZIJSO,X,X,X,X,O,X,X,X,O,X
LTZIJOS,X,X,X,X,O,X,X,X,X,X
LTZISJO,X,X,X,X,O,X,X,X,O,X
LTZISOJ,X,X,X,X,O,X,X,X,O,X
LTZIOJS,X,X,X,X,O,X,X,X,X,X
LTZIOSJ,X,X,X,X,O,X,X,X,O,X
LTZJISO,X,X,X,X,O,X,O,X,O,X
LTZJIOS,X,X,X,X,O,X,O,X,X,X
LTZJSIO,X,X,X,X,O,X,O,X,O,X
LTZJSOI,X,X,X,X,O,X,O,X,X,X
LTZJOIS,X,X,X,X,O,X,O,X,X,X
LTZJOSI,X,X,X,X,O,X,O,X,X,X
LTZSIJO,X,X,X,X,O,X,X,X,O,X
LTZSIOJ,X,X,X,X,O,X,X,X,O,X
LTZSJIO,X,X,X,X,O,X,O,X,O,X
LTZSJOI,X,X,X,X,O,X,O,X,X,X
LTZSOIJ,X,X,X,X,O,X,X,X,O,X
LTZSOJI,X,X,X,X,O,X,O,X,X,X
LTZOIJS,X,X,X,X,O,X,X,X,X,X
LTZOISJ,X,X,X,X,O,X,X,X,O,X
LTZOJIS,X,X,X,X,O,X,O,X,X,X
LTZOJSI,X,X,X,X,O,X,O,X,X,X
LTZOSIJ,X,X,X,X,O,X,X,X,O,X
LTZOSJI,X,X,X,X,O,X,O,X,X,X
LTOIJSZ,X,O,X,O,O,X,O,O,X,X
LTOIJZS,X,O,X,O,O,X,O,O,X,X
LTOISJZ,X,X,X,X,O,X,O,O,X,X
LTOISZJ,X,X,X,X,O,X,X,X,X,X
LTOIZJS,X,X,X,X,O,X,X,X,X,X
LTOIZSJ,X,X,X,X,O,X,X,X,O,X
LTOJISZ,X,O,X,O,O,X,O,O,X,X
LTOJIZS,X,O,X,O,O,X,O,O,X,X
LTOJSIZ,X,O,X,O,O,X,O,O,X,X
LTOJSZI,X,O,X,O,O,X,O,X,X,X
LTOJZIS,X,O,X,O,O,X,O,X,X,X
LTOJZSI,X,O,X,O,O,X,O,X,X,X
LTOSIJZ,X,X,X,X,O,X,O,O,X,X
LTOSIZJ,X,X,X,X,O,X,X,X,X,X
LTOSJIZ,X,X,X,X,O,X,O,O,X,X
LTOSJZI,X,X,X,X,O,X,O,X,X,X
LTOSZIJ,X,X,X,X,O,X,X,X,X,X
LTOSZJI,X,X,X,X,O,X,O,X,X,X
LTOZIJS,X,X,X,X,O,X,X,X,X,X
LTOZISJ,X,X,X,X,O,X,X,X,O,X
LTOZJIS,X,X,X,X,O,X,O,X,X,X
LTOZJSI,X,X,X,X,O,X,O,X,X,X
LTOZSIJ,X,X,X,X,O,X,X,X,O,X
LTOZSJI,X,X,X,X,O,X,O,X,X,X
LITJSZO,X,O,X,O,O,X,O,O,X,X
LITJSOZ,X,O,X,O,O,X,O,O,X,O
LITJZSO,X,O,X,O,O,X,O,O,O,X
LITJZOS,X,O,X,O,O,X,O,O,X,X
LITJOSZ,X,O,X,O,O,X,O,O,X,O
LITJOZS,X,O,X,O,O,X,O,O,X,X
LITSJZO,X,X,X,X,O,X,O,O,X,X
LITSJOZ,X,X,X,X,O,X,O,O,X,O
LITSZJO,X,X,X,X,O,X,X,X,O,X
LITSZOJ,X,X,X,X,O,X,X,X,O,X
LITSOJZ,X,X,X,X,O,X,O,O,X,O
LITSOZJ,X,X,X,X,O,X,X,X,X,X
LITZJSO,X,X,X,X,O,X,X,X,O,X
LITZJOS,X,X,X,X,O,X,X,X,X,X
LITZSJO,X,X,X,X,O,X,X,X,O,X
LITZSOJ,X,X,X,X,O,X,X,X,O,X
LITZOJS,X,X,X,X,O,X,X,X,X,X
LITZOSJ,X,X,X,X,O,X,X,X,O,X
LITOJSZ,X,O,X,O,O,X,O,O,X,O
LITOJZS,X,O,X,O,O,X,O,O,X,X
LITOSJZ,X,X,X,X,O,X,O,O,X,O
LITOSZJ,X,X,X,X,O,X,X,X,X,X
LITOZJS,X,X,X,X,O,X,X,X,X,X
LITOZSJ,X,X,X,X,O,X,X,X,O,X
LIJTSZO,X,O,X,O,O,X,O,O,X,X
LIJTSOZ,X,O,X,O,O,X,O,O,X,X
LIJTZSO,X,O,X,O,O,X,O,O,O,X
LIJTZOS,X,O,X,O,O,X,O,O,X,X
LIJTOSZ,X,O,X,O,O,X,O,O,X,X
LIJTOZS,X,O,X,O,O,X,O,O,X,X
LIJSTZO,X,O,X,O,O,X,O,O,X,X
LIJSTOZ,X,O,X,O,O,X,O,O,X,X
LIJSZTO,X,X,X,X,O,O,O,O,X,X
LIJSZOT,X,O,X,X,O,O,X,O,X,X
LIJSOTZ,X,O,X,O,O,X,O,O,X,X
LIJSOZT,O,O,X,X,O,O,X,O,X,X
LIJZTSO,X,O,X,O,O,O,O,O,O,X
LIJZTOS,X,O,X,O,O,O,O,O,X,X
LIJZSTO,X,X,X,X,O,O,O,O,O,X
LIJZSOT,X,O,X,X,O,O,X,O,X,X
LIJZOTS,X,O,X,O,O,O,X,O,X,X
LIJZOST,X,O,X,X,O,O,X,O,X,X
LIJOTSZ,X,O,X,O,O,X,O,O,X,X
LIJOTZS,X,O,X,O,O,X,O,O,X,X
LIJOSTZ,X,O,X,O,O,X,O,O,X,X
LIJOSZT,O,O,X,X,O,O,X,O,X,X
LIJOZTS,X,O,X,O,O,O,X,O,X,X
LIJOZST,X,O,X,X,O,O,X,O,X,X
LISTJZO,X,X,X,X,O,X,O,O,X,X
LISTJOZ,X,X,X,X,O,X,O,O,X,O
LISTZJO,X,X,X,X,O,X,X,X,O,X
LISTZOJ,X,X,X,X,O,X,X,X,O,X
LISTOJZ,X,X,X,X,O,X,O,O,X,O
LISTOZJ,X,X,X,X,O,X,X,X,X,X
LISJTZO,X,O,X,O,O,X,O,O,X,X
LISJTOZ,X,O,X,O,O,X,O,O,X,X
LISJZTO,X,X,X,X,O,O,O,O,X,X
LISJZOT,X,O,X,X,O,O,X,O,X,X
LISJOTZ,X,O,X,O,O,X,O,O,X,X
LISJOZT,O,O,X,X,O,O,X,O,X,X
LISZTJO,X,X,X,X,O,O,X,X,O,X
LISZTOJ,X,X,X,X,O,O,X,X,O,X
LISZJTO,X,X,X,X,O,O,X,O,O,X
LISZJOT,X,X,X,X,O,O,X,O,X,X
LISZOTJ,X,X,X,X,O,O,X,X,O,X
LISZOJT,X,X,X,X,O,O,X,O,X,X
LISOTJZ,X,X,X,X,O,X,X,O,X,O
LISOTZJ,X,X,X,X,O,X,X,X,X,X
LISOJTZ,X,O,X,O,O,X,X,O,X,X
LISOJZT,O,O,X,X,O,O,X,O,X,X
LISOZTJ,X,X,X,X,O,O,X,X,X,X
LISOZJT,X,X,X,X,O,O,X,O,X,X
LIZTJSO,X,X,X,X,O,O,X,X,O,X
LIZTJOS,X,X,X,X,O,O,X,X,X,X
LIZTSJO,X,X,X,X,O,O,X,X,O,X
LIZTSOJ,X,X,X,X,O,O,X,X,O,X
LIZTOJS,X,X,X,X,O,O,X,X,X,X
LIZTOSJ,X,X,X,X,O,O,X,X,O,X
LIZJTSO,X,O,X,O,O,O,X,O,O,X
LIZJTOS,X,O,X,O,O,O,X,O,X,X
LIZJSTO,X,X,X,X,O,O,X,O,O,X
LIZJSOT,X,O,X,X,O,O,X,O,X,X
LIZJOTS,X,O,X,O,O,O,X,O,X,X
LIZJOST,X,O,X,X,O,O,X,O,X,X
LIZSTJO,X,X,X,X,O,O,X,X,O,X
LIZSTOJ,X,X,X,X,O,O,X,X,O,X
LIZSJTO,X,X,X,X,O,O,X,O,O,X
LIZSJOT,X,X,X,X,O,O,X,O,X,X
LIZSOTJ,X,X,X,X,O,O,X,X,O,X
LIZSOJT,X,X,X,X,O,O,X,O,X,X
LIZOTJS,X,X,X,X,O,O,X,X,X,X
LIZOTSJ,X,X,X,X,O,O,X,X,O,X
LIZOJTS,X,O,X,O,O,O,X,O,X,X
LIZOJST,X,O,X,X,O,O,X,O,X,X
LIZOSTJ,X,X,X,X,O,O,X,X,O,X
LIZOSJT,X,X,X,X,O,O,X,O,X,X
LIOTJSZ,X,O,X,O,O,X,X,O,X,O
LIOTJZS,X,O,X,O,O,X,X,O,X,X
LIOTSJZ,X,X,X,X,O,X,X,O,X,O
LIOTSZJ,X,X,X,X,O,X,X,X,X,X
LIOTZJS,X,X,X,X,O,X,X,X,X,X
LIOTZSJ,X,X,X,X,O,X,X,X,O,X
LIOJTSZ,X,O,X,O,O,X,X,O,X,X
LIOJTZS,X,O,X,O,O,X,X,O,X,X
LIOJSTZ,X,O,X,O,O,X,X,O,X,X
LIOJSZT,O,O,X,X,O,O,X,O,X,X
LIOJZTS,X,O,X,O,O,O,X,O,X,X
LIOJZST,X,O,X,X,O,O,X,O,X,X
LIOSTJZ,X,X,X,X,O,X,X,O,X,O
LIOSTZJ,X,X,X,X,O,X,X,X,X,X
LIOSJTZ,X,O,X,O,O,X,X,O,X,X
LIOSJZT,O,O,X,X,O,O,X,O,X,X
LIOSZTJ,X,X,X,X,O,O,X,X,X,X
LIOSZJT,X,X,X,X,O,O,X,O,X,X
LIOZTJS,X,X,X,X,O,O,X,X,X,X
LIOZTSJ,X,X,X,X,O,O,X,X,O,X
LIOZJTS,X,O,X,O,O,O,X,O,X,X
LIOZJST,X,O,X,X,O,O,X,O,X,X
LIOZSTJ,X,X,X,X,O,O,X,X,O,X
LIOZSJT,X,X,X,X,O,O,X,O,X,X
LJTISZO,X,O,X,O,O,X,O,O,X,X
LJTISOZ,X,O,X,O,O,X,O,O,X,X
LJTIZSO,X,O,X,O,O,X,O,O,O,X
LJTIZOS,X,O,X,O,O,X,O,O,X,X
LJTIOSZ,X,O,X,O,O,X,O,O,X,X
LJTIOZS,X,O,X,O,O,X,O,O,X,X
LJTSIZO,X,O,X,O,O,X,O,O,X,X
LJTSIOZ,X,O,X,O,O,X,O,O,X,X
LJTSZIO,X,O,X,O,O,X,O,X,X,X
LJTSZOI,X,O,X,O,O,X,O,X,X,X
LJTSOIZ,X,O,X,O,O,X,O,O,X,X
LJTSOZI,X,O,X,O,O,X,O,X,X,X
LJTZISO,X,O,X,O,O,X,O,X,O,X
LJTZIOS,X,O,X,O,O,X,O,X,X,X
LJTZSIO,X,O,X,O,O,X,O,X,O,X
LJTZSOI,X,O,X,O,O,X,O,X,X,X
LJTZOIS,X,O,X,O,O,X,O,X,X,X
LJTZOSI,X,O,X,O,O,X,O,X,X,X
LJTOISZ,X,O,X,O,O,X,O,O,X,X
LJTOIZS,X,O,X,O,O,X,O,O,X,X
LJTOSIZ,X,O,X,O,O,X,O,O,X,X
LJTOSZI,X,O,X,O,O,X,O,X,X,X
LJTOZIS,X,O,X,O,O,X,O,X,X,X
LJTOZSI,X,O,X,O,O,X,O,X,X,X
LJITSZO,X,O,X,O,O,X,O,O,X,X
LJITSOZ,X,O,X,O,O,X,O,O,X,X
LJITZSO,X,O,X,O,O,X,O,O,O,X
LJITZOS,X,O,X,O,O,X,O,O,X,X
LJITOSZ,X,O,X,O,O,X,O,O,X,X
LJITOZS,X,O,X,O,O,X,O,O,X,X
LJISTZO,X,O,X,O,O,X,O,O,X,X
LJISTOZ,X,O,X,O,O,X,O,O,X,X
LJISZTO,X,X,O,X,O,O,O,O,X,X
LJISZOT,X,O,X,X,O,O,X,O,X,X
LJISOTZ,X,O,X,O,O,X,O,O,X,X
LJISOZT,O,O,X,X,O,O,X,O,X,X
LJIZTSO,X,O,O,O,O,O,O,O,O,X
LJIZTOS,X,O,O,O,O,O,O,O,X,X
LJIZSTO,X,X,O,X,O,O,O,O,O,X
LJIZSOT,X,O,X,X,O,O,X,O,X,X
LJIZOTS,X,O,X,O,O,O,X,O,X,X
LJIZOST,X,O,X,X,O,O,X,O,X,X
LJIOTSZ,X,O,X,O,O,X,O,O,X,X
LJIOTZS,X,O,X,O,O,X,O,O,X,X
LJIOSTZ,X,O,X,O,O,X,O,O,X,X
LJIOSZT,O,O,X,X,O,O,X,O,X,X
LJIOZTS,X,O,X,O,O,O,X,O,X,X
LJIOZST,X,O,X,X,O,O,X,O,X,X
LJSTIZO,X,O,X,O,O,X,O,O,X,X
LJSTIOZ,X,O,X,O,O,X,O,O,X,X
LJSTZIO,X,O,X,O,O,X,O,X,X,X
LJSTZOI,X,O,X,O,O,X,O,X,X,X
LJSTOIZ,X,O,X,O,O,X,O,O,X,X
LJSTOZI,X,O,X,O,O,X,O,X,X,X
LJSITZO,X,O,X,O,O,X,O,O,X,X
LJSITOZ,X,O,X,O,O,X,O,O,X,X
LJSIZTO,X,X,O,X,O,O,O,O,X,X
LJSIZOT,X,O,X,X,O,O,X,O,X,X
LJSIOTZ,X,O,X,O,O,X,O,O,X,X
LJSIOZT,O,O,X,X,O,O,X,O,X,X
LJSZTIO,O,X,O,X,O,X,O,X,X,X
LJSZTOI,O,X,O,X,O,X,O,X,X,X
LJSZITO,X,X,O,X,O,O,O,O,X,X
LJSZIOT,O,O,X,X,O,O,X,O,X,X
LJSZOTI,O,O,X,X,O,X,X,X,X,X
LJSZOIT,O,O,X,X,O,O,X,O,X,X
LJSOTIZ,X,O,X,O,O,X,O,O,X,X
LJSOTZI,X,O,X,O,O,X,O,X,X,X
LJSOITZ,X,O,X,O,O,X,O,O,X,X
LJSOIZT,O,O,X,X,O,O,X,O,X,X
LJSOZTI,O,O,X,X,O,X,X,X,X,X
LJSOZIT,O,O,X,X,O,O,X,O,X,X
LJZTISO,O,O,O,O,O,X,O,X,O,X
LJZTIOS,O,O,O,O,O,X,O,X,X,X
LJZTSIO,O,O,O,O,O,X,O,X,O,X
LJZTSOI,O,O,O,O,O,X,O,X,X,X
LJZTOIS,O,O,O,O,O,X,O,X,X,X
LJZTOSI,O,O,O,O,O,X,O,X,X,X
LJZITSO,X,O,O,O,O,O,O,O,O,X
LJZITOS,X,O,O,O,O,O,O,O,X,X
LJZISTO,X,X,O,X,O,O,O,O,O,X
LJZISOT,O,O,X,X,O,O,X,O,X,X
LJZIOTS,X,O,X,O,O,O,X,O,X,X
LJZIOST,O,O,X,X,O,O,X,O,X,X
LJZSTIO,O,X,O,X,O,X,O,X,O,X
LJZSTOI,O,X,O,X,O,X,O,X,X,X
LJZSITO,X,X,O,X,O,O,O,O,O,X
LJZSIOT,O,O,X,X,O,O,X,O,X,X
LJZSOTI,O,O,X,X,O,X,X,X,X,X
LJZSOIT,O,O,X,X,O,O,X,O,X,X
LJZOTIS,O,O,X,O,O,X,X,X,X,X
LJZOTSI,O,O,X,O,O,X,X,X,X,X
LJZOITS,X,O,X,O,O,O,X,O,X,X
LJZOIST,O,O,X,X,O,O,X,O,X,X
LJZOSTI,O,O,X,X,O,X,X,X,X,X
LJZOSIT,O,O,X,X,O,O,X,O,X,X
LJOTISZ,X,O,X,O,O,X,O,O,X,X
LJOTIZS,X,O,X,O,O,X,O,O,X,X
LJOTSIZ,X,O,X,O,O,X,O,O,X,X
LJOTSZI,X,O,X,O,O,X,O,X,X,X
LJOTZIS,X,O,X,O,O,X,O,X,X,X
LJOTZSI,X,O,X,O,O,X,O,X,X,X
LJOITSZ,X,O,X,O,O,X,O,O,X,X
LJOITZS,X,O,X,O,O,X,O,O,X,X
LJOISTZ,X,O,X,O,O,X,O,O,X,X
LJOISZT,O,O,X,X,O,O,X,O,X,X
LJOIZTS,X,O,X,O,O,O,X,O,X,X
LJOIZST,X,O,X,X,O,O,X,O,X,X
LJOSTIZ,X,O,X,O,O,X,O,O,X,X
LJOSTZI,X,O,X,O,O,X,O,X,X,X
LJOSITZ,X,O,X,O,O,X,O,O,X,X
LJOSIZT,O,O,X,X,O,O,X,O,X,X
LJOSZTI,O,O,X,X,O,X,X,X,X,X
LJOSZIT,O,O,X,X,O,O,X,O,X,X
