sequence,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBl?nBctBCtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbBXeBigB+?oBlnB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfBl?nBctB6sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFxbB0dBigB+?oBlnBXtB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBxdBF?jBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcB5jB0?nBatBlsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8Jex6IvhFXcBTeBmfB1?nBStB0sB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBldBx?nBCtBctB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeF8IvhFXeBxfBCtBc?tBmpBTsB,v115@ChB8CeB8AeC8DeG8CeG8BeA8JeT6IvhFOgBXcBVjBx?nBStB0sB
TJSOILZ,X,O,X,X,O,X,O,O,X,X
TJSOIZL,O,X,X,X,X,O,X,X,X,X
TJSOLIZ,X,O,X,O,O,X,O,O,X,X
TJSOLZI,X,O,X,O,O,X,O,X,X,X
TJSOZIL,O,X,X,X,X,O,X,X,X,X
TJSOZLI,O,O,X,O,X,X,X,X,X,X
TJZILSO,O,X,O,O,X,O,O,X,X,X
TJZILOS,O,X,O,O,X,O,O,X,X,X
TJZISLO,O,X,O,X,X,O,O,X,X,X
TJZISOL,O,X,O,X,X,O,X,X,X,X
TJZIOLS,O,X,O,O,X,O,X,X,X,X
TJZIOSL,O,X,O,X,X,O,X,X,X,X
TJZLISO,O,O,O,O,X,X,O,X,X,X
TJZLIOS,O,O,O,O,X,X,O,X,X,X
TJZLSIO,O,O,O,O,X,X,O,X,X,X
TJZLSOI,O,O,O,O,X,X,O,X,X,X
TJZLOIS,O,O,O,O,X,X,O,X,X,X
TJZLOSI,O,O,O,O,X,X,O,X,X,X
TJZSILO,O,X,O,X,X,O,O,X,X,X
