sequence,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jex7IvhFTeB/mBFiBG?oBisB0sB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jex7IvhF0dB6jBThB2?nBFsBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcBfjB6jBx?mBUsBFtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBlmBc?sBToBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBTjBl?mBcsBXtB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzdB5jB3hBV?sBatBUsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFCdBxiBXjBl?mBctBTsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFxdBCjBlmBT?oB0sBfsB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFfiB5jBziB0?mBlnByxB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcB5jB1nB0?mB3sBatB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhF6jBziBlmBx?sBfsB0sB,v115@zgB8HeD8FeD8FeE8EeF8CeA8Jem7IvhFzcBCjBlmBx?sBctB3sB
IZTOSJL,X,O,O,O,X,X,X,X,X,O,X,X
IZLTJSO,X,X,O,O,O,X,O,X,O,X,X,X
IZLTJOS,X,X,O,O,O,O,O,X,O,X,X,O
IZLTSJO,X,X,O,O,O,O,O,X,O,X,X,X
IZLTSOJ,X,X,O,X,X,O,X,X,O,X,X,X
IZLTOJS,X,X,O,O,O,O,O,X,O,X,X,O
IZLTOSJ,X,X,O,X,X,O,X,X,O,X,X,X
IZLJTSO,X,X,O,X,O,X,O,X,O,X,X,X
IZLJTOS,X,X,O,X,X,O,X,X,O,X,X,O
IZLJSTO,O,X,O,X,O,X,O,X,O,O,X,X
IZLJSOT,O,X,O,X,O,X,O,X,O,O,X,X
IZLJOTS,X,X,O,X,X,O,X,X,O,X,O,X
IZLJOST,O,X,O,X,O,X,O,X,O,O,X,X
IZLSTJO,O,X,O,X,X,X,X,X,O,O,X,X
IZLSTOJ,X,X,O,X,X,X,X,X,O,O,X,X
IZLSJTO,O,X,O,X,O,X,O,X,O,O,X,X
IZLSJOT,O,X,O,X,O,X,O,X,O,O,X,X
IZLSOTJ,X,X,O,X,X,X,X,X,O,O,X,X
IZLSOJT,X,X,O,X,X,X,X,X,O,O,X,X
IZLOTJS,X,X,O,X,X,O,X,X,O,X,O,X
IZLOTSJ,X,X,O,X,X,O,X,X,O,X,O,X
IZLOJTS,X,X,O,X,X,O,X,X,O,X,O,X
IZLOJST,X,X,O,X,O,X,O,X,O,O,X,X
IZLOSTJ,X,X,O,X,X,X,X,X,O,O,X,X
IZLOSJT,X,X,O,X,X,X,X,X,O,O,X,X
IZJTLSO,X,X,O,O,O,X,O,X,O,X,X,X
IZJTLOS,X,X,O,O,O,O,O,X,O,X,X,X
IZJTSLO,X,X,O,O,O,X,O,X,O,O,X,X
IZJTSOL,X,X,O,X,O,X,X,X,X,O,X,X
IZJTOLS,X,X,O,O,O,X,O,O,X,X,X,X
IZJTOSL,X,X,O,O,X,X,X,X,X,O,X,X
IZJLTSO,X,X,O,X,O,X,O,X,O,X,X,X
IZJLTOS,X,X,O,X,X,O,X,X,O,X,X,O
IZJLSTO,O,X,O,X,O,X,O,X,O,O,X,X
IZJLSOT,O,X,O,X,O,X,O,X,O,O,X,X
IZJLOTS,X,X,O,X,X,O,X,X,O,X,O,X
IZJLOST,O,X,O,X,O,X,O,X,O,O,X,X
IZJSTLO,O,X,O,X,O,O,X,X,O,O,X,X
IZJSTOL,O,X,O,X,O,X,X,X,X,O,X,X
IZJSLTO,O,X,O,X,O,X,O,X,O,O,X,X
IZJSLOT,O,X,O,X,O,X,O,X,O,O,X,X
IZJSOTL,O,X,O,X,X,X,X,X,X,O,X,X
IZJSOLT,O,X,O,X,O,X,X,X,O,O,X,X
IZJOTLS,X,X,O,O,X,X,O,O,X,X,O,X
IZJOTSL,X,X,O,O,X,X,O,X,X,O,X,X
IZJOLTS,X,X,O,X,X,X,O,O,O,X,O,X
IZJOLST,O,X,O,X,O,X,O,X,O,O,X,X
IZJOSTL,O,X,O,X,X,X,X,X,X,O,X,X
IZJOSLT,O,X,O,X,X,X,O,X,O,O,X,X
IZSTLJO,O,O,O,O,O,O,O,X,O,O,X,X
IZSTLOJ,X,O,O,X,O,O,X,X,O,O,X,X
IZSTJLO,O,O,O,O,O,O,O,X,O,O,X,X
IZSTJOL,O,O,O,X,O,X,X,X,X,O,X,X
IZSTOLJ,X,O,O,X,O,X,X,X,X,O,X,X
IZSTOJL,X,O,O,X,O,X,X,X,X,O,X,X
IZSLTJO,O,O,O,X,O,X,X,X,O,O,X,X
IZSLTOJ,X,O,O,X,O,X,X,X,O,O,X,X
IZSLJTO,O,O,O,X,O,X,O,X,O,O,X,X
IZSLJOT,O,O,O,X,O,X,O,X,O,O,X,X
IZSLOTJ,X,O,O,X,X,X,X,X,O,O,X,X
IZSLOJT,X,O,O,X,O,X,X,X,O,O,X,X
IZSJTLO,O,O,O,X,O,O,X,X,O,O,X,X
IZSJTOL,O,X,O,X,O,X,X,X,X,O,X,X
IZSJLTO,O,O,O,X,O,X,O,X,O,O,X,X
IZSJLOT,O,O,O,X,O,X,O,X,O,O,X,X
IZSJOTL,O,X,O,X,X,X,X,X,X,O,X,X
IZSJOLT,O,O,O,X,O,X,X,X,O,O,X,X
IZSOTLJ,X,O,O,X,O,X,X,X,X,O,X,X
IZSOTJL,X,O,O,X,O,X,X,X,X,O,X,X
IZSOLTJ,X,O,O,X,X,X,X,X,O,O,X,X
IZSOLJT,X,O,O,X,O,X,X,X,O,O,X,X
IZSOJTL,X,O,O,X,X,X,X,X,X,O,X,X
IZSOJLT,X,O,O,X,O,X,X,X,O,O,X,X
IZOTLJS,X,X,O,O,O,X,O,O,X,X,O,X
IZOTLSJ,X,X,O,O,X,X,O,O,X,X,O,X
IZOTJLS,X,O,O,O,O,X,O,O,X,X,O,X
IZOTJSL,X,O,O,O,X,X,O,X,X,O,X,X
IZOTSLJ,X,O,O,O,X,X,O,X,X,O,X,X
IZOTSJL,X,O,O,O,X,X,O,X,X,O,X,X
IZOLTJS,X,X,O,O,X,X,O,O,O,X,O,X
IZOLTSJ,X,X,O,O,X,X,O,O,O,X,O,X
IZOLJTS,X,X,O,X,X,X,O,O,O,X,O,X
IZOLJST,X,X,O,X,O,X,O,X,O,O,X,X
IZOLSTJ,X,X,O,X,X,X,X,X,O,O,X,X
IZOLSJT,X,X,O,X,X,X,O,X,O,O,X,X
IZOJTLS,X,X,O,O,X,X,O,O,X,X,O,X
IZOJTSL,X,X,O,O,X,X,O,X,X,O,X,X
IZOJLTS,X,X,O,X,X,X,O,O,O,X,O,X
IZOJLST,X,X,O,X,O,X,O,X,O,O,X,X
IZOJSTL,X,X,O,X,X,X,X,X,X,O,X,X
IZOJSLT,X,X,O,X,X,X,O,X,O,O,X,X
IZOSTLJ,X,O,O,O,X,X,O,X,X,O,X,X
IZOSTJL,X,O,O,O,X,X,O,X,X,O,X,X
IZOSLTJ,X,O,O,X,X,X,X,X,O,O,X,X
IZOSLJT,X,O,O,X,X,X,O,X,O,O,X,X
IZOSJTL,X,O,O,X,X,X,X,X,X,O,X,X
IZOSJLT,X,O,O,X,X,X,O,X,O,O,X,X
IOTLJSZ,X,X,O,X,X,O,O,X,X,X,O,X
IOTLJZS,X,O,X,X,X,O,O,X,X,X,O,X
IOTLSJZ,X,O,O,X,X,O,O,X,X,X,O,X
IOTLSZJ,X,O,O,X,X,O,X,X,X,X,O,X
IOTLZJS,X,X,X,X,X,O,O,X,X,X,O,X
IOTLZSJ,X,X,X,X,X,O,O,X,X,X,O,X
IOTJLSZ,X,X,O,X,X,O,O,X,X,X,O,X
IOTJLZS,X,O,X,X,X,O,O,X,X,X,O,X
IOTJSLZ,X,O,O,X,X,X,O,X,X,X,O,X
IOTJSZL,X,O,O,X,X,X,X,X,X,X,X,X
IOTJZLS,X,O,O,X,X,X,O,X,X,X,O,X
IOTJZSL,X,O,O,X,X,X,O,X,X,X,X,X
IOTSLJZ,X,O,O,X,X,O,O,X,X,X,O,X
IOTSLZJ,X,O,O,X,X,O,X,X,X,X,O,X
IOTSJLZ,X,O,O,X,X,O,O,X,X,X,O,X
IOTSJZL,X,O,O,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,O,O,X,X,X,X,X,X,X,X,X
IOTSZJL,X,O,O,X,X,X,X,X,X,X,X,X
IOTZLJS,X,X,O,O,X,X,O,X,X,X,O,X
IOTZLSJ,X,X,O,O,X,X,O,X,X,X,O,X
IOTZJLS,X,O,O,O,X,X,O,X,X,X,O,X
IOTZJSL,X,O,O,O,X,X,O,X,X,X,X,X
IOTZSLJ,X,O,O,O,X,X,O,X,X,X,X,X
IOTZSJL,X,O,O,O,X,X,O,X,X,X,X,X
IOLTJSZ,X,X,O,X,X,O,X,X,X,X,O,O
IOLTJZS,X,O,X,X,X,O,X,X,O,X,O,O
IOLTSJZ,X,O,O,X,X,O,X,X,X,X,O,O
IOLTSZJ,X,O,O,X,X,O,X,X,X,X,O,X
IOLTZJS,X,X,X,X,X,O,X,X,O,X,O,O
IOLTZSJ,X,X,X,X,X,O,X,X,O,X,O,X
IOLJTSZ,O,X,O,X,X,O,X,X,X,X,O,O
IOLJTZS,X,X,X,X,X,O,X,X,O,X,O,O
IOLJSTZ,O,X,O,X,X,O,X,X,X,X,O,X
IOLJSZT,O,X,O,X,X,X,X,X,O,X,X,X
IOLJZTS,X,X,O,X,X,O,X,O,O,X,O,X
IOLJZST,O,X,O,X,X,X,X,X,O,X,X,X
IOLSTJZ,O,O,O,X,X,O,X,X,X,X,O,X
IOLSTZJ,X,O,X,X,X,O,X,X,X,X,O,X
IOLSJTZ,O,O,O,X,X,O,X,X,X,X,O,X
IOLSJZT,O,O,O,X,X,X,X,X,O,X,X,X
IOLSZTJ,X,O,X,X,X,X,X,X,O,X,X,X
IOLSZJT,X,O,O,X,X,X,X,X,O,X,X,X
IOLZTJS,X,X,O,O,X,O,X,O,O,X,O,X
IOLZTSJ,X,X,O,O,X,O,X,O,O,X,O,X
IOLZJTS,X,X,O,X,X,O,X,O,O,X,O,X
IOLZJST,X,X,O,X,X,X,X,X,O,X,X,X
IOLZSTJ,X,X,O,X,X,X,X,X,O,X,X,X
IOLZSJT,X,X,O,X,X,X,X,X,O,X,X,X
IOJTLSZ,O,X,O,X,X,O,O,X,X,X,O,X
IOJTLZS,X,O,X,X,X,O,O,X,X,X,O,X
IOJTSLZ,O,O,O,X,X,X,O,X,X,X,O,X
IOJTSZL,O,O,O,X,X,X,X,X,X,X,X,X
IOJTZLS,X,O,O,X,X,X,O,X,X,X,O,X
IOJTZSL,X,O,O,X,X,X,O,X,X,X,X,X
IOJLTSZ,O,X,O,X,X,O,X,X,X,X,O,O
IOJLTZS,X,X,X,X,X,O,X,X,O,X,O,O
IOJLSTZ,O,X,O,X,X,O,X,X,X,X,O,X
IOJLSZT,O,X,O,X,X,X,X,X,O,X,X,X
IOJLZTS,X,X,O,X,X,O,X,O,O,X,O,X
IOJLZST,O,X,O,X,X,X,X,X,O,X,X,X
IOJSTLZ,O,O,O,X,X,O,X,X,X,X,O,X
IOJSTZL,O,O,O,X,X,X,X,X,X,O,X,X
IOJSLTZ,O,O,O,X,X,X,X,X,X,X,O,X
IOJSLZT,O,O,O,X,X,X,X,X,X,X,X,X
IOJSZTL,O,O,O,X,X,X,X,X,X,O,X,X
IOJSZLT,O,O,O,X,X,X,X,X,X,O,X,X
IOJZTLS,X,X,O,O,X,X,O,O,X,X,O,X
IOJZTSL,X,X,O,O,X,X,O,X,X,O,X,X
IOJZLTS,X,X,O,X,X,X,O,O,O,X,O,X
IOJZLST,O,X,O,X,X,X,O,X,O,O,X,X
IOJZSTL,O,X,O,X,X,X,X,X,X,O,X,X
IOJZSLT,O,X,O,X,X,X,O,X,O,O,X,X
IOSTLJZ,O,O,O,X,X,O,X,X,X,X,O,X
IOSTLZJ,X,O,O,X,X,O,X,X,X,X,O,X
IOSTJLZ,O,O,O,X,X,O,X,X,X,X,O,X
IOSTJZL,O,O,O,X,X,X,X,X,X,O,X,X
IOSTZLJ,X,O,O,X,X,X,X,X,X,O,X,X
IOSTZJL,X,O,O,X,X,X,X,X,X,O,X,X
IOSLTJZ,O,O,O,X,X,X,X,X,X,X,O,X
IOSLTZJ,X,O,X,X,X,X,X,X,X,X,O,X
IOSLJTZ,O,O,O,X,X,X,X,X,X,X,O,X
IOSLJZT,O,O,O,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,O,O,X,X,X,X,X,X,X,X,X
IOSLZJT,X,O,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,O,O,O,X,X,O,X,X,X,X,O,X
IOSJTZL,O,O,O,X,X,X,X,X,X,O,X,X
IOSJLTZ,O,O,O,X,X,X,X,X,X,X,O,X
IOSJLZT,O,O,O,X,X,X,X,X,X,X,X,X
IOSJZTL,O,O,O,X,X,X,X,X,X,O,X,X
IOSJZLT,O,O,O,X,X,X,X,X,X,O,X,X
IOSZTLJ,X,O,O,O,X,X,X,X,X,O,X,X
IOSZTJL,X,O,O,O,X,X,X,X,X,O,X,X
IOSZLTJ,X,O,O,X,X,X,X,X,X,O,X,X
IOSZLJT,X,O,O,X,X,X,X,X,X,O,X,X
IOSZJTL,X,O,O,X,X,X,X,X,X,O,X,X
IOSZJLT,X,O,O,X,X,X,X,X,X,O,X,X
IOZTLJS,X,X,O,O,X,X,O,O,X,X,O,X
IOZTLSJ,X,X,O,O,X,X,O,O,X,X,O,X
IOZTJLS,X,O,O,O,X,X,O,O,X,X,O,X
IOZTJSL,X,O,O,O,X,X,O,X,X,O,X,X
IOZTSLJ,X,O,O,O,X,X,O,X,X,O,X,X
IOZTSJL,X,O,O,O,X,X,O,X,X,O,X,X
IOZLTJS,X,X,O,O,X,X,O,O,O,X,O,X
IOZLTSJ,X,X,O,O,X,X,O,O,O,X,O,X
IOZLJTS,X,X,O,X,X,X,O,O,O,X,O,X
IOZLJST,X,X,O,X,X,X,O,X,O,O,X,X
IOZLSTJ,X,X,O,X,X,X,X,X,O,O,X,X
IOZLSJT,X,X,O,X,X,X,O,X,O,O,X,X
IOZJTLS,X,X,O,O,X,X,O,O,X,X,O,X
IOZJTSL,X,X,O,O,X,X,O,X,X,O,X,X
IOZJLTS,X,X,O,X,X,X,O,O,O,X,O,X
IOZJLST,X,X,O,X,X,X,O,X,O,O,X,X
IOZJSTL,X,X,O,X,X,X,X,X,X,O,X,X
IOZJSLT,X,X,O,X,X,X,O,X,O,O,X,X
IOZSTLJ,X,O,O,O,X,X,O,X,X,O,X,X
IOZSTJL,X,O,O,O,X,X,O,X,X,O,X,X
IOZSLTJ,X,O,O,X,X,X,X,X,O,O,X,X
IOZSLJT,X,O,O,X,X,X,O,X,O,O,X,X
IOZSJTL,X,O,O,X,X,X,X,X,X,O,X,X
IOZSJLT,X,O,O,X,X,X,O,X,O,O,X,X
LTIJSZO,O,X,O,O,O,O,O,X,X,X,X,X
LTIJSOZ,O,X,O,X,X,O,O,X,X,X,X,X
LTIJZSO,X,O,X,O,O,X,O,X,O,X,X,X
LTIJZOS,X,O,X,O,O,O,O,X,O,X,X,X
LTIJOSZ,O,X,O,X,X,O,O,X,X,X,X,X
LTIJOZS,X,X,X,O,O,O,O,X,O,X,X,X
LTISJZO,O,O,O,O,O,O,O,X,X,X,X,X
LTISJOZ,O,O,O,X,X,O,O,X,X,X,X,X
LTISZJO,O,O,O,X,X,O,X,X,X,X,X,X
LTISZOJ,X,O,X,X,X,O,X,X,X,X,X,X
LTISOJZ,O,O,O,X,X,O,X,X,X,X,X,X
LTISOZJ,X,O,O,X,X,O,X,X,X,X,X,X
LTIZJSO,X,X,X,O,O,X,O,X,O,X,X,X
LTIZJOS,X,X,X,O,O,O,O,X,O,X,X,X
LTIZSJO,X,X,X,O,O,O,O,X,O,X,X,X
LTIZSOJ,X,X,X,X,O,O,X,X,O,X,X,X
LTIZOJS,X,X,X,O,O,O,O,X,O,X,X,X
LTIZOSJ,X,X,X,O,X,O,X,X,O,X,X,X
LTIOJSZ,X,X,O,X,X,O,O,X,X,X,X,X
LTIOJZS,X,O,X,O,O,O,O,X,O,X,X,X
LTIOSJZ,X,O,O,X,X,O,O,X,X,X,X,X
LTIOSZJ,X,O,O,X,X,O,X,X,X,X,X,X
LTIOZJS,X,X,X,X,X,O,O,X,O,X,X,X
LTIOZSJ,X,X,X,X,X,O,O,X,O,X,X,X
LTJISZO,O,X,O,O,O,O,O,X,X,X,X,X
LTJISOZ,O,X,O,X,X,O,O,X,X,X,X,X
LTJIZSO,X,O,X,O,O,X,O,X,O,X,X,X
LTJIZOS,X,O,X,O,O,O,O,X,O,X,X,X
LTJIOSZ,O,X,O,X,X,O,O,X,X,X,X,X
LTJIOZS,X,X,X,O,O,O,O,X,O,X,X,X
LTJSIZO,O,X,O,O,O,O,O,X,X,X,X,X
LTJSIOZ,O,X,O,X,X,O,O,X,X,X,X,X
LTJSZIO,O,X,O,O,O,O,O,X,X,X,X,X
LTJSZOI,O,X,X,O,O,O,X,X,X,X,X,X
LTJSOIZ,O,X,O,X,X,O,O,X,X,X,X,X
LTJSOZI,O,X,X,X,X,O,O,X,X,X,X,X
LTJZISO,X,O,O,O,O,X,O,X,O,X,X,X
LTJZIOS,X,O,O,O,O,O,O,X,O,X,X,X
LTJZSIO,X,O,O,O,O,X,O,X,O,X,X,X
LTJZSOI,X,O,X,O,O,X,X,X,O,X,X,X
LTJZOIS,X,O,X,O,O,O,O,O,O,X,X,X
LTJZOSI,X,O,X,O,O,O,O,O,O,X,X,X
LTJOISZ,O,X,X,X,X,O,O,X,X,X,X,X
LTJOIZS,X,O,X,O,O,O,O,X,O,X,X,X
LTJOSIZ,O,X,O,X,X,O,O,X,X,X,X,X
LTJOSZI,O,X,X,X,X,O,O,X,X,X,X,X
LTJOZIS,X,O,X,O,O,O,O,X,O,X,X,X
LTJOZSI,X,O,X,O,O,O,O,X,O,X,X,X
LTSIJZO,O,O,O,O,O,O,O,X,X,X,X,X
LTSIJOZ,O,O,O,X,X,O,O,X,X,X,X,X
LTSIZJO,O,O,O,X,X,O,X,X,X,X,X,X
LTSIZOJ,X,O,X,X,X,O,X,X,X,X,X,X
LTSIOJZ,O,O,O,X,X,O,X,X,X,X,X,X
LTSIOZJ,X,O,O,X,X,O,X,X,X,X,X,X
LTSJIZO,O,O,O,O,O,O,O,X,X,X,X,X
LTSJIOZ,O,O,O,X,X,O,O,X,X,X,X,X
LTSJZIO,O,O,O,O,O,O,O,X,X,X,X,X
LTSJZOI,O,O,X,O,O,O,X,X,X,X,X,X
LTSJOIZ,O,O,O,X,X,O,O,X,X,X,X,X
LTSJOZI,O,O,X,X,X,O,O,X,X,X,X,X
LTSZIJO,O,O,O,O,O,O,O,X,X,X,X,X
LTSZIOJ,X,O,X,X,O,O,X,X,X,X,X,X
LTSZJIO,O,O,O,O,O,O,O,X,X,X,X,X
LTSZJOI,O,O,X,O,O,O,X,X,X,X,X,X
LTSZOIJ,X,O,X,O,O,O,X,X,X,X,X,X
LTSZOJI,X,O,X,O,O,O,X,X,X,X,X,X
LTSOIJZ,O,O,O,X,X,O,O,X,X,X,X,X
LTSOIZJ,X,O,X,X,X,O,X,X,X,X,X,X
LTSOJIZ,O,O,O,X,X,O,O,X,X,X,X,X
LTSOJZI,O,O,X,X,X,O,O,X,X,X,X,X
LTSOZIJ,X,O,X,X,X,O,O,X,X,X,X,X
LTSOZJI,X,O,X,X,X,O,O,X,X,X,X,X
LTZIJSO,X,X,O,O,O,X,O,X,O,X,X,X
LTZIJOS,X,X,O,O,O,O,O,X,O,X,X,X
LTZISJO,X,X,O,O,O,O,O,X,O,X,X,X
LTZISOJ,X,X,O,X,O,O,X,X,O,X,X,X
LTZIOJS,X,X,O,O,O,O,O,X,O,X,X,X
LTZIOSJ,X,X,O,O,X,O,X,X,O,X,X,X
LTZJISO,X,X,O,O,O,X,O,X,O,X,X,X
LTZJIOS,X,X,O,O,O,O,O,X,O,X,X,X
LTZJSIO,X,X,O,O,O,X,O,X,O,X,X,X
LTZJSOI,X,X,X,O,O,X,X,X,O,X,X,X
LTZJOIS,X,X,X,O,O,O,O,O,O,X,X,X
LTZJOSI,X,X,X,O,O,O,O,O,O,X,X,X
LTZSIJO,X,X,O,O,O,O,O,X,O,X,X,X
LTZSIOJ,X,X,X,X,O,O,X,X,O,X,X,X
LTZSJIO,X,X,O,O,O,O,O,X,O,X,X,X
LTZSJOI,X,X,X,O,O,O,X,X,O,X,X,X
LTZSOIJ,X,X,X,O,O,O,X,X,O,X,X,X
LTZSOJI,X,X,X,O,O,O,X,X,O,X,X,X
LTZOIJS,X,X,X,O,O,O,O,O,O,X,X,X
LTZOISJ,X,X,X,O,X,O,O,O,O,X,X,X
LTZOJIS,X,X,X,O,O,O,O,O,O,X,X,X
LTZOJSI,X,X,X,O,O,O,O,O,O,X,X,X
LTZOSIJ,X,X,X,O,O,O,O,O,O,X,X,X
LTZOSJI,X,X,X,O,O,O,O,O,O,X,X,X
LTOIJSZ,X,X,X,X,X,O,O,X,X,X,X,X
LTOIJZS,X,O,X,O,O,O,O,X,O,X,X,X
LTOISJZ,X,O,X,X,X,O,O,X,X,X,X,X
LTOISZJ,X,O,X,X,X,O,X,X,X,X,X,X
LTOIZJS,X,X,X,X,X,O,O,X,O,X,X,X
LTOIZSJ,X,X,X,X,X,O,O,X,O,X,X,X
LTOJISZ,X,X,X,X,X,O,O,X,X,X,X,X
LTOJIZS,X,O,X,O,O,O,O,X,O,X,X,X
LTOJSIZ,X,X,O,X,X,O,O,X,X,X,X,X
LTOJSZI,X,X,X,X,X,O,O,X,X,X,X,X
LTOJZIS,X,O,X,O,O,O,O,X,O,X,X,X
LTOJZSI,X,O,X,O,O,O,O,X,O,X,X,X
LTOSIJZ,X,O,O,X,X,O,O,X,X,X,X,X
LTOSIZJ,X,O,X,X,X,O,X,X,X,X,X,X
LTOSJIZ,X,O,O,X,X,O,O,X,X,X,X,X
LTOSJZI,X,O,X,X,X,O,O,X,X,X,X,X
LTOSZIJ,X,O,X,X,X,O,O,X,X,X,X,X
LTOSZJI,X,O,X,X,X,O,O,X,X,X,X,X
LTOZIJS,X,X,X,O,O,O,O,X,O,X,X,X
LTOZISJ,X,X,X,O,X,O,O,X,O,X,X,X
LTOZJIS,X,X,X,O,O,O,O,X,O,X,X,X
LTOZJSI,X,X,X,O,O,O,O,X,O,X,X,X
LTOZSIJ,X,X,X,O,O,O,O,X,O,X,X,X
LTOZSJI,X,X,X,O,O,O,O,X,O,X,X,X
LITJSZO,O,X,O,X,X,O,X,X,X,X,X,X
LITJSOZ,O,X,O,X,X,O,X,X,X,X,X,O
LITJZSO,X,O,X,X,X,X,X,X,O,X,X,X
LITJZOS,X,O,X,X,X,O,X,X,O,X,X,O
LITJOSZ,O,X,O,X,X,O,X,X,X,X,O,O
LITJOZS,X,X,X,X,X,O,X,X,O,X,O,O
LITSJZO,O,O,O,X,X,O,X,X,X,X,X,X
LITSJOZ,O,O,O,X,X,O,X,X,X,X,X,O
LITSZJO,O,O,O,X,X,O,X,X,X,X,X,X
LITSZOJ,X,O,X,X,X,O,X,X,X,X,X,X
LITSOJZ,O,O,O,X,X,O,X,X,X,X,X,O
LITSOZJ,X,O,O,X,X,O,X,X,X,X,X,X
LITZJSO,X,X,X,X,X,X,X,X,O,X,X,X
LITZJOS,X,X,X,X,X,O,X,X,O,X,X,O
LITZSJO,X,X,X,X,X,O,X,X,O,X,X,X
LITZSOJ,X,X,X,X,X,O,X,X,O,X,X,X
LITZOJS,X,X,X,X,X,O,X,X,O,X,X,O
LITZOSJ,X,X,X,X,X,O,X,X,O,X,X,X
LITOJSZ,X,X,O,X,X,O,X,X,X,X,O,O
LITOJZS,X,O,X,X,X,O,X,X,O,X,O,O
LITOSJZ,X,O,O,X,X,O,X,X,X,X,O,O
LITOSZJ,X,O,O,X,X,O,X,X,X,X,O,X
LITOZJS,X,X,X,X,X,O,X,X,O,X,O,O
LITOZSJ,X,X,X,X,X,O,X,X,O,X,O,X
LIJTSZO,O,X,O,X,X,O,X,X,X,X,X,X
LIJTSOZ,O,X,O,X,X,O,X,X,X,X,X,O
LIJTZSO,X,X,X,X,X,X,X,X,O,X,X,X
LIJTZOS,X,X,X,X,X,O,X,X,O,X,X,O
LIJTOSZ,O,X,O,X,X,O,X,X,X,X,O,O
LIJTOZS,X,X,X,X,X,O,X,X,O,X,O,O
LIJSTZO,O,X,O,X,X,O,X,X,X,O,X,X
LIJSTOZ,O,X,O,X,X,O,X,X,X,X,X,O
LIJSZTO,O,X,O,X,X,X,X,X,O,O,X,X
LIJSZOT,O,X,O,X,X,X,X,X,O,O,X,X
LIJSOTZ,O,X,O,X,X,O,X,X,X,X,O,X
LIJSOZT,O,X,O,X,X,X,X,X,O,X,X,X
LIJZTSO,X,X,O,X,X,X,X,X,O,X,X,X
LIJZTOS,X,X,O,X,X,O,X,X,O,X,X,O
LIJZSTO,O,X,O,X,X,X,X,X,O,O,X,X
LIJZSOT,O,X,O,X,X,X,X,X,O,O,X,X
LIJZOTS,X,X,O,X,X,O,X,X,O,X,O,X
LIJZOST,O,X,O,X,X,X,X,X,O,O,X,X
LIJOTSZ,O,X,O,X,X,O,X,X,X,X,O,O
LIJOTZS,X,X,X,X,X,O,X,X,O,X,O,O
LIJOSTZ,O,X,O,X,X,O,X,X,X,X,O,X
LIJOSZT,O,X,O,X,X,X,X,X,O,X,X,X
LIJOZTS,X,X,O,X,X,O,X,X,O,X,O,X
LIJOZST,O,X,O,X,X,X,X,X,O,X,X,X
LISTJZO,O,O,O,X,X,O,X,X,X,O,X,X
LISTJOZ,O,O,O,X,X,O,X,X,X,X,X,O
LISTZJO,O,O,O,X,X,O,X,X,X,O,X,X
LISTZOJ,X,O,O,X,X,O,X,X,X,O,X,X
LISTOJZ,O,O,O,X,X,O,X,X,X,X,X,O
LISTOZJ,X,O,X,X,X,O,X,X,X,X,X,X
LISJTZO,O,O,O,X,X,O,X,X,X,O,X,X
LISJTOZ,O,O,O,X,X,O,X,X,X,X,X,O
LISJZTO,O,O,O,X,X,X,X,X,O,O,X,X
LISJZOT,O,O,O,X,X,X,X,X,O,O,X,X
LISJOTZ,O,O,O,X,X,O,X,X,X,X,O,X
LISJOZT,O,O,O,X,X,X,X,X,O,X,X,X
LISZTJO,O,O,O,X,X,X,X,X,O,O,X,X
LISZTOJ,X,O,O,X,X,X,X,X,O,O,X,X
LISZJTO,O,O,O,X,X,X,X,X,O,O,X,X
LISZJOT,O,O,O,X,X,X,X,X,O,O,X,X
LISZOTJ,X,O,O,X,X,X,X,X,O,O,X,X
LISZOJT,X,O,O,X,X,X,X,X,O,O,X,X
LISOTJZ,O,O,O,X,X,O,X,X,X,X,O,X
LISOTZJ,X,O,X,X,X,O,X,X,X,X,O,X
LISOJTZ,O,O,O,X,X,O,X,X,X,X,O,X
LISOJZT,O,O,O,X,X,X,X,X,O,X,X,X
LISOZTJ,X,O,O,X,X,X,X,X,O,X,X,X
LISOZJT,X,O,O,X,X,X,X,X,O,X,X,X
LIZTJSO,X,X,O,X,X,X,X,X,O,X,X,X
LIZTJOS,X,X,O,X,X,O,X,X,O,X,X,O
LIZTSJO,X,X,O,X,X,O,X,X,O,X,X,X
LIZTSOJ,X,X,O,X,X,O,X,X,O,X,X,X
LIZTOJS,X,X,O,X,X,O,X,X,O,X,X,O
LIZTOSJ,X,X,O,X,X,O,X,X,O,X,X,X
