sequence,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFTc?BOiB8iB5jBXmBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je07IvhFlc?BzdB5jB/nBCmBmrB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je07IvhF6h?B2iB5jB3iBzlBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFTc?BmdB5jBXiBVrBcsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8Je6AJvhFOi?B8iB5jBThBXmBFsB,v115@zgB8HeC8GeC8EeA8AeC8EeA8AeF8AeC8JeX8IvhFmd?B5jBcmBTiB6lBFsB
LZSJOTI,O,O,X,X,X,X
LZSJOIT,O,O,X,X,X,X
LZSOTIJ,O,O,X,X,X,X
LZSOTJI,O,O,X,X,X,X
LZSOITJ,O,O,X,X,X,X
LZSOIJT,O,O,X,X,X,X
LZSOJTI,O,O,X,X,X,X
LZSOJIT,O,O,X,X,X,X
LZOTIJS,O,O,O,X,O,X
LZOTISJ,X,O,O,X,O,X
LZOTJIS,O,O,O,X,O,X
LZOTJSI,O,O,O,X,O,X
LZOTSIJ,X,O,O,X,O,X
LZOTSJI,X,O,O,X,O,X
LZOITJS,O,O,O,X,O,X
LZOITSJ,X,O,O,X,O,X
LZOIJTS,O,O,O,X,O,X
LZOIJST,O,O,O,X,X,X
LZOISTJ,O,O,O,X,X,X
LZOISJT,O,O,O,X,X,X
LZOJTIS,O,O,O,X,O,X
LZOJTSI,O,O,O,X,O,X
LZOJITS,O,O,O,X,O,X
LZOJIST,O,O,O,X,X,X
LZOJSTI,O,O,X,X,X,X
LZOJSIT,O,O,O,X,X,X
LZOSTIJ,O,O,O,X,X,X
LZOSTJI,O,O,O,X,X,X
LZOSITJ,O,O,O,X,X,X
LZOSIJT,O,O,O,X,X,X
LZOSJTI,O,O,X,X,X,X
LZOSJIT,O,O,O,X,X,X
LOTIJSZ,X,O,O,O,X,X
LOTIJZS,X,O,O,O,O,X
LOTISJZ,X,O,O,O,X,X
LOTISZJ,X,O,O,O,O,X
LOTIZJS,O,O,O,O,O,X
LOTIZSJ,X,O,O,O,O,X
LOTJISZ,X,O,O,O,X,X
LOTJIZS,X,O,O,O,O,X
LOTJSIZ,X,O,O,O,X,X
LOTJSZI,X,O,O,X,X,X
LOTJZIS,X,O,O,O,O,X
LOTJZSI,X,O,O,O,O,X
LOTSIJZ,X,O,O,O,X,X
LOTSIZJ,X,O,O,O,O,X
LOTSJIZ,X,O,O,O,X,X
LOTSJZI,X,O,O,X,X,X
LOTSZIJ,X,O,O,O,O,X
LOTSZJI,X,O,O,O,O,X
LOTZIJS,O,O,O,O,O,X
LOTZISJ,X,O,O,O,O,X
LOTZJIS,O,O,O,O,O,X
LOTZJSI,O,O,O,O,O,X
LOTZSIJ,X,O,O,O,O,X
LOTZSJI,X,O,O,O,O,X
LOITJSZ,X,O,O,O,X,X
LOITJZS,X,O,O,O,O,X
LOITSJZ,X,O,O,O,X,X
LOITSZJ,X,O,O,O,O,X
LOITZJS,O,O,O,O,O,X
LOITZSJ,X,O,O,O,O,X
LOIJTSZ,X,O,X,O,X,X
LOIJTZS,X,O,X,O,X,X
LOIJSTZ,X,O,X,X,X,X
LOIJSZT,X,O,X,X,X,X
LOIJZTS,X,O,O,X,X,X
LOIJZST,X,O,O,X,X,X
LOISTJZ,O,O,X,X,X,X
LOISTZJ,O,O,X,X,X,X
LOISJTZ,O,O,X,X,X,X
LOISJZT,O,O,X,X,X,X
LOISZTJ,O,O,X,X,X,X
LOISZJT,O,O,X,X,X,X
LOIZTJS,O,O,O,X,O,X
LOIZTSJ,X,O,O,X,O,X
LOIZJTS,O,O,O,X,O,X
LOIZJST,O,O,O,X,X,X
LOIZSTJ,O,O,O,X,X,X
LOIZSJT,O,O,O,X,X,X
LOJTISZ,X,O,X,O,X,X
LOJTIZS,X,O,X,O,X,X
LOJTSIZ,X,O,X,O,X,X
LOJTSZI,X,O,X,X,X,X
LOJTZIS,X,O,X,O,X,X
LOJTZSI,X,O,X,O,X,X
LOJITSZ,X,O,X,O,X,X
LOJITZS,X,O,X,O,X,X
LOJISTZ,X,O,X,X,X,X
LOJISZT,X,O,X,X,X,X
LOJIZTS,X,O,O,X,X,X
LOJIZST,X,O,O,X,X,X
LOJSTIZ,X,O,X,X,X,X
LOJSTZI,X,O,X,X,X,X
LOJSITZ,X,O,X,X,X,X
LOJSIZT,X,O,X,X,X,X
LOJSZTI,X,O,X,X,X,X
LOJSZIT,X,O,X,X,X,X
LOJZTIS,X,O,O,X,X,X
LOJZTSI,X,O,X,X,X,X
LOJZITS,X,O,O,X,X,X
LOJZIST,X,O,O,X,X,X
LOJZSTI,X,O,X,X,X,X
LOJZSIT,X,O,O,X,X,X
LOSTIJZ,O,O,X,X,X,X
LOSTIZJ,O,O,X,X,X,X
LOSTJIZ,O,O,X,X,X,X
LOSTJZI,O,O,X,X,X,X
LOSTZIJ,O,O,X,X,X,X
LOSTZJI,O,O,X,X,X,X
LOSITJZ,O,O,X,X,X,X
LOSITZJ,O,O,X,X,X,X
LOSIJTZ,O,O,X,X,X,X
LOSIJZT,O,O,X,X,X,X
LOSIZTJ,O,O,X,X,X,X
LOSIZJT,O,O,X,X,X,X
LOSJTIZ,O,O,X,X,X,X
LOSJTZI,O,O,X,X,X,X
LOSJITZ,O,O,X,X,X,X
LOSJIZT,O,O,X,X,X,X
LOSJZTI,O,O,X,X,X,X
LOSJZIT,O,O,X,X,X,X
LOSZTIJ,O,O,X,X,X,X
LOSZTJI,O,O,X,X,X,X
LOSZITJ,O,O,X,X,X,X
LOSZIJT,O,O,X,X,X,X
LOSZJTI,O,O,X,X,X,X
LOSZJIT,O,O,X,X,X,X
LOZTIJS,O,O,O,X,O,X
LOZTISJ,X,O,O,X,O,X
LOZTJIS,O,O,O,X,O,X
LOZTJSI,O,O,O,X,O,X
LOZTSIJ,X,O,O,X,O,X
LOZTSJI,X,O,O,X,O,X
LOZITJS,O,O,O,X,O,X
LOZITSJ,X,O,O,X,O,X
LOZIJTS,O,O,O,X,O,X
LOZIJST,O,O,O,X,X,X
LOZISTJ,O,O,O,X,X,X
LOZISJT,O,O,O,X,X,X
LOZJTIS,O,O,O,X,O,X
LOZJTSI,O,O,O,X,O,X
LOZJITS,O,O,O,X,O,X
LOZJIST,O,O,O,X,X,X
LOZJSTI,O,O,X,X,X,X
LOZJSIT,O,O,O,X,X,X
LOZSTIJ,O,O,O,X,X,X
LOZSTJI,O,O,O,X,X,X
LOZSITJ,O,O,O,X,X,X
LOZSIJT,O,O,O,X,X,X
LOZSJTI,O,O,X,X,X,X
LOZSJIT,O,O,O,X,X,X
JTILSZO,X,O,O,O,X,X
JTILSOZ,X,O,X,O,X,X
JTILZSO,O,O,O,O,O,X
JTILZOS,O,O,O,O,O,X
JTILOSZ,X,O,O,O,X,X
JTILOZS,X,O,O,O,O,O
JTISLZO,O,O,O,O,X,X
JTISLOZ,O,O,X,O,X,X
JTISZLO,O,O,O,O,X,X
JTISZOL,O,O,X,O,X,X
JTISOLZ,O,O,O,O,X,X
JTISOZL,O,O,O,X,X,O
JTIZLSO,O,O,O,O,O,X
JTIZLOS,O,O,O,O,O,X
JTIZSLO,O,O,O,O,O,X
JTIZSOL,O,O,X,O,O,O
JTIZOLS,O,X,O,O,O,O
JTIZOSL,O,O,O,O,O,O
JTIOLSZ,X,X,O,O,X,X
JTIOLZS,X,X,O,O,O,O
JTIOSLZ,X,X,O,O,X,X
JTIOSZL,X,X,O,X,X,O
JTIOZLS,X,X,O,O,O,O
JTIOZSL,X,X,O,O,O,O
JTLISZO,X,O,O,O,X,X
JTLISOZ,X,O,X,O,X,X
JTLIZSO,O,O,O,O,O,X
JTLIZOS,O,O,O,O,O,X
JTLIOSZ,X,O,O,O,X,X
JTLIOZS,X,O,O,O,O,O
JTLSIZO,X,O,O,O,X,X
JTLSIOZ,X,O,X,O,X,X
JTLSZIO,X,O,O,O,X,X
JTLSZOI,X,O,X,O,X,X
JTLSOIZ,X,O,X,O,X,X
JTLSOZI,X,O,X,X,X,X
JTLZISO,O,O,O,O,O,X
JTLZIOS,O,O,O,O,O,X
JTLZSIO,O,O,O,O,O,X
JTLZSOI,O,O,X,O,O,X
JTLZOIS,O,O,O,O,O,X
JTLZOSI,O,O,X,O,O,X
JTLOISZ,X,O,O,O,X,X
JTLOIZS,X,O,O,O,O,O
JTLOSIZ,X,O,O,O,X,X
JTLOSZI,X,O,O,X,X,X
JTLOZIS,X,O,O,O,O,O
JTLOZSI,X,O,O,O,O,O
JTSILZO,O,O,O,O,X,X
JTSILOZ,O,O,X,O,X,X
JTSIZLO,O,O,O,O,X,X
JTSIZOL,O,O,X,O,X,X
JTSIOLZ,O,O,O,O,X,X
JTSIOZL,O,O,O,X,X,O
JTSLIZO,O,O,O,O,X,X
JTSLIOZ,O,O,X,O,X,X
JTSLZIO,O,O,O,O,X,X
JTSLZOI,O,O,X,O,X,X
JTSLOIZ,O,O,X,O,X,X
JTSLOZI,O,O,X,X,X,X
JTSZILO,O,O,O,O,X,X
JTSZIOL,O,O,X,O,X,X
JTSZLIO,O,O,O,O,X,X
JTSZLOI,O,O,X,O,X,X
JTSZOIL,O,O,X,O,X,X
JTSZOLI,O,O,X,O,X,X
JTSOILZ,O,O,O,O,X,X
JTSOIZL,O,O,O,X,X,O
JTSOLIZ,O,O,O,O,X,X
JTSOLZI,O,O,O,X,X,X
JTSOZIL,O,O,O,X,X,O
JTSOZLI,O,O,O,X,X,O
JTZILSO,O,O,O,O,O,X
JTZILOS,O,O,O,O,O,X
JTZISLO,O,O,O,O,O,X
JTZISOL,O,O,X,O,O,O
JTZIOLS,O,X,O,O,O,O
JTZIOSL,O,O,O,O,O,O
JTZLISO,O,O,O,O,O,X
JTZLIOS,O,O,O,O,O,X
JTZLSIO,O,O,O,O,O,X
JTZLSOI,O,O,X,O,O,X
JTZLOIS,O,O,O,O,O,X
JTZLOSI,O,O,X,O,O,X
JTZSILO,O,O,O,O,O,X
JTZSIOL,O,O,X,O,O,O
JTZSLIO,O,O,O,O,O,X
JTZSLOI,O,O,X,O,O,X
JTZSOIL,O,O,X,O,O,O
JTZSOLI,O,O,X,O,O,O
JTZOILS,O,X,O,O,O,O
JTZOISL,O,O,O,O,O,O
JTZOLIS,O,X,O,O,O,O
JTZOLSI,O,X,O,O,O,O
JTZOSIL,O,O,O,O,O,O
JTZOSLI,O,O,O,O,O,O
JTOILSZ,X,X,O,O,X,X
JTOILZS,X,X,O,O,O,O
JTOISLZ,X,X,O,O,X,X
JTOISZL,X,X,O,X,X,O
JTOIZLS,X,X,O,O,O,O
JTOIZSL,X,X,O,O,O,O
JTOLISZ,X,X,O,O,X,X
JTOLIZS,X,X,O,O,O,O
JTOLSIZ,X,X,O,O,X,X
JTOLSZI,X,X,O,X,X,X
JTOLZIS,X,X,O,O,O,O
JTOLZSI,X,X,O,O,O,O
JTOSILZ,X,X,O,O,X,X
JTOSIZL,X,X,O,X,X,O
JTOSLIZ,X,X,O,O,X,X
JTOSLZI,X,X,O,X,X,X
JTOSZIL,X,X,O,X,X,O
JTOSZLI,X,X,O,X,X,O
JTOZILS,X,X,O,O,O,O
JTOZISL,X,X,O,O,O,O
JTOZLIS,X,X,O,O,O,O
JTOZLSI,X,X,O,O,O,O
JTOZSIL,X,X,O,O,O,O
JTOZSLI,X,X,O,O,O,O
JITLSZO,X,O,O,O,X,X
JITLSOZ,X,O,X,O,X,X
JITLZSO,O,O,O,O,O,X
JITLZOS,O,O,O,O,O,X
JITLOSZ,X,O,O,O,X,X
JITLOZS,X,O,O,O,O,O
JITSLZO,O,O,O,O,X,X
JITSLOZ,O,O,X,O,X,X
JITSZLO,O,O,O,O,X,X
JITSZOL,O,O,X,O,X,X
JITSOLZ,O,O,O,O,X,X
JITSOZL,O,O,O,X,X,O
JITZLSO,O,O,O,O,O,X
JITZLOS,O,O,O,O,O,X
JITZSLO,O,O,O,O,O,X
JITZSOL,O,O,X,O,O,O
JITZOLS,O,X,O,O,O,O
JITZOSL,O,O,O,O,O,O
JITOLSZ,X,X,O,O,X,X
JITOLZS,X,X,O,O,O,O
JITOSLZ,X,X,O,O,X,X
JITOSZL,X,X,O,X,X,O
JITOZLS,X,X,O,O,O,O
JITOZSL,X,X,O,O,O,O
JILTSZO,X,O,O,O,X,X
JILTSOZ,X,O,X,O,X,X
JILTZSO,O,O,O,O,O,X
JILTZOS,O,O,O,O,O,X
JILTOSZ,X,O,O,O,X,X
JILTOZS,X,O,O,O,O,O
JILSTZO,O,O,X,O,X,X
JILSTOZ,O,O,X,O,X,X
JILSZTO,O,O,X,X,X,X
JILSZOT,O,O,X,X,X,X
JILSOTZ,O,O,X,X,X,X
JILSOZT,O,O,X,X,X,X
JILZTSO,O,O,O,O,O,X
JILZTOS,O,O,X,O,O,X
JILZSTO,O,O,O,O,O,X
JILZSOT,O,O,O,X,X,X
JILZOTS,O,O,X,X,O,X
JILZOST,O,O,O,X,X,X
JILOTSZ,X,O,X,O,X,X
JILOTZS,X,O,X,O,X,X
JILOSTZ,X,O,X,X,X,X
JILOSZT,X,O,X,X,X,X
JILOZTS,X,O,O,X,X,X
JILOZST,X,O,O,X,X,X
JISTLZO,O,O,O,O,X,X
JISTLOZ,O,O,X,O,X,X
JISTZLO,O,O,O,O,X,X
JISTZOL,O,O,X,O,X,X
JISTOLZ,O,O,O,O,X,X
JISTOZL,O,O,O,X,X,O
JISLTZO,O,O,X,O,X,X
JISLTOZ,O,O,X,O,X,X
JISLZTO,O,O,X,X,X,X
JISLZOT,O,O,X,X,X,X
JISLOTZ,O,O,X,X,X,X
JISLOZT,O,O,X,X,X,X
JISZTLO,O,O,X,O,X,X
JISZTOL,O,O,X,O,X,X
JISZLTO,O,O,O,O,X,X
JISZLOT,O,O,O,X,X,X
JISZOTL,O,O,X,O,X,X
JISZOLT,O,O,X,X,X,X
JISOTLZ,O,O,X,X,X,X
JISOTZL,O,O,X,X,X,X
JISOLTZ,O,O,X,X,X,X
JISOLZT,O,O,X,X,X,X
JISOZTL,O,O,X,X,X,X
JISOZLT,O,O,O,X,X,X
JIZTLSO,O,O,O,O,O,X
JIZTLOS,O,O,O,O,O,X
JIZTSLO,O,O,O,O,O,X
JIZTSOL,O,O,X,O,O,O
JIZTOLS,O,X,O,O,O,O
JIZTOSL,O,O,O,O,O,O
JIZLTSO,O,O,O,O,O,X
JIZLTOS,O,O,O,O,O,X
JIZLSTO,O,O,O,O,O,X
JIZLSOT,O,O,O,X,X,X
JIZLOTS,O,O,X,X,O,X
JIZLOST,O,O,O,X,X,X
JIZSTLO,O,O,X,O,X,X
JIZSTOL,O,O,X,O,X,O
JIZSLTO,O,O,O,O,O,X
JIZSLOT,O,O,O,X,X,X
JIZSOTL,O,O,X,O,X,X
JIZSOLT,O,O,X,X,X,X
JIZOTLS,X,X,O,O,X,X
JIZOTSL,X,O,O,O,X,X
JIZOLTS,O,O,O,X,O,X
JIZOLST,O,O,O,X,X,X
JIZOSTL,O,O,X,O,X,X
JIZOSLT,O,O,O,X,X,X
JIOTLSZ,X,X,O,O,X,X
JIOTLZS,X,X,O,O,X,O
JIOTSLZ,X,X,O,O,X,X
JIOTSZL,X,X,O,X,X,O
JIOTZLS,X,X,O,O,X,O
JIOTZSL,X,X,O,O,X,O
JIOLTSZ,X,O,X,O,X,X
JIOLTZS,X,O,X,O,X,X
JIOLSTZ,X,O,X,X,X,X
JIOLSZT,X,O,X,X,X,X
JIOLZTS,X,O,O,X,X,X
JIOLZST,X,O,O,X,X,X
JIOSTLZ,X,O,X,X,X,X
JIOSTZL,X,O,X,X,X,X
JIOSLTZ,X,O,X,X,X,X
JIOSLZT,X,O,X,X,X,X
JIOSZTL,X,O,X,X,X,X
JIOSZLT,X,O,O,X,X,X
JIOZTLS,X,X,O,O,X,X
JIOZTSL,X,O,O,O,X,X
JIOZLTS,X,O,O,X,X,X
JIOZLST,X,O,O,X,X,X
JIOZSTL,X,O,X,O,X,X
JIOZSLT,X,O,O,X,X,X
JLTISZO,X,O,O,O,X,X
JLTISOZ,X,O,X,O,X,X
JLTIZSO,O,O,O,O,O,X
JLTIZOS,O,O,O,O,O,X
JLTIOSZ,X,O,O,O,X,X
JLTIOZS,X,O,O,O,O,O
JLTSIZO,X,O,O,O,X,X
JLTSIOZ,X,O,X,O,X,X
JLTSZIO,X,O,O,O,X,X
JLTSZOI,X,O,X,O,X,X
JLTSOIZ,X,O,X,O,X,X
JLTSOZI,X,O,X,X,X,X
JLTZISO,O,O,O,O,O,X
JLTZIOS,O,O,O,O,O,X
JLTZSIO,O,O,O,O,O,X
JLTZSOI,O,O,X,O,O,X
JLTZOIS,O,O,O,O,O,X
JLTZOSI,O,O,X,O,O,X
JLTOISZ,X,O,O,O,X,X
JLTOIZS,X,O,O,O,O,O
JLTOSIZ,X,O,O,O,X,X
JLTOSZI,X,O,O,X,X,X
JLTOZIS,X,O,O,O,O,O
JLTOZSI,X,O,O,O,O,O
JLITSZO,X,O,O,O,X,X
JLITSOZ,X,O,X,O,X,X
JLITZSO,O,O,O,O,O,X
JLITZOS,O,O,O,O,O,X
JLITOSZ,X,O,O,O,X,X
JLITOZS,X,O,O,O,O,O
JLISTZO,O,O,X,O,X,X
JLISTOZ,O,O,X,O,X,X
JLISZTO,O,O,X,X,X,X
JLISZOT,O,O,X,X,X,X
JLISOTZ,O,O,X,X,X,X
JLISOZT,O,O,X,X,X,X
JLIZTSO,O,O,O,O,O,X
JLIZTOS,O,O,X,O,O,X
JLIZSTO,O,O,O,O,O,X
JLIZSOT,O,O,O,X,X,X
JLIZOTS,O,O,X,X,O,X
JLIZOST,O,O,O,X,X,X
JLIOTSZ,X,O,X,O,X,X
JLIOTZS,X,O,X,O,X,X
JLIOSTZ,X,O,X,X,X,X
JLIOSZT,X,O,X,X,X,X
JLIOZTS,X,O,O,X,X,X
JLIOZST,X,O,O,X,X,X
JLSTIZO,O,O,X,O,X,X
JLSTIOZ,O,O,X,O,X,X
JLSTZIO,O,O,X,O,X,X
JLSTZOI,O,O,X,O,X,X
JLSTOIZ,O,O,X,O,X,X
JLSTOZI,O,O,X,X,X,X
JLSITZO,O,O,X,O,X,X
JLSITOZ,O,O,X,O,X,X
JLSIZTO,O,O,X,X,X,X
JLSIZOT,O,O,X,X,X,X
JLSIOTZ,O,O,X,X,X,X
JLSIOZT,O,O,X,X,X,X
JLSZTIO,O,O,X,X,X,X
JLSZTOI,O,O,X,X,X,X
JLSZITO,O,O,X,X,X,X
JLSZIOT,O,O,X,X,X,X
JLSZOTI,O,O,X,X,X,X
JLSZOIT,O,O,X,X,X,X
JLSOTIZ,O,O,X,X,X,X
JLSOTZI,O,O,X,X,X,X
JLSOITZ,O,O,X,X,X,X
JLSOIZT,O,O,X,X,X,X
JLSOZTI,O,O,X,X,X,X
JLSOZIT,O,O,X,X,X,X
JLZTISO,O,O,O,O,O,X
JLZTIOS,O,O,X,O,O,X
JLZTSIO,O,O,X,O,O,X
JLZTSOI,O,O,X,O,O,X
JLZTOIS,O,O,X,O,O,X
JLZTOSI,O,O,X,O,O,X
JLZITSO,O,O,O,O,O,X
JLZITOS,O,O,X,O,O,X
JLZISTO,O,O,O,O,O,X
JLZISOT,O,O,O,X,X,X
JLZIOTS,O,O,X,X,O,X
JLZIOST,O,O,O,X,X,X
JLZSTIO,O,O,X,O,O,X
JLZSTOI,O,O,X,O,O,X
JLZSITO,O,O,O,O,O,X
JLZSIOT,O,O,O,X,X,X
JLZSOTI,O,O,X,X,X,X
JLZSOIT,O,O,X,X,X,X
JLZOTIS,O,O,X,X,O,X
JLZOTSI,O,O,X,X,O,X
JLZOITS,O,O,X,X,O,X
JLZOIST,O,O,O,X,X,X
JLZOSTI,O,O,X,X,X,X
JLZOSIT,O,O,X,X,X,X
JLOTISZ,X,O,X,O,X,X
JLOTIZS,X,O,X,O,X,X
JLOTSIZ,X,O,X,O,X,X
JLOTSZI,X,O,X,X,X,X
JLOTZIS,X,O,X,O,X,X
JLOTZSI,X,O,X,O,X,X
JLOITSZ,X,O,X,O,X,X
JLOITZS,X,O,X,O,X,X
JLOISTZ,X,O,X,X,X,X
JLOISZT,X,O,X,X,X,X
JLOIZTS,X,O,O,X,X,X
JLOIZST,X,O,O,X,X,X
JLOSTIZ,X,O,X,X,X,X
JLOSTZI,X,O,X,X,X,X
JLOSITZ,X,O,X,X,X,X
JLOSIZT,X,O,X,X,X,X
JLOSZTI,X,O,X,X,X,X
JLOSZIT,X,O,X,X,X,X
JLOZTIS,X,O,O,X,X,X
JLOZTSI,X,O,X,X,X,X
JLOZITS,X,O,O,X,X,X
JLOZIST,X,O,O,X,X,X
JLOZSTI,X,O,X,X,X,X
JLOZSIT,X,O,O,X,X,X
JSTILZO,O,O,O,O,X,X
JSTILOZ,O,O,X,O,X,X
JSTIZLO,O,O,O,O,X,X
JSTIZOL,O,O,X,O,X,X
JSTIOLZ,O,O,O,O,X,X
JSTIOZL,O,O,O,X,X,O
JSTLIZO,O,O,O,O,X,X
JSTLIOZ,O,O,X,O,X,X
JSTLZIO,O,O,O,O,X,X
JSTLZOI,O,O,X,O,X,X
JSTLOIZ,O,O,X,O,X,X
JSTLOZI,O,O,X,X,X,X
JSTZILO,O,O,O,O,X,X
JSTZIOL,O,O,X,O,X,X
JSTZLIO,O,O,O,O,X,X
JSTZLOI,O,O,X,O,X,X
JSTZOIL,O,O,X,O,X,X
JSTZOLI,O,O,X,O,X,X
JSTOILZ,O,O,O,O,X,X
JSTOIZL,O,O,O,X,X,O
JSTOLIZ,O,O,O,O,X,X
JSTOLZI,O,O,O,X,X,X
JSTOZIL,O,O,O,X,X,O
JSTOZLI,O,O,O,X,X,O
JSITLZO,O,O,O,O,X,X
JSITLOZ,O,O,X,O,X,X
JSITZLO,O,O,O,O,X,X
JSITZOL,O,O,X,O,X,X
JSITOLZ,O,O,O,O,X,X
JSITOZL,O,O,O,X,X,O
JSILTZO,O,O,X,O,X,X
JSILTOZ,O,O,X,O,X,X
JSILZTO,O,O,X,X,X,X
JSILZOT,O,O,X,X,X,X
JSILOTZ,O,O,X,X,X,X
JSILOZT,O,O,X,X,X,X
JSIZTLO,O,O,X,O,X,X
JSIZTOL,O,O,X,O,X,X
JSIZLTO,O,O,O,O,X,X
JSIZLOT,O,O,O,X,X,X
JSIZOTL,O,O,X,O,X,X
JSIZOLT,O,O,X,X,X,X
JSIOTLZ,O,O,X,X,X,X
JSIOTZL,O,O,X,X,X,X
JSIOLTZ,O,O,X,X,X,X
JSIOLZT,O,O,X,X,X,X
JSIOZTL,O,O,X,X,X,X
JSIOZLT,O,O,O,X,X,X
JSLTIZO,O,O,X,O,X,X
JSLTIOZ,O,O,X,O,X,X
JSLTZIO,O,O,X,O,X,X
JSLTZOI,O,O,X,O,X,X
JSLTOIZ,O,O,X,O,X,X
JSLTOZI,O,O,X,X,X,X
JSLITZO,O,O,X,O,X,X
JSLITOZ,O,O,X,O,X,X
JSLIZTO,O,O,X,X,X,X
JSLIZOT,O,O,X,X,X,X
JSLIOTZ,O,O,X,X,X,X
JSLIOZT,O,O,X,X,X,X
JSLZTIO,O,O,X,X,X,X
JSLZTOI,O,O,X,X,X,X
JSLZITO,O,O,X,X,X,X
JSLZIOT,O,O,X,X,X,X
JSLZOTI,O,O,X,X,X,X
JSLZOIT,O,O,X,X,X,X
JSLOTIZ,O,O,X,X,X,X
JSLOTZI,O,O,X,X,X,X
JSLOITZ,O,O,X,X,X,X
JSLOIZT,O,O,X,X,X,X
JSLOZTI,O,O,X,X,X,X
JSLOZIT,O,O,X,X,X,X
JSZTILO,O,O,X,O,X,X
JSZTIOL,O,O,X,O,X,X
JSZTLIO,O,O,X,O,X,X
JSZTLOI,O,O,X,O,X,X
JSZTOIL,O,O,X,O,X,X
JSZTOLI,O,O,X,O,X,X
JSZITLO,O,O,X,O,X,X
JSZITOL,O,O,X,O,X,X
JSZILTO,O,O,O,O,X,X
JSZILOT,O,O,O,X,X,X
JSZIOTL,O,O,X,O,X,X
JSZIOLT,O,O,X,X,X,X
JSZLTIO,O,O,X,O,X,X
JSZLTOI,O,O,X,O,X,X
JSZLITO,O,O,O,O,X,X
JSZLIOT,O,O,O,X,X,X
JSZLOTI,O,O,X,X,X,X
JSZLOIT,O,O,X,X,X,X
JSZOTIL,O,O,X,O,X,X
JSZOTLI,O,O,X,O,X,X
JSZOITL,O,O,X,O,X,X
JSZOILT,O,O,X,X,X,X
JSZOLTI,O,O,X,X,X,X
JSZOLIT,O,O,X,X,X,X
JSOTILZ,O,O,X,X,X,X
JSOTIZL,O,O,X,X,X,X
JSOTLIZ,O,O,X,X,X,X
JSOTLZI,O,O,X,X,X,X
JSOTZIL,O,O,X,X,X,X
JSOTZLI,O,O,X,X,X,X
JSOITLZ,O,O,X,X,X,X
JSOITZL,O,O,X,X,X,X
JSOILTZ,O,O,X,X,X,X
JSOILZT,O,O,X,X,X,X
JSOIZTL,O,O,X,X,X,X
JSOIZLT,O,O,O,X,X,X
JSOLTIZ,O,O,X,X,X,X
JSOLTZI,O,O,X,X,X,X
JSOLITZ,O,O,X,X,X,X
JSOLIZT,O,O,X,X,X,X
JSOLZTI,O,O,X,X,X,X
JSOLZIT,O,O,X,X,X,X
JSOZTIL,O,O,X,X,X,X
JSOZTLI,O,O,X,X,X,X
JSOZITL,O,O,X,X,X,X
JSOZILT,O,O,O,X,X,X
JSOZLTI,O,O,X,X,X,X
JSOZLIT,O,O,O,X,X,X
JZTILSO,O,O,O,O,O,X
JZTILOS,O,O,O,O,O,X
JZTISLO,O,O,O,O,O,X
JZTISOL,O,O,X,O,O,O
JZTIOLS,O,X,O,O,O,O
JZTIOSL,O,O,O,O,O,O
JZTLISO,O,O,O,O,O,X
JZTLIOS,O,O,O,O,O,X
JZTLSIO,O,O,O,O,O,X
JZTLSOI,O,O,X,O,O,X
JZTLOIS,O,O,O,O,O,X
JZTLOSI,O,O,X,O,O,X
JZTSILO,O,O,O,O,O,X
JZTSIOL,O,O,X,O,O,O
JZTSLIO,O,O,O,O,O,X
JZTSLOI,O,O,X,O,O,X
JZTSOIL,O,O,X,O,O,O
JZTSOLI,O,O,X,O,O,O
JZTOILS,O,X,O,O,O,O
JZTOISL,O,O,O,O,O,O
JZTOLIS,O,X,O,O,O,O
JZTOLSI,O,X,O,O,O,O
JZTOSIL,O,O,O,O,O,O
JZTOSLI,O,O,O,O,O,O
JZITLSO,O,O,O,O,O,X
JZITLOS,O,O,O,O,O,X
JZITSLO,O,O,O,O,O,X
JZITSOL,O,O,X,O,O,O
JZITOLS,O,X,O,O,O,O
JZITOSL,O,O,O,O,O,O
JZILTSO,O,O,O,O,O,X
JZILTOS,O,O,O,O,O,X
JZILSTO,O,O,O,O,O,X
JZILSOT,O,O,O,X,X,X
JZILOTS,O,O,X,X,O,X
JZILOST,O,O,O,X,X,X
JZISTLO,O,O,X,O,X,X
JZISTOL,O,O,X,O,X,O
JZISLTO,O,O,O,O,O,X
JZISLOT,O,O,O,X,X,X
JZISOTL,O,O,X,O,X,X
JZISOLT,O,O,X,X,X,X
JZIOTLS,X,X,O,O,X,X
JZIOTSL,X,O,O,O,X,X
JZIOLTS,O,O,O,X,O,X
JZIOLST,O,O,O,X,X,X
JZIOSTL,O,O,X,O,X,X
JZIOSLT,O,O,O,X,X,X
JZLTISO,O,O,O,O,O,X
JZLTIOS,O,O,O,O,O,X
JZLTSIO,O,O,O,O,O,X
JZLTSOI,O,O,X,O,O,X
JZLTOIS,O,O,O,O,O,X
JZLTOSI,O,O,X,O,O,X
