sequence,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Je07IvhFmc?BzdB5jBfnBilBFrB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Jem7IvhFzd?B5jBclBanB3hBFrB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8Jel7IvhFch?BmdB5jBXiBTlBirB,v115@zgB8HeC8GeB8EeB8AeB8EeB8AeD8AeE8JeX8IvhFxd?BFiB6oBTgB0mBmqB
ITLZSJO,O,O,O,O
ITLZSOJ,O,O,X,O
ITLZOJS,O,O,O,X
ITLZOSJ,O,O,X,O
ITLOJSZ,O,X,X,O
ITLOJZS,O,O,O,X
ITLOSJZ,O,X,X,O
ITLOSZJ,O,O,O,O
ITLOZJS,O,O,O,X
ITLOZSJ,O,O,O,O
ITJLSZO,O,X,O,O
ITJLSOZ,O,X,X,O
ITJLZSO,O,O,O,O
ITJLZOS,O,O,O,X
ITJLOSZ,O,X,X,O
ITJLOZS,O,O,X,X
ITJSLZO,O,X,O,O
ITJSLOZ,O,X,X,O
ITJSZLO,O,X,O,X
ITJSZOL,O,X,O,X
ITJSOLZ,O,X,O,X
ITJSOZL,O,X,O,X
ITJZLSO,O,O,X,X
ITJZLOS,O,O,X,X
ITJZSLO,O,O,X,X
ITJZSOL,O,O,X,X
ITJZOLS,O,O,X,X
ITJZOSL,O,O,X,X
ITJOLSZ,O,X,O,X
ITJOLZS,O,O,O,X
ITJOSLZ,O,X,O,X
ITJOSZL,O,X,O,X
ITJOZLS,O,O,X,X
ITJOZSL,O,O,X,X
ITSLJZO,O,X,O,O
ITSLJOZ,O,X,X,O
ITSLZJO,O,O,O,O
ITSLZOJ,O,O,O,O
ITSLOJZ,O,X,X,O
ITSLOZJ,O,O,X,O
ITSJLZO,O,X,O,X
ITSJLOZ,O,X,X,X
