sequence,v115@FhB8FeF8CeH8AeF8Jex6IvhFmcBCeBTfBlgBcmB/qB,v115@FhB8FeF8CeH8AeF8JeO/IvhF0bBxdBzfBCiBXhBlqB,v115@FhB8FeF8CeH8AeF8JeK/IvhFzaBWiBxdBUhB3gBlqB,v115@FhB8FeF8CeH8AeF8JeO/IvhF8fBxdBzgBCiB/qBFrB,v115@FhB8FeF8CeH8AeF8Jex6IvhFXcB8hBCeBTfB2lBlqB
TOLZSIJ,O,O,O,X,O
TOLZSJI,O,O,O,X,O
TOJILSZ,O,O,O,X,O
TOJILZS,O,O,O,X,O
TOJISLZ,X,O,X,X,O
TOJISZL,X,O,X,X,O
TOJIZLS,X,O,O,X,O
TOJIZSL,X,O,X,X,O
TOJLISZ,O,O,O,X,O
TOJLIZS,O,O,O,X,O
TOJLSIZ,O,O,O,X,O
TOJLSZI,O,O,O,X,O
TOJLZIS,O,O,O,X,O
TOJLZSI,O,O,O,X,O
TOJSILZ,O,O,X,X,O
TOJSIZL,X,O,X,X,O
TOJSLIZ,O,O,X,X,O
TOJSLZI,O,O,X,X,O
TOJSZIL,O,O,X,X,O
TOJSZLI,O,O,X,X,O
TOJZILS,O,O,O,X,O
TOJZISL,X,O,X,X,O
TOJZLIS,O,O,O,X,O
TOJZLSI,O,O,O,X,O
TOJZSIL,O,O,X,X,O
TOJZSLI,O,O,X,X,O
TOSILJZ,O,O,X,X,O
TOSILZJ,O,O,X,X,O
TOSIJLZ,O,O,X,X,O
TOSIJZL,O,O,X,X,O
TOSIZLJ,O,O,X,X,O
TOSIZJL,O,O,X,X,O
TOSLIJZ,O,O,X,X,O
TOSLIZJ,O,O,X,X,O
TOSLJIZ,O,O,X,X,O
TOSLJZI,O,O,X,X,O
TOSLZIJ,O,O,X,X,O
TOSLZJI,O,O,X,X,O
TOSJILZ,O,O,X,X,O
TOSJIZL,O,O,X,X,O
TOSJLIZ,O,O,X,X,O
TOSJLZI,O,O,X,X,O
TOSJZIL,O,O,X,X,O
TOSJZLI,O,O,X,X,O
TOSZILJ,O,O,X,X,O
TOSZIJL,O,O,X,X,O
TOSZLIJ,O,O,X,X,O
TOSZLJI,O,O,X,X,O
TOSZJIL,O,O,X,X,O
TOSZJLI,O,O,X,X,O
TOZILJS,O,O,O,X,O
