sequence,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFahBUdBFeB5?mBTnBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8JeT7IvhFxdB0hBliBX?hBmqBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFRcBFeBThB6?nB8rBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jei7IvhFFdBXeBGhBT?nBxqBUrB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgB3iBO?rBTlBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgB3iBK?rBWxBTqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex9IvhF0gBlhB3iBT?lBOrBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex8IvhFXeBlgBUiBO?rBTlBCsB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je08IvhFxdBlgBunBi?mBTlB3rB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Jex8IvhFXeBlgBUiBK?rBWxBTqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8Je/AJvhFRcBThBliB8?rBCoBmqB,v115@zgB8HeB8GeD8EeD8FeF8BeD8JeT7IvhFuhBliB3lB8?rBZmBCtB
IZTOSJL,X,X,O,X,X,X,X,X,X,X,O,O
IZLTJSO,O,O,O,X,X,X,X,X,X,X,X,X
IZLTJOS,X,O,O,X,X,X,X,X,X,X,X,X
IZLTSJO,O,X,O,X,X,X,O,X,X,X,X,X
IZLTSOJ,O,O,O,X,X,X,O,X,X,X,X,X
IZLTOJS,X,O,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,O,O,X,X,X,X,X,X,X,X,X
IZLJTSO,O,O,O,O,X,X,X,X,X,X,X,X
IZLJTOS,X,O,O,X,X,X,X,X,X,X,X,X
IZLJSTO,O,X,O,O,X,X,O,X,X,X,X,X
IZLJSOT,O,X,O,X,X,X,X,X,X,X,X,X
IZLJOTS,X,O,O,O,X,X,X,X,X,X,X,X
IZLJOST,X,X,O,O,X,X,X,X,X,X,X,X
IZLSTJO,O,X,O,O,X,X,O,X,X,X,X,X
IZLSTOJ,O,X,O,X,X,X,O,X,X,X,X,X
IZLSJTO,O,X,O,O,O,X,O,X,X,X,X,X
IZLSJOT,X,X,O,X,O,X,X,X,X,X,X,X
IZLSOTJ,O,X,O,X,X,X,O,X,X,X,X,X
IZLSOJT,X,X,O,X,X,X,X,X,X,X,X,X
IZLOTJS,X,O,X,O,X,X,X,X,X,X,X,X
IZLOTSJ,X,O,O,O,X,X,X,X,X,X,X,X
IZLOJTS,X,O,X,O,X,X,X,X,X,X,X,X
IZLOJST,X,X,X,O,X,X,X,X,X,X,X,X
IZLOSTJ,X,X,O,O,X,X,O,X,X,X,X,X
IZLOSJT,X,X,O,O,X,X,X,X,X,X,X,X
IZJTLSO,O,O,X,O,X,X,X,X,X,X,X,X
IZJTLOS,X,O,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,X,O,O,X,X,X,X,X,X,X,O
IZJTSOL,O,X,O,X,X,X,X,X,X,X,O,O
IZJTOLS,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,X,O,X,X,X,X,X,X,X,O,X
IZJLTSO,O,O,O,O,X,X,X,X,X,X,X,X
IZJLTOS,X,O,O,X,X,X,X,X,X,X,X,X
IZJLSTO,O,X,O,O,X,X,O,X,X,X,X,X
IZJLSOT,O,X,O,X,X,X,X,X,X,X,X,X
IZJLOTS,X,O,O,O,X,X,X,X,X,X,X,X
IZJLOST,X,X,O,O,X,X,X,X,X,X,X,X
IZJSTLO,O,X,O,O,X,X,O,X,X,X,X,O
IZJSTOL,O,X,O,X,X,X,O,X,X,X,O,O
IZJSLTO,O,X,O,O,X,X,O,X,O,X,X,X
IZJSLOT,O,X,O,X,X,X,X,X,O,X,X,X
IZJSOTL,O,X,O,X,X,X,X,X,X,X,O,O
IZJSOLT,O,X,O,X,X,X,X,X,X,X,O,X
IZJOTLS,O,O,X,O,X,X,X,X,X,X,X,X
IZJOTSL,O,X,O,O,X,X,X,X,X,X,O,X
IZJOLTS,O,O,O,O,X,X,X,X,X,X,X,X
IZJOLST,O,X,O,O,X,X,X,X,X,X,X,X
IZJOSTL,O,X,O,O,X,X,X,X,X,X,O,X
IZJOSLT,O,X,O,O,X,X,X,X,X,X,O,X
IZSTLJO,O,X,O,O,X,X,O,X,X,X,X,X
IZSTLOJ,O,X,O,X,X,X,O,X,X,X,X,X
IZSTJLO,O,X,O,O,X,X,O,X,X,X,X,O
IZSTJOL,O,X,O,X,X,X,O,X,X,X,O,O
IZSTOLJ,O,X,O,X,X,X,O,X,X,X,O,X
IZSTOJL,X,X,O,X,X,X,O,X,X,X,O,O
IZSLTJO,O,X,O,O,X,X,O,X,X,X,X,X
IZSLTOJ,O,X,O,X,X,X,O,X,X,X,X,X
IZSLJTO,O,X,O,O,O,X,O,X,X,X,X,X
IZSLJOT,X,X,O,X,O,X,X,X,X,X,X,X
IZSLOTJ,O,X,O,X,X,X,O,X,X,X,X,X
IZSLOJT,O,X,O,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,O,O,O,O,O,X,X,X,X,O
IZSJTOL,O,X,O,X,O,X,O,X,X,X,O,O
IZSJLTO,O,X,O,O,O,O,O,X,X,X,X,X
IZSJLOT,O,X,O,X,X,O,X,X,X,X,X,X
IZSJOTL,O,X,O,X,O,X,X,X,X,X,O,O
IZSJOLT,O,X,O,X,X,O,X,X,X,X,O,X
IZSOTLJ,O,X,O,X,X,X,O,X,X,X,O,X
IZSOTJL,O,X,O,X,X,X,O,X,X,X,O,O
IZSOLTJ,O,X,O,X,X,X,O,X,X,X,O,X
IZSOLJT,O,X,O,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,O,X,X,X,X,X,X,X,O,O
IZSOJLT,O,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,O,X,O,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,O,X,X,X,X,X,X,X,X
IZOTJLS,O,O,X,O,X,X,X,X,X,X,X,X
IZOTJSL,O,X,X,O,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,O,O,X,X,X,X,X,X,O,X
IZOTSJL,O,X,O,O,X,X,X,X,X,X,O,O
IZOLTJS,O,O,X,O,X,X,X,X,X,X,X,X
IZOLTSJ,O,O,O,O,X,X,X,X,X,X,X,X
IZOLJTS,O,O,X,O,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,O,X,X,X,X,X,X,X,X
IZOLSTJ,O,X,O,O,X,X,O,X,X,X,X,X
IZOLSJT,O,X,O,O,X,X,X,X,X,X,X,X
IZOJTLS,O,O,X,O,X,X,X,X,X,X,X,X
IZOJTSL,O,X,X,O,X,X,X,X,X,X,X,X
IZOJLTS,O,O,X,O,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,O,X,X,X,X,X,X,X,X
IZOJSTL,O,X,X,O,X,X,X,X,X,X,X,X
IZOJSLT,O,X,X,O,X,X,X,X,X,X,X,X
IZOSTLJ,O,X,O,O,X,X,O,X,X,X,O,X
IZOSTJL,O,X,O,O,X,X,O,X,X,X,O,O
IZOSLTJ,O,X,O,O,X,X,O,X,X,X,O,X
IZOSLJT,O,X,O,O,X,X,X,X,X,X,X,X
IZOSJTL,O,X,O,O,X,X,X,X,X,X,O,O
IZOSJLT,O,X,X,O,X,X,X,X,X,X,X,X
IOTLJSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTLJZS,O,O,X,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,O,X,X,X,X,X,X,X,X
IOTLZJS,O,O,X,O,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,X,O,X,X,X,X,X,X,X,X
IOTJLSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTJLZS,O,O,X,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTJSZL,O,X,X,O,X,X,X,X,X,X,X,X
IOTJZLS,O,O,X,O,X,X,X,X,X,X,X,X
IOTJZSL,O,X,X,O,X,X,X,X,X,X,X,X
IOTSLJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,X,O,X,X,X,X,X,X,X,X
IOTSJLZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,O,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,O,X,X,X,X,X,X,X,X
IOTSZJL,O,X,X,O,X,X,X,X,X,X,X,X
IOTZLJS,O,O,X,O,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,X,O,X,X,X,X,X,X,X,X
IOTZJLS,O,O,X,O,X,X,X,X,X,X,X,X
IOTZJSL,O,X,X,O,X,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
IOTZSJL,O,X,X,O,X,X,X,X,X,X,X,O
IOLTJSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLTJZS,O,O,X,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,O,X,X,X,X,X,X,X,X
IOLTZJS,O,O,X,O,X,X,X,X,X,X,X,X
IOLTZSJ,O,O,X,O,X,X,X,X,X,X,X,X
IOLJTSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLJTZS,O,O,X,O,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,O,X,X,X,X,X,X,X,X
IOLJZTS,O,O,X,O,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,O,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,O,X,X,O,X,X,X,X,X
IOLSJTZ,O,O,X,O,O,X,X,X,X,X,X,X
IOLSJZT,O,X,X,O,O,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,O,X,X,O,X,X,X,X,X
IOLSZJT,O,X,X,O,X,X,X,X,X,X,X,X
IOLZTJS,O,O,X,O,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,X,O,X,X,X,X,X,X,X,X
IOLZJTS,O,O,X,O,X,X,X,X,X,X,X,X
IOLZJST,O,X,X,O,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,X,O,X,X,O,X,X,X,X,X
IOLZSJT,O,X,X,O,X,X,X,X,X,X,X,X
IOJTLSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOJTLZS,O,O,X,O,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,O,X,X,X,X,X,X,X,X
IOJTSZL,O,X,X,O,X,X,X,X,X,X,X,X
IOJTZLS,O,O,X,O,X,X,X,X,X,X,X,X
IOJTZSL,O,X,X,O,X,X,X,X,X,X,X,X
IOJLTSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOJLTZS,O,O,X,O,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,X,O,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,O,X,X,X,X,X,X,X,X
IOJLZTS,O,O,X,O,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,O,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,X,O,X,X,X,X,X,X,X,X
IOJSTZL,O,X,X,O,X,X,X,X,X,X,X,X
IOJSLTZ,O,O,X,O,X,X,X,X,O,X,X,X
IOJSLZT,O,X,X,O,X,X,X,X,O,X,X,X
IOJSZTL,O,X,X,O,X,X,X,X,X,X,X,X
IOJSZLT,O,X,X,O,X,X,X,X,X,X,X,X
IOJZTLS,O,O,X,O,X,X,X,X,X,X,X,X
IOJZTSL,O,X,X,O,X,X,X,X,X,X,X,X
IOJZLTS,O,O,X,O,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,O,X,X,X,X,X,X,X,X
IOJZSTL,O,X,X,O,X,X,X,X,X,X,X,X
IOJZSLT,O,X,X,O,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,O,X,X,X,X,X,X,X,X
IOSTJLZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSTJZL,O,X,X,O,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,O,X,X,O,X,X,X,X,X
IOSTZJL,O,X,X,O,X,X,O,X,X,X,X,X
IOSLTJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,X,O,X,X,O,X,X,X,X,X
IOSLJTZ,O,O,X,O,O,X,X,X,X,X,X,X
IOSLJZT,O,X,X,O,O,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,O,X,X,O,X,X,X,X,X
IOSLZJT,O,X,X,O,X,X,X,X,X,X,X,X
IOSJTLZ,O,O,X,O,O,X,X,X,X,X,X,X
IOSJTZL,O,X,X,O,O,X,X,X,X,X,X,X
IOSJLTZ,O,O,X,O,X,O,X,X,X,X,X,X
IOSJLZT,O,X,X,O,X,O,X,X,X,X,X,X
IOSJZTL,O,X,X,O,O,X,X,X,X,X,X,X
IOSJZLT,O,X,X,O,X,O,X,X,X,X,X,X
IOSZTLJ,O,X,X,O,X,X,O,X,X,X,X,X
IOSZTJL,O,X,X,O,X,X,O,X,X,X,X,O
IOSZLTJ,O,X,X,O,X,X,O,X,X,X,X,X
IOSZLJT,O,X,X,O,X,X,X,X,X,X,X,X
IOSZJTL,O,X,X,O,X,X,X,X,X,X,X,O
IOSZJLT,O,X,X,O,X,X,X,X,X,X,X,X
IOZTLJS,O,O,X,O,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,X,O,X,X,X,X,X,X,X,X
IOZTJLS,O,O,X,O,X,X,X,X,X,X,X,X
IOZTJSL,O,X,X,O,X,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,O,X,X,X,X,X,X,X,X
IOZTSJL,O,X,X,O,X,X,X,X,X,X,X,O
IOZLTJS,O,O,X,O,X,X,X,X,X,X,X,X
IOZLTSJ,O,O,X,O,X,X,X,X,X,X,X,X
IOZLJTS,O,O,X,O,X,X,X,X,X,X,X,X
IOZLJST,O,X,X,O,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,X,O,X,X,O,X,X,X,X,X
IOZLSJT,O,X,X,O,X,X,X,X,X,X,X,X
IOZJTLS,O,O,X,O,X,X,X,X,X,X,X,X
IOZJTSL,O,X,X,O,X,X,X,X,X,X,X,X
IOZJLTS,O,O,X,O,X,X,X,X,X,X,X,X
IOZJLST,O,X,X,O,X,X,X,X,X,X,X,X
IOZJSTL,O,X,X,O,X,X,X,X,X,X,X,X
IOZJSLT,O,X,X,O,X,X,X,X,X,X,X,X
IOZSTLJ,O,X,X,O,X,X,O,X,X,X,X,X
IOZSTJL,O,X,X,O,X,X,O,X,X,X,X,O
IOZSLTJ,O,X,X,O,X,X,O,X,X,X,X,X
IOZSLJT,O,X,X,O,X,X,X,X,X,X,X,X
IOZSJTL,O,X,X,O,X,X,X,X,X,X,X,O
IOZSJLT,O,X,X,O,X,X,X,X,X,X,X,X
LTIJSZO,O,O,O,O,X,O,X,X,X,O,X,X
LTIJSOZ,O,O,O,O,X,O,X,X,X,X,X,X
LTIJZSO,O,O,O,O,X,O,X,X,X,O,X,X
LTIJZOS,X,O,O,X,X,X,X,X,X,O,X,X
LTIJOSZ,X,O,X,O,X,X,X,X,X,X,X,X
LTIJOZS,X,O,X,O,X,X,X,X,X,X,X,X
LTISJZO,O,O,O,O,O,O,O,X,X,O,X,X
LTISJOZ,X,O,O,O,O,O,X,X,X,X,X,X
LTISZJO,O,X,O,O,X,X,O,O,X,X,X,X
LTISZOJ,O,O,O,X,X,X,O,X,X,X,X,X
LTISOJZ,X,O,O,O,X,X,X,X,X,X,X,X
LTISOZJ,O,O,O,X,X,X,O,X,X,X,X,X
LTIZJSO,O,O,O,X,X,O,X,X,X,X,X,X
LTIZJOS,X,O,O,X,X,X,X,X,X,X,X,X
LTIZSJO,O,X,O,X,X,X,O,O,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,O,X,X,X,X,X
LTIZOJS,X,O,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,X,O,O,X,X,X,X,X,X,X,X,X
LTIOJSZ,X,O,X,O,X,X,X,X,X,X,X,X
LTIOJZS,X,O,X,X,X,X,X,X,X,X,X,X
LTIOSJZ,X,O,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,X,O,X,X,X,X,X,X,X,X
LTIOZJS,X,O,X,O,X,X,X,X,X,X,X,X
LTIOZSJ,X,O,X,O,X,X,X,X,X,X,X,X
LTJISZO,O,O,O,X,O,O,X,O,X,O,X,X
LTJISOZ,O,O,O,X,O,O,X,X,X,X,X,X
LTJIZSO,O,O,O,X,O,O,X,O,X,O,X,X
LTJIZOS,X,O,O,X,X,X,X,O,X,O,X,X
LTJIOSZ,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOZS,X,O,X,X,X,X,X,X,X,X,X,X
LTJSIZO,O,O,O,X,O,O,O,O,O,O,X,X
LTJSIOZ,O,O,O,X,O,O,X,X,O,X,X,X
LTJSZIO,O,O,O,X,O,O,O,O,O,O,X,X
LTJSZOI,O,O,O,X,O,O,O,O,O,O,O,X
LTJSOIZ,O,O,O,X,O,O,X,X,O,X,X,X
LTJSOZI,O,O,O,X,O,O,X,O,O,O,X,X
LTJZISO,X,O,O,X,O,O,X,O,X,O,X,X
LTJZIOS,X,O,O,X,X,X,X,O,X,O,X,X
LTJZSIO,X,O,O,X,O,O,O,O,X,O,X,X
LTJZSOI,X,O,O,X,O,O,O,O,X,O,O,X
LTJZOIS,X,O,O,X,X,X,X,O,X,O,X,X
LTJZOSI,X,O,O,X,O,O,X,O,X,O,O,X
LTJOISZ,O,O,X,X,X,X,X,X,X,X,X,X
LTJOIZS,O,O,X,X,X,X,X,X,X,X,X,X
LTJOSIZ,O,O,O,X,O,O,X,X,X,X,X,X
LTJOSZI,O,O,O,X,O,O,X,O,X,O,X,X
LTJOZIS,O,O,O,X,X,X,X,O,X,O,X,X
LTJOZSI,O,O,O,X,O,O,X,O,X,O,X,X
LTSIJZO,O,O,O,O,O,O,O,X,O,O,X,X
LTSIJOZ,O,O,O,O,O,O,X,X,O,X,X,X
LTSIZJO,O,X,O,O,X,X,O,O,O,X,X,X
LTSIZOJ,O,O,O,X,X,X,O,X,X,X,X,X
LTSIOJZ,O,O,O,O,X,X,X,X,X,X,X,X
LTSIOZJ,O,O,O,O,X,X,O,X,X,X,X,X
LTSJIZO,O,O,O,O,O,O,O,O,O,O,X,X
LTSJIOZ,O,O,O,O,O,O,X,X,O,X,X,X
LTSJZIO,O,O,O,X,O,O,O,O,O,O,X,X
LTSJZOI,O,O,O,X,O,O,O,O,O,O,O,X
LTSJOIZ,O,O,O,O,O,O,X,X,O,X,X,X
LTSJOZI,O,O,O,X,O,O,X,O,O,O,X,X
LTSZIJO,O,X,O,O,X,X,O,O,O,X,X,X
LTSZIOJ,O,O,O,X,X,X,O,X,X,X,X,X
LTSZJIO,O,X,O,X,X,O,O,O,O,O,X,X
LTSZJOI,O,X,O,X,X,O,O,O,O,O,O,X
LTSZOIJ,O,O,O,O,X,X,O,X,X,X,O,X
LTSZOJI,O,O,O,X,X,X,O,O,O,X,O,X
LTSOIJZ,O,O,O,O,X,X,X,X,X,X,X,X
LTSOIZJ,O,O,O,O,X,X,O,X,X,X,X,X
LTSOJIZ,O,O,O,O,X,O,X,X,O,X,X,X
LTSOJZI,O,O,O,X,X,O,X,X,O,O,X,X
LTSOZIJ,O,O,O,O,X,X,O,X,X,X,X,X
LTSOZJI,O,O,O,X,X,X,O,O,O,X,X,X
LTZIJSO,X,O,O,X,X,O,X,X,X,X,X,X
LTZIJOS,X,O,O,X,X,X,X,X,X,X,X,X
LTZISJO,X,X,O,X,X,X,O,O,X,X,X,X
LTZISOJ,X,O,O,X,X,X,O,X,X,X,X,X
LTZIOJS,X,O,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,X,O,O,X,X,X,X,X,X,X,X,X
LTZJISO,X,O,O,X,X,O,X,X,X,O,X,X
LTZJIOS,X,O,O,X,X,X,X,X,X,O,X,X
LTZJSIO,X,O,O,X,O,O,O,O,X,O,X,O
LTZJSOI,X,O,O,X,O,O,O,O,X,O,O,O
LTZJOIS,X,O,O,X,X,X,X,X,X,O,X,X
LTZJOSI,X,O,O,X,X,O,X,X,X,O,O,X
LTZSIJO,X,X,O,X,X,X,O,O,X,X,X,X
LTZSIOJ,X,O,O,X,X,X,O,X,X,X,X,X
LTZSJIO,X,X,O,X,X,O,O,O,X,O,X,O
LTZSJOI,X,X,O,X,X,O,O,O,X,O,O,O
LTZSOIJ,X,O,O,X,X,X,O,X,X,X,O,X
LTZSOJI,X,O,O,X,X,X,O,O,X,X,O,O
LTZOIJS,X,O,X,X,X,X,X,X,X,X,X,X
LTZOISJ,X,O,O,X,X,X,X,X,X,X,X,X
LTZOJIS,X,O,O,X,X,X,X,X,X,X,X,X
LTZOJSI,X,O,O,X,X,O,X,X,X,X,X,X
LTZOSIJ,X,O,O,X,X,X,O,X,X,X,O,X
LTZOSJI,X,O,O,X,X,X,O,O,X,X,O,O
LTOIJSZ,O,O,X,O,X,X,X,X,X,X,X,X
LTOIJZS,O,O,X,X,X,X,X,X,X,X,X,X
LTOISJZ,O,O,X,O,X,X,X,X,X,X,X,X
LTOISZJ,O,O,X,O,X,X,X,X,X,X,X,X
LTOIZJS,O,O,X,O,X,X,X,X,X,X,X,X
LTOIZSJ,O,O,X,O,X,X,X,X,X,X,X,X
LTOJISZ,O,O,X,X,X,X,X,X,X,X,X,X
LTOJIZS,O,O,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,O,O,O,X,O,X,X,X,X,X,X
LTOJSZI,O,O,O,X,X,O,X,X,X,O,X,X
LTOJZIS,O,O,O,X,X,X,X,X,X,O,X,X
LTOJZSI,O,O,O,X,X,O,X,X,X,O,X,X
LTOSIJZ,O,O,O,O,X,X,X,X,X,X,X,X
LTOSIZJ,O,O,O,O,X,X,O,X,X,X,X,X
LTOSJIZ,O,O,O,O,X,O,X,X,X,X,X,X
LTOSJZI,O,O,O,X,X,O,X,X,X,O,X,X
LTOSZIJ,O,O,O,O,X,X,O,X,X,X,X,X
LTOSZJI,O,O,O,X,X,X,O,O,X,X,X,X
LTOZIJS,O,O,X,X,X,X,X,X,X,X,X,X
LTOZISJ,O,O,O,X,X,X,X,X,X,X,X,X
LTOZJIS,O,O,O,X,X,X,X,X,X,X,X,X
LTOZJSI,O,O,O,X,X,O,X,X,X,X,X,X
LTOZSIJ,O,O,O,O,X,X,O,X,X,X,X,X
LTOZSJI,O,O,O,X,X,X,O,O,X,X,X,O
LITJSZO,O,O,O,O,X,O,X,X,X,O,X,X
LITJSOZ,O,O,O,O,X,O,X,X,X,X,X,X
LITJZSO,O,O,O,O,X,O,X,X,X,O,X,X
LITJZOS,X,O,O,X,X,X,X,X,X,O,X,X
LITJOSZ,X,O,X,O,X,X,X,X,X,X,X,X
LITJOZS,X,O,X,O,X,X,X,X,X,X,X,X
LITSJZO,O,O,O,O,O,O,O,X,X,O,X,X
LITSJOZ,X,O,O,O,O,O,X,X,X,X,X,X
LITSZJO,O,X,O,O,X,X,O,O,X,X,X,X
LITSZOJ,O,O,O,X,X,X,O,X,X,X,X,X
LITSOJZ,X,O,O,O,X,X,X,X,X,X,X,X
LITSOZJ,O,O,O,X,X,X,O,X,X,X,X,X
LITZJSO,O,O,O,X,X,O,X,X,X,X,X,X
LITZJOS,X,O,O,X,X,X,X,X,X,X,X,X
LITZSJO,O,X,O,X,X,X,O,O,X,X,X,X
LITZSOJ,O,O,O,X,X,X,O,X,X,X,X,X
LITZOJS,X,O,X,X,X,X,X,X,X,X,X,X
LITZOSJ,X,O,O,X,X,X,X,X,X,X,X,X
LITOJSZ,X,O,X,O,X,X,X,X,X,X,X,X
LITOJZS,X,O,X,X,X,X,X,X,X,X,X,X
LITOSJZ,X,O,X,O,X,X,X,X,X,X,X,X
LITOSZJ,X,O,X,O,X,X,X,X,X,X,X,X
LITOZJS,X,O,X,O,X,X,X,X,X,X,X,X
LITOZSJ,X,O,X,O,X,X,X,X,X,X,X,X
LIJTSZO,O,O,O,O,O,O,X,O,X,O,X,X
LIJTSOZ,O,O,O,O,O,O,X,X,X,X,X,X
LIJTZSO,O,O,O,O,O,O,X,O,X,O,X,X
LIJTZOS,X,O,O,X,X,X,X,O,X,O,X,X
LIJTOSZ,X,O,X,O,X,X,X,X,X,X,X,X
LIJTOZS,X,O,X,O,X,X,X,X,X,X,X,X
LIJSTZO,O,O,O,O,O,O,O,O,O,O,X,X
LIJSTOZ,O,O,O,O,O,O,X,X,O,X,X,X
LIJSZTO,O,X,O,O,O,O,O,O,O,O,X,X
LIJSZOT,O,X,O,X,O,O,X,O,O,O,X,X
LIJSOTZ,O,O,O,O,O,O,X,X,O,X,X,X
LIJSOZT,O,X,X,O,O,O,X,X,O,X,X,X
LIJZTSO,O,O,O,O,O,O,X,O,X,O,X,X
LIJZTOS,X,O,O,X,X,X,X,O,X,O,X,X
LIJZSTO,O,X,O,O,O,O,O,O,X,O,X,X
LIJZSOT,O,X,O,X,O,O,X,O,X,O,X,X
LIJZOTS,X,O,O,O,X,X,X,O,X,O,X,X
LIJZOST,X,X,O,O,X,X,X,O,X,O,X,X
LIJOTSZ,O,O,X,O,X,X,X,X,X,X,X,X
LIJOTZS,O,O,X,O,X,X,X,X,X,X,X,X
LIJOSTZ,O,O,X,O,X,X,X,X,X,X,X,X
LIJOSZT,O,X,X,O,X,X,X,X,X,X,X,X
LIJOZTS,O,O,X,O,X,X,X,X,X,X,X,X
LIJOZST,O,X,X,O,X,X,X,X,X,X,X,X
LISTJZO,O,O,O,O,O,O,O,X,X,O,X,X
LISTJOZ,X,O,O,O,O,O,X,X,X,X,X,X
LISTZJO,O,X,O,O,X,X,O,O,X,X,X,X
LISTZOJ,O,O,O,X,X,X,O,X,X,X,X,X
LISTOJZ,O,O,O,O,X,X,X,X,X,X,X,X
LISTOZJ,O,O,O,O,X,X,O,X,X,X,X,X
LISJTZO,O,O,O,O,O,O,O,O,X,O,X,X
LISJTOZ,X,O,O,O,O,O,X,X,X,X,X,X
LISJZTO,O,X,O,O,O,O,O,O,X,O,X,X
LISJZOT,X,X,O,X,O,O,X,O,X,O,X,X
LISJOTZ,O,O,O,O,O,O,X,X,X,X,X,X
LISJOZT,O,X,X,O,O,O,X,X,X,X,X,X
LISZTJO,O,X,O,O,X,X,O,O,X,X,X,X
LISZTOJ,O,X,O,X,X,X,O,X,X,X,X,X
LISZJTO,O,X,O,O,O,X,O,X,X,X,X,X
LISZJOT,X,X,O,X,O,X,X,X,X,X,X,X
LISZOTJ,O,X,O,X,X,X,O,X,X,X,X,X
LISZOJT,O,X,O,X,X,X,X,X,X,X,X,X
LISOTJZ,O,O,O,O,X,X,X,X,X,X,X,X
LISOTZJ,O,O,O,O,X,X,O,X,X,X,X,X
LISOJTZ,O,O,X,O,O,X,X,X,X,X,X,X
LISOJZT,O,X,X,O,O,X,X,X,X,X,X,X
LISOZTJ,O,X,X,O,X,X,O,X,X,X,X,X
LISOZJT,O,X,X,O,X,X,X,X,X,X,X,X
LIZTJSO,O,O,O,X,X,X,X,X,X,X,X,X
LIZTJOS,X,O,O,X,X,X,X,X,X,X,X,X
LIZTSJO,O,X,O,X,X,X,O,O,X,X,X,X
LIZTSOJ,O,O,O,X,X,X,O,X,X,X,X,X
LIZTOJS,X,O,X,X,X,X,X,X,X,X,X,X
LIZTOSJ,X,O,O,X,X,X,X,X,X,X,X,X
