sequence,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBGeBqnB/?oBUsBlrB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBGjBlmBU?oBXsBCtB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhF+hB0dB6jBV?tBzrB/sB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBCeB+oBl?mBXsB8sB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFUdB1mBXjBG?jBzrBCtB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhF8iB+jB3hBF?iBzrBCtB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBfjB6jBW?tBUsBlrB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBWjBXjBS?tBUsBlrB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcBXeB+oB0?mBlnBSxB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFzcB3iB+oBF?jB0mBSxB,v115@3gA8EeE8EeD8FeE8EeE8CeB8Jex6IvhFTeBFiB0mBG?oB3sBCsB
IZOJTSL,X,O,O,X,X,X,O,X,O,O,O
IZOJLTS,X,X,X,X,X,X,X,X,O,O,O
IZOJLST,X,X,X,X,X,X,X,X,X,O,X
IZOJSTL,X,O,X,X,X,X,O,X,O,O,O
IZOJSLT,X,X,X,X,X,X,O,X,X,O,X
IZOSTLJ,X,O,X,X,X,X,X,X,X,X,X
IZOSTJL,X,O,X,X,X,X,X,X,X,X,O
IZOSLTJ,O,X,X,X,X,X,X,X,X,X,X
IZOSLJT,O,X,X,X,X,O,X,X,X,X,X
IZOSJTL,X,O,X,X,X,X,X,X,O,O,O
IZOSJLT,O,X,X,X,X,X,X,X,X,O,O
IOTLJSZ,X,X,O,X,O,O,X,X,X,X,X
IOTLJZS,X,X,O,X,O,O,X,X,X,X,X
IOTLSJZ,X,X,O,O,O,O,X,X,X,X,X
IOTLSZJ,X,O,O,X,O,X,X,X,X,X,X
IOTLZJS,X,X,O,X,O,X,X,X,X,X,X
IOTLZSJ,X,X,O,X,O,X,X,X,X,X,X
IOTJLSZ,X,X,O,X,O,X,X,X,X,X,X
IOTJLZS,X,X,O,X,O,X,X,X,X,X,X
IOTJSLZ,X,X,O,O,X,X,X,X,X,X,X
IOTJSZL,X,O,O,O,X,X,X,X,X,X,X
IOTJZLS,X,X,O,X,O,X,X,X,X,X,X
IOTJZSL,X,X,O,X,X,X,X,X,X,X,X
IOTSLJZ,X,X,O,O,O,O,X,X,X,X,X
IOTSLZJ,X,O,O,X,O,X,X,X,X,X,X
IOTSJLZ,X,X,O,O,X,X,X,X,X,X,X
IOTSJZL,X,O,O,O,X,X,X,X,X,X,X
IOTSZLJ,X,O,O,X,O,X,X,X,X,X,X
IOTSZJL,X,O,O,O,X,X,X,X,X,X,X
IOTZLJS,X,X,O,X,O,X,X,X,X,X,X
IOTZLSJ,X,X,O,X,O,X,X,X,X,X,X
IOTZJLS,X,X,O,X,O,X,X,X,X,X,X
IOTZJSL,X,O,O,X,X,X,X,X,X,X,X
IOTZSLJ,X,O,O,X,O,X,X,X,X,X,X
IOTZSJL,X,O,O,O,X,X,X,X,X,X,X
IOLTJSZ,X,X,O,X,O,O,X,X,X,X,X
IOLTJZS,X,X,O,X,O,O,X,X,X,X,X
IOLTSJZ,X,X,O,X,O,O,X,X,X,X,X
IOLTSZJ,X,X,O,X,O,X,X,X,X,X,X
IOLTZJS,X,X,O,X,O,X,X,X,X,X,X
IOLTZSJ,X,X,O,X,O,X,X,X,X,X,X
IOLJTSZ,X,X,O,X,O,O,X,X,X,X,X
IOLJTZS,X,X,O,X,O,O,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,O,X,X,X,O,X
IOLJSZT,X,X,X,X,X,O,X,X,X,O,X
IOLJZTS,X,X,X,X,X,O,X,O,X,O,X
IOLJZST,X,X,X,X,X,O,X,X,X,O,X
IOLSTJZ,X,X,X,X,O,O,X,X,X,X,X
IOLSTZJ,X,X,X,X,O,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,X,O,X,X,X,X,X
IOLSJZT,O,X,X,X,X,O,X,X,X,X,X
IOLSZTJ,O,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,X,X,X,X,O,X,X,X,X,X
IOLZTJS,X,X,X,X,O,X,X,O,X,O,X
IOLZTSJ,X,X,X,X,O,X,X,O,X,X,X
IOLZJTS,X,X,X,X,X,O,X,O,X,O,X
IOLZJST,X,X,X,X,X,O,X,X,X,O,X
IOLZSTJ,O,X,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,X,X,X,O,X,X,X,O,X
IOJTLSZ,X,X,O,X,O,X,X,X,X,X,X
IOJTLZS,X,X,O,X,O,X,X,X,X,X,O
IOJTSLZ,X,X,O,X,X,X,X,X,X,X,O
IOJTSZL,X,X,O,X,X,X,X,X,X,X,O
IOJTZLS,X,X,O,X,O,X,X,X,X,X,O
IOJTZSL,X,X,O,X,X,X,X,X,X,X,O
IOJLTSZ,X,X,O,X,O,O,X,X,X,X,X
IOJLTZS,X,X,O,X,O,O,X,X,X,X,O
IOJLSTZ,X,X,X,X,X,O,X,X,X,O,O
IOJLSZT,X,X,X,X,X,O,X,X,X,O,O
IOJLZTS,X,X,X,X,X,O,X,X,X,O,O
IOJLZST,X,X,X,X,X,O,X,X,X,O,X
IOJSTLZ,X,X,O,O,X,X,X,X,X,X,O
IOJSTZL,X,X,O,O,X,X,X,X,X,X,O
IOJSLTZ,X,X,X,X,X,O,X,X,X,X,O
IOJSLZT,X,X,X,X,X,O,O,X,X,X,O
IOJSZTL,X,X,X,X,X,X,O,X,X,X,O
IOJSZLT,X,X,X,X,X,X,O,X,X,X,O
IOJZTLS,X,X,O,X,X,X,O,X,O,X,O
IOJZTSL,X,X,O,X,X,X,O,X,O,O,O
IOJZLTS,X,X,X,X,X,X,X,X,O,O,O
IOJZLST,X,X,X,X,X,X,X,X,X,O,X
IOJZSTL,X,X,X,X,X,X,O,X,O,O,O
IOJZSLT,X,X,X,X,X,X,O,X,X,O,O
IOSTLJZ,X,X,O,O,O,O,X,X,X,X,X
IOSTLZJ,X,O,O,X,O,X,X,X,X,X,X
IOSTJLZ,X,X,O,O,X,X,X,X,X,X,X
IOSTJZL,X,O,O,O,X,X,X,X,X,X,X
IOSTZLJ,X,O,O,X,O,X,X,X,X,X,X
IOSTZJL,X,O,O,O,X,X,X,X,X,X,X
IOSLTJZ,X,X,X,X,O,O,X,X,X,X,X
IOSLTZJ,X,X,X,X,O,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,X,O,X,X,X,X,X
IOSLJZT,O,X,X,X,X,O,X,X,X,X,X
IOSLZTJ,O,X,X,X,X,X,X,X,X,X,X
IOSLZJT,O,X,X,X,X,O,X,X,X,X,X
IOSJTLZ,X,X,O,O,X,X,X,X,X,X,O
IOSJTZL,X,X,O,O,X,X,X,X,X,X,O
IOSJLTZ,X,X,X,X,X,O,X,X,X,X,O
IOSJLZT,O,X,X,X,X,O,X,X,X,X,O
IOSJZTL,X,X,X,X,X,X,X,X,X,X,O
IOSJZLT,O,X,X,X,X,X,X,X,X,X,O
IOSZTLJ,X,O,X,X,X,X,X,X,X,X,X
IOSZTJL,X,O,X,X,X,X,X,X,X,X,O
IOSZLTJ,O,X,X,X,X,X,X,X,X,X,X
IOSZLJT,O,X,X,X,X,O,X,X,X,X,X
IOSZJTL,X,O,X,X,X,X,X,X,X,X,O
IOSZJLT,O,X,X,X,X,X,X,X,X,X,O
IOZTLJS,X,X,O,X,O,X,X,X,X,X,X
IOZTLSJ,X,X,O,X,O,X,X,X,X,X,X
IOZTJLS,X,X,O,X,O,X,X,X,O,X,O
IOZTJSL,X,O,O,X,X,X,X,X,O,O,O
IOZTSLJ,X,X,O,X,O,X,X,X,X,X,X
IOZTSJL,X,X,O,X,X,X,X,X,X,X,X
IOZLTJS,X,X,X,X,O,X,X,O,X,O,X
IOZLTSJ,X,X,X,X,O,X,X,O,X,X,X
IOZLJTS,X,X,X,X,X,O,X,O,O,O,X
IOZLJST,X,X,X,X,X,O,X,X,X,O,X
IOZLSTJ,O,X,X,X,X,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,O,X,X,X,O,X
IOZJTLS,X,X,O,X,X,X,O,X,O,X,O
IOZJTSL,X,O,O,X,X,X,O,X,O,O,O
IOZJLTS,X,X,X,X,X,X,X,X,O,O,O
IOZJLST,X,X,X,X,X,X,X,X,X,O,X
IOZJSTL,X,O,X,X,X,X,O,X,O,O,O
IOZJSLT,X,X,X,X,X,X,O,X,X,O,X
IOZSTLJ,X,O,X,X,X,X,X,X,X,X,X
IOZSTJL,X,O,X,X,X,X,X,X,X,X,O
IOZSLTJ,O,X,X,X,X,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,O,X,X,X,X,X
IOZSJTL,X,O,X,X,X,X,X,X,O,O,O
IOZSJLT,O,X,X,X,X,X,X,X,X,O,O
LTIJSZO,X,X,X,X,O,O,X,X,X,O,X
LTIJSOZ,X,X,X,X,X,X,X,X,X,O,X
LTIJZSO,X,X,X,X,O,O,X,O,X,O,X
LTIJZOS,X,X,X,X,X,O,X,O,X,O,X
LTIJOSZ,X,X,O,X,X,O,X,X,X,X,X
LTIJOZS,X,X,O,X,X,O,X,X,X,X,X
LTISJZO,O,X,X,O,O,O,X,X,X,X,X
LTISJOZ,X,X,X,O,X,X,X,X,X,X,X
LTISZJO,O,O,X,X,O,X,X,X,X,X,X
LTISZOJ,O,O,X,X,O,X,X,X,X,X,X
LTISOJZ,X,X,O,O,X,X,X,X,X,X,X
LTISOZJ,X,O,O,X,O,X,X,X,X,X,X
LTIZJSO,X,O,X,X,O,X,X,O,X,O,X
LTIZJOS,X,X,X,X,X,X,X,O,X,O,X
LTIZSJO,O,X,X,X,O,X,X,O,X,X,X
LTIZSOJ,O,X,X,X,O,X,X,O,X,X,X
LTIZOJS,X,X,O,X,X,X,X,O,X,O,X
LTIZOSJ,X,X,O,X,O,X,X,O,X,X,X
LTIOJSZ,X,X,O,X,O,O,X,X,X,X,X
LTIOJZS,X,X,O,X,O,O,X,X,X,X,X
LTIOSJZ,X,X,O,O,O,O,X,X,X,X,X
LTIOSZJ,X,O,O,X,O,X,X,X,X,X,X
LTIOZJS,X,X,O,X,O,X,X,X,X,X,X
LTIOZSJ,X,X,O,X,O,X,X,X,X,X,X
LTJISZO,X,X,X,X,O,O,X,X,X,O,X
LTJISOZ,X,X,X,X,X,X,X,X,X,O,X
LTJIZSO,X,X,X,X,O,O,X,O,X,O,X
LTJIZOS,X,X,X,X,X,O,X,O,X,O,X
LTJIOSZ,X,X,O,X,X,O,X,X,X,X,X
LTJIOZS,X,X,O,X,X,O,X,X,X,X,X
LTJSIZO,X,X,X,X,O,O,X,X,X,O,X
LTJSIOZ,X,X,X,X,X,X,X,X,X,O,X
LTJSZIO,X,X,X,X,O,O,X,X,X,O,X
LTJSZOI,X,X,X,X,O,O,X,X,X,O,X
LTJSOIZ,X,X,X,X,X,X,X,X,X,O,X
LTJSOZI,X,X,X,X,X,X,X,X,X,O,X
LTJZISO,X,X,X,X,O,O,X,O,X,O,X
LTJZIOS,X,X,X,X,X,O,X,O,X,O,X
LTJZSIO,X,X,X,X,O,O,X,O,X,O,X
LTJZSOI,X,X,X,X,O,O,X,O,X,O,X
LTJZOIS,X,X,X,X,X,O,X,O,X,O,X
LTJZOSI,X,X,X,X,X,O,X,O,X,O,X
LTJOISZ,X,X,O,X,X,O,X,X,X,X,X
LTJOIZS,X,X,O,X,X,O,X,X,X,X,X
LTJOSIZ,X,X,O,X,X,O,X,X,X,X,X
LTJOSZI,X,X,O,X,X,O,X,X,X,X,X
LTJOZIS,X,X,O,X,X,O,X,X,X,X,X
LTJOZSI,X,X,O,X,X,O,X,X,X,X,X
LTSIJZO,O,X,X,O,O,O,X,X,X,X,X
LTSIJOZ,X,X,X,O,X,X,X,X,X,X,X
LTSIZJO,O,O,X,X,O,X,X,X,X,X,X
LTSIZOJ,O,O,X,X,O,X,X,X,X,X,X
LTSIOJZ,X,X,O,O,X,X,X,X,X,X,X
LTSIOZJ,X,O,O,X,O,X,X,X,X,X,X
LTSJIZO,O,X,X,O,O,O,X,X,X,X,X
LTSJIOZ,X,X,X,O,X,X,X,X,X,X,X
LTSJZIO,O,X,X,O,O,O,X,X,X,X,X
LTSJZOI,O,X,X,O,O,O,X,X,X,X,X
LTSJOIZ,X,X,X,O,X,X,X,X,X,X,X
LTSJOZI,X,X,X,O,X,X,X,X,X,X,X
LTSZIJO,O,O,X,X,O,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,O,X,X,X,X,X,X
LTSZJIO,O,O,X,X,O,X,X,X,X,X,X
LTSZJOI,O,O,X,X,O,X,X,X,X,X,X
LTSZOIJ,O,O,X,X,O,X,X,X,X,X,X
LTSZOJI,O,O,X,X,O,X,X,X,X,X,X
LTSOIJZ,X,X,O,O,X,X,X,X,X,X,X
LTSOIZJ,X,O,O,X,O,X,X,X,X,X,X
LTSOJIZ,X,X,O,O,X,X,X,X,X,X,X
LTSOJZI,X,X,O,O,X,X,X,X,X,X,X
LTSOZIJ,X,O,O,X,O,X,X,X,X,X,X
LTSOZJI,X,O,O,X,O,X,X,X,X,X,X
LTZIJSO,X,O,X,X,O,X,X,O,X,O,X
LTZIJOS,X,X,X,X,X,X,X,O,X,O,X
LTZISJO,O,X,X,X,O,X,X,O,X,X,X
LTZISOJ,O,X,X,X,O,X,X,O,X,X,X
LTZIOJS,X,X,O,X,X,X,X,O,X,O,X
LTZIOSJ,X,X,O,X,O,X,X,O,X,X,X
LTZJISO,X,O,X,X,O,X,X,O,X,O,X
LTZJIOS,X,X,X,X,X,X,X,O,X,O,X
LTZJSIO,X,O,X,X,O,X,X,O,X,O,X
LTZJSOI,X,O,X,X,O,X,X,O,X,O,X
LTZJOIS,X,X,X,X,X,X,X,O,X,O,X
LTZJOSI,X,X,X,X,X,X,X,O,X,O,X
LTZSIJO,O,X,X,X,O,X,X,O,X,X,X
LTZSIOJ,O,X,X,X,O,X,X,O,X,X,X
LTZSJIO,O,X,X,X,O,X,X,O,X,X,X
LTZSJOI,O,X,X,X,O,X,X,O,X,X,X
LTZSOIJ,O,X,X,X,O,X,X,O,X,X,X
LTZSOJI,O,X,X,X,O,X,X,O,X,X,X
LTZOIJS,X,X,O,X,X,X,X,O,X,O,X
LTZOISJ,X,X,O,X,O,X,X,O,X,X,X
LTZOJIS,X,X,O,X,X,X,X,O,X,O,X
LTZOJSI,X,X,O,X,X,X,X,O,X,O,X
LTZOSIJ,X,X,O,X,O,X,X,O,X,X,X
LTZOSJI,X,X,O,X,O,X,X,O,X,X,X
LTOIJSZ,X,X,O,X,O,O,X,X,X,X,X
LTOIJZS,X,X,O,X,O,O,X,X,X,X,X
LTOISJZ,X,X,O,O,O,O,X,X,X,X,X
LTOISZJ,X,O,O,X,O,X,X,X,X,X,X
LTOIZJS,X,X,O,X,O,X,X,X,X,X,X
LTOIZSJ,X,X,O,X,O,X,X,X,X,X,X
LTOJISZ,X,X,O,X,O,O,X,X,X,X,X
LTOJIZS,X,X,O,X,O,O,X,X,X,X,X
LTOJSIZ,X,X,O,X,O,O,X,X,X,X,X
LTOJSZI,X,X,O,X,O,O,X,X,X,X,X
LTOJZIS,X,X,O,X,O,O,X,X,X,X,X
LTOJZSI,X,X,O,X,O,O,X,X,X,X,X
LTOSIJZ,X,X,O,O,O,O,X,X,X,X,X
LTOSIZJ,X,O,O,X,O,X,X,X,X,X,X
LTOSJIZ,X,X,O,O,O,O,X,X,X,X,X
LTOSJZI,X,X,O,O,O,O,X,X,X,X,X
LTOSZIJ,X,O,O,X,O,X,X,X,X,X,X
LTOSZJI,X,O,O,X,O,X,X,X,X,X,X
LTOZIJS,X,X,O,X,O,X,X,X,X,X,X
LTOZISJ,X,X,O,X,O,X,X,X,X,X,X
LTOZJIS,X,X,O,X,O,X,X,X,X,X,X
LTOZJSI,X,X,O,X,O,X,X,X,X,X,X
LTOZSIJ,X,X,O,X,O,X,X,X,X,X,X
LTOZSJI,X,X,O,X,O,X,X,X,X,X,X
LITJSZO,X,X,X,X,O,O,X,X,X,O,X
LITJSOZ,X,X,X,X,X,X,X,X,X,O,X
LITJZSO,X,X,X,X,O,O,X,O,X,O,X
LITJZOS,X,X,X,X,X,O,X,O,X,O,X
LITJOSZ,X,X,O,X,X,O,X,X,X,X,X
LITJOZS,X,X,O,X,X,O,X,X,X,X,X
LITSJZO,O,X,X,O,O,O,X,X,X,X,X
LITSJOZ,X,X,X,O,X,X,X,X,X,X,X
LITSZJO,O,O,X,X,O,X,X,X,X,X,X
LITSZOJ,O,O,X,X,O,X,X,X,X,X,X
LITSOJZ,X,X,O,O,X,X,X,X,X,X,X
LITSOZJ,X,O,O,X,O,X,X,X,X,X,X
LITZJSO,X,O,X,X,O,X,X,O,X,O,X
LITZJOS,X,X,X,X,X,X,X,O,X,O,X
LITZSJO,O,X,X,X,O,X,X,O,X,X,X
LITZSOJ,O,X,X,X,O,X,X,O,X,X,X
LITZOJS,X,X,O,X,X,X,X,O,X,O,X
LITZOSJ,X,X,O,X,O,X,X,O,X,X,X
LITOJSZ,X,X,O,X,O,O,X,X,X,X,X
LITOJZS,X,X,O,X,O,O,X,X,X,X,X
LITOSJZ,X,X,O,O,O,O,X,X,X,X,X
LITOSZJ,X,O,O,X,O,X,X,X,X,X,X
LITOZJS,X,X,O,X,O,X,X,X,X,X,X
LITOZSJ,X,X,O,X,O,X,X,X,X,X,X
LIJTSZO,X,X,X,X,O,O,X,X,X,O,X
LIJTSOZ,X,X,X,X,X,X,X,X,X,O,X
LIJTZSO,X,X,X,X,O,O,X,O,X,O,X
LIJTZOS,X,X,X,X,X,O,X,O,X,O,X
LIJTOSZ,X,X,X,X,X,O,X,X,X,X,X
LIJTOZS,X,X,X,X,X,O,X,X,X,X,O
LIJSTZO,O,X,X,O,O,O,O,X,X,O,X
LIJSTOZ,X,X,X,O,X,X,X,X,X,O,O
LIJSZTO,O,X,X,X,X,O,O,O,X,O,O
LIJSZOT,O,X,X,X,X,O,O,X,X,O,O
LIJSOTZ,X,X,X,X,X,O,X,X,X,O,O
LIJSOZT,O,X,X,X,X,O,O,X,X,O,O
LIJZTSO,X,X,X,X,X,O,O,O,X,O,X
LIJZTOS,X,X,X,X,X,O,O,O,X,O,O
LIJZSTO,O,X,X,X,X,O,O,O,X,O,X
LIJZSOT,O,X,X,X,X,O,O,X,X,O,X
LIJZOTS,X,X,X,X,X,O,X,O,O,O,O
LIJZOST,X,X,X,X,X,O,X,X,X,O,X
LIJOTSZ,X,X,O,X,O,O,X,X,X,X,X
LIJOTZS,X,X,O,X,O,O,X,X,X,X,O
LIJOSTZ,X,X,X,X,X,O,X,X,X,O,O
LIJOSZT,X,X,X,X,X,O,X,X,X,O,O
LIJOZTS,X,X,X,X,X,O,X,O,X,O,O
LIJOZST,X,X,X,X,X,O,X,X,X,O,X
LISTJZO,O,X,X,O,O,O,X,X,X,X,X
LISTJOZ,X,X,X,O,X,X,X,X,X,X,X
LISTZJO,O,O,X,X,O,X,X,X,X,X,X
LISTZOJ,O,O,X,X,O,X,X,X,X,X,X
LISTOJZ,X,X,X,O,X,X,X,X,X,X,X
LISTOZJ,X,O,X,X,O,X,X,X,X,X,X
LISJTZO,O,X,X,O,O,O,X,X,X,O,X
LISJTOZ,X,X,X,O,X,X,X,X,X,O,O
LISJZTO,O,X,X,X,X,O,X,O,X,O,O
LISJZOT,O,X,X,X,X,O,X,X,X,O,O
LISJOTZ,X,X,X,X,X,O,X,X,X,O,O
LISJOZT,O,X,X,X,X,O,X,X,X,O,O
LISZTJO,O,O,X,X,O,X,X,O,X,X,O
LISZTOJ,O,O,X,X,O,X,X,O,X,X,X
LISZJTO,O,O,X,X,X,O,X,O,X,O,O
LISZJOT,O,X,X,X,X,O,X,X,X,O,O
LISZOTJ,O,X,X,X,X,X,X,X,X,X,X
LISZOJT,O,X,X,X,X,X,X,X,X,O,X
LISOTJZ,X,X,X,X,O,O,X,X,X,X,X
LISOTZJ,X,X,X,X,O,X,X,X,X,X,X
LISOJTZ,X,X,X,X,X,O,X,X,X,X,X
LISOJZT,O,X,X,X,X,O,X,X,X,X,X
LISOZTJ,O,X,X,X,X,X,X,X,X,X,X
LISOZJT,O,X,X,X,X,O,X,X,X,X,X
LIZTJSO,X,O,X,X,O,X,X,O,X,O,X
LIZTJOS,X,X,X,X,X,X,X,O,X,O,O
LIZTSJO,O,X,X,X,O,X,X,O,X,X,X
LIZTSOJ,O,X,X,X,O,X,X,O,X,X,X
LIZTOJS,X,X,X,X,X,X,X,O,X,O,X
LIZTOSJ,X,X,X,X,O,X,X,O,X,X,X
LIZJTSO,X,O,X,X,X,O,O,O,X,O,X
LIZJTOS,X,X,X,X,X,O,O,O,X,O,O
LIZJSTO,O,O,X,X,X,O,O,O,X,O,X
LIZJSOT,O,X,X,X,X,O,O,X,X,O,X
LIZJOTS,X,X,X,X,X,O,X,O,O,O,O
LIZJOST,X,X,X,X,X,O,X,X,X,O,X
LIZSTJO,O,O,X,X,O,X,X,O,X,X,O
LIZSTOJ,O,O,X,X,O,X,X,O,X,X,X
LIZSJTO,O,O,X,X,X,O,X,O,X,O,O
LIZSJOT,O,X,X,X,X,O,X,X,X,O,O
LIZSOTJ,O,X,X,X,X,X,X,X,X,X,X
LIZSOJT,O,X,X,X,X,X,X,X,X,O,X
LIZOTJS,X,X,X,X,O,X,X,O,X,O,X
LIZOTSJ,X,X,X,X,O,X,X,O,X,X,X
LIZOJTS,X,X,X,X,X,O,X,O,O,O,X
LIZOJST,X,X,X,X,X,O,X,X,X,O,X
LIZOSTJ,O,X,X,X,X,X,X,X,X,X,X
LIZOSJT,O,X,X,X,X,O,X,X,X,O,X
LIOTJSZ,X,X,O,X,O,O,X,X,X,X,X
LIOTJZS,X,X,O,X,O,O,X,X,X,X,X
LIOTSJZ,X,X,O,X,O,O,X,X,X,X,X
LIOTSZJ,X,X,O,X,O,X,X,X,X,X,X
LIOTZJS,X,X,O,X,O,X,X,X,X,X,X
LIOTZSJ,X,X,O,X,O,X,X,X,X,X,X
LIOJTSZ,X,X,O,X,O,O,X,X,X,X,X
LIOJTZS,X,X,O,X,O,O,X,X,X,X,X
LIOJSTZ,X,X,X,X,X,O,X,X,X,O,X
LIOJSZT,X,X,X,X,X,O,X,X,X,O,X
LIOJZTS,X,X,X,X,X,O,X,O,X,O,X
LIOJZST,X,X,X,X,X,O,X,X,X,O,X
LIOSTJZ,X,X,X,X,O,O,X,X,X,X,X
LIOSTZJ,X,X,X,X,O,X,X,X,X,X,X
LIOSJTZ,X,X,X,X,X,O,X,X,X,X,X
LIOSJZT,O,X,X,X,X,O,X,X,X,X,X
LIOSZTJ,O,X,X,X,X,X,X,X,X,X,X
LIOSZJT,O,X,X,X,X,O,X,X,X,X,X
LIOZTJS,X,X,X,X,O,X,X,O,X,O,X
LIOZTSJ,X,X,X,X,O,X,X,O,X,X,X
LIOZJTS,X,X,X,X,X,O,X,O,X,O,X
LIOZJST,X,X,X,X,X,O,X,X,X,O,X
LIOZSTJ,O,X,X,X,X,X,X,X,X,X,X
LIOZSJT,O,X,X,X,X,O,X,X,X,O,X
LJTISZO,X,X,X,X,O,O,X,X,X,O,X
LJTISOZ,X,X,X,X,X,X,X,X,X,O,X
LJTIZSO,X,X,X,X,O,O,X,O,X,O,X
LJTIZOS,X,X,X,X,X,O,X,O,X,O,X
LJTIOSZ,X,X,X,X,X,O,X,X,X,X,X
LJTIOZS,X,X,X,X,X,O,X,X,X,X,O
LJTSIZO,X,X,X,X,O,O,X,X,X,O,X
LJTSIOZ,X,X,X,X,X,X,X,X,X,O,X
LJTSZIO,X,X,X,X,O,O,X,X,X,O,X
LJTSZOI,X,X,X,X,O,O,X,X,X,O,X
LJTSOIZ,X,X,X,X,X,X,X,X,X,O,X
LJTSOZI,X,X,X,X,X,X,X,X,X,O,X
LJTZISO,X,X,X,X,O,O,X,O,X,O,X
LJTZIOS,X,X,X,X,X,O,X,O,X,O,X
LJTZSIO,X,X,X,X,O,O,X,O,X,O,X
LJTZSOI,X,X,X,X,O,O,X,O,X,O,X
LJTZOIS,X,X,X,X,X,O,X,O,X,O,X
LJTZOSI,X,X,X,X,X,O,X,O,X,O,X
LJTOISZ,X,X,X,X,X,O,X,X,X,X,X
LJTOIZS,X,X,X,X,X,O,X,X,X,X,O
LJTOSIZ,X,X,X,X,X,O,X,X,X,X,X
LJTOSZI,X,X,X,X,X,O,X,X,X,X,X
LJTOZIS,X,X,X,X,X,O,X,X,X,X,O
LJTOZSI,X,X,X,X,X,O,X,X,X,X,O
LJITSZO,X,X,X,X,O,O,X,X,X,O,X
LJITSOZ,X,X,X,X,X,X,X,X,X,O,X
LJITZSO,X,X,X,X,O,O,X,O,X,O,X
LJITZOS,X,X,X,X,X,O,X,O,X,O,X
LJITOSZ,X,X,X,X,X,O,X,X,X,X,X
LJITOZS,X,X,X,X,X,O,X,X,X,X,O
LJISTZO,O,X,X,O,O,O,O,X,X,O,X
LJISTOZ,X,X,X,O,X,X,X,X,X,O,O
LJISZTO,O,X,X,X,X,O,O,O,X,O,O
LJISZOT,O,X,X,X,X,O,O,X,X,O,O
LJISOTZ,X,X,X,X,X,O,X,X,X,O,O
LJISOZT,O,X,X,X,X,O,O,X,X,O,O
LJIZTSO,X,X,X,X,X,O,O,O,X,O,X
LJIZTOS,X,X,X,X,X,O,O,O,X,O,O
LJIZSTO,O,X,X,X,X,O,O,O,X,O,X
LJIZSOT,O,X,X,X,X,O,O,X,X,O,X
LJIZOTS,X,X,X,X,X,O,X,O,O,O,O
LJIZOST,X,X,X,X,X,O,X,X,X,O,X
LJIOTSZ,X,X,O,X,O,O,X,X,X,X,X
LJIOTZS,X,X,O,X,O,O,X,X,X,X,O
LJIOSTZ,X,X,X,X,X,O,X,X,X,O,O
LJIOSZT,X,X,X,X,X,O,X,X,X,O,O
LJIOZTS,X,X,X,X,X,O,X,O,X,O,O
LJIOZST,X,X,X,X,X,O,X,X,X,O,X
LJSTIZO,O,X,X,O,O,O,O,X,X,O,X
LJSTIOZ,X,X,X,O,X,X,X,X,X,O,O
LJSTZIO,O,X,X,O,O,O,O,X,X,O,X
LJSTZOI,O,X,X,O,O,O,O,X,X,O,X
LJSTOIZ,X,X,X,O,X,X,X,X,X,O,O
LJSTOZI,X,X,X,O,X,X,X,X,X,O,O
LJSITZO,O,X,X,O,O,O,O,X,X,O,X
LJSITOZ,X,X,X,O,X,X,X,X,X,O,O
LJSIZTO,O,X,X,X,X,O,O,O,X,O,O
LJSIZOT,O,X,X,X,X,O,O,X,X,O,O
LJSIOTZ,X,X,X,X,X,O,X,X,X,O,O
LJSIOZT,O,X,X,X,X,O,O,X,X,O,O
LJSZTIO,O,X,X,X,X,O,O,O,X,O,O
LJSZTOI,O,X,X,X,X,O,O,O,X,O,O
LJSZITO,O,X,X,X,X,O,O,O,X,O,O
LJSZIOT,O,X,X,X,X,O,O,X,X,O,O
LJSZOTI,O,X,X,X,X,O,O,X,X,O,O
LJSZOIT,O,X,X,X,X,O,O,X,X,O,O
LJSOTIZ,X,X,X,X,X,O,X,X,X,O,O
LJSOTZI,X,X,X,X,X,O,X,X,X,O,O
LJSOITZ,X,X,X,X,X,O,X,X,X,O,O
LJSOIZT,O,X,X,X,X,O,O,X,X,O,O
LJSOZTI,O,X,X,X,X,O,O,X,X,O,O
LJSOZIT,O,X,X,X,X,O,O,X,X,O,O
LJZTISO,X,X,X,X,X,O,O,O,X,O,X
