sequence,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFxbB/iBGeBq?lBlmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFlbBGeBxhBz?lBCnB3rB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhF3bBGeBxhBU?iBCmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFShB/iBGeBR?mBllBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Je06IvhFXcBViBGeB6?lBxmBTrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhFGeBxgBTiBC?mB3mBUrB,v115@9gA8GeA8AeC8EeE8CeH8BeD8Jel6IvhFGeB0gBxhBC?nBzlB3rB
LSITZJO,O,X,O,X,X,X,O
LSITZOJ,O,X,X,X,X,X,X
LSITOJZ,O,X,O,X,X,O,X
LSITOZJ,O,X,X,X,X,X,X
LSIJTZO,O,X,O,X,X,X,O
LSIJTOZ,O,X,O,X,X,X,X
LSIJZTO,O,X,O,X,X,X,O
LSIJZOT,O,X,X,O,X,X,X
LSIJOTZ,X,X,O,O,X,X,X
LSIJOZT,O,X,X,O,X,X,X
LSIZTJO,O,X,O,X,X,X,O
LSIZTOJ,O,X,X,X,X,X,X
LSIZJTO,O,X,O,X,X,X,O
LSIZJOT,O,X,X,O,X,X,X
LSIZOTJ,X,X,X,O,X,X,X
LSIZOJT,O,X,X,O,X,X,X
LSIOTJZ,X,X,O,O,X,O,X
LSIOTZJ,X,X,X,O,X,X,X
LSIOJTZ,X,X,O,O,X,O,X
LSIOJZT,O,X,X,O,X,X,X
LSIOZTJ,X,X,X,O,X,X,X
LSIOZJT,O,X,X,O,X,X,X
LSJTIZO,O,X,O,X,X,X,O
LSJTIOZ,O,X,O,X,X,X,X
LSJTZIO,O,X,O,X,X,X,O
LSJTZOI,O,X,X,X,X,X,X
LSJTOIZ,O,X,O,X,X,X,X
LSJTOZI,O,X,O,X,X,X,X
LSJITZO,O,X,O,X,X,X,O
LSJITOZ,O,X,O,X,X,X,X
LSJIZTO,O,X,O,X,X,X,O
LSJIZOT,O,X,X,O,X,X,X
LSJIOTZ,X,X,O,O,X,X,X
LSJIOZT,O,X,X,O,X,X,X
LSJZTIO,O,X,O,X,X,X,O
LSJZTOI,O,X,X,X,X,X,X
LSJZITO,O,X,O,X,X,X,O
LSJZIOT,O,X,X,O,X,X,X
LSJZOTI,O,O,X,X,X,X,X
LSJZOIT,O,O,X,O,X,X,X
LSJOTIZ,O,O,O,X,X,X,X
LSJOTZI,O,O,O,X,X,X,X
LSJOITZ,X,O,O,O,X,X,X
LSJOIZT,O,O,O,O,X,X,X
LSJOZTI,O,O,O,X,X,X,X
LSJOZIT,O,O,O,O,X,X,X
LSZTIJO,O,X,O,X,X,X,O
LSZTIOJ,O,X,X,X,X,X,X
LSZTJIO,O,X,O,X,X,X,O
LSZTJOI,O,X,X,X,X,X,X
LSZTOIJ,O,X,X,X,X,X,X
LSZTOJI,O,X,X,X,X,X,X
LSZITJO,O,X,O,X,X,X,O
LSZITOJ,O,X,X,X,X,X,X
LSZIJTO,O,X,O,X,X,X,O
LSZIJOT,O,X,X,O,X,X,X
LSZIOTJ,X,X,X,O,X,X,X
LSZIOJT,O,X,X,O,X,X,X
LSZJTIO,O,X,O,X,X,X,O
LSZJTOI,O,X,X,X,X,X,X
LSZJITO,O,X,O,X,X,X,O
LSZJIOT,O,X,X,O,X,X,X
LSZJOTI,O,O,X,X,X,X,X
LSZJOIT,O,O,X,O,X,X,X
LSZOTIJ,O,O,X,X,X,X,X
LSZOTJI,O,O,X,X,X,X,X
LSZOITJ,X,O,X,O,X,X,X
LSZOIJT,O,O,X,O,X,X,X
LSZOJTI,O,O,X,X,X,X,X
LSZOJIT,O,O,X,O,X,X,X
LSOTIJZ,O,O,O,X,X,O,X
LSOTIZJ,O,O,O,X,X,X,X
LSOTJIZ,O,O,O,X,X,O,X
LSOTJZI,O,O,O,X,X,X,X
LSOTZIJ,O,O,O,X,X,X,X
LSOTZJI,O,O,O,X,X,X,X
LSOITJZ,X,O,O,O,X,O,X
LSOITZJ,X,O,O,O,X,X,X
LSOIJTZ,X,O,O,O,X,O,X
LSOIJZT,O,O,O,O,X,X,X
LSOIZTJ,X,O,O,O,X,X,X
LSOIZJT,O,O,O,O,X,X,X
LSOJTIZ,O,O,O,X,X,O,X
LSOJTZI,O,O,O,X,X,X,X
LSOJITZ,X,O,O,O,X,O,X
LSOJIZT,O,O,O,O,X,X,X
LSOJZTI,O,O,O,X,X,X,X
LSOJZIT,O,O,O,O,X,X,X
LSOZTIJ,O,O,O,X,X,X,X
LSOZTJI,O,O,O,X,X,X,X
LSOZITJ,X,O,O,O,X,X,X
LSOZIJT,O,O,O,O,X,X,X
LSOZJTI,O,O,O,X,X,X,X
LSOZJIT,O,O,O,O,X,X,X
LZTIJSO,O,X,O,X,X,X,O
LZTIJOS,X,X,X,X,X,X,O
LZTISJO,O,X,O,X,X,X,O
LZTISOJ,O,X,X,X,X,X,X
LZTIOJS,X,X,X,X,X,O,O
LZTIOSJ,O,X,X,X,X,X,X
LZTJISO,O,X,O,X,X,X,O
LZTJIOS,X,X,X,X,X,X,O
LZTJSIO,O,X,O,X,X,X,O
LZTJSOI,O,X,X,X,X,X,X
LZTJOIS,X,O,X,X,X,X,O
LZTJOSI,X,O,X,X,X,X,X
LZTSIJO,O,X,O,X,X,X,O
LZTSIOJ,O,X,X,X,X,X,X
LZTSJIO,O,X,O,X,X,X,O
LZTSJOI,O,X,X,X,X,X,X
LZTSOIJ,O,X,X,X,X,X,X
LZTSOJI,O,X,X,X,X,X,X
LZTOIJS,X,O,X,X,X,O,O
LZTOISJ,O,O,X,X,X,X,X
LZTOJIS,X,O,X,X,X,O,O
LZTOJSI,X,O,X,X,X,X,X
LZTOSIJ,O,O,X,X,X,X,X
LZTOSJI,O,O,X,X,X,X,X
LZITJSO,O,X,O,X,O,X,O
LZITJOS,X,X,X,X,X,X,O
LZITSJO,O,X,O,O,O,X,O
LZITSOJ,O,X,X,X,X,X,X
LZITOJS,X,X,X,X,X,O,O
LZITOSJ,O,X,X,X,X,X,X
LZIJTSO,O,X,O,X,O,X,O
LZIJTOS,X,X,X,X,X,X,O
LZIJSTO,O,X,O,O,X,X,O
LZIJSOT,O,X,X,O,X,X,X
LZIJOTS,X,O,X,X,X,X,O
LZIJOST,X,O,X,X,X,X,X
LZISTJO,O,X,O,O,X,X,O
LZISTOJ,O,X,X,X,X,X,X
LZISJTO,O,X,O,O,X,X,O
LZISJOT,O,X,X,O,X,X,X
LZISOTJ,X,X,X,O,X,X,X
LZISOJT,O,X,X,O,X,X,X
LZIOTJS,X,O,X,X,X,O,O
LZIOTSJ,O,O,X,X,X,X,X
LZIOJTS,X,O,X,X,X,O,O
LZIOJST,X,O,X,X,X,X,X
LZIOSTJ,X,O,X,X,X,X,X
LZIOSJT,O,O,X,O,X,X,X
LZJTISO,O,X,O,X,X,X,O
LZJTIOS,X,X,X,X,X,X,O
LZJTSIO,O,X,O,X,X,X,O
LZJTSOI,O,X,X,X,X,X,X
LZJTOIS,X,O,X,X,X,X,O
LZJTOSI,X,O,X,X,X,X,X
LZJITSO,O,X,O,X,O,X,O
LZJITOS,X,X,X,X,X,X,O
LZJISTO,O,X,O,X,X,X,O
LZJISOT,O,X,X,X,X,X,X
LZJIOTS,X,O,X,X,X,X,O
LZJIOST,X,O,X,X,X,X,X
LZJSTIO,O,X,O,X,X,X,O
LZJSTOI,O,X,X,X,X,X,X
LZJSITO,O,X,O,X,X,X,O
LZJSIOT,O,X,X,O,X,X,X
LZJSOTI,O,O,X,X,X,X,X
LZJSOIT,O,O,X,O,X,X,X
LZJOTIS,X,O,X,X,X,X,O
LZJOTSI,X,O,X,X,X,X,X
LZJOITS,X,O,X,X,O,X,O
LZJOIST,X,O,X,X,X,X,X
LZJOSTI,O,O,X,X,X,X,X
LZJOSIT,O,O,X,O,X,X,X
LZSTIJO,O,X,O,X,X,X,O
LZSTIOJ,O,X,X,X,X,X,X
LZSTJIO,O,X,O,X,X,X,O
LZSTJOI,O,X,X,X,X,X,X
LZSTOIJ,O,X,X,X,X,X,X
LZSTOJI,O,X,X,X,X,X,X
LZSITJO,O,X,O,X,X,X,O
LZSITOJ,O,X,X,X,X,X,X
LZSIJTO,O,X,O,X,X,X,O
LZSIJOT,O,X,X,O,X,X,X
LZSIOTJ,X,X,X,O,X,X,X
LZSIOJT,O,X,X,O,X,X,X
LZSJTIO,O,X,O,X,X,X,O
LZSJTOI,O,X,X,X,X,X,X
LZSJITO,O,X,O,X,X,X,O
LZSJIOT,O,X,X,O,X,X,X
LZSJOTI,O,O,X,X,X,X,X
LZSJOIT,O,O,X,O,X,X,X
LZSOTIJ,O,O,X,X,X,X,X
LZSOTJI,O,O,X,X,X,X,X
LZSOITJ,X,O,X,O,X,X,X
LZSOIJT,O,O,X,O,X,X,X
LZSOJTI,O,O,X,X,X,X,X
LZSOJIT,O,O,X,O,X,X,X
LZOTIJS,X,O,X,X,X,O,O
LZOTISJ,O,O,X,X,X,X,X
LZOTJIS,X,O,X,X,X,O,O
LZOTJSI,X,O,X,X,X,X,X
LZOTSIJ,O,O,X,X,X,X,X
LZOTSJI,O,O,X,X,X,X,X
LZOITJS,X,O,X,X,O,O,O
LZOITSJ,O,O,X,O,O,X,X
LZOIJTS,X,O,X,X,O,O,O
LZOIJST,X,O,X,O,X,X,X
LZOISTJ,X,O,X,O,X,X,X
LZOISJT,O,O,X,O,X,X,X
LZOJTIS,X,O,X,X,X,O,O
LZOJTSI,X,O,X,X,X,X,X
LZOJITS,X,O,X,X,O,O,O
LZOJIST,X,O,X,X,X,X,X
LZOJSTI,O,O,X,X,X,X,X
LZOJSIT,O,O,X,O,X,X,X
LZOSTIJ,O,O,X,X,X,X,X
LZOSTJI,O,O,X,X,X,X,X
LZOSITJ,X,O,X,O,X,X,X
LZOSIJT,O,O,X,O,X,X,X
LZOSJTI,O,O,X,X,X,X,X
LZOSJIT,O,O,X,O,X,X,X
LOTIJSZ,X,O,O,X,X,O,X
LOTIJZS,X,O,O,X,X,O,O
LOTISJZ,O,O,O,X,X,O,X
LOTISZJ,O,O,O,X,X,X,X
LOTIZJS,X,O,O,X,X,O,O
LOTIZSJ,O,O,O,X,X,X,X
LOTJISZ,X,O,O,X,X,O,X
LOTJIZS,X,O,O,X,X,O,O
LOTJSIZ,X,O,O,X,X,O,X
LOTJSZI,X,O,O,X,X,X,X
LOTJZIS,X,O,O,X,X,O,O
LOTJZSI,X,O,O,X,X,X,X
LOTSIJZ,O,O,O,X,X,O,X
LOTSIZJ,O,O,O,X,X,X,X
LOTSJIZ,O,O,O,X,X,O,X
LOTSJZI,O,O,O,X,X,X,X
LOTSZIJ,O,O,O,X,X,X,X
LOTSZJI,O,O,O,X,X,X,X
LOTZIJS,X,O,O,X,X,O,O
LOTZISJ,O,O,O,X,X,X,X
LOTZJIS,X,O,O,X,X,O,O
LOTZJSI,X,O,O,X,X,X,X
LOTZSIJ,O,O,O,X,X,X,X
LOTZSJI,O,O,O,X,X,X,X
LOITJSZ,X,O,O,X,O,O,X
LOITJZS,X,O,O,X,O,O,O
LOITSJZ,O,O,O,O,O,O,X
LOITSZJ,O,O,O,O,O,X,X
LOITZJS,X,O,O,X,O,O,O
LOITZSJ,O,O,O,O,O,X,X
LOIJTSZ,X,O,O,X,O,O,X
LOIJTZS,X,O,O,X,O,O,O
LOIJSTZ,X,O,O,O,X,O,X
LOIJSZT,X,O,O,O,X,X,X
LOIJZTS,X,O,O,X,O,O,O
LOIJZST,X,O,O,O,X,X,X
LOISTJZ,X,O,O,O,X,O,X
LOISTZJ,X,O,O,O,X,X,X
LOISJTZ,X,O,O,O,X,O,X
LOISJZT,O,O,O,O,X,X,X
LOISZTJ,X,O,O,O,X,X,X
LOISZJT,O,O,O,O,X,X,X
LOIZTJS,X,O,O,X,O,O,O
LOIZTSJ,O,O,O,O,O,X,X
LOIZJTS,X,O,O,X,O,O,O
LOIZJST,X,O,O,O,X,X,X
LOIZSTJ,X,O,O,O,X,X,X
LOIZSJT,O,O,O,O,X,X,X
LOJTISZ,X,O,O,X,X,O,X
LOJTIZS,X,O,O,X,X,O,O
LOJTSIZ,X,O,O,X,X,O,X
LOJTSZI,X,O,O,X,X,X,X
LOJTZIS,X,O,O,X,X,O,O
LOJTZSI,X,O,O,X,X,X,X
LOJITSZ,X,O,O,X,O,O,X
LOJITZS,X,O,O,X,O,O,O
LOJISTZ,X,O,O,X,X,O,X
LOJISZT,X,O,O,X,X,X,X
LOJIZTS,X,O,O,X,O,O,O
LOJIZST,X,O,O,X,X,X,X
LOJSTIZ,O,O,O,X,X,O,X
LOJSTZI,O,O,O,X,X,X,X
LOJSITZ,X,O,O,O,X,O,X
LOJSIZT,O,O,O,O,X,X,X
LOJSZTI,O,O,O,X,X,X,X
LOJSZIT,O,O,O,O,X,X,X
LOJZTIS,X,O,O,X,X,O,O
LOJZTSI,X,O,O,X,X,X,X
LOJZITS,X,O,O,X,O,O,O
LOJZIST,X,O,O,X,X,X,X
LOJZSTI,O,O,O,X,X,X,X
LOJZSIT,O,O,O,O,X,X,X
LOSTIJZ,O,O,O,X,X,O,X
LOSTIZJ,O,O,O,X,X,X,X
LOSTJIZ,O,O,O,X,X,O,X
LOSTJZI,O,O,O,X,X,X,X
LOSTZIJ,O,O,O,X,X,X,X
LOSTZJI,O,O,O,X,X,X,X
LOSITJZ,X,O,O,O,X,O,X
LOSITZJ,X,O,O,O,X,X,X
LOSIJTZ,X,O,O,O,X,O,X
LOSIJZT,O,O,O,O,X,X,X
LOSIZTJ,X,O,O,O,X,X,X
LOSIZJT,O,O,O,O,X,X,X
LOSJTIZ,O,O,O,X,X,O,X
LOSJTZI,O,O,O,X,X,X,X
LOSJITZ,X,O,O,O,X,O,X
LOSJIZT,O,O,O,O,X,X,X
LOSJZTI,O,O,O,X,X,X,X
LOSJZIT,O,O,O,O,X,X,X
LOSZTIJ,O,O,O,X,X,X,X
LOSZTJI,O,O,O,X,X,X,X
LOSZITJ,X,O,O,O,X,X,X
LOSZIJT,O,O,O,O,X,X,X
LOSZJTI,O,O,O,X,X,X,X
LOSZJIT,O,O,O,O,X,X,X
LOZTIJS,X,O,O,X,X,O,O
LOZTISJ,O,O,O,X,X,X,X
LOZTJIS,X,O,O,X,X,O,O
LOZTJSI,X,O,O,X,X,X,X
LOZTSIJ,O,O,O,X,X,X,X
LOZTSJI,O,O,O,X,X,X,X
LOZITJS,X,O,O,X,O,O,O
LOZITSJ,O,O,O,O,O,X,X
LOZIJTS,X,O,O,X,O,O,O
LOZIJST,X,O,O,O,X,X,X
LOZISTJ,X,O,O,O,X,X,X
LOZISJT,O,O,O,O,X,X,X
LOZJTIS,X,O,O,X,X,O,O
LOZJTSI,X,O,O,X,X,X,X
LOZJITS,X,O,O,X,O,O,O
LOZJIST,X,O,O,X,X,X,X
LOZJSTI,O,O,O,X,X,X,X
LOZJSIT,O,O,O,O,X,X,X
LOZSTIJ,O,O,O,X,X,X,X
LOZSTJI,O,O,O,X,X,X,X
LOZSITJ,X,O,O,O,X,X,X
LOZSIJT,O,O,O,O,X,X,X
LOZSJTI,O,O,O,X,X,X,X
LOZSJIT,O,O,O,O,X,X,X
JTILSZO,X,X,O,X,O,X,O
JTILSOZ,X,X,O,X,X,X,X
JTILZSO,X,X,O,X,O,X,O
JTILZOS,X,X,X,X,X,X,O
JTILOSZ,X,X,O,X,X,O,X
JTILOZS,X,X,X,X,X,O,O
JTISLZO,X,X,O,X,O,X,X
JTISLOZ,X,X,O,X,X,X,X
JTISZLO,X,X,X,X,O,X,X
JTISZOL,X,X,X,X,O,X,X
JTISOLZ,X,X,O,X,X,X,X
JTISOZL,X,X,X,X,O,X,X
JTIZLSO,X,X,X,X,O,X,O
JTIZLOS,X,X,X,X,X,X,O
JTIZSLO,X,X,X,X,O,X,O
JTIZSOL,X,X,X,X,O,X,X
JTIZOLS,X,X,X,X,X,X,O
JTIZOSL,X,X,X,X,O,X,X
JTIOLSZ,X,X,O,X,X,O,X
JTIOLZS,X,X,O,X,X,O,X
JTIOSLZ,X,X,O,X,X,O,X
JTIOSZL,X,X,X,X,O,X,X
JTIOZLS,X,X,X,X,X,O,X
JTIOZSL,X,X,X,X,O,X,X
JTLISZO,O,X,O,X,X,X,O
JTLISOZ,O,X,O,X,X,X,X
JTLIZSO,O,X,O,X,X,X,O
JTLIZOS,X,X,X,X,X,X,O
JTLIOSZ,X,X,O,X,X,O,X
JTLIOZS,X,X,X,X,X,O,O
JTLSIZO,O,X,O,X,X,X,O
JTLSIOZ,O,X,O,X,X,X,X
JTLSZIO,O,X,O,X,X,X,O
JTLSZOI,O,X,X,X,X,X,X
JTLSOIZ,O,X,O,X,X,X,X
JTLSOZI,O,X,O,X,X,X,X
JTLZISO,O,X,O,X,X,X,O
JTLZIOS,X,X,X,X,X,X,O
JTLZSIO,O,X,O,X,X,X,O
JTLZSOI,O,X,X,X,X,X,X
JTLZOIS,X,O,X,X,X,X,O
JTLZOSI,X,O,X,X,X,X,X
JTLOISZ,X,O,O,X,X,O,X
JTLOIZS,X,O,O,X,X,O,O
JTLOSIZ,X,O,O,X,X,O,X
JTLOSZI,X,O,O,X,X,X,X
JTLOZIS,X,O,O,X,X,O,O
JTLOZSI,X,O,O,X,X,X,X
JTSILZO,O,X,O,X,X,X,X
JTSILOZ,O,X,O,X,X,X,X
JTSIZLO,X,X,X,X,X,X,X
JTSIZOL,X,X,X,O,X,X,X
JTSIOLZ,X,X,O,O,X,X,X
JTSIOZL,X,X,X,O,X,X,X
JTSLIZO,O,X,O,X,X,X,O
JTSLIOZ,O,X,O,X,X,X,X
JTSLZIO,O,X,O,X,X,X,O
JTSLZOI,O,X,X,X,X,X,X
JTSLOIZ,O,X,O,X,X,X,X
JTSLOZI,O,X,O,X,X,X,X
JTSZILO,O,X,X,X,X,X,O
JTSZIOL,X,X,X,O,X,X,X
JTSZLIO,O,X,O,X,X,X,O
JTSZLOI,O,X,X,X,X,X,X
JTSZOIL,X,X,X,O,X,X,X
JTSZOLI,X,X,O,X,X,X,X
JTSOILZ,X,X,O,O,X,O,X
JTSOIZL,X,X,X,O,X,X,X
JTSOLIZ,O,X,O,X,X,O,X
JTSOLZI,O,X,O,X,X,X,X
JTSOZIL,X,X,X,O,X,X,X
JTSOZLI,X,X,O,X,X,X,X
JTZILSO,X,X,X,X,O,X,O
JTZILOS,X,X,X,X,X,X,O
JTZISLO,X,X,X,X,O,X,O
JTZISOL,X,X,X,X,O,X,X
JTZIOLS,X,O,X,X,X,X,O
JTZIOSL,X,O,X,X,O,X,X
JTZLISO,X,X,O,X,X,X,O
JTZLIOS,X,X,X,X,X,X,O
JTZLSIO,O,X,O,X,X,X,O
JTZLSOI,O,X,X,X,X,X,X
JTZLOIS,X,O,X,X,X,X,O
JTZLOSI,X,O,X,X,X,X,X
JTZSILO,O,X,X,X,X,X,O
JTZSIOL,X,X,X,O,X,X,X
JTZSLIO,O,X,O,X,X,X,O
JTZSLOI,O,X,X,X,X,X,X
JTZSOIL,X,O,X,O,X,X,X
JTZSOLI,X,O,O,X,X,X,X
JTZOILS,X,O,X,X,O,O,O
JTZOISL,X,O,X,X,O,X,X
JTZOLIS,X,O,O,X,X,O,O
JTZOLSI,X,O,O,X,X,X,X
JTZOSIL,X,O,X,O,X,X,X
JTZOSLI,X,O,O,X,X,X,X
JTOILSZ,X,O,O,X,O,O,X
JTOILZS,X,O,O,X,O,O,X
JTOISLZ,X,X,O,X,O,O,X
JTOISZL,X,O,X,X,O,X,X
JTOIZLS,X,O,X,X,O,O,X
JTOIZSL,X,O,X,X,O,X,X
JTOLISZ,X,O,O,X,X,O,X
JTOLIZS,X,O,O,X,X,O,O
JTOLSIZ,X,O,O,X,X,O,X
JTOLSZI,X,O,O,X,X,X,X
JTOLZIS,X,O,O,X,X,O,O
JTOLZSI,X,O,O,X,X,X,X
JTOSILZ,X,X,O,O,X,O,X
JTOSIZL,X,O,X,O,X,X,X
JTOSLIZ,X,O,O,X,X,O,X
JTOSLZI,X,O,O,X,X,X,X
JTOSZIL,X,O,X,O,X,X,X
JTOSZLI,X,O,O,X,X,X,X
JTOZILS,X,O,X,X,O,O,O
JTOZISL,X,O,X,X,O,X,X
JTOZLIS,X,O,O,X,X,O,O
JTOZLSI,X,O,O,X,X,X,X
JTOZSIL,X,O,X,O,X,X,X
JTOZSLI,X,O,O,X,X,X,X
JITLSZO,X,X,O,X,O,X,O
JITLSOZ,X,X,O,X,X,X,X
JITLZSO,X,X,O,X,O,X,O
JITLZOS,X,X,X,X,X,X,O
JITLOSZ,X,X,O,X,X,O,X
JITLOZS,X,X,X,X,X,O,O
JITSLZO,X,X,O,X,O,X,X
JITSLOZ,X,X,O,X,X,X,X
JITSZLO,X,X,X,X,O,X,X
JITSZOL,X,X,X,X,O,X,X
JITSOLZ,X,X,O,X,X,X,X
JITSOZL,X,X,X,X,O,X,X
JITZLSO,X,X,X,X,O,X,O
JITZLOS,X,X,X,X,X,X,O
JITZSLO,X,X,X,X,O,X,O
JITZSOL,X,X,X,X,O,X,X
JITZOLS,X,X,X,X,X,X,O
JITZOSL,X,X,X,X,O,X,X
JITOLSZ,X,X,O,X,X,O,X
JITOLZS,X,X,O,X,X,O,X
JITOSLZ,X,X,O,X,X,O,X
JITOSZL,X,X,X,X,O,X,X
JITOZLS,X,X,X,X,X,O,X
JITOZSL,X,X,X,X,O,X,X
JILTSZO,X,X,O,X,O,X,O
JILTSOZ,X,X,O,X,X,X,X
JILTZSO,X,X,O,X,O,X,O
JILTZOS,X,X,X,X,X,X,O
JILTOSZ,X,X,O,X,X,O,X
JILTOZS,X,X,X,X,X,O,O
JILSTZO,O,X,O,O,X,X,O
JILSTOZ,O,X,O,X,X,X,X
JILSZTO,O,X,O,O,X,X,O
JILSZOT,O,X,X,O,X,X,X
JILSOTZ,X,X,O,X,X,X,X
JILSOZT,O,X,X,O,X,X,X
JILZTSO,X,X,O,X,O,X,O
JILZTOS,X,X,X,X,X,X,O
JILZSTO,O,X,O,O,X,X,O
JILZSOT,O,X,X,O,X,X,X
JILZOTS,X,O,X,X,X,X,O
JILZOST,X,O,X,X,X,X,X
JILOTSZ,X,O,O,X,X,O,X
JILOTZS,X,O,X,X,X,O,O
JILOSTZ,X,O,O,X,X,O,X
JILOSZT,X,O,X,X,X,X,X
JILOZTS,X,O,X,X,X,O,O
JILOZST,X,O,X,X,X,X,X
JISTLZO,O,X,O,X,O,X,X
JISTLOZ,O,X,O,X,X,X,X
JISTZLO,X,X,X,X,O,X,X
JISTZOL,X,X,X,O,O,X,X
JISTOLZ,X,X,O,O,X,X,X
JISTOZL,X,X,X,O,O,X,X
JISLTZO,O,X,O,X,X,X,X
JISLTOZ,O,X,O,X,X,X,X
JISLZTO,O,X,O,X,X,X,X
JISLZOT,O,X,X,O,X,X,X
JISLOTZ,X,X,O,O,X,X,X
JISLOZT,O,X,X,O,X,X,X
JISZTLO,O,X,X,X,O,X,X
JISZTOL,X,X,X,O,O,X,X
JISZLTO,O,X,X,X,X,X,X
JISZLOT,O,X,X,O,X,X,X
JISZOTL,X,X,X,O,X,X,X
JISZOLT,O,X,X,O,X,X,X
JISOTLZ,X,X,O,O,X,X,X
JISOTZL,X,X,X,O,X,X,X
JISOLTZ,X,X,O,O,X,X,X
JISOLZT,X,X,O,O,X,X,X
JISOZTL,X,X,X,O,X,X,X
JISOZLT,X,X,X,O,X,X,X
JIZTLSO,X,X,X,X,O,X,O
JIZTLOS,X,X,X,X,X,X,O
JIZTSLO,X,X,X,X,O,X,O
JIZTSOL,X,X,X,X,O,X,X
JIZTOLS,X,O,X,X,X,X,O
JIZTOSL,X,O,X,X,O,X,X
JIZLTSO,X,X,X,X,O,X,O
JIZLTOS,X,X,X,X,X,X,O
JIZLSTO,O,X,X,O,X,X,O
JIZLSOT,O,X,X,O,X,X,X
JIZLOTS,X,O,X,X,X,X,O
JIZLOST,X,O,X,X,X,X,X
JIZSTLO,O,X,X,X,O,X,O
JIZSTOL,X,X,X,O,O,X,X
JIZSLTO,O,X,X,X,X,X,X
JIZSLOT,O,X,X,O,X,X,X
JIZSOTL,X,X,X,O,X,X,X
JIZSOLT,O,X,X,O,X,X,X
JIZOTLS,X,O,X,X,O,X,O
JIZOTSL,X,O,X,X,O,X,X
JIZOLTS,X,O,X,X,O,X,X
JIZOLST,X,O,X,X,X,X,X
JIZOSTL,X,O,X,O,O,X,X
JIZOSLT,X,X,X,O,X,X,X
JIOTLSZ,X,O,O,X,O,O,X
JIOTLZS,X,O,O,X,O,O,X
JIOTSLZ,X,X,O,X,O,O,X
JIOTSZL,X,O,X,X,O,X,X
JIOTZLS,X,O,X,X,O,O,X
JIOTZSL,X,O,X,X,O,X,X
JIOLTSZ,X,O,O,X,O,O,X
JIOLTZS,X,O,O,X,O,O,X
JIOLSTZ,X,O,O,X,X,O,X
JIOLSZT,X,O,O,X,X,X,X
JIOLZTS,X,O,O,X,O,O,X
JIOLZST,X,O,O,X,X,X,X
JIOSTLZ,X,X,O,O,O,O,X
JIOSTZL,X,O,X,O,O,X,X
JIOSLTZ,X,X,O,O,X,X,X
JIOSLZT,X,X,O,O,X,X,X
JIOSZTL,X,O,X,O,O,X,X
JIOSZLT,X,X,X,O,X,X,X
JIOZTLS,X,O,X,X,O,O,X
JIOZTSL,X,O,X,X,O,X,X
JIOZLTS,X,O,X,X,O,X,X
JIOZLST,X,O,X,X,X,X,X
JIOZSTL,X,O,X,O,O,X,X
JIOZSLT,X,X,X,O,X,X,X
JLTISZO,O,X,O,X,X,X,O
JLTISOZ,O,X,O,X,X,X,X
JLTIZSO,O,X,O,X,X,X,O
JLTIZOS,X,X,X,X,X,X,O
JLTIOSZ,X,X,O,X,X,O,X
JLTIOZS,X,X,X,X,X,O,O
JLTSIZO,O,X,O,X,X,X,O
JLTSIOZ,O,X,O,X,X,X,X
JLTSZIO,O,X,O,X,X,X,O
JLTSZOI,O,X,X,X,X,X,X
JLTSOIZ,O,X,O,X,X,X,X
JLTSOZI,O,X,O,X,X,X,X
JLTZISO,O,X,O,X,X,X,O
JLTZIOS,X,X,X,X,X,X,O
JLTZSIO,O,X,O,X,X,X,O
JLTZSOI,O,X,X,X,X,X,X
JLTZOIS,X,O,X,X,X,X,O
JLTZOSI,X,O,X,X,X,X,X
JLTOISZ,X,O,O,X,X,O,X
JLTOIZS,X,O,O,X,X,O,O
JLTOSIZ,X,O,O,X,X,O,X
JLTOSZI,X,O,O,X,X,X,X
JLTOZIS,X,O,O,X,X,O,O
JLTOZSI,X,O,O,X,X,X,X
JLITSZO,O,X,O,X,O,X,O
JLITSOZ,O,X,O,X,X,X,X
JLITZSO,O,X,O,X,O,X,O
JLITZOS,X,X,X,X,X,X,O
JLITOSZ,X,X,O,X,X,O,X
JLITOZS,X,X,X,X,X,O,O
JLISTZO,O,X,O,X,X,X,O
JLISTOZ,O,X,O,X,X,X,X
JLISZTO,O,X,O,X,X,X,O
JLISZOT,O,X,X,X,X,X,X
JLISOTZ,X,X,O,X,X,X,X
JLISOZT,O,X,X,X,X,X,X
JLIZTSO,O,X,O,X,O,X,O
JLIZTOS,X,X,X,X,X,X,O
JLIZSTO,O,X,O,X,X,X,O
JLIZSOT,O,X,X,X,X,X,X
JLIZOTS,X,O,X,X,X,X,O
JLIZOST,X,O,X,X,X,X,X
JLIOTSZ,X,O,O,X,X,O,X
JLIOTZS,X,O,X,X,X,O,O
JLIOSTZ,X,O,O,X,X,O,X
JLIOSZT,X,O,X,X,X,X,X
JLIOZTS,X,O,X,X,X,O,O
