sequence,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFCdBejB?5jBlmB0sBXsB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeR8IvhFGeBUhB?FiB/oBqsBzrB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFCdBejB?5jBlmBXsB0sB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFfiBldB?5jB8nB6rB2xB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JefBJvhF0cB5jB?ziBurBinB1xB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8Jez7IvhFUdB5jB?lmB3nBatBWxB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeC8IvhF5jB/mB?FiB8nBesBzsB,v115@zgC8GeC8GeD8FeE8CeA8AeE8DeA8JeG9IvhFRhB6oB?UhBlnBzrBXtB
LIOTSZJ,X,O,X,O,X,O,X,X
LIOTZJS,O,O,O,X,X,X,X,O
LIOTZSJ,O,O,X,O,X,X,X,X
LIOJTSZ,O,X,O,O,X,X,X,X
LIOJTZS,O,X,O,O,X,X,X,X
LIOJSTZ,X,X,O,O,X,X,X,X
LIOJSZT,X,X,X,O,O,X,X,X
LIOJZTS,O,X,X,O,X,X,X,X
LIOJZST,X,X,X,O,X,X,X,X
LIOSTJZ,X,O,X,X,O,O,X,X
LIOSTZJ,X,O,X,O,X,O,X,X
LIOSJTZ,X,O,O,O,X,X,X,X
LIOSJZT,X,O,X,O,O,X,X,X
LIOSZTJ,X,O,X,O,X,X,O,X
LIOSZJT,X,O,X,O,O,X,X,X
LIOZTJS,O,O,X,X,X,X,X,X
LIOZTSJ,O,O,X,O,X,X,X,X
LIOZJTS,O,X,X,O,X,X,X,X
LIOZJST,X,O,X,O,X,X,X,X
LIOZSTJ,X,O,X,O,X,X,O,X
LIOZSJT,X,O,X,O,X,X,X,X
LJTISZO,X,O,O,O,X,X,X,X
LJTISOZ,O,O,O,O,X,X,X,X
LJTIZSO,O,X,X,O,X,X,X,X
LJTIZOS,O,X,O,O,X,X,X,X
LJTIOSZ,O,X,O,O,X,X,X,X
LJTIOZS,O,X,O,O,X,X,X,X
LJTSIZO,X,O,X,O,X,X,X,X
LJTSIOZ,O,O,O,O,X,X,X,X
LJTSZIO,X,O,X,O,X,X,X,X
LJTSZOI,X,O,X,O,X,X,X,X
LJTSOIZ,O,O,O,O,X,X,X,X
LJTSOZI,X,O,X,O,X,X,X,X
LJTZISO,X,O,X,O,X,X,X,X
LJTZIOS,O,X,O,O,X,X,X,X
LJTZSIO,X,O,X,O,X,X,X,X
LJTZSOI,X,O,X,O,X,X,X,X
LJTZOIS,O,X,O,O,X,X,X,X
LJTZOSI,X,X,X,O,X,X,X,X
LJTOISZ,O,X,O,O,X,X,X,X
LJTOIZS,O,X,O,O,X,X,X,X
LJTOSIZ,O,X,O,O,X,X,X,X
LJTOSZI,X,X,X,O,X,X,X,X
LJTOZIS,O,X,O,O,X,X,X,X
LJTOZSI,X,X,X,O,X,X,X,X
LJITSZO,X,X,O,O,X,X,X,X
LJITSOZ,O,X,O,O,X,X,X,X
LJITZSO,O,X,X,O,X,X,X,X
LJITZOS,O,X,O,O,X,X,X,X
LJITOSZ,O,X,O,O,X,X,X,X
LJITOZS,O,X,O,O,X,X,X,X
LJISTZO,X,X,O,O,X,X,X,X
LJISTOZ,X,X,O,O,X,X,X,X
LJISZTO,X,X,X,O,X,X,O,X
LJISZOT,X,X,X,O,O,X,X,X
LJISOTZ,X,X,O,O,X,X,X,X
LJISOZT,X,X,X,O,O,X,X,X
LJIZTSO,O,X,X,O,X,X,X,X
LJIZTOS,O,X,X,O,X,X,X,X
LJIZSTO,X,X,X,O,X,X,O,X
LJIZSOT,X,X,X,O,X,X,X,X
LJIZOTS,O,X,X,O,X,X,X,X
LJIZOST,X,X,X,O,X,X,X,X
LJIOTSZ,O,X,O,O,X,X,X,X
LJIOTZS,O,X,O,O,X,X,X,X
LJIOSTZ,X,X,O,O,X,X,X,X
LJIOSZT,X,X,X,O,O,X,X,X
LJIOZTS,O,X,X,O,X,X,X,X
LJIOZST,X,X,X,O,X,X,X,X
LJSTIZO,X,O,O,O,X,X,X,X
LJSTIOZ,X,O,O,O,X,X,X,X
LJSTZIO,X,O,O,O,X,X,X,X
LJSTZOI,X,O,O,O,X,X,X,X
LJSTOIZ,X,O,O,O,X,X,X,X
LJSTOZI,X,O,O,O,X,X,X,X
LJSITZO,X,O,O,O,X,X,X,X
LJSITOZ,X,O,O,O,X,X,X,X
LJSIZTO,X,O,X,O,X,X,O,X
LJSIZOT,X,O,X,O,O,X,X,X
LJSIOTZ,X,O,O,O,X,X,X,X
LJSIOZT,X,O,X,O,O,X,X,X
LJSZTIO,X,O,X,O,X,X,O,X
LJSZTOI,X,O,X,O,X,X,X,X
LJSZITO,X,O,X,O,X,X,O,X
LJSZIOT,X,O,X,O,O,X,X,X
LJSZOTI,X,O,X,O,X,X,X,X
LJSZOIT,X,O,X,O,O,X,X,X
LJSOTIZ,X,O,O,O,X,X,X,X
LJSOTZI,X,O,O,O,X,X,X,X
LJSOITZ,X,O,O,O,X,X,X,X
LJSOIZT,X,O,X,O,O,X,X,X
LJSOZTI,X,O,X,O,X,X,X,X
LJSOZIT,X,O,X,O,O,X,X,X
LJZTISO,O,O,X,O,X,X,X,X
LJZTIOS,O,X,X,O,X,X,X,X
LJZTSIO,O,O,X,O,X,X,X,X
LJZTSOI,O,O,X,O,X,X,X,X
LJZTOIS,O,X,X,O,X,X,X,X
LJZTOSI,O,X,X,O,X,X,X,X
LJZITSO,O,X,X,O,X,X,X,X
LJZITOS,O,X,X,O,X,X,X,X
LJZISTO,X,O,X,O,X,X,O,X
LJZISOT,X,O,X,O,X,X,X,X
LJZIOTS,O,X,X,O,X,X,X,X
LJZIOST,X,X,X,O,X,X,X,X
LJZSTIO,X,O,X,O,X,X,O,X
LJZSTOI,X,O,X,O,X,X,X,X
LJZSITO,X,O,X,O,X,X,O,X
LJZSIOT,X,O,X,O,X,X,X,X
LJZSOTI,X,O,X,O,X,X,X,X
LJZSOIT,X,O,X,O,X,X,X,X
LJZOTIS,O,X,X,O,X,X,X,X
LJZOTSI,O,X,X,O,X,X,X,X
LJZOITS,O,X,X,O,X,X,X,X
LJZOIST,X,X,X,O,X,X,X,X
LJZOSTI,X,X,X,O,X,X,X,X
LJZOSIT,X,X,X,O,X,X,X,X
LJOTISZ,O,O,O,O,X,X,X,O
LJOTIZS,O,X,O,O,X,X,X,O
LJOTSIZ,O,O,O,O,X,X,X,O
LJOTSZI,X,O,X,O,X,X,X,X
LJOTZIS,O,O,O,O,X,X,X,O
LJOTZSI,X,O,X,O,X,X,X,X
LJOITSZ,O,X,O,O,X,X,X,X
LJOITZS,O,X,O,O,X,X,X,X
LJOISTZ,X,X,O,O,X,X,X,X
LJOISZT,X,X,X,O,O,X,X,X
LJOIZTS,O,X,X,O,X,X,X,X
LJOIZST,X,X,X,O,X,X,X,X
LJOSTIZ,X,O,O,O,X,X,X,X
LJOSTZI,X,O,O,O,X,X,X,X
LJOSITZ,X,O,O,O,X,X,X,X
LJOSIZT,X,O,X,O,O,X,X,X
LJOSZTI,X,O,X,O,X,X,X,X
LJOSZIT,X,O,X,O,O,X,X,X
LJOZTIS,O,O,X,O,X,X,X,X
LJOZTSI,O,O,X,O,X,X,X,X
LJOZITS,O,X,X,O,X,X,X,X
LJOZIST,X,O,X,O,X,X,X,X
LJOZSTI,X,O,X,O,X,X,X,X
LJOZSIT,X,O,X,O,X,X,X,X
LSTIJZO,X,O,O,X,O,O,X,X
LSTIJOZ,X,O,O,X,O,O,X,X
LSTIZJO,X,O,X,O,X,O,O,X
LSTIZOJ,X,O,X,O,X,O,O,X
LSTIOJZ,X,O,O,X,O,O,X,X
LSTIOZJ,X,X,X,O,X,O,X,X
LSTJIZO,X,O,O,X,O,X,X,X
LSTJIOZ,X,O,O,X,O,X,X,X
LSTJZIO,X,O,O,X,O,X,X,X
LSTJZOI,X,O,O,X,O,X,X,X
LSTJOIZ,X,O,O,X,O,X,X,X
LSTJOZI,X,O,O,X,O,X,X,X
LSTZIJO,X,O,X,O,X,O,O,X
LSTZIOJ,X,O,X,O,X,O,O,X
LSTZJIO,X,O,O,O,X,X,O,X
LSTZJOI,X,O,O,O,X,X,X,X
LSTZOIJ,X,O,X,O,X,O,O,X
LSTZOJI,X,O,O,O,X,X,X,X
LSTOIJZ,X,O,O,X,O,O,X,X
LSTOIZJ,X,O,X,O,X,O,X,X
LSTOJIZ,X,O,O,X,O,X,X,X
LSTOJZI,X,O,O,X,O,X,X,X
LSTOZIJ,X,O,X,O,X,O,X,X
LSTOZJI,X,O,O,O,X,X,X,X
LSITJZO,X,O,X,X,O,O,X,X
LSITJOZ,X,O,X,X,O,O,X,X
LSITZJO,X,O,X,O,X,O,O,X
LSITZOJ,X,O,X,O,X,O,O,X
LSITOJZ,X,O,X,X,O,O,X,X
LSITOZJ,X,X,X,O,X,O,X,X
LSIJTZO,X,O,O,O,X,X,X,X
LSIJTOZ,X,O,O,O,X,X,X,X
LSIJZTO,X,O,X,O,X,X,O,X
LSIJZOT,X,O,X,O,O,X,X,X
LSIJOTZ,X,O,O,O,X,X,X,X
LSIJOZT,X,O,X,O,O,X,X,X
LSIZTJO,X,O,X,O,X,X,O,X
LSIZTOJ,X,O,X,O,X,X,O,X
LSIZJTO,X,O,X,O,X,X,O,X
LSIZJOT,X,O,X,O,O,X,X,X
LSIZOTJ,X,X,X,O,X,X,O,X
LSIZOJT,X,O,X,O,O,X,X,X
LSIOTJZ,X,O,X,X,O,O,X,X
LSIOTZJ,X,O,X,O,X,O,X,X
LSIOJTZ,X,O,O,O,X,X,X,X
LSIOJZT,X,O,X,O,O,X,X,X
LSIOZTJ,X,O,X,O,X,X,O,X
LSIOZJT,X,O,X,O,O,X,X,X
LSJTIZO,X,O,O,O,X,X,X,X
LSJTIOZ,X,O,O,O,X,X,X,X
LSJTZIO,X,O,O,O,X,X,X,X
LSJTZOI,X,O,O,O,X,X,X,X
LSJTOIZ,X,O,O,O,X,X,X,X
LSJTOZI,X,O,O,O,X,X,X,X
LSJITZO,X,O,O,O,X,X,X,X
LSJITOZ,X,O,O,O,X,X,X,X
LSJIZTO,X,O,X,O,X,X,O,X
LSJIZOT,X,O,X,O,O,X,X,X
LSJIOTZ,X,O,O,O,X,X,X,X
LSJIOZT,X,O,X,O,O,X,X,X
LSJZTIO,X,O,X,O,X,X,O,X
LSJZTOI,X,O,X,O,X,X,X,X
LSJZITO,X,O,X,O,X,X,O,X
LSJZIOT,X,O,X,O,O,X,X,X
LSJZOTI,X,O,X,O,X,X,X,X
LSJZOIT,X,O,X,O,O,X,X,X
LSJOTIZ,X,O,O,O,X,X,X,X
LSJOTZI,X,O,O,O,X,X,X,X
LSJOITZ,X,O,O,O,X,X,X,X
LSJOIZT,X,O,X,O,O,X,X,X
LSJOZTI,X,O,X,O,X,X,X,X
LSJOZIT,X,O,X,O,O,X,X,X
LSZTIJO,X,O,X,O,X,X,O,X
LSZTIOJ,X,O,X,O,X,X,O,X
LSZTJIO,X,O,X,O,X,X,O,X
LSZTJOI,X,O,X,O,X,X,X,X
LSZTOIJ,X,O,X,O,X,X,O,X
LSZTOJI,X,O,X,O,X,X,X,X
LSZITJO,X,O,X,O,X,X,O,X
LSZITOJ,X,O,X,O,X,X,O,X
LSZIJTO,X,O,X,O,X,X,O,X
LSZIJOT,X,O,X,O,O,X,X,X
LSZIOTJ,X,X,X,O,X,X,O,X
LSZIOJT,X,O,X,O,O,X,X,X
LSZJTIO,X,O,X,O,X,X,O,X
LSZJTOI,X,O,X,O,X,X,X,X
LSZJITO,X,O,X,O,X,X,O,X
LSZJIOT,X,O,X,O,O,X,X,X
LSZJOTI,X,O,X,O,X,X,X,X
LSZJOIT,X,O,X,O,O,X,X,X
LSZOTIJ,X,O,X,O,X,X,O,X
LSZOTJI,X,O,X,O,X,X,X,X
LSZOITJ,X,O,X,O,X,X,O,X
LSZOIJT,X,O,X,O,O,X,X,X
LSZOJTI,X,O,X,O,X,X,X,X
LSZOJIT,X,O,X,O,X,X,X,X
LSOTIJZ,X,O,O,X,O,O,X,O
LSOTIZJ,X,O,X,O,X,O,X,X
LSOTJIZ,X,O,O,X,O,X,X,O
LSOTJZI,X,O,O,X,O,X,X,X
LSOTZIJ,X,O,X,O,X,O,X,X
LSOTZJI,X,O,O,O,X,X,X,X
LSOITJZ,X,O,X,X,O,O,X,X
LSOITZJ,X,O,X,O,X,O,X,X
LSOIJTZ,X,O,O,O,X,X,X,X
LSOIJZT,X,O,X,O,O,X,X,X
LSOIZTJ,X,O,X,O,X,X,O,X
LSOIZJT,X,O,X,O,O,X,X,X
LSOJTIZ,X,O,O,O,X,X,X,X
LSOJTZI,X,O,O,O,X,X,X,X
LSOJITZ,X,O,O,O,X,X,X,X
LSOJIZT,X,O,X,O,O,X,X,X
LSOJZTI,X,O,X,O,X,X,X,X
LSOJZIT,X,O,X,O,O,X,X,X
LSOZTIJ,X,O,X,O,X,X,O,X
LSOZTJI,X,O,X,O,X,X,X,X
LSOZITJ,X,O,X,O,X,X,O,X
LSOZIJT,X,O,X,O,O,X,X,X
LSOZJTI,X,O,X,O,X,X,X,X
LSOZJIT,X,O,X,O,X,X,X,X
LZTIJSO,O,O,X,O,X,X,X,X
LZTIJOS,O,X,X,X,X,X,X,X
LZTISJO,O,O,X,O,X,X,O,X
LZTISOJ,O,O,X,O,X,X,O,X
LZTIOJS,O,X,X,X,X,X,X,X
LZTIOSJ,O,O,X,O,X,X,X,X
LZTJISO,O,O,X,O,X,X,X,X
LZTJIOS,O,X,X,X,X,X,X,X
LZTJSIO,O,O,X,O,X,X,X,X
LZTJSOI,O,O,X,O,X,X,X,X
LZTJOIS,O,X,X,X,X,X,X,X
LZTJOSI,O,X,X,X,X,X,X,X
LZTSIJO,O,O,X,O,X,X,O,X
LZTSIOJ,O,O,X,O,X,X,O,X
LZTSJIO,O,O,X,O,X,X,O,X
LZTSJOI,O,O,X,O,X,X,X,X
LZTSOIJ,O,O,X,O,X,X,O,X
LZTSOJI,O,O,X,O,X,X,X,X
LZTOIJS,O,X,X,X,X,X,X,X
LZTOISJ,O,O,X,O,X,X,X,X
LZTOJIS,O,X,X,X,X,X,X,X
LZTOJSI,O,X,X,X,X,X,X,X
LZTOSIJ,O,O,X,O,X,X,X,X
LZTOSJI,O,O,X,O,X,X,X,X
LZITJSO,O,O,X,O,X,X,X,X
LZITJOS,O,X,X,X,X,X,X,X
LZITSJO,O,O,X,O,X,X,O,X
LZITSOJ,O,O,X,O,X,X,O,X
LZITOJS,O,X,X,X,X,X,X,X
LZITOSJ,O,O,X,O,X,X,X,X
LZIJTSO,O,X,X,O,X,X,X,X
LZIJTOS,O,X,X,O,X,X,X,X
LZIJSTO,X,O,X,O,X,X,O,X
LZIJSOT,X,O,X,O,X,X,X,X
LZIJOTS,O,X,X,O,X,X,X,X
LZIJOST,X,X,X,O,X,X,X,X
LZISTJO,X,O,X,O,X,X,O,X
LZISTOJ,X,O,X,O,X,X,O,X
LZISJTO,X,O,X,O,X,X,O,X
LZISJOT,X,O,X,O,X,X,X,X
LZISOTJ,X,X,X,O,X,X,O,X
LZISOJT,X,O,X,O,X,X,X,X
LZIOTJS,O,X,X,X,X,X,X,X
LZIOTSJ,O,O,X,O,X,X,X,X
LZIOJTS,O,X,X,O,X,X,X,X
LZIOJST,X,O,X,O,X,X,X,X
LZIOSTJ,X,O,X,O,X,X,O,X
LZIOSJT,X,O,X,O,X,X,X,X
LZJTISO,O,O,X,O,X,X,X,X
LZJTIOS,O,X,X,O,X,X,X,X
LZJTSIO,O,O,X,O,X,X,X,X
LZJTSOI,O,O,X,O,X,X,X,X
LZJTOIS,O,X,X,O,X,X,X,X
LZJTOSI,O,X,X,O,X,X,X,X
LZJITSO,O,X,X,O,X,X,X,X
LZJITOS,O,X,X,O,X,X,X,X
LZJISTO,X,O,X,O,X,X,O,X
LZJISOT,X,O,X,O,X,X,X,X
LZJIOTS,O,X,X,O,X,X,X,X
LZJIOST,X,X,X,O,X,X,X,X
LZJSTIO,X,O,X,O,X,X,O,X
LZJSTOI,X,O,X,O,X,X,X,X
LZJSITO,X,O,X,O,X,X,O,X
LZJSIOT,X,O,X,O,X,X,X,X
LZJSOTI,X,O,X,O,X,X,X,X
LZJSOIT,X,O,X,O,X,X,X,X
LZJOTIS,O,X,X,O,X,X,X,X
LZJOTSI,O,X,X,O,X,X,X,X
LZJOITS,O,X,X,O,X,X,X,X
LZJOIST,X,X,X,O,X,X,X,X
LZJOSTI,X,X,X,O,X,X,X,X
LZJOSIT,X,X,X,O,X,X,X,X
LZSTIJO,X,O,X,O,X,X,O,X
LZSTIOJ,X,O,X,O,X,X,O,X
LZSTJIO,X,O,X,O,X,X,O,X
LZSTJOI,X,O,X,O,X,X,X,X
LZSTOIJ,X,O,X,O,X,X,O,X
LZSTOJI,X,O,X,O,X,X,X,X
LZSITJO,X,O,X,O,X,X,O,X
LZSITOJ,X,O,X,O,X,X,O,X
LZSIJTO,X,O,X,O,X,X,O,X
LZSIJOT,X,O,X,O,X,X,X,X
LZSIOTJ,X,X,X,O,X,X,O,X
LZSIOJT,X,O,X,O,X,X,X,X
LZSJTIO,X,O,X,O,X,X,O,X
LZSJTOI,X,O,X,O,X,X,X,X
LZSJITO,X,O,X,O,X,X,O,X
LZSJIOT,X,O,X,O,X,X,X,X
LZSJOTI,X,O,X,O,X,X,X,X
LZSJOIT,X,O,X,O,X,X,X,X
LZSOTIJ,X,O,X,O,X,X,O,X
LZSOTJI,X,O,X,O,X,X,X,X
LZSOITJ,X,O,X,O,X,X,O,X
LZSOIJT,X,O,X,O,X,X,X,X
LZSOJTI,X,O,X,O,X,X,X,X
LZSOJIT,X,O,X,O,X,X,X,X
LZOTIJS,O,O,X,X,X,X,X,O
LZOTISJ,O,O,X,O,X,X,X,X
LZOTJIS,O,O,X,X,X,X,X,O
LZOTJSI,O,O,X,X,X,X,X,X
LZOTSIJ,O,O,X,O,X,X,X,X
LZOTSJI,O,O,X,O,X,X,X,X
LZOITJS,O,O,X,X,X,X,X,X
LZOITSJ,O,O,X,O,X,X,X,X
LZOIJTS,O,X,X,O,X,X,X,X
LZOIJST,X,O,X,O,X,X,X,X
LZOISTJ,X,O,X,O,X,X,O,X
LZOISJT,X,O,X,O,X,X,X,X
LZOJTIS,O,O,X,O,X,X,X,X
LZOJTSI,O,O,X,O,X,X,X,X
LZOJITS,O,X,X,O,X,X,X,X
LZOJIST,X,O,X,O,X,X,X,X
LZOJSTI,X,O,X,O,X,X,X,X
LZOJSIT,X,O,X,O,X,X,X,X
LZOSTIJ,X,O,X,O,X,X,O,X
LZOSTJI,X,O,X,O,X,X,X,X
LZOSITJ,X,O,X,O,X,X,O,X
LZOSIJT,X,O,X,O,X,X,X,X
LZOSJTI,X,O,X,O,X,X,X,X
LZOSJIT,X,O,X,O,X,X,X,X
LOTIJSZ,O,O,O,O,O,X,X,O
LOTIJZS,O,X,O,O,X,X,X,O
LOTISJZ,O,O,O,X,O,O,X,O
LOTISZJ,X,O,X,O,X,O,X,X
LOTIZJS,O,O,O,X,X,X,X,O
LOTIZSJ,O,O,X,O,X,X,X,X
LOTJISZ,O,O,O,O,O,X,X,O
LOTJIZS,O,X,O,O,X,X,X,O
LOTJSIZ,O,O,O,O,O,X,X,O
LOTJSZI,X,O,X,O,O,X,X,X
LOTJZIS,O,O,O,O,X,X,X,O
LOTJZSI,O,O,X,O,X,X,X,X
LOTSIJZ,O,O,O,X,O,O,X,O
LOTSIZJ,X,O,X,O,X,O,X,X
LOTSJIZ,O,O,O,X,O,X,X,O
LOTSJZI,X,O,X,X,O,X,X,X
LOTSZIJ,O,O,X,O,X,O,X,X
LOTSZJI,O,O,X,O,X,X,X,X
LOTZIJS,O,O,O,X,X,X,X,O
LOTZISJ,O,O,X,O,X,X,X,X
LOTZJIS,O,O,O,X,X,X,X,O
LOTZJSI,O,O,X,X,X,X,X,X
LOTZSIJ,O,O,X,O,X,X,X,X
LOTZSJI,O,O,X,O,X,X,X,X
LOITJSZ,O,O,O,O,O,X,X,O
LOITJZS,O,X,O,O,X,X,X,O
LOITSJZ,O,O,O,X,O,O,X,O
LOITSZJ,X,O,X,O,X,O,X,X
LOITZJS,O,O,O,X,X,X,X,O
LOITZSJ,O,O,X,O,X,X,X,X
LOIJTSZ,O,X,O,O,X,X,X,O
LOIJTZS,O,X,O,O,X,X,X,O
LOIJSTZ,X,X,O,O,X,X,X,X
LOIJSZT,X,X,X,O,O,X,X,X
LOIJZTS,O,X,X,O,X,X,X,X
LOIJZST,X,X,X,O,X,X,X,X
LOISTJZ,X,O,X,X,O,O,X,X
LOISTZJ,X,O,X,O,X,O,X,X
LOISJTZ,X,O,O,O,X,X,X,X
LOISJZT,X,O,X,O,O,X,X,X
LOISZTJ,X,O,X,O,X,X,O,X
LOISZJT,X,O,X,O,O,X,X,X
LOIZTJS,O,O,X,X,X,X,X,X
LOIZTSJ,O,O,X,O,X,X,X,X
LOIZJTS,O,X,X,O,X,X,X,X
LOIZJST,X,O,X,O,X,X,X,X
LOIZSTJ,X,O,X,O,X,X,O,X
LOIZSJT,X,O,X,O,X,X,X,X
LOJTISZ,O,O,O,O,X,X,X,O
LOJTIZS,O,X,O,O,X,X,X,O
LOJTSIZ,O,O,O,O,X,X,X,O
LOJTSZI,X,O,X,O,X,X,X,X
LOJTZIS,O,O,O,O,X,X,X,O
LOJTZSI,X,O,X,O,X,X,X,X
LOJITSZ,O,X,O,O,X,X,X,X
LOJITZS,O,X,O,O,X,X,X,X
LOJISTZ,X,X,O,O,X,X,X,X
LOJISZT,X,X,X,O,O,X,X,X
LOJIZTS,O,X,X,O,X,X,X,X
LOJIZST,X,X,X,O,X,X,X,X
LOJSTIZ,X,O,O,O,X,X,X,X
LOJSTZI,X,O,O,O,X,X,X,X
LOJSITZ,X,O,O,O,X,X,X,X
LOJSIZT,X,O,X,O,O,X,X,X
LOJSZTI,X,O,X,O,X,X,X,X
LOJSZIT,X,O,X,O,O,X,X,X
LOJZTIS,O,O,X,O,X,X,X,X
LOJZTSI,O,O,X,O,X,X,X,X
LOJZITS,O,X,X,O,X,X,X,X
LOJZIST,X,O,X,O,X,X,X,X
LOJZSTI,X,O,X,O,X,X,X,X
LOJZSIT,X,O,X,O,X,X,X,X
LOSTIJZ,X,O,O,X,O,O,X,O
LOSTIZJ,X,O,X,O,X,O,X,X
LOSTJIZ,X,O,O,X,O,X,X,O
LOSTJZI,X,O,O,X,O,X,X,X
LOSTZIJ,X,O,X,O,X,O,X,X
LOSTZJI,X,O,O,O,X,X,X,X
LOSITJZ,X,O,X,X,O,O,X,X
LOSITZJ,X,O,X,O,X,O,X,X
LOSIJTZ,X,O,O,O,X,X,X,X
LOSIJZT,X,O,X,O,O,X,X,X
LOSIZTJ,X,O,X,O,X,X,O,X
LOSIZJT,X,O,X,O,O,X,X,X
LOSJTIZ,X,O,O,O,X,X,X,X
LOSJTZI,X,O,O,O,X,X,X,X
LOSJITZ,X,O,O,O,X,X,X,X
LOSJIZT,X,O,X,O,O,X,X,X
LOSJZTI,X,O,X,O,X,X,X,X
LOSJZIT,X,O,X,O,O,X,X,X
LOSZTIJ,X,O,X,O,X,X,O,X
LOSZTJI,X,O,X,O,X,X,X,X
LOSZITJ,X,O,X,O,X,X,O,X
LOSZIJT,X,O,X,O,O,X,X,X
LOSZJTI,X,O,X,O,X,X,X,X
LOSZJIT,X,O,X,O,X,X,X,X
LOZTIJS,O,O,X,X,X,X,X,O
LOZTISJ,O,O,X,O,X,X,X,X
LOZTJIS,O,O,X,X,X,X,X,O
LOZTJSI,O,O,X,X,X,X,X,X
LOZTSIJ,O,O,X,O,X,X,X,X
LOZTSJI,O,O,X,O,X,X,X,X
LOZITJS,O,O,X,X,X,X,X,X
LOZITSJ,O,O,X,O,X,X,X,X
LOZIJTS,O,X,X,O,X,X,X,X
LOZIJST,X,O,X,O,X,X,X,X
LOZISTJ,X,O,X,O,X,X,O,X
LOZISJT,X,O,X,O,X,X,X,X
LOZJTIS,O,O,X,O,X,X,X,X
LOZJTSI,O,O,X,O,X,X,X,X
LOZJITS,O,X,X,O,X,X,X,X
LOZJIST,X,O,X,O,X,X,X,X
LOZJSTI,X,O,X,O,X,X,X,X
LOZJSIT,X,O,X,O,X,X,X,X
LOZSTIJ,X,O,X,O,X,X,O,X
LOZSTJI,X,O,X,O,X,X,X,X
LOZSITJ,X,O,X,O,X,X,O,X
LOZSIJT,X,O,X,O,X,X,X,X
LOZSJTI,X,O,X,O,X,X,X,X
LOZSJIT,X,O,X,O,X,X,X,X
JTILSZO,X,X,O,O,O,X,X,X
JTILSOZ,O,X,O,O,O,X,X,X
JTILZSO,O,X,X,O,X,X,X,X
JTILZOS,O,X,O,O,X,X,X,X
JTILOSZ,O,X,O,O,O,X,X,X
JTILOZS,O,X,O,O,X,X,X,X
JTISLZO,X,X,O,X,O,O,X,X
JTISLOZ,O,X,O,X,O,O,X,X
JTISZLO,O,X,O,O,O,O,X,X
JTISZOL,O,X,O,O,O,O,X,X
JTISOLZ,O,X,O,X,O,O,X,X
JTISOZL,O,X,O,O,O,O,X,X
JTIZLSO,O,X,X,O,X,X,X,X
JTIZLOS,O,X,O,O,X,X,X,X
JTIZSLO,O,X,O,O,O,X,X,X
JTIZSOL,O,X,O,O,O,X,X,X
JTIZOLS,O,X,O,X,X,X,X,X
JTIZOSL,O,X,O,O,O,X,X,X
JTIOLSZ,O,X,O,X,O,X,X,X
JTIOLZS,O,X,O,X,X,X,X,X
JTIOSLZ,O,X,O,X,O,O,X,X
JTIOSZL,O,X,O,O,O,O,X,X
JTIOZLS,O,X,O,X,X,X,X,X
JTIOZSL,O,X,O,O,O,X,X,X
JTLISZO,X,X,O,O,O,X,X,X
JTLISOZ,O,X,O,O,O,X,X,X
JTLIZSO,O,X,X,O,X,X,X,X
JTLIZOS,O,X,O,O,X,X,X,X
JTLIOSZ,O,X,O,O,O,X,X,X
JTLIOZS,O,X,O,O,X,X,X,X
JTLSIZO,X,X,X,O,O,X,X,X
JTLSIOZ,O,X,O,O,O,X,X,X
JTLSZIO,X,X,X,O,O,X,X,X
JTLSZOI,X,X,X,O,O,X,X,X
JTLSOIZ,O,X,O,O,O,X,X,X
JTLSOZI,X,X,X,O,O,X,X,X
JTLZISO,O,X,X,O,X,X,X,X
JTLZIOS,O,X,O,O,X,X,X,X
JTLZSIO,O,X,X,O,X,X,X,X
JTLZSOI,O,X,X,O,X,X,X,X
JTLZOIS,O,X,O,O,X,X,X,X
JTLZOSI,O,X,X,O,X,X,X,X
JTLOISZ,O,X,O,O,O,X,X,X
JTLOIZS,O,X,O,O,X,X,X,X
JTLOSIZ,O,X,O,O,O,X,X,X
JTLOSZI,X,X,X,O,O,X,X,X
JTLOZIS,O,X,O,O,X,X,X,X
JTLOZSI,O,X,X,O,X,X,X,X
JTSILZO,X,X,O,X,O,O,X,X
JTSILOZ,O,X,O,X,O,O,X,X
JTSIZLO,O,X,O,O,O,O,X,X
JTSIZOL,O,X,O,O,O,O,X,X
JTSIOLZ,O,X,O,X,O,O,X,X
JTSIOZL,O,X,O,O,O,O,X,X
JTSLIZO,X,X,O,X,O,X,X,X
JTSLIOZ,O,X,O,X,O,X,X,X
JTSLZIO,X,X,O,X,O,X,X,X
JTSLZOI,X,X,O,X,O,X,X,X
JTSLOIZ,O,X,O,X,O,X,X,X
JTSLOZI,X,X,O,X,O,X,X,X
JTSZILO,X,X,O,O,O,O,X,X
JTSZIOL,X,X,O,O,O,O,X,X
