sequence,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFuiBcjB?lgBanBXmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBSjB?lhBzlBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhF3dBcjB?6lBOmBFnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFSiBTeB?lgBXmBmnB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Jex9IvhFlgBcmB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFGeBlgB?UiBXmBysBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhFRdBcjB?lhBzlB2sBqsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeZCJvhFWjBlgB?cmBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR9IvhFSjBlgB?3hBmnBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF1hBxdB?SnBOoBzlB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JelAJvhFcmBxiB?OnBXjBCmBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je+BJvhFlgBxiB?inBzlBXoB0sB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeR8IvhFlgBXmB?inBcoBGnBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeWCJvhFcjBlgB?xmBzlB/sBatB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSCJvhFlgBOoB?xmBzlBUnBXtB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeG8IvhFZiBCeB?VmBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeF8IvhFxdBSmB?OnBXjB0lBzsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JeSDJvhFlgBxmB?8sBfnBzlBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je1AJvhF6hBZiB?cjBzlBftBusB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8JecDJvhFlgBxmB?fnBqsBzqBmsB,v115@zgC8GeB8HeC8FeD8BeA8CeH8BeA8Je37IvhF0hB5nB?OoBzlBanBFtB
TLSJZOI,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TLSJOIZ,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
TLSJOZI,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O,O,O,X,X,X
TLSZIOJ,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
TLSZJIO,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X,O,O,X,X,X,X
TLSZJOI,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLSZOJI,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
TLSOIZJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TLSOJIZ,O,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X
TLSOJZI,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLSOZIJ,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLSOZJI,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TLZIJSO,O,O,O,O,X,O,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X
TLZIJOS,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLZISJO,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,O,X
TLZISOJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TLZIOJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TLZJISO,O,O,O,O,X,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X
TLZJIOS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLZJSIO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TLZJSOI,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X
TLZSIOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZSJIO,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TLZSJOI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSOJI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZOJIS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZOJSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLZOSIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZOSJI,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLOIJSZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLOIJZS,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLOISJZ,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOISZJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOIZJS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TLOJIZS,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X
TLOJSIZ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOJSZI,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOJZIS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOJZSI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOSIJZ,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOSIZJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOSJIZ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOSJZI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOSZIJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TLOSZJI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TLOZIJS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOZISJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TLOZJIS,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOZJSI,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TLOZSIJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLOZSJI,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TJILSZO,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TJILSOZ,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TJILZSO,O,X,O,X,X,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X
TJILZOS,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TJILOZS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TJISLZO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TJISLOZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TJISZLO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TJISZOL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJIZLSO,O,X,O,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,O,X
TJIZLOS,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TJIZSLO,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,O,X
TJIZSOL,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIZOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIZOSL,X,X,O,O,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TJIOLZS,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJIOSZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TJIOZLS,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
TJIOZSL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,O
TJLISZO,X,O,O,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TJLISOZ,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TJLIZSO,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X
TJLIZOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TJLIOZS,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TJLSIZO,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TJLSIOZ,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TJLSZIO,X,O,O,X,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X
TJLSZOI,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLSOIZ,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TJLSOZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,O,X,X,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X
TJLZIOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLZSIO,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TJLZSOI,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
TJLOIZS,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJLOZIS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLOZSI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
TJSILOZ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,O,O,X,X,X,X
TJSIZLO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSIZOL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSIOZL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSLIZO,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TJSLIOZ,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
TJSLZIO,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
TJSLZOI,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TJSLOIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TJSLOZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJSZIOL,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJSZLOI,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOLI,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSOIZL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSOLZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSOZIL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJZILSO,O,O,O,O,X,X,X,O,O,X,X,O,X,O,O,X,X,O,X,O,X
TJZILOS,O,O,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X
TJZISLO,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,O,X,O,X,O,X
TJZISOL,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJZIOLS,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJZIOSL,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TJZLISO,O,O,O,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X
TJZLIOS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJZLSIO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSOI,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOIS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,O,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TJZSIOL,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLIO,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJZSLOI,O,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOIL,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOLI,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZOILS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOISL,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TJZOLIS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOLSI,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,X,O,O,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJZOSLI,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TJOILZS,O,X,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TJOISLZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJOISZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TJOIZLS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TJOIZSL,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TJOLISZ,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TJOLIZS,O,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJOLZIS,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOLZSI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJOSIZL,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TJOSLIZ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJOSZIL,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TJOSZLI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TJOZILS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TJOZISL,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TJOZLIS,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOZLSI,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJOZSIL,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O
TJOZSLI,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TSILJZO,O,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X
TSILJOZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X
TSILZJO,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
TSILZOJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TSILOJZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TSILOZJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TSIJLZO,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
TSIJLOZ,O,O,X,O,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X
TSIJZLO,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TSIJZOL,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TSIJOLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TSIJOZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TSIZLJO,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TSIZLOJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
TSIZJLO,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TSIZJOL,O,O,X,O,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
TSIZOLJ,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X
TSIZOJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TSIOLJZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
TSIOLZJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X
TSIOJLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TSIOJZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TSIOZLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TSIOZJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TSLIJZO,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
TSLIJOZ,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
TSLIZJO,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
TSLIZOJ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TSLIOJZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TSLIOZJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TSLJIZO,O,O,O,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
TSLJIOZ,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
TSLJZIO,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
TSLJZOI,O,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TSLJOIZ,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TSLJOZI,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TSLZIJO,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X
TSLZIOJ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
TSLZJIO,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
TSLZJOI,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSLZOIJ,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TSLZOJI,O,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSLOIJZ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TSLOIZJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TSLOJIZ,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TSLOJZI,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TSLOZJI,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TSJILZO,O,O,X,X,X,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X
TSJILOZ,O,O,X,O,X,O,X,X,X,X,X,O,O,X,O,O,O,X,X,X,X
TSJIZLO,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TSJIZOL,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TSJIOLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TSJIOZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TSJLIZO,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
TSJLIOZ,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X
TSJLZIO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X
TSJLZOI,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TSJLOIZ,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TSJLOZI,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TSJZILO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TSJZIOL,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJZLIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TSJZLOI,O,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJZOIL,O,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJZOLI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TSJOILZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TSJOIZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TSJOLIZ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TSJOLZI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TSJOZIL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
