sequence,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFlcB3dB5jBy?nBTmBmsB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFXdBTeBUhBW?oByrBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFxcBFiB6oBX?jBTmBmsB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jel7IvhFUdBajB5jBO?mBzmBftB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFajB5jBFiBT?mBftBmrB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFXdB6jBziBm?mBUmBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhF8hBzdB+jBa?mBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhF8hBWjBamBT?jBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Je07IvhFxdBCiBTjBO?mBXnBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8Jex7IvhFUhBFiBTjBf?tBywBGtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8JeC9IvhFUhBxiBTjBX?nBmlBFtB,v115@zgB8HeC8GeD8FeD8FeH8AeA8JeaDJvhF5jBUhBFiBf?tBmqBzrB
IZTOSJL,O,O,X,O,O,X,X,X,O,O,X,X
IZLTJSO,O,O,X,X,X,X,X,X,X,X,X,X
IZLTJOS,O,O,X,X,X,X,X,X,X,X,X,X
IZLTSJO,X,O,X,X,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X,X,X,X,O,X,X
IZLTOJS,O,O,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X,X,X,X,X,X
IZLJTSO,O,O,O,X,X,X,X,X,X,X,X,X
IZLJTOS,O,O,O,X,X,X,X,X,X,X,X,X
IZLJSTO,O,O,X,X,X,X,X,X,X,X,X,X
IZLJSOT,O,X,X,X,X,X,X,X,X,X,X,X
IZLJOTS,O,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,O,X,X,X,X,X,X,X,X,X,X,X
IZLSTJO,X,O,X,X,O,X,X,X,X,X,O,O
IZLSTOJ,X,O,X,X,O,X,X,X,X,O,O,O
IZLSJTO,X,O,X,X,O,X,X,X,X,X,O,O
IZLSJOT,X,X,X,X,O,X,X,X,X,X,X,X
IZLSOTJ,X,O,X,X,O,X,X,X,X,O,O,O
IZLSOJT,X,X,X,X,O,X,X,X,X,X,X,X
IZLOTJS,O,O,O,X,X,X,X,X,X,X,X,X
IZLOTSJ,X,O,O,X,X,X,X,X,X,X,X,X
IZLOJTS,O,X,O,X,X,X,X,X,X,X,X,X
IZLOJST,O,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,X,O,X,X,X,X,X,X,X
IZLOSJT,X,X,X,X,O,X,X,X,X,X,X,X
IZJTLSO,O,O,O,X,X,O,X,X,X,X,X,X
IZJTLOS,O,O,O,X,X,X,X,X,X,X,X,X
IZJTSLO,O,O,O,O,X,O,X,X,X,X,X,X
IZJTSOL,X,O,X,O,X,O,X,X,X,O,X,X
IZJTOLS,O,O,O,X,X,O,X,X,X,X,X,X
IZJTOSL,O,O,X,O,X,O,X,X,X,X,X,X
IZJLTSO,O,O,O,X,X,X,X,X,X,X,X,X
IZJLTOS,O,O,O,X,X,X,X,X,X,X,X,X
IZJLSTO,O,O,X,X,X,X,X,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,X,X,X,X,X,X
IZJSTLO,O,O,O,O,O,O,X,X,X,X,X,O
IZJSTOL,X,O,X,O,X,O,X,X,X,O,X,X
IZJSLTO,O,O,X,O,O,X,X,X,X,X,X,O
IZJSLOT,O,X,X,O,O,X,X,X,X,X,X,X
IZJSOTL,X,X,X,O,O,X,X,X,X,O,X,X
IZJSOLT,X,X,X,O,O,X,X,X,X,X,X,X
IZJOTLS,O,X,O,X,X,X,X,X,X,X,X,X
IZJOTSL,O,X,O,O,X,X,X,X,X,X,X,X
IZJOLTS,O,X,O,X,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,O,O,O,X,X,X,X,X,X,X
IZJOSLT,O,X,X,O,O,X,X,X,X,X,X,X
IZSTLJO,X,O,X,O,O,X,X,X,X,X,O,O
IZSTLOJ,X,O,X,O,O,X,X,X,O,O,O,O
IZSTJLO,O,O,X,O,O,X,X,X,X,X,O,O
IZSTJOL,X,O,X,O,X,X,X,X,X,O,X,X
IZSTOLJ,X,X,X,O,O,X,X,X,O,O,O,O
IZSTOJL,O,O,X,O,O,X,X,X,O,O,X,X
IZSLTJO,X,O,X,O,O,X,X,X,X,X,O,O
IZSLTOJ,X,O,X,O,O,X,X,X,O,O,O,O
IZSLJTO,X,O,X,O,O,X,X,X,X,X,O,O
IZSLJOT,X,X,X,O,O,X,X,X,X,X,X,X
IZSLOTJ,X,O,X,O,O,X,X,X,X,O,O,O
IZSLOJT,X,X,X,O,O,X,X,X,X,X,X,X
IZSJTLO,O,O,O,O,O,X,X,X,X,X,X,O
IZSJTOL,X,O,X,O,X,X,X,X,X,O,X,X
IZSJLTO,O,O,X,O,O,X,X,X,X,X,O,O
IZSJLOT,O,X,X,O,O,X,X,X,X,X,X,X
IZSJOTL,X,X,X,O,O,X,X,X,X,O,X,X
IZSJOLT,X,X,X,O,O,X,X,X,X,X,X,X
IZSOTLJ,X,X,O,O,O,X,X,X,X,O,X,O
IZSOTJL,O,O,X,O,O,X,X,X,X,O,X,X
IZSOLTJ,X,O,X,O,O,X,X,X,X,O,O,O
IZSOLJT,X,X,X,O,O,X,X,X,X,X,X,X
IZSOJTL,O,X,O,O,O,X,X,X,X,O,X,X
IZSOJLT,O,X,X,O,O,X,X,X,X,X,X,X
IZOTLJS,O,X,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,O,X,X,X,X,X,X,X,X,X
IZOTJLS,O,O,O,X,X,X,X,X,X,X,X,X
IZOTJSL,O,O,O,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,X,O,O,O,X,X,X,X,O,X,X
IZOTSJL,O,O,X,O,O,X,X,X,X,O,X,X
IZOLTJS,O,O,O,X,X,X,X,X,X,X,X,X
IZOLTSJ,X,O,O,X,X,X,X,X,X,X,X,X
IZOLJTS,O,X,O,X,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,X,O,X,X,O,X,X,X,X,X,X,X
IZOLSJT,X,X,X,X,O,X,X,X,X,X,X,X
IZOJTLS,O,X,O,X,X,X,X,X,X,X,X,X
IZOJTSL,O,X,O,O,X,X,X,X,X,X,X,X
IZOJLTS,O,X,O,X,X,X,X,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,O,X,O,O,O,X,X,X,X,X,X,X
IZOJSLT,O,X,X,O,O,X,X,X,X,X,X,X
IZOSTLJ,X,X,O,O,O,X,X,X,X,O,X,O
IZOSTJL,O,O,X,O,O,X,X,X,X,O,X,X
IZOSLTJ,X,O,X,O,O,X,X,X,X,O,X,O
IZOSLJT,X,X,X,O,O,X,X,X,X,X,X,X
IZOSJTL,O,X,O,O,O,X,X,X,X,O,X,X
IZOSJLT,O,X,X,O,O,X,X,X,X,X,X,X
IOTLJSZ,O,O,X,X,X,O,X,X,X,X,X,X
IOTLJZS,O,O,O,X,X,O,X,X,X,X,X,X
IOTLSJZ,X,O,X,O,X,O,X,X,X,X,X,X
IOTLSZJ,X,X,O,O,X,O,X,X,X,X,X,X
IOTLZJS,O,X,O,X,X,O,X,X,X,X,X,X
IOTLZSJ,X,X,O,X,X,O,X,X,X,X,X,X
IOTJLSZ,O,O,X,O,X,O,X,X,X,X,X,X
IOTJLZS,O,O,O,X,X,O,X,X,X,X,X,X
IOTJSLZ,O,O,X,O,X,O,X,X,X,X,X,X
IOTJSZL,O,O,X,O,X,O,X,X,X,X,X,X
IOTJZLS,O,O,O,X,X,O,X,X,X,X,X,X
IOTJZSL,O,O,X,O,X,O,X,X,X,X,X,X
IOTSLJZ,X,X,X,O,O,O,X,X,X,X,X,X
IOTSLZJ,X,X,O,O,O,O,X,X,X,X,X,X
IOTSJLZ,O,X,X,O,O,O,X,X,X,X,X,X
IOTSJZL,O,X,X,O,O,O,X,X,X,X,X,X
IOTSZLJ,X,X,O,O,O,O,X,X,X,X,X,X
IOTSZJL,O,X,X,O,O,X,X,X,X,X,X,X
IOTZLJS,O,X,O,X,X,O,X,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,O,X,X,X,X,X,X
IOTZJLS,O,O,O,X,X,O,X,X,X,X,X,X
IOTZJSL,O,O,X,X,X,O,X,X,X,X,X,X
IOTZSLJ,X,X,O,O,O,O,X,X,X,X,X,X
IOTZSJL,O,O,X,O,O,X,X,X,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,X,X,X,X,X,X
IOLTJZS,O,O,O,X,X,X,X,X,X,X,X,X
IOLTSJZ,X,O,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,O,O,X,X,X,X,X,X,X,X
IOLTZJS,O,X,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,O,X,X,X,X,X,X,X,X,X
IOLJTSZ,O,X,O,O,X,X,X,X,X,X,X,X
IOLJTZS,O,X,O,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,O,X,X,X,X,X,X,X,X
IOLJZTS,O,X,O,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,X,O,X,O,O,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,O,O,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,O,O,X,X,X,X,X,X,X
IOLSJZT,X,X,X,O,O,X,X,X,X,X,X,X
IOLSZTJ,X,X,X,O,O,X,X,X,X,X,X,X
IOLSZJT,X,X,X,O,O,X,X,X,X,X,X,X
IOLZTJS,O,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJTS,O,X,O,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,X,X,X,X,O,X,X,X,X,X,X,X
IOLZSJT,X,X,X,X,O,X,X,X,X,X,X,X
IOJTLSZ,O,X,O,O,X,O,X,X,X,X,X,X
IOJTLZS,O,X,O,X,X,O,X,X,X,X,X,X
IOJTSLZ,O,X,O,O,X,O,X,X,X,X,X,X
IOJTSZL,O,X,O,O,X,O,X,X,X,X,X,X
IOJTZLS,O,X,O,X,X,O,X,X,X,X,X,X
IOJTZSL,O,X,O,O,X,O,X,X,X,X,X,X
IOJLTSZ,O,X,O,O,X,X,X,X,X,X,X,X
IOJLTZS,O,X,O,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,X,X,O,X,X,X,X,X,X,X,X
IOJLSZT,O,X,X,O,X,X,X,X,X,X,X,X
IOJLZTS,O,X,O,X,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,X,O,O,O,X,X,X,X,X,X
IOJSTZL,O,X,X,O,O,O,X,X,X,X,X,X
IOJSLTZ,O,X,X,O,O,X,X,X,X,X,X,X
IOJSLZT,O,X,X,O,O,X,X,X,X,X,X,X
IOJSZTL,O,X,X,O,O,X,X,X,X,X,X,X
IOJSZLT,O,X,X,O,O,X,X,X,X,X,X,X
IOJZTLS,O,X,O,X,X,X,X,X,X,X,X,X
IOJZTSL,O,X,O,O,X,X,X,X,X,X,X,X
IOJZLTS,O,X,O,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,X,O,O,O,X,X,X,X,X,X,X
IOJZSLT,O,X,X,O,O,X,X,X,X,X,X,X
IOSTLJZ,X,X,X,O,O,X,X,X,X,X,X,X
IOSTLZJ,X,X,X,O,O,X,X,X,X,X,X,O
IOSTJLZ,O,X,X,O,O,X,X,X,X,X,X,X
IOSTJZL,O,X,X,O,O,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,O,O,X,X,X,X,O,X,O
IOSTZJL,O,X,X,O,O,X,X,X,X,O,X,X
IOSLTJZ,X,X,X,O,O,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,O,O,X,X,X,X,X,X,O
IOSLJTZ,X,X,X,O,O,X,X,X,X,X,X,X
IOSLJZT,X,X,X,O,O,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,O,O,X,X,X,X,O,X,O
IOSLZJT,X,X,X,O,O,X,X,X,X,X,X,X
IOSJTLZ,O,X,X,O,O,X,X,X,X,X,X,X
IOSJTZL,O,X,X,O,O,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,O,O,X,X,X,X,X,X,X
IOSJLZT,O,X,X,O,O,X,X,X,X,X,X,X
IOSJZTL,O,X,X,O,O,X,X,X,X,O,X,X
IOSJZLT,O,X,X,O,O,X,X,X,X,X,X,X
IOSZTLJ,X,X,X,O,O,X,X,X,X,O,X,O
IOSZTJL,O,X,X,O,O,X,X,X,X,O,X,X
IOSZLTJ,X,X,X,O,O,X,X,X,X,O,X,O
IOSZLJT,X,X,X,O,O,X,X,X,X,X,X,X
IOSZJTL,O,X,X,O,O,X,X,X,X,O,X,X
IOSZJLT,O,X,X,O,O,X,X,X,X,X,X,X
IOZTLJS,O,X,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,X,X,X,X,X,X,X
IOZTJLS,O,O,O,X,X,X,X,X,X,X,X,X
IOZTJSL,O,O,O,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,X,O,O,O,X,X,X,X,O,X,X
IOZTSJL,O,O,X,O,O,X,X,X,X,O,X,X
IOZLTJS,O,O,O,X,X,X,X,X,X,X,X,X
IOZLTSJ,X,O,O,X,X,X,X,X,X,X,X,X
IOZLJTS,O,X,O,X,X,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,X,O,X,X,O,X,X,X,X,X,X,X
IOZLSJT,X,X,X,X,O,X,X,X,X,X,X,X
IOZJTLS,O,X,O,X,X,X,X,X,X,X,X,X
IOZJTSL,O,X,O,O,X,X,X,X,X,X,X,X
IOZJLTS,O,X,O,X,X,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,O,X,O,O,O,X,X,X,X,X,X,X
IOZJSLT,O,X,X,O,O,X,X,X,X,X,X,X
IOZSTLJ,X,X,O,O,O,X,X,X,X,O,X,O
IOZSTJL,O,O,X,O,O,X,X,X,X,O,X,X
IOZSLTJ,X,O,X,O,O,X,X,X,X,O,X,O
IOZSLJT,X,X,X,O,O,X,X,X,X,X,X,X
IOZSJTL,O,X,O,O,O,X,X,X,X,O,X,X
IOZSJLT,O,X,X,O,O,X,X,X,X,X,X,X
LTIJSZO,X,O,X,O,X,O,O,X,X,X,X,X
LTIJSOZ,X,O,X,O,X,O,O,X,X,X,X,X
LTIJZSO,X,O,X,X,X,O,X,X,X,X,X,X
LTIJZOS,X,O,X,X,X,X,X,X,X,X,X,X
LTIJOSZ,X,O,X,O,X,O,O,X,X,X,X,X
LTIJOZS,X,O,X,X,X,O,X,X,X,X,X,X
LTISJZO,X,O,X,O,X,O,O,O,X,X,X,X
LTISJOZ,X,O,X,O,X,O,O,X,X,X,X,X
LTISZJO,X,O,X,O,X,X,O,O,X,X,X,X
LTISZOJ,X,O,X,O,X,X,O,O,X,X,X,X
LTISOJZ,X,O,X,O,X,O,X,X,X,X,X,X
LTISOZJ,X,X,X,O,X,O,X,X,X,X,X,X
LTIZJSO,X,O,X,X,X,O,X,X,X,X,X,X
LTIZJOS,X,O,X,X,X,X,X,X,X,X,X,X
LTIZSJO,X,O,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
LTIZOJS,X,O,X,X,X,O,X,X,X,X,X,X
LTIZOSJ,X,O,X,X,X,O,X,X,X,X,X,X
LTIOJSZ,X,O,X,X,X,O,X,X,X,X,X,X
LTIOJZS,X,O,X,X,X,O,X,X,X,X,X,X
LTIOSJZ,X,O,X,O,X,O,X,X,X,X,X,X
LTIOSZJ,X,X,X,O,X,O,X,X,X,X,X,X
LTIOZJS,X,X,X,X,X,O,X,X,X,X,X,X
LTIOZSJ,X,X,X,X,X,O,X,X,X,X,X,X
LTJISZO,X,O,O,O,X,O,O,X,X,X,X,X
LTJISOZ,X,O,X,O,X,O,O,X,X,X,X,X
LTJIZSO,X,O,O,X,X,O,X,X,X,X,X,X
LTJIZOS,X,O,O,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,O,X,O,X,O,O,X,X,X,X,X
LTJIOZS,X,O,O,X,X,O,X,X,X,X,X,X
LTJSIZO,X,O,O,O,X,O,O,O,X,X,X,X
LTJSIOZ,X,O,X,O,X,O,O,X,X,X,X,X
LTJSZIO,X,O,O,O,X,O,O,O,X,X,X,X
LTJSZOI,X,O,O,O,X,X,O,O,X,X,X,X
LTJSOIZ,X,O,X,O,X,O,O,X,X,X,X,X
LTJSOZI,X,O,X,O,X,O,O,O,X,X,X,X
LTJZISO,X,O,O,X,X,O,X,X,X,X,X,X
LTJZIOS,X,O,O,X,X,X,X,X,X,X,X,X
LTJZSIO,X,O,O,O,X,O,O,X,X,X,X,X
LTJZSOI,X,O,O,O,X,X,O,X,X,X,X,X
LTJZOIS,X,O,O,X,X,X,X,X,X,X,X,X
LTJZOSI,X,O,O,O,X,X,O,X,X,X,X,X
LTJOISZ,X,O,O,O,X,O,O,X,X,X,X,X
LTJOIZS,X,O,O,X,X,O,X,X,X,X,X,X
LTJOSIZ,X,O,O,O,X,O,O,X,X,X,X,X
LTJOSZI,X,O,O,O,X,O,O,X,X,X,X,X
LTJOZIS,X,O,O,X,X,O,X,X,X,X,X,X
LTJOZSI,X,O,O,O,X,O,O,X,X,X,X,X
LTSIJZO,X,O,X,O,X,O,O,O,X,X,X,X
LTSIJOZ,X,O,X,O,X,O,O,X,X,X,X,X
LTSIZJO,X,O,X,O,X,X,O,O,X,X,O,X
LTSIZOJ,X,O,X,O,X,X,O,O,O,X,O,X
LTSIOJZ,X,O,X,O,X,O,X,X,O,X,X,X
LTSIOZJ,X,X,X,O,X,O,X,X,O,X,X,X
LTSJIZO,X,O,X,O,X,O,O,O,X,X,X,X
LTSJIOZ,X,O,X,O,X,O,O,X,X,X,X,X
LTSJZIO,X,O,X,O,X,O,O,O,X,X,X,X
LTSJZOI,X,O,X,O,X,X,O,O,O,X,X,X
LTSJOIZ,X,O,X,O,X,O,O,X,O,X,X,X
LTSJOZI,X,O,X,O,X,X,O,O,O,X,X,X
LTSZIJO,X,O,X,O,X,X,O,O,X,X,O,X
LTSZIOJ,X,O,X,O,X,X,O,O,O,X,O,X
LTSZJIO,X,O,X,O,X,X,O,O,X,X,O,X
LTSZJOI,X,O,X,O,X,X,O,O,O,X,X,X
LTSZOIJ,X,O,X,O,X,X,O,O,O,X,O,X
LTSZOJI,X,O,X,O,X,X,O,O,O,X,X,X
LTSOIJZ,X,O,X,O,X,O,X,X,O,X,X,X
LTSOIZJ,X,X,X,O,X,O,X,X,O,X,X,X
LTSOJIZ,X,O,X,O,X,O,O,X,O,X,X,X
LTSOJZI,X,O,X,O,X,O,O,O,O,X,X,X
LTSOZIJ,X,O,X,O,X,O,O,O,O,X,X,X
LTSOZJI,X,O,X,O,X,O,O,O,O,X,X,X
LTZIJSO,X,O,X,X,X,O,X,X,X,X,X,X
LTZIJOS,X,O,X,X,X,X,X,X,X,X,X,X
LTZISJO,X,O,X,X,X,X,X,X,X,X,X,X
LTZISOJ,X,O,X,X,X,X,X,X,X,X,X,X
LTZIOJS,X,O,X,X,X,O,X,X,X,X,X,X
LTZIOSJ,X,O,X,X,X,O,X,X,X,X,X,X
LTZJISO,X,O,O,X,X,O,X,X,X,X,X,X
LTZJIOS,X,O,O,X,X,X,X,X,X,X,X,X
LTZJSIO,X,O,O,X,X,O,O,X,X,X,X,X
LTZJSOI,X,O,O,X,X,X,O,X,X,X,X,X
LTZJOIS,X,O,O,X,X,X,X,X,X,X,X,X
LTZJOSI,X,O,O,X,X,X,O,X,X,X,X,X
LTZSIJO,X,O,X,X,X,X,O,O,X,X,O,X
LTZSIOJ,X,O,X,X,X,X,O,O,O,X,O,X
LTZSJIO,X,O,X,X,X,X,O,O,X,X,O,X
LTZSJOI,X,O,X,X,X,X,O,O,O,X,X,X
LTZSOIJ,X,O,X,X,X,X,O,O,O,X,O,X
LTZSOJI,X,O,X,X,X,X,O,O,O,X,X,X
LTZOIJS,X,O,O,X,X,O,X,X,X,X,X,X
LTZOISJ,X,O,O,X,X,O,X,X,O,X,X,X
LTZOJIS,X,O,O,X,X,O,X,X,X,X,X,X
LTZOJSI,X,O,O,X,X,O,X,X,X,X,X,X
LTZOSIJ,X,O,O,X,X,O,X,X,O,X,X,X
LTZOSJI,X,O,O,X,X,O,X,X,O,X,X,X
LTOIJSZ,X,O,X,X,X,O,X,X,X,X,X,X
LTOIJZS,X,O,O,X,X,O,X,X,X,X,X,X
LTOISJZ,X,O,X,O,X,O,X,X,O,X,X,X
LTOISZJ,X,X,O,O,X,O,X,X,O,X,X,X
LTOIZJS,X,X,O,X,X,O,X,X,X,X,X,X
LTOIZSJ,X,X,O,X,X,O,X,X,O,X,X,X
LTOJISZ,X,O,O,X,X,O,O,X,X,X,X,X
LTOJIZS,X,O,O,X,X,O,X,X,X,X,X,X
LTOJSIZ,X,O,O,X,X,O,O,X,X,X,X,X
LTOJSZI,X,O,O,X,X,O,O,X,X,X,X,X
LTOJZIS,X,O,O,X,X,O,X,X,X,X,X,X
LTOJZSI,X,O,O,X,X,O,O,X,X,X,X,X
LTOSIJZ,X,O,X,O,X,O,X,X,O,X,X,X
LTOSIZJ,X,X,O,O,X,O,X,X,O,X,X,X
LTOSJIZ,X,O,X,O,X,O,O,X,O,X,X,X
LTOSJZI,X,O,X,O,X,O,O,O,O,X,X,X
LTOSZIJ,X,O,O,O,X,O,O,O,O,X,X,X
LTOSZJI,X,O,O,O,X,O,O,O,O,X,X,X
LTOZIJS,X,O,O,X,X,O,X,X,X,X,X,X
LTOZISJ,X,O,O,X,X,O,X,X,O,X,X,X
LTOZJIS,X,O,O,X,X,O,X,X,X,X,X,X
LTOZJSI,X,O,O,X,X,O,X,X,X,X,X,X
LTOZSIJ,X,O,O,O,X,O,X,X,O,X,X,X
LTOZSJI,X,O,O,O,X,O,X,X,O,X,X,X
LITJSZO,X,O,X,O,X,O,O,X,X,X,X,X
LITJSOZ,X,O,X,O,X,O,O,X,X,X,X,X
LITJZSO,X,O,X,X,X,O,X,X,X,X,X,X
LITJZOS,X,O,X,X,X,X,X,X,X,X,X,X
LITJOSZ,X,O,X,O,X,O,O,X,X,X,X,X
LITJOZS,X,O,X,X,X,O,X,X,X,X,X,X
LITSJZO,X,O,X,O,X,O,O,O,X,X,X,X
LITSJOZ,X,O,X,O,X,O,O,X,X,X,X,X
LITSZJO,X,O,X,O,X,X,O,O,X,X,X,X
LITSZOJ,X,O,X,O,X,X,O,O,X,X,X,X
LITSOJZ,X,O,X,O,X,O,X,X,X,X,X,X
LITSOZJ,X,X,X,O,X,O,X,X,X,X,X,X
LITZJSO,X,O,X,X,X,O,X,X,X,X,X,X
LITZJOS,X,O,X,X,X,X,X,X,X,X,X,X
LITZSJO,X,O,X,X,X,X,X,X,X,X,X,X
LITZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
LITZOJS,X,O,X,X,X,O,X,X,X,X,X,X
LITZOSJ,X,O,X,X,X,O,X,X,X,X,X,X
LITOJSZ,X,O,X,X,X,O,X,X,X,X,X,X
LITOJZS,X,O,X,X,X,O,X,X,X,X,X,X
LITOSJZ,X,O,X,O,X,O,X,X,X,X,X,X
LITOSZJ,X,X,X,O,X,O,X,X,X,X,X,X
LITOZJS,X,X,X,X,X,O,X,X,X,X,X,X
LITOZSJ,X,X,X,X,X,O,X,X,X,X,X,X
LIJTSZO,O,O,O,O,X,O,X,X,X,X,X,X
LIJTSOZ,O,O,X,O,X,O,X,X,X,X,X,X
LIJTZSO,O,O,O,X,X,O,X,X,X,X,X,X
LIJTZOS,O,O,O,X,X,X,X,X,X,X,X,X
LIJTOSZ,O,O,X,O,X,O,X,X,X,X,X,X
LIJTOZS,O,O,O,X,X,O,X,X,X,X,X,X
LIJSTZO,O,O,X,O,X,O,X,X,X,X,X,X
LIJSTOZ,O,O,X,O,X,O,X,X,X,X,X,X
LIJSZTO,O,X,X,O,X,X,X,X,X,X,X,X
LIJSZOT,O,X,X,O,X,X,X,X,X,X,X,X
LIJSOTZ,O,X,X,O,X,X,X,X,X,X,X,X
LIJSOZT,O,X,X,O,X,X,X,X,X,X,X,X
LIJZTSO,O,X,O,X,X,X,X,X,X,X,X,X
LIJZTOS,O,X,O,X,X,X,X,X,X,X,X,X
LIJZSTO,O,X,X,X,X,X,X,X,X,X,X,X
LIJZSOT,O,X,X,X,X,X,X,X,X,X,X,X
LIJZOTS,O,X,X,X,X,X,X,X,X,X,X,X
LIJZOST,O,X,X,X,X,X,X,X,X,X,X,X
LIJOTSZ,O,X,O,O,X,X,X,X,X,X,X,X
LIJOTZS,O,X,O,X,X,X,X,X,X,X,X,X
LIJOSTZ,O,X,X,O,X,X,X,X,X,X,X,X
LIJOSZT,O,X,X,O,X,X,X,X,X,X,X,X
LIJOZTS,O,X,O,X,X,X,X,X,X,X,X,X
LIJOZST,O,X,X,X,X,X,X,X,X,X,X,X
LISTJZO,X,O,X,O,O,X,O,O,X,X,X,O
LISTJOZ,X,O,X,O,X,X,O,X,X,X,X,X
LISTZJO,X,O,X,O,O,X,O,O,X,X,X,O
LISTZOJ,X,O,X,O,O,X,O,O,X,X,X,O
LISTOJZ,X,O,X,O,O,X,X,X,X,X,X,X
LISTOZJ,X,X,X,O,O,X,X,X,X,X,X,O
LISJTZO,X,O,X,O,O,X,X,X,X,X,X,O
LISJTOZ,X,O,X,O,X,X,X,X,X,X,X,X
LISJZTO,X,X,X,O,O,X,X,O,X,X,X,O
LISJZOT,X,X,X,O,O,X,X,O,X,X,X,X
LISJOTZ,X,X,X,O,O,X,X,X,X,X,X,X
LISJOZT,X,X,X,O,O,X,X,X,X,X,X,X
LISZTJO,X,O,X,O,O,X,O,O,X,X,X,O
LISZTOJ,X,O,X,O,O,X,O,O,X,O,X,O
LISZJTO,X,O,X,O,O,X,O,O,X,X,X,O
LISZJOT,X,X,X,O,O,X,X,O,X,X,X,X
LISZOTJ,X,O,X,O,O,X,O,O,X,O,X,O
LISZOJT,X,X,X,O,O,X,X,O,X,X,X,X
LISOTJZ,X,O,X,O,O,X,X,X,X,X,X,X
LISOTZJ,X,X,X,O,O,X,X,X,X,X,X,O
LISOJTZ,X,X,X,O,O,X,X,X,X,X,X,X
LISOJZT,X,X,X,O,O,X,X,X,X,X,X,X
LISOZTJ,X,X,X,O,O,X,X,X,X,O,X,O
LISOZJT,X,X,X,O,O,X,X,X,X,X,X,X
LIZTJSO,O,O,X,X,X,X,X,X,X,X,X,X
LIZTJOS,O,O,X,X,X,X,X,X,X,X,X,X
LIZTSJO,X,O,X,X,X,X,X,X,X,X,X,X
LIZTSOJ,X,O,X,X,X,X,X,X,X,O,X,X
LIZTOJS,O,O,X,X,X,X,X,X,X,X,X,X
LIZTOSJ,X,O,X,X,X,X,X,X,X,X,X,X
