sequence,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBOhBTeBt?mB0nBXsB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBdiBGeB/?mBznB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFdiBqiBTeBO?kB/mB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhBCeBOkB8?mBXoBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhB3dBcjBO?kBCnBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBNhBWjB8?mBXoBzrB
JZLOTIS,O,O,O,X,O,O
JZLOTSI,O,O,O,X,O,X
JZLOITS,O,O,O,X,O,O
JZLOIST,X,O,O,X,O,X
JZLOSTI,X,O,O,X,O,X
JZLOSIT,X,O,O,X,O,X
JZSTILO,X,X,O,O,O,O
JZSTIOL,X,X,X,O,O,X
JZSTLIO,X,X,O,O,O,O
JZSTLOI,X,X,O,O,O,X
JZSTOIL,X,X,X,O,O,X
JZSTOLI,X,X,X,O,O,X
JZSITLO,X,X,O,O,O,O
JZSITOL,X,X,X,O,O,X
JZSILTO,X,X,O,O,O,O
JZSILOT,X,X,O,O,O,X
JZSIOTL,X,X,X,O,O,X
JZSIOLT,X,X,O,O,O,X
JZSLTIO,X,X,O,O,O,O
JZSLTOI,X,X,O,O,O,X
JZSLITO,X,X,O,O,O,O
JZSLIOT,X,X,O,O,O,X
JZSLOTI,X,X,O,O,O,X
JZSLOIT,X,X,O,O,O,X
JZSOTIL,X,X,X,O,O,X
JZSOTLI,X,X,X,O,O,X
JZSOITL,X,X,X,O,O,X
JZSOILT,X,X,O,O,O,X
JZSOLTI,X,X,O,O,O,X
JZSOLIT,X,X,O,O,O,X
JZOTILS,O,O,X,X,O,O
JZOTISL,O,O,X,O,O,X
JZOTLIS,O,O,X,X,O,O
JZOTLSI,O,O,X,X,O,X
JZOTSIL,O,O,X,O,O,X
JZOTSLI,O,O,X,O,O,X
JZOITLS,O,O,X,X,O,O
JZOITSL,O,O,X,O,O,X
JZOILTS,O,O,O,X,O,O
JZOILST,X,O,O,X,O,X
JZOISTL,X,O,X,O,O,X
JZOISLT,X,O,O,O,O,X
JZOLTIS,O,O,O,X,O,O
JZOLTSI,O,O,O,X,O,X
JZOLITS,O,O,O,X,O,O
JZOLIST,X,O,O,X,O,X
JZOLSTI,X,O,O,X,O,X
JZOLSIT,X,O,O,X,O,X
JZOSTIL,X,O,X,O,O,X
JZOSTLI,X,O,X,O,O,X
JZOSITL,X,O,X,O,O,X
JZOSILT,X,O,O,O,O,X
JZOSLTI,X,O,O,O,O,X
JZOSLIT,X,O,O,O,O,X
JOTILSZ,O,O,O,X,X,X
JOTILZS,O,O,O,X,O,O
JOTISLZ,O,O,O,O,X,X
JOTISZL,O,O,X,O,X,X
JOTIZLS,O,O,X,X,O,O
JOTIZSL,O,O,X,O,O,X
JOTLISZ,O,O,O,X,X,X
JOTLIZS,O,O,O,X,O,O
JOTLSIZ,O,O,O,X,X,X
JOTLSZI,O,O,O,X,X,X
JOTLZIS,O,O,O,X,O,O
JOTLZSI,O,O,O,X,O,X
JOTSILZ,O,O,O,O,X,X
JOTSIZL,O,O,X,O,X,X
JOTSLIZ,O,O,O,O,X,X
JOTSLZI,O,O,O,O,X,X
JOTSZIL,O,O,X,O,X,X
JOTSZLI,O,O,X,O,X,X
JOTZILS,O,O,X,X,O,O
JOTZISL,O,O,X,O,O,X
JOTZLIS,O,O,X,X,O,O
JOTZLSI,O,O,X,X,O,X
JOTZSIL,O,O,X,O,O,X
JOTZSLI,O,O,X,O,O,X
JOITLSZ,O,O,O,X,X,X
JOITLZS,O,O,O,X,O,O
JOITSLZ,O,O,O,O,X,X
JOITSZL,O,O,X,O,X,X
JOITZLS,O,O,X,X,O,O
JOITZSL,O,O,X,O,O,X
JOILTSZ,O,O,O,X,X,X
JOILTZS,O,O,O,X,O,O
JOILSTZ,O,O,O,X,X,X
JOILSZT,X,O,O,X,X,X
JOILZTS,O,O,O,X,O,O
JOILZST,X,O,O,X,O,X
JOISTLZ,O,O,O,O,X,X
JOISTZL,O,O,X,O,X,X
JOISLTZ,O,O,O,O,X,X
JOISLZT,X,O,O,O,X,X
JOISZTL,X,O,X,O,X,X
JOISZLT,X,O,O,O,X,X
JOIZTLS,O,O,X,X,O,O
JOIZTSL,O,O,X,O,O,X
JOIZLTS,O,O,O,X,O,O
JOIZLST,X,O,O,X,O,X
JOIZSTL,X,O,X,O,O,X
JOIZSLT,X,O,O,O,O,X
JOLTISZ,O,O,O,X,X,X
JOLTIZS,O,O,O,X,O,O
JOLTSIZ,O,O,O,X,X,X
JOLTSZI,O,O,O,X,X,X
JOLTZIS,O,O,O,X,O,O
JOLTZSI,O,O,O,X,O,X
JOLITSZ,O,O,O,X,X,X
JOLITZS,O,O,O,X,O,O
JOLISTZ,O,O,O,X,X,X
JOLISZT,X,O,O,X,X,X
JOLIZTS,O,O,O,X,O,O
JOLIZST,X,O,O,X,O,X
JOLSTIZ,O,O,O,X,X,X
JOLSTZI,O,O,O,X,X,X
JOLSITZ,O,O,O,X,X,X
JOLSIZT,X,O,O,X,X,X
JOLSZTI,X,O,O,X,X,X
JOLSZIT,X,O,O,X,X,X
JOLZTIS,O,O,O,X,O,O
JOLZTSI,O,O,O,X,O,X
JOLZITS,O,O,O,X,O,O
JOLZIST,X,O,O,X,O,X
JOLZSTI,X,O,O,X,O,X
JOLZSIT,X,O,O,X,O,X
JOSTILZ,O,O,O,O,X,X
JOSTIZL,O,O,X,O,X,X
JOSTLIZ,O,O,O,O,X,X
JOSTLZI,O,O,O,O,X,X
JOSTZIL,O,O,X,O,X,X
JOSTZLI,O,O,X,O,X,X
JOSITLZ,O,O,O,O,X,X
JOSITZL,O,O,X,O,X,X
JOSILTZ,O,O,O,O,X,X
JOSILZT,X,O,O,O,X,X
JOSIZTL,X,O,X,O,X,X
JOSIZLT,X,O,O,O,X,X
JOSLTIZ,O,O,O,O,X,X
JOSLTZI,O,O,O,O,X,X
JOSLITZ,O,O,O,O,X,X
JOSLIZT,X,O,O,O,X,X
JOSLZTI,X,O,O,O,X,X
JOSLZIT,X,O,O,O,X,X
JOSZTIL,X,O,X,O,X,X
JOSZTLI,X,O,X,O,X,X
JOSZITL,X,O,X,O,X,X
JOSZILT,X,O,O,O,X,X
JOSZLTI,X,O,O,O,X,X
JOSZLIT,X,O,O,O,X,X
JOZTILS,O,O,X,X,O,O
JOZTISL,O,O,X,O,O,X
JOZTLIS,O,O,X,X,O,O
JOZTLSI,O,O,X,X,O,X
JOZTSIL,O,O,X,O,O,X
JOZTSLI,O,O,X,O,O,X
JOZITLS,O,O,X,X,O,O
JOZITSL,O,O,X,O,O,X
JOZILTS,O,O,O,X,O,O
JOZILST,X,O,O,X,O,X
JOZISTL,X,O,X,O,O,X
JOZISLT,X,O,O,O,O,X
JOZLTIS,O,O,O,X,O,O
JOZLTSI,O,O,O,X,O,X
JOZLITS,O,O,O,X,O,O
JOZLIST,X,O,O,X,O,X
JOZLSTI,X,O,O,X,O,X
JOZLSIT,X,O,O,X,O,X
JOZSTIL,X,O,X,O,O,X
JOZSTLI,X,O,X,O,O,X
JOZSITL,X,O,X,O,O,X
JOZSILT,X,O,O,O,O,X
JOZSLTI,X,O,O,O,O,X
JOZSLIT,X,O,O,O,O,X
STILJZO,O,X,O,O,X,O
STILJOZ,O,O,O,O,X,X
STILZJO,O,X,X,O,X,O
STILZOJ,O,O,X,X,X,X
STILOJZ,O,O,O,X,X,X
STILOZJ,X,O,X,X,X,X
STIJLZO,O,X,O,O,X,O
STIJLOZ,O,O,O,O,X,X
STIJZLO,O,X,O,O,X,O
STIJZOL,O,X,X,O,X,X
STIJOLZ,O,O,O,O,X,X
STIJOZL,O,O,X,O,X,X
STIZLJO,O,X,X,O,X,O
STIZLOJ,O,O,X,X,X,X
STIZJLO,O,X,X,O,X,O
STIZJOL,O,X,X,O,X,X
STIZOLJ,O,O,X,X,X,X
STIZOJL,O,O,X,X,X,X
STIOLJZ,O,O,X,X,X,X
STIOLZJ,X,O,X,X,X,X
STIOJLZ,O,O,X,X,X,X
STIOJZL,O,O,X,X,X,X
STIOZLJ,X,O,X,X,X,X
STIOZJL,X,O,X,X,X,X
STLIJZO,O,X,O,O,X,O
STLIJOZ,O,O,O,O,X,X
STLIZJO,O,X,X,O,X,O
STLIZOJ,O,O,X,X,X,X
STLIOJZ,O,O,O,X,X,X
STLIOZJ,X,O,X,X,X,X
STLJIZO,O,X,O,O,O,O
STLJIOZ,O,O,O,O,X,X
STLJZIO,O,X,O,O,O,O
STLJZOI,O,X,O,O,O,X
STLJOIZ,O,O,O,O,X,X
STLJOZI,O,O,O,O,X,X
STLZIJO,O,X,X,O,O,O
STLZIOJ,O,O,X,X,X,X
STLZJIO,O,X,O,O,O,O
STLZJOI,O,X,O,O,O,X
STLZOIJ,O,O,X,X,X,X
STLZOJI,O,O,O,O,O,X
STLOIJZ,O,O,O,X,X,X
STLOIZJ,X,O,X,X,X,X
STLOJIZ,O,O,O,O,X,X
STLOJZI,O,O,O,O,X,X
STLOZIJ,X,O,X,X,X,X
STLOZJI,X,O,O,O,X,X
STJILZO,O,X,O,O,O,O
STJILOZ,O,O,O,O,X,X
STJIZLO,O,X,O,O,O,O
STJIZOL,O,X,X,O,O,X
STJIOLZ,O,O,O,O,X,X
STJIOZL,O,O,X,O,X,X
STJLIZO,O,X,O,O,O,O
STJLIOZ,O,O,O,O,X,X
STJLZIO,O,X,O,O,O,O
STJLZOI,O,X,O,O,O,X
STJLOIZ,O,O,O,O,X,X
STJLOZI,O,O,O,O,X,X
STJZILO,O,X,O,O,O,O
STJZIOL,O,X,X,O,O,X
STJZLIO,O,X,O,O,O,O
STJZLOI,O,X,O,O,O,X
STJZOIL,O,X,X,O,O,X
STJZOLI,O,X,X,O,O,X
STJOILZ,O,O,O,O,X,X
STJOIZL,O,O,X,O,X,X
STJOLIZ,O,O,O,O,X,X
STJOLZI,O,O,O,O,X,X
STJOZIL,O,O,X,O,X,X
STJOZLI,O,O,X,O,X,X
STZILJO,O,X,X,O,X,O
STZILOJ,O,O,X,X,X,X
STZIJLO,O,X,X,O,O,O
STZIJOL,O,X,X,O,O,X
STZIOLJ,O,O,X,X,X,X
STZIOJL,O,O,X,X,X,X
STZLIJO,O,X,X,O,O,O
STZLIOJ,O,O,X,X,X,X
STZLJIO,O,X,O,O,O,O
STZLJOI,O,X,O,O,O,X
STZLOIJ,O,O,X,X,X,X
STZLOJI,O,O,O,O,O,X
STZJILO,O,X,O,O,O,O
STZJIOL,O,X,X,O,O,X
STZJLIO,O,X,O,O,O,O
STZJLOI,O,X,O,O,O,X
STZJOIL,O,X,X,O,O,X
STZJOLI,O,X,X,O,O,X
STZOILJ,O,O,X,X,X,X
STZOIJL,O,O,X,X,X,X
STZOLIJ,O,O,X,X,X,X
STZOLJI,O,O,X,O,X,X
STZOJIL,O,O,X,O,O,X
STZOJLI,O,O,X,O,O,X
STOILJZ,O,O,X,X,X,X
STOILZJ,X,O,X,X,X,X
STOIJLZ,O,O,X,X,X,X
STOIJZL,O,O,X,X,X,X
STOIZLJ,X,O,X,X,X,X
STOIZJL,X,O,X,X,X,X
STOLIJZ,O,O,O,X,X,X
STOLIZJ,X,O,X,X,X,X
STOLJIZ,O,O,O,O,X,X
STOLJZI,O,O,O,O,X,X
STOLZIJ,X,O,X,X,X,X
STOLZJI,X,O,O,O,X,X
STOJILZ,O,O,O,O,X,X
STOJIZL,O,O,X,O,X,X
STOJLIZ,O,O,O,O,X,X
STOJLZI,O,O,O,O,X,X
STOJZIL,O,O,X,O,X,X
STOJZLI,O,O,X,O,X,X
STOZILJ,X,O,X,X,X,X
STOZIJL,X,O,X,X,X,X
STOZLIJ,X,O,X,X,X,X
STOZLJI,X,O,X,O,X,X
STOZJIL,X,O,X,O,X,X
STOZJLI,X,O,X,O,X,X
SITLJZO,O,X,O,O,X,O
SITLJOZ,O,O,O,O,X,X
SITLZJO,O,X,X,O,X,O
SITLZOJ,O,O,X,X,X,X
SITLOJZ,O,O,O,X,X,X
SITLOZJ,X,O,X,X,X,X
SITJLZO,O,X,O,O,X,O
SITJLOZ,O,O,O,O,X,X
SITJZLO,O,X,O,O,X,O
SITJZOL,O,X,X,O,X,X
SITJOLZ,O,O,O,O,X,X
SITJOZL,O,O,X,O,X,X
SITZLJO,O,X,X,O,X,O
SITZLOJ,O,O,X,X,X,X
SITZJLO,O,X,X,O,X,O
SITZJOL,O,X,X,O,X,X
SITZOLJ,O,O,X,X,X,X
SITZOJL,O,O,X,X,X,X
SITOLJZ,O,O,X,X,X,X
SITOLZJ,X,O,X,X,X,X
SITOJLZ,O,O,X,X,X,X
SITOJZL,O,O,X,X,X,X
SITOZLJ,X,O,X,X,X,X
SITOZJL,X,O,X,X,X,X
SILTJZO,O,X,O,O,X,O
SILTJOZ,O,O,O,O,X,X
SILTZJO,O,X,X,O,X,O
SILTZOJ,O,O,X,X,X,X
SILTOJZ,O,O,O,X,X,X
SILTOZJ,X,O,X,X,X,X
SILJTZO,O,X,O,O,X,O
SILJTOZ,O,O,O,O,X,X
SILJZTO,X,X,O,O,X,O
SILJZOT,X,X,O,O,X,X
SILJOTZ,O,O,O,O,X,X
SILJOZT,X,O,O,O,X,X
SILZTJO,O,X,X,O,X,O
SILZTOJ,O,O,X,X,X,X
SILZJTO,X,X,X,O,X,O
SILZJOT,X,X,X,O,X,X
SILZOTJ,O,O,X,X,X,X
SILZOJT,X,O,X,X,X,X
SILOTJZ,O,O,O,X,X,X
SILOTZJ,X,O,X,X,X,X
SILOJTZ,O,O,O,X,X,X
SILOJZT,X,O,O,X,X,X
SILOZTJ,O,O,X,X,X,X
SILOZJT,X,O,X,X,X,X
SIJTLZO,O,X,O,O,X,O
SIJTLOZ,O,O,O,O,X,X
SIJTZLO,O,X,O,O,X,O
SIJTZOL,O,X,X,O,X,X
SIJTOLZ,O,O,O,O,X,X
SIJTOZL,O,O,X,O,X,X
SIJLTZO,O,X,O,O,X,O
SIJLTOZ,O,O,O,O,X,X
SIJLZTO,X,X,O,O,X,O
SIJLZOT,X,X,O,O,X,X
SIJLOTZ,O,O,O,O,X,X
SIJLOZT,X,O,O,O,X,X
SIJZTLO,X,X,O,O,X,O
SIJZTOL,X,X,X,O,X,X
SIJZLTO,X,X,O,O,X,O
SIJZLOT,X,X,O,O,X,X
SIJZOTL,X,X,X,O,X,X
SIJZOLT,X,X,O,O,X,X
SIJOTLZ,O,O,O,O,X,X
SIJOTZL,O,O,X,O,X,X
SIJOLTZ,O,O,O,O,X,X
SIJOLZT,X,O,O,O,X,X
SIJOZTL,X,O,X,O,X,X
SIJOZLT,X,O,O,O,X,X
SIZTLJO,O,X,X,O,X,O
SIZTLOJ,O,O,X,X,X,X
SIZTJLO,O,X,X,O,X,O
SIZTJOL,O,X,X,O,X,X
SIZTOLJ,O,O,X,X,X,X
SIZTOJL,O,O,X,X,X,X
SIZLTJO,O,X,X,O,X,O
SIZLTOJ,O,O,X,X,X,X
SIZLJTO,X,X,X,O,X,O
SIZLJOT,X,X,X,O,X,X
SIZLOTJ,O,O,X,X,X,X
SIZLOJT,X,O,X,X,X,X
SIZJTLO,X,X,X,O,X,O
SIZJTOL,X,X,X,O,X,X
SIZJLTO,X,X,X,O,X,O
SIZJLOT,X,X,X,O,X,X
SIZJOTL,X,X,X,O,X,X
SIZJOLT,X,X,X,O,X,X
SIZOTLJ,O,O,X,X,X,X
SIZOTJL,O,O,X,X,X,X
SIZOLTJ,O,O,X,X,X,X
SIZOLJT,X,O,X,X,X,X
SIZOJTL,X,O,X,X,X,X
SIZOJLT,X,O,X,X,X,X
SIOTLJZ,O,O,X,X,X,X
SIOTLZJ,X,O,X,X,X,X
SIOTJLZ,O,O,X,X,X,X
SIOTJZL,O,O,X,X,X,X
SIOTZLJ,X,O,X,X,X,X
SIOTZJL,X,O,X,X,X,X
SIOLTJZ,O,O,O,X,X,X
SIOLTZJ,X,O,X,X,X,X
SIOLJTZ,O,O,O,X,X,X
SIOLJZT,X,O,O,X,X,X
SIOLZTJ,O,O,X,X,X,X
SIOLZJT,X,O,X,X,X,X
SIOJTLZ,O,O,O,X,X,X
SIOJTZL,O,O,X,X,X,X
SIOJLTZ,O,O,O,X,X,X
SIOJLZT,X,O,O,X,X,X
SIOJZTL,X,O,X,X,X,X
SIOJZLT,X,O,O,X,X,X
SIOZTLJ,O,O,X,X,X,X
SIOZTJL,O,O,X,X,X,X
SIOZLTJ,O,O,X,X,X,X
SIOZLJT,X,O,X,X,X,X
SIOZJTL,X,O,X,X,X,X
SIOZJLT,X,O,X,X,X,X
SLTIJZO,O,X,O,O,X,O
SLTIJOZ,O,O,O,O,X,X
SLTIZJO,O,X,X,O,X,O
SLTIZOJ,O,O,X,X,X,X
SLTIOJZ,O,O,O,X,X,X
SLTIOZJ,X,O,X,X,X,X
SLTJIZO,O,X,O,O,O,O
SLTJIOZ,O,O,O,O,X,X
SLTJZIO,O,X,O,O,O,O
SLTJZOI,O,X,O,O,O,X
SLTJOIZ,O,O,O,O,X,X
SLTJOZI,O,O,O,O,X,X
SLTZIJO,O,X,X,O,O,O
SLTZIOJ,O,O,X,X,X,X
SLTZJIO,O,X,O,O,O,O
SLTZJOI,O,X,O,O,O,X
SLTZOIJ,O,O,X,X,X,X
SLTZOJI,O,O,O,O,O,X
SLTOIJZ,O,O,O,X,X,X
SLTOIZJ,X,O,X,X,X,X
SLTOJIZ,O,O,O,O,X,X
SLTOJZI,O,O,O,O,X,X
SLTOZIJ,X,O,X,X,X,X
SLTOZJI,X,O,O,O,X,X
SLITJZO,O,X,O,O,X,O
SLITJOZ,O,O,O,O,X,X
SLITZJO,O,X,X,O,X,O
SLITZOJ,O,O,X,X,X,X
SLITOJZ,O,O,O,X,X,X
SLITOZJ,X,O,X,X,X,X
SLIJTZO,O,X,O,O,X,O
SLIJTOZ,O,O,O,O,X,X
SLIJZTO,X,X,O,O,X,O
SLIJZOT,X,X,O,O,X,X
SLIJOTZ,O,O,O,O,X,X
SLIJOZT,X,O,O,O,X,X
SLIZTJO,O,X,X,O,X,O
SLIZTOJ,O,O,X,X,X,X
SLIZJTO,X,X,X,O,X,O
SLIZJOT,X,X,X,O,X,X
SLIZOTJ,O,O,X,X,X,X
SLIZOJT,X,O,X,X,X,X
SLIOTJZ,O,O,O,X,X,X
SLIOTZJ,X,O,X,X,X,X
SLIOJTZ,O,O,O,X,X,X
SLIOJZT,X,O,O,X,X,X
SLIOZTJ,O,O,X,X,X,X
SLIOZJT,X,O,X,X,X,X
SLJTIZO,O,X,O,O,O,O
SLJTIOZ,O,O,O,O,X,X
SLJTZIO,O,X,O,O,O,O
SLJTZOI,O,X,O,O,O,X
SLJTOIZ,O,O,O,O,X,X
SLJTOZI,O,O,O,O,X,X
SLJITZO,O,X,O,O,O,O
SLJITOZ,O,O,O,O,X,X
SLJIZTO,X,X,O,O,O,O
SLJIZOT,X,X,O,O,O,X
SLJIOTZ,O,O,O,O,X,X
SLJIOZT,X,O,O,O,X,X
SLJZTIO,X,X,O,O,O,O
SLJZTOI,X,X,O,O,O,X
SLJZITO,X,X,O,O,O,O
SLJZIOT,X,X,O,O,O,X
SLJZOTI,X,X,O,O,O,X
SLJZOIT,X,X,O,O,O,X
SLJOTIZ,O,O,O,O,X,X
SLJOTZI,O,O,O,O,X,X
SLJOITZ,O,O,O,O,X,X
SLJOIZT,X,O,O,O,X,X
SLJOZTI,X,O,O,O,X,X
SLJOZIT,X,O,O,O,X,X
SLZTIJO,O,X,X,O,O,O
SLZTIOJ,O,O,X,X,X,X
SLZTJIO,O,X,O,O,O,O
SLZTJOI,O,X,O,O,O,X
SLZTOIJ,O,O,X,X,X,X
SLZTOJI,O,O,O,O,O,X
SLZITJO,O,X,X,O,O,O
SLZITOJ,O,O,X,X,X,X
SLZIJTO,X,X,X,O,O,O
SLZIJOT,X,X,X,O,O,X
SLZIOTJ,O,O,X,X,X,X
SLZIOJT,X,O,X,X,X,X
SLZJTIO,X,X,O,O,O,O
SLZJTOI,X,X,O,O,O,X
SLZJITO,X,X,O,O,O,O
SLZJIOT,X,X,O,O,O,X
SLZJOTI,X,X,O,O,O,X
SLZJOIT,X,X,O,O,O,X
SLZOTIJ,O,O,X,X,X,X
SLZOTJI,O,O,O,O,O,X
SLZOITJ,O,O,X,X,X,X
SLZOIJT,X,O,X,X,X,X
SLZOJTI,X,O,O,O,O,X
SLZOJIT,X,O,O,O,O,X
SLOTIJZ,O,O,O,X,X,X
SLOTIZJ,X,O,X,X,X,X
SLOTJIZ,O,O,O,O,X,X
SLOTJZI,O,O,O,O,X,X
SLOTZIJ,X,O,X,X,X,X
SLOTZJI,X,O,O,O,X,X
SLOITJZ,O,O,O,X,X,X
SLOITZJ,X,O,X,X,X,X
SLOIJTZ,O,O,O,X,X,X
SLOIJZT,X,O,O,X,X,X
SLOIZTJ,O,O,X,X,X,X
SLOIZJT,X,O,X,X,X,X
SLOJTIZ,O,O,O,O,X,X
SLOJTZI,O,O,O,O,X,X
SLOJITZ,O,O,O,O,X,X
SLOJIZT,X,O,O,O,X,X
SLOJZTI,X,O,O,O,X,X
SLOJZIT,X,O,O,O,X,X
SLOZTIJ,O,O,X,X,X,X
SLOZTJI,O,O,O,O,X,X
SLOZITJ,O,O,X,X,X,X
SLOZIJT,X,O,X,X,X,X
SLOZJTI,X,O,O,O,X,X
SLOZJIT,X,O,O,O,X,X
SJTILZO,O,X,O,O,O,O
SJTILOZ,O,O,O,O,X,X
SJTIZLO,O,X,O,O,O,O
SJTIZOL,O,X,X,O,O,X
SJTIOLZ,O,O,O,O,X,X
SJTIOZL,O,O,X,O,X,X
SJTLIZO,O,X,O,O,O,O
SJTLIOZ,O,O,O,O,X,X
SJTLZIO,O,X,O,O,O,O
SJTLZOI,O,X,O,O,O,X
SJTLOIZ,O,O,O,O,X,X
SJTLOZI,O,O,O,O,X,X
SJTZILO,O,X,O,O,O,O
SJTZIOL,O,X,X,O,O,X
SJTZLIO,O,X,O,O,O,O
SJTZLOI,O,X,O,O,O,X
SJTZOIL,O,X,X,O,O,X
SJTZOLI,O,X,X,O,O,X
SJTOILZ,O,O,O,O,X,X
SJTOIZL,O,O,X,O,X,X
SJTOLIZ,O,O,O,O,X,X
SJTOLZI,O,O,O,O,X,X
SJTOZIL,O,O,X,O,X,X
SJTOZLI,O,O,X,O,X,X
SJITLZO,O,X,O,O,O,O
SJITLOZ,O,O,O,O,X,X
SJITZLO,O,X,O,O,O,O
SJITZOL,O,X,X,O,O,X
SJITOLZ,O,O,O,O,X,X
SJITOZL,O,O,X,O,X,X
SJILTZO,O,X,O,O,O,O
SJILTOZ,O,O,O,O,X,X
SJILZTO,X,X,O,O,O,O
SJILZOT,X,X,O,O,O,X
SJILOTZ,O,O,O,O,X,X
SJILOZT,X,O,O,O,X,X
SJIZTLO,X,X,O,O,O,O
SJIZTOL,X,X,X,O,O,X
SJIZLTO,X,X,O,O,O,O
SJIZLOT,X,X,O,O,O,X
SJIZOTL,X,X,X,O,O,X
SJIZOLT,X,X,O,O,O,X
SJIOTLZ,O,O,O,O,X,X
SJIOTZL,O,O,X,O,X,X
SJIOLTZ,O,O,O,O,X,X
SJIOLZT,X,O,O,O,X,X
SJIOZTL,X,O,X,O,X,X
SJIOZLT,X,O,O,O,X,X
SJLTIZO,O,X,O,O,O,O
SJLTIOZ,O,O,O,O,X,X
SJLTZIO,O,X,O,O,O,O
SJLTZOI,O,X,O,O,O,X
SJLTOIZ,O,O,O,O,X,X
SJLTOZI,O,O,O,O,X,X
SJLITZO,O,X,O,O,O,O
SJLITOZ,O,O,O,O,X,X
SJLIZTO,X,X,O,O,O,O
SJLIZOT,X,X,O,O,O,X
SJLIOTZ,O,O,O,O,X,X
SJLIOZT,X,O,O,O,X,X
SJLZTIO,X,X,O,O,O,O
SJLZTOI,X,X,O,O,O,X
SJLZITO,X,X,O,O,O,O
SJLZIOT,X,X,O,O,O,X
SJLZOTI,X,X,O,O,O,X
SJLZOIT,X,X,O,O,O,X
SJLOTIZ,O,O,O,O,X,X
SJLOTZI,O,O,O,O,X,X
SJLOITZ,O,O,O,O,X,X
SJLOIZT,X,O,O,O,X,X
SJLOZTI,X,O,O,O,X,X
SJLOZIT,X,O,O,O,X,X
SJZTILO,X,X,O,O,O,O
SJZTIOL,X,X,X,O,O,X
SJZTLIO,X,X,O,O,O,O
SJZTLOI,X,X,O,O,O,X
SJZTOIL,X,X,X,O,O,X
SJZTOLI,X,X,X,O,O,X
SJZITLO,X,X,O,O,O,O
SJZITOL,X,X,X,O,O,X
SJZILTO,X,X,O,O,O,O
SJZILOT,X,X,O,O,O,X
SJZIOTL,X,X,X,O,O,X
SJZIOLT,X,X,O,O,O,X
SJZLTIO,X,X,O,O,O,O
SJZLTOI,X,X,O,O,O,X
SJZLITO,X,X,O,O,O,O
SJZLIOT,X,X,O,O,O,X
SJZLOTI,X,X,O,O,O,X
SJZLOIT,X,X,O,O,O,X
SJZOTIL,X,X,X,O,O,X
SJZOTLI,X,X,X,O,O,X
SJZOITL,X,X,X,O,O,X
SJZOILT,X,X,O,O,O,X
SJZOLTI,X,X,O,O,O,X
SJZOLIT,X,X,O,O,O,X
SJOTILZ,O,O,O,O,X,X
SJOTIZL,O,O,X,O,X,X
SJOTLIZ,O,O,O,O,X,X
SJOTLZI,O,O,O,O,X,X
SJOTZIL,O,O,X,O,X,X
SJOTZLI,O,O,X,O,X,X
SJOITLZ,O,O,O,O,X,X
SJOITZL,O,O,X,O,X,X
SJOILTZ,O,O,O,O,X,X
SJOILZT,X,O,O,O,X,X
SJOIZTL,X,O,X,O,X,X
SJOIZLT,X,O,O,O,X,X
SJOLTIZ,O,O,O,O,X,X
SJOLTZI,O,O,O,O,X,X
SJOLITZ,O,O,O,O,X,X
SJOLIZT,X,O,O,O,X,X
SJOLZTI,X,O,O,O,X,X
SJOLZIT,X,O,O,O,X,X
SJOZTIL,X,O,X,O,X,X
SJOZTLI,X,O,X,O,X,X
SJOZITL,X,O,X,O,X,X
SJOZILT,X,O,O,O,X,X
SJOZLTI,X,O,O,O,X,X
SJOZLIT,X,O,O,O,X,X
SZTILJO,O,X,X,O,X,O
SZTILOJ,O,O,X,X,X,X
SZTIJLO,O,X,X,O,O,O
SZTIJOL,O,X,X,O,O,X
SZTIOLJ,O,O,X,X,X,X
SZTIOJL,O,O,X,X,X,X
SZTLIJO,O,X,X,O,O,O
SZTLIOJ,O,O,X,X,X,X
SZTLJIO,O,X,O,O,O,O
SZTLJOI,O,X,O,O,O,X
SZTLOIJ,O,O,X,X,X,X
SZTLOJI,O,O,O,O,O,X
SZTJILO,O,X,O,O,O,O
SZTJIOL,O,X,X,O,O,X
SZTJLIO,O,X,O,O,O,O
SZTJLOI,O,X,O,O,O,X
SZTJOIL,O,X,X,O,O,X
SZTJOLI,O,X,X,O,O,X
SZTOILJ,O,O,X,X,X,X
SZTOIJL,O,O,X,X,X,X
SZTOLIJ,O,O,X,X,X,X
SZTOLJI,O,O,X,O,X,X
SZTOJIL,O,O,X,O,O,X
SZTOJLI,O,O,X,O,O,X
SZITLJO,O,X,X,O,X,O
SZITLOJ,O,O,X,X,X,X
SZITJLO,O,X,X,O,O,O
SZITJOL,O,X,X,O,O,X
SZITOLJ,O,O,X,X,X,X
SZITOJL,O,O,X,X,X,X
SZILTJO,O,X,X,O,O,O
SZILTOJ,O,O,X,X,X,X
SZILJTO,X,X,X,O,O,O
SZILJOT,X,X,X,O,O,X
SZILOTJ,O,O,X,X,X,X
