sequence,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jei/IvhFUhBGiBZoBF?lB/sBTpB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeZEJvhFCgBXhBmiB8?pBFnBzsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jel/IvhFUhBRiBKpBX?lBTnBetB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jex/IvhFXhBKpBzkBF?nB8sBmsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFRiB/pBFlBT?nBetBipB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFZoB/pBFlBT?nBipBGsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Je0/IvhFVmBZoBKpBT?nBXlBGsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeZEJvhFVmB3iBzkBe?tBUnBCqB,v115@GhA8IeA8CeC8CeA8BeE8BeA8Jex/IvhFXhBypBFnB8?sBTpBmsB,v115@GhA8IeA8CeC8CeA8BeE8BeA8JeUBJvhFRiB/pBFlB2?sBzsBipB
IOSZTJL,O,O,X,X,X,O,X,X,X,X
IOSZLTJ,O,O,X,X,X,O,X,X,X,X
IOSZLJT,O,O,X,X,X,X,X,X,X,X
IOSZJTL,O,O,X,X,X,O,X,X,X,X
IOSZJLT,O,O,X,X,X,X,X,X,X,X
IOZTLJS,O,O,X,X,X,X,O,X,X,X
IOZTLSJ,O,O,X,X,X,X,O,X,X,X
IOZTJLS,O,O,X,X,X,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X,X,O,X,X
IOZTSLJ,O,O,X,X,X,O,X,X,X,X
IOZTSJL,O,O,X,X,X,O,X,X,X,X
IOZLTJS,O,O,X,X,X,X,O,X,X,X
IOZLTSJ,O,O,X,X,X,X,O,X,X,X
IOZLJTS,X,O,X,X,X,X,O,X,X,X
IOZLJST,O,O,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,O,O,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X
IOZJTLS,O,O,X,X,X,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X,O,X,X
IOZJLTS,X,O,X,X,X,X,X,X,X,X
IOZJLST,O,O,X,X,X,X,X,X,X,X
IOZJSTL,O,O,X,X,X,O,X,O,X,X
IOZJSLT,O,O,X,X,X,X,X,X,X,X
IOZSTLJ,O,O,X,X,X,O,X,X,X,X
IOZSTJL,O,O,X,X,X,O,X,X,X,X
IOZSLTJ,O,O,X,X,X,O,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X,X,X,X
IOZSJTL,O,O,X,X,X,O,X,X,X,X
IOZSJLT,O,O,X,X,X,X,X,X,X,X
LTIJSZO,O,O,O,X,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,X,X,O,X,X
LTIJZSO,O,O,O,X,X,X,X,X,X,X
LTIJZOS,X,O,O,X,X,X,O,X,X,X
LTIJOSZ,X,X,O,X,X,X,X,O,X,X
LTIJOZS,X,X,O,X,X,X,O,X,X,X
LTISJZO,O,O,X,X,X,X,X,X,X,X
LTISJOZ,O,X,X,X,X,X,X,X,X,X
LTISZJO,O,O,X,X,X,X,X,X,X,X
LTISZOJ,O,O,X,X,X,X,O,X,X,X
LTISOJZ,O,X,X,X,X,X,X,X,X,X
LTISOZJ,O,X,X,X,X,X,O,X,X,X
LTIZJSO,O,O,O,X,X,X,X,X,X,X
LTIZJOS,X,O,O,X,X,X,O,X,X,X
LTIZSJO,O,O,O,X,X,X,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,O,X,X,X
LTIZOJS,X,O,O,X,X,X,O,X,X,X
LTIZOSJ,O,O,O,X,X,X,O,X,X,X
LTIOJSZ,X,X,X,X,X,X,X,O,X,X
LTIOJZS,X,X,X,X,X,X,O,X,X,X
LTIOSJZ,O,X,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,X,X,X,X,O,X,X,X
LTIOZJS,X,X,X,X,X,X,O,X,X,X
LTIOZSJ,O,X,X,X,X,X,O,X,X,X
LTJISZO,O,O,O,X,X,X,X,X,X,X
LTJISOZ,O,X,O,X,X,X,X,O,X,X
LTJIZSO,O,O,O,X,X,X,X,X,X,X
LTJIZOS,X,O,O,X,X,X,O,X,X,X
LTJIOSZ,X,X,O,X,X,X,X,O,X,X
LTJIOZS,X,X,O,X,X,X,O,X,X,X
LTJSIZO,O,O,O,X,X,X,X,X,X,X
LTJSIOZ,O,X,O,X,X,X,X,O,X,X
LTJSZIO,O,O,O,X,X,X,X,X,X,X
LTJSZOI,O,O,O,X,X,X,X,X,X,X
LTJSOIZ,O,X,O,X,X,X,X,O,X,X
LTJSOZI,O,X,O,X,X,X,X,X,X,X
LTJZISO,O,O,O,X,X,X,X,X,X,X
LTJZIOS,X,O,O,X,X,X,O,X,X,X
LTJZSIO,O,O,O,X,X,X,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X,X,X,X
LTJZOIS,X,O,O,X,X,X,O,X,X,X
LTJZOSI,X,O,O,X,X,X,X,X,X,X
LTJOISZ,X,X,O,X,X,X,X,O,X,X
LTJOIZS,X,X,O,X,X,X,O,X,X,X
LTJOSIZ,X,X,O,X,X,X,X,O,X,X
LTJOSZI,X,X,O,X,X,X,X,X,X,X
LTJOZIS,X,X,O,X,X,X,O,X,X,X
LTJOZSI,X,X,O,X,X,X,X,X,X,X
LTSIJZO,O,O,O,X,X,X,X,X,X,X
LTSIJOZ,O,X,O,X,X,X,X,X,X,X
LTSIZJO,O,O,O,X,X,X,X,X,X,X
LTSIZOJ,O,O,O,X,X,X,O,X,X,X
LTSIOJZ,O,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,X,X,X,X,O,X,X,X
LTSJIZO,O,O,O,X,X,X,X,X,X,X
LTSJIOZ,O,X,O,X,X,X,X,X,X,X
LTSJZIO,O,O,O,X,X,X,X,X,X,X
LTSJZOI,O,O,O,X,X,X,X,X,X,X
LTSJOIZ,O,X,O,X,X,X,X,X,X,X
LTSJOZI,O,X,O,X,X,X,X,X,X,X
LTSZIJO,O,O,O,X,X,X,X,X,X,X
LTSZIOJ,O,O,O,O,X,X,O,X,O,X
LTSZJIO,O,O,O,X,X,X,X,X,X,X
LTSZJOI,O,O,O,O,X,X,X,X,O,X
LTSZOIJ,O,O,O,O,X,X,O,X,O,X
LTSZOJI,O,O,O,O,X,X,X,X,O,X
LTSOIJZ,O,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,X,O,X,X,O,X,X,X
LTSOJIZ,O,X,O,X,X,X,X,X,X,X
LTSOJZI,O,X,O,X,X,X,X,X,X,X
LTSOZIJ,O,X,O,O,X,X,O,X,X,X
LTSOZJI,O,X,O,O,X,X,X,X,X,X
LTZIJSO,O,O,O,X,X,X,X,X,X,X
LTZIJOS,X,O,O,X,X,X,O,X,X,X
LTZISJO,O,O,O,X,X,X,X,X,X,X
LTZISOJ,O,O,O,O,X,X,O,X,O,X
LTZIOJS,X,O,O,O,X,X,O,X,O,X
LTZIOSJ,O,O,O,O,X,X,O,X,O,X
LTZJISO,O,O,O,X,X,X,X,X,X,X
LTZJIOS,X,O,O,X,X,X,O,X,X,X
LTZJSIO,O,O,O,X,X,X,X,X,X,X
LTZJSOI,O,O,O,O,X,X,X,X,O,X
LTZJOIS,X,O,O,O,X,X,O,X,O,X
LTZJOSI,X,O,O,O,X,X,X,X,O,X
LTZSIJO,O,O,O,X,X,X,X,X,X,X
LTZSIOJ,O,O,O,O,X,X,O,X,O,X
LTZSJIO,O,O,O,X,X,X,X,X,X,X
LTZSJOI,O,O,O,O,X,X,X,X,O,X
LTZSOIJ,O,O,O,O,X,X,O,X,O,X
LTZSOJI,O,O,O,O,X,X,X,X,O,X
LTZOIJS,X,O,O,O,X,X,O,X,O,X
LTZOISJ,O,O,O,O,X,X,O,X,O,X
LTZOJIS,X,O,O,O,X,X,O,X,O,X
LTZOJSI,X,O,O,O,X,X,X,X,O,X
LTZOSIJ,O,O,X,O,X,X,O,X,O,X
LTZOSJI,O,O,X,O,X,X,X,X,O,X
LTOIJSZ,X,X,X,X,X,X,X,O,X,X
LTOIJZS,X,X,X,X,X,X,O,X,X,X
LTOISJZ,O,X,X,X,X,X,X,X,X,X
LTOISZJ,O,X,X,O,X,X,O,X,X,X
LTOIZJS,X,X,X,O,X,X,O,X,X,X
LTOIZSJ,O,X,X,O,X,X,O,X,X,X
LTOJISZ,X,X,O,X,X,X,X,O,X,X
LTOJIZS,X,X,O,X,X,X,O,X,X,X
LTOJSIZ,X,X,O,X,X,X,X,O,X,X
LTOJSZI,X,X,O,X,X,X,X,X,X,X
LTOJZIS,X,X,O,X,X,X,O,X,X,X
LTOJZSI,X,X,O,X,X,X,X,X,X,X
LTOSIJZ,O,X,X,X,X,X,X,X,X,X
LTOSIZJ,O,X,X,O,X,X,O,X,X,X
LTOSJIZ,O,X,X,X,X,X,X,X,X,X
LTOSJZI,O,X,X,X,X,X,X,X,X,X
LTOSZIJ,O,X,X,O,X,X,O,X,X,X
LTOSZJI,O,X,X,O,X,X,X,X,X,X
LTOZIJS,X,X,O,O,X,X,O,X,X,X
LTOZISJ,O,X,O,O,X,X,O,X,X,X
LTOZJIS,X,X,O,O,X,X,O,X,X,X
LTOZJSI,X,X,O,O,X,X,X,X,X,X
LTOZSIJ,O,X,X,O,X,X,O,X,X,X
LTOZSJI,O,X,X,O,X,X,X,X,X,X
LITJSZO,O,O,O,X,X,X,X,X,X,X
LITJSOZ,O,X,X,X,X,X,X,O,X,X
LITJZSO,O,O,O,X,X,X,X,X,X,X
LITJZOS,X,O,O,X,X,X,O,X,X,X
LITJOSZ,X,X,O,X,X,X,X,O,X,X
LITJOZS,X,X,O,X,X,X,O,X,X,X
LITSJZO,O,O,X,X,X,X,X,X,X,X
LITSJOZ,O,X,X,X,X,X,X,X,X,X
LITSZJO,O,O,X,X,X,X,X,X,X,X
LITSZOJ,O,O,X,X,X,X,O,X,X,X
LITSOJZ,O,X,X,X,X,X,X,X,X,X
LITSOZJ,O,X,X,X,X,X,O,X,X,X
LITZJSO,O,O,O,X,X,X,X,X,X,X
LITZJOS,X,O,O,X,X,X,O,X,X,X
LITZSJO,O,O,O,X,X,X,X,X,X,X
LITZSOJ,O,O,O,X,X,X,O,X,X,X
LITZOJS,X,O,O,X,X,X,O,X,X,X
LITZOSJ,O,O,O,X,X,X,O,X,X,X
LITOJSZ,X,X,X,X,X,X,X,O,X,X
LITOJZS,X,X,X,X,X,X,O,X,X,X
LITOSJZ,O,X,X,X,X,X,X,X,X,X
LITOSZJ,O,X,X,X,X,X,O,X,X,X
LITOZJS,X,X,X,X,X,X,O,X,X,X
LITOZSJ,O,X,X,X,X,X,O,X,X,X
LIJTSZO,X,X,O,X,X,X,X,X,X,X
LIJTSOZ,X,X,O,X,X,X,X,O,X,X
LIJTZSO,X,X,O,X,X,X,X,X,X,X
LIJTZOS,X,X,O,X,X,X,O,X,X,X
LIJTOSZ,X,X,O,X,X,X,X,O,X,X
LIJTOZS,X,X,O,X,X,X,O,X,X,X
LIJSTZO,X,X,O,X,X,X,X,X,X,X
LIJSTOZ,X,X,O,X,X,X,X,O,X,X
LIJSZTO,X,X,O,X,X,X,X,X,X,X
LIJSZOT,X,X,O,X,X,X,X,X,X,X
LIJSOTZ,X,X,O,X,X,X,X,O,X,X
LIJSOZT,X,X,O,X,X,X,X,X,X,X
LIJZTSO,X,X,O,X,X,X,X,X,X,X
LIJZTOS,X,X,O,X,X,X,O,X,X,X
LIJZSTO,X,X,O,X,X,X,X,X,X,X
LIJZSOT,X,X,O,X,X,X,X,X,X,X
LIJZOTS,X,X,O,X,X,X,O,X,X,X
LIJZOST,X,X,O,X,X,X,X,X,X,X
LIJOTSZ,X,X,O,X,X,X,X,O,X,X
LIJOTZS,X,X,O,X,X,X,O,X,X,X
LIJOSTZ,X,X,O,X,X,X,X,O,X,X
LIJOSZT,X,X,O,X,X,X,X,X,X,X
LIJOZTS,X,X,O,X,X,X,O,X,X,X
LIJOZST,X,X,O,X,X,X,X,X,X,X
LISTJZO,O,O,O,X,X,X,X,X,X,X
LISTJOZ,O,X,O,X,X,X,X,X,X,X
LISTZJO,O,O,O,X,X,X,X,X,X,X
LISTZOJ,O,O,O,X,X,O,O,X,X,X
LISTOJZ,O,X,X,X,X,X,X,X,X,X
LISTOZJ,O,X,X,X,X,O,O,X,X,X
LISJTZO,O,X,O,X,X,X,X,X,X,X
LISJTOZ,O,X,O,X,X,X,X,X,X,X
LISJZTO,O,X,O,X,X,X,X,X,X,X
LISJZOT,O,X,O,X,X,X,X,X,X,X
LISJOTZ,O,X,O,X,X,X,X,X,X,X
LISJOZT,O,X,O,X,X,X,X,X,X,X
LISZTJO,O,O,O,X,X,X,X,X,X,X
LISZTOJ,O,O,O,O,X,O,O,X,O,X
LISZJTO,O,O,O,X,X,X,X,X,X,X
LISZJOT,O,O,O,X,X,X,X,X,X,X
LISZOTJ,O,O,O,O,X,O,O,X,X,X
LISZOJT,O,O,X,O,X,X,X,X,X,X
LISOTJZ,O,O,X,X,X,X,X,X,X,X
LISOTZJ,O,O,X,O,X,O,O,X,X,X
LISOJTZ,O,X,X,X,X,X,X,X,X,X
LISOJZT,O,O,X,O,X,X,X,X,X,X
LISOZTJ,O,O,X,O,X,O,O,X,X,X
LISOZJT,O,O,X,O,X,X,X,X,X,X
LIZTJSO,O,O,O,X,X,X,X,X,X,X
LIZTJOS,X,O,O,X,X,X,O,X,X,X
LIZTSJO,O,O,O,X,X,X,X,X,X,X
LIZTSOJ,O,O,O,O,X,X,O,X,O,X
LIZTOJS,X,O,O,O,X,X,O,X,O,X
LIZTOSJ,O,O,O,O,X,X,O,X,O,X
LIZJTSO,X,O,O,X,X,X,X,X,X,X
LIZJTOS,X,O,O,X,X,X,O,X,X,X
LIZJSTO,X,O,O,X,X,X,X,X,X,X
LIZJSOT,X,O,O,X,X,X,X,X,X,X
LIZJOTS,X,O,O,X,X,X,O,X,X,X
LIZJOST,X,O,O,X,X,X,X,X,X,X
LIZSTJO,O,O,O,X,X,X,X,X,X,X
LIZSTOJ,O,O,O,O,X,O,O,X,O,X
LIZSJTO,O,O,O,X,X,X,X,X,X,X
LIZSJOT,O,O,O,X,X,X,X,X,X,X
LIZSOTJ,O,O,O,O,X,O,O,X,X,X
LIZSOJT,O,O,X,O,X,X,X,X,X,X
LIZOTJS,O,O,O,O,X,X,O,X,X,X
LIZOTSJ,O,O,O,O,X,X,O,X,X,X
LIZOJTS,X,O,X,O,X,X,O,X,X,X
LIZOJST,O,O,X,O,X,X,X,X,X,X
LIZOSTJ,O,O,O,O,X,O,O,X,X,X
LIZOSJT,O,O,X,O,X,X,X,X,X,X
LIOTJSZ,O,O,X,X,X,X,X,O,X,X
LIOTJZS,O,O,X,X,X,X,O,X,X,X
LIOTSJZ,O,O,X,X,X,X,X,X,X,X
LIOTSZJ,O,O,X,O,X,X,O,X,X,X
LIOTZJS,O,O,X,O,X,X,O,X,X,X
LIOTZSJ,O,O,X,O,X,X,O,X,X,X
LIOJTSZ,X,X,X,X,X,X,X,O,X,X
LIOJTZS,X,X,X,X,X,X,O,X,X,X
LIOJSTZ,O,X,X,X,X,X,X,O,X,X
LIOJSZT,O,O,X,O,X,X,X,X,X,X
LIOJZTS,X,O,X,O,X,X,O,X,X,X
LIOJZST,O,O,X,O,X,X,X,X,X,X
LIOSTJZ,O,O,X,X,X,X,X,X,X,X
LIOSTZJ,O,O,X,O,X,O,O,X,X,X
LIOSJTZ,O,X,X,X,X,X,X,X,X,X
LIOSJZT,O,O,X,O,X,X,X,X,X,X
LIOSZTJ,O,O,X,O,X,O,O,X,X,X
LIOSZJT,O,O,X,O,X,X,X,X,X,X
LIOZTJS,O,O,X,O,X,X,O,X,X,X
LIOZTSJ,O,O,X,O,X,X,O,X,X,X
LIOZJTS,X,O,X,O,X,X,O,X,X,X
LIOZJST,O,O,X,O,X,X,X,X,X,X
LIOZSTJ,O,O,X,O,X,O,O,X,X,X
LIOZSJT,O,O,X,O,X,X,X,X,X,X
LJTISZO,X,X,O,X,X,X,X,X,X,X
LJTISOZ,X,X,O,X,X,X,X,O,X,X
LJTIZSO,X,X,O,X,X,X,X,X,X,X
LJTIZOS,X,X,O,X,X,X,O,X,X,X
LJTIOSZ,X,X,O,X,X,X,X,O,X,X
LJTIOZS,X,X,O,X,X,X,O,X,X,X
LJTSIZO,X,X,O,X,X,X,X,X,X,X
LJTSIOZ,X,X,O,X,X,X,X,O,X,X
LJTSZIO,X,X,O,X,X,X,X,X,X,X
LJTSZOI,X,X,O,X,X,X,X,X,X,X
LJTSOIZ,X,X,O,X,X,X,X,O,X,X
LJTSOZI,X,X,O,X,X,X,X,X,X,X
LJTZISO,X,X,O,X,X,X,X,X,X,X
LJTZIOS,X,X,O,X,X,X,O,X,X,X
LJTZSIO,X,X,O,X,X,X,X,X,X,X
LJTZSOI,X,X,O,X,X,X,X,X,X,X
LJTZOIS,X,X,O,X,X,X,O,X,X,X
LJTZOSI,X,X,O,X,X,X,X,X,X,X
LJTOISZ,X,X,O,X,X,X,X,O,X,X
LJTOIZS,X,X,O,X,X,X,O,X,X,X
LJTOSIZ,X,X,O,X,X,X,X,O,X,X
LJTOSZI,X,X,O,X,X,X,X,X,X,X
LJTOZIS,X,X,O,X,X,X,O,X,X,X
LJTOZSI,X,X,O,X,X,X,X,X,X,X
LJITSZO,X,X,O,X,X,X,X,X,X,X
LJITSOZ,X,X,O,X,X,X,X,O,X,X
LJITZSO,X,X,O,X,X,X,X,X,X,X
LJITZOS,X,X,O,X,X,X,O,X,X,X
LJITOSZ,X,X,O,X,X,X,X,O,X,X
LJITOZS,X,X,O,X,X,X,O,X,X,X
LJISTZO,X,X,O,X,X,X,X,X,X,X
LJISTOZ,X,X,O,X,X,X,X,O,X,X
LJISZTO,X,X,O,X,X,X,X,X,X,X
LJISZOT,X,X,O,X,X,X,X,X,X,X
LJISOTZ,X,X,O,X,X,X,X,O,X,X
LJISOZT,X,X,O,X,X,X,X,X,X,X
LJIZTSO,X,X,O,X,X,X,X,X,X,X
LJIZTOS,X,X,O,X,X,X,O,X,X,X
LJIZSTO,X,X,O,X,X,X,X,X,X,X
LJIZSOT,X,X,O,X,X,X,X,X,X,X
LJIZOTS,X,X,O,X,X,X,O,X,X,X
LJIZOST,X,X,O,X,X,X,X,X,X,X
LJIOTSZ,X,X,O,X,X,X,X,O,X,X
LJIOTZS,X,X,O,X,X,X,O,X,X,X
LJIOSTZ,X,X,O,X,X,X,X,O,X,X
LJIOSZT,X,X,O,X,X,X,X,X,X,X
LJIOZTS,X,X,O,X,X,X,O,X,X,X
LJIOZST,X,X,O,X,X,X,X,X,X,X
LJSTIZO,X,X,O,X,X,X,X,X,X,X
LJSTIOZ,X,X,O,X,X,X,X,O,X,X
LJSTZIO,X,X,O,X,X,X,X,X,X,X
LJSTZOI,X,X,O,X,O,X,X,X,X,O
LJSTOIZ,X,X,O,X,O,X,X,O,X,O
LJSTOZI,X,X,O,X,O,X,X,X,X,O
LJSITZO,X,X,O,X,X,X,X,X,X,X
LJSITOZ,X,X,O,X,X,X,X,O,X,X
LJSIZTO,X,X,O,X,X,X,X,X,X,X
LJSIZOT,X,X,O,X,X,X,X,X,X,X
LJSIOTZ,X,X,O,X,X,X,X,O,X,X
LJSIOZT,X,X,O,X,X,X,X,X,X,X
LJSZTIO,X,X,O,X,X,X,X,X,X,X
LJSZTOI,X,X,O,O,O,X,X,X,O,O
LJSZITO,X,X,O,X,X,X,X,X,X,X
LJSZIOT,X,X,O,X,X,X,X,X,X,X
LJSZOTI,X,X,O,O,O,X,X,X,X,X
LJSZOIT,X,X,O,O,O,X,X,X,X,X
LJSOTIZ,X,X,O,X,O,X,X,O,X,X
LJSOTZI,X,X,O,X,O,X,X,X,X,X
LJSOITZ,X,X,O,X,O,X,X,O,X,X
LJSOIZT,X,X,O,O,O,X,X,X,X,X
LJSOZTI,X,X,O,O,O,X,X,X,X,X
LJSOZIT,X,X,O,O,O,X,X,X,X,X
LJZTISO,X,X,O,X,X,X,X,X,X,X
LJZTIOS,X,X,O,X,X,X,O,X,X,X
LJZTSIO,X,X,O,X,X,X,X,X,X,X
LJZTSOI,X,X,O,O,X,X,X,X,O,X
LJZTOIS,X,X,O,O,X,X,O,X,O,X
LJZTOSI,X,X,O,O,X,X,X,X,O,X
LJZITSO,X,X,O,X,X,X,X,X,X,X
LJZITOS,X,X,O,X,X,X,O,X,X,X
LJZISTO,X,X,O,X,X,X,X,X,X,X
LJZISOT,X,X,O,X,X,X,X,X,X,X
LJZIOTS,X,X,O,X,X,X,O,X,X,X
LJZIOST,X,X,O,X,X,X,X,X,X,X
LJZSTIO,X,X,O,X,X,X,X,X,X,X
LJZSTOI,X,X,O,O,O,X,X,X,O,O
LJZSITO,X,X,O,X,X,X,X,X,X,X
LJZSIOT,X,X,O,X,X,X,X,X,X,X
LJZSOTI,X,X,O,O,O,X,X,X,X,X
LJZSOIT,X,X,O,O,O,X,X,X,X,X
LJZOTIS,X,X,O,O,X,X,O,X,X,X
LJZOTSI,X,X,O,O,X,X,X,X,X,X
LJZOITS,X,X,O,O,X,X,O,X,X,X
LJZOIST,X,X,O,O,O,X,X,X,X,X
LJZOSTI,X,X,O,O,O,X,X,X,X,X
LJZOSIT,X,X,O,O,O,X,X,X,X,X
LJOTISZ,X,X,O,X,X,X,X,O,X,X
LJOTIZS,X,X,O,X,X,X,O,X,X,X
LJOTSIZ,X,X,O,X,X,X,X,O,X,X
LJOTSZI,X,X,O,X,X,X,X,X,X,X
LJOTZIS,X,X,O,X,X,X,O,X,X,X
LJOTZSI,X,X,O,X,X,X,X,X,X,X
LJOITSZ,X,X,O,X,X,X,X,O,X,X
LJOITZS,X,X,O,X,X,X,O,X,X,X
LJOISTZ,X,X,O,X,O,X,X,O,X,X
LJOISZT,X,X,O,O,O,X,X,X,X,X
LJOIZTS,X,X,O,O,X,X,O,X,X,X
LJOIZST,X,X,O,O,O,X,X,X,X,X
LJOSTIZ,X,X,O,X,O,X,X,O,X,X
LJOSTZI,X,X,O,X,O,X,X,X,X,X
LJOSITZ,X,X,O,X,O,X,X,O,X,X
LJOSIZT,X,X,O,O,O,X,X,X,X,X
LJOSZTI,X,X,O,O,O,X,X,X,X,X
LJOSZIT,X,X,O,O,O,X,X,X,X,X
LJOZTIS,X,X,O,O,X,X,O,X,X,X
LJOZTSI,X,X,O,O,X,X,X,X,X,X
LJOZITS,X,X,O,O,X,X,O,X,X,X
LJOZIST,X,X,O,O,O,X,X,X,X,X
LJOZSTI,X,X,O,O,O,X,X,X,X,X
LJOZSIT,X,X,O,O,O,X,X,X,X,X
LSTIJZO,O,O,O,X,X,X,X,X,X,X
LSTIJOZ,O,X,O,X,X,X,X,X,X,X
LSTIZJO,O,O,O,X,X,X,X,X,X,X
LSTIZOJ,O,O,O,X,X,O,O,X,X,X
LSTIOJZ,O,X,X,X,X,X,X,X,X,X
LSTIOZJ,O,X,X,X,X,O,O,X,X,X
LSTJIZO,O,O,O,X,X,X,X,X,X,X
LSTJIOZ,O,X,O,X,X,X,X,X,X,X
LSTJZIO,O,O,O,X,X,X,X,X,X,X
LSTJZOI,O,O,O,X,O,X,X,X,X,O
LSTJOIZ,O,X,O,X,O,X,X,X,X,O
LSTJOZI,O,X,O,X,O,X,X,X,X,O
LSTZIJO,O,O,O,X,X,X,X,X,X,X
LSTZIOJ,O,O,O,O,X,O,O,X,O,X
LSTZJIO,O,O,O,X,X,X,X,X,X,X
LSTZJOI,O,O,O,O,O,X,X,X,O,O
LSTZOIJ,O,O,O,O,X,O,O,X,O,X
LSTZOJI,O,O,O,O,X,X,X,X,O,X
LSTOIJZ,O,X,X,X,X,X,X,X,X,X
LSTOIZJ,O,X,X,O,X,O,O,X,X,X
LSTOJIZ,O,X,O,X,X,X,X,X,X,X
LSTOJZI,O,X,O,X,X,X,X,X,X,X
LSTOZIJ,O,X,O,O,X,O,O,X,X,X
LSTOZJI,O,X,O,O,X,X,X,X,X,X
LSITJZO,O,O,O,X,X,X,X,X,X,X
LSITJOZ,O,X,O,X,X,X,X,X,X,X
LSITZJO,O,O,O,X,X,X,X,X,X,X
LSITZOJ,O,O,O,X,X,O,O,X,X,X
LSITOJZ,O,X,X,X,X,X,X,X,X,X
LSITOZJ,O,X,X,X,X,O,O,X,X,X
LSIJTZO,O,X,O,X,X,X,X,X,X,X
LSIJTOZ,O,X,O,X,X,X,X,X,X,X
LSIJZTO,O,X,O,X,X,X,X,X,X,X
LSIJZOT,O,X,O,X,X,X,X,X,X,X
LSIJOTZ,O,X,O,X,X,X,X,X,X,X
LSIJOZT,O,X,O,X,X,X,X,X,X,X
LSIZTJO,O,O,O,X,X,X,X,X,X,X
LSIZTOJ,O,O,O,O,X,O,O,X,O,X
LSIZJTO,O,O,O,X,X,X,X,X,X,X
LSIZJOT,O,O,O,X,X,X,X,X,X,X
LSIZOTJ,O,O,O,O,X,O,O,X,X,X
LSIZOJT,O,O,X,O,X,X,X,X,X,X
LSIOTJZ,O,O,X,X,X,X,X,X,X,X
LSIOTZJ,O,O,X,O,X,O,O,X,X,X
LSIOJTZ,O,X,X,X,X,X,X,X,X,X
LSIOJZT,O,O,X,O,X,X,X,X,X,X
LSIOZTJ,O,O,X,O,X,O,O,X,X,X
LSIOZJT,O,O,X,O,X,X,X,X,X,X
LSJTIZO,O,X,O,X,X,X,X,X,X,X
LSJTIOZ,O,X,O,X,X,X,X,X,X,X
LSJTZIO,O,X,O,X,X,X,X,X,X,X
LSJTZOI,O,X,O,X,O,X,X,X,X,O
LSJTOIZ,O,X,O,X,O,X,X,X,X,O
LSJTOZI,O,X,O,X,O,X,X,X,X,O
LSJITZO,O,X,O,X,X,X,X,X,X,X
LSJITOZ,O,X,O,X,X,X,X,X,X,X
LSJIZTO,O,X,O,X,X,X,X,X,X,X
LSJIZOT,O,X,O,X,X,X,X,X,X,X
LSJIOTZ,O,X,O,X,X,X,X,X,X,X
LSJIOZT,O,X,O,X,X,X,X,X,X,X
LSJZTIO,O,X,O,X,X,X,X,X,X,X
LSJZTOI,O,X,O,O,O,X,X,X,O,O
LSJZITO,O,X,O,X,X,X,X,X,X,X
LSJZIOT,O,X,O,X,X,X,X,X,X,X
LSJZOTI,O,X,O,O,O,X,X,X,X,X
LSJZOIT,O,X,O,O,O,X,X,X,X,X
LSJOTIZ,O,X,O,X,O,X,X,X,X,X
LSJOTZI,O,X,O,X,O,X,X,X,X,X
LSJOITZ,O,X,O,X,O,X,X,X,X,X
LSJOIZT,O,X,O,O,O,X,X,X,X,X
LSJOZTI,O,X,O,O,O,X,X,X,X,X
LSJOZIT,O,X,O,O,O,X,X,X,X,X
LSZTIJO,O,O,O,X,X,X,X,X,X,X
LSZTIOJ,O,O,O,O,X,O,O,X,O,X
LSZTJIO,O,O,O,X,X,X,X,X,X,X
LSZTJOI,O,O,O,O,O,X,X,X,O,O
LSZTOIJ,O,O,O,O,X,O,O,X,O,X
LSZTOJI,O,O,O,O,X,X,X,X,O,X
LSZITJO,O,O,O,X,X,X,X,X,X,X
LSZITOJ,O,O,O,O,X,O,O,X,O,X
LSZIJTO,O,O,O,X,X,X,X,X,X,X
LSZIJOT,O,O,O,X,X,X,X,X,X,X
LSZIOTJ,O,O,O,O,X,O,O,X,X,X
LSZIOJT,O,O,X,O,X,X,X,X,X,X
LSZJTIO,O,O,O,X,X,X,X,X,X,X
LSZJTOI,O,O,O,O,O,X,X,X,O,O
LSZJITO,O,O,O,X,X,X,X,X,X,X
LSZJIOT,O,O,O,X,X,X,X,X,X,X
LSZJOTI,O,O,O,O,O,X,X,X,X,X
LSZJOIT,O,O,O,O,O,X,X,X,X,X
