sequence,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBOhB8hBfjB6jBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbBicBGeB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8JeR7Iv?hFzcBfjB6jBukBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hF2gBzcBfjB6jBUhBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBSjB3hBUjBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFibBzcBUhBXoBGoBFtB,v115@zgA8IeA8IeA8AeB8BeB8BeA8AeE8CeH8AeA8Je5/Iv?hFTbB2hBFjB3hBctBCtB
LSTJZOI,X,O,O,X,X,X,X
LSTJOIZ,X,O,O,O,X,X,X
LSTJOZI,X,O,X,X,X,X,X
LSTZIJO,O,O,X,X,X,O,X
LSTZIOJ,O,O,O,X,X,O,X
LSTZJIO,O,O,O,X,X,X,X
LSTZJOI,O,O,O,X,X,X,X
LSTZOIJ,O,O,O,X,X,O,X
LSTZOJI,O,O,O,X,X,X,X
LSTOIJZ,X,O,X,O,X,X,X
LSTOIZJ,O,O,X,X,X,X,X
LSTOJIZ,X,O,O,O,X,X,X
LSTOJZI,X,O,X,X,X,X,X
LSTOZIJ,O,O,X,X,X,X,X
LSTOZJI,O,O,X,X,X,X,X
LSITJZO,X,O,X,X,X,X,X
LSITJOZ,X,O,X,O,X,X,X
LSITZJO,O,O,X,X,X,O,X
LSITZOJ,O,O,X,X,X,O,X
LSITOJZ,X,O,X,O,X,X,X
LSITOZJ,O,O,X,X,X,X,X
LSIJTZO,X,O,O,X,X,X,X
LSIJTOZ,X,O,O,O,X,X,X
LSIJZTO,O,O,O,X,X,O,X
LSIJZOT,O,O,O,O,X,O,X
LSIJOTZ,X,O,O,O,O,X,X
LSIJOZT,O,O,O,O,O,X,X
LSIZTJO,O,O,X,X,X,O,X
LSIZTOJ,O,O,O,X,X,O,X
LSIZJTO,O,O,O,X,X,O,X
LSIZJOT,O,O,O,O,X,O,X
LSIZOTJ,O,O,O,X,X,O,X
LSIZOJT,O,O,O,O,X,O,X
LSIOTJZ,X,O,X,O,X,X,X
LSIOTZJ,O,O,X,X,X,X,X
LSIOJTZ,X,O,O,O,O,X,X
LSIOJZT,O,O,O,O,O,X,X
LSIOZTJ,O,O,X,X,X,O,X
LSIOZJT,O,O,X,O,X,O,X
LSJTIZO,X,O,O,X,X,X,X
LSJTIOZ,X,O,O,O,X,X,X
LSJTZIO,X,O,O,X,X,X,X
LSJTZOI,X,O,O,X,X,X,X
LSJTOIZ,X,O,O,O,X,X,X
LSJTOZI,X,O,X,X,X,X,X
LSJITZO,X,O,O,X,X,X,X
LSJITOZ,X,O,O,O,X,X,X
LSJIZTO,O,O,O,X,X,O,X
LSJIZOT,O,O,O,O,X,O,X
LSJIOTZ,X,O,O,O,O,X,X
LSJIOZT,O,O,O,O,O,X,X
LSJZTIO,O,O,O,X,X,X,X
LSJZTOI,O,O,O,X,X,X,X
LSJZITO,O,O,O,X,X,O,X
LSJZIOT,O,O,O,O,X,O,X
LSJZOTI,O,O,O,X,X,X,X
LSJZOIT,O,O,O,O,X,O,X
LSJOTIZ,X,O,O,O,X,X,X
LSJOTZI,X,O,X,X,X,X,X
LSJOITZ,X,O,O,O,O,X,X
LSJOIZT,O,O,O,O,O,X,X
LSJOZTI,O,O,O,X,X,X,X
LSJOZIT,O,O,O,O,X,X,X
LSZTIJO,O,O,X,X,X,O,X
LSZTIOJ,O,O,O,X,X,O,X
LSZTJIO,O,O,O,X,X,X,X
LSZTJOI,O,O,O,X,X,X,X
LSZTOIJ,O,O,O,X,X,O,X
LSZTOJI,O,O,O,X,X,X,X
LSZITJO,O,O,X,X,X,O,X
LSZITOJ,O,O,O,X,X,O,X
LSZIJTO,O,O,O,X,X,O,X
LSZIJOT,O,O,O,O,X,O,X
LSZIOTJ,O,O,O,X,X,O,X
LSZIOJT,O,O,O,O,X,O,X
LSZJTIO,O,O,O,X,X,X,X
LSZJTOI,O,O,O,X,X,X,X
LSZJITO,O,O,O,X,X,O,X
LSZJIOT,O,O,O,O,X,O,X
LSZJOTI,O,O,O,X,X,X,X
LSZJOIT,O,O,O,O,X,O,X
LSZOTIJ,O,O,O,X,X,O,X
LSZOTJI,O,O,O,X,X,X,X
LSZOITJ,O,O,O,X,X,O,X
LSZOIJT,O,O,O,O,X,O,X
LSZOJTI,O,O,O,X,X,X,X
LSZOJIT,O,O,O,O,X,O,X
LSOTIJZ,X,O,X,O,X,X,X
LSOTIZJ,O,O,X,X,X,X,X
LSOTJIZ,X,O,O,O,X,X,X
LSOTJZI,X,O,X,X,X,X,X
LSOTZIJ,O,O,X,X,X,X,X
LSOTZJI,O,O,X,X,X,X,X
LSOITJZ,X,O,X,O,X,X,X
LSOITZJ,O,O,X,X,X,X,X
LSOIJTZ,X,O,O,O,O,X,X
LSOIJZT,O,O,O,O,O,X,X
LSOIZTJ,O,O,X,X,X,O,X
LSOIZJT,O,O,X,O,X,O,X
LSOJTIZ,X,O,O,O,X,X,X
LSOJTZI,X,O,X,X,X,X,X
LSOJITZ,X,O,O,O,O,X,X
LSOJIZT,O,O,O,O,O,X,X
LSOJZTI,O,O,O,X,X,X,X
LSOJZIT,O,O,O,O,X,X,X
LSOZTIJ,O,O,O,X,X,O,X
LSOZTJI,O,O,O,X,X,X,X
LSOZITJ,O,O,O,X,X,O,X
LSOZIJT,O,O,O,O,X,O,X
LSOZJTI,O,O,O,X,X,X,X
LSOZJIT,O,O,O,O,X,O,X
LZTIJSO,O,X,X,X,X,X,X
LZTIJOS,O,X,X,X,X,X,O
LZTISJO,O,X,O,X,X,O,X
LZTISOJ,O,X,O,X,X,O,X
LZTIOJS,O,X,X,X,X,X,O
LZTIOSJ,O,X,O,X,X,O,X
LZTJISO,O,X,O,X,X,X,X
LZTJIOS,O,X,O,X,X,X,O
LZTJSIO,O,X,O,X,X,X,X
LZTJSOI,O,X,O,X,X,X,X
LZTJOIS,O,X,O,X,X,X,O
LZTJOSI,O,X,O,X,X,X,X
LZTSIJO,O,X,O,X,X,O,X
LZTSIOJ,O,X,O,X,X,O,X
LZTSJIO,O,X,O,X,X,X,X
LZTSJOI,O,X,O,X,X,X,X
LZTSOIJ,O,X,O,X,X,O,X
LZTSOJI,O,X,O,X,X,X,X
LZTOIJS,O,X,X,X,X,X,O
LZTOISJ,O,X,O,X,X,O,X
LZTOJIS,O,X,O,X,X,X,O
LZTOJSI,O,X,O,X,X,X,X
LZTOSIJ,O,X,O,X,X,O,X
LZTOSJI,O,X,O,X,X,X,X
LZITJSO,O,X,X,X,X,X,X
LZITJOS,O,X,X,X,X,X,O
LZITSJO,O,X,O,X,X,O,X
LZITSOJ,O,X,O,X,X,O,X
LZITOJS,O,X,X,X,X,X,O
LZITOSJ,O,X,O,X,X,O,X
LZIJTSO,O,X,X,X,X,X,X
LZIJTOS,O,X,X,X,X,X,O
LZIJSTO,O,O,X,X,X,O,X
LZIJSOT,O,O,X,X,X,O,X
LZIJOTS,O,X,X,X,O,X,O
LZIJOST,O,O,X,X,O,O,X
LZISTJO,O,O,X,X,X,O,X
LZISTOJ,O,O,O,X,X,O,X
LZISJTO,O,O,X,X,X,O,X
LZISJOT,O,O,O,X,X,O,X
LZISOTJ,O,O,O,X,X,O,X
LZISOJT,O,O,O,X,X,O,X
LZIOTJS,O,X,X,X,X,X,O
LZIOTSJ,O,X,O,X,X,O,X
LZIOJTS,O,X,X,X,O,X,O
LZIOJST,O,O,X,X,O,O,X
LZIOSTJ,O,O,O,X,X,O,X
LZIOSJT,O,O,O,X,X,O,X
LZJTISO,O,X,O,X,X,X,X
LZJTIOS,O,X,O,X,X,X,O
LZJTSIO,O,X,O,X,X,X,X
LZJTSOI,O,X,O,X,X,X,X
LZJTOIS,O,X,O,X,X,X,O
LZJTOSI,O,X,O,X,X,X,X
LZJITSO,O,X,O,X,X,X,X
LZJITOS,O,X,O,X,X,X,O
LZJISTO,O,O,O,X,X,O,X
LZJISOT,O,O,O,X,X,O,X
LZJIOTS,O,X,O,X,O,X,O
LZJIOST,O,O,O,X,O,O,X
LZJSTIO,O,O,O,X,X,X,X
LZJSTOI,O,O,O,X,X,X,X
LZJSITO,O,O,O,X,X,O,X
LZJSIOT,O,O,O,X,X,O,X
LZJSOTI,O,O,O,X,X,X,X
LZJSOIT,O,O,O,X,X,O,X
LZJOTIS,O,X,O,X,X,X,O
LZJOTSI,O,X,O,X,X,X,X
LZJOITS,O,X,O,X,O,X,O
LZJOIST,O,O,O,X,O,O,X
LZJOSTI,O,O,O,X,X,X,X
LZJOSIT,O,O,O,X,X,O,X
LZSTIJO,O,O,X,X,X,O,X
LZSTIOJ,O,O,O,X,X,O,X
LZSTJIO,O,O,O,X,X,X,X
LZSTJOI,O,O,O,X,X,X,X
LZSTOIJ,O,O,O,X,X,O,X
LZSTOJI,O,O,O,X,X,X,X
LZSITJO,O,O,X,X,X,O,X
LZSITOJ,O,O,O,X,X,O,X
LZSIJTO,O,O,O,X,X,O,X
LZSIJOT,O,O,O,X,X,O,X
LZSIOTJ,O,O,O,X,X,O,X
LZSIOJT,O,O,O,X,X,O,X
LZSJTIO,O,O,O,X,X,X,X
LZSJTOI,O,O,O,X,X,X,X
LZSJITO,O,O,O,X,X,O,X
LZSJIOT,O,O,O,X,X,O,X
LZSJOTI,O,O,O,X,X,X,X
LZSJOIT,O,O,O,X,X,O,X
LZSOTIJ,O,O,O,X,X,O,X
LZSOTJI,O,O,O,X,X,X,X
LZSOITJ,O,O,O,X,X,O,X
LZSOIJT,O,O,O,X,X,O,X
LZSOJTI,O,O,O,X,X,X,X
LZSOJIT,O,O,O,X,X,O,X
LZOTIJS,O,X,X,X,X,X,O
LZOTISJ,O,X,O,X,X,O,X
LZOTJIS,O,X,O,X,X,X,O
LZOTJSI,O,X,O,X,X,X,X
LZOTSIJ,O,X,O,X,X,O,X
LZOTSJI,O,X,O,X,X,X,X
LZOITJS,O,X,X,X,X,X,O
LZOITSJ,O,X,O,X,X,O,X
LZOIJTS,O,X,X,X,O,X,O
LZOIJST,O,O,X,X,O,O,X
LZOISTJ,O,O,O,X,X,O,X
LZOISJT,O,O,O,X,X,O,X
LZOJTIS,O,X,O,X,X,X,O
LZOJTSI,O,X,O,X,X,X,X
LZOJITS,O,X,O,X,O,X,O
LZOJIST,O,O,O,X,O,O,X
LZOJSTI,O,O,O,X,X,X,X
LZOJSIT,O,O,O,X,X,O,X
LZOSTIJ,O,O,O,X,X,O,X
LZOSTJI,O,O,O,X,X,X,X
LZOSITJ,O,O,O,X,X,O,X
LZOSIJT,O,O,O,X,X,O,X
LZOSJTI,O,O,O,X,X,X,X
LZOSJIT,O,O,O,X,X,O,X
LOTIJSZ,X,X,X,O,O,X,X
LOTIJZS,X,X,X,X,O,X,X
LOTISJZ,O,O,X,O,O,X,X
LOTISZJ,O,O,X,O,X,X,X
LOTIZJS,O,O,X,X,O,X,X
LOTIZSJ,O,O,X,X,X,X,X
LOTJISZ,X,X,O,O,O,X,X
LOTJIZS,X,X,X,X,O,X,X
LOTJSIZ,X,X,O,O,O,X,X
LOTJSZI,X,X,O,O,X,X,X
LOTJZIS,X,X,X,X,O,X,X
LOTJZSI,X,X,X,X,X,X,X
LOTSIJZ,O,O,O,O,O,X,X
LOTSIZJ,O,O,X,O,X,X,X
LOTSJIZ,O,O,O,O,O,X,X
LOTSJZI,O,O,O,O,X,X,X
LOTSZIJ,O,O,X,O,X,X,X
LOTSZJI,O,O,O,O,X,X,X
LOTZIJS,O,O,X,X,O,X,X
LOTZISJ,O,O,X,X,X,X,X
LOTZJIS,O,O,X,X,O,X,X
LOTZJSI,O,O,X,X,X,X,X
LOTZSIJ,O,O,X,X,X,X,X
LOTZSJI,O,O,X,X,X,X,X
LOITJSZ,X,X,X,O,O,X,X
LOITJZS,X,X,X,X,O,X,X
LOITSJZ,O,O,X,O,O,X,X
LOITSZJ,O,O,X,O,X,X,X
LOITZJS,O,O,X,X,O,X,X
LOITZSJ,O,O,X,X,X,X,X
LOIJTSZ,X,X,X,O,O,X,X
LOIJTZS,X,X,X,X,O,X,X
LOIJSTZ,X,X,X,O,O,X,X
LOIJSZT,X,X,X,O,O,X,X
LOIJZTS,X,X,X,X,O,X,O
LOIJZST,X,X,X,X,O,X,X
LOISTJZ,X,O,X,O,X,X,X
LOISTZJ,O,O,X,X,X,X,X
LOISJTZ,X,O,X,O,O,X,X
LOISJZT,O,O,X,O,O,X,X
LOISZTJ,O,O,X,X,X,O,X
LOISZJT,O,O,X,O,X,O,X
LOIZTJS,O,X,X,X,X,X,O
LOIZTSJ,O,X,X,X,X,O,X
LOIZJTS,O,X,X,X,O,X,O
LOIZJST,O,O,X,X,O,O,X
LOIZSTJ,O,O,X,X,X,O,X
LOIZSJT,O,O,X,X,X,O,X
LOJTISZ,X,X,O,O,O,X,X
LOJTIZS,X,X,X,X,O,X,X
LOJTSIZ,X,X,O,O,O,X,X
LOJTSZI,X,X,O,O,X,X,X
LOJTZIS,X,X,X,X,O,X,X
LOJTZSI,X,X,X,X,X,X,X
LOJITSZ,X,X,O,O,O,X,X
LOJITZS,X,X,X,X,O,X,X
LOJISTZ,X,X,O,O,O,X,X
LOJISZT,X,X,O,O,O,X,X
LOJIZTS,X,X,X,X,O,X,O
LOJIZST,X,X,X,X,O,X,X
LOJSTIZ,X,X,O,O,X,X,X
LOJSTZI,X,X,X,X,X,X,X
LOJSITZ,X,X,O,O,O,X,X
LOJSIZT,X,X,O,O,O,X,X
LOJSZTI,X,X,X,X,X,X,X
LOJSZIT,X,X,O,O,X,X,X
LOJZTIS,X,X,X,X,X,X,O
LOJZTSI,X,X,X,X,X,X,X
LOJZITS,X,X,X,X,O,X,O
LOJZIST,X,X,X,X,O,X,X
LOJZSTI,X,X,X,X,X,X,X
LOJZSIT,X,X,X,X,X,X,X
LOSTIJZ,X,O,X,O,X,X,X
LOSTIZJ,O,O,X,X,X,X,X
LOSTJIZ,X,O,O,O,X,X,X
LOSTJZI,X,O,X,X,X,X,X
LOSTZIJ,O,O,X,X,X,X,X
LOSTZJI,O,O,X,X,X,X,X
LOSITJZ,X,O,X,O,X,X,X
LOSITZJ,O,O,X,X,X,X,X
LOSIJTZ,X,O,O,O,O,X,X
LOSIJZT,O,O,O,O,O,X,X
LOSIZTJ,O,O,X,X,X,O,X
LOSIZJT,O,O,X,O,X,O,X
LOSJTIZ,X,O,O,O,X,X,X
LOSJTZI,X,O,X,X,X,X,X
LOSJITZ,X,O,O,O,O,X,X
LOSJIZT,O,O,O,O,O,X,X
LOSJZTI,O,O,X,X,X,X,X
LOSJZIT,O,O,O,O,X,X,X
LOSZTIJ,O,O,X,X,X,O,X
LOSZTJI,O,O,X,X,X,X,X
LOSZITJ,O,O,X,X,X,O,X
LOSZIJT,O,O,X,O,X,O,X
LOSZJTI,O,O,X,X,X,X,X
LOSZJIT,O,O,O,O,X,O,X
LOZTIJS,O,X,X,X,X,X,O
LOZTISJ,O,X,X,X,X,O,X
LOZTJIS,O,X,X,X,X,X,O
LOZTJSI,O,X,X,X,X,X,X
LOZTSIJ,O,X,X,X,X,O,X
LOZTSJI,O,X,X,X,X,X,X
LOZITJS,O,X,X,X,X,X,O
LOZITSJ,O,X,X,X,X,O,X
LOZIJTS,O,X,X,X,O,X,O
LOZIJST,O,O,X,X,O,O,X
LOZISTJ,O,O,X,X,X,O,X
LOZISJT,O,O,X,X,X,O,X
LOZJTIS,O,X,X,X,X,X,O
LOZJTSI,O,X,X,X,X,X,X
LOZJITS,O,X,X,X,O,X,O
LOZJIST,O,O,X,X,O,O,X
LOZJSTI,O,O,X,X,X,X,X
LOZJSIT,O,O,X,X,X,O,X
LOZSTIJ,O,O,X,X,X,O,X
LOZSTJI,O,O,X,X,X,X,X
LOZSITJ,O,O,X,X,X,O,X
LOZSIJT,O,O,X,X,X,O,X
LOZSJTI,O,O,X,X,X,X,X
LOZSJIT,O,O,X,X,X,O,X
JTILSZO,X,X,O,O,X,X,X
JTILSOZ,X,X,O,O,O,X,X
JTILZSO,X,X,O,X,X,X,X
JTILZOS,X,X,O,X,O,X,X
JTILOSZ,X,X,O,O,O,X,X
JTILOZS,X,X,X,X,O,X,X
JTISLZO,O,O,O,O,X,X,X
JTISLOZ,O,O,O,O,O,X,X
JTISZLO,O,O,O,O,X,X,X
JTISZOL,O,O,O,O,X,X,X
JTISOLZ,O,O,O,O,O,X,X
JTISOZL,O,O,O,O,X,X,X
JTIZLSO,O,O,O,X,X,X,X
JTIZLOS,O,O,O,X,O,X,O
JTIZSLO,O,O,O,O,X,X,X
JTIZSOL,O,O,O,O,X,X,O
JTIZOLS,O,O,O,X,O,X,O
JTIZOSL,O,O,O,O,X,X,O
JTIOLSZ,X,X,O,O,O,X,X
JTIOLZS,X,X,X,X,O,X,X
JTIOSLZ,O,O,O,O,O,X,X
JTIOSZL,O,O,O,O,X,X,X
JTIOZLS,O,O,O,X,O,X,O
JTIOZSL,O,O,O,O,X,X,O
JTLISZO,X,X,O,O,X,X,X
JTLISOZ,X,X,O,O,O,X,X
JTLIZSO,X,X,O,X,X,X,X
JTLIZOS,X,X,O,X,O,X,X
JTLIOSZ,X,X,O,O,O,X,X
JTLIOZS,X,X,X,X,O,X,X
JTLSIZO,X,X,O,O,X,X,X
JTLSIOZ,X,X,O,O,O,X,X
JTLSZIO,X,X,O,O,X,X,X
JTLSZOI,X,X,O,O,X,X,X
JTLSOIZ,X,X,O,O,O,X,X
JTLSOZI,X,X,O,O,X,X,X
JTLZISO,X,X,O,X,X,X,X
JTLZIOS,X,X,O,X,O,X,X
JTLZSIO,X,X,O,X,X,X,X
JTLZSOI,X,X,O,X,X,X,X
JTLZOIS,X,X,O,X,O,X,X
JTLZOSI,X,X,O,X,X,X,X
JTLOISZ,X,X,O,O,O,X,X
JTLOIZS,X,X,X,X,O,X,X
JTLOSIZ,X,X,O,O,O,X,X
JTLOSZI,X,X,O,O,X,X,X
JTLOZIS,X,X,X,X,O,X,X
JTLOZSI,X,X,X,X,X,X,X
JTSILZO,O,O,O,O,X,X,X
JTSILOZ,O,O,O,O,O,X,X
JTSIZLO,O,O,O,O,X,X,X
JTSIZOL,O,O,O,O,X,X,X
JTSIOLZ,O,O,O,O,O,X,X
JTSIOZL,O,O,O,O,X,X,X
JTSLIZO,O,O,O,O,X,X,X
JTSLIOZ,O,O,O,O,O,X,X
JTSLZIO,O,O,O,O,X,X,X
JTSLZOI,O,O,O,O,X,X,X
JTSLOIZ,O,O,O,O,O,X,X
JTSLOZI,O,O,O,O,X,X,X
JTSZILO,O,O,O,O,X,X,X
JTSZIOL,O,O,O,O,X,X,X
JTSZLIO,O,O,O,O,X,X,X
JTSZLOI,O,O,O,O,X,X,X
JTSZOIL,O,O,O,O,X,X,X
JTSZOLI,O,O,O,O,X,X,X
JTSOILZ,O,O,O,O,O,X,X
JTSOIZL,O,O,O,O,X,X,X
JTSOLIZ,O,O,O,O,O,X,X
JTSOLZI,O,O,O,O,X,X,X
JTSOZIL,O,O,O,O,X,X,X
JTSOZLI,O,O,O,O,X,X,X
JTZILSO,O,O,O,X,X,X,X
JTZILOS,O,O,O,X,O,X,O
JTZISLO,O,O,O,O,X,X,X
JTZISOL,O,O,O,O,X,X,O
JTZIOLS,O,O,O,X,O,X,O
JTZIOSL,O,O,O,O,X,X,O
JTZLISO,O,O,O,X,X,X,X
JTZLIOS,O,O,O,X,O,X,O
JTZLSIO,O,O,O,X,X,X,X
JTZLSOI,O,O,O,X,X,X,X
JTZLOIS,O,O,O,X,O,X,O
JTZLOSI,O,O,O,X,X,X,X
JTZSILO,O,O,O,O,X,X,X
JTZSIOL,O,O,O,O,X,X,O
JTZSLIO,O,O,O,O,X,X,X
JTZSLOI,O,O,O,O,X,X,X
JTZSOIL,O,O,O,O,X,X,O
JTZSOLI,O,O,O,O,X,X,X
JTZOILS,O,O,O,X,O,X,O
JTZOISL,O,O,O,O,X,X,O
JTZOLIS,O,O,O,X,O,X,O
JTZOLSI,O,O,O,X,X,X,X
JTZOSIL,O,O,O,O,X,X,O
JTZOSLI,O,O,O,O,X,X,X
JTOILSZ,X,X,O,O,O,X,X
JTOILZS,X,X,X,X,O,X,X
JTOISLZ,O,O,O,O,O,X,X
JTOISZL,O,O,O,O,X,X,X
JTOIZLS,O,O,O,X,O,X,O
JTOIZSL,O,O,O,O,X,X,O
JTOLISZ,X,X,O,O,O,X,X
JTOLIZS,X,X,X,X,O,X,X
JTOLSIZ,X,X,O,O,O,X,X
JTOLSZI,X,X,O,O,X,X,X
JTOLZIS,X,X,X,X,O,X,X
JTOLZSI,X,X,X,X,X,X,X
JTOSILZ,O,O,O,O,O,X,X
JTOSIZL,O,O,O,O,X,X,X
JTOSLIZ,O,O,O,O,O,X,X
JTOSLZI,O,O,O,O,X,X,X
JTOSZIL,O,O,O,O,X,X,X
JTOSZLI,O,O,O,O,X,X,X
JTOZILS,O,O,O,X,O,X,O
JTOZISL,O,O,O,O,X,X,O
JTOZLIS,O,O,O,X,O,X,O
JTOZLSI,O,O,O,X,X,X,X
JTOZSIL,O,O,O,O,X,X,O
JTOZSLI,O,O,O,O,X,X,X
JITLSZO,X,X,O,O,X,X,X
JITLSOZ,X,X,O,O,O,X,X
JITLZSO,X,X,O,X,X,X,X
JITLZOS,X,X,O,X,O,X,X
JITLOSZ,X,X,O,O,O,X,X
JITLOZS,X,X,X,X,O,X,X
JITSLZO,O,O,O,O,X,X,X
JITSLOZ,O,O,O,O,O,X,X
JITSZLO,O,O,O,O,X,X,X
JITSZOL,O,O,O,O,X,X,X
JITSOLZ,O,O,O,O,O,X,X
JITSOZL,O,O,O,O,X,X,X
JITZLSO,O,O,O,X,X,X,X
JITZLOS,O,O,O,X,O,X,O
JITZSLO,O,O,O,O,X,X,X
JITZSOL,O,O,O,O,X,X,O
JITZOLS,O,O,O,X,O,X,O
JITZOSL,O,O,O,O,X,X,O
JITOLSZ,X,X,O,O,O,X,X
JITOLZS,X,X,X,X,O,X,X
JITOSLZ,O,O,O,O,O,X,X
JITOSZL,O,O,O,O,X,X,X
JITOZLS,O,O,O,X,O,X,O
JITOZSL,O,O,O,O,X,X,O
JILTSZO,X,X,O,O,X,X,X
JILTSOZ,X,X,O,O,O,X,X
JILTZSO,X,X,O,X,X,X,X
JILTZOS,X,X,O,X,O,X,X
JILTOSZ,X,X,O,O,O,X,X
JILTOZS,X,X,X,X,O,X,X
JILSTZO,X,X,O,X,X,X,X
JILSTOZ,X,X,O,O,X,X,X
JILSZTO,X,X,O,X,X,O,X
JILSZOT,X,X,O,O,X,O,X
JILSOTZ,X,X,O,O,O,X,X
JILSOZT,X,X,O,O,O,X,X
JILZTSO,X,X,O,X,X,X,X
JILZTOS,X,X,O,X,X,X,O
JILZSTO,X,X,O,X,X,O,X
JILZSOT,X,X,O,X,X,O,X
JILZOTS,X,X,O,X,O,X,O
JILZOST,X,X,O,X,O,O,X
JILOTSZ,X,X,O,O,O,X,X
JILOTZS,X,X,X,X,O,X,X
JILOSTZ,X,X,O,O,O,X,X
JILOSZT,X,X,O,O,O,X,X
JILOZTS,X,X,X,X,O,X,O
JILOZST,X,X,X,X,O,X,X
JISTLZO,X,O,O,O,X,X,X
JISTLOZ,X,O,O,O,O,X,X
JISTZLO,X,O,O,O,X,X,X
JISTZOL,X,O,O,O,X,X,X
JISTOLZ,X,O,O,O,O,X,X
JISTOZL,X,O,O,O,X,X,X
JISLTZO,X,O,O,X,X,X,X
JISLTOZ,X,O,O,O,X,X,X
JISLZTO,O,O,O,X,X,O,X
JISLZOT,O,O,O,O,X,O,X
JISLOTZ,X,O,O,O,O,X,X
JISLOZT,O,O,O,O,O,X,X
JISZTLO,O,O,O,X,X,O,X
JISZTOL,O,O,O,X,X,O,O
JISZLTO,O,O,O,X,X,O,X
JISZLOT,O,O,O,O,X,O,X
JISZOTL,O,O,O,X,X,O,O
JISZOLT,O,O,O,O,X,O,X
JISOTLZ,X,O,O,O,O,X,X
JISOTZL,X,O,O,O,X,X,X
JISOLTZ,X,O,O,O,O,X,X
JISOLZT,O,O,O,O,O,X,X
JISOZTL,O,O,O,X,X,X,O
JISOZLT,O,O,O,O,X,X,X
JIZTLSO,O,X,O,X,X,X,X
JIZTLOS,O,X,O,X,O,X,O
JIZTSLO,O,O,O,O,X,X,X
JIZTSOL,O,O,O,O,X,X,O
JIZTOLS,O,X,O,X,O,X,O
JIZTOSL,O,O,O,O,X,X,O
JIZLTSO,O,X,O,X,X,X,X
JIZLTOS,O,X,O,X,X,X,O
JIZLSTO,O,O,O,X,X,O,X
JIZLSOT,O,O,O,X,X,O,X
JIZLOTS,O,X,O,X,O,X,O
JIZLOST,O,O,O,X,O,O,X
JIZSTLO,O,O,O,X,X,O,X
JIZSTOL,O,O,O,X,X,O,O
JIZSLTO,O,O,O,X,X,O,X
JIZSLOT,O,O,O,O,X,O,X
JIZSOTL,O,O,O,X,X,O,O
JIZSOLT,O,O,O,O,X,O,X
JIZOTLS,O,X,O,X,O,X,O
JIZOTSL,O,O,O,O,X,X,O
JIZOLTS,O,X,O,X,O,X,O
JIZOLST,O,O,O,X,O,O,X
JIZOSTL,O,O,O,X,X,O,O
JIZOSLT,O,O,O,O,X,O,X
JIOTLSZ,X,X,O,O,O,X,X
JIOTLZS,X,X,X,X,O,X,X
JIOTSLZ,O,O,O,O,O,X,X
JIOTSZL,O,O,O,O,X,X,X
JIOTZLS,O,O,O,X,O,X,O
JIOTZSL,O,O,O,O,X,X,O
JIOLTSZ,X,X,O,O,O,X,X
JIOLTZS,X,X,X,X,O,X,X
JIOLSTZ,X,X,O,O,O,X,X
JIOLSZT,X,X,O,O,O,X,X
JIOLZTS,X,X,X,X,O,X,O
JIOLZST,X,X,X,X,O,X,X
JIOSTLZ,X,O,O,O,O,X,X
JIOSTZL,X,O,O,O,X,X,X
JIOSLTZ,X,O,O,O,O,X,X
JIOSLZT,O,O,O,O,O,X,X
JIOSZTL,O,O,O,X,X,X,O
JIOSZLT,O,O,O,O,X,X,X
JIOZTLS,O,X,O,X,O,X,O
JIOZTSL,O,O,O,O,X,X,O
JIOZLTS,O,X,O,X,O,X,O
JIOZLST,O,O,O,X,O,X,X
JIOZSTL,O,O,O,X,X,X,O
JIOZSLT,O,O,O,O,X,X,X
JLTISZO,X,X,O,O,X,X,X
JLTISOZ,X,X,O,O,O,X,X
JLTIZSO,X,X,O,X,X,X,X
JLTIZOS,X,X,O,X,O,X,X
JLTIOSZ,X,X,O,O,O,X,X
JLTIOZS,X,X,X,X,O,X,X
JLTSIZO,X,X,O,O,X,X,X
JLTSIOZ,X,X,O,O,O,X,X
JLTSZIO,X,X,O,O,X,X,X
JLTSZOI,X,X,O,O,X,X,X
JLTSOIZ,X,X,O,O,O,X,X
JLTSOZI,X,X,O,O,X,X,X
JLTZISO,X,X,O,X,X,X,X
JLTZIOS,X,X,O,X,O,X,X
JLTZSIO,X,X,O,X,X,X,X
JLTZSOI,X,X,O,X,X,X,X
JLTZOIS,X,X,O,X,O,X,X
JLTZOSI,X,X,O,X,X,X,X
JLTOISZ,X,X,O,O,O,X,X
JLTOIZS,X,X,X,X,O,X,X
JLTOSIZ,X,X,O,O,O,X,X
JLTOSZI,X,X,O,O,X,X,X
JLTOZIS,X,X,X,X,O,X,X
JLTOZSI,X,X,X,X,X,X,X
JLITSZO,X,X,O,O,X,X,X
