sequence,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcB6jBcmBm?iBXnBFtB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcB3dBimBG?oBRsBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhF6hBxdB/nBF?jB2rBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcBWjBymBX?jBctBxwB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFViBajB5jB0?hB2rBftB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcBcmBXnBO?tB6tBlsB
JZLOITS,X,O,X,O,X,X
JZLOIST,X,O,O,O,X,X
JZLOSTI,X,X,O,X,X,O
JZLOSIT,X,X,O,X,X,O
JZSTILO,O,X,O,X,O,O
JZSTIOL,O,X,O,X,O,O
JZSTLIO,O,X,O,X,O,O
JZSTLOI,O,X,O,X,O,O
JZSTOIL,O,X,O,X,O,O
JZSTOLI,O,X,O,X,O,O
JZSITLO,O,X,O,X,O,O
JZSITOL,O,X,O,X,O,O
JZSILTO,O,X,O,O,O,O
JZSILOT,O,X,O,O,O,O
JZSIOTL,O,X,O,X,O,O
JZSIOLT,O,X,O,O,O,O
JZSLTIO,O,X,O,X,O,O
JZSLTOI,O,X,O,X,O,O
JZSLITO,O,X,O,X,O,O
JZSLIOT,O,X,O,X,O,O
JZSLOTI,O,X,O,X,O,O
JZSLOIT,O,X,O,X,O,O
JZSOTIL,O,X,O,X,O,O
JZSOTLI,O,X,O,X,O,O
JZSOITL,O,X,O,X,O,O
JZSOILT,O,X,O,O,O,O
JZSOLTI,O,X,O,X,O,O
JZSOLIT,O,X,O,X,O,O
JZOTILS,O,X,X,O,X,X
JZOTISL,O,X,O,X,X,X
JZOTLIS,O,X,X,X,X,X
JZOTLSI,O,X,O,X,X,X
JZOTSIL,O,X,O,X,X,O
JZOTSLI,O,X,O,X,X,O
JZOITLS,O,X,X,O,X,X
JZOITSL,O,X,X,X,X,X
JZOILTS,X,X,X,O,X,X
JZOILST,X,X,O,O,X,X
JZOISTL,O,X,O,X,O,O
JZOISLT,O,X,O,O,O,O
JZOLTIS,X,O,X,X,X,X
JZOLTSI,X,X,O,X,X,X
JZOLITS,X,O,X,O,X,X
JZOLIST,X,O,O,O,X,X
JZOLSTI,X,X,O,X,X,O
JZOLSIT,X,X,O,X,X,O
JZOSTIL,O,X,O,X,O,O
JZOSTLI,O,X,O,X,O,O
JZOSITL,O,X,O,X,O,O
JZOSILT,O,X,O,O,O,O
JZOSLTI,O,X,O,X,O,O
JZOSLIT,O,X,O,X,O,O
JOTILSZ,X,O,X,X,X,X
JOTILZS,O,O,X,O,X,X
JOTISLZ,X,X,X,X,O,X
JOTISZL,X,X,X,X,O,X
JOTIZLS,O,X,X,O,X,X
JOTIZSL,O,X,X,X,X,X
JOTLISZ,X,O,X,X,X,X
JOTLIZS,O,O,X,X,X,X
JOTLSIZ,O,O,O,X,X,X
JOTLSZI,O,X,O,X,X,X
JOTLZIS,O,O,X,X,X,X
JOTLZSI,O,X,O,X,X,X
JOTSILZ,O,X,O,X,O,X
JOTSIZL,O,X,X,X,O,X
JOTSLIZ,O,X,O,X,O,X
JOTSLZI,O,X,O,X,O,X
JOTSZIL,O,X,O,X,O,O
JOTSZLI,O,X,O,X,O,O
JOTZILS,O,X,X,O,X,X
JOTZISL,O,X,X,X,X,X
JOTZLIS,O,X,X,X,X,X
JOTZLSI,O,X,O,X,X,X
JOTZSIL,O,X,O,X,X,O
JOTZSLI,O,X,O,X,X,O
JOITLSZ,X,O,X,X,X,X
JOITLZS,O,O,X,O,X,X
JOITSLZ,X,X,X,X,O,X
JOITSZL,X,X,X,X,O,X
JOITZLS,O,X,X,O,X,X
JOITZSL,O,X,X,X,X,X
JOILTSZ,X,O,X,X,X,X
JOILTZS,X,O,X,O,X,X
JOILSTZ,X,O,O,X,O,X
JOILSZT,X,O,O,X,O,X
JOILZTS,X,O,X,O,X,X
JOILZST,X,O,O,O,X,X
JOISTLZ,X,X,O,X,O,X
JOISTZL,X,X,X,X,O,X
JOISLTZ,X,X,O,X,O,X
JOISLZT,X,X,O,X,O,X
JOISZTL,X,X,O,X,O,O
JOISZLT,X,X,O,X,O,O
JOIZTLS,O,X,X,O,X,X
JOIZTSL,O,X,X,X,X,X
JOIZLTS,X,X,X,O,X,X
JOIZLST,X,X,O,O,X,X
JOIZSTL,O,X,O,X,O,O
JOIZSLT,O,X,O,O,O,O
JOLTISZ,X,O,X,X,X,X
JOLTIZS,X,O,X,X,X,X
JOLTSIZ,X,O,O,X,X,X
JOLTSZI,X,X,O,X,X,X
JOLTZIS,X,O,X,X,X,X
JOLTZSI,X,X,O,X,X,X
JOLITSZ,X,O,X,X,X,X
JOLITZS,X,O,X,X,X,X
JOLISTZ,X,O,O,X,O,X
JOLISZT,X,O,O,X,O,X
JOLIZTS,X,O,X,X,X,X
JOLIZST,X,O,O,X,X,X
JOLSTIZ,X,O,O,X,O,X
JOLSTZI,X,X,O,X,O,X
JOLSITZ,X,O,O,X,O,X
JOLSIZT,X,O,O,X,O,X
JOLSZTI,X,X,O,X,O,O
JOLSZIT,X,X,O,X,O,O
JOLZTIS,X,O,X,X,X,X
JOLZTSI,X,X,O,X,X,X
JOLZITS,X,O,X,X,X,X
JOLZIST,X,O,O,X,X,X
JOLZSTI,X,X,O,X,X,O
JOLZSIT,X,X,O,X,X,O
JOSTILZ,O,X,O,X,O,X
JOSTIZL,O,X,X,X,O,X
JOSTLIZ,O,X,O,X,O,X
JOSTLZI,O,X,O,X,O,X
JOSTZIL,O,X,O,X,O,O
JOSTZLI,O,X,O,X,O,O
JOSITLZ,X,X,O,X,O,X
JOSITZL,X,X,X,X,O,X
JOSILTZ,X,X,O,X,O,X
JOSILZT,O,X,O,X,O,X
JOSIZTL,O,X,O,X,O,O
JOSIZLT,O,X,O,X,O,O
JOSLTIZ,X,O,O,X,O,X
JOSLTZI,O,X,O,X,O,X
JOSLITZ,X,O,O,X,O,X
JOSLIZT,O,O,O,X,O,X
JOSLZTI,O,X,O,X,O,O
JOSLZIT,O,X,O,X,O,O
JOSZTIL,O,X,O,X,O,O
JOSZTLI,O,X,O,X,O,O
JOSZITL,O,X,O,X,O,O
JOSZILT,O,X,O,X,O,O
JOSZLTI,O,X,O,X,O,O
JOSZLIT,O,X,O,X,O,O
JOZTILS,O,X,X,O,X,X
JOZTISL,O,X,O,X,X,X
JOZTLIS,O,X,X,X,X,X
JOZTLSI,O,X,O,X,X,X
JOZTSIL,O,X,O,X,X,O
JOZTSLI,O,X,O,X,X,O
JOZITLS,O,X,X,O,X,X
JOZITSL,O,X,X,X,X,X
JOZILTS,X,X,X,O,X,X
JOZILST,X,X,O,O,X,X
JOZISTL,O,X,O,X,O,O
JOZISLT,O,X,O,O,O,O
JOZLTIS,X,O,X,X,X,X
JOZLTSI,X,X,O,X,X,X
JOZLITS,X,O,X,O,X,X
JOZLIST,X,O,O,O,X,X
JOZLSTI,X,X,O,X,X,O
JOZLSIT,X,X,O,X,X,O
JOZSTIL,O,X,O,X,O,O
JOZSTLI,O,X,O,X,O,O
JOZSITL,O,X,O,X,O,O
JOZSILT,O,X,O,O,O,O
JOZSLTI,O,X,O,X,O,O
JOZSLIT,O,X,O,X,O,O
STILJZO,O,O,X,X,O,X
STILJOZ,O,O,X,X,O,X
STILZJO,O,X,X,O,X,X
STILZOJ,O,X,X,O,O,X
STILOJZ,O,O,X,X,O,X
STILOZJ,O,X,O,O,O,X
STIJLZO,O,X,X,X,O,X
STIJLOZ,O,X,X,X,O,X
STIJZLO,O,X,X,X,O,X
STIJZOL,O,X,X,X,O,X
STIJOLZ,O,X,X,X,O,X
STIJOZL,O,X,X,X,O,X
STIZLJO,O,X,X,O,X,X
STIZLOJ,O,X,X,O,O,X
STIZJLO,O,X,X,X,X,X
STIZJOL,O,X,X,X,X,X
STIZOLJ,O,X,X,O,O,X
STIZOJL,O,X,X,X,X,X
STIOLJZ,O,O,X,X,O,X
STIOLZJ,O,X,O,O,O,X
STIOJLZ,O,X,X,X,O,X
STIOJZL,O,X,X,X,O,X
STIOZLJ,O,X,X,O,O,X
STIOZJL,O,X,X,X,X,X
STLIJZO,O,O,X,X,O,X
STLIJOZ,O,O,X,X,O,X
STLIZJO,O,X,X,X,X,X
STLIZOJ,O,X,X,X,O,X
STLIOJZ,O,O,X,X,O,X
STLIOZJ,O,X,O,X,O,X
STLJIZO,O,O,X,X,O,X
STLJIOZ,O,O,X,X,O,X
STLJZIO,O,X,X,X,O,X
STLJZOI,O,X,X,X,O,X
STLJOIZ,O,O,X,X,O,X
STLJOZI,O,X,X,X,O,X
STLZIJO,O,X,O,X,X,X
STLZIOJ,O,X,O,X,O,X
STLZJIO,O,X,O,X,X,X
STLZJOI,O,X,O,X,X,X
STLZOIJ,O,X,O,X,O,X
STLZOJI,O,X,O,X,X,X
STLOIJZ,O,O,X,X,O,X
STLOIZJ,O,X,O,X,O,X
STLOJIZ,O,O,X,X,O,X
STLOJZI,O,X,X,X,O,X
STLOZIJ,O,X,O,X,O,X
STLOZJI,O,X,O,X,X,X
STJILZO,O,X,X,X,O,X
STJILOZ,O,X,X,X,O,X
STJIZLO,O,X,X,X,O,X
STJIZOL,O,X,X,X,O,X
STJIOLZ,O,X,X,X,O,X
STJIOZL,O,X,X,X,O,X
STJLIZO,O,X,X,X,O,X
STJLIOZ,O,X,X,X,O,X
STJLZIO,O,X,X,X,O,X
STJLZOI,O,X,X,X,O,X
STJLOIZ,O,X,X,X,O,X
STJLOZI,O,X,X,X,O,X
STJZILO,O,X,X,X,O,O
STJZIOL,O,X,X,X,O,O
STJZLIO,O,X,X,X,O,O
STJZLOI,O,X,X,X,O,O
STJZOIL,O,X,X,X,O,O
STJZOLI,O,X,X,X,O,O
STJOILZ,O,X,X,X,O,X
STJOIZL,O,X,X,X,O,X
STJOLIZ,O,X,X,X,O,X
STJOLZI,O,X,X,X,O,X
STJOZIL,O,X,X,X,O,O
STJOZLI,O,X,X,X,O,O
STZILJO,O,X,O,O,X,X
STZILOJ,O,X,O,O,O,X
STZIJLO,O,X,O,X,X,O
STZIJOL,O,X,O,X,X,O
STZIOLJ,O,X,O,O,O,X
STZIOJL,O,X,O,X,X,O
STZLIJO,O,X,O,X,X,X
STZLIOJ,O,X,O,X,O,X
STZLJIO,O,X,O,X,X,X
STZLJOI,O,X,O,X,X,X
STZLOIJ,O,X,O,X,O,X
STZLOJI,O,X,O,X,X,X
STZJILO,O,X,O,X,X,O
STZJIOL,O,X,O,X,X,O
STZJLIO,O,X,O,X,X,O
STZJLOI,O,X,O,X,X,O
STZJOIL,O,X,O,X,X,O
STZJOLI,O,X,O,X,X,O
STZOILJ,O,X,O,O,O,X
STZOIJL,O,X,O,X,X,O
STZOLIJ,O,X,O,X,O,X
STZOLJI,O,X,O,X,X,X
STZOJIL,O,X,O,X,X,O
STZOJLI,O,X,O,X,X,O
STOILJZ,O,O,X,X,O,X
STOILZJ,O,X,O,O,O,X
STOIJLZ,O,X,X,X,O,X
STOIJZL,O,X,X,X,O,X
STOIZLJ,O,X,X,O,O,X
STOIZJL,O,X,X,X,X,X
STOLIJZ,O,O,X,X,O,X
STOLIZJ,O,X,O,X,O,X
STOLJIZ,O,O,X,X,O,X
STOLJZI,O,X,X,X,O,X
STOLZIJ,O,X,O,X,O,X
STOLZJI,O,X,O,X,X,X
STOJILZ,O,X,X,X,O,X
STOJIZL,O,X,X,X,O,X
STOJLIZ,O,X,X,X,O,X
STOJLZI,O,X,X,X,O,X
STOJZIL,O,X,X,X,O,O
STOJZLI,O,X,X,X,O,O
STOZILJ,O,X,O,O,O,X
STOZIJL,O,X,O,X,X,O
STOZLIJ,O,X,O,X,O,X
STOZLJI,O,X,O,X,X,X
STOZJIL,O,X,O,X,X,O
STOZJLI,O,X,O,X,X,O
SITLJZO,O,O,X,X,O,X
SITLJOZ,O,O,X,X,O,X
SITLZJO,O,X,X,O,X,X
SITLZOJ,O,X,X,O,O,X
SITLOJZ,O,O,X,X,O,X
SITLOZJ,O,X,O,O,O,X
SITJLZO,O,X,X,X,O,X
SITJLOZ,O,X,X,X,O,X
SITJZLO,O,X,X,X,O,X
SITJZOL,O,X,X,X,O,X
SITJOLZ,O,X,X,X,O,X
SITJOZL,O,X,X,X,O,X
SITZLJO,O,X,X,O,X,X
SITZLOJ,O,X,X,O,O,X
SITZJLO,O,X,X,X,X,X
SITZJOL,O,X,X,X,X,X
SITZOLJ,O,X,X,O,O,X
SITZOJL,O,X,X,X,X,X
SITOLJZ,O,O,X,X,O,X
SITOLZJ,O,X,O,O,O,X
SITOJLZ,O,X,X,X,O,X
SITOJZL,O,X,X,X,O,X
SITOZLJ,O,X,X,O,O,X
SITOZJL,O,X,X,X,X,X
SILTJZO,X,O,X,X,O,X
SILTJOZ,X,O,X,X,O,X
SILTZJO,X,X,X,O,X,X
SILTZOJ,X,X,X,O,O,X
SILTOJZ,X,O,X,X,O,X
SILTOZJ,X,X,O,O,O,X
SILJTZO,X,O,X,X,O,X
SILJTOZ,X,O,X,X,O,X
SILJZTO,X,O,X,X,O,X
SILJZOT,X,O,X,X,O,X
SILJOTZ,X,O,X,X,O,X
SILJOZT,X,O,O,X,O,X
SILZTJO,X,X,O,O,X,X
SILZTOJ,X,X,O,O,O,X
SILZJTO,X,X,X,O,O,X
SILZJOT,X,X,O,O,O,X
SILZOTJ,X,X,O,O,O,X
SILZOJT,X,X,O,O,O,X
SILOTJZ,X,O,X,X,O,X
SILOTZJ,X,X,O,O,O,X
SILOJTZ,X,O,X,X,O,X
SILOJZT,X,O,O,X,O,X
SILOZTJ,X,X,O,O,O,X
SILOZJT,X,X,O,O,O,X
SIJTLZO,X,X,X,X,O,X
SIJTLOZ,X,X,X,X,O,X
SIJTZLO,X,X,X,X,O,X
SIJTZOL,X,X,X,X,O,X
SIJTOLZ,X,X,X,X,O,X
SIJTOZL,X,X,X,X,O,X
SIJLTZO,X,X,X,X,O,X
SIJLTOZ,X,X,X,X,O,X
SIJLZTO,O,X,X,X,O,X
SIJLZOT,O,X,X,X,O,X
SIJLOTZ,X,X,X,X,O,X
SIJLOZT,O,X,O,X,O,X
SIJZTLO,O,X,X,X,O,O
SIJZTOL,O,X,X,X,O,O
SIJZLTO,O,X,X,X,O,O
SIJZLOT,O,X,X,X,O,O
SIJZOTL,O,X,X,X,O,O
SIJZOLT,O,X,X,X,O,O
SIJOTLZ,X,X,X,X,O,X
SIJOTZL,X,X,X,X,O,X
SIJOLTZ,X,X,X,X,O,X
SIJOLZT,O,X,O,X,O,X
SIJOZTL,O,X,X,X,O,O
SIJOZLT,O,X,X,X,O,O
SIZTLJO,O,X,O,O,X,X
SIZTLOJ,O,X,O,O,O,X
SIZTJLO,O,X,O,X,X,O
SIZTJOL,O,X,O,X,X,O
SIZTOLJ,O,X,O,O,O,X
SIZTOJL,O,X,O,X,X,O
SIZLTJO,O,X,O,O,X,X
SIZLTOJ,O,X,O,O,O,X
SIZLJTO,O,X,X,O,O,O
SIZLJOT,O,X,O,O,O,O
SIZLOTJ,O,X,O,O,O,X
SIZLOJT,O,X,O,O,O,O
SIZJTLO,O,X,X,X,O,O
SIZJTOL,O,X,X,X,O,O
SIZJLTO,O,X,X,O,O,O
SIZJLOT,O,X,O,O,O,O
SIZJOTL,O,X,X,X,O,O
SIZJOLT,O,X,O,O,O,O
SIZOTLJ,O,X,O,O,O,X
SIZOTJL,O,X,O,X,X,O
SIZOLTJ,O,X,O,O,O,X
SIZOLJT,O,X,O,O,O,O
SIZOJTL,O,X,X,X,O,O
SIZOJLT,O,X,O,O,O,O
SIOTLJZ,O,O,X,X,O,X
SIOTLZJ,O,X,O,O,O,X
SIOTJLZ,O,X,X,X,O,X
SIOTJZL,O,X,X,X,O,X
SIOTZLJ,O,X,X,O,O,X
SIOTZJL,O,X,X,X,X,X
SIOLTJZ,X,O,X,X,O,X
SIOLTZJ,X,X,O,O,O,X
SIOLJTZ,X,O,X,X,O,X
SIOLJZT,X,O,O,X,O,X
SIOLZTJ,X,X,O,O,O,X
SIOLZJT,X,X,O,O,O,X
SIOJTLZ,X,X,X,X,O,X
SIOJTZL,X,X,X,X,O,X
SIOJLTZ,X,X,X,X,O,X
SIOJLZT,O,X,O,X,O,X
SIOJZTL,O,X,X,X,O,O
SIOJZLT,O,X,X,X,O,O
SIOZTLJ,O,X,O,O,O,X
SIOZTJL,O,X,O,X,X,O
SIOZLTJ,O,X,O,O,O,X
SIOZLJT,O,X,O,O,O,O
SIOZJTL,O,X,X,X,O,O
SIOZJLT,O,X,O,O,O,O
SLTIJZO,O,O,X,X,O,X
SLTIJOZ,O,O,X,X,O,X
SLTIZJO,O,X,X,X,X,X
SLTIZOJ,O,X,X,X,O,X
SLTIOJZ,O,O,X,X,O,X
SLTIOZJ,O,X,O,X,O,X
SLTJIZO,O,O,X,X,O,X
SLTJIOZ,O,O,X,X,O,X
SLTJZIO,O,X,X,X,O,X
SLTJZOI,O,X,X,X,O,X
SLTJOIZ,O,O,X,X,O,X
SLTJOZI,O,X,X,X,O,X
SLTZIJO,O,X,O,X,X,X
SLTZIOJ,O,X,O,X,O,X
SLTZJIO,O,X,O,X,X,X
SLTZJOI,O,X,O,X,X,X
SLTZOIJ,O,X,O,X,O,X
SLTZOJI,O,X,O,X,X,X
SLTOIJZ,O,O,X,X,O,X
SLTOIZJ,O,X,O,X,O,X
SLTOJIZ,O,O,X,X,O,X
SLTOJZI,O,X,X,X,O,X
SLTOZIJ,O,X,O,X,O,X
SLTOZJI,O,X,O,X,X,X
SLITJZO,X,O,X,X,O,X
SLITJOZ,X,O,X,X,O,X
SLITZJO,X,X,X,X,X,X
SLITZOJ,X,X,X,X,O,X
SLITOJZ,X,O,X,X,O,X
SLITOZJ,X,X,O,X,O,X
SLIJTZO,X,O,X,X,O,X
SLIJTOZ,X,O,X,X,O,X
SLIJZTO,X,O,X,X,O,X
SLIJZOT,X,O,X,X,O,X
SLIJOTZ,X,O,X,X,O,X
SLIJOZT,X,O,O,X,O,X
SLIZTJO,X,X,O,X,X,X
SLIZTOJ,X,X,O,X,O,X
SLIZJTO,X,X,X,X,O,X
SLIZJOT,X,X,O,X,O,X
SLIZOTJ,X,X,O,X,O,X
SLIZOJT,X,X,O,X,O,X
SLIOTJZ,X,O,X,X,O,X
SLIOTZJ,X,X,O,X,O,X
SLIOJTZ,X,O,X,X,O,X
SLIOJZT,X,O,O,X,O,X
SLIOZTJ,X,X,O,X,O,X
SLIOZJT,X,X,O,X,O,X
SLJTIZO,X,O,X,X,O,X
SLJTIOZ,X,O,O,X,O,X
SLJTZIO,O,X,O,X,O,X
SLJTZOI,O,X,O,X,O,X
SLJTOIZ,X,O,O,X,O,X
SLJTOZI,O,X,O,X,O,X
SLJITZO,X,O,X,X,O,X
SLJITOZ,X,O,O,X,O,X
SLJIZTO,O,O,O,X,O,X
SLJIZOT,O,O,O,X,O,X
SLJIOTZ,X,O,O,X,O,X
SLJIOZT,O,O,O,X,O,X
SLJZTIO,O,X,O,X,O,O
SLJZTOI,O,X,O,X,O,O
SLJZITO,O,X,O,X,O,O
SLJZIOT,O,X,O,X,O,O
SLJZOTI,O,X,O,X,O,O
SLJZOIT,O,X,O,X,O,O
SLJOTIZ,X,O,O,X,O,X
SLJOTZI,O,X,O,X,O,X
SLJOITZ,X,O,O,X,O,X
SLJOIZT,O,O,O,X,O,X
SLJOZTI,O,X,O,X,O,O
SLJOZIT,O,X,O,X,O,O
SLZTIJO,O,X,O,X,X,X
SLZTIOJ,O,X,O,X,O,X
SLZTJIO,O,X,O,X,X,X
SLZTJOI,O,X,O,X,X,X
SLZTOIJ,O,X,O,X,O,X
SLZTOJI,O,X,O,X,X,X
SLZITJO,O,X,O,X,X,X
SLZITOJ,O,X,O,X,O,X
SLZIJTO,O,X,X,X,O,O
SLZIJOT,O,X,O,X,O,O
SLZIOTJ,O,X,O,X,O,X
SLZIOJT,O,X,O,X,O,O
SLZJTIO,O,X,O,X,O,O
SLZJTOI,O,X,O,X,O,O
SLZJITO,O,X,O,X,O,O
SLZJIOT,O,X,O,X,O,O
SLZJOTI,O,X,O,X,O,O
SLZJOIT,O,X,O,X,O,O
SLZOTIJ,O,X,O,X,O,X
SLZOTJI,O,X,O,X,X,X
SLZOITJ,O,X,O,X,O,X
SLZOIJT,O,X,O,X,O,O
SLZOJTI,O,X,O,X,O,O
SLZOJIT,O,X,O,X,O,O
SLOTIJZ,O,O,X,X,O,X
SLOTIZJ,O,X,O,X,O,X
SLOTJIZ,O,O,X,X,O,X
SLOTJZI,O,X,X,X,O,X
SLOTZIJ,O,X,O,X,O,X
SLOTZJI,O,X,O,X,X,X
SLOITJZ,X,O,X,X,O,X
SLOITZJ,X,X,O,X,O,X
SLOIJTZ,X,O,X,X,O,X
SLOIJZT,X,O,O,X,O,X
SLOIZTJ,X,X,O,X,O,X
SLOIZJT,X,X,O,X,O,X
SLOJTIZ,X,O,O,X,O,X
SLOJTZI,O,X,O,X,O,X
SLOJITZ,X,O,O,X,O,X
SLOJIZT,O,O,O,X,O,X
SLOJZTI,O,X,O,X,O,O
SLOJZIT,O,X,O,X,O,O
SLOZTIJ,O,X,O,X,O,X
SLOZTJI,O,X,O,X,X,X
SLOZITJ,O,X,O,X,O,X
SLOZIJT,O,X,O,X,O,O
SLOZJTI,O,X,O,X,O,O
SLOZJIT,O,X,O,X,O,O
SJTILZO,O,X,X,X,O,X
SJTILOZ,O,X,O,X,O,X
SJTIZLO,O,X,X,X,O,X
SJTIZOL,O,X,X,X,O,X
SJTIOLZ,O,X,O,X,O,X
SJTIOZL,O,X,X,X,O,X
SJTLIZO,O,X,X,X,O,X
SJTLIOZ,O,X,O,X,O,X
SJTLZIO,O,X,O,X,O,X
SJTLZOI,O,X,O,X,O,X
SJTLOIZ,O,X,O,X,O,X
SJTLOZI,O,X,O,X,O,X
SJTZILO,O,X,O,X,O,O
SJTZIOL,O,X,O,X,O,O
SJTZLIO,O,X,O,X,O,O
SJTZLOI,O,X,O,X,O,O
SJTZOIL,O,X,O,X,O,O
SJTZOLI,O,X,O,X,O,O
SJTOILZ,O,X,O,X,O,X
SJTOIZL,O,X,X,X,O,X
SJTOLIZ,O,X,O,X,O,X
SJTOLZI,O,X,O,X,O,X
SJTOZIL,O,X,O,X,O,O
SJTOZLI,O,X,O,X,O,O
SJITLZO,X,X,X,X,O,X
SJITLOZ,X,X,O,X,O,X
SJITZLO,X,X,X,X,O,X
SJITZOL,X,X,X,X,O,X
SJITOLZ,X,X,O,X,O,X
SJITOZL,X,X,X,X,O,X
SJILTZO,X,X,X,X,O,X
SJILTOZ,X,X,O,X,O,X
SJILZTO,O,X,O,X,O,X
SJILZOT,O,X,O,X,O,X
SJILOTZ,X,X,O,X,O,X
SJILOZT,O,X,O,X,O,X
SJIZTLO,O,X,O,X,O,O
SJIZTOL,O,X,O,X,O,O
SJIZLTO,O,X,O,X,O,O
SJIZLOT,O,X,O,X,O,O
SJIZOTL,O,X,O,X,O,O
SJIZOLT,O,X,O,X,O,O
SJIOTLZ,X,X,O,X,O,X
SJIOTZL,X,X,X,X,O,X
SJIOLTZ,X,X,O,X,O,X
SJIOLZT,O,X,O,X,O,X
SJIOZTL,O,X,O,X,O,O
SJIOZLT,O,X,O,X,O,O
SJLTIZO,X,O,X,X,O,X
SJLTIOZ,X,O,O,X,O,X
SJLTZIO,O,X,O,X,O,X
SJLTZOI,O,X,O,X,O,X
SJLTOIZ,X,O,O,X,O,X
SJLTOZI,O,X,O,X,O,X
SJLITZO,X,O,X,X,O,X
SJLITOZ,X,O,O,X,O,X
SJLIZTO,O,O,O,X,O,X
SJLIZOT,O,O,O,X,O,X
SJLIOTZ,X,O,O,X,O,X
SJLIOZT,O,O,O,X,O,X
SJLZTIO,O,X,O,X,O,O
SJLZTOI,O,X,O,X,O,O
SJLZITO,O,X,O,X,O,O
SJLZIOT,O,X,O,X,O,O
SJLZOTI,O,X,O,X,O,O
SJLZOIT,O,X,O,X,O,O
SJLOTIZ,X,O,O,X,O,X
SJLOTZI,O,X,O,X,O,X
SJLOITZ,X,O,O,X,O,X
SJLOIZT,O,O,O,X,O,X
SJLOZTI,O,X,O,X,O,O
SJLOZIT,O,X,O,X,O,O
SJZTILO,O,X,O,X,O,O
SJZTIOL,O,X,O,X,O,O
SJZTLIO,O,X,O,X,O,O
SJZTLOI,O,X,O,X,O,O
SJZTOIL,O,X,O,X,O,O
SJZTOLI,O,X,O,X,O,O
SJZITLO,O,X,O,X,O,O
SJZITOL,O,X,O,X,O,O
SJZILTO,O,X,O,X,O,O
SJZILOT,O,X,O,X,O,O
SJZIOTL,O,X,O,X,O,O
SJZIOLT,O,X,O,X,O,O
SJZLTIO,O,X,O,X,O,O
SJZLTOI,O,X,O,X,O,O
SJZLITO,O,X,O,X,O,O
SJZLIOT,O,X,O,X,O,O
SJZLOTI,O,X,O,X,O,O
SJZLOIT,O,X,O,X,O,O
SJZOTIL,O,X,O,X,O,O
SJZOTLI,O,X,O,X,O,O
SJZOITL,O,X,O,X,O,O
SJZOILT,O,X,O,X,O,O
SJZOLTI,O,X,O,X,O,O
SJZOLIT,O,X,O,X,O,O
SJOTILZ,O,X,O,X,O,X
SJOTIZL,O,X,X,X,O,X
SJOTLIZ,O,X,O,X,O,X
SJOTLZI,O,X,O,X,O,X
SJOTZIL,O,X,O,X,O,O
SJOTZLI,O,X,O,X,O,O
SJOITLZ,X,X,O,X,O,X
SJOITZL,X,X,X,X,O,X
SJOILTZ,X,X,O,X,O,X
SJOILZT,O,X,O,X,O,X
SJOIZTL,O,X,O,X,O,O
SJOIZLT,O,X,O,X,O,O
SJOLTIZ,X,O,O,X,O,X
SJOLTZI,O,X,O,X,O,X
SJOLITZ,X,O,O,X,O,X
SJOLIZT,O,O,O,X,O,X
SJOLZTI,O,X,O,X,O,O
SJOLZIT,O,X,O,X,O,O
SJOZTIL,O,X,O,X,O,O
SJOZTLI,O,X,O,X,O,O
SJOZITL,O,X,O,X,O,O
SJOZILT,O,X,O,X,O,O
SJOZLTI,O,X,O,X,O,O
SJOZLIT,O,X,O,X,O,O
SZTILJO,O,X,O,O,X,X
SZTILOJ,O,X,O,O,O,X
SZTIJLO,O,X,O,X,X,O
SZTIJOL,O,X,O,X,X,O
SZTIOLJ,O,X,O,O,O,X
SZTIOJL,O,X,O,X,X,O
SZTLIJO,O,X,O,X,X,X
SZTLIOJ,O,X,O,X,O,X
SZTLJIO,O,X,O,X,X,X
SZTLJOI,O,X,O,X,X,X
SZTLOIJ,O,X,O,X,O,X
SZTLOJI,O,X,O,X,X,X
SZTJILO,O,X,O,X,X,O
SZTJIOL,O,X,O,X,X,O
SZTJLIO,O,X,O,X,X,O
SZTJLOI,O,X,O,X,X,O
SZTJOIL,O,X,O,X,X,O
SZTJOLI,O,X,O,X,X,O
SZTOILJ,O,X,O,O,O,X
SZTOIJL,O,X,O,X,X,O
SZTOLIJ,O,X,O,X,O,X
SZTOLJI,O,X,O,X,X,X
SZTOJIL,O,X,O,X,X,O
SZTOJLI,O,X,O,X,X,O
SZITLJO,O,X,O,O,X,X
SZITLOJ,O,X,O,O,O,X
SZITJLO,O,X,O,X,X,O
SZITJOL,O,X,O,X,X,O
SZITOLJ,O,X,O,O,O,X
SZITOJL,O,X,O,X,X,O
SZILTJO,O,X,O,O,X,X
SZILTOJ,O,X,O,O,O,X
SZILJTO,O,X,X,O,O,O
SZILJOT,O,X,O,O,O,O
SZILOTJ,O,X,O,O,O,X
SZILOJT,O,X,O,O,O,O
SZIJTLO,O,X,X,X,O,O
SZIJTOL,O,X,X,X,O,O
