sequence,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFOgB8gBfiB6?iBZjBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFibBGdBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Je2/IvhFzbBfiB6iBZ?jBUgBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBSiBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jex6IvhF8gBzcBmfBa?oB3iBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBRdBUgBe?oBXnBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBRiB3gBU?iBaoBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBmdBUgB1?nBRsBfsB
TJSIOLZ,O,O,O,O,X,O,O,X
TJSIOZL,O,O,O,X,X,X,O,X
TJSLIZO,O,O,O,X,X,O,X,X
TJSLIOZ,O,O,O,O,X,O,X,X
TJSLZIO,O,O,O,X,O,O,X,X
TJSLZOI,O,O,O,X,O,O,X,X
TJSLOIZ,O,O,O,O,X,O,X,X
TJSLOZI,O,O,O,X,O,X,X,X
TJSZILO,O,O,O,X,O,O,X,X
TJSZIOL,O,O,O,X,O,O,X,X
TJSZLIO,O,O,O,X,O,O,X,X
TJSZLOI,O,O,O,X,O,O,X,X
TJSZOIL,O,O,O,X,O,O,X,X
TJSZOLI,O,O,O,X,O,O,X,X
TJSOILZ,O,O,O,O,X,O,O,X
TJSOIZL,O,O,O,X,X,X,O,X
TJSOLIZ,O,O,O,O,X,O,X,X
TJSOLZI,O,O,O,X,O,X,X,X
TJSOZIL,O,O,O,X,O,X,X,X
TJSOZLI,O,O,O,X,O,X,X,X
TJZILSO,O,O,X,X,O,X,X,X
TJZILOS,O,O,X,O,O,O,X,X
TJZISLO,O,O,O,X,O,X,X,X
TJZISOL,O,O,O,X,O,X,X,X
TJZIOLS,O,O,X,O,O,O,O,X
TJZIOSL,O,O,O,X,O,X,O,X
TJZLISO,O,O,X,X,O,X,X,X
TJZLIOS,O,O,X,O,O,O,X,X
TJZLSIO,O,O,X,X,O,O,X,X
TJZLSOI,O,O,X,X,O,O,X,X
TJZLOIS,O,O,X,O,O,O,X,X
TJZLOSI,O,O,X,X,O,O,X,X
TJZSILO,O,O,O,X,O,O,X,X
TJZSIOL,O,O,O,X,O,O,X,X
TJZSLIO,O,O,O,X,O,O,X,X
TJZSLOI,O,O,O,X,O,O,X,X
TJZSOIL,O,O,O,X,O,O,X,X
TJZSOLI,O,O,O,X,O,O,X,X
TJZOILS,O,O,X,O,O,O,O,X
TJZOISL,O,O,O,X,O,X,O,X
TJZOLIS,O,O,X,O,O,O,X,X
TJZOLSI,O,O,X,X,O,O,X,X
TJZOSIL,O,O,O,X,O,O,X,X
TJZOSLI,O,O,O,X,O,O,X,X
TJOILSZ,X,X,O,O,X,O,O,X
TJOILZS,X,X,X,O,O,O,O,X
TJOISLZ,O,O,O,O,X,X,O,X
TJOISZL,O,O,O,X,X,X,O,X
TJOIZLS,O,O,X,O,O,X,O,X
TJOIZSL,O,O,O,X,O,X,O,X
TJOLISZ,X,X,O,O,X,O,O,X
TJOLIZS,X,X,X,O,O,O,O,X
TJOLSIZ,X,X,O,O,X,O,X,X
TJOLSZI,X,X,O,X,O,X,X,X
TJOLZIS,X,X,X,O,O,X,X,X
TJOLZSI,X,X,X,X,O,X,X,X
TJOSILZ,O,O,O,O,X,O,O,X
TJOSIZL,O,O,O,X,X,X,O,X
TJOSLIZ,O,O,O,O,X,O,X,X
TJOSLZI,O,O,O,X,O,X,X,X
TJOSZIL,O,O,O,X,O,X,X,X
TJOSZLI,O,O,O,X,O,X,X,X
TJOZILS,O,O,X,O,O,X,O,X
TJOZISL,O,O,O,X,O,X,O,X
TJOZLIS,O,O,X,O,O,X,X,X
TJOZLSI,O,O,X,X,O,X,X,X
TJOZSIL,O,O,O,X,O,X,X,X
TJOZSLI,O,O,O,X,O,X,X,X
TSILJZO,O,O,O,X,X,X,X,X
TSILJOZ,O,O,O,O,X,X,X,X
TSILZJO,O,O,O,X,X,X,X,X
TSILZOJ,O,O,O,X,X,X,X,X
TSILOJZ,O,O,O,O,X,X,X,X
TSILOZJ,O,O,O,X,X,X,X,X
TSIJLZO,O,O,O,X,X,X,X,X
TSIJLOZ,O,O,O,O,X,X,X,X
TSIJZLO,O,O,O,X,X,X,X,X
TSIJZOL,O,O,O,X,X,X,X,X
TSIJOLZ,O,O,O,O,X,X,O,X
TSIJOZL,O,O,O,X,X,X,O,X
TSIZLJO,O,O,O,X,X,X,X,X
TSIZLOJ,O,O,O,X,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X,X
TSIZJOL,O,O,O,X,X,X,X,X
TSIZOLJ,O,O,O,X,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X,X
TSIOLJZ,O,O,O,O,X,X,X,X
TSIOLZJ,O,O,O,X,X,X,X,X
TSIOJLZ,O,O,O,O,X,X,O,X
TSIOJZL,O,O,O,X,X,X,O,X
TSIOZLJ,O,O,O,X,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X,X
TSLIJZO,O,O,O,X,X,X,X,X
TSLIJOZ,O,O,O,O,X,X,X,X
TSLIZJO,O,O,O,X,X,X,X,X
TSLIZOJ,O,O,O,X,X,X,X,X
TSLIOJZ,O,O,O,O,X,X,X,X
TSLIOZJ,O,O,O,X,X,X,X,X
TSLJIZO,O,O,O,X,X,X,X,X
TSLJIOZ,O,O,O,O,X,X,X,X
TSLJZIO,O,O,O,X,O,X,X,X
TSLJZOI,O,O,O,X,O,X,X,X
TSLJOIZ,O,O,O,O,X,X,X,X
TSLJOZI,O,O,O,X,O,X,X,X
TSLZIJO,O,O,O,X,X,X,X,X
TSLZIOJ,O,O,O,X,X,X,X,X
