sequence,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFuf?BcgBCeBXjBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFCb?BuiBcjBXgBzpBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BTfBOlBXjB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?BXgBziB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeZ/IvhFcg?BqiBTeBfqBlsBupB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeBXgB2pBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JecAJvhFTe?BOkBfqBysB5nBlpB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeC+IvhFxf?BXjBTfBOlB0pBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jel6IvhFcg?BTeBysBmpB5nB/pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFCe?BOlBXjBTkBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeSDJvhFxf?B0fBziB/pBOqBlsB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFqi?BTeB0fB2pBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFui?BcjBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeuCJvhFcj?BxfBTfBypBlsBXqB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8JeG+IvhFxf?BziBikBXlBlsB0pB,v115@3gC8GeC8FeD8BeA8CeC8CeB8BeD8AeB8Jex6IvhFOl?BTkB3nBFoB0pBCtB
ZLITJSO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ZLITJOS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ZLITSJO,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X
ZLITSOJ,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
ZLITOJS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O,X
ZLITOSJ,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLIJTSO,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLIJTOS,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLIJSTO,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLIJSOT,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLIJOTS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLIJOST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLISTJO,O,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
ZLISTOJ,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
ZLISJTO,O,O,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X
ZLISJOT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZLISOTJ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZLISOJT,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZLIOTJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOJTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLIOJST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLIOSTJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOSJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLJTISO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJTIOS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJTSIO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJTSOI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJTOIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJTOSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJITSO,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLJITOS,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLJISTO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLJISOT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJIOTS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLJIOST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJSTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJSTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJSITO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJSIOT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJSOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJSOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJOTIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJOTSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJOITS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJOIST,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJOSTI,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLJOSIT,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLSTIJO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSTIOJ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLSTJIO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLSTJOI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLSTOIJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTOJI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLSITJO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZLSITOJ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZLSIJTO,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZLSIJOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZLSIOTJ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZLSIOJT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZLSJTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLSJTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLSJITO,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZLSJIOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZLSJOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLSJOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLSOTIJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOTJI,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLSOITJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLSOIJT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZLSOJTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLSOJIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLOTIJS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOTISJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOTJIS,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
ZLOTJSI,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
ZLOTSIJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOTSJI,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
ZLOITJS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOITSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOIJTS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLOIJST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLOISTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOISJT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOJTIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLOJTSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLOJITS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLOJIST,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLOJSTI,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLOJSIT,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLOSTIJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSTJI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOSITJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSIJT,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLOSJTI,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZLOSJIT,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJTILSO,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJTILOS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJTISLO,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ZJTISOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTIOLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJTIOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLISO,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X
ZJTLIOS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
ZJTLSIO,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
ZJTLSOI,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
ZJTLOIS,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZJTLOSI,X,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X
ZJTSILO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
ZJTSIOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSLIO,O,O,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X
ZJTSLOI,O,X,O,X,O,O,X,X,X,X,O,X,O,X,X,X,X
ZJTSOIL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJTSOLI,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJTOILS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJTOISL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJTOLIS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJTOLSI,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJTOSIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJTOSLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJITLSO,O,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJITLOS,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJITSLO,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
ZJITSOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJITOLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJITOSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJILTSO,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X
ZJILTOS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
ZJILSTO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZJILSOT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJILOTS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZJILOST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJISTLO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJISTOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJISLTO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJISLOT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJISOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJISOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOTLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJIOTSL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOLTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOLST,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOSTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOSLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTISO,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZJLTIOS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZJLTSIO,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZJLTSOI,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZJLTOIS,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZJLTOSI,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZJLITSO,O,X,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X
ZJLITOS,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X
ZJLISTO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZJLISOT,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJLIOTS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
ZJLIOST,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJLSTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLSTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLSITO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLSIOT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLSOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLSOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLOTIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJLOTSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJLOITS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJLOIST,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJLOSTI,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJLOSIT,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSTILO,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSTIOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTLIO,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZJSTLOI,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZJSTOIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTOLI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSITLO,O,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJSITOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSILTO,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJSILOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZJSIOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSIOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSLTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSLITO,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJSLIOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZJSLOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSLOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJSOTIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJSOTLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJSOITL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOLTI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJSOLIT,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJOTILS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOTISL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJOTLIS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOTLSI,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOTSIL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJOTSLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJOITLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJOITSL,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJOILTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOILST,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOISTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOISLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLTIS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJOLTSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJOLITS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJOLIST,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJOLSTI,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJOLSIT,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJOSTIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJOSTLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJOSITL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSILT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSLTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSLIT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTILJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSTILOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
ZSTIJLO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTIJOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTIOLJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTIOJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTLIJO,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSTLIOJ,O,O,O,X,O,O,X,X,O,X,X,O,X,X,X,X,X
ZSTLJIO,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
ZSTLJOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTLOIJ,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ZSTLOJI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTJILO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
ZSTJIOL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJLIO,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
ZSTJLOI,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTJOIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTJOLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOILJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOIJL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOLIJ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSTOLJI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOJIL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSTOJLI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITLJO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSITLOJ,O,O,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X
ZSITJLO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSITJOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSITOLJ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSITOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILTJO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSILTOJ,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSILJTO,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZSILJOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSILOTJ,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZSILOJT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSIJTLO,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJLTO,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSIJLOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSIJOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOTLJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOTJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOLTJ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSIOLJT,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSIOJTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOJLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTIJO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSLTIOJ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZSLTJIO,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSLTJOI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSLTOIJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTOJI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSLITJO,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSLITOJ,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
ZSLIJTO,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X
ZSLIJOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSLIOTJ,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
ZSLIOJT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSLJTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSLJTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSLJITO,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZSLJIOT,O,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZSLJOTI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSLJOIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSLOTIJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLOTJI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSLOITJ,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSLOIJT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSLOJTI,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSLOJIT,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSJTILO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSJTIOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTLIO,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSJTLOI,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSJTOIL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJTOLI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJITLO,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSJITOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJILTO,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSJILOT,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSJIOTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJIOLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSJLTIO,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZSJLTOI,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
