sequence,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgB3?iBOrBCsB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhFTfB0gBlhB3?iBOrBCsB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgB3?iBKrBWxB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhFxbBCgBXhBl?iBUnBTrB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhF8fBqgBlhB3?iBxrBTrB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jex6IvhF0cBTfBlgBu?nBimB3rB,v115@5gD8IeA8BeA8EeF8DeF8BeD8JeO/IvhF8fBqgBTcBl?iBxrB3rB,v115@5gD8IeA8BeA8EeF8DeF8BeD8Jem6IvhFCcBTfBlhB3?iBxrBUrB
TSIZLOJ,O,X,O,X,O,O,O,O
TSIZJLO,O,X,X,O,O,O,O,O
TSIZJOL,O,X,O,X,X,O,O,O
TSIZOLJ,O,O,O,X,X,O,O,O
TSIZOJL,O,O,O,X,X,O,O,O
TSIOLJZ,X,X,X,O,X,O,O,O
TSIOLZJ,O,X,O,X,O,O,O,O
TSIOJLZ,X,X,X,O,X,O,O,O
TSIOJZL,O,X,O,X,X,O,X,O
TSIOZLJ,O,O,O,X,X,O,O,O
TSIOZJL,O,O,O,X,X,O,O,O
TSLIJZO,O,X,O,O,O,O,O,X
TSLIJOZ,X,X,X,O,X,X,O,O
TSLIZJO,O,X,O,O,O,O,O,X
TSLIZOJ,O,O,O,X,O,O,O,X
TSLIOJZ,O,X,O,O,X,O,O,O
TSLIOZJ,O,O,O,X,O,O,O,X
TSLJIZO,O,X,O,O,X,O,X,X
TSLJIOZ,O,X,X,O,X,X,X,O
TSLJZIO,O,X,O,O,O,O,X,X
TSLJZOI,O,O,O,O,O,O,X,O
TSLJOIZ,O,X,O,O,X,O,X,O
TSLJOZI,O,O,O,O,X,O,X,O
TSLZIJO,O,X,O,O,O,O,O,X
TSLZIOJ,O,O,O,O,O,O,O,X
TSLZJIO,O,X,O,O,O,O,O,X
TSLZJOI,O,O,O,O,O,O,O,O
TSLZOIJ,O,O,O,O,X,O,X,X
TSLZOJI,O,O,O,O,O,O,O,O
TSLOIJZ,O,X,O,O,X,O,X,O
TSLOIZJ,O,O,O,O,X,O,X,X
TSLOJIZ,O,X,O,O,X,O,X,O
TSLOJZI,O,O,O,O,X,O,X,O
TSLOZIJ,O,O,O,O,X,O,X,X
TSLOZJI,O,O,O,O,O,O,O,O
TSJILZO,O,X,X,O,X,O,X,O
TSJILOZ,X,X,X,O,X,X,X,O
TSJIZLO,O,X,X,O,X,O,X,O
TSJIZOL,O,X,O,O,X,O,X,O
TSJIOLZ,O,X,X,O,X,O,X,O
TSJIOZL,O,X,X,X,X,O,X,X
TSJLIZO,O,X,O,O,X,O,X,X
TSJLIOZ,X,X,O,O,X,X,X,O
TSJLZIO,O,X,O,O,O,O,X,X
TSJLZOI,O,X,O,O,O,O,X,O
TSJLOIZ,O,X,O,O,X,O,X,O
TSJLOZI,O,X,O,O,X,O,X,O
TSJZILO,O,X,X,O,X,O,X,X
TSJZIOL,O,X,O,O,X,O,X,X
TSJZLIO,O,X,X,O,X,O,X,X
TSJZLOI,O,X,X,O,X,O,X,O
TSJZOIL,O,O,O,O,X,O,X,X
TSJZOLI,O,O,X,X,X,O,X,X
TSJOILZ,O,X,O,O,X,O,X,O
TSJOIZL,O,X,O,O,X,O,X,X
TSJOLIZ,O,X,O,O,X,O,X,O
TSJOLZI,O,X,O,O,X,O,X,O
TSJOZIL,O,O,O,O,X,O,X,X
TSJOZLI,O,O,X,X,X,O,X,O
TSZILJO,O,X,O,O,O,O,O,X
TSZILOJ,O,X,O,O,O,O,O,X
TSZIJLO,O,X,X,O,O,O,O,X
TSZIJOL,O,X,O,O,X,O,O,X
TSZIOLJ,O,O,O,O,X,O,O,X
TSZIOJL,O,O,O,O,X,O,O,X
TSZLIJO,X,X,X,O,O,O,O,X
TSZLIOJ,O,O,O,O,O,O,O,X
TSZLJIO,X,X,X,O,O,O,O,X
TSZLJOI,X,O,X,O,O,O,O,O
TSZLOIJ,O,O,O,O,X,O,X,X
TSZLOJI,X,O,X,O,O,O,O,O
TSZJILO,X,X,X,O,O,O,O,X
TSZJIOL,O,X,O,O,X,O,O,X
TSZJLIO,X,X,X,O,O,X,O,X
TSZJLOI,X,X,X,O,O,X,O,O
