sequence,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFzgBfnBxiBGoBFr?BUtB,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFFhB8mBziB5oBfr?BmsB,v115@9gA8IeB8HeB8HeD8AeC8LeaFJvhFRhBGjBfrB0mBln?BTtB,v115@9gA8IeB8HeB8HeD8AeC8LeFAJvhFXhBxiBzmBStBmq?BUtB,v115@9gA8IeB8HeB8HeD8AeC8LeRAJvhF3hBTlBlnBctBir?BGtB,v115@9gA8IeB8HeB8HeD8AeC8LeUAJvhFRhBSoBlmB3nBmq?BTtB,v115@9gA8IeB8HeB8HeD8AeC8LeFAJvhFxhB3lBcrBTnBOt?B6tB
LSIJTZO,X,O,O,O,X,X,X
LSIJTOZ,O,O,O,O,X,X,X
LSIJZTO,X,O,O,O,X,X,X
LSIJZOT,X,O,O,X,X,X,X
LSIJOTZ,X,O,O,O,X,X,X
LSIJOZT,X,O,O,X,X,X,X
LSIZTJO,O,O,O,X,X,X,X
LSIZTOJ,O,O,O,X,O,X,X
LSIZJTO,O,O,O,X,X,X,X
LSIZJOT,O,O,O,X,X,X,X
LSIZOTJ,O,O,O,X,O,X,X
LSIZOJT,X,O,O,X,O,X,X
LSIOTJZ,O,X,O,O,X,X,X
LSIOTZJ,O,O,O,X,O,X,X
LSIOJTZ,X,O,O,O,X,X,X
LSIOJZT,X,O,O,O,O,X,X
LSIOZTJ,X,O,O,X,O,X,X
LSIOZJT,X,O,O,O,O,X,X
LSJTIZO,X,O,O,O,X,X,X
LSJTIOZ,O,O,O,O,X,X,X
LSJTZIO,O,O,O,O,X,X,X
LSJTZOI,O,O,O,X,X,X,O
LSJTOIZ,O,O,O,O,X,X,X
LSJTOZI,O,O,O,O,X,X,O
LSJITZO,X,O,O,O,X,X,X
LSJITOZ,O,O,O,O,X,X,X
LSJIZTO,X,O,O,O,X,X,X
LSJIZOT,X,O,O,X,X,X,X
LSJIOTZ,X,O,O,O,X,X,X
LSJIOZT,X,O,O,X,X,X,X
LSJZTIO,O,O,O,O,X,X,X
LSJZTOI,O,O,O,X,O,X,X
LSJZITO,O,O,O,O,X,X,X
LSJZIOT,O,O,O,X,X,X,X
LSJZOTI,O,O,O,X,O,X,X
LSJZOIT,O,O,O,X,O,X,X
LSJOTIZ,X,O,O,O,X,X,X
LSJOTZI,X,O,O,O,X,X,O
LSJOITZ,X,O,O,O,X,X,X
LSJOIZT,X,O,O,O,O,X,X
LSJOZTI,X,O,O,O,O,X,X
LSJOZIT,X,O,O,O,O,X,X
LSZTIJO,O,O,O,X,X,X,X
LSZTIOJ,O,O,O,X,O,X,X
LSZTJIO,O,O,O,X,X,X,X
LSZTJOI,O,O,O,X,O,X,X
LSZTOIJ,O,O,O,X,O,X,X
LSZTOJI,O,O,O,X,O,X,X
LSZITJO,O,O,O,X,X,X,X
LSZITOJ,O,O,O,X,O,X,X
LSZIJTO,O,O,O,X,X,X,X
LSZIJOT,O,O,O,X,X,X,X
LSZIOTJ,O,O,O,X,O,X,X
LSZIOJT,X,O,O,X,O,X,X
LSZJTIO,O,O,O,X,X,X,X
LSZJTOI,O,O,O,X,O,X,X
LSZJITO,O,O,O,X,X,X,X
LSZJIOT,O,O,O,X,X,X,X
LSZJOTI,O,O,O,X,O,X,X
LSZJOIT,O,O,O,X,O,X,X
LSZOTIJ,O,O,O,X,O,X,X
LSZOTJI,O,O,O,X,O,X,X
LSZOITJ,O,O,O,X,O,X,X
LSZOIJT,X,O,O,X,O,X,X
LSZOJTI,O,O,O,X,O,X,X
LSZOJIT,O,O,O,X,O,X,X
LSOTIJZ,O,X,O,O,X,X,X
LSOTIZJ,O,O,O,X,O,X,X
LSOTJIZ,O,X,O,O,X,X,X
LSOTJZI,O,X,O,O,X,X,O
LSOTZIJ,O,O,O,X,O,X,O
LSOTZJI,O,O,O,X,O,X,O
LSOITJZ,O,X,O,O,X,X,X
LSOITZJ,O,O,O,X,O,X,X
LSOIJTZ,X,O,O,O,X,X,X
LSOIJZT,X,O,O,O,O,X,X
LSOIZTJ,X,O,O,X,O,X,X
LSOIZJT,X,O,O,O,O,X,X
LSOJTIZ,X,O,O,O,X,X,X
LSOJTZI,X,O,O,O,X,X,O
LSOJITZ,X,O,O,O,X,X,X
LSOJIZT,X,O,O,O,O,X,X
LSOJZTI,X,O,O,O,O,X,X
LSOJZIT,X,O,O,O,O,X,X
LSOZTIJ,O,O,O,X,O,X,X
LSOZTJI,O,O,O,X,O,X,X
LSOZITJ,O,O,O,X,O,X,X
LSOZIJT,X,O,O,O,O,X,X
LSOZJTI,O,O,O,O,O,X,X
LSOZJIT,O,O,O,O,O,X,X
LZTIJSO,O,O,O,X,X,X,X
LZTIJOS,O,O,X,X,X,X,X
LZTISJO,O,O,X,X,X,X,X
LZTISOJ,O,O,X,X,O,X,X
LZTIOJS,O,X,X,O,O,O,X
LZTIOSJ,O,X,X,X,O,O,X
LZTJISO,O,O,O,X,X,X,X
LZTJIOS,O,O,X,X,X,X,X
LZTJSIO,O,O,O,X,X,X,X
LZTJSOI,O,O,O,X,O,X,X
LZTJOIS,O,O,X,X,O,X,X
LZTJOSI,O,O,X,X,O,X,X
LZTSIJO,O,O,O,X,X,X,X
LZTSIOJ,O,O,O,X,O,X,X
LZTSJIO,O,O,O,X,X,X,X
LZTSJOI,O,O,O,X,O,X,X
LZTSOIJ,O,O,O,X,O,X,X
LZTSOJI,O,O,O,X,O,X,X
LZTOIJS,O,X,X,O,O,O,X
LZTOISJ,O,X,X,X,O,O,X
LZTOJIS,O,X,X,O,O,O,X
LZTOJSI,O,X,X,O,O,O,X
LZTOSIJ,O,X,X,X,O,O,X
LZTOSJI,O,X,X,X,O,O,X
LZITJSO,O,O,X,X,X,X,X
LZITJOS,O,O,X,X,X,X,X
LZITSJO,O,O,X,X,X,X,X
LZITSOJ,O,O,X,X,O,X,X
LZITOJS,O,X,X,O,O,O,X
LZITOSJ,O,X,X,X,O,O,X
LZIJTSO,O,O,X,O,X,X,X
LZIJTOS,O,O,X,X,X,X,X
LZIJSTO,O,O,X,O,X,X,X
LZIJSOT,O,O,X,X,X,X,X
LZIJOTS,X,O,X,X,X,X,X
LZIJOST,O,O,X,X,X,X,X
LZISTJO,O,O,X,X,X,X,X
LZISTOJ,O,O,X,X,O,X,O
LZISJTO,O,O,X,X,X,X,X
LZISJOT,O,O,X,X,X,X,X
LZISOTJ,O,O,X,X,O,X,O
LZISOJT,X,O,X,X,O,X,O
LZIOTJS,X,X,X,O,O,O,X
LZIOTSJ,X,X,X,X,O,O,X
LZIOJTS,X,O,X,O,O,X,X
LZIOJST,X,O,X,O,O,X,O
LZIOSTJ,X,O,X,X,O,X,O
LZIOSJT,X,O,X,O,O,X,O
LZJTISO,O,O,X,O,X,X,X
LZJTIOS,O,O,X,X,X,O,X
LZJTSIO,O,O,X,O,X,X,X
LZJTSOI,O,O,X,X,O,X,X
LZJTOIS,O,O,X,O,O,O,X
LZJTOSI,O,O,X,O,O,O,X
LZJITSO,O,O,X,O,X,X,X
LZJITOS,O,O,X,X,X,O,X
LZJISTO,O,O,X,O,X,X,X
LZJISOT,O,O,X,X,X,X,X
LZJIOTS,X,O,X,X,X,O,X
LZJIOST,O,O,X,X,X,X,X
LZJSTIO,O,O,X,O,X,X,X
LZJSTOI,O,O,X,X,O,X,O
LZJSITO,O,O,X,O,X,X,X
LZJSIOT,O,O,X,X,X,X,X
LZJSOTI,O,O,X,X,O,X,O
LZJSOIT,O,O,X,X,O,X,O
LZJOTIS,O,O,X,O,O,O,X
LZJOTSI,O,O,X,O,O,O,X
LZJOITS,X,O,X,O,O,O,X
LZJOIST,O,O,X,O,O,X,O
LZJOSTI,O,O,X,O,O,O,O
LZJOSIT,O,O,X,O,O,X,O
LZSTIJO,O,O,O,X,X,X,X
LZSTIOJ,O,O,O,X,O,X,O
LZSTJIO,O,O,O,X,X,X,X
LZSTJOI,O,O,O,X,O,X,O
LZSTOIJ,O,O,O,X,O,X,O
LZSTOJI,O,O,O,X,O,X,O
LZSITJO,O,O,O,X,X,X,X
LZSITOJ,O,O,O,X,O,X,O
LZSIJTO,O,O,O,X,X,X,X
LZSIJOT,O,O,O,X,X,X,X
LZSIOTJ,O,O,O,X,O,X,O
LZSIOJT,X,O,O,X,O,X,O
LZSJTIO,O,O,O,X,X,X,X
LZSJTOI,O,O,O,X,O,X,O
LZSJITO,O,O,O,X,X,X,X
LZSJIOT,O,O,O,X,X,X,X
LZSJOTI,O,O,O,X,O,X,O
LZSJOIT,O,O,O,X,O,X,O
LZSOTIJ,O,O,O,X,O,X,O
LZSOTJI,O,O,O,X,O,X,O
LZSOITJ,O,O,O,X,O,X,O
LZSOIJT,X,O,O,X,O,X,O
LZSOJTI,O,O,O,X,O,X,O
LZSOJIT,O,O,O,X,O,X,O
LZOTIJS,O,X,O,O,O,O,X
LZOTISJ,O,X,X,X,O,O,X
LZOTJIS,O,X,O,O,O,O,X
LZOTJSI,O,X,O,O,O,O,X
LZOTSIJ,O,X,O,X,O,O,X
LZOTSJI,O,X,O,X,O,O,X
LZOITJS,X,X,X,O,O,O,X
LZOITSJ,X,X,X,X,O,O,X
LZOIJTS,X,O,X,O,O,O,X
LZOIJST,X,O,X,O,O,X,O
LZOISTJ,X,O,X,X,O,X,O
LZOISJT,X,O,X,O,O,X,O
LZOJTIS,O,O,O,O,O,O,X
LZOJTSI,O,O,O,O,O,O,X
LZOJITS,X,O,X,O,O,O,X
LZOJIST,O,O,X,O,O,X,O
LZOJSTI,O,O,O,O,O,O,O
LZOJSIT,O,O,O,O,O,X,O
LZOSTIJ,O,O,O,X,O,O,O
LZOSTJI,O,O,O,X,O,O,O
LZOSITJ,O,O,O,X,O,X,O
LZOSIJT,X,O,O,O,O,X,O
LZOSJTI,O,O,O,O,O,O,O
LZOSJIT,O,O,O,O,O,X,O
LOTIJSZ,X,X,O,O,X,O,X
LOTIJZS,X,X,O,O,X,O,X
LOTISJZ,O,X,O,O,X,X,X
LOTISZJ,O,X,O,X,O,O,X
LOTIZJS,O,X,O,O,O,O,X
LOTIZSJ,O,X,X,X,O,O,X
LOTJISZ,X,X,O,O,X,O,X
LOTJIZS,X,X,O,O,X,O,X
LOTJSIZ,O,X,O,O,X,O,X
LOTJSZI,O,X,O,O,X,O,O
LOTJZIS,O,X,O,O,X,O,X
LOTJZSI,O,X,O,O,X,O,X
LOTSIJZ,O,X,O,O,X,X,X
LOTSIZJ,O,X,O,X,O,O,X
LOTSJIZ,O,X,O,O,X,O,X
LOTSJZI,O,X,O,O,X,O,O
LOTSZIJ,O,X,O,X,O,O,O
LOTSZJI,O,X,O,X,O,O,O
LOTZIJS,O,X,O,O,O,O,X
LOTZISJ,O,X,X,X,O,O,X
LOTZJIS,O,X,O,O,O,O,X
LOTZJSI,O,X,O,O,O,O,X
LOTZSIJ,O,X,O,X,O,O,X
LOTZSJI,O,X,O,X,O,O,X
LOITJSZ,X,X,O,O,X,O,X
LOITJZS,X,X,O,O,X,O,X
LOITSJZ,X,X,O,O,X,X,X
LOITSZJ,X,X,O,X,O,O,X
LOITZJS,X,X,O,O,O,O,X
LOITZSJ,X,X,X,X,O,O,X
LOIJTSZ,X,O,O,O,X,O,X
LOIJTZS,X,O,O,O,X,O,X
LOIJSTZ,X,O,O,O,X,X,X
LOIJSZT,X,O,O,O,O,X,X
LOIJZTS,X,O,X,O,O,O,X
LOIJZST,X,O,X,O,O,X,O
LOISTJZ,X,X,O,O,X,X,X
LOISTZJ,X,O,O,X,O,X,X
LOISJTZ,X,O,O,O,X,X,X
LOISJZT,X,O,O,O,O,X,X
LOISZTJ,X,O,O,X,O,X,X
LOISZJT,X,O,O,O,O,X,X
LOIZTJS,X,X,X,O,O,O,X
LOIZTSJ,X,X,X,X,O,O,X
LOIZJTS,X,O,X,O,O,O,X
LOIZJST,X,O,X,O,O,X,O
LOIZSTJ,X,O,X,X,O,X,O
LOIZSJT,X,O,X,O,O,X,O
LOJTISZ,X,O,O,O,X,O,X
LOJTIZS,X,O,O,O,X,O,X
LOJTSIZ,X,O,O,O,X,O,X
LOJTSZI,X,O,O,O,X,O,O
LOJTZIS,X,O,O,O,X,O,X
LOJTZSI,X,O,O,O,X,O,X
LOJITSZ,X,O,O,O,X,O,X
LOJITZS,X,O,O,O,X,O,X
LOJISTZ,X,O,O,O,X,X,X
LOJISZT,X,O,O,O,O,X,X
LOJIZTS,X,O,X,O,O,O,X
LOJIZST,X,O,X,O,O,X,O
LOJSTIZ,X,O,O,O,X,O,X
LOJSTZI,X,O,O,O,X,O,O
LOJSITZ,X,O,O,O,X,X,X
LOJSIZT,X,O,O,O,O,X,X
LOJSZTI,X,O,O,O,O,O,X
LOJSZIT,X,O,O,O,O,X,X
LOJZTIS,X,O,O,O,O,O,X
LOJZTSI,X,O,O,O,O,O,X
LOJZITS,X,O,X,O,O,O,X
LOJZIST,X,O,X,O,O,X,O
LOJZSTI,X,O,O,O,O,O,O
LOJZSIT,X,O,O,O,O,X,O
LOSTIJZ,O,X,O,O,X,X,X
LOSTIZJ,O,O,O,X,O,O,X
LOSTJIZ,O,X,O,O,X,O,X
LOSTJZI,O,X,O,O,X,O,O
LOSTZIJ,O,O,O,X,O,O,O
LOSTZJI,O,O,O,X,O,O,O
LOSITJZ,O,X,O,O,X,X,X
LOSITZJ,O,O,O,X,O,X,X
LOSIJTZ,X,O,O,O,X,X,X
LOSIJZT,X,O,O,O,O,X,X
LOSIZTJ,X,O,O,X,O,X,X
LOSIZJT,X,O,O,O,O,X,X
LOSJTIZ,X,O,O,O,X,O,X
LOSJTZI,X,O,O,O,X,O,O
LOSJITZ,X,O,O,O,X,X,X
LOSJIZT,X,O,O,O,O,X,X
LOSJZTI,X,O,O,O,O,O,X
LOSJZIT,X,O,O,O,O,X,X
LOSZTIJ,O,O,O,X,O,O,X
LOSZTJI,O,O,O,X,O,O,X
LOSZITJ,O,O,O,X,O,X,X
LOSZIJT,X,O,O,O,O,X,X
LOSZJTI,O,O,O,O,O,O,X
LOSZJIT,O,O,O,O,O,X,X
LOZTIJS,O,X,O,O,O,O,X
LOZTISJ,O,X,X,X,O,O,X
LOZTJIS,O,X,O,O,O,O,X
LOZTJSI,O,X,O,O,O,O,X
LOZTSIJ,O,X,O,X,O,O,X
LOZTSJI,O,X,O,X,O,O,X
LOZITJS,X,X,X,O,O,O,X
LOZITSJ,X,X,X,X,O,O,X
LOZIJTS,X,O,X,O,O,O,X
LOZIJST,X,O,X,O,O,X,O
LOZISTJ,X,O,X,X,O,X,O
LOZISJT,X,O,X,O,O,X,O
LOZJTIS,O,O,O,O,O,O,X
LOZJTSI,O,O,O,O,O,O,X
LOZJITS,X,O,X,O,O,O,X
LOZJIST,O,O,X,O,O,X,O
LOZJSTI,O,O,O,O,O,O,O
LOZJSIT,O,O,O,O,O,X,O
LOZSTIJ,O,O,O,X,O,O,O
LOZSTJI,O,O,O,X,O,O,O
LOZSITJ,O,O,O,X,O,X,O
LOZSIJT,X,O,O,O,O,X,O
LOZSJTI,O,O,O,O,O,O,O
LOZSJIT,O,O,O,O,O,X,O
JTILSZO,X,O,O,O,X,X,X
JTILSOZ,X,O,O,O,X,X,X
JTILZSO,X,O,O,O,X,X,X
JTILZOS,X,O,X,X,X,O,X
JTILOSZ,X,O,O,O,X,O,X
JTILOZS,X,O,X,O,X,O,X
JTISLZO,X,O,O,O,X,X,X
JTISLOZ,X,O,O,O,X,X,X
JTISZLO,X,O,O,X,X,X,X
JTISZOL,X,O,O,X,X,O,O
JTISOLZ,X,O,O,O,X,O,X
JTISOZL,X,O,X,O,X,O,O
JTIZLSO,X,O,O,X,X,X,X
JTIZLOS,X,O,X,X,X,O,X
JTIZSLO,X,O,X,X,X,X,X
JTIZSOL,X,O,X,X,X,O,X
JTIZOLS,X,O,X,X,X,O,X
JTIZOSL,X,O,X,X,X,O,X
JTIOLSZ,X,O,O,O,X,O,X
JTIOLZS,X,O,X,O,X,O,X
JTIOSLZ,X,O,X,O,X,O,X
JTIOSZL,X,O,X,O,X,O,O
JTIOZLS,X,O,X,X,X,O,X
JTIOZSL,X,O,X,O,X,O,X
JTLISZO,X,O,O,O,X,X,X
JTLISOZ,X,O,O,O,X,X,X
JTLIZSO,X,O,O,O,X,X,X
JTLIZOS,X,O,X,X,X,O,X
JTLIOSZ,X,O,O,O,X,O,X
JTLIOZS,X,O,X,O,X,O,X
JTLSIZO,X,O,O,O,X,X,X
JTLSIOZ,O,O,O,O,X,X,X
JTLSZIO,O,O,O,O,X,X,X
JTLSZOI,O,O,O,X,X,X,O
JTLSOIZ,O,O,O,O,X,X,X
JTLSOZI,O,O,O,O,X,X,O
JTLZISO,O,O,O,O,X,X,X
JTLZIOS,O,O,X,X,X,O,X
JTLZSIO,O,O,O,O,X,X,X
JTLZSOI,O,O,O,X,X,X,X
JTLZOIS,O,O,X,O,X,O,X
JTLZOSI,O,O,X,O,X,O,X
JTLOISZ,X,O,O,O,X,O,X
JTLOIZS,X,O,X,O,X,O,X
JTLOSIZ,O,O,O,O,X,O,X
JTLOSZI,O,O,O,O,X,O,O
JTLOZIS,O,O,X,O,X,O,X
JTLOZSI,O,O,X,O,X,O,X
JTSILZO,X,O,O,O,X,X,X
JTSILOZ,O,O,O,O,X,X,X
JTSIZLO,X,O,O,X,X,X,X
JTSIZOL,X,O,O,X,X,O,O
JTSIOLZ,O,O,O,O,X,O,X
JTSIOZL,X,O,X,O,X,O,O
JTSLIZO,X,O,O,O,X,X,X
JTSLIOZ,O,O,O,O,X,X,X
JTSLZIO,O,O,O,O,X,X,X
JTSLZOI,O,O,O,X,X,X,O
JTSLOIZ,O,O,O,O,X,X,X
JTSLOZI,O,O,O,O,X,X,O
JTSZILO,O,O,O,X,X,X,X
JTSZIOL,O,O,O,X,X,O,O
JTSZLIO,O,O,O,O,X,X,X
JTSZLOI,O,O,O,X,X,X,O
JTSZOIL,O,O,O,O,X,O,O
JTSZOLI,O,O,O,O,X,O,O
JTSOILZ,O,O,O,O,X,O,X
JTSOIZL,X,O,X,O,X,O,O
JTSOLIZ,O,O,O,O,X,O,X
JTSOLZI,O,O,O,O,X,O,O
JTSOZIL,O,O,O,O,X,O,O
JTSOZLI,O,O,O,O,X,O,O
JTZILSO,O,O,O,X,X,X,X
JTZILOS,O,O,X,X,X,O,X
JTZISLO,O,O,X,X,X,X,X
JTZISOL,O,O,X,X,X,O,X
JTZIOLS,O,O,X,X,X,O,X
JTZIOSL,O,O,X,X,X,O,X
JTZLISO,O,O,O,O,X,X,X
JTZLIOS,O,O,X,X,X,O,X
JTZLSIO,O,O,O,O,X,X,X
JTZLSOI,O,O,O,X,X,X,X
JTZLOIS,O,O,X,O,X,O,X
JTZLOSI,O,O,X,O,X,O,X
JTZSILO,O,O,O,X,X,X,X
JTZSIOL,O,O,O,X,X,O,O
JTZSLIO,O,O,O,O,X,X,X
JTZSLOI,O,O,O,X,X,X,O
JTZSOIL,O,O,O,O,X,O,O
JTZSOLI,O,O,O,O,X,O,O
JTZOILS,O,O,X,X,X,O,X
JTZOISL,O,O,X,O,X,O,O
JTZOLIS,O,O,X,O,X,O,X
JTZOLSI,O,O,X,O,X,O,X
JTZOSIL,O,O,X,O,X,O,O
JTZOSLI,O,O,X,O,X,O,O
JTOILSZ,X,O,O,O,X,O,X
JTOILZS,X,O,X,O,X,O,X
JTOISLZ,X,O,X,O,X,O,X
JTOISZL,X,O,X,O,X,O,O
JTOIZLS,X,O,X,X,X,O,X
JTOIZSL,X,O,X,O,X,O,O
JTOLISZ,X,O,O,O,X,O,X
JTOLIZS,X,O,X,O,X,O,X
JTOLSIZ,O,O,O,O,X,O,X
JTOLSZI,O,O,O,O,X,O,O
JTOLZIS,O,O,X,O,X,O,X
JTOLZSI,O,O,X,O,X,O,X
JTOSILZ,O,O,O,O,X,O,X
JTOSIZL,X,O,X,O,X,O,O
JTOSLIZ,O,O,O,O,X,O,X
JTOSLZI,O,O,O,O,X,O,O
JTOSZIL,O,O,O,O,X,O,O
JTOSZLI,O,O,O,O,X,O,O
JTOZILS,O,O,X,X,X,O,X
JTOZISL,O,O,X,O,X,O,O
JTOZLIS,O,O,X,O,X,O,X
JTOZLSI,O,O,X,O,X,O,X
JTOZSIL,O,O,X,O,X,O,O
JTOZSLI,O,O,X,O,X,O,O
JITLSZO,X,O,X,O,X,X,X
JITLSOZ,X,O,X,O,X,X,X
JITLZSO,X,O,X,O,X,X,X
JITLZOS,X,O,X,X,X,O,X
JITLOSZ,X,O,X,O,X,O,X
JITLOZS,X,O,X,O,X,O,X
JITSLZO,X,O,X,O,X,X,X
JITSLOZ,X,O,X,O,X,X,X
JITSZLO,X,O,X,X,X,X,X
JITSZOL,X,O,X,X,X,O,O
JITSOLZ,X,O,X,O,X,O,X
JITSOZL,X,O,X,O,X,O,O
JITZLSO,X,O,X,X,X,X,X
JITZLOS,X,O,X,X,X,O,X
JITZSLO,X,O,X,X,X,X,X
JITZSOL,X,O,X,X,X,O,X
JITZOLS,X,O,X,X,X,O,X
JITZOSL,X,O,X,X,X,O,X
JITOLSZ,X,O,X,O,X,O,X
JITOLZS,X,O,X,O,X,O,X
JITOSLZ,X,O,X,O,X,O,X
JITOSZL,X,O,X,O,X,O,O
JITOZLS,X,O,X,X,X,O,X
JITOZSL,X,O,X,O,X,O,X
JILTSZO,X,O,X,O,X,X,X
JILTSOZ,X,O,X,O,X,X,X
JILTZSO,X,O,X,O,X,X,X
JILTZOS,X,O,X,X,X,X,X
JILTOSZ,X,O,X,O,X,X,X
JILTOZS,X,O,X,O,X,X,X
JILSTZO,X,O,X,O,X,X,X
JILSTOZ,X,O,X,O,X,X,X
JILSZTO,X,O,X,O,X,X,X
JILSZOT,X,O,X,X,X,X,X
JILSOTZ,X,O,X,O,X,X,X
JILSOZT,X,O,X,X,X,X,X
JILZTSO,X,O,X,O,X,X,X
JILZTOS,X,O,X,X,X,X,X
JILZSTO,X,O,X,O,X,X,X
JILZSOT,X,O,X,X,X,X,X
JILZOTS,X,O,X,X,X,X,X
JILZOST,X,O,X,X,X,X,X
JILOTSZ,X,O,X,O,X,X,X
JILOTZS,X,O,X,O,X,X,X
JILOSTZ,X,O,X,O,X,X,X
JILOSZT,X,O,X,O,X,X,X
JILOZTS,X,O,X,O,X,X,X
JILOZST,X,O,X,O,X,X,X
JISTLZO,X,O,X,O,X,X,X
JISTLOZ,X,O,X,O,X,X,X
JISTZLO,X,O,X,X,X,X,X
JISTZOL,X,O,X,X,X,X,O
JISTOLZ,X,O,X,O,X,X,X
JISTOZL,X,O,X,O,X,X,O
JISLTZO,X,O,X,O,X,X,X
JISLTOZ,X,O,X,O,X,X,X
JISLZTO,X,O,X,O,X,X,X
JISLZOT,X,O,X,X,X,X,X
JISLOTZ,X,O,X,O,X,X,X
JISLOZT,X,O,X,X,X,X,X
JISZTLO,X,O,X,X,X,X,X
JISZTOL,X,O,X,X,X,X,X
JISZLTO,X,O,X,X,X,X,X
JISZLOT,X,O,X,X,X,X,X
JISZOTL,X,O,X,X,X,X,X
JISZOLT,X,O,X,X,X,X,X
JISOTLZ,X,O,X,O,X,X,X
JISOTZL,X,O,X,O,X,X,O
JISOLTZ,X,O,X,O,X,X,X
JISOLZT,X,O,X,O,X,X,X
JISOZTL,X,O,X,O,X,X,X
JISOZLT,X,O,X,X,X,X,X
JIZTLSO,X,O,X,X,X,X,X
JIZTLOS,X,O,X,X,X,O,X
JIZTSLO,X,O,X,X,X,X,X
JIZTSOL,X,O,X,X,X,O,X
JIZTOLS,X,O,X,X,X,O,X
JIZTOSL,X,O,X,X,X,O,X
JIZLTSO,X,O,X,X,X,X,X
JIZLTOS,X,O,X,X,X,O,X
JIZLSTO,X,O,X,X,X,X,X
JIZLSOT,X,O,X,X,X,X,X
JIZLOTS,X,O,X,X,X,O,X
JIZLOST,X,O,X,X,X,X,X
JIZSTLO,X,O,X,X,X,X,X
JIZSTOL,X,O,X,X,X,O,O
JIZSLTO,X,O,X,X,X,X,X
JIZSLOT,X,O,X,X,X,X,X
JIZSOTL,X,O,X,X,X,O,O
JIZSOLT,X,O,X,X,X,X,O
JIZOTLS,X,O,X,X,X,O,X
JIZOTSL,X,O,X,X,X,O,O
JIZOLTS,X,O,X,X,O,O,X
JIZOLST,X,O,X,X,O,X,O
JIZOSTL,X,O,X,X,X,O,O
JIZOSLT,X,O,X,X,X,X,O
JIOTLSZ,X,O,X,O,X,O,X
JIOTLZS,X,O,X,O,X,O,X
JIOTSLZ,X,O,X,O,X,O,X
JIOTSZL,X,O,X,O,X,O,O
JIOTZLS,X,O,X,X,X,O,X
JIOTZSL,X,O,X,O,X,O,O
JIOLTSZ,X,O,X,O,X,O,X
JIOLTZS,X,O,X,O,X,O,X
JIOLSTZ,X,O,X,O,X,X,X
JIOLSZT,X,O,X,O,O,X,X
JIOLZTS,X,O,X,O,O,O,X
JIOLZST,X,O,X,O,O,X,O
JIOSTLZ,X,O,X,O,X,X,X
JIOSTZL,X,O,X,O,X,X,O
JIOSLTZ,X,O,X,O,X,X,X
JIOSLZT,X,O,X,O,X,X,X
JIOSZTL,X,O,X,O,X,X,O
JIOSZLT,X,O,X,X,X,X,O
JIOZTLS,X,O,X,X,X,O,X
JIOZTSL,X,O,X,O,X,O,O
JIOZLTS,X,O,X,X,O,O,X
JIOZLST,X,O,X,X,O,X,O
JIOZSTL,X,O,X,O,X,O,O
JIOZSLT,X,O,X,X,X,X,O
JLTISZO,X,O,O,O,X,X,X
JLTISOZ,X,O,O,O,X,X,X
JLTIZSO,X,O,O,O,X,X,X
JLTIZOS,X,O,X,X,X,O,X
JLTIOSZ,X,O,O,O,X,O,X
JLTIOZS,X,O,X,O,X,O,X
JLTSIZO,X,O,O,O,X,X,X
JLTSIOZ,O,O,O,O,X,X,X
JLTSZIO,O,O,O,O,X,X,X
JLTSZOI,O,O,O,X,X,X,O
JLTSOIZ,O,O,O,O,X,X,X
JLTSOZI,O,O,O,O,X,X,O
JLTZISO,O,O,O,O,X,X,X
JLTZIOS,O,O,X,X,X,O,X
JLTZSIO,O,O,O,O,X,X,X
JLTZSOI,O,O,O,X,X,X,X
JLTZOIS,O,O,X,O,X,O,X
JLTZOSI,O,O,X,O,X,O,X
JLTOISZ,X,O,O,O,X,O,X
JLTOIZS,X,O,X,O,X,O,X
JLTOSIZ,O,O,O,O,X,O,X
JLTOSZI,O,O,O,O,X,O,O
JLTOZIS,O,O,X,O,X,O,X
JLTOZSI,O,O,X,O,X,O,X
JLITSZO,X,O,X,O,X,X,X
JLITSOZ,X,O,X,O,X,X,X
JLITZSO,X,O,X,O,X,X,X
JLITZOS,X,O,X,X,X,X,X
JLITOSZ,X,O,X,O,X,X,X
JLITOZS,X,O,X,O,X,X,X
JLISTZO,X,O,X,O,X,X,X
JLISTOZ,X,O,X,O,X,X,X
JLISZTO,X,O,X,O,X,X,X
JLISZOT,X,O,X,X,X,X,X
JLISOTZ,X,O,X,O,X,X,X
JLISOZT,X,O,X,X,X,X,X
JLIZTSO,X,O,X,O,X,X,X
JLIZTOS,X,O,X,X,X,X,X
JLIZSTO,X,O,X,O,X,X,X
JLIZSOT,X,O,X,X,X,X,X
JLIZOTS,X,O,X,X,X,X,X
JLIZOST,X,O,X,X,X,X,X
JLIOTSZ,X,O,X,O,X,X,X
JLIOTZS,X,O,X,O,X,X,X
JLIOSTZ,X,O,X,O,X,X,X
JLIOSZT,X,O,X,O,X,X,X
JLIOZTS,X,O,X,O,X,X,X
JLIOZST,X,O,X,O,X,X,X
JLSTIZO,X,O,O,O,X,X,X
JLSTIOZ,O,O,O,O,X,X,X
JLSTZIO,O,O,O,O,X,X,X
JLSTZOI,O,O,O,X,X,X,O
