sequence,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFicBuiBcjBX?gBzhBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBqiBTeBX?gB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFmcBSjBXgB0?hBziBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Je2AJvhFRcBCeBzhBX?jB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhF/hBRdBSjB2?nB0fBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jei7IvhFWjBRhB0fBz?hBXjBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFyhBGeBXgBz?iB0hBlsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhF2hBTeBXgBS?nB8sBFsB,v115@9gB8HeA8BeB8DeG8CeH8AeB8JeT7IvhFxhBOoB0fBl?hBCjB/sB,v115@9gB8HeA8BeB8DeG8CeH8AeB8Jex6IvhFTcBcjBXgBS?nB2sBlsB
TJOISLZ,X,X,X,O,O,X,O,X,O,X
TJOISZL,X,X,X,O,O,X,O,X,O,X
TJOIZLS,O,O,X,X,X,X,X,X,X,X
TJOIZSL,O,X,X,O,X,X,X,X,O,X
TJOLISZ,X,X,X,O,O,X,O,X,X,X
TJOLIZS,O,O,X,X,X,X,X,X,X,X
TJOLSIZ,O,O,X,O,O,X,O,X,X,X
TJOLSZI,O,O,X,O,O,X,O,X,X,X
TJOLZIS,O,O,X,X,X,X,X,X,X,X
TJOLZSI,O,O,X,X,O,X,O,X,X,X
TJOSILZ,O,O,X,O,O,X,O,X,O,X
TJOSIZL,O,O,X,O,O,X,O,X,O,X
TJOSLIZ,O,O,X,O,O,X,O,X,X,X
TJOSLZI,O,O,X,O,O,X,O,X,X,X
TJOSZIL,O,O,X,O,O,X,O,X,X,X
TJOSZLI,O,O,X,O,O,X,O,X,X,X
TJOZILS,O,O,X,X,X,X,X,X,X,X
TJOZISL,O,X,X,O,X,X,X,X,X,X
TJOZLIS,O,O,X,X,X,X,X,X,X,X
TJOZLSI,O,O,X,X,O,X,O,X,X,X
TJOZSIL,O,O,X,O,O,X,O,X,X,X
TJOZSLI,O,O,X,O,O,X,O,X,X,X
TSILJZO,O,O,O,X,O,O,X,X,X,X
TSILJOZ,O,O,X,O,O,O,O,X,X,X
TSILZJO,O,O,O,X,X,X,X,X,X,O
TSILZOJ,O,O,O,X,X,X,O,X,X,O
TSILOJZ,O,O,X,O,O,X,O,X,X,X
TSILOZJ,O,O,O,O,X,X,O,X,X,O
TSIJLZO,O,O,O,X,O,O,X,X,X,X
TSIJLOZ,O,O,X,O,O,O,O,X,X,X
TSIJZLO,O,O,O,X,O,X,X,O,X,X
TSIJZOL,O,O,O,X,O,X,O,O,X,X
TSIJOLZ,O,O,X,O,O,X,O,X,O,X
TSIJOZL,O,O,X,O,O,X,O,X,O,X
TSIZLJO,O,O,O,X,X,X,X,O,X,O
TSIZLOJ,O,O,O,X,X,X,O,O,X,O
TSIZJLO,O,O,O,X,X,X,X,O,X,X
TSIZJOL,O,O,O,X,X,X,O,O,X,X
TSIZOLJ,O,O,O,X,X,X,O,O,X,O
TSIZOJL,O,O,O,X,X,X,O,O,X,X
TSIOLJZ,O,O,X,O,O,X,O,X,X,X
TSIOLZJ,O,O,O,O,X,X,O,X,X,O
