sequence,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgBxcBXeBenBFm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFdBXeBxgBmlBzm?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFUdBFeBxgB3gBmm?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFcgB2hBXeBRmBFn?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhF1gB0cBXeBOnBxl?BTrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBTgBxhBmmB3m?BUrB,v115@+gA8GeC8EeG8CeG8BeD8Jei6IvhFFeBxgBXiBmlBzm?BUrB
LSIJTZO,O,X,X,X,O,X,O
LSIJTOZ,X,X,X,X,X,X,O
LSIJZTO,O,X,X,O,X,X,O
LSIJZOT,O,X,X,O,X,X,X
LSIJOTZ,X,O,X,X,X,X,O
LSIJOZT,X,O,X,X,X,X,X
LSIZTJO,O,X,X,X,O,X,O
LSIZTOJ,X,X,X,O,O,X,X
LSIZJTO,O,X,X,X,X,X,X
LSIZJOT,O,X,X,O,X,X,X
LSIZOTJ,X,X,X,O,X,X,X
LSIZOJT,O,X,X,O,X,X,X
LSIOTJZ,X,O,X,X,O,X,O
LSIOTZJ,X,O,X,X,O,X,X
LSIOJTZ,X,O,X,X,O,X,X
LSIOJZT,X,O,X,X,X,X,X
LSIOZTJ,X,O,X,O,O,X,X
LSIOZJT,X,X,X,O,X,X,X
LSJTIZO,O,X,O,X,X,X,O
LSJTIOZ,X,X,X,X,X,X,O
LSJTZIO,O,X,O,X,X,X,O
LSJTZOI,O,X,X,X,X,X,X
LSJTOIZ,X,O,X,X,X,X,O
LSJTOZI,X,O,X,X,X,X,X
LSJITZO,O,X,O,X,O,X,O
LSJITOZ,X,X,X,X,X,X,O
LSJIZTO,O,X,O,X,X,X,O
LSJIZOT,O,X,X,X,X,X,X
LSJIOTZ,X,O,X,X,X,X,O
LSJIOZT,X,O,X,X,X,X,X
LSJZTIO,O,X,O,X,X,X,O
LSJZTOI,O,X,X,X,X,X,X
LSJZITO,O,X,O,X,X,X,O
LSJZIOT,O,X,X,O,X,X,X
LSJZOTI,O,O,X,X,X,X,X
LSJZOIT,O,O,X,O,X,X,X
LSJOTIZ,X,O,X,X,X,X,O
LSJOTZI,X,O,X,X,X,X,X
LSJOITZ,X,O,X,X,O,X,O
LSJOIZT,X,O,X,X,X,X,X
LSJOZTI,O,O,X,X,X,X,X
LSJOZIT,O,O,X,O,X,X,X
LSZTIJO,O,X,X,X,X,X,O
LSZTIOJ,X,X,X,O,X,X,X
LSZTJIO,O,X,O,X,X,X,O
LSZTJOI,O,X,X,X,X,X,X
LSZTOIJ,X,O,X,O,X,X,X
LSZTOJI,X,O,O,X,X,X,X
LSZITJO,O,X,X,X,O,X,O
LSZITOJ,X,X,X,O,O,X,X
LSZIJTO,O,X,X,X,X,X,X
LSZIJOT,O,X,X,O,X,X,X
LSZIOTJ,X,X,X,O,X,X,X
LSZIOJT,O,X,X,O,X,X,X
LSZJTIO,O,X,O,X,X,X,O
LSZJTOI,O,X,X,X,X,X,X
LSZJITO,O,X,O,X,X,X,O
LSZJIOT,O,X,X,O,X,X,X
LSZJOTI,O,O,X,X,X,X,X
LSZJOIT,O,O,X,O,X,X,X
LSZOTIJ,X,O,X,O,X,X,X
LSZOTJI,X,O,O,X,X,X,X
LSZOITJ,X,O,X,O,O,X,X
LSZOIJT,O,X,X,O,X,X,X
LSZOJTI,O,O,O,X,X,X,X
LSZOJIT,O,O,O,O,X,X,X
LSOTIJZ,X,O,X,X,O,O,O
LSOTIZJ,X,O,X,X,O,X,X
LSOTJIZ,X,O,O,X,X,O,O
LSOTJZI,X,O,O,X,X,X,X
LSOTZIJ,X,O,X,O,X,X,X
LSOTZJI,X,O,O,X,X,X,X
LSOITJZ,X,O,X,X,O,O,O
LSOITZJ,X,O,X,X,O,X,X
LSOIJTZ,X,O,X,X,O,X,X
LSOIJZT,X,O,X,O,X,X,X
LSOIZTJ,X,O,X,O,O,X,X
LSOIZJT,X,X,X,O,X,X,X
LSOJTIZ,X,O,O,X,X,O,O
LSOJTZI,X,O,O,X,X,X,X
LSOJITZ,X,O,O,X,O,O,O
LSOJIZT,X,O,O,X,X,X,X
LSOJZTI,O,O,O,X,X,X,X
LSOJZIT,O,O,O,O,X,X,X
LSOZTIJ,X,O,X,O,X,X,X
LSOZTJI,X,O,O,X,X,X,X
LSOZITJ,X,O,X,O,O,X,X
LSOZIJT,O,X,X,O,X,X,X
LSOZJTI,O,O,O,X,X,X,X
LSOZJIT,O,O,O,O,X,X,X
LZTIJSO,O,X,O,X,X,X,X
LZTIJOS,O,X,O,X,X,X,X
LZTISJO,X,X,X,X,X,X,X
LZTISOJ,X,X,X,O,X,X,X
LZTIOJS,X,X,O,O,X,X,X
LZTIOSJ,X,X,X,O,X,X,X
LZTJISO,O,X,O,X,X,X,O
LZTJIOS,O,X,O,X,X,X,X
LZTJSIO,O,X,O,X,X,X,O
LZTJSOI,O,X,X,X,X,X,X
LZTJOIS,O,X,O,X,X,X,X
LZTJOSI,O,X,O,X,X,X,X
LZTSIJO,O,X,X,X,X,X,O
LZTSIOJ,X,X,X,O,X,X,X
LZTSJIO,O,X,O,X,X,X,O
LZTSJOI,O,X,X,X,X,X,X
LZTSOIJ,X,X,X,O,X,X,X
LZTSOJI,X,X,O,X,X,X,X
LZTOIJS,X,X,O,O,X,O,X
LZTOISJ,X,X,X,O,X,X,X
LZTOJIS,O,X,O,X,X,O,X
LZTOJSI,O,X,O,X,X,X,X
LZTOSIJ,X,X,X,O,X,X,X
LZTOSJI,X,X,O,X,X,X,X
LZITJSO,O,X,O,X,O,X,X
LZITJOS,O,X,O,X,X,X,X
LZITSJO,X,X,X,X,O,X,X
LZITSOJ,X,X,X,O,O,X,X
LZITOJS,X,X,O,O,X,X,X
LZITOSJ,X,X,X,O,O,X,X
LZIJTSO,O,X,O,X,X,X,X
LZIJTOS,O,X,O,X,X,X,X
LZIJSTO,O,X,O,X,X,X,X
LZIJSOT,O,X,X,O,X,X,X
LZIJOTS,X,X,O,O,X,X,X
LZIJOST,O,X,X,O,X,X,X
LZISTJO,O,X,X,X,O,X,X
LZISTOJ,X,X,X,O,O,X,X
LZISJTO,O,X,X,X,X,X,X
LZISJOT,O,X,X,O,X,X,X
LZISOTJ,X,X,X,O,X,X,X
LZISOJT,O,X,X,O,X,X,X
LZIOTJS,X,X,O,O,X,X,X
LZIOTSJ,X,X,X,O,X,X,X
LZIOJTS,X,X,O,O,X,X,X
LZIOJST,X,X,O,O,X,X,X
LZIOSTJ,X,X,X,O,X,X,X
LZIOSJT,X,X,X,O,X,X,X
LZJTISO,O,X,O,X,X,X,O
LZJTIOS,O,X,O,X,X,X,X
LZJTSIO,O,X,O,X,X,X,O
LZJTSOI,O,X,X,X,X,X,X
LZJTOIS,O,X,O,X,X,X,X
LZJTOSI,O,X,O,X,X,X,X
LZJITSO,O,X,O,X,X,X,O
LZJITOS,O,X,O,X,X,X,X
LZJISTO,O,X,O,X,X,X,O
LZJISOT,O,X,X,O,X,X,X
LZJIOTS,X,X,O,O,X,X,X
LZJIOST,O,X,X,O,X,X,X
LZJSTIO,O,X,O,X,X,X,O
LZJSTOI,O,X,X,X,X,X,X
LZJSITO,O,X,O,X,X,X,O
LZJSIOT,O,X,X,O,X,X,X
LZJSOTI,O,O,X,X,X,X,X
LZJSOIT,O,O,X,O,X,X,X
LZJOTIS,O,O,O,X,X,X,X
LZJOTSI,O,O,O,X,X,X,X
LZJOITS,X,O,O,O,X,X,X
LZJOIST,O,O,O,O,X,X,X
LZJOSTI,O,O,O,X,X,X,X
LZJOSIT,O,O,O,O,X,X,X
LZSTIJO,O,X,X,X,X,X,O
LZSTIOJ,X,X,X,O,X,X,X
LZSTJIO,O,X,O,X,X,X,O
LZSTJOI,O,X,X,X,X,X,X
LZSTOIJ,X,O,X,O,X,X,X
LZSTOJI,X,O,O,X,X,X,X
LZSITJO,O,X,X,X,O,X,O
LZSITOJ,X,X,X,O,O,X,X
LZSIJTO,O,X,X,X,X,X,X
LZSIJOT,O,X,X,O,X,X,X
LZSIOTJ,X,X,X,O,X,X,X
LZSIOJT,O,X,X,O,X,X,X
LZSJTIO,O,X,O,X,X,X,O
LZSJTOI,O,X,X,X,X,X,X
LZSJITO,O,X,O,X,X,X,O
LZSJIOT,O,X,X,O,X,X,X
LZSJOTI,O,O,X,X,X,X,X
LZSJOIT,O,O,X,O,X,X,X
LZSOTIJ,X,O,X,O,X,X,X
LZSOTJI,X,O,O,X,X,X,X
LZSOITJ,X,O,X,O,O,X,X
LZSOIJT,O,X,X,O,X,X,X
LZSOJTI,O,O,O,X,X,X,X
LZSOJIT,O,O,O,O,X,X,X
LZOTIJS,X,X,O,O,X,O,X
LZOTISJ,X,O,X,O,X,X,X
LZOTJIS,O,O,O,X,X,O,X
LZOTJSI,O,O,O,X,X,X,X
LZOTSIJ,X,O,X,O,X,X,X
LZOTSJI,X,O,O,X,X,X,X
LZOITJS,X,X,O,O,O,O,X
LZOITSJ,X,O,X,O,O,X,X
LZOIJTS,X,X,O,O,X,X,X
LZOIJST,X,X,O,O,X,X,X
LZOISTJ,X,O,X,O,O,X,X
LZOISJT,X,X,X,O,X,X,X
LZOJTIS,O,O,O,X,X,O,X
LZOJTSI,O,O,O,X,X,X,X
LZOJITS,X,O,O,O,X,O,X
LZOJIST,O,O,O,O,X,X,X
LZOJSTI,O,O,O,X,X,X,X
LZOJSIT,O,O,O,O,X,X,X
LZOSTIJ,X,O,X,O,X,X,X
LZOSTJI,X,O,O,X,X,X,X
LZOSITJ,X,O,X,O,O,X,X
LZOSIJT,O,X,X,O,X,X,X
LZOSJTI,O,O,O,X,X,X,X
LZOSJIT,O,O,O,O,X,X,X
LOTIJSZ,X,O,O,X,O,O,X
LOTIJZS,X,O,O,X,O,O,X
LOTISJZ,X,O,X,X,O,O,X
LOTISZJ,X,O,X,X,O,X,X
LOTIZJS,X,X,O,X,O,O,X
LOTIZSJ,X,O,X,X,O,X,X
LOTJISZ,X,O,O,X,X,O,O
LOTJIZS,X,O,O,X,X,O,X
LOTJSIZ,X,O,O,X,X,O,O
LOTJSZI,X,O,O,X,X,X,X
LOTJZIS,X,O,O,X,X,O,X
LOTJZSI,X,O,O,X,X,X,X
LOTSIJZ,X,O,X,X,O,O,O
LOTSIZJ,X,O,X,X,O,X,X
LOTSJIZ,X,O,O,X,X,O,O
LOTSJZI,X,O,O,X,X,X,X
LOTSZIJ,X,O,X,O,X,X,X
LOTSZJI,X,O,O,X,X,X,X
LOTZIJS,X,X,O,O,X,O,X
LOTZISJ,X,O,X,O,X,X,X
LOTZJIS,X,O,O,X,X,O,X
LOTZJSI,X,O,O,X,X,X,X
LOTZSIJ,X,O,X,O,X,X,X
LOTZSJI,X,O,O,X,X,X,X
LOITJSZ,X,O,O,X,O,O,X
LOITJZS,X,O,O,X,O,O,X
LOITSJZ,X,O,X,X,O,O,X
LOITSZJ,X,O,X,X,O,X,X
LOITZJS,X,X,O,X,O,O,X
LOITZSJ,X,O,X,X,O,X,X
LOIJTSZ,X,O,O,X,O,O,X
LOIJTZS,X,O,O,X,O,O,X
LOIJSTZ,X,O,O,X,O,O,X
LOIJSZT,X,O,O,O,X,X,X
LOIJZTS,X,O,O,O,X,O,X
LOIJZST,X,O,O,O,X,X,X
LOISTJZ,X,O,X,X,O,O,X
LOISTZJ,X,O,X,X,O,X,X
LOISJTZ,X,O,X,X,O,X,X
LOISJZT,X,O,X,O,X,X,X
LOISZTJ,X,O,X,O,O,X,X
LOISZJT,X,X,X,O,X,X,X
LOIZTJS,X,X,O,O,O,O,X
LOIZTSJ,X,O,X,O,O,X,X
LOIZJTS,X,X,O,O,X,X,X
LOIZJST,X,X,O,O,X,X,X
LOIZSTJ,X,O,X,O,O,X,X
LOIZSJT,X,X,X,O,X,X,X
LOJTISZ,X,O,O,X,X,O,O
LOJTIZS,X,O,O,X,X,O,X
LOJTSIZ,X,O,O,X,X,O,O
LOJTSZI,X,O,O,X,X,X,X
LOJTZIS,X,O,O,X,X,O,X
LOJTZSI,X,O,O,X,X,X,X
LOJITSZ,X,O,O,X,O,O,O
LOJITZS,X,O,O,X,O,O,X
LOJISTZ,X,O,O,X,O,O,O
LOJISZT,X,O,O,X,X,X,X
LOJIZTS,X,O,O,X,X,O,X
LOJIZST,X,O,O,X,X,X,X
LOJSTIZ,X,O,O,X,X,O,O
LOJSTZI,X,O,O,X,X,X,X
LOJSITZ,X,O,O,X,O,O,O
LOJSIZT,X,O,O,X,X,X,X
LOJSZTI,O,O,O,X,X,X,X
LOJSZIT,O,O,O,O,X,X,X
LOJZTIS,O,O,O,X,X,O,X
LOJZTSI,O,O,O,X,X,X,X
LOJZITS,X,O,O,O,X,O,X
LOJZIST,O,O,O,O,X,X,X
LOJZSTI,O,O,O,X,X,X,X
LOJZSIT,O,O,O,O,X,X,X
LOSTIJZ,X,O,X,X,O,O,O
LOSTIZJ,X,O,X,X,O,X,X
LOSTJIZ,X,O,O,X,X,O,O
LOSTJZI,X,O,O,X,X,X,X
LOSTZIJ,X,O,X,O,X,X,X
LOSTZJI,X,O,O,X,X,X,X
LOSITJZ,X,O,X,X,O,O,O
LOSITZJ,X,O,X,X,O,X,X
LOSIJTZ,X,O,X,X,O,X,X
LOSIJZT,X,O,X,O,X,X,X
LOSIZTJ,X,O,X,O,O,X,X
LOSIZJT,X,X,X,O,X,X,X
LOSJTIZ,X,O,O,X,X,O,O
LOSJTZI,X,O,O,X,X,X,X
LOSJITZ,X,O,O,X,O,O,O
LOSJIZT,X,O,O,X,X,X,X
LOSJZTI,O,O,O,X,X,X,X
LOSJZIT,O,O,O,O,X,X,X
LOSZTIJ,X,O,X,O,X,X,X
LOSZTJI,X,O,O,X,X,X,X
LOSZITJ,X,O,X,O,O,X,X
LOSZIJT,O,X,X,O,X,X,X
LOSZJTI,O,O,O,X,X,X,X
LOSZJIT,O,O,O,O,X,X,X
LOZTIJS,X,X,O,O,X,O,X
LOZTISJ,X,O,X,O,X,X,X
LOZTJIS,O,O,O,X,X,O,X
LOZTJSI,O,O,O,X,X,X,X
LOZTSIJ,X,O,X,O,X,X,X
LOZTSJI,X,O,O,X,X,X,X
LOZITJS,X,X,O,O,O,O,X
LOZITSJ,X,O,X,O,O,X,X
LOZIJTS,X,X,O,O,X,X,X
LOZIJST,X,X,O,O,X,X,X
LOZISTJ,X,O,X,O,O,X,X
LOZISJT,X,X,X,O,X,X,X
LOZJTIS,O,O,O,X,X,O,X
LOZJTSI,O,O,O,X,X,X,X
LOZJITS,X,O,O,O,X,O,X
LOZJIST,O,O,O,O,X,X,X
LOZJSTI,O,O,O,X,X,X,X
LOZJSIT,O,O,O,O,X,X,X
LOZSTIJ,X,O,X,O,X,X,X
LOZSTJI,X,O,O,X,X,X,X
LOZSITJ,X,O,X,O,O,X,X
LOZSIJT,O,X,X,O,X,X,X
LOZSJTI,O,O,O,X,X,X,X
LOZSJIT,O,O,O,O,X,X,X
JTILSZO,O,X,O,X,X,X,O
JTILSOZ,X,X,X,X,X,X,O
JTILZSO,O,X,O,X,X,X,O
JTILZOS,O,X,O,X,X,X,X
JTILOSZ,X,X,X,X,X,O,O
JTILOZS,X,X,O,X,X,O,X
JTISLZO,O,X,O,X,X,X,O
JTISLOZ,X,X,X,X,X,X,O
JTISZLO,O,X,O,X,X,X,O
JTISZOL,O,X,X,X,X,X,X
JTISOLZ,X,X,X,X,X,O,O
JTISOZL,O,X,X,X,X,X,X
JTIZLSO,O,X,O,X,X,X,O
JTIZLOS,O,X,O,X,X,X,X
JTIZSLO,O,X,O,X,X,X,O
JTIZSOL,O,X,X,X,X,X,X
JTIZOLS,O,X,O,X,X,O,X
JTIZOSL,O,X,X,X,X,X,X
JTIOLSZ,X,X,X,X,X,O,O
JTIOLZS,X,X,O,X,X,O,X
JTIOSLZ,X,X,X,X,X,O,O
JTIOSZL,O,X,X,X,X,X,X
JTIOZLS,O,X,O,X,X,O,X
JTIOZSL,O,X,X,X,X,X,X
JTLISZO,O,X,O,X,X,X,O
JTLISOZ,X,X,X,X,X,X,O
JTLIZSO,O,X,O,X,X,X,O
JTLIZOS,O,X,O,X,X,X,X
JTLIOSZ,X,X,X,X,X,O,O
JTLIOZS,X,X,O,X,X,O,X
JTLSIZO,O,X,O,X,X,X,O
JTLSIOZ,X,X,X,X,X,X,O
JTLSZIO,O,X,O,X,X,X,O
JTLSZOI,O,X,X,X,X,X,X
JTLSOIZ,X,O,X,X,X,X,O
JTLSOZI,X,O,X,X,X,X,X
JTLZISO,O,X,O,X,X,X,O
JTLZIOS,O,X,O,X,X,X,X
JTLZSIO,O,X,O,X,X,X,O
JTLZSOI,O,X,X,X,X,X,X
JTLZOIS,O,X,O,X,X,X,X
JTLZOSI,O,X,O,X,X,X,X
JTLOISZ,X,O,O,X,X,O,O
JTLOIZS,X,O,O,X,X,O,X
JTLOSIZ,X,O,O,X,X,O,O
JTLOSZI,X,O,O,X,X,X,X
JTLOZIS,X,O,O,X,X,O,X
JTLOZSI,X,O,O,X,X,X,X
JTSILZO,O,X,O,X,X,X,O
JTSILOZ,X,X,X,X,X,X,O
JTSIZLO,O,X,O,X,X,X,O
JTSIZOL,O,X,X,X,X,X,X
JTSIOLZ,X,X,X,X,X,O,O
JTSIOZL,O,X,X,X,X,X,X
JTSLIZO,O,X,O,X,X,X,O
JTSLIOZ,X,X,X,X,X,X,O
JTSLZIO,O,X,O,X,X,X,O
JTSLZOI,O,X,X,X,X,X,X
JTSLOIZ,X,O,X,X,X,X,O
JTSLOZI,X,O,X,X,X,X,X
JTSZILO,O,X,O,X,X,X,O
JTSZIOL,O,X,X,X,X,X,X
JTSZLIO,O,X,O,X,X,X,O
JTSZLOI,O,X,X,X,X,X,X
JTSZOIL,O,X,X,X,X,X,X
JTSZOLI,O,X,X,X,X,X,X
JTSOILZ,X,O,X,X,X,O,O
JTSOIZL,O,O,X,X,X,X,X
JTSOLIZ,X,O,X,X,X,O,O
JTSOLZI,X,O,X,X,X,X,X
JTSOZIL,O,O,X,X,X,X,X
JTSOZLI,O,O,X,X,X,X,X
JTZILSO,O,X,O,X,X,X,O
JTZILOS,O,X,O,X,X,X,X
JTZISLO,O,X,O,X,X,X,O
JTZISOL,O,X,X,X,X,X,X
JTZIOLS,O,X,O,X,X,O,X
JTZIOSL,O,X,X,X,X,X,X
JTZLISO,O,X,O,X,X,X,O
JTZLIOS,O,X,O,X,X,X,X
JTZLSIO,O,X,O,X,X,X,O
JTZLSOI,O,X,X,X,X,X,X
JTZLOIS,O,X,O,X,X,X,X
JTZLOSI,O,X,O,X,X,X,X
JTZSILO,O,X,O,X,X,X,O
JTZSIOL,O,X,X,X,X,X,X
JTZSLIO,O,X,O,X,X,X,O
JTZSLOI,O,X,X,X,X,X,X
JTZSOIL,O,X,X,X,X,X,X
JTZSOLI,O,X,X,X,X,X,X
JTZOILS,O,X,O,X,X,O,X
JTZOISL,O,X,O,X,X,X,X
JTZOLIS,O,X,O,X,X,O,X
JTZOLSI,O,X,O,X,X,X,X
JTZOSIL,O,X,O,X,X,X,X
JTZOSLI,O,X,O,X,X,X,X
JTOILSZ,X,O,O,X,X,O,O
JTOILZS,X,O,O,X,X,O,X
JTOISLZ,X,O,O,X,X,O,O
JTOISZL,O,O,O,X,X,X,X
JTOIZLS,O,O,O,X,X,O,X
JTOIZSL,O,O,O,X,X,X,X
JTOLISZ,X,O,O,X,X,O,O
JTOLIZS,X,O,O,X,X,O,X
JTOLSIZ,X,O,O,X,X,O,O
JTOLSZI,X,O,O,X,X,X,X
JTOLZIS,X,O,O,X,X,O,X
JTOLZSI,X,O,O,X,X,X,X
JTOSILZ,X,O,O,X,X,O,O
JTOSIZL,O,O,O,X,X,X,X
JTOSLIZ,X,O,O,X,X,O,O
JTOSLZI,X,O,O,X,X,X,X
JTOSZIL,O,O,O,X,X,X,X
JTOSZLI,O,O,O,X,X,X,X
JTOZILS,O,O,O,X,X,O,X
JTOZISL,O,O,O,X,X,X,X
JTOZLIS,O,O,O,X,X,O,X
JTOZLSI,O,O,O,X,X,X,X
JTOZSIL,O,O,O,X,X,X,X
JTOZSLI,O,O,O,X,X,X,X
JITLSZO,O,X,O,X,O,X,O
JITLSOZ,X,X,X,X,X,X,O
JITLZSO,O,X,O,X,O,X,O
JITLZOS,O,X,O,X,X,X,X
JITLOSZ,X,X,X,X,X,O,O
JITLOZS,X,X,O,X,X,O,X
JITSLZO,O,X,O,X,O,X,O
JITSLOZ,X,X,X,X,X,X,O
JITSZLO,O,X,O,O,O,X,O
JITSZOL,O,X,X,X,X,X,X
JITSOLZ,X,X,X,X,X,O,O
JITSOZL,O,X,X,X,X,X,X
JITZLSO,O,X,O,O,O,X,O
JITZLOS,O,X,O,X,X,X,X
JITZSLO,O,X,O,O,O,X,O
JITZSOL,O,X,X,X,X,X,X
JITZOLS,O,X,O,X,X,O,X
JITZOSL,O,X,X,X,X,X,X
JITOLSZ,X,X,X,X,X,O,O
JITOLZS,X,X,O,X,X,O,X
JITOSLZ,X,X,X,X,X,O,O
JITOSZL,O,X,X,X,X,X,X
JITOZLS,O,X,O,X,X,O,X
JITOZSL,O,X,X,X,X,X,X
JILTSZO,O,X,O,X,O,X,O
JILTSOZ,X,X,X,X,X,X,O
JILTZSO,O,X,O,X,O,X,O
JILTZOS,O,X,O,X,X,X,X
JILTOSZ,X,X,X,X,X,O,O
JILTOZS,X,X,O,X,X,O,X
JILSTZO,O,X,O,X,O,X,O
JILSTOZ,X,X,X,X,X,X,O
JILSZTO,O,X,O,O,X,X,O
JILSZOT,O,X,X,O,X,X,X
JILSOTZ,X,O,X,X,X,X,O
JILSOZT,X,O,X,X,X,X,X
JILZTSO,O,X,O,O,X,X,O
JILZTOS,O,X,O,X,X,X,X
JILZSTO,O,X,O,O,X,X,O
JILZSOT,O,X,X,O,X,X,X
JILZOTS,X,X,O,X,X,X,X
JILZOST,O,X,X,O,X,X,X
JILOTSZ,X,O,X,X,X,O,O
JILOTZS,X,O,O,X,X,O,X
JILOSTZ,X,O,X,X,X,O,O
JILOSZT,X,O,X,X,X,X,X
JILOZTS,X,O,O,X,X,O,X
JILOZST,X,O,X,X,X,X,X
JISTLZO,O,X,O,X,O,X,O
JISTLOZ,X,X,X,X,X,X,O
JISTZLO,O,X,O,O,O,X,O
JISTZOL,O,X,X,X,X,X,X
JISTOLZ,X,X,X,X,X,O,O
JISTOZL,O,X,X,X,X,X,X
JISLTZO,O,X,O,X,O,X,O
JISLTOZ,X,X,X,X,X,X,O
JISLZTO,O,X,O,O,X,X,O
JISLZOT,O,X,X,O,X,X,X
JISLOTZ,X,O,X,X,X,X,O
JISLOZT,X,O,X,X,X,X,X
JISZTLO,O,X,O,O,X,X,O
JISZTOL,O,X,X,X,X,X,X
JISZLTO,O,X,O,O,X,X,O
JISZLOT,O,X,X,O,X,X,X
JISZOTL,X,X,X,O,X,X,X
JISZOLT,O,X,X,O,X,X,X
JISOTLZ,X,O,X,X,X,O,O
JISOTZL,O,O,X,X,X,X,X
JISOLTZ,X,O,X,X,X,O,O
JISOLZT,X,O,X,X,X,X,X
JISOZTL,X,O,X,X,X,X,X
JISOZLT,O,O,X,O,X,X,X
JIZTLSO,O,X,O,O,X,X,O
JIZTLOS,O,X,O,X,X,X,X
JIZTSLO,O,X,O,O,X,X,O
JIZTSOL,O,X,X,X,X,X,X
JIZTOLS,O,X,O,X,X,O,X
JIZTOSL,O,X,X,X,X,X,X
JIZLTSO,O,X,O,O,X,X,O
JIZLTOS,O,X,O,X,X,X,X
JIZLSTO,O,X,O,O,X,X,O
JIZLSOT,O,X,X,O,X,X,X
JIZLOTS,X,X,O,O,X,X,X
JIZLOST,O,X,X,O,X,X,X
JIZSTLO,O,X,O,O,X,X,O
JIZSTOL,O,X,X,X,X,X,X
JIZSLTO,O,X,O,O,X,X,O
JIZSLOT,O,X,X,O,X,X,X
JIZSOTL,X,X,X,O,X,X,X
JIZSOLT,O,X,X,O,X,X,X
JIZOTLS,X,X,O,O,X,O,X
JIZOTSL,X,X,X,O,X,X,X
JIZOLTS,X,X,O,O,X,O,X
JIZOLST,O,X,X,O,X,X,X
JIZOSTL,X,X,X,O,X,X,X
JIZOSLT,O,X,X,O,X,X,X
JIOTLSZ,X,O,X,X,X,O,O
JIOTLZS,X,O,O,X,X,O,X
JIOTSLZ,X,O,X,X,X,O,O
JIOTSZL,O,O,X,X,X,X,X
JIOTZLS,O,O,O,X,X,O,X
JIOTZSL,O,O,X,X,X,X,X
JIOLTSZ,X,O,X,X,X,O,O
JIOLTZS,X,O,O,X,X,O,X
JIOLSTZ,X,O,X,X,X,O,O
JIOLSZT,X,O,X,X,X,X,X
JIOLZTS,X,O,O,X,X,O,X
JIOLZST,X,O,X,X,X,X,X
JIOSTLZ,X,O,X,X,X,O,O
JIOSTZL,O,O,X,X,X,X,X
JIOSLTZ,X,O,X,X,X,O,O
JIOSLZT,X,O,X,X,X,X,X
JIOSZTL,X,O,X,X,X,X,X
JIOSZLT,O,O,X,O,X,X,X
JIOZTLS,X,O,O,X,X,O,X
JIOZTSL,X,O,X,X,X,X,X
JIOZLTS,X,O,O,X,X,O,X
JIOZLST,O,O,X,O,X,X,X
JIOZSTL,X,O,X,X,X,X,X
JIOZSLT,O,O,X,O,X,X,X
JLTISZO,O,X,O,X,X,X,O
JLTISOZ,X,X,X,X,X,X,O
JLTIZSO,O,X,O,X,X,X,O
JLTIZOS,O,X,O,X,X,X,X
JLTIOSZ,X,X,X,X,X,O,O
JLTIOZS,X,X,O,X,X,O,X
JLTSIZO,O,X,O,X,X,X,O
JLTSIOZ,X,X,X,X,X,X,O
JLTSZIO,O,X,O,X,X,X,O
JLTSZOI,O,X,X,X,X,X,X
JLTSOIZ,X,O,X,X,X,X,O
JLTSOZI,X,O,X,X,X,X,X
JLTZISO,O,X,O,X,X,X,O
JLTZIOS,O,X,O,X,X,X,X
JLTZSIO,O,X,O,X,X,X,O
JLTZSOI,O,X,X,X,X,X,X
JLTZOIS,O,X,O,X,X,X,X
JLTZOSI,O,X,O,X,X,X,X
JLTOISZ,X,O,O,X,X,O,O
JLTOIZS,X,O,O,X,X,O,X
JLTOSIZ,X,O,O,X,X,O,O
JLTOSZI,X,O,O,X,X,X,X
JLTOZIS,X,O,O,X,X,O,X
JLTOZSI,X,O,O,X,X,X,X
JLITSZO,O,X,O,X,O,X,O
JLITSOZ,X,X,X,X,X,X,O
JLITZSO,O,X,O,X,O,X,O
JLITZOS,O,X,O,X,X,X,X
JLITOSZ,X,X,X,X,X,O,O
JLITOZS,X,X,O,X,X,O,X
JLISTZO,O,X,O,X,O,X,O
JLISTOZ,X,X,X,X,X,X,O
JLISZTO,O,X,O,X,X,X,O
JLISZOT,O,X,X,X,X,X,X
JLISOTZ,X,O,X,X,X,X,O
JLISOZT,X,O,X,X,X,X,X
JLIZTSO,O,X,O,X,X,X,O
JLIZTOS,O,X,O,X,X,X,X
JLIZSTO,O,X,O,X,X,X,O
JLIZSOT,O,X,X,X,X,X,X
JLIZOTS,X,X,O,X,X,X,X
JLIZOST,O,X,X,X,X,X,X
JLIOTSZ,X,O,X,X,X,O,O
JLIOTZS,X,O,O,X,X,O,X
JLIOSTZ,X,O,X,X,X,O,O
JLIOSZT,X,O,X,X,X,X,X
JLIOZTS,X,O,O,X,X,O,X
JLIOZST,X,O,X,X,X,X,X
JLSTIZO,O,X,O,X,X,X,O
JLSTIOZ,X,X,X,X,X,X,O
JLSTZIO,O,X,O,X,X,X,O
JLSTZOI,O,X,X,X,X,X,X
