sequence,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8Jei6IvhFGcBTdB?5jB3fBllBUrB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBzbB?SiB5jBllB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhF8fBTdB?5jBllBfrB6rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeO/IvhFlbBSiB?5jBzfB8lB3rB,v115@7gA8IeA8FeD8AeC8AeE8AeD8BeD8JeT6IvhFlbBGdB?5jBykB8lB3rB
ZIJLOST,X,X,X,O,O
ZIJSTLO,X,O,O,X,O
ZIJSTOL,X,O,O,X,X
ZIJSLTO,X,O,X,X,O
ZIJSLOT,O,X,X,X,O
ZIJSOTL,X,X,O,X,X
ZIJSOLT,O,X,X,X,X
ZIJOTLS,X,O,O,O,O
ZIJOTSL,O,O,O,O,X
ZIJOLTS,X,O,O,O,O
ZIJOLST,X,X,X,O,O
ZIJOSTL,X,X,O,O,X
ZIJOSLT,O,X,X,O,X
ZISTLJO,O,O,X,X,O
ZISTLOJ,O,O,X,O,O
ZISTJLO,O,O,O,X,O
ZISTJOL,O,O,O,X,X
ZISTOLJ,O,O,X,O,X
ZISTOJL,O,O,O,O,X
ZISLTJO,O,O,X,X,O
ZISLTOJ,O,O,X,O,O
ZISLJTO,X,O,X,X,O
ZISLJOT,O,X,X,X,O
ZISLOTJ,O,X,X,O,O
ZISLOJT,O,X,X,O,O
ZISJTLO,X,O,O,X,O
ZISJTOL,X,O,O,X,X
ZISJLTO,X,O,X,X,O
ZISJLOT,O,X,X,X,O
ZISJOTL,X,X,O,X,X
ZISJOLT,O,X,X,X,X
ZISOTLJ,O,X,X,O,X
ZISOTJL,O,X,O,O,X
ZISOLTJ,O,X,X,O,X
ZISOLJT,O,X,X,O,X
ZISOJTL,X,X,O,O,X
ZISOJLT,O,X,X,O,X
ZIOTLJS,X,O,O,O,O
ZIOTLSJ,X,O,X,O,O
ZIOTJLS,X,O,O,O,O
ZIOTJSL,O,O,O,O,X
ZIOTSLJ,O,O,X,O,X
ZIOTSJL,O,O,O,O,X
ZIOLTJS,X,O,O,O,O
ZIOLTSJ,X,O,X,O,O
ZIOLJTS,X,O,O,O,O
ZIOLJST,X,X,X,O,O
ZIOLSTJ,X,X,X,O,O
ZIOLSJT,X,X,X,O,O
ZIOJTLS,X,O,O,O,O
ZIOJTSL,O,O,O,O,X
ZIOJLTS,X,O,O,O,O
ZIOJLST,X,X,X,O,O
ZIOJSTL,X,X,O,O,X
ZIOJSLT,O,X,X,O,X
ZIOSTLJ,O,X,X,O,X
ZIOSTJL,O,X,O,O,X
ZIOSLTJ,O,X,X,O,X
ZIOSLJT,O,X,X,O,X
ZIOSJTL,X,X,O,O,X
ZIOSJLT,O,X,X,O,X
ZLTIJSO,X,O,O,X,O
ZLTIJOS,X,O,O,O,O
ZLTISJO,X,O,X,X,O
ZLTISOJ,X,O,X,O,O
ZLTIOJS,X,O,O,O,O
ZLTIOSJ,X,O,X,O,O
ZLTJISO,X,O,O,X,O
ZLTJIOS,X,O,O,O,O
ZLTJSIO,X,O,X,X,O
ZLTJSOI,X,O,X,X,O
ZLTJOIS,X,O,O,O,O
ZLTJOSI,X,O,X,O,O
ZLTSIJO,X,O,X,X,O
ZLTSIOJ,X,O,X,O,O
ZLTSJIO,X,O,X,X,O
ZLTSJOI,X,O,X,X,O
ZLTSOIJ,X,O,X,O,O
ZLTSOJI,X,O,X,O,O
ZLTOIJS,X,O,O,O,O
ZLTOISJ,X,O,X,O,O
ZLTOJIS,X,O,O,O,O
ZLTOJSI,X,O,X,O,O
ZLTOSIJ,X,O,X,O,O
ZLTOSJI,X,O,X,O,O
ZLITJSO,X,O,O,X,O
ZLITJOS,X,O,O,O,O
ZLITSJO,X,O,X,X,O
ZLITSOJ,X,O,X,O,O
ZLITOJS,X,O,O,O,O
ZLITOSJ,X,O,X,O,O
ZLIJTSO,X,O,O,X,O
ZLIJTOS,X,O,O,O,O
ZLIJSTO,X,O,X,X,O
ZLIJSOT,X,X,X,X,O
ZLIJOTS,X,O,O,O,O
ZLIJOST,X,X,X,O,O
ZLISTJO,X,O,X,X,O
ZLISTOJ,X,O,X,O,O
ZLISJTO,X,O,X,X,O
ZLISJOT,X,X,X,X,O
ZLISOTJ,X,X,X,O,O
ZLISOJT,X,X,X,O,O
ZLIOTJS,X,O,O,O,O
ZLIOTSJ,X,O,X,O,O
ZLIOJTS,X,O,O,O,O
ZLIOJST,X,X,X,O,O
ZLIOSTJ,X,X,X,O,O
ZLIOSJT,X,X,X,O,O
ZLJTISO,X,O,O,X,O
ZLJTIOS,X,O,O,O,O
ZLJTSIO,X,O,X,X,O
ZLJTSOI,X,O,X,X,O
ZLJTOIS,X,O,O,O,O
ZLJTOSI,X,O,X,O,O
ZLJITSO,X,O,O,X,O
ZLJITOS,X,O,O,O,O
ZLJISTO,X,O,X,X,O
ZLJISOT,X,X,X,X,O
ZLJIOTS,X,O,O,O,O
ZLJIOST,X,X,X,O,O
ZLJSTIO,X,O,X,X,O
ZLJSTOI,X,O,X,X,O
ZLJSITO,X,O,X,X,O
ZLJSIOT,X,X,X,X,O
ZLJSOTI,X,X,X,X,O
ZLJSOIT,X,X,X,X,O
ZLJOTIS,X,O,O,O,O
ZLJOTSI,X,O,X,O,O
ZLJOITS,X,O,O,O,O
ZLJOIST,X,X,X,O,O
ZLJOSTI,X,X,X,O,O
ZLJOSIT,X,X,X,O,O
ZLSTIJO,X,O,X,X,O
ZLSTIOJ,X,O,X,O,O
ZLSTJIO,X,O,X,X,O
ZLSTJOI,X,O,X,X,O
ZLSTOIJ,X,O,X,O,O
ZLSTOJI,X,O,X,O,O
ZLSITJO,X,O,X,X,O
ZLSITOJ,X,O,X,O,O
ZLSIJTO,X,O,X,X,O
ZLSIJOT,X,X,X,X,O
ZLSIOTJ,X,X,X,O,O
ZLSIOJT,X,X,X,O,O
ZLSJTIO,X,O,X,X,O
ZLSJTOI,X,O,X,X,O
ZLSJITO,X,O,X,X,O
ZLSJIOT,X,X,X,X,O
ZLSJOTI,X,X,X,X,O
ZLSJOIT,X,X,X,X,O
ZLSOTIJ,X,X,X,O,O
ZLSOTJI,X,X,X,O,O
ZLSOITJ,X,X,X,O,O
ZLSOIJT,X,X,X,O,O
ZLSOJTI,X,X,X,O,O
ZLSOJIT,X,X,X,O,O
ZLOTIJS,X,O,O,O,O
ZLOTISJ,X,O,X,O,O
ZLOTJIS,X,O,O,O,O
ZLOTJSI,X,O,X,O,O
ZLOTSIJ,X,O,X,O,O
ZLOTSJI,X,O,X,O,O
ZLOITJS,X,O,O,O,O
ZLOITSJ,X,O,X,O,O
ZLOIJTS,X,O,O,O,O
ZLOIJST,X,X,X,O,O
ZLOISTJ,X,X,X,O,O
ZLOISJT,X,X,X,O,O
ZLOJTIS,X,O,O,O,O
ZLOJTSI,X,O,X,O,O
ZLOJITS,X,O,O,O,O
ZLOJIST,X,X,X,O,O
ZLOJSTI,X,X,X,O,O
ZLOJSIT,X,X,X,O,O
ZLOSTIJ,X,X,X,O,O
ZLOSTJI,X,X,X,O,O
ZLOSITJ,X,X,X,O,O
ZLOSIJT,X,X,X,O,O
ZLOSJTI,X,X,X,O,O
ZLOSJIT,X,X,X,O,O
ZJTILSO,X,O,O,X,O
ZJTILOS,X,O,O,O,O
ZJTISLO,O,O,O,X,O
ZJTISOL,O,O,O,X,X
ZJTIOLS,X,O,O,O,O
ZJTIOSL,O,O,O,O,X
ZJTLISO,X,O,O,X,O
ZJTLIOS,X,O,O,O,O
ZJTLSIO,X,O,X,X,O
ZJTLSOI,X,O,X,X,O
ZJTLOIS,X,O,O,O,O
ZJTLOSI,X,O,X,O,O
ZJTSILO,O,O,O,X,O
ZJTSIOL,O,O,O,X,X
ZJTSLIO,O,O,X,X,O
ZJTSLOI,O,O,X,X,O
ZJTSOIL,O,O,O,X,X
ZJTSOLI,O,O,X,X,X
ZJTOILS,X,O,O,O,O
ZJTOISL,O,O,O,O,X
ZJTOLIS,X,O,O,O,O
ZJTOLSI,X,O,X,O,O
ZJTOSIL,O,O,O,O,X
ZJTOSLI,O,O,X,O,X
ZJITLSO,X,O,O,X,O
ZJITLOS,X,O,O,O,O
ZJITSLO,O,O,O,X,O
ZJITSOL,O,O,O,X,X
ZJITOLS,X,O,O,O,O
ZJITOSL,O,O,O,O,X
ZJILTSO,X,O,O,X,O
ZJILTOS,X,O,O,O,O
ZJILSTO,X,O,X,X,O
ZJILSOT,X,X,X,X,O
ZJILOTS,X,O,O,O,O
ZJILOST,X,X,X,O,O
ZJISTLO,X,O,O,X,O
ZJISTOL,X,O,O,X,X
ZJISLTO,X,O,X,X,O
ZJISLOT,O,X,X,X,O
ZJISOTL,X,X,O,X,X
ZJISOLT,O,X,X,X,X
ZJIOTLS,X,O,O,O,O
ZJIOTSL,O,O,O,O,X
ZJIOLTS,X,O,O,O,O
ZJIOLST,X,X,X,O,O
ZJIOSTL,X,X,O,O,X
ZJIOSLT,O,X,X,O,X
ZJLTISO,X,O,O,X,O
ZJLTIOS,X,O,O,O,O
ZJLTSIO,X,O,X,X,O
ZJLTSOI,X,O,X,X,O
ZJLTOIS,X,O,O,O,O
ZJLTOSI,X,O,X,O,O
ZJLITSO,X,O,O,X,O
ZJLITOS,X,O,O,O,O
ZJLISTO,X,O,X,X,O
ZJLISOT,X,X,X,X,O
ZJLIOTS,X,O,O,O,O
ZJLIOST,X,X,X,O,O
ZJLSTIO,X,O,X,X,O
ZJLSTOI,X,O,X,X,O
ZJLSITO,X,O,X,X,O
ZJLSIOT,X,X,X,X,O
ZJLSOTI,X,X,X,X,O
ZJLSOIT,X,X,X,X,O
ZJLOTIS,X,O,O,O,O
ZJLOTSI,X,O,X,O,O
ZJLOITS,X,O,O,O,O
ZJLOIST,X,X,X,O,O
ZJLOSTI,X,X,X,O,O
ZJLOSIT,X,X,X,O,O
ZJSTILO,X,O,O,X,O
ZJSTIOL,X,O,O,X,X
ZJSTLIO,X,O,X,X,O
ZJSTLOI,X,O,X,X,O
ZJSTOIL,X,O,O,X,X
ZJSTOLI,X,O,X,X,X
ZJSITLO,X,O,O,X,O
ZJSITOL,X,O,O,X,X
ZJSILTO,X,O,X,X,O
ZJSILOT,O,X,X,X,O
ZJSIOTL,X,X,O,X,X
ZJSIOLT,O,X,X,X,X
ZJSLTIO,X,O,X,X,O
ZJSLTOI,X,O,X,X,O
ZJSLITO,X,O,X,X,O
ZJSLIOT,O,X,X,X,O
ZJSLOTI,X,X,X,X,O
ZJSLOIT,O,X,X,X,O
ZJSOTIL,X,X,O,X,X
ZJSOTLI,X,X,X,X,X
ZJSOITL,X,X,O,X,X
ZJSOILT,O,X,X,X,X
ZJSOLTI,X,X,X,X,X
ZJSOLIT,O,X,X,X,X
ZJOTILS,X,O,O,O,O
ZJOTISL,O,O,O,O,X
ZJOTLIS,X,O,O,O,O
ZJOTLSI,X,O,X,O,O
ZJOTSIL,O,O,O,O,X
ZJOTSLI,O,O,X,O,X
ZJOITLS,X,O,O,O,O
ZJOITSL,O,O,O,O,X
ZJOILTS,X,O,O,O,O
ZJOILST,X,X,X,O,O
ZJOISTL,X,X,O,O,X
ZJOISLT,O,X,X,O,X
ZJOLTIS,X,O,O,O,O
ZJOLTSI,X,O,X,O,O
ZJOLITS,X,O,O,O,O
ZJOLIST,X,X,X,O,O
ZJOLSTI,X,X,X,O,O
ZJOLSIT,X,X,X,O,O
ZJOSTIL,X,X,O,O,X
ZJOSTLI,X,X,X,O,X
ZJOSITL,X,X,O,O,X
ZJOSILT,O,X,X,O,X
ZJOSLTI,X,X,X,O,X
ZJOSLIT,O,X,X,O,X
ZSTILJO,O,O,X,X,O
ZSTILOJ,O,O,X,O,O
ZSTIJLO,O,O,O,X,O
ZSTIJOL,O,O,O,X,X
ZSTIOLJ,O,O,X,O,X
ZSTIOJL,O,O,O,O,X
ZSTLIJO,O,O,X,X,O
ZSTLIOJ,O,O,X,O,O
ZSTLJIO,O,O,X,X,O
ZSTLJOI,O,O,X,X,O
ZSTLOIJ,O,O,X,O,O
ZSTLOJI,O,O,X,O,O
ZSTJILO,O,O,O,X,O
ZSTJIOL,O,O,O,X,X
ZSTJLIO,O,O,X,X,O
ZSTJLOI,O,O,X,X,O
ZSTJOIL,O,O,O,X,X
ZSTJOLI,O,O,X,X,X
ZSTOILJ,O,O,X,O,X
ZSTOIJL,O,O,O,O,X
ZSTOLIJ,O,O,X,O,X
ZSTOLJI,O,O,X,O,X
ZSTOJIL,O,O,O,O,X
ZSTOJLI,O,O,X,O,X
ZSITLJO,O,O,X,X,O
ZSITLOJ,O,O,X,O,O
ZSITJLO,O,O,O,X,O
ZSITJOL,O,O,O,X,X
ZSITOLJ,O,O,X,O,X
ZSITOJL,O,O,O,O,X
ZSILTJO,O,O,X,X,O
ZSILTOJ,O,O,X,O,O
ZSILJTO,X,O,X,X,O
ZSILJOT,O,X,X,X,O
ZSILOTJ,O,X,X,O,O
ZSILOJT,O,X,X,O,O
ZSIJTLO,X,O,O,X,O
ZSIJTOL,X,O,O,X,X
ZSIJLTO,X,O,X,X,O
ZSIJLOT,O,X,X,X,O
ZSIJOTL,X,X,O,X,X
ZSIJOLT,O,X,X,X,X
ZSIOTLJ,O,X,X,O,X
ZSIOTJL,O,X,O,O,X
ZSIOLTJ,O,X,X,O,X
ZSIOLJT,O,X,X,O,X
ZSIOJTL,X,X,O,O,X
ZSIOJLT,O,X,X,O,X
ZSLTIJO,O,O,X,X,O
ZSLTIOJ,O,O,X,O,O
ZSLTJIO,O,O,X,X,O
ZSLTJOI,O,O,X,X,O
ZSLTOIJ,O,O,X,O,O
ZSLTOJI,O,O,X,O,O
ZSLITJO,O,O,X,X,O
ZSLITOJ,O,O,X,O,O
ZSLIJTO,X,O,X,X,O
ZSLIJOT,O,X,X,X,O
ZSLIOTJ,O,X,X,O,O
ZSLIOJT,O,X,X,O,O
ZSLJTIO,X,O,X,X,O
ZSLJTOI,X,O,X,X,O
ZSLJITO,X,O,X,X,O
ZSLJIOT,O,X,X,X,O
ZSLJOTI,X,X,X,X,O
ZSLJOIT,O,X,X,X,O
ZSLOTIJ,O,X,X,O,O
ZSLOTJI,O,X,X,O,O
ZSLOITJ,O,X,X,O,O
ZSLOIJT,O,X,X,O,O
ZSLOJTI,X,X,X,O,O
ZSLOJIT,O,X,X,O,O
ZSJTILO,X,O,O,X,O
ZSJTIOL,X,O,O,X,X
ZSJTLIO,X,O,X,X,O
ZSJTLOI,X,O,X,X,O
ZSJTOIL,X,O,O,X,X
ZSJTOLI,X,O,X,X,X
ZSJITLO,X,O,O,X,O
ZSJITOL,X,O,O,X,X
ZSJILTO,X,O,X,X,O
ZSJILOT,O,X,X,X,O
ZSJIOTL,X,X,O,X,X
ZSJIOLT,O,X,X,X,X
ZSJLTIO,X,O,X,X,O
ZSJLTOI,X,O,X,X,O
ZSJLITO,X,O,X,X,O
ZSJLIOT,O,X,X,X,O
ZSJLOTI,X,X,X,X,O
ZSJLOIT,O,X,X,X,O
ZSJOTIL,X,X,O,X,X
ZSJOTLI,X,X,X,X,X
ZSJOITL,X,X,O,X,X
ZSJOILT,O,X,X,X,X
ZSJOLTI,X,X,X,X,X
ZSJOLIT,O,X,X,X,X
ZSOTILJ,O,X,X,O,X
ZSOTIJL,O,X,O,O,X
ZSOTLIJ,O,X,X,O,X
ZSOTLJI,O,X,X,O,X
ZSOTJIL,O,X,O,O,X
ZSOTJLI,O,X,X,O,X
ZSOITLJ,O,X,X,O,X
ZSOITJL,O,X,O,O,X
ZSOILTJ,O,X,X,O,X
ZSOILJT,O,X,X,O,X
ZSOIJTL,X,X,O,O,X
ZSOIJLT,O,X,X,O,X
ZSOLTIJ,O,X,X,O,X
ZSOLTJI,O,X,X,O,X
ZSOLITJ,O,X,X,O,X
ZSOLIJT,O,X,X,O,X
ZSOLJTI,X,X,X,O,X
ZSOLJIT,O,X,X,O,X
ZSOJTIL,X,X,O,O,X
ZSOJTLI,X,X,X,O,X
ZSOJITL,X,X,O,O,X
ZSOJILT,O,X,X,O,X
ZSOJLTI,X,X,X,O,X
ZSOJLIT,O,X,X,O,X
ZOTILJS,X,O,O,O,O
ZOTILSJ,X,O,X,O,O
ZOTIJLS,X,O,O,O,O
ZOTIJSL,O,O,O,O,X
ZOTISLJ,O,O,X,O,X
ZOTISJL,O,O,O,O,X
ZOTLIJS,X,O,O,O,O
ZOTLISJ,X,O,X,O,O
ZOTLJIS,X,O,O,O,O
ZOTLJSI,X,O,X,O,O
ZOTLSIJ,X,O,X,O,O
ZOTLSJI,X,O,X,O,O
ZOTJILS,X,O,O,O,O
ZOTJISL,O,O,O,O,X
ZOTJLIS,X,O,O,O,O
ZOTJLSI,X,O,X,O,O
ZOTJSIL,O,O,O,O,X
ZOTJSLI,O,O,X,O,X
ZOTSILJ,O,O,X,O,X
ZOTSIJL,O,O,O,O,X
ZOTSLIJ,O,O,X,O,X
ZOTSLJI,O,O,X,O,X
ZOTSJIL,O,O,O,O,X
ZOTSJLI,O,O,X,O,X
ZOITLJS,X,O,O,O,O
ZOITLSJ,X,O,X,O,O
ZOITJLS,X,O,O,O,O
ZOITJSL,O,O,O,O,X
ZOITSLJ,O,O,X,O,X
ZOITSJL,O,O,O,O,X
ZOILTJS,X,O,O,O,O
ZOILTSJ,X,O,X,O,O
ZOILJTS,X,O,O,O,O
ZOILJST,X,X,X,O,O
ZOILSTJ,X,X,X,O,O
ZOILSJT,X,X,X,O,O
ZOIJTLS,X,O,O,O,O
ZOIJTSL,O,O,O,O,X
ZOIJLTS,X,O,O,O,O
ZOIJLST,X,X,X,O,O
ZOIJSTL,X,X,O,O,X
ZOIJSLT,O,X,X,O,X
ZOISTLJ,O,X,X,O,X
ZOISTJL,O,X,O,O,X
ZOISLTJ,O,X,X,O,X
ZOISLJT,O,X,X,O,X
ZOISJTL,X,X,O,O,X
ZOISJLT,O,X,X,O,X
ZOLTIJS,X,O,O,O,O
ZOLTISJ,X,O,X,O,O
ZOLTJIS,X,O,O,O,O
ZOLTJSI,X,O,X,O,O
ZOLTSIJ,X,O,X,O,O
ZOLTSJI,X,O,X,O,O
ZOLITJS,X,O,O,O,O
ZOLITSJ,X,O,X,O,O
ZOLIJTS,X,O,O,O,O
ZOLIJST,X,X,X,O,O
ZOLISTJ,X,X,X,O,O
ZOLISJT,X,X,X,O,O
ZOLJTIS,X,O,O,O,O
ZOLJTSI,X,O,X,O,O
ZOLJITS,X,O,O,O,O
ZOLJIST,X,X,X,O,O
ZOLJSTI,X,X,X,O,O
ZOLJSIT,X,X,X,O,O
ZOLSTIJ,X,X,X,O,O
ZOLSTJI,X,X,X,O,O
ZOLSITJ,X,X,X,O,O
ZOLSIJT,X,X,X,O,O
ZOLSJTI,X,X,X,O,O
ZOLSJIT,X,X,X,O,O
ZOJTILS,X,O,O,O,O
ZOJTISL,O,O,O,O,X
ZOJTLIS,X,O,O,O,O
ZOJTLSI,X,O,X,O,O
ZOJTSIL,O,O,O,O,X
ZOJTSLI,O,O,X,O,X
ZOJITLS,X,O,O,O,O
ZOJITSL,O,O,O,O,X
ZOJILTS,X,O,O,O,O
ZOJILST,X,X,X,O,O
ZOJISTL,X,X,O,O,X
ZOJISLT,O,X,X,O,X
ZOJLTIS,X,O,O,O,O
ZOJLTSI,X,O,X,O,O
ZOJLITS,X,O,O,O,O
ZOJLIST,X,X,X,O,O
ZOJLSTI,X,X,X,O,O
ZOJLSIT,X,X,X,O,O
ZOJSTIL,X,X,O,O,X
ZOJSTLI,X,X,X,O,X
ZOJSITL,X,X,O,O,X
ZOJSILT,O,X,X,O,X
ZOJSLTI,X,X,X,O,X
ZOJSLIT,O,X,X,O,X
ZOSTILJ,O,X,X,O,X
ZOSTIJL,O,X,O,O,X
ZOSTLIJ,O,X,X,O,X
ZOSTLJI,O,X,X,O,X
ZOSTJIL,O,X,O,O,X
ZOSTJLI,O,X,X,O,X
ZOSITLJ,O,X,X,O,X
ZOSITJL,O,X,O,O,X
ZOSILTJ,O,X,X,O,X
ZOSILJT,O,X,X,O,X
ZOSIJTL,X,X,O,O,X
ZOSIJLT,O,X,X,O,X
ZOSLTIJ,O,X,X,O,X
ZOSLTJI,O,X,X,O,X
ZOSLITJ,O,X,X,O,X
ZOSLIJT,O,X,X,O,X
ZOSLJTI,X,X,X,O,X
ZOSLJIT,O,X,X,O,X
ZOSJTIL,X,X,O,O,X
ZOSJTLI,X,X,X,O,X
ZOSJITL,X,X,O,O,X
ZOSJILT,O,X,X,O,X
ZOSJLTI,X,X,X,O,X
ZOSJLIT,O,X,X,O,X
OTILJSZ,O,X,X,X,X
OTILJZS,X,O,X,O,X
OTILSJZ,O,X,X,X,X
OTILSZJ,O,O,X,X,X
OTILZJS,X,O,O,O,X
OTILZSJ,X,O,X,O,X
OTIJLSZ,O,X,X,X,X
OTIJLZS,X,O,X,O,X
OTIJSLZ,O,X,X,X,X
OTIJSZL,O,X,X,X,X
OTIJZLS,X,O,O,O,X
OTIJZSL,O,O,O,O,X
OTISLJZ,O,X,X,X,X
OTISLZJ,O,O,X,X,X
OTISJLZ,O,X,X,X,X
OTISJZL,O,X,X,X,X
OTISZLJ,O,O,X,X,X
OTISZJL,O,O,O,X,X
OTIZLJS,X,O,O,O,X
OTIZLSJ,X,O,X,O,X
OTIZJLS,X,O,O,O,X
OTIZJSL,O,O,O,O,X
OTIZSLJ,O,O,X,O,X
OTIZSJL,O,O,O,O,X
OTLIJSZ,O,X,X,X,X
OTLIJZS,X,O,X,O,X
OTLISJZ,O,X,X,X,X
OTLISZJ,O,O,X,X,X
OTLIZJS,X,O,O,O,X
OTLIZSJ,X,O,X,O,X
OTLJISZ,O,X,X,X,X
OTLJIZS,X,O,X,O,X
OTLJSIZ,O,X,X,X,X
OTLJSZI,O,X,X,X,X
OTLJZIS,X,O,X,O,X
OTLJZSI,X,O,X,O,X
OTLSIJZ,O,X,X,X,X
OTLSIZJ,O,O,X,X,X
OTLSJIZ,O,X,X,X,X
OTLSJZI,O,X,X,X,X
OTLSZIJ,O,O,X,X,X
OTLSZJI,O,O,X,X,X
OTLZIJS,X,O,O,O,X
OTLZISJ,X,O,X,O,X
OTLZJIS,X,O,O,O,X
OTLZJSI,X,O,X,O,X
OTLZSIJ,X,O,X,O,X
OTLZSJI,X,O,X,O,X
OTJILSZ,O,X,X,X,X
OTJILZS,X,O,X,O,X
OTJISLZ,O,X,X,X,X
OTJISZL,O,X,X,X,X
OTJIZLS,X,O,O,O,X
OTJIZSL,O,O,O,O,X
OTJLISZ,O,X,X,X,X
OTJLIZS,X,O,X,O,X
OTJLSIZ,O,X,X,X,X
OTJLSZI,O,X,X,X,X
OTJLZIS,X,O,X,O,X
OTJLZSI,X,O,X,O,X
OTJSILZ,O,X,X,X,X
OTJSIZL,O,X,X,X,X
OTJSLIZ,O,X,X,X,X
OTJSLZI,O,X,X,X,X
OTJSZIL,O,X,X,X,X
OTJSZLI,O,X,X,X,X
OTJZILS,X,O,O,O,X
OTJZISL,O,O,O,O,X
OTJZLIS,X,O,O,O,X
OTJZLSI,X,O,X,O,X
OTJZSIL,O,O,O,O,X
OTJZSLI,O,O,X,O,X
OTSILJZ,O,X,X,X,X
OTSILZJ,O,O,X,X,X
OTSIJLZ,O,X,X,X,X
OTSIJZL,O,X,X,X,X
OTSIZLJ,O,O,X,X,X
OTSIZJL,O,O,O,X,X
OTSLIJZ,O,X,X,X,X
OTSLIZJ,O,O,X,X,X
OTSLJIZ,O,X,X,X,X
OTSLJZI,O,X,X,X,X
OTSLZIJ,O,O,X,X,X
OTSLZJI,O,O,X,X,X
OTSJILZ,O,X,X,X,X
OTSJIZL,O,X,X,X,X
OTSJLIZ,O,X,X,X,X
OTSJLZI,O,X,X,X,X
OTSJZIL,O,X,X,X,X
OTSJZLI,O,X,X,X,X
OTSZILJ,O,O,X,X,X
OTSZIJL,O,O,O,X,X
OTSZLIJ,O,O,X,X,X
OTSZLJI,O,O,X,X,X
OTSZJIL,O,O,O,X,X
OTSZJLI,O,O,X,X,X
OTZILJS,X,O,O,O,X
OTZILSJ,X,O,X,O,X
OTZIJLS,X,O,O,O,X
OTZIJSL,O,O,O,O,X
OTZISLJ,O,O,X,O,X
OTZISJL,O,O,O,O,X
OTZLIJS,X,O,O,O,X
OTZLISJ,X,O,X,O,X
OTZLJIS,X,O,O,O,X
OTZLJSI,X,O,X,O,X
OTZLSIJ,X,O,X,O,X
OTZLSJI,X,O,X,O,X
OTZJILS,X,O,O,O,X
OTZJISL,O,O,O,O,X
OTZJLIS,X,O,O,O,X
OTZJLSI,X,O,X,O,X
OTZJSIL,O,O,O,O,X
OTZJSLI,O,O,X,O,X
OTZSILJ,O,O,X,O,X
OTZSIJL,O,O,O,O,X
OTZSLIJ,O,O,X,O,X
OTZSLJI,O,O,X,O,X
OTZSJIL,O,O,O,O,X
OTZSJLI,O,O,X,O,X
OITLJSZ,O,X,X,X,X
OITLJZS,X,O,X,O,X
OITLSJZ,O,X,X,X,X
OITLSZJ,O,O,X,X,X
OITLZJS,X,O,O,O,X
OITLZSJ,X,O,X,O,X
OITJLSZ,O,X,X,X,X
OITJLZS,X,O,X,O,X
OITJSLZ,O,X,X,X,X
OITJSZL,O,X,X,X,X
OITJZLS,X,O,O,O,X
OITJZSL,O,O,O,O,X
OITSLJZ,O,X,X,X,X
OITSLZJ,O,O,X,X,X
OITSJLZ,O,X,X,X,X
OITSJZL,O,X,X,X,X
OITSZLJ,O,O,X,X,X
OITSZJL,O,O,O,X,X
OITZLJS,X,O,O,O,X
OITZLSJ,X,O,X,O,X
OITZJLS,X,O,O,O,X
OITZJSL,O,O,O,O,X
OITZSLJ,O,O,X,O,X
OITZSJL,O,O,O,O,X
OILTJSZ,O,X,X,X,X
OILTJZS,X,O,X,O,O
OILTSJZ,O,X,X,X,X
OILTSZJ,O,O,X,X,X
OILTZJS,X,O,O,O,O
OILTZSJ,X,O,X,O,O
OILJTSZ,O,X,X,X,X
OILJTZS,X,X,X,O,O
OILJSTZ,O,X,X,X,X
OILJSZT,O,X,X,O,O
OILJZTS,X,O,O,O,O
OILJZST,X,X,X,O,O
OILSTJZ,O,X,X,X,X
OILSTZJ,O,X,X,X,X
OILSJTZ,O,X,X,X,X
OILSJZT,O,X,X,O,O
OILSZTJ,O,X,X,O,O
OILSZJT,O,X,X,O,O
OILZTJS,X,O,O,O,O
OILZTSJ,X,O,X,O,O
OILZJTS,X,O,O,O,O
OILZJST,X,X,X,O,O
OILZSTJ,X,X,X,O,O
OILZSJT,X,X,X,O,O
OIJTLSZ,O,X,X,X,X
OIJTLZS,X,X,X,O,X
OIJTSLZ,O,X,X,X,X
OIJTSZL,O,X,X,X,X
OIJTZLS,X,X,O,O,X
OIJTZSL,O,X,O,O,X
OIJLTSZ,O,X,X,X,X
OIJLTZS,X,X,X,O,O
OIJLSTZ,O,X,X,X,X
OIJLSZT,O,X,X,O,O
OIJLZTS,X,O,O,O,O
OIJLZST,X,X,X,O,O
OIJSTLZ,O,X,X,X,X
OIJSTZL,O,X,X,X,X
OIJSLTZ,O,X,X,X,X
OIJSLZT,O,X,X,O,X
OIJSZTL,X,X,O,O,X
OIJSZLT,O,X,X,O,X
OIJZTLS,X,O,O,O,O
OIJZTSL,O,O,O,O,X
OIJZLTS,X,O,O,O,O
OIJZLST,X,X,X,O,O
OIJZSTL,X,X,O,O,X
OIJZSLT,O,X,X,O,X
OISTLJZ,O,X,X,X,X
OISTLZJ,O,X,X,X,X
OISTJLZ,O,X,X,X,X
OISTJZL,O,X,X,X,X
OISTZLJ,O,X,X,X,X
OISTZJL,O,X,O,X,X
