sequence,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFzaBWhBXeBC?lB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBmfBChBT?kB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkB8kBz?gBqmBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBlgBq?mBzkB8qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBKkBzfBW?mB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeO/IvhFXeBUgBThB1?pBRrB6qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhFOkBxgB6kBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhF6kBxgBOkBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFqfBTbBXeBF?mB0mBGqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBzkBF?mB6qB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jei6IvhFXeBzfB2pBF?mB5lB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBlgBqmBm?kB8qBTpB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jem6IvhFXeBTfBypBF?mB5lB0rB
IJOTZSL,X,X,X,X,X,O,X,X,X,O,X,X,X
IJOLTSZ,X,X,X,O,X,X,X,X,O,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,X,O,X,X,X,X
IJOLSTZ,X,X,X,O,X,X,X,X,O,O,X,X,X
IJOLSZT,X,X,X,O,X,X,X,X,O,X,X,X,X
IJOLZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOLZST,X,X,X,O,X,X,X,X,O,X,X,X,X
IJOSTLZ,X,X,X,O,X,O,X,X,O,O,X,X,X
IJOSTZL,X,X,X,O,X,O,X,X,X,O,X,X,X
IJOSLTZ,X,X,X,O,X,X,X,X,O,O,X,X,X
IJOSLZT,X,X,O,O,X,X,X,X,O,X,X,X,X
IJOSZTL,X,X,O,O,X,X,X,X,X,O,X,X,X
IJOSZLT,X,X,O,O,X,X,X,X,X,X,X,X,X
IJOZTLS,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZTSL,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOZLTS,X,X,X,X,X,X,X,X,X,X,X,X,X
IJOZLST,X,X,X,O,X,X,X,X,X,X,X,X,X
IJOZSTL,X,X,X,O,X,X,X,X,X,O,X,X,X
IJOZSLT,X,X,X,O,X,X,X,X,X,X,X,X,X
ISTLJZO,O,O,X,X,O,X,X,X,O,X,X,X,X
ISTLJOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
ISTLZJO,O,O,O,X,O,X,X,X,X,X,X,X,X
ISTLZOJ,O,O,O,X,O,X,X,X,X,X,X,X,X
ISTLOJZ,O,O,O,X,O,O,X,X,X,X,X,X,O
ISTLOZJ,O,O,O,X,O,O,X,X,X,X,X,X,O
ISTJLZO,O,O,X,X,O,X,X,X,O,X,X,X,X
ISTJLOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
ISTJZLO,X,O,X,X,O,X,X,X,O,X,X,X,X
ISTJZOL,X,X,X,X,X,O,X,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,O,O,X,X,O,X,O,X,X
ISTJOZL,X,X,X,X,X,O,X,X,X,X,O,X,X
ISTZLJO,O,X,O,X,X,X,X,X,X,X,X,X,X
ISTZLOJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ISTZJLO,O,X,O,X,X,X,X,X,O,X,X,X,X
ISTZJOL,O,X,O,X,X,O,X,X,X,X,X,X,X
ISTZOLJ,O,X,O,X,X,O,X,X,X,X,X,X,X
ISTZOJL,O,X,O,X,X,O,X,X,X,X,X,X,X
ISTOLJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
ISTOJLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ISTOJZL,X,O,X,X,X,O,X,X,X,O,X,X,X
ISTOZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
ISTOZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
ISLTJZO,O,X,X,X,O,X,X,X,O,X,X,X,X
ISLTJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X
ISLTZJO,O,X,O,X,O,X,X,X,X,X,X,X,X
ISLTZOJ,O,X,O,X,O,X,X,X,X,X,X,X,X
ISLTOJZ,O,X,O,X,O,O,X,X,X,X,X,X,O
ISLTOZJ,O,X,O,X,O,O,X,X,X,X,X,X,O
ISLJTZO,X,X,O,O,O,X,X,X,O,X,X,X,X
ISLJTOZ,O,X,X,O,O,X,X,X,O,X,X,X,X
ISLJZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
ISLJZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
ISLJOTZ,O,X,X,O,O,X,X,X,O,X,X,X,X
ISLJOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
ISLZTJO,O,X,O,O,O,X,X,O,X,X,X,O,X
ISLZTOJ,O,X,O,O,O,X,X,O,X,X,X,O,X
ISLZJTO,O,X,O,O,X,X,X,O,X,X,X,O,X
ISLZJOT,O,X,O,O,X,X,X,O,X,X,X,X,X
ISLZOTJ,O,X,O,O,O,X,X,O,X,X,X,X,X
ISLZOJT,O,X,O,O,X,X,X,O,X,X,X,X,X
ISLOTJZ,O,X,X,X,O,O,X,X,X,X,X,X,O
ISLOTZJ,X,X,X,X,O,O,X,X,X,X,X,X,O
ISLOJTZ,O,X,X,O,O,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,O,O,X,X,X,X,X,X,X,X
ISLOZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISJTLZO,O,X,O,O,X,X,X,X,O,X,X,X,X
ISJTLOZ,O,X,X,O,X,O,X,X,O,X,X,X,X
ISJTZLO,X,X,O,O,X,X,X,X,O,X,X,X,X
ISJTZOL,X,X,O,X,X,O,X,X,X,X,X,X,X
ISJTOLZ,X,X,X,O,X,O,X,X,O,O,O,X,X
ISJTOZL,X,X,X,O,X,O,X,X,X,O,O,X,X
ISJLTZO,X,X,O,O,X,X,X,X,O,X,X,X,X
ISJLTOZ,O,X,X,O,X,X,X,X,O,X,X,X,X
ISJLZTO,O,X,O,O,X,X,X,X,O,X,X,O,X
ISJLZOT,O,X,O,O,X,X,X,X,O,X,X,X,X
ISJLOTZ,O,X,X,O,X,X,X,X,O,O,X,X,X
ISJLOZT,O,X,O,O,X,X,X,X,O,X,X,X,X
ISJZTLO,O,X,O,O,X,X,O,X,O,X,X,X,X
ISJZTOL,O,X,O,X,X,X,O,X,X,X,X,X,X
ISJZLTO,O,X,O,O,X,X,O,X,O,X,X,X,X
ISJZLOT,O,X,O,O,X,X,O,X,O,X,X,X,X
ISJZOTL,O,X,O,O,X,X,O,X,X,O,X,X,X
ISJZOLT,O,X,O,O,X,X,O,X,X,X,X,X,X
ISJOTLZ,X,X,X,O,X,O,X,X,O,O,X,X,X
ISJOTZL,X,X,X,O,X,O,X,X,X,O,X,X,X
ISJOLTZ,X,X,X,O,X,X,X,X,O,O,X,X,X
ISJOLZT,X,X,O,O,X,X,X,X,O,X,X,X,X
ISJOZTL,X,X,O,O,X,X,X,X,X,O,X,X,X
ISJOZLT,X,X,O,O,X,X,X,X,X,X,X,X,X
ISZTLJO,O,O,O,X,X,X,O,O,X,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X,O,X,X,X,X,X
ISZTJLO,O,O,O,X,X,X,O,O,O,X,X,X,X
ISZTJOL,O,O,O,X,X,O,O,X,X,X,X,X,X
ISZTOLJ,O,O,O,X,X,O,X,O,X,X,X,X,X
ISZTOJL,O,O,O,X,X,O,O,X,X,X,X,X,X
ISZLTJO,O,X,O,X,X,X,O,O,X,X,X,X,X
ISZLTOJ,O,O,O,X,X,X,X,O,X,X,X,X,X
ISZLJTO,O,X,O,X,X,X,O,O,X,X,X,X,X
ISZLJOT,O,O,O,X,X,X,O,O,X,X,X,X,X
ISZLOTJ,O,O,O,X,X,X,X,O,X,X,X,X,X
ISZLOJT,O,O,O,X,X,X,X,O,X,X,X,X,X
ISZJTLO,O,X,O,O,X,X,O,O,O,X,X,X,X
ISZJTOL,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZJLTO,O,X,O,O,X,X,O,O,O,X,X,X,X
ISZJLOT,O,X,O,O,X,X,O,O,O,X,X,X,X
ISZJOTL,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZJOLT,O,X,O,O,X,X,O,X,X,X,X,X,X
ISZOTLJ,O,O,O,X,X,O,X,O,X,X,X,X,X
ISZOTJL,O,O,O,X,X,O,O,X,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,X,O,X,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X,O,X,X,X,X,X
ISZOJTL,O,O,O,O,X,X,O,X,X,X,X,X,X
ISZOJLT,O,O,O,O,X,X,O,X,X,X,X,X,X
ISOTLJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
ISOTJLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
ISOTJZL,X,O,X,X,X,O,X,X,X,O,X,X,X
ISOTZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOTZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,X,O,X,X,X,X,X,X,X
ISOLTZJ,X,X,X,X,X,O,X,X,X,X,X,X,X
ISOLJTZ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOLJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,X,O,X,O,X,O,X,X,O,O,X,X,X
ISOJTZL,X,O,X,O,X,O,X,X,X,O,X,X,X
ISOJLTZ,X,O,X,O,X,X,X,X,O,O,X,X,X
ISOJLZT,X,O,X,O,X,X,X,X,O,X,X,X,X
ISOJZTL,X,O,X,O,X,X,X,X,X,O,X,X,X
ISOJZLT,X,O,X,O,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,O,X,X,X,X,X,X,X
ISOZTJL,O,O,X,X,X,O,X,X,X,X,X,X,X
ISOZLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOZLJT,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOZJTL,O,O,X,O,X,X,X,X,X,X,X,X,X
ISOZJLT,O,O,X,O,X,X,X,X,X,X,X,X,X
IZTLJSO,O,O,X,X,X,X,O,O,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X,X,X,X,X,X,X,X
IZTLSJO,O,O,X,X,X,X,O,O,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X,O,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X,X,X,X,X,X,X,X
IZTLOSJ,O,O,X,X,X,X,X,O,X,X,X,X,X
IZTJLSO,O,O,X,X,X,X,O,O,O,X,X,X,X
IZTJLOS,O,O,X,X,X,X,X,X,O,X,X,X,X
IZTJSLO,O,O,X,X,X,X,O,O,O,X,X,X,X
IZTJSOL,O,O,X,X,X,O,O,X,X,X,X,X,X
IZTJOLS,O,X,X,X,X,O,X,X,X,X,X,X,X
IZTJOSL,O,O,X,X,X,O,O,X,X,X,X,X,X
IZTSLJO,O,O,O,X,X,X,O,O,X,X,X,X,X
IZTSLOJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZTSJLO,O,O,O,X,X,X,O,O,O,X,X,X,X
IZTSJOL,O,O,O,X,X,O,O,X,X,X,X,X,X
IZTSOLJ,O,O,O,X,X,O,X,O,X,X,X,X,X
IZTSOJL,O,O,O,X,X,O,O,X,X,X,X,X,X
IZTOLJS,O,O,X,X,X,O,X,X,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,O,X,O,X,X,X,X,X
IZTOJLS,O,O,X,X,X,O,X,X,X,X,X,X,X
IZTOJSL,O,O,X,X,X,O,O,X,X,X,X,X,X
IZTOSLJ,O,O,X,X,X,O,X,O,X,X,X,X,X
IZTOSJL,O,O,X,X,X,O,O,X,X,X,X,X,X
IZLTJSO,O,X,X,X,X,X,O,O,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLTSJO,O,X,O,X,X,X,O,O,X,X,X,X,X
IZLTSOJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZLTOJS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X
IZLJTSO,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLJSTO,O,X,O,X,X,X,O,O,X,X,X,X,X
IZLJSOT,O,O,O,X,X,X,O,O,X,X,X,X,X
IZLJOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLJOST,O,X,O,X,X,X,X,X,X,X,X,X,X
IZLSTJO,O,X,O,X,X,X,O,O,X,X,X,X,X
IZLSTOJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZLSJTO,O,X,O,X,X,X,O,O,X,X,X,X,X
IZLSJOT,O,O,O,X,X,X,O,O,X,X,X,X,X
IZLSOTJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZLSOJT,O,O,O,X,X,X,X,O,X,X,X,X,X
IZLOTJS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLOJTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,O,X,X,X,X,X,X,X,X,X,X,X
IZLOSTJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZLOSJT,O,O,O,X,X,X,X,O,X,X,X,X,X
IZJTLSO,O,X,X,X,X,X,O,O,O,X,X,X,X
IZJTLOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJTSLO,O,X,O,O,X,X,O,O,O,X,X,X,X
IZJTSOL,O,X,O,X,X,X,O,X,X,X,X,X,X
IZJTOLS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,X,X,X,X,X,O,X,X,X,X,X,X
IZJLTSO,O,X,O,X,X,X,X,X,O,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,O,X,X,X,X
IZJLSTO,O,X,O,O,X,X,O,O,O,X,X,X,X
IZJLSOT,O,X,O,O,X,X,O,O,O,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,X,O,X,X,X,X,X,O,X,X,X,X
IZJSTLO,O,X,O,O,X,X,O,O,O,X,X,X,X
IZJSTOL,O,X,O,X,X,X,O,X,X,X,X,X,X
IZJSLTO,O,X,O,O,X,X,O,O,O,X,X,X,X
IZJSLOT,O,X,O,O,X,X,O,O,O,X,X,X,X
IZJSOTL,O,X,O,X,X,X,O,X,X,X,X,X,X
IZJSOLT,O,X,O,O,X,X,O,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJOSTL,O,X,O,X,X,X,O,X,X,X,X,X,X
IZJOSLT,O,X,O,O,X,X,O,X,X,X,X,X,X
IZSTLJO,O,O,O,X,X,X,O,O,X,X,X,X,X
IZSTLOJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSTJLO,O,O,O,X,X,X,O,O,O,X,X,X,X
IZSTJOL,O,O,O,X,X,O,O,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,O,X,O,X,X,X,X,X
IZSTOJL,O,O,O,X,X,O,O,X,X,X,X,X,X
IZSLTJO,O,X,O,X,X,X,O,O,X,X,X,X,X
IZSLTOJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSLJTO,O,X,O,X,X,X,O,O,X,X,X,X,X
IZSLJOT,O,O,O,X,X,X,O,O,X,X,X,X,X
IZSLOTJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSLOJT,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSJTLO,O,X,O,O,X,X,O,O,O,X,X,X,X
IZSJTOL,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSJLTO,O,X,O,O,X,X,O,O,O,X,X,X,X
IZSJLOT,O,X,O,O,X,X,O,O,O,X,X,X,X
IZSJOTL,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSJOLT,O,X,O,O,X,X,O,X,X,X,X,X,X
IZSOTLJ,O,O,O,X,X,O,X,O,X,X,X,X,X
IZSOTJL,O,O,O,X,X,O,O,X,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSOJTL,O,O,O,O,X,X,O,X,X,X,X,X,X
IZSOJLT,O,O,O,O,X,X,O,X,X,X,X,X,X
IZOTLJS,O,O,X,X,X,O,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,O,X,O,X,X,X,X,X
IZOTJLS,O,O,X,X,X,O,X,X,X,X,X,X,X
IZOTJSL,O,O,X,X,X,O,O,X,X,X,X,X,X
IZOTSLJ,O,O,X,X,X,O,X,O,X,X,X,X,X
IZOTSJL,O,O,X,X,X,O,O,X,X,X,X,X,X
IZOLTJS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOLJST,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,X,X,X,X,O,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,O,X,X,X,X,X
IZOJTLS,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTSL,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOJLTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLST,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOJSTL,O,O,X,O,X,X,O,X,X,X,X,X,X
IZOJSLT,O,O,X,O,X,X,O,X,X,X,X,X,X
IZOSTLJ,O,O,O,X,X,O,X,O,X,X,X,X,X
IZOSTJL,O,O,O,X,X,O,O,X,X,X,X,X,X
IZOSLTJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOSJTL,O,O,O,O,X,X,O,X,X,X,X,X,X
IZOSJLT,O,O,O,O,X,X,O,X,X,X,X,X,X
IOTLJSZ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOTLJZS,O,O,X,X,X,O,X,X,X,X,X,X,X
IOTLSJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOTLZJS,O,X,X,X,X,O,X,X,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOTJLSZ,X,O,X,X,X,O,X,X,O,O,X,X,X
IOTJLZS,X,O,X,X,X,O,X,X,O,O,X,X,X
IOTJSLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
IOTJSZL,X,O,X,X,X,O,X,X,X,O,X,X,X
IOTJZLS,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJZSL,X,O,X,X,X,O,X,X,X,O,X,X,X
IOTSLJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOTSJLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
IOTSJZL,X,O,X,X,X,O,X,X,X,O,X,X,X
IOTSZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTSZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZLJS,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZJLS,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZJSL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTZSJL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTZJS,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTZSJ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLJTSZ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLSZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTJS,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJTS,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,X,X,X,O,X,X,O,O,X,X,X
IOJTLZS,X,X,X,X,X,O,X,X,O,O,X,X,X
IOJTSLZ,X,O,X,O,X,O,X,X,O,O,X,X,X
IOJTSZL,X,O,X,O,X,O,X,X,X,O,X,X,X
IOJTZLS,X,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZSL,X,X,X,X,X,O,X,X,X,O,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,X,O,X,X,X,X
IOJLTZS,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJLSTZ,X,O,X,O,X,X,X,X,O,O,X,X,X
IOJLSZT,X,O,X,O,X,X,X,X,O,X,X,X,X
IOJLZTS,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJLZST,X,X,X,O,X,X,X,X,O,X,X,X,X
IOJSTLZ,X,O,X,O,X,O,X,X,O,O,X,X,X
IOJSTZL,X,O,X,O,X,O,X,X,X,O,X,X,X
IOJSLTZ,X,O,X,O,X,X,X,X,O,O,X,X,X
IOJSLZT,X,O,X,O,X,X,X,X,O,X,X,X,X
IOJSZTL,X,O,X,O,X,X,X,X,X,O,X,X,X
IOJSZLT,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJZTLS,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJZLTS,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJZSTL,X,O,X,O,X,X,X,X,X,O,X,X,X
IOJZSLT,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOSTJLZ,X,O,X,X,X,O,X,X,O,O,X,X,X
IOSTJZL,X,O,X,X,X,O,X,X,X,O,X,X,X
IOSTZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSTZJL,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,X,X,O,X,X,X,X,X,X,X
IOSLTZJ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSLJTZ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSLZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,X,O,X,O,X,X,O,O,X,X,X
IOSJTZL,X,O,X,O,X,O,X,X,X,O,X,X,X
IOSJLTZ,X,O,X,O,X,X,X,X,O,O,X,X,X
IOSJLZT,X,O,X,O,X,X,X,X,O,X,X,X,X
IOSJZTL,X,O,X,O,X,X,X,X,X,O,X,X,X
IOSJZLT,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOSZTJL,O,O,X,X,X,O,X,X,X,X,X,X,X
IOSZLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSZJLT,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZTLJS,O,O,X,X,X,O,X,X,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOZTJLS,O,O,X,X,X,O,X,X,X,X,X,X,X
IOZTJSL,O,O,X,X,X,O,X,X,X,X,X,X,X
IOZTSLJ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOZTSJL,O,O,X,X,X,O,X,X,X,X,X,X,X
IOZLTJS,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZLJST,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTSL,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZJLTS,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZJSTL,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZJSLT,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,O,X,X,X,O,X,X,X,X,X,X,X
IOZSTJL,O,O,X,X,X,O,X,X,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZSJLT,O,O,X,O,X,X,X,X,X,X,X,X,X
LTIJSZO,O,O,X,X,O,X,X,X,O,X,X,X,X
LTIJSOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
LTIJZSO,O,O,X,X,O,X,X,X,O,X,X,X,X
LTIJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
LTIJOSZ,O,O,X,X,O,O,X,X,O,X,X,X,X
LTIJOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
LTISJZO,O,O,X,X,O,X,X,X,O,X,X,X,X
LTISJOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
