sequence,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFzaBWhBXeBC?lB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBmfBChBT?kB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkB8kBz?gBqmBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBlgBq?mBzkB8qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBKkBzfBW?mB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeO/IvhFXeBUgBThB1?pBRrB6qB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhFOkBxgB6kBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeX+IvhF6kBxgBOkBT?gB0mBlqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8JeZ/IvhFqfBTbBXeBF?mB0mBGqB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBOkBzkBF?mB6qB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jei6IvhFXeBzfB2pBF?mB5lB0rB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jex6IvhFXeBlgBqmBm?kB8qBTpB,v115@3gD8HeA8BeA8FeD8GeF8AeF8Jem6IvhFXeBTfBypBF?mB5lB0rB
TLOJSZI,O,O,O,O,O,X,X,X,O,O,X,X,O
TLOJZIS,O,O,O,O,O,X,X,X,O,O,X,X,O
TLOJZSI,O,O,O,O,O,X,X,X,O,O,X,X,O
TLOSIJZ,O,O,O,X,O,X,X,X,X,X,X,X,O
TLOSIZJ,O,O,O,X,O,X,X,X,X,X,X,X,O
TLOSJIZ,O,O,O,O,O,X,X,X,O,O,X,X,O
TLOSJZI,O,O,O,O,O,X,X,X,O,O,X,X,O
TLOSZIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
TLOSZJI,O,O,O,O,O,X,X,X,X,X,X,X,O
TLOZIJS,O,X,O,O,X,X,X,X,X,X,X,X,O
TLOZISJ,O,O,O,O,O,X,X,X,X,X,X,X,O
TLOZJIS,O,O,O,O,O,X,X,X,X,X,X,X,O
TLOZJSI,O,O,O,O,O,X,X,X,X,X,X,X,O
TLOZSIJ,O,O,O,O,O,X,X,X,X,X,X,X,O
TLOZSJI,O,O,O,O,O,X,X,X,X,X,X,X,O
TJILSZO,O,O,X,X,O,X,X,X,O,X,X,X,X
TJILSOZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TJILZSO,O,O,X,X,O,X,X,X,O,X,X,X,X
TJILZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJILOSZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TJILOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
TJISLZO,O,O,O,O,O,X,X,X,O,X,X,X,X
TJISLOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
TJISZLO,X,O,O,O,O,X,X,X,O,X,X,X,X
TJISZOL,X,X,O,X,X,O,X,X,X,X,X,X,X
TJISOLZ,X,O,X,O,O,O,X,X,O,O,O,X,X
TJISOZL,X,X,X,O,X,O,X,X,X,O,O,X,X
TJIZLSO,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X,X,O,X,X,X,X
TJIZSLO,X,O,X,X,O,X,X,X,O,X,X,X,X
TJIZSOL,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,O,X,X,O,X,O,X,X
TJIOLZS,X,X,X,X,X,O,X,X,O,X,O,X,X
TJIOSLZ,X,O,X,X,O,O,X,X,O,X,O,X,X
TJIOSZL,X,X,X,X,X,O,X,X,X,X,O,X,X
TJIOZLS,X,X,X,X,X,O,X,X,X,X,O,X,X
TJIOZSL,X,X,X,X,X,O,X,X,X,X,O,X,X
TJLISZO,O,O,O,O,O,X,X,X,O,X,X,X,X
TJLISOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
TJLIZSO,O,O,X,X,O,X,X,X,O,X,X,X,X
TJLIZOS,O,X,X,X,X,X,X,X,O,X,X,X,X
TJLIOSZ,O,O,X,X,O,O,X,X,O,X,X,X,X
TJLIOZS,O,X,X,X,O,O,X,X,O,X,X,X,X
TJLSIZO,O,O,O,O,O,X,X,X,O,X,X,X,X
TJLSIOZ,O,O,X,O,O,O,X,X,O,X,X,X,X
TJLSZIO,O,O,O,O,O,X,X,X,O,X,X,O,X
TJLSZOI,O,O,O,O,O,X,X,X,O,X,X,O,X
TJLSOIZ,O,O,O,O,O,X,X,X,O,X,O,X,O
TJLSOZI,O,O,O,O,O,X,X,X,O,X,O,X,O
TJLZISO,O,O,O,O,O,X,X,X,O,X,X,O,X
TJLZIOS,O,X,O,O,X,X,X,X,O,X,X,O,X
TJLZSIO,O,O,O,O,O,X,X,X,O,X,X,O,X
TJLZSOI,O,O,O,O,O,X,X,X,O,X,X,O,X
TJLZOIS,O,X,O,O,O,X,X,X,O,X,X,O,X
TJLZOSI,O,X,O,O,O,X,X,X,O,X,X,O,X
TJLOISZ,O,O,O,O,O,X,X,X,O,X,O,X,O
TJLOIZS,O,O,X,X,O,X,X,X,O,X,O,X,O
