sequence,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFNgBGcB5jB8lBKp?BfqB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFdgBqgBTcB5jBcp?BXqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFugBchB5jB3fBNq?BTpB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jB2kBtlBip?B0pB,v115@5gC8GeC8FeD8EeE8DeG8JeT6IvhFGcB5jB8lBikB3p?BNqB,v115@5gC8GeC8FeD8EeE8DeG8Jei6IvhFcgBTcB5jB9kB3l?B2uB,v115@5gC8GeC8FeD8EeE8DeG8JeO/IvhFCcB5jBXhBUlBTp?BdqB,v115@5gC8GeC8FeD8EeE8DeG8JeX7IvhFTcB5jBtlBmpBKp?B0pB,v115@5gC8GeC8FeD8EeE8DeG8Je//IvhFTcB5jB0gBKpBdq?BGqB
LTZOJIS,X,O,O,O,X,X,X,X,O
LTZOJSI,X,O,O,O,X,X,X,X,O
LTZOSIJ,X,O,O,O,X,X,X,X,O
LTZOSJI,X,O,O,O,X,X,X,X,O
LTOIJSZ,X,X,X,O,X,X,X,O,X
LTOIJZS,X,X,X,O,X,X,X,O,X
LTOISJZ,O,X,O,O,X,X,X,X,X
LTOISZJ,O,O,O,O,X,X,X,X,O
LTOIZJS,X,O,O,O,X,X,X,X,O
LTOIZSJ,X,O,O,O,X,X,X,X,O
LTOJISZ,X,X,X,O,X,X,X,O,X
LTOJIZS,X,X,X,O,X,X,X,O,X
LTOJSIZ,X,X,X,O,X,X,X,X,X
LTOJSZI,X,X,X,O,X,X,X,X,X
LTOJZIS,X,X,X,O,X,X,X,X,X
LTOJZSI,X,X,X,O,X,X,X,X,X
LTOSIJZ,O,X,O,O,X,X,X,X,X
LTOSIZJ,O,O,O,O,X,X,X,X,O
LTOSJIZ,O,X,O,O,X,X,X,X,X
LTOSJZI,O,X,O,O,X,X,X,X,X
LTOSZIJ,O,O,O,O,X,X,X,X,O
LTOSZJI,O,O,O,O,X,X,X,X,O
LTOZIJS,X,O,O,O,X,X,X,X,O
LTOZISJ,X,O,O,O,X,X,X,X,O
LTOZJIS,X,O,O,O,X,X,X,X,O
LTOZJSI,X,O,O,O,X,X,X,X,O
LTOZSIJ,X,O,O,O,X,X,X,X,O
LTOZSJI,X,O,O,O,X,X,X,X,O
LITJSZO,O,X,X,O,X,X,X,O,O
LITJSOZ,X,X,X,O,X,X,X,O,X
LITJZSO,O,X,X,O,X,X,X,O,O
LITJZOS,X,X,X,O,X,X,X,O,O
LITJOSZ,X,X,X,O,X,X,X,O,X
LITJOZS,X,X,X,O,X,X,X,O,X
LITSJZO,O,X,O,O,X,X,X,X,O
LITSJOZ,O,X,X,O,X,X,X,X,X
LITSZJO,O,O,O,O,X,X,X,X,O
LITSZOJ,O,O,O,O,X,X,X,X,O
LITSOJZ,O,X,X,O,X,X,X,X,X
LITSOZJ,O,O,O,O,X,X,X,X,O
LITZJSO,O,O,O,O,X,X,X,X,O
LITZJOS,X,O,O,O,X,X,X,X,O
LITZSJO,O,O,O,O,X,X,X,X,O
LITZSOJ,O,O,O,O,X,X,X,X,O
LITZOJS,X,O,O,O,X,X,X,X,O
LITZOSJ,X,O,O,O,X,X,X,X,O
LITOJSZ,X,X,X,O,X,X,X,O,X
LITOJZS,X,X,X,O,X,X,X,O,X
LITOSJZ,O,X,O,O,X,X,X,X,X
LITOSZJ,O,O,O,O,X,X,X,X,O
LITOZJS,X,O,O,O,X,X,X,X,O
LITOZSJ,X,O,O,O,X,X,X,X,O
LIJTSZO,O,X,X,O,X,O,X,O,O
LIJTSOZ,X,X,X,O,X,O,X,O,X
LIJTZSO,O,X,X,O,X,X,X,O,O
LIJTZOS,X,X,X,O,X,X,X,O,O
LIJTOSZ,X,X,X,O,X,O,X,O,X
LIJTOZS,X,X,X,O,X,X,X,O,X
LIJSTZO,O,X,X,O,X,O,X,X,O
LIJSTOZ,O,X,X,O,X,O,X,X,X
LIJSZTO,O,O,X,X,O,O,X,X,X
LIJSZOT,O,O,X,X,O,O,X,X,X
LIJSOTZ,O,X,X,X,X,O,X,X,X
LIJSOZT,O,O,X,X,X,O,X,X,X
LIJZTSO,O,O,X,O,X,X,X,X,X
LIJZTOS,X,O,X,O,X,X,X,X,X
LIJZSTO,O,X,X,X,O,X,X,X,X
LIJZSOT,O,X,X,X,O,X,X,X,X
LIJZOTS,X,O,X,X,X,X,X,X,X
LIJZOST,O,X,X,X,X,X,X,X,X
LIJOTSZ,X,X,X,O,X,O,X,O,X
LIJOTZS,X,X,X,O,X,X,X,O,X
LIJOSTZ,O,X,X,X,X,O,X,X,X
LIJOSZT,O,O,X,X,X,O,X,X,X
LIJOZTS,X,O,X,X,X,X,X,X,X
LIJOZST,O,X,X,X,X,X,X,X,X
LISTJZO,O,X,X,O,X,X,X,X,O
LISTJOZ,O,X,X,O,X,X,X,X,X
LISTZJO,O,O,X,O,O,X,X,X,O
LISTZOJ,O,O,X,O,O,X,X,X,O
LISTOJZ,O,X,X,O,X,X,X,X,X
LISTOZJ,O,O,X,O,O,X,X,X,O
LISJTZO,O,X,X,O,X,O,X,X,O
LISJTOZ,O,X,X,O,X,O,X,X,X
LISJZTO,O,O,X,X,O,O,X,X,X
LISJZOT,O,O,X,X,O,O,X,X,X
LISJOTZ,O,X,X,X,X,O,X,X,X
LISJOZT,O,O,X,X,O,O,X,X,X
LISZTJO,O,O,X,X,O,X,X,X,O
LISZTOJ,O,O,X,X,O,X,X,X,O
LISZJTO,O,O,X,X,O,O,X,X,X
LISZJOT,O,O,X,X,O,O,X,X,X
LISZOTJ,O,O,X,X,O,X,X,X,X
LISZOJT,O,O,X,X,O,O,X,X,X
LISOTJZ,O,X,X,O,X,X,X,X,X
LISOTZJ,O,O,X,O,O,X,X,X,O
LISOJTZ,O,X,X,X,X,O,X,X,X
LISOJZT,O,O,X,X,O,O,O,X,X
LISOZTJ,O,O,X,X,O,X,X,X,X
LISOZJT,O,O,X,X,O,O,O,X,X
LIZTJSO,O,O,O,O,X,X,X,X,O
LIZTJOS,X,O,O,O,X,X,X,X,O
LIZTSJO,O,O,O,O,X,X,X,X,O
LIZTSOJ,O,O,O,O,X,X,X,X,O
LIZTOJS,X,O,O,O,X,X,X,X,O
LIZTOSJ,X,O,O,O,X,X,X,X,O
LIZJTSO,O,O,O,O,X,X,X,X,X
LIZJTOS,X,O,O,O,X,X,X,X,X
LIZJSTO,O,X,X,X,O,X,X,X,X
LIZJSOT,O,X,X,X,O,X,X,X,X
LIZJOTS,X,O,X,X,X,X,X,X,X
LIZJOST,O,X,X,X,X,X,X,X,X
LIZSTJO,O,O,X,X,O,X,X,X,O
LIZSTOJ,O,O,X,X,O,X,X,X,O
LIZSJTO,O,O,X,X,O,X,X,X,X
LIZSJOT,O,O,X,X,O,X,X,X,X
LIZSOTJ,O,O,X,X,O,X,X,X,X
LIZSOJT,O,O,X,X,O,X,X,X,X
LIZOTJS,X,O,O,O,X,X,X,X,X
LIZOTSJ,X,O,O,O,X,X,X,X,X
LIZOJTS,X,O,X,X,X,X,X,X,X
LIZOJST,O,X,X,X,X,X,X,X,X
LIZOSTJ,O,O,X,X,X,X,X,X,X
LIZOSJT,O,O,X,X,X,X,X,X,X
LIOTJSZ,X,X,X,O,X,X,X,O,X
LIOTJZS,X,X,X,O,X,X,X,O,X
LIOTSJZ,O,X,O,O,X,X,X,X,X
LIOTSZJ,O,O,O,O,X,X,X,X,O
LIOTZJS,X,O,O,O,X,X,X,X,O
LIOTZSJ,X,O,O,O,X,X,X,X,O
LIOJTSZ,X,X,X,O,X,O,X,O,X
LIOJTZS,X,X,X,O,X,X,X,O,X
LIOJSTZ,O,X,X,X,X,O,X,X,X
LIOJSZT,O,O,X,X,X,O,O,X,X
LIOJZTS,X,O,X,X,X,X,X,X,X
LIOJZST,O,X,X,X,X,X,O,X,X
LIOSTJZ,O,X,X,O,X,X,X,X,X
LIOSTZJ,O,O,X,O,X,X,X,X,O
LIOSJTZ,O,X,X,X,X,O,X,X,X
LIOSJZT,O,O,X,X,X,O,O,X,X
LIOSZTJ,O,O,X,X,X,X,X,X,X
LIOSZJT,O,O,X,X,X,O,O,X,X
LIOZTJS,X,O,O,O,X,X,X,X,X
LIOZTSJ,X,O,O,O,X,X,X,X,X
LIOZJTS,X,O,X,X,X,X,X,X,X
LIOZJST,O,X,X,X,X,X,O,X,X
LIOZSTJ,O,O,X,X,X,X,X,X,X
LIOZSJT,O,O,X,X,X,X,O,X,X
LJTISZO,O,X,X,O,X,O,X,O,O
LJTISOZ,X,X,X,O,X,O,X,O,X
LJTIZSO,O,X,X,O,X,X,X,O,O
LJTIZOS,X,X,X,O,X,X,X,O,O
LJTIOSZ,X,X,X,O,X,O,X,O,X
LJTIOZS,X,X,X,O,X,X,X,O,X
LJTSIZO,O,X,X,O,X,O,X,X,O
LJTSIOZ,X,X,X,O,X,O,X,X,X
LJTSZIO,O,X,X,O,X,O,X,X,O
LJTSZOI,O,X,X,O,X,O,X,X,O
LJTSOIZ,X,X,X,O,X,O,X,X,X
LJTSOZI,X,X,X,O,X,O,X,X,X
LJTZISO,O,X,X,O,X,X,X,X,O
LJTZIOS,X,X,X,O,X,X,X,X,O
LJTZSIO,O,X,X,O,X,X,X,X,O
LJTZSOI,O,X,X,O,X,X,X,X,O
LJTZOIS,X,X,X,O,X,X,X,X,O
LJTZOSI,X,X,X,O,X,X,X,X,O
LJTOISZ,X,X,X,O,X,O,X,O,X
LJTOIZS,X,X,X,O,X,X,X,O,X
LJTOSIZ,X,X,X,O,X,O,X,X,X
LJTOSZI,X,X,X,O,X,O,X,X,X
LJTOZIS,X,X,X,O,X,X,X,X,X
LJTOZSI,X,X,X,O,X,X,X,X,X
LJITSZO,O,X,X,O,X,O,X,O,O
LJITSOZ,X,X,X,O,X,O,X,O,X
LJITZSO,O,X,X,O,X,X,X,O,O
LJITZOS,X,X,X,O,X,X,X,O,O
LJITOSZ,X,X,X,O,X,O,X,O,X
LJITOZS,X,X,X,O,X,X,X,O,X
LJISTZO,O,X,X,O,X,O,X,X,O
LJISTOZ,O,X,X,O,X,O,X,X,X
LJISZTO,O,O,X,X,O,O,X,X,X
LJISZOT,O,O,X,X,O,O,X,X,X
LJISOTZ,O,X,X,X,X,O,X,X,X
LJISOZT,O,O,X,X,X,O,X,X,X
LJIZTSO,O,O,X,O,X,X,X,X,X
LJIZTOS,X,O,X,O,X,X,X,X,X
LJIZSTO,O,X,X,X,O,X,X,X,X
LJIZSOT,O,X,X,X,O,X,X,X,X
LJIZOTS,X,O,X,X,X,X,X,X,X
LJIZOST,O,X,X,X,X,X,X,X,X
LJIOTSZ,X,X,X,O,X,O,X,O,X
LJIOTZS,X,X,X,O,X,X,X,O,X
LJIOSTZ,O,X,X,X,X,O,X,X,X
LJIOSZT,O,O,X,X,X,O,X,X,X
LJIOZTS,X,O,X,X,X,X,X,X,X
LJIOZST,O,X,X,X,X,X,X,X,X
LJSTIZO,O,X,X,O,X,O,X,X,O
LJSTIOZ,O,X,X,O,X,O,X,X,X
LJSTZIO,O,X,X,O,X,O,X,X,O
LJSTZOI,O,X,X,O,X,O,X,X,O
LJSTOIZ,O,X,X,O,X,O,X,X,X
LJSTOZI,O,X,X,O,X,O,X,X,X
LJSITZO,O,X,X,O,X,O,X,X,O
LJSITOZ,O,X,X,O,X,O,X,X,X
LJSIZTO,O,O,X,X,O,O,X,X,X
LJSIZOT,O,O,X,X,O,O,X,X,X
LJSIOTZ,O,X,X,X,X,O,X,X,X
LJSIOZT,O,O,X,X,X,O,X,X,X
LJSZTIO,O,O,X,X,O,O,X,X,X
LJSZTOI,O,O,X,X,X,O,X,X,X
LJSZITO,O,O,X,X,O,O,X,X,X
LJSZIOT,O,O,X,X,O,O,X,X,X
LJSZOTI,O,O,X,X,X,O,X,X,X
LJSZOIT,O,O,X,X,O,O,X,X,X
LJSOTIZ,O,X,X,X,X,O,X,X,X
LJSOTZI,O,X,X,X,X,O,X,X,X
LJSOITZ,O,X,X,X,X,O,X,X,X
LJSOIZT,O,O,X,X,X,O,X,X,X
LJSOZTI,O,O,X,X,X,O,X,X,X
LJSOZIT,O,O,X,X,X,O,X,X,X
LJZTISO,O,O,X,O,X,X,X,X,X
LJZTIOS,X,O,X,O,X,X,X,X,X
LJZTSIO,O,O,X,O,X,X,X,X,X
LJZTSOI,O,O,X,O,X,X,X,X,X
LJZTOIS,X,O,X,O,X,X,X,X,X
LJZTOSI,X,O,X,O,X,X,X,X,X
LJZITSO,O,O,X,O,X,X,X,X,X
LJZITOS,X,O,X,O,X,X,X,X,X
LJZISTO,O,X,X,X,O,X,X,X,X
LJZISOT,O,X,X,X,O,X,X,X,X
LJZIOTS,X,O,X,X,X,X,X,X,X
LJZIOST,O,X,X,X,X,X,X,X,X
LJZSTIO,O,X,X,X,O,X,X,X,X
LJZSTOI,O,X,X,X,X,X,X,X,X
LJZSITO,O,X,X,X,O,X,X,X,X
LJZSIOT,O,X,X,X,O,X,X,X,X
LJZSOTI,O,X,X,X,X,X,X,X,X
LJZSOIT,O,X,X,X,O,X,X,X,X
LJZOTIS,X,O,X,X,X,X,X,X,X
LJZOTSI,X,O,X,X,X,X,X,X,X
LJZOITS,X,O,X,X,X,X,X,X,X
LJZOIST,O,X,X,X,X,X,X,X,X
LJZOSTI,O,X,X,X,X,X,X,X,X
LJZOSIT,O,X,X,X,X,X,X,X,X
LJOTISZ,X,X,X,O,X,O,X,O,X
LJOTIZS,X,X,X,O,X,X,X,O,X
LJOTSIZ,X,X,X,O,X,O,X,X,X
LJOTSZI,X,X,X,O,X,O,X,X,X
LJOTZIS,X,X,X,O,X,X,X,X,X
LJOTZSI,X,X,X,O,X,X,X,X,X
LJOITSZ,X,X,X,O,X,O,X,O,X
LJOITZS,X,X,X,O,X,X,X,O,X
LJOISTZ,O,X,X,X,X,O,X,X,X
LJOISZT,O,O,X,X,X,O,X,X,X
LJOIZTS,X,O,X,X,X,X,X,X,X
LJOIZST,O,X,X,X,X,X,X,X,X
LJOSTIZ,O,X,X,X,X,O,X,X,X
LJOSTZI,O,X,X,X,X,O,X,X,X
LJOSITZ,O,X,X,X,X,O,X,X,X
LJOSIZT,O,O,X,X,X,O,X,X,X
LJOSZTI,O,O,X,X,X,O,X,X,X
LJOSZIT,O,O,X,X,X,O,X,X,X
LJOZTIS,X,O,X,X,X,X,X,X,X
LJOZTSI,X,O,X,X,X,X,X,X,X
LJOZITS,X,O,X,X,X,X,X,X,X
LJOZIST,O,X,X,X,X,X,X,X,X
LJOZSTI,O,X,X,X,X,X,X,X,X
LJOZSIT,O,X,X,X,X,X,X,X,X
LSTIJZO,O,X,X,O,X,X,X,X,O
LSTIJOZ,O,X,X,O,X,X,X,X,X
LSTIZJO,O,O,X,O,O,X,X,X,O
LSTIZOJ,O,O,X,O,O,X,X,X,O
LSTIOJZ,O,X,X,O,X,X,X,X,X
LSTIOZJ,O,O,X,O,O,X,X,X,O
LSTJIZO,O,X,X,O,X,X,X,X,O
LSTJIOZ,O,X,X,O,X,X,X,X,X
LSTJZIO,O,X,X,O,X,X,X,X,O
LSTJZOI,O,X,X,O,X,X,X,X,O
LSTJOIZ,O,X,X,O,X,X,X,X,X
LSTJOZI,O,X,X,O,X,X,X,X,X
LSTZIJO,O,O,X,O,O,X,X,X,O
LSTZIOJ,O,O,X,O,O,X,X,X,O
LSTZJIO,O,O,X,O,O,X,X,X,O
LSTZJOI,O,O,X,O,X,X,X,X,O
LSTZOIJ,O,O,X,O,O,X,X,X,O
LSTZOJI,O,O,X,O,X,X,X,X,O
LSTOIJZ,O,X,X,O,X,X,X,X,X
LSTOIZJ,O,O,X,O,O,X,X,X,O
LSTOJIZ,O,X,X,O,X,X,X,X,X
LSTOJZI,O,X,X,O,X,X,X,X,X
LSTOZIJ,O,O,X,O,O,X,X,X,O
LSTOZJI,O,O,X,O,X,X,X,X,O
LSITJZO,O,X,X,O,X,X,X,X,O
LSITJOZ,O,X,X,O,X,X,X,X,X
LSITZJO,O,O,X,O,O,X,X,X,O
LSITZOJ,O,O,X,O,O,X,X,X,O
LSITOJZ,O,X,X,O,X,X,X,X,X
LSITOZJ,O,O,X,O,O,X,X,X,O
LSIJTZO,O,X,X,O,X,O,X,X,O
LSIJTOZ,O,X,X,O,X,O,X,X,X
LSIJZTO,O,O,X,X,O,O,X,X,X
LSIJZOT,O,O,X,X,O,O,X,X,X
LSIJOTZ,O,X,X,X,X,O,X,X,X
LSIJOZT,O,O,X,X,O,O,X,X,X
LSIZTJO,O,O,X,X,O,X,X,X,O
LSIZTOJ,O,O,X,X,O,X,X,X,O
LSIZJTO,O,O,X,X,O,O,X,X,X
LSIZJOT,O,O,X,X,O,O,X,X,X
LSIZOTJ,O,O,X,X,O,X,X,X,X
LSIZOJT,O,O,X,X,O,O,X,X,X
LSIOTJZ,O,X,X,O,X,X,X,X,X
LSIOTZJ,O,O,X,O,O,X,X,X,O
LSIOJTZ,O,X,X,X,X,O,X,X,X
LSIOJZT,O,O,X,X,O,O,O,X,X
LSIOZTJ,O,O,X,X,O,X,X,X,X
LSIOZJT,O,O,X,X,O,O,O,X,X
LSJTIZO,O,X,X,O,X,O,X,X,O
LSJTIOZ,O,X,X,O,X,O,X,X,X
LSJTZIO,O,X,X,O,X,O,X,X,O
LSJTZOI,O,X,X,O,X,O,X,X,O
LSJTOIZ,O,X,X,O,X,O,X,X,X
LSJTOZI,O,X,X,O,X,O,X,X,X
LSJITZO,O,X,X,O,X,O,X,X,O
LSJITOZ,O,X,X,O,X,O,X,X,X
LSJIZTO,O,O,X,X,O,O,X,X,X
LSJIZOT,O,O,X,X,O,O,X,X,X
LSJIOTZ,O,X,X,X,X,O,X,X,X
LSJIOZT,O,O,X,X,O,O,X,X,X
LSJZTIO,O,O,X,X,O,O,X,X,X
LSJZTOI,O,O,X,X,X,O,X,X,X
LSJZITO,O,O,X,X,O,O,X,X,X
LSJZIOT,O,O,X,X,O,O,X,X,X
LSJZOTI,O,O,X,X,X,O,X,X,X
LSJZOIT,O,O,X,X,O,O,X,X,X
LSJOTIZ,O,X,X,X,X,O,X,X,X
LSJOTZI,O,X,X,X,X,O,X,X,X
LSJOITZ,O,X,X,X,X,O,X,X,X
LSJOIZT,O,O,X,X,O,O,X,X,X
LSJOZTI,O,O,X,X,X,O,X,X,X
LSJOZIT,O,O,X,X,O,O,X,X,X
LSZTIJO,O,O,X,X,O,X,X,X,O
LSZTIOJ,O,O,X,X,O,X,X,X,O
LSZTJIO,O,O,X,X,O,X,X,X,O
LSZTJOI,O,O,X,X,X,X,X,X,O
LSZTOIJ,O,O,X,X,O,X,X,X,O
LSZTOJI,O,O,X,X,X,X,X,X,O
LSZITJO,O,O,X,X,O,X,X,X,O
LSZITOJ,O,O,X,X,O,X,X,X,O
LSZIJTO,O,O,X,X,O,O,X,X,X
LSZIJOT,O,O,X,X,O,O,X,X,X
LSZIOTJ,O,O,X,X,O,X,X,X,X
LSZIOJT,O,O,X,X,O,O,X,X,X
LSZJTIO,O,O,X,X,O,O,X,X,X
LSZJTOI,O,O,X,X,X,O,X,X,X
LSZJITO,O,O,X,X,O,O,X,X,X
LSZJIOT,O,O,X,X,O,O,X,X,X
LSZJOTI,O,O,X,X,X,O,X,X,X
LSZJOIT,O,O,X,X,O,O,X,X,X
LSZOTIJ,O,O,X,X,O,X,X,X,X
LSZOTJI,O,O,X,X,X,X,X,X,X
LSZOITJ,O,O,X,X,O,X,X,X,X
LSZOIJT,O,O,X,X,O,O,X,X,X
LSZOJTI,O,O,X,X,X,O,X,X,X
LSZOJIT,O,O,X,X,O,O,X,X,X
LSOTIJZ,O,X,X,O,X,X,X,X,X
LSOTIZJ,O,O,X,O,O,X,X,X,O
LSOTJIZ,O,X,X,O,X,X,X,X,X
LSOTJZI,O,X,X,O,X,X,X,X,X
LSOTZIJ,O,O,X,O,O,X,X,X,O
LSOTZJI,O,O,X,O,X,X,X,X,O
LSOITJZ,O,X,X,O,X,X,X,X,X
LSOITZJ,O,O,X,O,O,X,X,X,O
LSOIJTZ,O,X,X,X,X,O,X,X,X
LSOIJZT,O,O,X,X,O,O,O,X,X
LSOIZTJ,O,O,X,X,O,X,X,X,X
LSOIZJT,O,O,X,X,O,O,O,X,X
LSOJTIZ,O,X,X,X,X,O,X,X,X
LSOJTZI,O,X,X,X,X,O,X,X,X
LSOJITZ,O,X,X,X,X,O,X,X,X
LSOJIZT,O,O,X,X,O,O,O,X,X
LSOJZTI,O,O,X,X,X,O,X,X,X
LSOJZIT,O,O,X,X,O,O,O,X,X
LSOZTIJ,O,O,X,X,O,X,X,X,X
LSOZTJI,O,O,X,X,X,X,X,X,X
LSOZITJ,O,O,X,X,O,X,X,X,X
LSOZIJT,O,O,X,X,O,O,O,X,X
LSOZJTI,O,O,X,X,X,O,X,X,X
LSOZJIT,O,O,X,X,O,O,O,X,X
LZTIJSO,O,O,O,O,X,X,X,X,O
LZTIJOS,X,O,O,O,X,X,X,X,O
LZTISJO,O,O,O,O,X,X,X,X,O
LZTISOJ,O,O,O,O,X,X,X,X,O
LZTIOJS,X,O,O,O,X,X,X,X,O
LZTIOSJ,X,O,O,O,X,X,X,X,O
LZTJISO,O,O,O,O,X,X,X,X,O
LZTJIOS,X,O,O,O,X,X,X,X,O
LZTJSIO,O,O,O,O,X,X,X,X,O
LZTJSOI,O,O,O,O,X,X,X,X,O
LZTJOIS,X,O,O,O,X,X,X,X,O
LZTJOSI,X,O,O,O,X,X,X,X,O
LZTSIJO,O,O,O,O,X,X,X,X,O
LZTSIOJ,O,O,O,O,X,X,X,X,O
LZTSJIO,O,O,O,O,X,X,X,X,O
LZTSJOI,O,O,O,O,X,X,X,X,O
LZTSOIJ,O,O,O,O,X,X,X,X,O
LZTSOJI,O,O,O,O,X,X,X,X,O
LZTOIJS,X,O,O,O,X,X,X,X,O
LZTOISJ,X,O,O,O,X,X,X,X,O
LZTOJIS,X,O,O,O,X,X,X,X,O
LZTOJSI,X,O,O,O,X,X,X,X,O
LZTOSIJ,X,O,O,O,X,X,X,X,O
LZTOSJI,X,O,O,O,X,X,X,X,O
LZITJSO,O,O,O,O,X,X,X,X,O
LZITJOS,X,O,O,O,X,X,X,X,O
LZITSJO,O,O,O,O,X,X,X,X,O
LZITSOJ,O,O,O,O,X,X,X,X,O
LZITOJS,X,O,O,O,X,X,X,X,O
LZITOSJ,X,O,O,O,X,X,X,X,O
LZIJTSO,O,O,O,O,X,X,X,X,X
LZIJTOS,X,O,O,O,X,X,X,X,X
LZIJSTO,O,X,X,X,O,X,X,X,X
LZIJSOT,O,X,X,X,O,X,X,X,X
LZIJOTS,X,O,X,X,X,X,X,X,X
LZIJOST,O,X,X,X,X,X,X,X,X
LZISTJO,O,O,X,X,O,X,X,X,O
LZISTOJ,O,O,X,X,O,X,X,X,O
LZISJTO,O,O,X,X,O,X,X,X,X
LZISJOT,O,O,X,X,O,X,X,X,X
LZISOTJ,O,O,X,X,O,X,X,X,X
LZISOJT,O,O,X,X,O,X,X,X,X
LZIOTJS,X,O,O,O,X,X,X,X,X
LZIOTSJ,X,O,O,O,X,X,X,X,X
LZIOJTS,X,O,X,X,X,X,X,X,X
LZIOJST,O,X,X,X,X,X,X,X,X
LZIOSTJ,O,O,X,X,X,X,X,X,X
LZIOSJT,O,O,X,X,X,X,X,X,X
LZJTISO,O,O,O,O,X,X,X,X,X
LZJTIOS,X,O,O,O,X,X,X,X,X
LZJTSIO,O,O,O,O,X,X,X,X,X
LZJTSOI,O,O,O,O,X,X,X,X,X
LZJTOIS,X,O,O,O,X,X,X,X,X
LZJTOSI,X,O,O,O,X,X,X,X,X
LZJITSO,O,O,O,O,X,X,X,X,X
LZJITOS,X,O,O,O,X,X,X,X,X
LZJISTO,O,X,X,X,O,X,X,X,X
LZJISOT,O,X,X,X,O,X,X,X,X
LZJIOTS,X,O,X,X,X,X,X,X,X
LZJIOST,O,X,X,X,X,X,X,X,X
LZJSTIO,O,X,X,X,O,X,X,X,X
LZJSTOI,O,X,X,X,X,X,X,X,X
LZJSITO,O,X,X,X,O,X,X,X,X
LZJSIOT,O,X,X,X,O,X,X,X,X
LZJSOTI,O,X,X,X,X,X,X,X,X
LZJSOIT,O,X,X,X,O,X,X,X,X
LZJOTIS,X,O,X,X,X,X,X,X,X
LZJOTSI,X,O,X,X,X,X,X,X,X
LZJOITS,X,O,X,X,X,X,X,X,X
LZJOIST,O,X,X,X,X,X,X,X,X
LZJOSTI,O,X,X,X,X,X,X,X,X
LZJOSIT,O,X,X,X,X,X,X,X,X
LZSTIJO,O,O,X,X,O,X,X,X,O
LZSTIOJ,O,O,X,X,O,X,X,X,O
LZSTJIO,O,O,X,X,O,X,X,X,O
LZSTJOI,O,O,X,X,X,X,X,X,O
LZSTOIJ,O,O,X,X,O,X,X,X,O
LZSTOJI,O,O,X,X,X,X,X,X,O
LZSITJO,O,O,X,X,O,X,X,X,O
LZSITOJ,O,O,X,X,O,X,X,X,O
LZSIJTO,O,O,X,X,O,X,X,X,X
LZSIJOT,O,O,X,X,O,X,X,X,X
LZSIOTJ,O,O,X,X,O,X,X,X,X
LZSIOJT,O,O,X,X,O,X,X,X,X
LZSJTIO,O,O,X,X,O,X,X,X,X
LZSJTOI,O,O,X,X,X,X,X,X,X
LZSJITO,O,O,X,X,O,X,X,X,X
LZSJIOT,O,O,X,X,O,X,X,X,X
LZSJOTI,O,O,X,X,X,X,X,X,X
LZSJOIT,O,O,X,X,O,X,X,X,X
LZSOTIJ,O,O,X,X,O,X,X,X,X
LZSOTJI,O,O,X,X,X,X,X,X,X
LZSOITJ,O,O,X,X,O,X,X,X,X
LZSOIJT,O,O,X,X,O,X,X,X,X
LZSOJTI,O,O,X,X,X,X,X,X,X
LZSOJIT,O,O,X,X,O,X,X,X,X
LZOTIJS,X,O,O,O,X,X,X,X,X
LZOTISJ,X,O,O,O,X,X,X,X,X
LZOTJIS,X,O,O,O,X,X,X,X,X
LZOTJSI,X,O,O,O,X,X,X,X,X
LZOTSIJ,X,O,O,O,X,X,X,X,X
LZOTSJI,X,O,O,O,X,X,X,X,X
LZOITJS,X,O,O,O,X,X,X,X,X
LZOITSJ,X,O,O,O,X,X,X,X,X
LZOIJTS,X,O,X,X,X,X,X,X,X
LZOIJST,O,X,X,X,X,X,X,X,X
LZOISTJ,O,O,X,X,X,X,X,X,X
LZOISJT,O,O,X,X,X,X,X,X,X
LZOJTIS,X,O,X,X,X,X,X,X,X
LZOJTSI,X,O,X,X,X,X,X,X,X
LZOJITS,X,O,X,X,X,X,X,X,X
LZOJIST,O,X,X,X,X,X,X,X,X
LZOJSTI,O,X,X,X,X,X,X,X,X
LZOJSIT,O,X,X,X,X,X,X,X,X
LZOSTIJ,O,O,X,X,X,X,X,X,X
LZOSTJI,O,O,X,X,X,X,X,X,X
LZOSITJ,O,O,X,X,X,X,X,X,X
LZOSIJT,O,O,X,X,X,X,X,X,X
LZOSJTI,O,O,X,X,X,X,X,X,X
LZOSJIT,O,O,X,X,X,X,X,X,X
LOTIJSZ,X,X,X,O,X,X,X,O,X
LOTIJZS,X,X,X,O,X,X,X,O,X
LOTISJZ,O,X,O,O,X,X,X,X,X
LOTISZJ,O,O,O,O,X,X,X,X,O
LOTIZJS,X,O,O,O,X,X,X,X,O
LOTIZSJ,X,O,O,O,X,X,X,X,O
LOTJISZ,X,X,X,O,X,X,X,O,X
LOTJIZS,X,X,X,O,X,X,X,O,X
LOTJSIZ,X,X,X,O,X,X,X,X,X
LOTJSZI,X,X,X,O,X,X,X,X,X
LOTJZIS,X,X,X,O,X,X,X,X,X
LOTJZSI,X,X,X,O,X,X,X,X,X
