sequence,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBUdBTgBKmBWn?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBUdBTgBOmBCn?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBuhBigBTiBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBRcBGhBTiBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFUbBRcB6mBTiBml?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFUbBRcBylB+mBTi?BFqB,v115@6gC8HeC8GeC8EeF8AeG8JeT6IvhFmcBxgBSnBXgBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhFRcB0fBfmB6mBTi?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBigBGiBzhBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFRcBFgB8lB+mBTi?BfqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBugBxhBUiBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jey/IvhFzbBGiB0fBRmB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jey/IvhFRcBzgBGiB0fB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFRbBzcB2lBSnBUm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFRcB8lBGiBzkB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je//IvhFagBugBUdBxmBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jei6IvhFTcB/iBWlBlmBRq?BcqB,v115@6gC8HeC8GeC8EeF8AeG8Jex6IvhFTcB/iB6kB0lBlm?BOqB,v115@6gC8HeC8GeC8EeF8AeG8JeT6IvhFUdBClBxmB/mB1q?BOqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhF0fBRhBSnBzgB3m?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Jem6IvhFCcB/iB0fBRmBTm?BFqB,v115@6gC8HeC8GeC8EeF8AeG8Je2/IvhFzbBViBUgBfqBxr?BSwB
ZLTJOSI,O,O,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLTSIJO,O,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
ZLTSIOJ,X,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ZLTSJIO,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X
ZLTSJOI,O,O,O,O,O,X,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X
ZLTSOIJ,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ZLTSOJI,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
ZLTOIJS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLTOISJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTOJIS,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZLTOJSI,O,O,O,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X
ZLTOSIJ,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLTOSJI,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLITJSO,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLITJOS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLITSJO,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,O,X,X
ZLITSOJ,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
ZLITOJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLITOSJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLIJTSO,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLIJTOS,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLIJSTO,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X
ZLIJSOT,X,O,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLIJOTS,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
ZLIJOST,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLISTJO,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X
ZLISTOJ,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
ZLISJTO,X,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,O,X,X
ZLISJOT,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLISOTJ,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
ZLISOJT,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLIOTJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLIOJTS,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
ZLIOJST,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
ZLIOSTJ,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X
ZLIOSJT,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLJTISO,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLJTIOS,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
ZLJTSIO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLJTSOI,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLJTOIS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZLJTOSI,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLJITSO,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLJITOS,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLJISTO,O,O,O,O,O,X,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZLJISOT,O,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLJIOTS,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
ZLJIOST,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ZLJSTIO,O,O,O,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZLJSTOI,O,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLJSITO,O,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZLJSIOT,O,O,O,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ZLJSOTI,O,O,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLJSOIT,O,O,O,O,O,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLJOTIS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLJOTSI,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOITS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLJOIST,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLJOSTI,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLJOSIT,O,O,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ZLSTIJO,O,O,O,X,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZLSTIOJ,X,O,O,X,O,X,O,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
ZLSTJIO,O,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X
ZLSTJOI,O,O,X,X,O,X,O,O,O,O,X,X,O,O,X,X,X,O,X,X,X,X
ZLSTOIJ,O,O,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ZLSTOJI,O,O,O,O,X,X,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ZLSITJO,X,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,X,O,X
ZLSITOJ,X,O,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,O,X
ZLSIJTO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZLSIJOT,O,O,O,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ZLSIOTJ,X,O,O,O,O,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,O,X
ZLSIOJT,X,O,O,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ZLSJTIO,O,O,O,O,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZLSJTOI,O,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZLSJITO,O,O,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZLSJIOT,O,O,O,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ZLSJOTI,O,O,O,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLSJOIT,O,O,O,O,O,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLSOTIJ,X,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
ZLSOTJI,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ZLSOITJ,X,O,O,O,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X
ZLSOIJT,X,O,O,O,O,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLSOJTI,X,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLSOJIT,X,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOTIJS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLOTISJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTJIS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLOTJSI,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLOTSIJ,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLOTSJI,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZLOITJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOITSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOIJTS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLOIJST,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLOISTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
ZLOISJT,X,X,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
ZLOJTIS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLOJTSI,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJITS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLOJIST,X,X,O,O,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOJSTI,X,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOJSIT,X,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOSTIJ,X,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
ZLOSTJI,X,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ZLOSITJ,X,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X
ZLOSIJT,X,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOSJTI,X,O,O,O,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOSJIT,X,O,O,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTILSO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTILOS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJTISLO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTISOL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJTIOLS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJTIOSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLISO,O,X,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJTLIOS,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
ZJTLSIO,O,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJTLSOI,O,O,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTLOIS,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJTLOSI,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTSILO,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSIOL,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X
ZJTSLIO,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSLOI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJTSOIL,O,O,O,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJTSOLI,O,O,O,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJTOILS,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTOISL,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTOLIS,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTOLSI,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTOSIL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTOSLI,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJITLSO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJITLOS,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJITSLO,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJITSOL,O,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJITOLS,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJITOSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJILTSO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJILTOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJILSTO,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
ZJILSOT,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJILOTS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
ZJILOST,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ZJISTLO,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJISTOL,O,O,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
ZJISLTO,O,O,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJISLOT,O,X,O,O,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ZJISOTL,O,O,O,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
ZJISOLT,O,X,O,O,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
ZJIOTLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJIOTSL,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
ZJIOLTS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ZJIOLST,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ZJIOSTL,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOSLT,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTISO,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJLTIOS,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
ZJLTSIO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJLTSOI,O,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJLTOIS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
ZJLTOSI,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJLITSO,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJLITOS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJLISTO,O,X,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZJLISOT,O,X,O,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJLIOTS,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X
ZJLIOST,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
ZJLSTIO,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZJLSTOI,O,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJLSITO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZJLSIOT,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ZJLSOTI,O,X,O,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZJLSOIT,O,X,O,O,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZJLOTIS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJLOTSI,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOITS,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJLOIST,X,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJLOSTI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJLOSIT,O,X,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJSTILO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJSTIOL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
ZJSTLIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X
ZJSTLOI,O,O,O,O,X,O,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJSTOIL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ZJSTOLI,O,O,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X
ZJSITLO,O,O,O,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X
ZJSITOL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O
ZJSILTO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJSILOT,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ZJSIOTL,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O
ZJSIOLT,O,X,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
ZJSLTIO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZJSLTOI,O,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJSLITO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X
ZJSLIOT,O,X,O,O,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X
ZJSLOTI,O,X,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZJSLOIT,O,X,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZJSOTIL,O,O,O,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ZJSOTLI,O,O,O,O,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ZJSOITL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
ZJSOILT,O,X,O,O,O,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
ZJSOLTI,O,X,O,O,O,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZJSOLIT,O,X,O,O,O,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZJOTILS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTISL,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTLIS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTLSI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTSIL,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTSLI,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOITLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOITSL,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOILTS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOILST,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJOISTL,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOISLT,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLTIS,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZJOLTSI,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLITS,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJOLIST,X,X,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJOLSTI,O,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJOLSIT,O,X,O,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJOSTIL,O,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJOSTLI,O,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJOSITL,O,O,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X
ZJOSILT,O,X,O,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X
ZJOSLTI,O,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJOSLIT,O,X,O,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZSTILJO,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X
ZSTILOJ,X,O,O,O,O,O,X,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X
ZSTIJLO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,O,X,X,X,O,X
ZSTIJOL,O,O,O,O,O,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,O,X
ZSTIOLJ,O,O,O,O,O,O,X,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X
ZSTIOJL,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X
ZSTLIJO,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X
ZSTLIOJ,X,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X
ZSTLJIO,O,O,O,O,O,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X
ZSTLJOI,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,O,X,X,X,X
ZSTLOIJ,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
ZSTLOJI,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X
ZSTJILO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O,X
ZSTJIOL,O,O,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X
ZSTJLIO,O,O,O,O,O,O,X,O,O,O,X,X,X,O,X,O,X,O,X,X,O,X
